[00:00.000 --> 00:18.000]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[02:47.000 --> 02:53.000]  But I tell you that is a very enjoyable joke that I have a Trump insider that's not Roger Stone
[02:53.000 --> 02:58.000]  I'm sorry it's just funny it's so ridiculous to watch the dinosaur media falling apart
[02:58.000 --> 03:06.000]  And they know they're falling apart and they had a deadness in their eyes the arrogance has left them their aura of invincibility has fallen
[03:06.000 --> 03:19.000]  And it has been the listeners of this broadcast Donald Trump Matt Drudge and others who have really helped this major breakthrough that I really don't see being reversed
[03:19.000 --> 03:28.000]  And I'm an overconfident person but barring the global especially nuking major cities and trying to bring in a you know some type of new dark age which they might do
[03:28.000 --> 03:32.000]  I don't see them long term winning
[03:32.000 --> 03:38.000]  Now for those of us alive right now that doesn't really say much because it's going to get rough
[03:38.000 --> 03:47.000]  Stone wants to respond to it I was talking to CJ he's a really smart guy so what do you think of the young Turks thing if you haven't heard about it from the most viral stories out there the last few days
[03:47.000 --> 03:54.000]  I was on media robe hundreds and hundreds of media booths everyone grabbing me wanting me to come talk to them
[03:54.000 --> 04:02.000]  But that wasn't just me they wanted to talk to it was everybody it was a free for all and culture crash one shows on I crashed another sink of the young Turks was crashing shows
[04:02.000 --> 04:08.000]  I mean this is what was going on one of their folks like hey come over be on our show I'll be back later so then they're just up there on this little stage
[04:08.000 --> 04:18.000]  And I gay what's going on he's all nice at first but then the guy that I think that's pretty sure together divided this up with 20 minutes before he starts screaming Alex Jones Alex Jones is taking over
[04:18.000 --> 04:27.000]  And then sink goes crazy I don't think he was in on this and just start screaming and yelling and threatening to physically attack me and some guys spit in my face
[04:27.000 --> 04:33.000]  Well same guy that I believe it invited us up looks like the same guy but they all have that fake intellectual you know dressed to him
[04:33.000 --> 04:37.000]  And CJ said you know this is really a diversion from the history that's happening right now
[04:37.000 --> 04:50.000]  And this you know failing sinking leftist pro-islamic lobalist group acting like I needed their show I mean it's really just a lesson and a hoax by them
[04:50.000 --> 05:08.000]  And that YouTube was pulling our videos the confrontation so people couldn't see the actual truth but later they had to reinstate them under pressure
[05:20.000 --> 05:30.000]  So this is a well-developed Alexa pure breeze whether it's your home or office you know it's yourself your coworkers your family your children to the best job you can to purify your air
[05:30.000 --> 05:40.000]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most toxic effects for themselves the general public doesn't
[05:40.000 --> 05:50.000]  The Alexa pure breeze will be a steal at three hundred four hundred five hundred dollars one of these systems can keep eight hundred square feet incredibly clean this is a system I'm personally putting in throughout my house
[05:50.000 --> 06:12.000]  Replacing older more expensive filters that didn't do as good a job find out why this system is so revolutionary today and then forward store.com
[06:12.000 --> 06:31.000]  Live from Austin Texas broadcasting worldwide it's Alex Jones
[06:31.000 --> 06:44.000]  I'm going to be absolutely completely honest with all the listeners and viewers out there I have never been in a better mood I've never been happier I've never been more excited
[06:44.000 --> 06:53.000]  I don't care about knowing Hollywood people or even rock stars once you've had a chance to do it it really becomes old hat
[06:53.000 --> 07:03.000]  Some of those folks are really interesting informative passionate Liberty loving people I like them because they're patriots the people I know not because they're famous
[07:03.000 --> 07:19.000]  In fact being famous to a great extent as a gilded cage and those that have become famous and haven't lost their soul you notice we're always trying to move to the countryside somewhere to be left alone and you know changing their name and getting a facelifter in those jobs and no one recognizes them
[07:19.000 --> 07:44.000]  But I am so proud of my association with Donald Trump and my association people like Matt Drudge because they are true trailblazers their innovators that swam against the current and are trying to basically restore our republic and the true renaissance the free open society
[07:44.000 --> 08:08.000]  And I tell you to know that Donald Trump is real to know that Donald Trump is informed know that Donald Trump is aware of the world government plan and the plan to make us poor under clowered and piven and agenda 21 and to know that he really does want to restore the republic and really turn loose the engine of human innovation is so exciting
[08:08.000 --> 08:30.000]  Now there are two rules about fight club don't talk about fight club and the second rules don't talk about fight club and this is definitely the real fight club this is what fight club wishes it was okay and I'm going to just stop right there people like general Flynn and all these other patriots I mean amazing to be absolutely confirmed
[08:30.000 --> 08:46.000]  They already knew that they're dialed in they get the whole program better than I do and they are ready to fight it they think America is ready to wake up and take action against the new world order and it is just such an exciting time to be alive I'm going to stop right there
[08:46.000 --> 09:02.000]  I'm telling you we don't have an uphill battle anymore if we just realize that humanity is built to win humanity is built to innovate and rise and then for far too long we've been asleep and let these little police these little
[09:02.000 --> 09:18.000]  parents like Debbie Wasserman Schultz and others suppress us and control us because we're not arrogant we're not seeking power we're just seeking success and kinship and honor well we're not going to have all that unless we get these people out of our way and so there's not some utopia
[09:18.000 --> 09:26.000]  we're offering on the other side but it's certainly the opposite of what we're under right now which is total parasitic despotism
[09:26.000 --> 09:33.000]  we have a cornucopia of news to cover
[09:33.000 --> 09:45.000]  but let me just tell you all something from the highest levels in the Pentagon where there are patriots from the highest levels of the Trump campaign and from the highest levels of the resistance of this country
[09:45.000 --> 10:03.000]  this broadcast is the spirit of the resistance this broadcast is having the effect my prayers to God Almighty every day are coming true and that's what God promises us in the good book is that if we take action and do the right thing
[10:03.000 --> 10:20.000]  and continue to persevere for a long time in the end God will take us the rest of the way and that's happening right now and even if Trump has the election stolen even if the globalist set a nuke off in a major city they could do anything to bring in tyranny it's not going to work
[10:20.000 --> 10:49.000]  because by resisting we win even if Trump doesn't get across the finish line he's moved the ball to the one yard line and we got a thousand downs folks if we just take it in our hands it's amazing it's amazing amazing what's going on they want to break our will and take our hope it's not going to work
[10:49.000 --> 11:10.000]  all right let me just read to you some of the headlines I'm gonna come back and cover and then we have our crew in Philadelphia covering things they're gonna be popping in we're going to have Roger Stone joining us to cover all the new developments and so much more able to talk about
[11:10.000 --> 11:31.000]  just as a microcosm he's having a violent criminal audit all of a sudden and they're just claiming he didn't pay taxes period and is involved in total tax evasion for 2014 even though he has a copy of the check and the filing and the check and the money deposited and they say we don't care we're
[11:31.000 --> 11:46.000]  eventually coming to arrest you that's what Obama's now doing to him this just started during the RNC last week he had to run back to New York and deal with it he's not scared he loves it he understands this is the animating contest of liberty but
[11:46.000 --> 12:05.000]  Nixon had 110 names that he was looking at auditing to mess with and he got basically the beginning of impeachment had to step down over and I say yeah good that's bad so the stone who worked for him but now they just do it in mass and they go well that's okay
[12:05.000 --> 12:20.000]  and that's done to intimidate people it's an act of desperation good have a jury trial going there with his check and he paid and they just and they said they just don't care they just don't care it's all about just a bunch of arrogant people bullying around
[12:20.000 --> 12:35.000]  now get ready for this they're at the DNC they asked the baseball commission why this is going on they said no we changed the printout because they have the sections at the baseball field where they're where they're having part of the convention
[12:35.000 --> 12:57.000]  they put a big 10 up in Philadelphia it's on info wars.com we're going to write an article about tomorrow dim sensor white from red white and blue to avoid triggering those are white section as if anybody would think blue red white as if anybody so they've changed it to a cream
[12:57.000 --> 13:13.000]  cream section we're going to play part of that but the crews going to be joining us and if you want to go down that line of censorship the BBC is now announcing they want to stop using the word terrorist they don't say Islamic terror already and now they're going to censor the names in fact they've officially done it this is mainstream news
[13:13.000 --> 13:28.000]  they're not going to say Ali or Muhammad even though the latest attacker was called Ali and you'll Allah Akbar they're going to censor all Islamic names and words from the attacks and then say no ISIS connection
[13:28.000 --> 13:46.000]  they're going to say yes to the big attack kill 80 something people yesterday and then there was 80 something a couple weeks ago and hatchet attacks and nine dead and all this stuff and it's like wow you guys really are doubling down with this but dims have banned the white section at the DNC
[13:46.000 --> 14:02.000]  Munich team government has no ISIS links the police say even they've been ordered German ministers are raped and they come out and say a blonde hair German did it BBC scrubs Ali from Munich killers name on TV
[14:02.000 --> 14:17.000]  I'm sorry I mean that's next level BS I'm this is like a Monty Python is actually so entertaining it wasn't so deadly you know when your family gets killed Syrian refugee arrested after killing woman with machete writers in Germany police say
[14:17.000 --> 14:34.000]  she's always a Syrian or you know Afghan of course there's people that invaded Syria hello they always say with this guy that killed the people at the McDonald's they said he was a German course he's from Afghanistan from Iran I mean it's just German machete
[14:34.000 --> 14:48.000]  attack shocking footage of Syrian energy wants this is the way it's like every few hours now launching deadly assault in which pregnant woman is hacked to death they just calling German I'm surprised this article even actually got it right
[14:48.000 --> 14:57.000]  German officials respond to migrant acts attack by calling for mandatory Islam classes I told you you will be indoctrinated so that you don't trigger them
[14:57.000 --> 15:10.000]  so we're gonna not have a white and red white and blue because that having white triggers you and now you're triggering the Muslims wearing a miniskirt remember the Cologne mayor the green piece you know greeny green party lady she said
[15:10.000 --> 15:24.000]  don't wear those sexy miniskirts and they're having to not have open street parties anymore and during October fest which Germans have done for a thousand years they can't do that now they have to be walled off and in buildings because it's causing a triggering
[15:24.000 --> 15:38.000]  you bring in something incompatible to wreck the liberal society having guns low taxes freedoms liberal banning the color white is the opposite it's cult level brainwashing by the way we have it there is no doubt
[15:38.000 --> 15:50.000]  we have a guy that is literally the most brainwashed zombie cult member of Hillary ever and here's what's crazy we have hundreds of these coming this is actually what most of them are like we didn't just go find a loon
[15:50.000 --> 15:57.000]  we have videos up on info wars dot com the ultimate Hillary zombie today we interviewed in Philadelphia
[15:59.000 --> 16:09.000]  Dr. Group you developed living defense for us it took you over a year to do it why is this so good because people are actually waking up to the problem that pretty much scares me the most
[16:09.000 --> 16:22.000]  I mean I try to make sure that I don't put toxins from food and water and beverages in my system but right now we're dealing with massive parasites which is anything that's harmful to your body that lives off a host mechanism
[16:22.000 --> 16:32.000]  right now with all the refugees spreading disease around we have biological warfare going on everywhere these are all parasites tell us about all this episode there's so many things that are in it
[16:32.000 --> 16:40.000]  you have the neem in there you have the organic clove bud the organic wormwood I recommend doing a parasite cleanse at least twice a year
[16:40.000 --> 16:50.000]  alright well I'm glad we've got some back in because I'm going back on it today it just came back in yesterday living defense info wars life dot com and folks you can't lose it's full of stuff that's great for your body period
[16:50.000 --> 17:02.000]  and you support the broadcast info wars lives dot com thank you doctor group from the global healing center thank you so much for all your work sir on this great product
[17:21.000 --> 17:36.000]  deadly halogen and when the Fukushima crisis worsened as it still is worsening today I was there telling you how to prepare yourself and your family now in 2016 even more information has been revealed concerning the connection between iodine and the gut
[17:36.000 --> 17:50.000]  which many experts are now saying could be the biggest revelation ever concerning iodine you can pull these studies up for yourself this is the real deal folks and the truth is that iodine is essential in my view to any optimum health regimen
[17:50.000 --> 18:08.000]  stock up on survival shield x2 today at info wars life dot com or by calling 888-253-3139 over the years there have been a lot of powerful advancements in the field of science and nutraceuticals young Jevity integrates years of scientific research
[18:08.000 --> 18:21.000]  into creating fantastic products like beyond tangy tangerine plant derived minerals and much more young Jevity also offers you an ingenious way to augment your income and the best part you'll be helping your friends and family along the way
[18:21.000 --> 18:36.000]  visit info wars team dot com today become a member it discounts on the amazing products and free shipping when you sign up for auto ship and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time
[18:36.000 --> 18:51.000]  another win-win that's why I'm a member of the young Jevity team at info wars team dot com and you can be too it's simple just go to info wars team dot com today complete a short sign up and you're part of the team that's info wars team dot com or info wars health dot com
[18:51.000 --> 19:07.000]  so many people call into my radio show and tell me how young Jevity and the products at info wars team dot com have changed their lives check it out for yourself today
[19:21.000 --> 19:42.000]  waging war on corruption it's alex jones coming to you live from the front lines of the info war
[19:42.000 --> 19:53.000]  again ladies and gentlemen I could care less about being famous I could care less about being successful within the globalist system that they already control I want to create new systems
[19:53.000 --> 20:06.000]  I want to see individuals turned loose to empower themselves I want to see humanity free the feudalist model of globalism is about making you poor stupid and controllable programmable
[20:06.000 --> 20:16.000]  what america was all about even though it never even realized but a tenth of its plans was about setting up a system where the individual could be turned loose to follow their dreams
[20:16.000 --> 20:27.000]  and that's what donald trump's talking about bringing back hope that's why I get excited about it because we're changing history we're having a massive effect
[20:27.000 --> 20:43.000]  on bringing back real hope not the fake hope of baron cobalt so we've got all these articles where people named Ali are having their name censored on the news so you don't even know it was an islamist yelling Allah Akbar killing people
[20:43.000 --> 21:02.000]  father saying it wasn't Islamic attack that happened in nice even though they admit it was they said San Bernardino wasn't Fort Hood wasn't and again it just shows what these western governments are doing and now we've got to have Islamic training in schools to make us accept it so they don't kill us anymore
[21:02.000 --> 21:28.000]  meanwhile dem censor white from red white and blue avoid triggering color white change because it's racist info wars reporter joe biggs discovered that democrat media party planners excise the white from the red white and blue sex is the media party in order to not trigger anyone
[21:28.000 --> 21:41.000]  and don't worry they've excise you get the censorship now so trendy and cool they've excised the word Ali from a killer or Allah Akbar
[21:41.000 --> 22:01.000]  meanwhile I reported on this in the middle of last week when Roger L stepped down from Fox News as their CEO that it was a total made up red herring that had organized for years and ready for the election and that they were bringing it out in the election to basically allow the control in the final months
[22:01.000 --> 22:17.000]  and Fox News contributors to be so intimidated they wouldn't dare put out any information that might hurt Hillary and the last straw was when Sean Hannity about a month ago had Donald Trump on and allowed him to talk about Bill Clinton and rape settling rape cases
[22:17.000 --> 22:37.000]  and because of that that's the big term that they banned Roger stone off CNN MSNBC and Fox he's been banned for six months you want to talk about that but he was basically told so that's unfolding as well and now if you think Fox had already gotten bad and lost half its ratings in many demographics because it was becoming so globalist
[22:37.000 --> 23:01.000]  it's a bellwether of the coup that's happening and there's a breakdown here report Murdoch son horrified by potential Trump presidency forced out Roger Ailes and list a bunch of different articles from slate Fox you name it admitting that yes indeed this is being done right now this is all preplanned the lawsuit set up years ago ready to bring down Ailes right before the election
[23:01.000 --> 23:19.000]  and the next will be Matt Drudge and Alex Jones everybody else so this is how they do it and the Roger Ailes things is completely synthetic look at look at the Clinton settling rape cases covering it up all the enabling
[23:19.000 --> 23:37.000]  all the lying all of it but that's okay but for me the issue is we have Debbie washerman Schultz first thing she wouldn't be at the DNC yesterday because of the hacked emails coming up
[23:37.000 --> 23:51.000]  that they were there not the media is mainly focusing on the fact that they said let's create a narrative that he's a bumbling idiot he's a moron he doesn't know how to run things that's actually true about Bernie Sanders was the fact that I didn't have a paying job till he's 40
[23:51.000 --> 24:07.000]  but she said let's develop that but deeper in the emails has come out in a few news articles there's thousands of them deeper in the emails is that they were talking about having the super delegates just block them and announcing a narrative that didn't matter if he won they were still going to win
[24:07.000 --> 24:24.000]  remember they nakedly came out five six months ago and said it doesn't matter if he wins New Hampshire it doesn't matter all the states he wins the super delegates matter we change the rules we're the sovereigns they tried that with the Republicans
[24:24.000 --> 24:42.000]  but to their credit it failed but now they're going into this convention with the Queen Hillary's coronation crooked robbing Hillary who didn't even win California but they quote met the day before with the AP and CNN with the big donors
[24:42.000 --> 24:58.000]  and the super delegates and they decided what her numbers would be so they could then announce that the next day the voting didn't even matter and I can't believe it's not a bigger outrage by this but I'll say this Sanders talks about a lot of real problems
[24:58.000 --> 25:12.000]  deindustrialization globalization corrupt mega corporations being by the law but that's not capitalism that's globalism but it's the problems he talks about a real his solutions look at Venezuela and everywhere else they don't work
[25:12.000 --> 25:28.000]  his solutions are where globalists actually want they just want it done a little bit slower via Hillary but talking to Hillary supporters they are the most cultic dumb down mindless stupid people we've ever seen I got a hands of the Bernie Sanders people on average
[25:28.000 --> 25:47.000]  they actually make some really good points and are smart so I'll give them that but it gets crazier what else is in these emails that they organized the anti-Trump demonstrations that were so violent Chicago and other areas
[25:47.000 --> 26:02.000]  we knew that was Hillary it was it was it was Roger Stone and others that confirmed it was Hillary it wasn't people in Bernie Sanders shirts beating up Trump supporters attacking folks it was Hillary operatives that's in the emails as well
[26:02.000 --> 26:20.000]  that's mainstream news that they scapegoated the burning people so the Democrats would see that and think well beating up innocent folks we're not for that or people calling for communism we're not for that to make Hillary look less radical
[26:20.000 --> 26:35.000]  so they played Sanders just like the globalist always play socialist they played democratic socials those things they played him so hard they're playing you now unless you wake up and vote for Trump here's the bigger question though what about election fraud
[26:35.000 --> 26:48.000]  I mean you know if they'll steal the votes in at least 10 states and give it to Hillary Clinton when when Sanders in some cases with 25 points ahead 20 points ahead 14 points ahead 11 points ahead 10 points ahead
[26:48.000 --> 26:59.000]  these are real states he would he would he won by a landslide if they'll steal the nomination will they try to steal the election you bet your bottom buck buckaroo
[26:59.000 --> 27:19.000]  look at these headlines CNBC Wasserman steps down ahead of DNC convention after blowback from WikiLeaks saga pressure mounts on Wasserman resigns she did pop DNC staffer apologize for email on Sanders religion there's even anti-semitic crap in there
[27:19.000 --> 27:29.000]  leaked emails show DNC officials told their Democrats folks planned anti-Trump protest and they ran them and did them and had folks rest up at Sanders boom daily caller
[27:29.000 --> 27:42.000]  Twitter accused of suppressing DNC WikiLeaks story oh think so I mean that's what we're talking about here but when we come back I've got a bunch of clips I'm gonna play
[27:42.000 --> 27:52.000]  first Trump taking a line directly from this broadcast we're gonna be Americanism Americana not globalism
[27:52.000 --> 28:13.000]  I've been working all day I took a couple hours off coaching basketball I get in here at 830 I was kind of run down you know I just didn't feel like I was gonna make it and I really wanted to do a good job on the interview I got my bottle of
[28:13.000 --> 28:24.000]  brain force right there pop two of them and about 20 minutes later it's like bing everything just kind of clears up got four and a half stars people really love it read about it find out why third party
[28:24.000 --> 28:53.000]  because it really does have the best organic based systems that will blow your socks off I haven't pulled an all nighter like that in a while but I probably could not have done it without brain force I went home about 645 this morning took three hours of sleep got up took two more brain force and came in you will find brain force and other game changing products at infowarslife.com or call 888-253-3139
[28:53.000 --> 29:06.000]  a clean toxic free body is the foundation of true health deep cleanse by infowarslife.com a scientifically formulated blend of nano colloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals
[29:06.000 --> 29:24.000]  using our proprietary multi step extraction technology deep cleanse our most affordable all-in-one cleanser with concentrated organic compounds like cilantro milk thistle phobic acid orange peel zeolites and others deep cleanse doesn't hold back instead of buying five six or even seven different cleansing products
[29:24.000 --> 29:40.000]  we use decades old scientific research to put together the roles Royce of all-in-one cleansing look there's a reason deep cleanse is the only product on the market that uses our proprietary spider ex herbal processing technique we use only the highest quality organic herbs backed by serious research
[29:40.000 --> 29:55.000]  and we still bring it to you the best price out there if you wish to find deep cleanse and experience the all-in-one cleansing visit infowarslife.com that's infowarslife.com or call 888-253-3139
[29:55.000 --> 30:06.000]  thousands of years ago there was a basic form of chivalry our ancestors would hear the drums of war giving the warriors of the tribe a chance to organize and prepare a defense
[30:06.000 --> 30:19.000]  sixty years ago when foreign air forces were approaching filled with bombs they had drums of their own air raid sirens but in the 21st century there are silent weapons for quiet war
[30:19.000 --> 30:43.000]  pathogens added to the food and water and to the lining of plastics that destroy our vitality turn off our hormones and accelerate our journey towards death I personally counter this onslaught with antroplex antroplex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body
[30:43.000 --> 30:53.000]  discover why antroplex has turned so many heads today it's time for us to take our bodies back into our own hands and it starts at infowarslife.com with antroplex
[31:13.000 --> 31:23.000]  three or four people is dealing with some kind of health challenge and everyone knows at least one person with a degenerative disease if you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity
[31:23.000 --> 31:36.000]  and you're looking for a convenient easy way to incorporate nutritional raw materials into your day to day lives to guarantee that your body is getting the fundamental nutrients the ninety essential vitamins minerals fats and amino acids it needs to do its healing work
[31:36.000 --> 31:52.000]  you need to check out infowarsteam.com give your body the gift of good nutrition head over to infowarsteam.com your body will be very grateful on the web at infowarsteam.com that's infowarsteam.com
[32:06.000 --> 32:14.000]  crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[32:14.000 --> 32:34.000]  the mainstream media in hundreds of publications panicked Thursday night when they heard Donald
[32:34.000 --> 32:46.000]  Trump talk about we're going to promote Americanism not globalism that will be our credo because they couldn't block it when he gave speeches saying that in other parts of the country and similar things they would just not cover it
[32:46.000 --> 33:01.000]  not Fox not CNN not anybody of course the alternative new media that in many cases is bigger than the old dinosaur media it did in fact Buckley just was vacationing with his wife in Europe
[33:01.000 --> 33:15.000]  he just sent me a photo of the New York Times I'm going to tweet out during the next break a photo he took that was the New York Times a full double page spread the t-shirts of the RNC and there's nothing inflammatory
[33:15.000 --> 33:25.000]  there's nothing political there's no Hillary for prison there's nothing and they wonder why they have to be owned by the richest man in Mexico and why they're bankrupt
[33:25.000 --> 33:36.000]  why they're like a baseball card for some Mexican kingpin because they're a fraud they're a birdcage liner they're a joke they're their whole mystique is gone
[33:36.000 --> 33:47.000]  when I was there they're like the New York Times wants to do a profile the New York Times wants to interview and I was just like New York Times want them to show it up she's a nice lady and everything but I was just like I don't care to talk to you just make up whatever you want to make up
[33:47.000 --> 34:02.000]  you don't want to talk to the New York Times no I don't want to go play basketball with Kim Jong-un either I mean I just blow my brains out before that I mean I just don't you get it I don't want to be in the establishment
[34:02.000 --> 34:13.000]  you've wrecked the greatest country on earth you've bankrupted us you've run us in the ground don't you understand I don't want to be in your club I want to trailblaze I want to bring back liberty
[34:13.000 --> 34:21.000]  I want to make America and the world great again and that means exposing you because once you're exposed you're gone
[34:21.000 --> 34:34.000]  it's just so pathetic they've hired all these nobodies all these these these hunchbacked intellectual midget people that just think they're God and you're not God your whole world's coming to an end
[34:34.000 --> 34:44.000]  figure that out and of course they're scapegoating washerman Schultz another bug-eyed demon like she was the one trying to steal things from Sanders
[34:44.000 --> 34:59.000]  but Hillary didn't she didn't know she's cut washerman Schultz head off politically no honor among thieves they steal it from the voter they steal it from Sanders
[34:59.000 --> 35:09.000]  they put that hyperbolic weasel you know up there on TV to resign is if everybody's gonna go to sleep now because of this
[35:09.000 --> 35:17.000]  truly sickening and they went out I gotta tell you I don't roll my eyes a lot of what Stone says because everything he's ever told me it turns out to be true
[35:17.000 --> 35:23.000]  is why they say he's the biggest liar ever and he's a hatchet man and he's a dirty treacherous none of it's true none of it from my experience
[35:23.000 --> 35:34.000]  it's sickeningly accurate stuff he comes up with sickeningly accurate this the connections he gets us and he was like oh they're all we're gonna we have the intel they're all Sanders people it's all fake
[35:34.000 --> 35:47.000]  they're directing it the Justice Department Obama and Hillary are directing the entire protest against Trump and we know through the Chicago PD they were ordered to stand down on and on and on and now it's in the emails boom
[35:47.000 --> 36:00.000]  he's joining us coming up about 25 minutes but let me play this short clip of Trump Thursday night and Trump a few weeks before combined with his declaration of independence against the globalist here it is
[36:00.000 --> 36:11.000]  the era of economic surrender will finally be over we will no longer surrender this country or its people to the false song of globalism
[36:11.000 --> 36:24.000]  there you go and then there's another clip in that intro that I'm gonna put in all our intros and I'm gonna hammer forever where Trump says we're gonna play it coming up in the next segment where he says in his speech
[36:24.000 --> 36:29.000]  that was Thursday night
[36:29.000 --> 36:44.000]  Americanism not globalism will be our credo that is gonna be just you're gonna hear that every hour on the show for ever I am gonna hammer because it is so key now let's go ahead and go to another clip here
[36:44.000 --> 36:56.000]  let's go ahead and go to this clip now folks I people have to understand something when Mark dies who does reporting for us puts out these famous videos that drudge everybody else links to where he goes out 90% of Californians
[36:56.000 --> 37:08.000]  white black Hispanic college degrees you name it 90% 9 out of 10 every time sometimes it's 10 out of 10 but usually it's not you know sometimes it's 13 out of 14 but it's usually about 9 out of 10
[37:08.000 --> 37:18.000]  say we want to put all gun owners in slave camps and kill them or we're gonna take their guns and put them in slave camps or we want to make everybody be slaves and a globalist commune
[37:18.000 --> 37:27.000]  and I mean you know they don't know what the fourth of July is they don't know anything they say let's make Karl Marx Hillary Clinton's VP oh yes it's great
[37:27.000 --> 37:41.000]  if you say Hillary supports making Karl Marx or VP they're the biggest fake intellectuals they don't know what planet they're on they just know they feel powerful they're with the system even as it gang raps them
[37:41.000 --> 37:59.000]  this is the first person Rob do today in Philadelphia at the DNC interview and by the way most the people this guy's about a nine or a 10 when it comes to being a zombie moron but they're all six sevens or eights
[37:59.000 --> 38:12.000]  I mean this is and so we're gonna put out videos that are just we don't usually even do this we'll just put out videos like mark dice where it's like 15 people and 12 or 13 of them can't talk okay
[38:12.000 --> 38:29.000]  remember the Obama phone lady he gave us a phone on you more I mean to the it's like the white black matter it's like Muppets and God bless them they're human beings but this is who they are this is who their operatives are and they're and he says well they stole it from
[38:29.000 --> 38:45.000]  Sanders that's fine whatever government wants to do these are soulless us then a Sanders guy comes over all you got an agenda info wars were like really let him talk and he goes okay I guess you don't yeah we know we have an agenda to show what's going on
[38:45.000 --> 39:03.000]  we wish that 10 out of 10 people were at least as smart as a Sanders supporter but they're not we're showing you what's going on I just fire and forget folks I just cover boom the facts what my historical gut is what we believe to be true doesn't mean we're perfect but let me tell you
[39:03.000 --> 39:17.000]  compared to dinosaur media we are the opposite let's go ahead and go to part of this club here this okay so I'm here with a Hillary supporter he's got a shirt says yes queen 2016 what's your name sir
[39:17.000 --> 39:35.000]  my name is Anthony the botany from havertown I'm a Democratic leader Greg Battali sent me down to volunteer with the committee of Democrats for Hillary Ron and Clinton and I support the Democrats because John F Kennedy inspired me to come a Democratic leader I trust Hillary
[39:35.000 --> 39:49.000]  for leadership dedication, honor, trust, dignity, loyal, trustworthy, Hillary's the best I know what she becomes president she'll be the best leader in the world no Hillary
[39:49.000 --> 39:59.000]  alright hey did you see the article about the WikiLeaks documents that came out and said the DNC was trying to throw it for Hillary they did not want Bernie Sanders to become the nominee for the Democratic Party
[39:59.000 --> 40:13.000]  well I believe that the Democratic Party they know what they're doing Hillary's a good leader I trust Hillary, Hillary is a good leader and I know what she becomes president of the United States she'll be an outstanding leader for our country
[40:13.000 --> 40:21.000]  I trust her for loyalty, leadership, trust, value, friendship and God and country
[40:21.000 --> 40:26.000]  so you think it's okay that they decided to select a candidate instead of letting the people's will decide
[40:26.000 --> 40:36.000]  yes sir I agree with that the government should allow Hillary Clinton to become president of the United States
[40:36.000 --> 40:46.000]  one last question what do you think about the emails scandal when the FBI director came out and said she had at least 110 classified emails that she put out on her server
[40:46.000 --> 40:55.000]  as far as I'm concerned there she's clear Hillary Clinton is cleared for all charges she is clear 100% clear
[40:55.000 --> 40:57.000]  what do you think of Bill Clinton
[40:57.000 --> 41:05.000]  awesome I can't pay with Bill Clinton I got him elected I got him certified I got him elected for president of the United States
[41:05.000 --> 41:08.000]  this guy associates his personal power with Clinton
[41:08.000 --> 41:12.000]  we've ever had that was Obama Obama's totally awesome we're gonna miss him
