[00:00.000 --> 00:20.000]  music
[06:35.520 --> 06:39.900]  We have the somalcast on AM and FM stations, TV, cable around the country.
[06:39.900 --> 06:47.520]  I saw the new talking point over the weekend from CNBC, Reuters, CNN, after the fall of
[06:47.520 --> 06:49.440]  Alex Jones.
[06:49.440 --> 06:52.400]  The rise and fall of Alex Jones.
[06:52.400 --> 06:55.440]  We have a bigger audience than we've ever had.
[06:55.440 --> 06:57.280]  I've got our own internal numbers.
[06:57.280 --> 06:59.560]  I've shown the videos.
[06:59.560 --> 07:01.840]  We can have a go on Twitter before they ban that.
[07:01.840 --> 07:08.400]  Look, here's Google Analytics, record-trafficking, but they want that perception that if you
[07:08.400 --> 07:12.960]  don't go along with the globalists, if you don't go along with open borders or gun control,
[07:12.960 --> 07:16.720]  you're not going to get an admission to college, you're not going to get a corporate job, you're
[07:16.720 --> 07:20.600]  not going to have any access online, you better submit.
[07:20.600 --> 07:26.520]  So, they're trying to bully the American people, and now it's come out.
[07:26.520 --> 07:28.760]  The tables have been turned.
[07:28.760 --> 07:34.000]  Think Progress, another George Soros-funded fake news outlet, gets censored by Facebook
[07:34.000 --> 07:40.080]  fact-checkers, stories up on infowars.com, got picked up by a bunch of publications,
[07:40.080 --> 07:44.080]  and here they are calling for me to be banned just a few weeks ago and celebrating it.
[07:44.080 --> 07:52.160]  And then they're like, how dare Facebook censor us saying that Kavanaugh said that he wants
[07:52.160 --> 07:55.080]  to overturn Roe v. Wade, which he never said.
[07:55.080 --> 08:03.240]  And so they had the neocon outfit, weekly standard come, and they're now part of the
[08:03.240 --> 08:07.080]  fact-checking group, along with the Southern Prairie Law Center and Media Matters and
[08:07.080 --> 08:12.120]  George Soros' groups, and Snopes, famously fake.
[08:12.120 --> 08:14.360]  So that's the group that lied about WMDs in Iraq.
[08:14.360 --> 08:16.120]  That's the group that was never Trump.
[08:16.120 --> 08:21.040]  That's the group that has been involved in so much corruption, headed up by Mr. Crystal,
[08:21.040 --> 08:24.880]  whose father was the head of the Trotskyites and the famous communist, worked for Leon
[08:24.880 --> 08:26.880]  Trotsky.
[08:26.880 --> 08:30.280]  That is one of the worst groups you could have, but of course they've got the Democrats
[08:30.280 --> 08:34.880]  coming in and censoring, and now we've got to have token conservatives from the weekly
[08:34.880 --> 08:40.600]  standard who are even worse than the Democrats in many cases, warmongering neocons.
[08:40.600 --> 08:45.080]  And they'll be the new superclass that decides what's real and not, and so they'll just
[08:45.080 --> 08:50.440]  remove it off Facebook and then give a warning to think progress that if you do this anymore,
[08:50.440 --> 08:55.880]  we may ban you.
[08:55.880 --> 08:57.880]  Think about that.
[08:57.880 --> 09:04.600]  A ruling Republican Democrat blue blood establishment that decides who and who can't post and what's
[09:04.600 --> 09:05.880]  real and what isn't.
[09:05.880 --> 09:12.440]  Oh, there'll be no, in fact, checking weekly standard or CNN, even though Anderson Cooper
[09:12.440 --> 09:17.160]  got caught standing there up to his chest in a creek claiming he was amongst flooded
[09:17.160 --> 09:21.560]  houses with his crew all standing around him on dry ground, or the weather channel,
[09:21.560 --> 09:25.400]  or the guy being blown everywhere, and people just stroll right past him like it's no big
[09:25.400 --> 09:26.400]  deal.
[09:26.400 --> 09:27.880]  We all know what's fake.
[09:27.880 --> 09:29.080]  We can make our own decision.
[09:29.080 --> 09:32.640]  We can smell the truth, as Tucker Carlson says.
[09:32.640 --> 09:37.400]  So let it all rise or fall and let the people decide.
[09:37.400 --> 09:42.760]  Don't have fact checkers, failed CNN, failed New York Times, failed weekly standard that
[09:42.760 --> 09:47.600]  loses money every month.
[09:47.600 --> 09:56.080]  Don't have them as the new superclass that is up there deciding what you can and can't
[09:56.080 --> 09:57.080]  see.
[09:57.080 --> 09:58.080]  Let us see it all.
[09:58.080 --> 10:02.720]  Let's see, we're not being banned and restricted because M. Full Wars is a lie, we're being
[10:02.720 --> 10:07.720]  banned and restricted because what we're saying is the truth and is viral and is infectious
[10:07.720 --> 10:09.720]  and here's the key.
[10:09.720 --> 10:15.520]  They want to remove us off air so that they can then lie about us and say whatever they
[10:15.520 --> 10:25.760]  want by building a straw man and go into the ring, go to the arena and beat us up.
[10:25.760 --> 10:30.280]  And then we don't have a chance to respond.
[10:30.280 --> 10:34.920]  If you want to see the article, we'll pull it up from infowars.com.
[10:34.920 --> 10:39.280]  Anderson Cooper caught in massive fake news.
[10:39.280 --> 10:47.800]  Anderson Cooper caught in deception of the American people.
[10:47.800 --> 10:52.040]  Anderson Cooper caught in major performance art.
[10:52.040 --> 11:02.480]  Can't they even report on the weather accurately?
[11:02.480 --> 11:04.600]  Can't they even do that?
[11:04.600 --> 11:08.560]  And the answer is no, they can't because they're all about deception.
[11:08.560 --> 11:14.200]  They teach in journalism school how to lie now.
[11:14.200 --> 11:19.560]  Member Gruber said he was hired by Obama to lie to people and Obama admitted it and he's
[11:19.560 --> 11:23.040]  up there at universities giving speeches to graduate students about how to be a better
[11:23.040 --> 11:27.360]  liar and how to deceive people and they're all rubbing their hands together like he's
[11:27.360 --> 11:30.240]  God.
[11:30.240 --> 11:35.280]  So the fact that they've gotten away with so much to them means well, Trump only got
[11:35.280 --> 11:43.280]  in because we didn't lie enough, you see, but they can't have the real fact checkers
[11:43.280 --> 11:50.320]  out there like infowars, they can't have us there because then it calls them on their
[11:50.320 --> 11:51.320]  lives.
[11:51.320 --> 11:57.760]  They want to as a big, corporate, massive group lie to us in mass and not have anyone
[11:57.760 --> 12:03.400]  be able to oppose it or respond to it in any way.
[12:03.400 --> 12:10.840]  Now we come back from break, a lengthy Joe Biden speech that tells whopper after whopper
[12:10.840 --> 12:11.840]  after whopper.
[12:11.840 --> 12:15.560]  I'm going to try to just get to a few clips of it and just analyze the lies that are there.
[12:15.560 --> 12:23.480]  But it is like the worst around the fire stories you're trying to tell when you're out camping
[12:23.480 --> 12:26.520]  with your dad and your grandpa and they try to scare you when you're five years old and
[12:26.520 --> 12:30.800]  they go, let us tell you the story of the headless ghoul that rides through this area
[12:30.800 --> 12:31.800]  of Texas.
[12:31.800 --> 12:39.560]  Oh, he's got big red eyes and big long fangs and he's got a fork tail and just legend has
[12:39.560 --> 12:40.560]  it near here.
[12:40.560 --> 12:45.720]  Years ago, he grabbed some kids during the night, he's up there going, they were out
[12:45.720 --> 12:51.840]  on horses with white hoods, burning torches and Trump wouldn't stop them.
[12:51.840 --> 12:52.840]  They're the KKK.
[12:52.840 --> 13:01.200]  I mean, it is the most ridiculous lies when it's the Democratic Party and the Republicans
[13:01.200 --> 13:05.800]  that passed the Civil Rights Act, Martin Luther King was a Republican, but the public doesn't
[13:05.800 --> 13:09.040]  have history so they don't know.
[13:09.040 --> 13:15.480]  That's all coming up in the next segment and Matt Drudge warns of midterm blood blast.
[13:15.480 --> 13:22.040]  Trump to lose 60 seats in the house like Obama unless we'll give you the unless we've got
[13:22.040 --> 13:28.400]  Cortez on how she'd pay $40 trillion for socialist programs with $2 trillion falling flat on
[13:28.400 --> 13:29.800]  her face.
[13:29.800 --> 13:34.760]  We've got the New York Times and others now saying that again, Obama gets credit for the
[13:34.760 --> 13:38.480]  economy, but since Trump's getting credit, let's just change how the numbers are looked
[13:38.480 --> 13:39.480]  at.
[13:39.480 --> 13:46.400]  Hollywood celebrates Paul Manafort guilty plea, checkmate F U Trump, but it's he's pleading
[13:46.400 --> 13:50.560]  guilty on not paying taxes 15 years ago.
[13:50.560 --> 13:51.840]  So where's your Russia gate?
[13:51.840 --> 13:54.400]  See, it's not that now.
[13:54.400 --> 13:58.080]  We're also going to look at young girl raped by 100 Islamic men.
[13:58.080 --> 14:07.720]  You'll see how the mainstream media spun that and so much more here today and we also have
[14:07.720 --> 14:08.720]  an amazing report.
[14:08.720 --> 14:11.920]  Emily, we were Democrats are desperate for black vote, but they're not getting it.
[14:11.920 --> 14:13.240]  That's why they're so scared.
[14:13.240 --> 14:16.440]  Another key report as well.
[14:16.440 --> 14:23.440]  When I had Eric bowling formerly a Fox News, I would see our TV here in studio.
[14:23.440 --> 14:26.880]  Last week, he said, you know, how dare you say there were bombs in the buildings?
[14:26.880 --> 14:29.120]  How dare you say that?
[14:29.120 --> 14:34.560]  And I said, Eric, I have clips of Trump saying he said, I want to see him.
[14:34.560 --> 14:38.680]  We were five minutes towards the end of the show and I said, I'll make a special video
[14:38.680 --> 14:40.360]  for you and then we'll air it.
[14:40.360 --> 14:41.360]  Then I'll send you that video.
[14:41.360 --> 14:47.120]  So we're going to premiere it here tonight, start of the next hour and Roger Stone's all
[14:47.120 --> 14:48.120]  big exclusive news.
[14:48.120 --> 14:53.080]  And then I'm going to put it up to infowars.com on our own video feeds and we're going to
[14:53.080 --> 14:55.280]  send that out to Mr. Bowling.
[14:55.280 --> 14:56.920]  He's a good guy.
[14:56.920 --> 15:03.840]  He means, well, he's a boy scout and he's an economist and he just can't believe where
[15:03.840 --> 15:07.520]  I get this stuff that I heard that day there were bombs in the buildings.
[15:07.520 --> 15:12.520]  Now, now maybe that's not true, but the media attacked me and said it never happened.
[15:12.520 --> 15:18.240]  I talked to the police that said, no, the feds were inside building seven and said,
[15:18.240 --> 15:19.240]  get ready.
[15:19.240 --> 15:21.400]  They had a 10 second countdown and blew it up.
[15:21.400 --> 15:26.800]  And guess what on PBS inadvertently, they had the video of the countdown and seven being
[15:26.800 --> 15:27.800]  blown up.
[15:27.800 --> 15:28.800]  So you're going to see all that.
[15:28.800 --> 15:29.800]  It's a six minute video.
[15:29.800 --> 15:33.280]  We got a 15 minute one coming out Tuesday.
[15:33.280 --> 15:36.160]  So I'm just going to show you why I question that mean I don't think Islamic terror is
[15:36.160 --> 15:37.160]  real.
[15:37.160 --> 15:38.160]  None of that.
[15:38.160 --> 15:41.960]  It means we've been lied to and there's a criminal alliance by partisanly with radical
[15:41.960 --> 15:48.080]  Islam needs to stop info wars.com news wars.com.
[15:48.080 --> 15:51.520]  You know, you're listening to the number one most banned broadcast in the world.
[15:51.520 --> 15:52.520]  Why is it?
[15:52.520 --> 15:54.040]  Because we tell the truth.
[15:54.040 --> 15:55.040]  We love America.
[15:55.040 --> 15:56.040]  We love freedom.
[15:56.040 --> 15:58.360]  We're not backing down.
[15:58.360 --> 16:02.960]  We all know the importance of fish oils while we are sure to provide them for ourselves.
[16:02.960 --> 16:08.600]  It's just as important to make sure your kids get their EPA and DHA to honor role is a powerful
[16:08.600 --> 16:14.640]  DHA fish oil formula for your child built from the ground up to support your child's
[16:14.640 --> 16:15.640]  development.
[16:15.640 --> 16:21.600]  This formula uses wild anchovy fish oil, ultra purified krill oil and wild salmon fish oil
[16:21.600 --> 16:24.800]  with vitamins to boost your child's mind and body.
[16:24.800 --> 16:30.120]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive
[16:30.120 --> 16:35.160]  and brain health while providing DHA, which has been shown to be essential for your child's
[16:35.160 --> 16:42.120]  brain growth spurts built on powerful ingredients with 580 milligrams of high DHA omega 3s.
[16:42.120 --> 16:46.560]  This formula is highly refined to eliminate nearly all heavy metals.
[16:46.560 --> 16:50.960]  If you're looking for a formula to help your child grow, look no further.
[16:50.960 --> 16:58.160]  Try Honor Roll from info wars life at info wars store.com.
[16:58.160 --> 17:02.520]  We're bringing back one of the biggest fan favorite formulas we've ever offered with
[17:02.520 --> 17:07.400]  even better ingredients, ultimate bone broth.
[17:07.400 --> 17:12.520]  Info wars life is proud to bring you a powerhouse bone broth formula to help push you to your
[17:12.520 --> 17:13.520]  limits.
[17:13.520 --> 17:17.920]  This incredible formula will help you get the most out of your workout with the power
[17:17.920 --> 17:23.000]  of ultra high quality bone broth, one of the most popular health trends on the planet.
[17:23.000 --> 17:27.120]  Built with more than seven different super foods and crucial compounds, ultimate bone
[17:27.120 --> 17:32.040]  broth will help support your healthy muscles, digestion, tendons and ligaments while also
[17:32.040 --> 17:35.360]  supporting your body's fight against free radicals.
[17:35.360 --> 17:40.480]  This incredible chicken bone broth formula contains time tested ingredients such as turmeric
[17:40.480 --> 17:46.360]  root, chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your
[17:46.360 --> 17:47.360]  body.
[17:47.360 --> 17:51.040]  It's time to experience what ultimate bone broth can do for you.
[17:51.040 --> 17:59.040]  Get a bottle of the all new version of a fan favorite product today at info wars store.com.
[17:59.040 --> 18:06.040]  One of the most incredible cups of coffee can be found in the high mountains of southern
[18:06.040 --> 18:11.120]  Mexico where the Chiapas farmers have spent years perfecting their techniques.
[18:11.120 --> 18:16.040]  Based off hundreds of years of traditional techniques and perfect conditions, we've
[18:16.040 --> 18:21.120]  sourced only the best to provide you with our immune support and wake up America Patriot
[18:21.120 --> 18:22.120]  Blend coffee.
[18:22.120 --> 18:26.200]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate
[18:26.200 --> 18:28.320]  the world's finest coffee beans.
[18:28.320 --> 18:33.400]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot
[18:33.400 --> 18:38.920]  Blend coffees have a smooth, bold flavor with great depth to give you just what you need
[18:38.920 --> 18:39.920]  in the morning.
[18:39.920 --> 18:44.400]  You can even choose to start your morning healthier with the immune support blend infused
[18:44.400 --> 18:47.960]  with a powerful blend to support your immune response and stamina.
[18:47.960 --> 18:50.440]  It's time to take care of your morning routine.
[18:50.440 --> 18:54.720]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine
[18:54.720 --> 18:57.720]  at infowarstore.com.
[18:57.720 --> 19:04.040]  X2, we were selling it for about three years and then they found out how big it was and
[19:04.040 --> 19:07.400]  how much we were buying and they said, oh we want more money, more money and oh this
[19:07.400 --> 19:13.240]  and that and so I've broken my contract and right now we can't get more of this proprietary
[19:13.240 --> 19:17.240]  ingredient that goes in X2 that literally is so pure that if you put in a peaker dish
[19:17.240 --> 19:22.760]  on top of 90 degree hot plate it gasses like I dream of genie and it's purple gas.
[19:22.760 --> 19:26.080]  I mean that is so pure it just goes right into your body when you take it.
[19:26.080 --> 19:31.240]  We're working on trying to get other suppliers right now but I bought a huge amount of it
[19:31.240 --> 19:35.440]  ordered at six months ago so I get the price down and I said if you don't lower it I'm
[19:35.440 --> 19:40.480]  done I'm breaking the contract well I broke the contract last week and so this is potentially
[19:40.480 --> 19:41.480]  the last run.
[19:41.480 --> 19:46.240]  So right now it is the last run, there's a viable shield X2 and we've got a good supply
[19:46.240 --> 19:48.080]  of it but it'll be gone in a couple of months.
[19:48.080 --> 19:52.080]  X2, if you haven't experienced it, infowarstore.com, if you have experienced it and you're not
[19:52.080 --> 19:54.360]  ready to use, I suggest you stock up on it.
[19:54.360 --> 20:02.320]  It's available right now for a limited time, infowarstore.com, it's 25% off right now.
[20:02.320 --> 20:13.840]  We're listening to the Alex Jones show.
[20:13.840 --> 20:36.960]  It's Alex Jones.
[20:36.960 --> 20:42.960]  So we always hear that Trump is this really mean person, he wants to shut down free speech
[20:42.960 --> 20:48.200]  but he's not calling for shutting down anybody's free speech, it's the mainstream corporate
[20:48.200 --> 20:52.840]  media that wants all conservatives, all libertarians, all Christians, all veterans groups banned
[20:52.840 --> 20:53.840]  off the internet.
[20:53.840 --> 21:01.800]  We've got U.S. Senators Wyden and Warner and Murphy saying Alex Jones is only the beginning,
[21:01.800 --> 21:04.200]  get rid of thousands, get rid of Rush Limbaugh.
[21:04.200 --> 21:09.680]  We have the Federal Election Commission persecuting anybody that donates to Republicans.
[21:09.680 --> 21:12.960]  We have the IRS going after churches and Christian groups.
[21:12.960 --> 21:17.920]  We have a reign of terror and bullying going on.
[21:17.920 --> 21:23.480]  But then we've got Joe Biden with all of his corruption and protecting Bill Clinton who
[21:23.480 --> 21:30.200]  protected Al Qaeda and then supporting the Arab Spring under Obama and Hillary and uranium
[21:30.200 --> 21:36.720]  one and the KKK background of the Democrats saying that he wants to pick a fight with
[21:36.720 --> 21:40.240]  the bullies, meaning Trump and their supporters.
[21:40.240 --> 21:45.320]  Now you're the ones beating us over the head with bike locks, throwing coffee on us, shooting
[21:45.320 --> 21:50.640]  Congressman Scalise, calling for Trump's overthrow, calling for the economy to be destroyed so
[21:50.640 --> 21:52.520]  that we can stop Trump.
[21:52.520 --> 21:56.160]  That's the Democrats.
[21:56.160 --> 21:59.720]  But now he says we're the dregs of society.
[21:59.720 --> 22:02.040]  Let's look up the definition of dregs.
[22:02.040 --> 22:12.040]  It means winos, drug addicts, pickpockets, thugs, child molesters, murderers, ex-convicts,
[22:12.040 --> 22:17.120]  the lowest of the low, the remains of liquid left in a container together with sediment
[22:17.120 --> 22:24.040]  or grounds, the most worthless parts of something, the crap inside intestines.
[22:24.040 --> 22:29.280]  You can take pig intestines and make chitlins, got to clean out the crap, boil the guts and
[22:29.280 --> 22:33.600]  then fry them, I've had them, it's a southern dish.
[22:33.600 --> 22:38.920]  But the dregs would be the guts, you throw out the dregs.
[22:38.920 --> 22:45.120]  So if you go to a Democratic Party function or a liberal event, they look like they're
[22:45.120 --> 22:46.620]  dead.
[22:46.620 --> 22:51.280]  They look like they've been beaten ahead with a baseball bat, they stumble around, most
[22:51.280 --> 22:56.880]  people can hardly talk, and I don't feel powerful when I see a group of Democrats, I feel sorry
[22:56.880 --> 22:57.880]  for them.
[22:57.880 --> 23:01.800]  That's why they're really censoring conservatives and nationalists off of Facebook and Twitter
[23:01.800 --> 23:06.120]  and YouTube, because we would all, even under censorship, we used to have videos with 30,
[23:06.120 --> 23:10.640]  40 million views, under censorship, routinely a million, two million views, going out and
[23:10.640 --> 23:15.560]  just pointing a camera at a crowd of Democrats with the after mother, white people, they're
[23:15.560 --> 23:22.840]  monkey subhumans, you know, we're going to kill you, and then you go to the next person
[23:22.840 --> 23:28.240]  and the next person and the next person and the next person and the next person, and they
[23:28.240 --> 23:33.520]  all sound like something out of a Hellraiser movie.
[23:33.520 --> 23:43.040]  So when he calls us dregs, think about the projection that Joe Biden's involved in, because
[23:43.040 --> 23:50.040]  Hillary in the WikiLeaks calls her supporters worthless, dumb, stupid, baristas that want
[23:50.040 --> 23:54.840]  something more from her when they're lazy living in their mom's basement, close quote.
[23:54.840 --> 23:58.080]  Trump says, I want to get you out of your mom's basement, I believe in you, whether
[23:58.080 --> 24:02.040]  you're white or black, and you see him try to move us an economy back and have a culture
[24:02.040 --> 24:07.280]  of working, and they flip out and say, he's a loser, he's a crazy man, he's the worst
[24:07.280 --> 24:10.880]  thing since, gonorrhea.
[24:10.880 --> 24:15.400]  So let's start going to this Joe Biden piece.
[24:15.400 --> 24:32.040]  Joe Biden refers to Trump supporters as dregs of society, here he is.
[24:32.040 --> 24:34.040]  So there's your dregs of society clip.
[24:34.040 --> 24:38.800]  Now let's go to a larger clip where he talks about the KKK riding through the night with
[24:38.800 --> 24:43.280]  burning torches and they're coming to get you like they're telling ghost stories to
[24:43.280 --> 24:48.120]  little kids, and they're the people that hate you if you're gay, and they're the people
[24:48.120 --> 24:53.320]  that hate you if you're black, but here's the good news, Americans, no matter what color
[24:53.320 --> 24:57.800]  they are or where they came from, are figuring out that the Trump economy is a lot better,
[24:57.800 --> 25:02.080]  that the establishment is against Trump, so let's go ahead and start going to this.
[25:02.080 --> 25:14.040]  But this onslaught that we're seeing does require, require us not only to be vigilant,
[25:14.040 --> 25:23.280]  but be more aggressive and demand more, demand more of our leaders who represent basic American
[25:23.280 --> 25:29.080]  values of respect, decency, equality, giving hate no safe haven.
[25:29.080 --> 25:36.400]  Giving hate no safe haven, that means anything they define the Second Amendment, the nuclear
[25:36.400 --> 25:45.680]  family saying he or she being bad in the US, Canada, Sweden, being masculine, being feminine,
[25:45.680 --> 25:50.320]  whatever they want to define as something they want to attack, they say, don't give
[25:50.320 --> 25:55.800]  your speech safe haven, believe me, we know bullies, you're not giving speech a safe haven.
[25:55.800 --> 25:56.800]  Let's continue.
[25:56.800 --> 26:03.040]  We hold these truths self-evident, all men are critical and found by their creator.
[26:03.040 --> 26:09.640]  Sounds corny when you say it, but the American people basically in their gut, we've never
[26:09.640 --> 26:13.840]  met it, but that's the aspiration and they're not giving up on it.
[26:13.840 --> 26:15.720]  Let's pause again.
[26:15.720 --> 26:19.400]  It's true that those great ideas have never been met, but the idea of meeting it has brought
[26:19.400 --> 26:23.840]  us further than many other nations, that probably more than anybody, the American system.
[26:23.840 --> 26:25.560]  So why are we the bad guys?
[26:25.560 --> 26:27.160]  Why do we have to be the Nazis?
[26:27.160 --> 26:30.600]  Why do we have to be the evil folks when our history doesn't show that?
[26:30.600 --> 26:36.080]  But again, this is coming to you from the Democratic Party and somebody that literally
[26:36.080 --> 26:42.000]  was under Senator Byrd, who was a grand dragon in the KKK and the Democratic Party, but he
[26:42.000 --> 26:43.200]  thinks you have no memory.
[26:43.200 --> 26:44.200]  Let's continue.
[26:44.200 --> 26:48.920]  You know, Barack and I agreed to be raised silent for a while to give this administration
[26:48.920 --> 26:50.960]  a chance to get up and running the first year.
[26:50.960 --> 26:55.960]  Let's pause again, back it up 10 seconds, they were never quiet through their surrogates.
[26:55.960 --> 27:00.200]  It came out in all the different documents and lawsuits and FBI files that the Democrats
[27:00.200 --> 27:06.040]  led by Obama, Hillary and others have been orchestrating the fake PP gate dossier.
[27:06.040 --> 27:08.560]  They've been launching the attacks on Trump.
[27:08.560 --> 27:10.200]  They've been trying to block everything.
[27:10.200 --> 27:12.240]  Oh, but they gave him a chance.
[27:12.240 --> 27:14.000]  They tried to make him succeed.
[27:14.000 --> 27:18.560]  The media, the Democrats, you know, gave Trump that honeymoon period that every other president
[27:18.560 --> 27:19.560]  got.
[27:19.560 --> 27:21.240]  There was no honeymoon period.
[27:21.240 --> 27:22.840]  They tried to keep him from getting his delegates.
[27:22.840 --> 27:25.440]  They tried to keep him from even becoming the president.
[27:25.440 --> 27:29.880]  They tried to riot and block the entrances to his inauguration and then lied about who
[27:29.880 --> 27:33.080]  was there.
[27:33.080 --> 27:34.840]  Everything Biden says is a lie.
[27:34.840 --> 27:35.840]  Continue.
[27:35.840 --> 27:38.440]  You're not given up on it.
[27:38.440 --> 27:42.520]  You know, Barack and I agreed to be raised silent for a while to give this administration
