[00:00:02.859 --> 00:00:04.521]  Joe Biggs with Infowars.com.
[00:01:49.455 --> 00:02:01.324]  We've heard, based off many articles that have been out in the Guardian and all this, that, uh, this place is... Put the mic up to the... Can you have them up to the hole?
[00:02:01.324 --> 00:02:05.328]  So why are you guys acting so secretive about this place?
[00:02:05.328 --> 00:02:06.889]  We're not acting secretive.
[00:02:06.889 --> 00:02:08.750]  Then why can't you just answer a few questions then?
[00:02:11.294 --> 00:02:11.974]  But why not, though?
[00:02:11.974 --> 00:02:12.774]  There's nothing going on.
[00:02:12.774 --> 00:02:14.735]  Sir, I have nothing to say.
[00:02:14.735 --> 00:02:19.555]  So, but you guys at least admit, though, that you guys illegally detain people here and hold them without reading them the rights.
[00:02:19.555 --> 00:02:23.016]  I said, if you have a question, ask Houston.
[00:02:23.016 --> 00:02:31.438]  So he's refusing to talk to us, and he says that we have to go to a public affairs office, which is not even around this area, which is blocks and blocks away.
[00:02:31.438 --> 00:02:32.038]  Do what now?
[00:02:32.038 --> 00:02:33.638]  You have to exit our property.
[00:02:33.638 --> 00:02:34.758]  What's going on here?
[00:02:34.758 --> 00:02:37.519]  You have to exit the property.
[00:02:37.519 --> 00:02:38.379]  Well, can I ask what's going on?
[00:02:40.327 --> 00:02:43.068]  You have to go back to Holman, where it's public property.
[00:02:43.068 --> 00:02:43.608]  Okay.
[00:02:43.608 --> 00:02:44.149]  Okay?
[00:02:44.149 --> 00:02:45.389]  Okay.
[00:02:45.389 --> 00:02:47.670]  You're gonna have to go back to Holman, like right now.
[00:02:47.670 --> 00:02:49.551]  I'll walk right up here to the street.
[00:02:49.551 --> 00:02:51.892]  You're gonna have to go all the way to Holman, like right now.
[00:02:51.892 --> 00:02:52.692]  What's your name?
[00:02:52.692 --> 00:02:54.293]  You're gonna have to go all the way to Holman.
[00:02:54.293 --> 00:02:55.193]  I'm Sergeant Patrina Wines.
[00:02:55.193 --> 00:02:55.693]  Sergeant Patrina Wines.
[00:02:55.693 --> 00:02:58.575]  You have to go all the way back to Holman, right now.
[00:02:58.575 --> 00:03:00.295]  Okay, we will.
[00:03:00.295 --> 00:03:00.876]  Right now.
[00:03:00.876 --> 00:03:02.296]  We are.
[00:03:02.296 --> 00:03:02.516]  Now.
[00:03:02.516 --> 00:03:05.958]  Do you guys agree with torturing people and holding them without due process?
[00:03:05.958 --> 00:03:07.859]  Holman Street, public property, right now.
[00:03:11.309 --> 00:03:16.452]  Can you show us where the sites are where you guys hold people illegally?
[00:03:16.452 --> 00:03:18.733]  Wow, so as you can see, we just got out to investigate.
[00:03:18.733 --> 00:03:21.514]  We walk up, we go and try and talk to the guy at the gate.
[00:03:21.514 --> 00:03:22.335]  He won't talk to us.
[00:03:22.335 --> 00:03:25.636]  He's trying to send us on this wild goose chase to go meet with a public offender.
[00:03:25.636 --> 00:03:29.718]  I'm asking him, are you aware, sir, of what's going on here at this facility?
[00:03:29.718 --> 00:03:36.782]  Do you know that they're illegally taking people, holding them hostage, shackling them to benches, beating them.
[00:03:36.782 --> 00:03:38.183]  Someone's died there.
[00:03:38.183 --> 00:03:39.083]  I mean, this is out of control.
[00:03:39.083 --> 00:03:40.704]  And he's looking at me like I'm out of my mind.
[00:03:41.564 --> 00:03:42.244]  You know?
[00:03:42.244 --> 00:03:47.607]  So then they send some lady down, a police officer who's in charge or whatever, telling us we have to get off their property.
[00:03:47.607 --> 00:03:52.590]  We're clearly standing on a public sidewalk and she's just harassing us, telling us to get out of there.
[00:03:52.590 --> 00:03:53.111]  You need to leave.
[00:03:53.111 --> 00:03:53.611]  You need to leave.
[00:03:53.611 --> 00:03:55.772]  You need to leave.
[00:03:55.772 --> 00:03:56.933]  But this is a bank sidewalk.
[00:03:56.933 --> 00:03:58.093]  This is a bank.
[00:03:58.093 --> 00:04:00.154]  Do you work for this bank?
[00:04:00.154 --> 00:04:01.355]  Do you work for this bank?
[00:04:01.355 --> 00:04:02.756]  This is a bank though.
[00:04:02.756 --> 00:04:04.137]  That's their property.
[00:04:04.137 --> 00:04:06.998]  It says Liberty Bank.
[00:04:06.998 --> 00:04:08.899]  Okay, but I'm about to.
[00:04:08.899 --> 00:04:09.820]  You guys are all thugs.
[00:04:10.851 --> 00:04:12.331]  So then we're like, alright, whatever.
[00:04:12.331 --> 00:04:24.835]  So we walk across the street into this bank parking lot, and for no reason, I mean, it blows my mind, this guy decides to just drive up and tell us, hey, I'm undercover, you can't film me.
[00:04:24.835 --> 00:04:26.875]  Like, first of all, we weren't even filming you.
[00:04:26.875 --> 00:04:35.798]  You drove in front of our shot, live, on TV, on the radio, to tell us that you're an undercover cop, and that if that footage gets out, you're gonna get killed.
[00:04:35.798 --> 00:04:37.618]  I mean, what is, why would you do that?
[00:04:37.618 --> 00:04:39.679]  Sorry to interrupt.
[00:04:39.679 --> 00:04:39.959]  What's up?
[00:04:40.573 --> 00:04:41.914]  It's an undercover car.
[00:04:41.914 --> 00:04:47.398]  Would you mind erasing the part where I drove through just so I don't get killed when they find out my license plate?
[00:04:47.398 --> 00:04:47.938]  Yes.
[00:04:47.938 --> 00:04:49.219]  All right, folks.
[00:04:49.219 --> 00:04:51.760]  We're live broadcasting worldwide.
[00:04:51.760 --> 00:04:53.461]  Get ready when we come back.
[00:04:53.461 --> 00:04:58.665]  We're going to break everything down on this March 2, 2015 global transmission.
[00:04:58.665 --> 00:04:59.605]  I'm Alex Jones.
[00:04:59.605 --> 00:05:00.146]  Stay with us.
[00:05:02.433 --> 00:05:08.536]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:05:08.536 --> 00:05:13.118]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:05:13.118 --> 00:05:20.821]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:05:21.061 --> 00:05:26.584]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:05:26.584 --> 00:05:32.526]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:05:32.526 --> 00:05:37.488]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:05:37.488 --> 00:05:41.430]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:05:41.430 --> 00:05:47.633]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:05:48.033 --> 00:05:53.176]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:05:53.176 --> 00:05:56.919]  Now available in our limited first run at Infowarslife.com.
[00:05:56.919 --> 00:05:58.820]  That's Infowarslife.com or call 888-253-3139.
[00:06:02.330 --> 00:06:06.933]  The average person's life is filled with unexpected challenges.
[00:06:06.933 --> 00:06:13.298]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:06:13.298 --> 00:06:22.724]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:06:22.724 --> 00:06:27.548]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
[00:06:32.366 --> 00:06:36.028]  The government's Department of Homeland Security is buying up loads of ammo.
[00:06:36.028 --> 00:06:40.310]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:06:40.310 --> 00:06:42.090]  Can you put two and two together?
[00:06:42.090 --> 00:06:49.954]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:06:49.954 --> 00:06:51.095]  But for how long?
[00:06:51.095 --> 00:06:57.718]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:06:57.718 --> 00:07:00.539]  Infidel Body Armor just won't quit.
[00:07:02.188 --> 00:07:11.172]  Sold out for weeks due to the difficult and extensive proprietary process behind its creation, the exclusive InfoWars Life Secret 12 formulation is now back in stock.
[00:07:11.172 --> 00:07:21.136]  This ultra-clean vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science of how your body actively absorbs essential nutrients.
[00:07:21.716 --> 00:07:28.142]  Most forms of vitamin B12 are highly processed and synthetic and could not be properly absorbed by the body.
[00:07:28.142 --> 00:07:34.528]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:07:34.528 --> 00:07:37.211]  Methylcobalamin, the same kind used in B12 injections.
[00:07:37.931 --> 00:07:38.171]  We're good.
[00:08:18.667 --> 00:08:32.416]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:08:32.416 --> 00:08:41.961]  Ladies and gentlemen, we're live broadcasting worldwide on this Monday, the second day of March, 2015, global transmission.
[00:08:41.961 --> 00:08:46.864]  Bruce Fine, the top lawyer at the FCC who got rid of the Fairness Doctrine,
[00:08:48.025 --> 00:08:52.106]  Restrictions on free speech in talk radio.
[00:08:52.106 --> 00:08:56.868]  Restrictions on being able to give analysis and commentary.
[00:08:56.868 --> 00:09:06.811]  We'll be joining us in the second hour today to break down exactly what is in this still-secret FCC monstrosity.
[00:09:06.811 --> 00:09:11.553]  And the New York Times, The Washington Post, and others criticize those.
[00:09:12.805 --> 00:09:16.386]  Friday and over the weekend that dare even ask for it.
[00:09:16.386 --> 00:09:25.189]  There's nothing more outrageous in this world than actually wanting to see legislation or bureaucratic power grabs.
[00:09:25.189 --> 00:09:32.292]  It's no big deal that the FCC chairman wouldn't testify before Congress even though it was congressionally funded and created
[00:09:33.072 --> 00:09:34.053]  Agency?
[00:09:34.053 --> 00:09:38.697]  It's no big deal that they're making the information secret.
[00:09:38.697 --> 00:09:48.204]  It's no big deal that they've now announced that the entire telecommunications, internet, cable systems are under their control.
[00:09:48.204 --> 00:09:58.893]  Why, they might even just announce that they're over print media, which is basically what they're saying, because that's what the internet mainly is, is text.
[00:09:58.893 --> 00:10:01.495]  But how dare you!
[00:10:03.097 --> 00:10:09.160]  In fact, the headline was, conspiracy theorists have a new conspiracy concerning the FCC.
[00:10:09.160 --> 00:10:12.142]  Let us see the regulations.
[00:10:12.142 --> 00:10:14.963]  Can you imagine how outrageous that's?
[00:10:14.963 --> 00:10:19.705]  That'd be like walking on a car lot, and there's no cars.
[00:10:19.705 --> 00:10:22.747]  And you say, I'd like to see the cars and drive the cars, and they go, ha!
[00:10:24.620 --> 00:10:27.983]  You want to see the car?
[00:10:27.983 --> 00:10:29.564]  Just pay the money.
[00:10:29.564 --> 00:10:31.546]  Okay, let me see the amount.
[00:10:31.546 --> 00:10:34.188]  Oh, you can't see the amount.
[00:10:34.188 --> 00:10:36.810]  Well, you just walk off the lot.
[00:10:36.810 --> 00:10:38.931]  But see here, you can't walk off the lot.
[00:10:38.931 --> 00:10:41.293]  In fact, please put the Washington Post headline back up.
[00:10:41.293 --> 00:10:42.774]  Good job finding that so quickly.
[00:10:42.774 --> 00:10:44.936]  For TV viewers, we've got it on screen.
[00:10:44.936 --> 00:10:49.740]  There's already a conspiracy theory brewing over net neutrality.
[00:10:51.112 --> 00:10:52.313]  That's right.
[00:10:52.313 --> 00:11:07.419]  Let us see what you passed out of your Obama-appointed, stacked-and-packed FCC commission, with the other dissenting members saying it's a total and complete power grab, which it is, but then we can't see it.
[00:11:08.942 --> 00:11:09.723]  That's coming up.
[00:11:09.723 --> 00:11:16.750]  Boehner fights is heating up as folks try to remove him as the Speaker of the House of Representatives.
[00:11:16.750 --> 00:11:22.316]  He is the big problem who helped author Obamacare with the neocons and the Democrats.
[00:11:22.316 --> 00:11:27.781]  He is the guy going along with the gun grabbing, going along with the open borders, going along with protecting Obamacare.
[00:11:28.442 --> 00:11:32.943]  And the media is just like, oh, can you believe the right-wing extremist in the House?
[00:11:32.943 --> 00:11:37.045]  Why, they may even have the votes to remove him as Speaker this week.
[00:11:37.045 --> 00:11:40.406]  This is just outrageous, and I'll tell you something even more outrageous.
[00:11:40.406 --> 00:11:45.067]  They don't like Jeb Bush, who's anti-gun and pro-open border, and who supports world government.
[00:11:45.067 --> 00:11:48.168]  I mean, can you imagine these extremists?
[00:11:48.168 --> 00:11:51.549]  They don't like Naftan Gant that de-industrialized the country.
[00:11:51.549 --> 00:11:52.990]  I mean, what is their problem?
[00:11:54.110 --> 00:11:55.871]  Boehner's now defending his U.S.
[00:11:55.871 --> 00:12:00.494]  House leadership amid conservative unrest.
[00:12:00.494 --> 00:12:04.877]  How about people that aren't suicidals' unrest?
[00:12:04.877 --> 00:12:08.600]  How about people that aren't destructive of the republic's unrest?
[00:12:08.600 --> 00:12:15.844]  How about people that don't have a death wish for the free market and prosperity and care about their children and care about freedom's unrest?
[00:12:15.844 --> 00:12:18.706]  How about those of us that aren't insane's unrest?
[00:12:18.706 --> 00:12:19.427]  How about that?
[00:12:22.566 --> 00:12:25.067]  And of course, the big enchilada.
[00:12:25.067 --> 00:12:30.108]  I mean, there's a lot of First Amendment news, really draconian stuff we're going to be getting to.
[00:12:30.108 --> 00:12:35.690]  Google may be getting ready to commit suicide as we know it.
[00:12:35.690 --> 00:12:37.711]  Other groups have done this.
[00:12:37.711 --> 00:12:43.733]  Yahoo, Reddit, a lot of other groups that are smaller but still quite large.
[00:12:43.733 --> 00:12:48.214]  Google wants to rank websites based on facts that are chosen by Soros groups.
[00:12:48.214 --> 00:12:49.255]  I'm not kidding.
[00:12:49.255 --> 00:12:49.995]  Not links.
[00:12:51.926 --> 00:12:54.487]  That's an InfoWars.com article.
[00:12:54.487 --> 00:13:06.549]  Google, moving to shut down alternative media by ranking sites on facts rather than popularity, wants to cross-check websites against debunking sites such as Snopes that's run by a lady in an apartment with a cat.
[00:13:06.549 --> 00:13:11.090]  But George Soros groups have certified it as good, and so it's good.
[00:13:11.090 --> 00:13:15.411]  That's an InfoWars.com article that links directly to this article in New Scientist.
[00:13:16.798 --> 00:13:20.181]  Google wants to rank websites based on facts, not links.
[00:13:20.181 --> 00:13:33.031]  The trustworthiness of the web pages might help it rise up Google's rankings if the search giant starts to measure quality by facts, not just links.
[00:13:33.031 --> 00:13:33.311]  That's right.
[00:13:33.311 --> 00:13:35.573]  It's not how popular something is.
[00:13:35.573 --> 00:13:39.636]  It's, oh, a George Soros script says Alex Jones is discredited.
[00:13:39.636 --> 00:13:41.858]  There's no drones in the skies.
[00:13:41.858 --> 00:13:44.219]  Or there's no death panels in Obamacare.
[00:13:46.923 --> 00:13:49.824]  You can keep your doctor, or we're not coming after your guns.
[00:13:49.824 --> 00:13:53.704]  I mean, these are a pack of liars.
[00:13:53.704 --> 00:13:59.745]  They get up on TV and say there's no side effects, vaccines are completely safe and effective, no side effects.
[00:13:59.745 --> 00:14:12.167]  You pull out the insert, it says may kill you, may cause diabetes, may... Meanwhile, Soros and the Ford Foundation donated nearly $200 million to pro-net neutrality groups that weren't really net neutrality groups.
[00:14:12.167 --> 00:14:15.428]  See, that's how you control the opposition, you lead it.
[00:14:17.310 --> 00:14:25.874]  And a couple years from now, once they've got their censorship in place, which they're now announcing, people will then stand around and blame the new Republican president.
[00:14:25.874 --> 00:14:37.959]  And of course, you know the Republican leadership, because they're part of the same group, went along with this last week, last Thursday, and signed off on it and said, we're not going to block it, we're not going to block the FCC, even though they had the votes to do it.
[00:14:38.803 --> 00:14:44.468]  We're gonna green light you to do this, so you go ahead and you power grab the internet.
[00:14:44.468 --> 00:14:47.430]  So, that's our top story in the second hour.
[00:14:47.430 --> 00:15:07.567]  The big top story that, quite frankly, in the current position the world is in, economically, geopolitically, militarily, what we are currently facing right now is one of the most dangerous combinations
[00:15:11.696 --> 00:15:18.641]  of geopolitical confluence that I've ever seen.
[00:15:18.641 --> 00:15:34.554]  And of course I'm talking about Benjamin Netanyahu, who's gotten here to the United States and just addressed AIPAC, the American-Israeli lobby, one of the most powerful, the big four lobbies out there.
[00:15:36.161 --> 00:15:43.163]  And I've really tried to analyze what's going on here and looked at it from every single angle.
[00:15:43.163 --> 00:15:55.007]  And in the next segment, I'm going to give you the macro view and the micro view of the different confluences taking place here.
[00:15:55.007 --> 00:15:59.448]  First off, this is about 80% staged.
[00:16:02.554 --> 00:16:14.804]  They've been engaged in this fake jousting between Obama and Benjamin Netanyahu for the last six, seven years.
[00:16:14.804 --> 00:16:24.172]  And at first, it's kind of like you start wrestling with your brother, or wrestling with your buddies, and then all of a sudden somebody gets hurt and a fight starts.
[00:16:24.172 --> 00:16:26.334]  I've looked at this very carefully.
[00:16:26.334 --> 00:16:27.175]  It was 100% fake five, six years ago.
[00:16:30.297 --> 00:16:41.031]  Now, because Netanyahu's battling for his political life, and Obama is battling for his political life with the left that is extremely anti-Israel, in the mainstream.
[00:16:41.031 --> 00:16:44.255]  I mean, let's just say they're anti-Semitic.
[00:16:44.255 --> 00:16:48.261]  And I'm saying that from a political atheist perspective.
[00:16:49.827 --> 00:16:51.748]  And I'm not saying I'm a political atheist.
[00:16:51.748 --> 00:16:58.831]  I'm saying I'm going to tell you what's going on from a political science textbook perspective.
[00:16:58.831 --> 00:17:00.992]  And you know, folks, I know what I'm talking about.
[00:17:00.992 --> 00:17:02.433]  That's not confidence.
[00:17:02.433 --> 00:17:03.834]  It's a fact.
[00:17:03.834 --> 00:17:04.814]  I know the players.
[00:17:04.814 --> 00:17:06.115]  I know the parties.
[00:17:06.115 --> 00:17:08.296]  I know the groups.
[00:17:08.296 --> 00:17:16.060]  But the fact that this play fight has now turned into a real fight and it's real, 20 percent of it's real.
[00:17:17.262 --> 00:17:24.427]  After today's speech, and after tomorrow's speech at Congress, unprecedented, it might become 30-40% real.
[00:17:24.427 --> 00:17:32.051]  Well, 1% real with something like this is extremely dangerous.
[00:17:32.051 --> 00:17:40.077]  And so I'm going to, just 100% when we come back from break, tell you what I really think is going on here, and I know most of it.
[00:17:40.077 --> 00:17:41.658]  I mean, I know I'm right about most of it.
[00:17:42.600 --> 00:17:59.567]  I've got to speculate on a few areas that are obscured from view, but from past analysis, and I think it's time to just see in the third hour if Steve Pucinich can pop in for a quick look, ten minutes, just on Israel.
[00:17:59.567 --> 00:18:00.468]  I want to get his view.
[00:18:00.468 --> 00:18:03.269]  I don't know it exactly, but I think I'm going to get it.
[00:18:04.301 --> 00:18:08.125]  Then, call Joel Skousen of World Affairs Brief.
[00:18:08.125 --> 00:18:10.007]  I really respect him as well.
[00:18:10.007 --> 00:18:12.830]  I only want a 5-10 minute pop-in from both men.
[00:18:12.830 --> 00:18:15.033]  I just thought of that.
[00:18:15.033 --> 00:18:19.677]  I want to get their take to kind of reality test what I'm about to say.
[00:18:19.677 --> 00:18:23.642]  I'm going to break this down when we come back, and then I'm going to bounce it off you, the listeners, as well.
[00:18:25.046 --> 00:18:26.807]  But see, I'm not an idiot.
[00:18:26.807 --> 00:18:30.969]  I don't just pick a side, like, I'm with George Soros, kill the cops!
[00:18:30.969 --> 00:18:35.532]  Or, the cops are perfect, and we should back them no matter what they do.
[00:18:35.532 --> 00:18:38.513]  You want to bring down police departments in this country, that's what'll do it.
[00:18:38.513 --> 00:18:45.537]  Because then that'll create an atmosphere of just above-the-law behavior, thugs will run wild, it'll discredit the entire institution.
[00:18:45.537 --> 00:18:48.039]  You've got to look at both sides of the thing.
[00:18:48.039 --> 00:18:52.221]  So it's not like I'm totally for Israel, and I'm totally against Obama.
[00:18:52.221 --> 00:18:54.142]  Or I'm totally for Obama, I'm totally against Israel.
[00:18:55.267 --> 00:19:03.491]  There's a lot of theater going on here, but there's some real chunks of meat in the stinking soup.
[00:19:03.491 --> 00:19:12.555]  We'll get in there and look at those, the different confluence of influences and things that are in there, because I'm going to extrapolate out after the next segment why I'm so concerned.
[00:19:12.555 --> 00:19:13.595]  Here's the headlines.
[00:19:13.595 --> 00:19:17.977]  Netanyahu, Iran, nuclear deal threatens Israel's security.
[00:19:17.977 --> 00:19:18.958]  Big Israeli paper.
[00:19:20.905 --> 00:19:27.947]  Report, Channel 7 TV, Obama threatens to shoot down IAF-Iran strike.
[00:19:27.947 --> 00:19:31.107]  You've got the former head of the Mossad saying Netanyahu must go.
[00:19:31.107 --> 00:19:35.529]  See, there's an internal battle going on inside of Israel right now.
[00:19:35.529 --> 00:19:37.549]  In fact, I know you guys printed that for me.
[00:19:37.549 --> 00:19:37.969]  Oh, here it is.
[00:19:37.969 --> 00:19:39.910]  Yeah, I got it under the Guardian.
[00:19:39.910 --> 00:19:43.430]  Netanyahu's address to Congress will be the most important speech of his life.
[00:19:43.430 --> 00:19:44.611]  Wash Post.
[00:19:44.611 --> 00:19:45.451]  Republicans seek
[00:19:47.569 --> 00:19:51.892]  Coveted Benjamin Netanyahu speech tickets from boycotting Democrats.
[00:19:51.892 --> 00:19:54.855]  Obama, Netanyahu on collision course for six years in the making.
[00:19:54.855 --> 00:19:56.276]  ABC.
[00:19:56.276 --> 00:20:00.079]  Omar Mossad urges Israeli voters to oust Benjamin Netanyahu.
[00:20:00.079 --> 00:20:01.180]  It's all coming up.
[00:20:01.997 --> 00:20:03.498]  Attention Alex Jones listeners.
[00:20:03.498 --> 00:20:11.702]  When you're on the road or have limited data or Wi-Fi, now you can listen to Alex Jones unfiltered and untapped at no extra charge on this non-federal phone number.
[00:20:11.702 --> 00:20:12.823]  1-605-562-5136.
[00:20:12.823 --> 00:20:17.545]  Try it now to listen to Alex Jones 24-7 at no extra cost or data charges.
[00:20:17.545 --> 00:20:18.986]  These are not on federal lines.
[00:20:18.986 --> 00:20:21.628]  These are lines located on Indian reservations off the grid.
[00:20:21.628 --> 00:20:22.988]  Call 1-605-562-5136.
[00:20:22.988 --> 00:20:26.190]  No smartphones or internet needed.
[00:20:26.190 --> 00:20:28.751]  To hear Alex Jones untapped and off the grid, just call 1-605-562-5136.
[00:20:31.753 --> 00:20:32.834]  This is an alert.
[00:20:32.834 --> 00:20:36.816]  If your business or church is building this year, you're about to pay more than you should.
[00:20:36.816 --> 00:20:41.139]  This could mean thousands of dollars more for your office, retail space, church, or warehouse.
[00:20:41.139 --> 00:20:46.503]  A General Steel building can save you as much as half the cost and time of similar conventional construction.
[00:20:46.503 --> 00:20:50.025]  And we're offering rebates of up to $20,000 to help you build today.
[00:20:50.025 --> 00:20:53.227]  Call General Steel for free information that could save you thousands.
[00:20:53.227 --> 00:20:53.707]  Call 866-91-STEEL.
[00:20:53.707 --> 00:20:53.967]  866-91-STEEL.
[00:20:53.967 --> 00:20:54.268]  That's 866-917-8335.
[00:21:01.392 --> 00:21:03.333]  It's very easy to be a criminal.
[00:21:03.333 --> 00:21:06.975]  All you need to burglarize a home is one simple household tool.
[00:21:06.975 --> 00:21:08.316]  A pair of scissors.
[00:21:08.316 --> 00:21:14.099]  If your home security system can be compromised by a criminal using scissors, then you're making it easy for him.
[00:21:14.099 --> 00:21:19.022]  Almost every home security system, even those sold by big-name companies, has a weakness.
[00:21:19.022 --> 00:21:20.022]  The phone line.
[00:21:20.022 --> 00:21:25.265]  You shell out $1,500, get locked into a long-term contract, and think you're safe.
[00:21:25.265 --> 00:21:29.027]  But a burglar can destroy your alarm in seconds with one snip.
[00:21:29.167 --> 00:21:32.491]  And when a burglar cuts your phone line, you're defenseless.
[00:21:32.491 --> 00:21:34.954]  SimpliSafe Home Security is the smarter choice.
[00:21:34.954 --> 00:21:39.299]  Built by Harvard engineers, SimpliSafe uses a wireless connection to call the cops.
[00:21:39.299 --> 00:21:40.400]  Scissors can't cut it.
[00:21:40.400 --> 00:21:42.643]  And that means your home stays safe.
[00:21:42.643 --> 00:21:46.447]  24-7 professional monitoring is under $15 a month with no contract.
[00:21:46.647 --> 00:21:50.132]  SimpliSafe Home Security keeps you safer than the other guys.
[00:21:50.132 --> 00:21:51.313]  For half the cost.
[00:21:51.313 --> 00:21:53.316]  Protect your home with the alarm you can trust.
[00:21:53.316 --> 00:21:54.157]  SimpliSafe.
[00:21:54.157 --> 00:21:58.083]  Go to SimpliSafeDefense.com now for an exclusive 10% offer.
[00:21:58.083 --> 00:21:59.825]  That's SimpliSafeDefense.com.
[00:22:01.460 --> 00:22:11.067]  As the New World Order continues to tighten its grip on every facet of our lives, we're all asking ourselves, how can we maintain our independence?
[00:22:11.067 --> 00:22:12.629]  The answer is clear.
[00:22:12.629 --> 00:22:15.211]  Get prepared and you get prepared now.
[00:22:15.211 --> 00:22:17.772]  Now the only question left is where do we begin?
[00:22:18.673 --> 00:22:20.915]  MyPatriotSupply is here to help.
[00:22:20.915 --> 00:22:27.799]  Call 800-247-3070 to get started with your 72-hour emergency food supply for only $10.
[00:22:27.799 --> 00:22:31.262]  We're even covering the cost of shipping.
[00:22:31.262 --> 00:22:35.484]  Are you willing to rely on the government and FEMA in the event of an emergency?
[00:22:36.445 --> 00:22:44.391]  Call 800-274-3070 to get started with your 72-hour emergency food supply for only $10.
[00:22:44.391 --> 00:22:50.055]  You won't be able to find this deal online, and there is a strict limit of 4 per caller, so don't wait!
[00:22:50.055 --> 00:22:50.716]  Call now!
[00:22:50.716 --> 00:22:50.776]  800-274-3070.
[00:22:50.776 --> 00:22:51.156]  That's 800-274-3070.
[00:22:51.156 --> 00:22:51.556]  Call right now!
[00:23:00.376 --> 00:23:05.758]  It's no secret that government and big business buy in bulk and get huge discounts, not available to the little guy.
[00:23:05.758 --> 00:23:06.899]  Until now.
[00:23:06.899 --> 00:23:13.161]  Introducing a breakthrough crowd-buying website where people can join together, buy in bulk, and get massive discounts on millions of popular products.
[00:23:13.161 --> 00:23:14.502]  It's TogetherSave.com.
