[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[16:16.000 --> 16:22.000]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[16:22.000 --> 16:26.000]  See the Silver Lungs Generator and Lung Delivery System at SilverLungs.com.
[16:26.000 --> 16:38.000]  Heart disease is on the rise. Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[16:38.000 --> 16:46.000]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[16:46.000 --> 16:52.000]  Here, how heart and body extract is making a difference in thousands of people's lives across America.
[16:52.000 --> 16:56.000]  My blood pressure has normalized, my diabetes has totally improved.
[16:56.000 --> 17:01.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[17:01.000 --> 17:03.000]  I recommend heart and body extract to everyone.
[17:03.000 --> 17:11.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[17:11.000 --> 17:22.000]  Hear your two-month supply today by calling 866-295-5305 or order online hbextract.com.
[17:22.000 --> 17:50.000]  Heart and Body Extract 866-295-5305 or hbextract.com.
[17:50.000 --> 17:58.000]  The Deep State began with World War I, the United States of Empire, by James Dunn, available at Amazon Books.
[17:58.000 --> 18:21.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[18:21.000 --> 18:29.000]  Wake up America, Patriot Blend Coffee. Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[18:29.000 --> 18:41.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:41.000 --> 18:49.000]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[18:49.000 --> 19:00.000]  It's time to take care of your morning routine. Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[19:19.000 --> 19:25.000]  And Tucker Carlson and Sean Hannity, they are all beholden to the networks they're on that can be targeted.
[19:25.000 --> 19:33.000]  There's only two groups in the U.S., Infowars and Matt Drudge of drudgereport.com, that are truly independent.
[19:33.000 --> 19:37.000]  And of course, they're two of the dominant media forces in the world. It really is amazing.
[19:37.000 --> 19:49.000]  That's why as we close out 2018, I want to just remind the listeners of the amazing fight we're all in and how far we've come together. Just remind you that you are the power, you're the strength, you're the will of Infowars.
[19:49.000 --> 19:57.000]  So please spread the links, infowars.com, newswars.com, christenpana.com, because if you don't spread the articles in the videos, no one else will.
[19:57.000 --> 20:08.000]  We're all in each other's hands. God bless you all and thank you.
[20:27.000 --> 20:41.000]  It's been a long time, run on for a long time, run on for a long time. Sooner or later, gotta cut you down. Sooner or later, gotta cut you down.
[20:41.000 --> 20:47.000]  Monday through Friday, from 11 a.m. to 3 p.m. I'm here live. I'm Alex Jones, your host. Thanks for joining us.
[20:47.000 --> 21:11.000]  Okay, let's get right into it. There is a global program. There is a global operation to establish a planetary world government whose aim is ending war by ending the mass of humanity.
[21:11.000 --> 21:25.000]  And the answer is bring in world government, have controlled wars, have controlled bioweapons released, call the populations down to a manageable 400 million is the public number put out by the U.N.
[21:25.000 --> 21:32.000]  Again, more internal documents say 10,000, maybe. Those people are gonna merge the machines and become gods.
[21:32.000 --> 21:42.000]  And I told you this decades ago, now it's in the news. The philosophy of the elite, stewards of the earth by reducing population, and they believe humanity's obsolete.
[21:42.000 --> 21:50.000]  They will soon merge with silicon and become gods. This is the cult we're fighting.
[21:50.000 --> 22:02.000]  But to do that metaphysically, they've got to say, oh, vaccines, and then add things to vaccines. It's compartmentalized with the doctors and scientists aren't even aware of it in most cases.
[22:02.000 --> 22:18.000]  But then people see the convulsions, the deaths, the cancer, the autism, and then they have a project to manage that and handle that and get the public used incrementally to having mass death take place all around them.
[22:18.000 --> 22:31.000]  So when they first started coming out with cell phone radiation technology 40 years ago, it was already old technology then, there were studies and articles out about how it would vibrate DNA and cause massive DNA damage.
[22:31.000 --> 22:39.000]  That's what a microwave does. It rubs molecules together and then heats them up. So it creates a friction like that.
[22:39.000 --> 22:54.000]  And they just began to increase it out from that point. And they noticed a stickular cancer in things and truck drivers and other people that would have the old, more high powered cell phones between their legs.
[22:54.000 --> 23:06.000]  So they sort of tell them, hey, don't keep that thing between your legs. So we have all the old studies. And then as new studies come out showing increased cancer as the radiation gets stronger,
[23:06.000 --> 23:15.000]  their argument is, well, you've been warned about it kind of like on the side of a package of cigarettes, it tells you it can give you cancer, cause birth defects.
[23:15.000 --> 23:26.000]  But see, children aren't opting into this. And many adults aren't. But many schools, as you know, put the cell phone towers that are super powerful up on top of the facilities and they make money off that.
[23:26.000 --> 23:39.000]  There's been a big pushback. So they had to back off. I remember 20 years ago, again, talking about how they were going to put smart meters on the side of your house and how they were going to spy on you and how they were going to rip you off.
[23:39.000 --> 23:54.000]  And now it's all admitted. And now it's ubiquitous. And now they say, if you want power, period, you've got to have one of these. So they're going from making you opt in to where it's just the way it is.
[23:54.000 --> 24:13.000]  And so whether it's electricity or whether it's radiation, whether it's sulfur radiation, it's particles, charged particles, charged wavelengths blasting out the spectrum and affecting your body in a very damaging way.
[24:13.000 --> 24:28.000]  You know, every airline pilot I know is aware of this, no matter how great a shape they were in. You notice the elite pilots all like to fly at night now. The big global flights that are 10, 15, 18 hours long are launched at night.
[24:28.000 --> 24:43.000]  And it's not so you sleep on the plane, boys and girls. It's because the pilots are refusing to fly the airplanes during the day because there's a water shield up to about 20,000 feet and a dust shield up to about 20,000 feet.
[24:43.000 --> 24:54.000]  The water is about 10 feet of water condensed. The dust shield is about an inch to two inches and it shields you from high level space radiation.
[24:54.000 --> 25:06.000]  Now, see, that's just a fact that it's the equivalent of many, many, many, many, many, many, many, many, many, many, many, many, many, many, many, many, many, many chest x-rays.
[25:06.000 --> 25:19.000]  And airlines even looked 20 years ago into putting lead shielding, but then it would be so expensive and it would admit the radiation that they decided to not do it.
[25:19.000 --> 25:25.000]  But I mean, I know airline pilots that were in the Air Force 25 years ago that looked like Arnold Schwarzenegger.
[25:25.000 --> 25:31.000]  And now they look like they've been in a microwave oven. They've had dozens of cancers and they'll tell you, oh, we're all like this.
[25:31.000 --> 25:41.000]  And they're sunken in and their eyes are gone. It doesn't matter where sunglasses doesn't matter. And they've got cancer all over their body because they've been in space.
[25:41.000 --> 25:54.000]  Above 20,000 feet, maybe you're in space. The gravity still holds you into the earth, but you're in space, ba-ba. You're above the real atmosphere.
[25:54.000 --> 26:03.000]  And so all I'm getting in here is I could talk for 100 hours on this, but we live in a very small, thin environment on the surface of the earth.
[26:03.000 --> 26:12.000]  And most people live below 15,000 feet for a reason. And just air travel.
[26:12.000 --> 26:23.000]  And you're like, why are the flights suddenly at night? Because the more, you know, the big jets, the big elite pilots, they like living.
[26:23.000 --> 26:30.000]  Now, let's move on to our children in 5G. One of the few areas Trump's really doing a bad job on, but he's just all about innovation.
[26:30.000 --> 26:40.000]  They tell him it's great and he can't see it. He drinks Diet Coke and he likes Kentucky Fried Chicken. He's super blue collar.
[26:40.000 --> 26:48.000]  You know, blue collar folks, they like to smoke cigarettes. They like to eat Kentucky Fried Chicken. You know, it's kind of that attitude. Tough guy stuff.
[26:48.000 --> 26:56.000]  But now the 5G is coming in taxpayer funded. There's not just a race with China to put this stuff in because it can surveil everything you're doing in your house.
[26:56.000 --> 27:08.000]  Literally look through walls, but also grab all your data. But they even have LA Times, Wired Magazine, all of them admitting that it's causing massive cancer in all the studies in rats.
[27:08.000 --> 27:19.000]  Much worse than the old technology because it's a lot stronger. Wow. Something's 20, 30, 40 times stronger and the old stuff gave you cancer. What's this going to do?
[27:19.000 --> 27:33.000]  It's like smoking filterless cigarettes versus filtered, but much worse than I've got all the stacks of news here where they know it's killing us, but they're going ahead with it and it's done on purpose.
[27:33.000 --> 27:47.000]  Well, guess what? Everybody has a right to not be living under this and people have to organize. They have to say no now because it's going to become more and more evident as the autism and the brain damage and the cancer is all exploding.
[27:47.000 --> 28:00.000]  They're just like vaccines that they're spiking on record. They can call all the world the U.N. ash with sterilants and cancer viruses. Most cancers viral. Your body beats it all the time, but then when your immune system gives up, then you're dead.
[28:00.000 --> 28:08.000]  And it's also a deal with cells replicating as they've replicated so many times and they have more mutations, but that's the secondary type of cancer.
[28:08.000 --> 28:20.000]  Most cancers viral. The Rockefeller Foundation discovered at the 20s. JFK discovered the research tried to kill it. That's even in the JFK movie that they were getting weaponized cancer.
[28:20.000 --> 28:37.000]  Down in New Orleans that they developed. Injectable. And they want you to opt into the vaccine too. Metaphysically, you've got to opt into the 5G. You've got to opt into the vaccine. They want you to opt in because then, oh, they didn't kill you. You opted into it.
[28:37.000 --> 28:48.000]  So we've got a special guest joining us. He'll be with us into the next hour, but I'm going to go to him about five minutes into the next segment. I have to finish this when we come back.
[28:48.000 --> 29:08.000]  And then we'll look at the big, globalist attack on China and why it's been chosen by the NWO to be the center and the seat of world government.
[29:08.000 --> 29:18.000]  Our last lethal combo is good for animal control. The four legged kind and two legged. When lethal force is necessary, reach for our stop them, drop them or our home defense combos.
[29:18.000 --> 29:28.000]  These five round packs include different heavy hitters to protect your loved ones. Visit wolfhillamo.com to see our great prices on these combo packs and other specialty shotgun ammo rounds.
[29:28.000 --> 29:38.000]  Silver has always been nature's very own antibiotic and only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
[29:38.000 --> 29:46.000]  Silver Lungs. With the addition of our unique lung delivery system, respiratory infections are targeted directly where traditional oral administration simply cannot reach.
[29:46.000 --> 29:52.000]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[29:52.000 --> 29:59.000]  See the Silver Lungs Generator and Lung Delivery System at SilverLungs.com. That's SilverLungs.com.
[30:22.000 --> 30:27.000]  The Silver Lungs Generator and Lung Delivery System at SilverLungs.com.
[30:52.000 --> 31:00.000]  I physically will, but I give you my commitment, if you financially support us, then go to wolfhillamo.com to give you my absolute total commitment.
[31:00.000 --> 31:15.000]  The globalists are trying to set up a private corporate world government that's above the law. If there's any opposition, if there's any independent media that can call the fact that the emperor has no clothes, they can call BS if came over.
[31:15.000 --> 31:24.000]  But if you look at everybody else like Michael Savage and Rush Limbaugh and Tucker Carlson and Sean Hannity, they are all beholded to the networks they're on that can be targeted.
[31:24.000 --> 31:35.000]  There's only two groups in the U.S. Infowars and Matt Drudge of drudgereport.com that are truly independent. And of course there are two of the dominant media forces in the world.
[31:35.000 --> 31:43.000]  It really is amazing. That's why as we close out 2018, I want to just remind the listeners of the amazing fight we're all in and how far we've come together.
[31:43.000 --> 31:49.000]  Just remind you that you are the power, you're the strength, you're the will of Infowars.
[31:49.000 --> 32:17.000]  So please spread the links, infowars.com, newswars.com, christenplanet.com, because if you don't spread the articles in the videos, no one else will. We're all in each other's hands. God bless you all and thank you.
[32:17.000 --> 32:27.000]  Containing powerful antioxidants such as azzanthin and omega-3s, ultimate krill oil can help you experience the benefits of fish oil with less required DHA and EPA.
[32:27.000 --> 32:38.000]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[32:38.000 --> 32:48.000]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified high-quality krill oil concentrate.
[32:48.000 --> 33:12.000]  Paired with our ultimate fish oil, or used separately, it's time to see what krill oil can do for you with ultimate krill oil, now available at infowarsstore.com.
[33:18.000 --> 33:23.000]  Alex Jones, coming to you live from the front lines of the Infowar.
[33:49.000 --> 34:07.000]  And again, he witnessed what's really going on in the nation for a long time. I mean, I'll let him recap his awakening as a liberal over there and actually seeing what the left was embracing and why they thought Communist China was so great and how it is America's great rival.
[34:07.000 --> 34:23.000]  He is the best-selling author of Bully of Asia, and he wrote a big article for the New York Post that's excellent we're going to be getting into, and he can also speak about 5G, but let's finish up just with the documentation, if you're a viewer or a listener.
[34:23.000 --> 34:37.000]  Just like there are some cliffs in Austin that are about a thousand feet tall, they're not really mountains, but they call them Mount Benel and Mount this, Mount that. They look like little mountains. You can go up to the edge of a cliff and you can't see gravity.
[34:37.000 --> 34:46.000]  But everybody knows if you jump off when you hit the bottom in 20 seconds, you're going to wish you were dead or you're going to be dead. You'll probably be dead about 95% of the time.
[34:46.000 --> 35:02.000]  If you hit a tree or something or bounce on your way down, you're going to live. Now, you can't see gravity, but the planet has it. We're going to gravity well. We know how it works. Big things have gravity and they suck little things onto their surface.
[35:02.000 --> 35:22.000]  Now, I've got literally U.N. studies, Chinese studies, U.S. studies, British studies, telecom studies going back 30 years. I had them print me whole stacks of these today. You can just type it in and it's confirmed, confirmed, gives rats cancer, gives rats cancer, confirmed all these new tumors that kill so many people.
[35:22.000 --> 35:35.000]  Now, on the side of your head, you use the cell phone. They rattle DNA. Big studies that five minutes of cell phone use against the head raises brain temperature one degree. It actually heats your brain up.
[35:35.000 --> 35:49.000]  Now, what does radiation do? What does microwave radiation do? When you put a cup of water in it and turn it on for a minute, what makes it hot? The molecules rub together.
[35:49.000 --> 35:59.000]  It cooks your brain. So here's Wired Magazine. 5G smartphones cause cancer. Big wireless doesn't want you to know.
[35:59.000 --> 36:07.000]  EU Reflex study shows DNA damage caused by radiation from wireless devices and mobile phones. This is from the U.N. themselves.
[36:07.000 --> 36:19.000]  Confirmed. Mobile phones break DNA, scrambled genomes, scrambled genome. What happens when your genome gets scrambled? It has a name. It's called cancer.
[36:19.000 --> 36:28.000]  And it just goes on. Oh, LA Times. Well, it causes cancer, but no big deal. 5G services coming and so are health concerns at the towers that support it.
[36:28.000 --> 36:39.000]  Oh, yeah, the towers are really bad. The cell phones are bad enough. So at least there's some consciousness to this. And then, oh, how adding iodine to salt boosted Americans IQ.
[36:39.000 --> 36:51.000]  That's even New York Times. In raising the world's IQ, the secret is salt, the iodine. Oh, but the U.S. took it out of the salt. We don't want that.
[36:51.000 --> 37:01.000]  But China, they had it. Let's see. So everything that's being done to the West, the culture, all of it is to literally dumb us down.
[37:01.000 --> 37:11.000]  Make us stupid. Make us totally sick. We're not outside. We're not in the dirt. There's another article. Bacteria found in dirt stops growth of superbugs. Resist antibiotics.
[37:11.000 --> 37:22.000]  Saskatchewan University linked up on info wars.com. Oh, if you let your kids play in the dirt and they're outside more, then suddenly you won't need all those antibiotics. I mean, my dad's really smart black man.
[37:22.000 --> 37:30.000]  He said to my grandmother when he was getting sick as a baby, she says, Miss Jones, you're going to kill that baby. You didn't let him play in the dirt. He's too clean.
[37:30.000 --> 37:37.000]  You make me clean him all the time. All the rest of it. He gets sick all the time. Of course, she then gave him what she called Hindu tea.
[37:37.000 --> 37:44.000]  Snuck it. Later told my grandmother, which was boiled chicken manure, which turns out to be the best antibacterial out there, but gives your body immunity.
[37:44.000 --> 37:53.000]  He didn't get sick anymore because she boiled chicken crap and fed it to him. But everybody knew this in the old times. We've just forgotten it now.
[37:53.000 --> 38:00.000]  So the answer is let your kids play in the dirt, not putting them on antibiotics every day. But the system knows this, so they're letting you opt in.
