[00:00.000 --> 00:25.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[13:09.000 --> 13:17.000]  and then to watch them creep around and betray everybody at every chance and to see the wolf-like stalking.
[13:17.000 --> 13:28.000]  I mean, it's just flagrant naked Judas Iscariot.
[13:28.000 --> 13:31.000]  And then I knew when he was going to meet Zuckerberg.
[13:31.000 --> 13:35.000]  A week ago, I said, watch. He's going to come out and say, there's no censorship.
[13:35.000 --> 13:37.000]  There are a lot of right-wing groups need to be controlled.
[13:37.000 --> 13:39.000]  There are wonderful people over at Facebook.
[13:39.000 --> 13:42.000]  And sure enough, sure enough, that's what he did.
[13:42.000 --> 13:47.000]  You know, first Tucker Carlson was in the meeting, and he came out and said, you know, Glenn Beck was groveling,
[13:47.000 --> 13:53.000]  wanted to be a manservant of Zuckerberg, totally just auditioning and then groveling.
[13:53.000 --> 13:58.000]  Others refused to go that were asked to go, because obviously it's just to be a prop.
[13:58.000 --> 14:01.000]  But see, Beck can't even see that.
[14:01.000 --> 14:06.000]  And so like a rat leaving a sinking ship, he's scurrying into the arms of Zuckerberg,
[14:06.000 --> 14:11.000]  who just is the very vision of a vampire.
[14:11.000 --> 14:15.000]  We can put a photo of him up. I mean, not just the giant canine teeth, the psycho eyes.
[14:15.000 --> 14:22.000]  All you can look at him and see an evil that may rival Beck's.
[14:22.000 --> 14:28.000]  Look at Hillary. These are monsters.
[14:28.000 --> 14:30.000]  Zuckerberg that calls his users dumb-assers.
[14:30.000 --> 14:34.000]  Zuckerberg that meets with the Communist Chinese and helps them censor and they help him censor
[14:34.000 --> 14:38.000]  and is meeting with the White House and now rolling out the idea with the media going,
[14:38.000 --> 14:42.000]  okay, for them to censor, it's their platform. Good censor people and their own employees
[14:42.000 --> 14:47.000]  come out and say, no, we censor election information, veterans information, anything.
[14:47.000 --> 14:50.000]  It's totally control. We censor people's individual pages.
[14:50.000 --> 14:54.000]  Well, that's already been known, but now there's a Senate investigation and it all turns into
[14:54.000 --> 14:59.000]  Beck going and saying, no, conservatives. There's not censorship happening.
[14:59.000 --> 15:05.000]  Everything's fine. Zuckerberg's a good liberal. They're good people at Facebook.
[15:05.000 --> 15:10.000]  Former Facebook workers. We routinely suppress conservative news. Folks is beyond conservative news.
[15:10.000 --> 15:16.000]  It's gardening. It's organic news. It's non-GMO news. It's anything pro-human.
[15:16.000 --> 15:21.000]  They just say, oh, it's conservatives. The liberals go, oh, good censor that, but next it's everything.
[15:21.000 --> 15:27.000]  And this is how they roll it out in this country. This is how they do it.
[15:27.000 --> 15:34.000]  And I've got a clip of this coming up, but just you need to understand when you see this what this is.
[15:34.000 --> 15:41.000]  They're openly announcing world government. They're bringing in the global cashless society.
[15:41.000 --> 15:45.000]  They're cutting off the resources. They're doing everything they said they would in their white papers,
[15:45.000 --> 15:48.000]  written 30, 40 years ago, and they're doing it.
[15:48.000 --> 15:55.000]  And the point is, where we're going is a place like hell on earth.
[15:55.000 --> 16:05.000]  The globalists have bad intent for everybody.
[16:25.000 --> 16:30.000]  This is amazing products like Survival Shield X2, SuperMail Vitality, and so many others.
[16:30.000 --> 16:35.000]  But I am most proud of the product we're now launching today with its unique delivery system
[16:35.000 --> 16:39.000]  and proprietary manufacturing process designed for maximized effects.
[16:39.000 --> 16:44.000]  This formula is the platinum standard of multivitamin mineral products.
[16:44.000 --> 16:51.000]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[16:51.000 --> 16:56.000]  That means it's clean. That means it's pure. That's simplewarslife.com and vitamin mineral fusion.
[16:56.000 --> 17:00.000]  Take action now before we sell out.
[17:00.000 --> 17:04.000]  Thousands of years ago, there was a basic form of chivalry.
[17:04.000 --> 17:12.000]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[17:12.000 --> 17:17.000]  Sixty years ago, when foreign air forces were approaching filled with bombs,
[17:17.000 --> 17:24.000]  they had drums of their own, air raid sirens. But in the 21st century, there are silent weapons for quiet war.
[17:24.000 --> 17:30.000]  Pathogens added to the food and water, and to the lining of plastics that destroy our vitality.
[17:30.000 --> 17:34.000]  Turn off our hormones and accelerate our journey towards death.
[17:34.000 --> 17:38.000]  I personally counter this onslaught with Anthroplex.
[17:38.000 --> 17:43.000]  Anthroplex is designed with known organic concentrated herbs
[17:43.000 --> 17:49.000]  to create the basic foundation to normal metabolic activity inside the human body.
[17:49.000 --> 17:52.000]  Discover why Anthroplex has turned so many heads today.
[17:52.000 --> 17:59.000]  It's time for us to take our bodies back into our own hands, and it starts at infowarslife.com with Anthroplex.
[17:59.000 --> 18:05.000]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[18:05.000 --> 18:14.000]  Young Jevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[18:14.000 --> 18:18.000]  Young Jevity also offers you an ingenious way to augment your income,
[18:18.000 --> 18:21.000]  and the best part? You'll be helping your friends and family along the way.
[18:21.000 --> 18:25.000]  Visit infowarsteam.com today. Become a member.
[18:25.000 --> 18:29.000]  It discounts on the amazing products and free shipping when you sign up for auto-ship,
[18:29.000 --> 18:36.000]  and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[18:36.000 --> 18:42.000]  Another win-win. That's why I'm a member of the Young Jevity team at infowarsteam.com, and you can be too.
[18:42.000 --> 18:47.000]  It's simple. Just go to infowarsteam.com today. Complete a short sign up and you're part of the team.
[18:47.000 --> 18:51.000]  That's infowarsteam.com or infowarshealth.com.
[18:51.000 --> 18:57.000]  So many people call into my radio show and tell me how Young Jevity and the products at infowarsteam.com have changed their lives.
[18:57.000 --> 18:59.000]  Check it out for yourself today.
[19:27.000 --> 19:30.000]  As well, come and take it from my cold dead hands.
[19:30.000 --> 19:38.000]  Two different t-shirts, both $9.95 this Friday through Sunday, 48 hours only, and this special will end.
[19:38.000 --> 19:44.000]  But here's the key. You've got to go to infowars.com forward slash newsletter and sign up for our free newsletter,
[19:44.000 --> 19:52.000]  and we will send you the promo code directly to your email at checkout to get these t-shirts, one or both, for 50% off.
[19:52.000 --> 19:59.000]  infowarsteam.com at infowars.com forward slash newsletter, sign up and get 50% off with the promo code.
[20:23.000 --> 20:30.000]  Well, that's a very nice line or somebody wrote. I think they're puffing me up a little bit too much.
[20:30.000 --> 20:38.000]  I know fear. The fear of letting these evil people take over and completely win and dominate the human spirit
[20:38.000 --> 20:44.000]  that struggled so hard to bring us to where we're at right now. With the light of God shining right through us.
[20:44.000 --> 20:52.000]  Inodual sorry for evil people. They weren't so dangerous because they are just so shut off from the truth.
[20:52.000 --> 21:02.000]  They have no idea. The real power waiting for them. They become believers in humanity.
[21:02.000 --> 21:11.000]  This whole political system claims it's going to empower you, but every metric, every measurement, every statistic shows
[21:11.000 --> 21:24.000]  humanity is disintegrating into ignorance, into deformity, into stupid, backwards, petty, divide and conquer trash.
[21:24.000 --> 21:30.000]  All right. There is a lot of news. I'm going to get to Joel Scousen who's a great sage when it comes to geopolitics
[21:30.000 --> 21:33.000]  and what's happening. He'll be joining us in the second hour.
[21:33.000 --> 21:38.000]  We'll open the phones up in the last 30 minutes of transmission as well, but here's one I want to get at.
[21:38.000 --> 21:43.000]  I've talked a lot about this the last two months. The Associated Press had a big poll, a scientific poll,
[21:43.000 --> 21:51.000]  and found that 6% of the American people, it was a 20-something thousand they interviewed, trusted mainstream media.
[21:51.000 --> 21:56.000]  And parallel university studies show that around 70% of people trust the Internet.
[21:56.000 --> 22:02.000]  And by that, they don't trust everything they see, but they trust the general opinion of the public or video of the public shot
[22:02.000 --> 22:11.000]  or random musings or reviews of restaurants, whatever, crowd sourcing, crowd judgment.
[22:11.000 --> 22:14.000]  They trust that a lot more than they trust mainstream media.
[22:14.000 --> 22:22.000]  So when you see the incredible arrogance of the Pope saying Europe shouldn't have Christian roots, Christianity isn't good,
[22:22.000 --> 22:31.000]  these are quotes. Jesus was like ISIS, remember that last week in LaCroix newspaper, big Catholic paper.
[22:31.000 --> 22:35.000]  When you see stuff like that or you see Obama saying you didn't build your business,
[22:35.000 --> 22:40.000]  it's meant to be over the top to normalize crazy tyranny.
[22:40.000 --> 22:48.000]  That's a desperation tactic to get your normalcy bias so high that they can get away with anything.
[22:48.000 --> 22:55.000]  I mean, if they can get you to teach your five-year-olds what sex they should be or they shouldn't be any sex,
[22:55.000 --> 23:00.000]  you let the school engage in pedophile training, that's what it is, that you'll put up with anything.
[23:00.000 --> 23:07.000]  If they can come and take your children's minds, they can do anything.
[23:07.000 --> 23:14.000]  So the SEC has come out as Drudge visited us last year and warned us
[23:14.000 --> 23:22.000]  and called for censoring all political information and ideas on the Internet and taxing you and not letting you actually have it.
[23:22.000 --> 23:24.000]  And they're arresting filmmakers and people across the country.
[23:24.000 --> 23:27.000]  They're indicting conservative governors. I mean, they're moving.
[23:27.000 --> 23:30.000]  Here's the Daily Beast. First came the Drudge link, then the death threats.
[23:30.000 --> 23:37.000]  Oh, oh, she just Ann Ravel was a relatively unknown government official, not a servant but an official,
[23:37.000 --> 23:40.000]  until her words got featured on the Drudge report soon.
[23:40.000 --> 23:45.000]  The trolls, see the bad people, were screaming at her to drop dead.
[23:45.000 --> 23:51.000]  In October 2014, the Federal Electric Commission Vice Chairwoman Ann Ravel did what she does best,
[23:51.000 --> 23:54.000]  speak her mind about political campaign issues.
[23:54.000 --> 24:01.000]  And she went on to say we should register and restrict political talk starting with the Drudge report
[24:01.000 --> 24:04.000]  and not allow it to even link to news articles.
[24:04.000 --> 24:07.000]  And it goes on to admit it there.
[24:07.000 --> 24:10.000]  Now, here it is.
[24:10.000 --> 24:16.000]  FEC dims would ban Drudge, New York Times, free media on election eve.
[24:16.000 --> 24:22.000]  FEC chair once warns that conservative media like Drudge report and Sean Hannity face regulation.
[24:22.000 --> 24:29.000]  See, and they've done this before with the fairness doctrine on talk radio that finally got overturned by Bruce Fine,
[24:29.000 --> 24:36.000]  who was the head lawyer for the FEC or the FCC at the time, was able to get that removed.
[24:36.000 --> 24:41.000]  But they want to bring this back because no matter how fancy their sets,
[24:41.000 --> 24:48.000]  no matter how much money they spend on MSNBC and CNN, their top shows have a half million viewers now.
[24:48.000 --> 24:53.000]  Big radio shows in New York City have more on one affiliate than that.
[24:53.000 --> 25:01.000]  We have rated on our close to 200 affiliates 470,000 people every 15 minutes.
[25:01.000 --> 25:03.000]  It was 300 something thousand.
[25:03.000 --> 25:08.000]  I mean, in the aggregate, every hour, there's over 800,000 people that are tuning in.
[25:08.000 --> 25:10.000]  That's on AM and FM stations.
[25:10.000 --> 25:14.000]  5 million YouTube views a day on our platforms.
[25:14.000 --> 25:19.000]  I'm not going to keep going here. The point is these people are in their own world
[25:19.000 --> 25:23.000]  and they want to keep you in their little fantasy land.
[25:23.000 --> 25:25.000]  But they know fantasy lands dead.
[25:25.000 --> 25:31.000]  They're leaving it up as a facade, hoping and dreaming that if they can censor the internet
[25:31.000 --> 25:38.000]  and censor you and censor the news you spread, but also shut down the main capital ships,
[25:38.000 --> 25:47.000]  like motherships, like drudgereport.com, infowars.com, worldnetdaily.com, dailycaller.com, Breitbart.com.
[25:47.000 --> 25:49.000]  None of us are perfect and have all the answers.
[25:49.000 --> 25:53.000]  The point is, though, that's what they openly say they want to go after.
[25:53.000 --> 25:57.000]  If they can shut that down and then shut down grassroots, it's came over.
[25:57.000 --> 26:00.000]  And one of the frequent people that Paul Watson interviews, we're going to interview her.
[26:00.000 --> 26:04.000]  She's a conservative, anti-third wave feminist in Canada.
[26:04.000 --> 26:08.000]  Facebook told her, she published it. We have an infowars.com article right now.
[26:08.000 --> 26:10.000]  She's coming on in a couple of days.
[26:10.000 --> 26:12.000]  I'm going to cover this in a moment.
[26:12.000 --> 26:15.000]  And they told her, sorry, you're talking about Facebook censorship.
[26:15.000 --> 26:17.000]  It's a huge national story.
[26:17.000 --> 26:21.000]  Hundreds of articles a day. We're not going to allow you to share that. You're suspended.
[26:21.000 --> 26:23.000]  What is it for a week?
[26:23.000 --> 26:28.000]  Now, we've been suspended on Facebook before for putting on a Navy SEAL meme about, you know,
[26:28.000 --> 26:31.000]  she didn't act and these SEALs died.
[26:31.000 --> 26:34.000]  Facebook banned conservatives for complaining about censorship.
[26:34.000 --> 26:40.000]  Social media giant, back to its old ways, despite much heralded meeting with conservatives.
[26:40.000 --> 26:44.000]  They bring in Glenn Beck. They meet with him. He comes out and says, there's no censorship.
[26:44.000 --> 26:48.000]  These are, quote, good liberals, not progressives. These are quotes.
[26:48.000 --> 26:54.000]  And everything's okay now as they have a Senate investigation of this.
[26:54.000 --> 27:02.000]  Zuckerberg meets with the Communist Chinese leadership. He's involved in the number one campaign money raiser right now for Hillary.
[27:02.000 --> 27:06.000]  Look it up. I have the articles right here. I'm going to go over them.
[27:06.000 --> 27:09.000]  And they're sitting there selling censorship.
[27:09.000 --> 27:12.000]  They say, have your Facebook, have your pictures, talk about your worldviews, whatever.
[27:12.000 --> 27:14.000]  Oh, you want to push carbon taxes?
[27:14.000 --> 27:18.000]  You want to push, you know, Heather has two mommies or whatever.
[27:18.000 --> 27:21.000]  You want to push whatever you want on little kids. That's fine.
[27:21.000 --> 27:24.000]  You want to push Black Lives Matter that says go out and kill the cops.
[27:24.000 --> 27:26.000]  I mean, that's what Facebook admits they give top billing to.
[27:26.000 --> 27:32.000]  See, it's not top news anymore that you look at its top trends. They create fake trends.
[27:32.000 --> 27:40.000]  But see, true patriots beyond conservatism, just pro-humans, renaissance folks come out and we dominate Facebook.
[27:40.000 --> 27:45.000]  And so, oh, we're getting every video on Facebook a million views.
[27:45.000 --> 27:49.000]  Oh, they just put a deal on there where we can't share a video.
[27:49.000 --> 27:54.000]  And then at Facebook, people reach out to us and say, stop doing this and we'll let your stuff get spread.
[27:54.000 --> 28:00.000]  See, and I respond, okay, this is an off the record meeting, but I'm going to go and say that you did this.
[28:00.000 --> 28:10.000]  I'm going to say who did it. But, you know, meanwhile, Beck gets invited to meet with Zuckerberg and then grovels before him.
[28:10.000 --> 28:13.000]  So that's why this is so, so painful.
[28:13.000 --> 28:18.000]  See, Beck was only given his radio show with no ratings and put up there by Clear Channel.
[28:18.000 --> 28:23.000]  Government sponsored, government funded, government run. Beck is the government. Beck is the Democratic Party.
[28:23.000 --> 28:30.000]  Beck has always been Zuckerberg's buddy. They've always been this, this snickering evil team.
[28:30.000 --> 28:35.000]  He is a narcissistic, power mad Satanist, in my view.
[28:35.000 --> 28:39.000]  And I don't mean he gets around black holders at night, but he's all about himself and his little power.
[28:39.000 --> 28:45.000]  You can see him. He's so weak. He's just, it's just, it's just incredible.
[28:45.000 --> 28:50.000]  Praying on people. I mean, the guy is literally such a predator.
[28:50.000 --> 28:53.000]  I mean, he looks like a serial killer.
[28:53.000 --> 28:59.000]  My, my cells cry out against him. Just he is a counterfeit.
[28:59.000 --> 29:04.000]  Thousands of years ago, there was a basic form of chivalry.
[29:04.000 --> 29:11.000]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[29:11.000 --> 29:20.000]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[29:20.000 --> 29:24.000]  But in the 21st century, there are silent weapons for quiet war.
[29:24.000 --> 29:34.000]  Pathogens added to the food and water, into the lining of plastics that destroy our vitality, turn off our hormones and accelerate our journey towards death.
[29:34.000 --> 29:49.000]  I personally counter this onslaught with Anthroplex. Anthroplex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[29:49.000 --> 29:59.000]  Discover why Anthroplex has turned so many heads today. It's time for us to take our bodies back into our own hands and it starts at infowarslife.com with Anthroplex.
[30:20.000 --> 30:25.000]  We hope we have more time to wake people up and get ready, but we're preparing for the worst right now.
[30:25.000 --> 30:32.000]  Prepare with Survival Shield X2 nascent iodine. In the month of May, we are urging our listeners and viewers to get prepared.
[30:32.000 --> 30:42.000]  And the most important item is Survival Shield X2 nascent iodine. That's why we're offering 20% off at infowarslife.com until the month ends.
[30:42.000 --> 30:48.000]  The globalists do not want us to be self-sufficient. It is key that we be prepared and able to take care of ourselves.
[30:48.000 --> 30:52.000]  One of those incredibly important items is nascent iodine.
[30:52.000 --> 30:57.000]  Prepare with Survival Shield X2 nascent iodine and get 20% off at infowarslife.com.
[30:57.000 --> 31:18.000]  Take action today.
[31:28.000 --> 31:37.000]  Two different t-shirts, both $9.95 this Friday through Sunday, 48 hours only, and this special will end.
[31:37.000 --> 31:43.000]  But here's the key. You've got to go to infowars.com forward slash newsletter and sign up for our free newsletter.
[31:43.000 --> 31:51.000]  And we will send you the promo code directly to your email at checkout to get these t-shirts, one or both, for 50% off.
[31:51.000 --> 31:59.000]  infowarsstore.com at infowars.com forward slash newsletter, sign up and get 50% off with the promo code.
[32:22.000 --> 32:29.000]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity,
[32:29.000 --> 32:35.000]  and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives
[32:35.000 --> 32:42.000]  to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work,
[32:42.000 --> 32:46.000]  you need to check out infowarsteam.com.
[32:46.000 --> 32:52.000]  Give your body the gift of good nutrition. Head over to infowarsteam.com. Your body will be very grateful.
[32:52.000 --> 33:20.000]  On the web at infowarsteam.com. That's infowarsteam.com.
[33:20.000 --> 33:28.000]  Waging war on corruption. It's Alex Jones.
[33:28.000 --> 33:36.000]  Tucker Carlson's father was the head of Voice of America. Comes from a very old, prestigious American family.
[33:36.000 --> 33:42.000]  That's why he was invited to the Zuckerberg Summit.
[33:42.000 --> 33:51.000]  But he understands what's happening and he understands his viewers aren't going to support him either if he goes along with the New World Order.
[33:51.000 --> 33:58.000]  For whatever reason, Tucker Carlson has a soul and came out even though he had a sign of non-disclosure agreement and said that Glenn Beck
[33:58.000 --> 34:05.000]  groveled on his knees basically there at that private meeting with Zuckerberg.
[34:05.000 --> 34:15.000]  We're going to play the clip in a moment. We're getting him on this week. And I really like Tucker Carlson. I'm an aluminum person.
[34:15.000 --> 34:21.000]  Now that there's more opposition to the New World Order, he's really coming along. I'm not territorial.
[34:21.000 --> 34:27.000]  I want to see people dominate and take action against the globalists. I want to defeat them.
[34:27.000 --> 34:36.000]  So if somebody was not 100% in the past, but they're getting closer to it today, I'd love. Rush Limbaugh, deep down, he's a good guy.
[34:36.000 --> 34:43.000]  He's a patriot. Sean Hannity, same deal. Michael Savage is coming on this week. Great guy.
[34:43.000 --> 34:49.000]  None of us are perfect, but they care about America. They care about humanity. They really like free market. They like prosperity.
[34:49.000 --> 34:59.000]  It's like Donald Trump. He just doesn't have it out for America. He likes prosperity. He cares about people.
[34:59.000 --> 35:05.000]  And you can read that and pick that up from them. You look at the globalist, man. They want you poor under their control.
[35:05.000 --> 35:13.000]  They want to dominate you. And that's why Beck's so bad. I mean, going to this meeting to be the front guy to try to tell conservatives,
