[00:00.000 --> 00:29.000]  It's Sunday. July 8th, the year is 2021.
[04:37.000 --> 04:43.000]  It's also coming out even mainstream news, though, buried in the financial reports and the medical reports.
[04:43.000 --> 04:45.000]  But insurance companies are very interested in this.
[04:45.000 --> 04:55.000]  So it's in their financial statements that the majority of people dying of COVID now have had the vaccine and almost half of those getting COVID are getting an after they've had the shot.
[04:55.000 --> 05:00.000]  Yes, the vaccine's causing.
[05:00.000 --> 05:04.000]  I don't like coming to you and saying this could be our last broadcast.
[05:04.000 --> 05:08.000]  Hell, I've been on there 27 years and only the last year or so have I said that.
[05:08.000 --> 05:11.000]  But let me tell you, the new world order is breathing down our neck.
[05:11.000 --> 05:16.000]  The big globalist publications are coming after us and they're doing everything they can to shut us down.
[05:16.000 --> 05:21.000]  So please pray to keep info wars on the air and please support the local states you're listening to as well.
[05:21.000 --> 05:33.000]  At the same time, go to infowarstore.com while you still can and get a book, get a film, get a t-shirt, get some supplements because it's that money that helps us stay on air in the face of this thing.
[05:33.000 --> 05:35.000]  I need your help more than ever now.
[05:35.000 --> 05:40.000]  I want to keep fighting the globalist, but I can't do it if you don't support us.
[05:40.000 --> 05:50.000]  So pray for us, word of mouth, tell folks about the broadcast however you can, and buy great products that will enrich you and your family's lives every day at infowarstore.com.
[05:50.000 --> 05:57.000]  Whether it's high quality coffee or supplements or books or films, all of it nurtures the soul, all of it empowers humanity.
[05:57.000 --> 06:04.000]  All of it is pro-human and pro-God. Thank you so much.
[06:27.000 --> 06:32.000]  It's live Sunday, July 18th, worldwide broadcast.
[06:32.000 --> 06:35.000]  I'm your host Alex Jones.
[06:35.000 --> 06:45.000]  And you have to understand that when I cover all this news and information here, 95% of it is out of the Davos Group's own mouth.
[06:45.000 --> 06:48.000]  It's out of the Rockefeller Foundation's own organization.
[06:48.000 --> 06:50.000]  It's out of the Carnegie Endowment.
[06:50.000 --> 06:57.000]  And I'm going to show you today who's running the forced inoculation push, who's covering up all the deaths from the so-called vaccines,
[06:57.000 --> 07:04.000]  who's covering up all the known treatments for COVID-19, other viral infections, who's really bringing in a medical tyranny.
[07:04.000 --> 07:12.000]  And it's the Rockefeller Foundation that wrote Operation Lockstep back in 2010,
[07:12.000 --> 07:20.000]  breaking down how a worldwide dictatorship would be brought in of the corporations in the UN using the fear of a virus.
[07:20.000 --> 07:27.000]  They talk about face masks would be a symbol of submission and authoritarianism and how they would sweep aside the old republics.
[07:27.000 --> 07:29.000]  I'm actually going to show you the document coming up.
[07:29.000 --> 07:31.000]  Why is that important?
[07:31.000 --> 07:38.000]  Well, they rolled out the Surgeon General and his big military outfit to say,
[07:38.000 --> 07:43.000]  we're working with the Rockefeller Foundation to shut down people's speech.
[07:43.000 --> 07:49.000]  And we want medical groups and scientists that are criticizing us to be silenced.
[07:49.000 --> 07:51.000]  In fact, Biden's got a document out.
[07:51.000 --> 07:57.000]  He wants them arrested because if you're going to carry out the orderly sterilization and killing of billions of people,
[07:57.000 --> 08:01.000]  which this so-called injection is now confirmed to be triggering,
[08:01.000 --> 08:08.000]  well, you better be able to suppress people from raising the alarm that they're being maimed, being sterilized, and yes, being killed.
[08:08.000 --> 08:09.000]  That's all coming up.
[08:09.000 --> 08:13.000]  But, you know, just don't listen to me today in the year 2021.
[08:13.000 --> 08:22.000]  Listen, Alex Jones, in 2018, from, again, the Rockefeller Foundation who's running all of this with Bill O'Ball in the Gates.
[08:22.000 --> 08:24.000]  And I've explained that over and over again.
[08:24.000 --> 08:25.000]  And it did funny.
[08:25.000 --> 08:28.000]  I told you the Rockefeller Endowment, the Carnegie Endowment, they're the robber barons.
[08:28.000 --> 08:29.000]  They run it all.
[08:29.000 --> 08:32.000]  And notice the Carnegie Endowment now runs the CIA publicly.
[08:32.000 --> 08:37.000]  And the Rockefeller Foundation runs the medical response and says we better silence Americans.
[08:37.000 --> 08:44.000]  They've been planning this war on the free market, on America, on our values to replace it with global government.
[08:44.000 --> 08:47.000]  Because America's got the fall of that to happen for over 100 years.
[08:47.000 --> 08:49.000]  And now we're in its crosshairs.
[08:49.000 --> 08:55.000]  So here I am, just a short little clip from 2018.
[08:55.000 --> 09:00.000]  The globalists have shed in their white papers, in their own UN documents,
[09:00.000 --> 09:06.000]  that they want to create race-specific bio weapons and other systems to depopulate the planet.
[09:06.000 --> 09:13.000]  A lot of this from my sources is that they're preparing to release bio weapons, claim that they're naturally occurring,
[09:13.000 --> 09:20.000]  and then use that as the cover for civil emergency, societal control, crackdowns on free speech.
[09:20.000 --> 09:23.000]  Obama put the Internet kill switch in five years ago.
[09:23.000 --> 09:25.000]  And he got confronted by Congress.
[09:25.000 --> 09:28.000]  He said, well, it's in case the bird flu or SARS gets out.
[09:28.000 --> 09:30.000]  Just type that in.
[09:30.000 --> 09:34.000]  CDC says Internet kill switch is in case bird flu or SARS breaks out,
[09:34.000 --> 09:40.000]  and they have to control panic and direct every website in the U.S. to one government announcement.
[09:40.000 --> 09:45.000]  And we looked at every angle and believe a bio weapon release could be the thing they'd release
[09:45.000 --> 09:48.000]  to bring in a world government to counter a global problem.
[09:48.000 --> 09:53.000]  And the UN has said that a global pandemic is the only thing that may save their world government.
[09:53.000 --> 09:56.000]  Infowars, tomorrow's news today.
[09:56.000 --> 09:58.000]  Override big tech censors.
[09:58.000 --> 10:01.000]  Click the link below and share this important report.
[10:04.000 --> 10:07.000]  Oh, no, no, no. I don't even know what this is. How'd you get here?
[10:07.000 --> 10:12.000]  I just caught you, American. You visit a Band-Aid video.
[10:12.000 --> 10:20.000]  Oh, Mark Zuckerberg and others angry at you. Do what CNN says and do not visit Band-Aid video,
[10:20.000 --> 10:24.000]  or I have to hurt your eyes.
[10:24.000 --> 10:30.000]  It comes from China.
[10:32.000 --> 10:37.000]  So, yeah, that's a clip from 2018 with a little promo point there about Band-Aid video
[10:37.000 --> 10:40.000]  and getting around the censors, because here it is.
[10:40.000 --> 10:44.000]  Told you about this plan years ago. It was in the Obama kill switch plan.
[10:44.000 --> 10:46.000]  It was in congressional hearings and debates.
[10:46.000 --> 10:52.000]  And they passed a law, but they never implemented it to take over during a medical emergency or other emergency.
[10:52.000 --> 10:55.000]  The entire Internet, they either turned it off.
[10:55.000 --> 10:58.000]  The Russians have put this in. The Chinese already have it as well.
[10:58.000 --> 11:02.000]  Or they can direct you to quote only authoritative websites.
[11:02.000 --> 11:07.000]  Or they can take over the front page of all their websites and put their message there and or redirect.
[11:07.000 --> 11:11.000]  Well, then they announced this last week. Democrats want to monitor your text
[11:11.000 --> 11:16.000]  and use aggressive fact checkers to dispel vaccine misinformation.
[11:16.000 --> 11:18.000]  And they now admit that congressional hearings.
[11:18.000 --> 11:21.000]  We told you about this last week, and then Tucker Carlson covered it.
[11:21.000 --> 11:25.000]  This last week, and that was a week and a half ago, this last week.
[11:25.000 --> 11:29.000]  Just a few days ago, you saw Saki and Biden and all the rest of them say,
[11:29.000 --> 11:38.000]  oh, it's the disinformation doesn't like Robert F. Kennedy Jr. and all these scientists and all these, you know, former top academics
[11:38.000 --> 11:42.000]  and others, chief scientist advisor, saying how dangerous this all is.
[11:42.000 --> 11:47.000]  They call them a hate group and white supremacist, the center for countering digital hate.
[11:47.000 --> 11:52.000]  That's why the big Biden report of a month ago, such a big deal,
[11:52.000 --> 11:57.000]  national strategy for countering domestic terrorism.
[11:57.000 --> 12:02.000]  And what does it say right here? It says questioning lockdowns or forced inoculation
[12:02.000 --> 12:07.000]  or the election or gun control or open borders is white supremacism.
[12:07.000 --> 12:09.000]  It's their definition.
[12:09.000 --> 12:11.000]  They're like, what's that have to do with it? Nothing.
[12:11.000 --> 12:15.000]  And then by extension, you are now a terrorist is the Pentagon.
[12:15.000 --> 12:19.000]  The CIA will frustrate you and quote, take out your networks.
[12:19.000 --> 12:25.000]  And now you see Saki and Biden all over TV saying do exactly that.
[12:25.000 --> 12:27.000]  We're going to be laying all of that out for you.
[12:27.000 --> 12:32.000]  And here's some very, very important information.
[12:32.000 --> 12:35.000]  This is from zero hedge. It's on info wars.com.
[12:35.000 --> 12:42.000]  Now they are saying a Republican Party is the number one national security threat to United States of America.
[12:42.000 --> 12:48.000]  Biden administration officials and Homeland Security deputy directors have gone on TV, go read the link, the article.
[12:48.000 --> 12:54.000]  It's got dozens of examples just this weekend and said the enemy is all Republicans.
[12:54.000 --> 12:59.000]  They're terrorists and we're going to have to round them up.
[12:59.000 --> 13:04.000]  You see, they're not going to carry out forced inoculation with the deadly poison and the destruction of the borders,
[13:04.000 --> 13:08.000]  the bankruptcy of the country and let you speak and let you talk.
[13:08.000 --> 13:18.000]  They're preparing and have purged the military and are purging the FBI and control the Justice Department to have a head on war
[13:18.000 --> 13:21.000]  if you expose their election fraud or don't want to take your deadly shot.
[13:21.000 --> 13:24.000]  That's why they're on the news going, oh, you don't take your vaccine, you're killing people.
[13:24.000 --> 13:27.000]  Oh, I thought you were protected when you took the vaccine.
[13:27.000 --> 13:29.000]  How is my not taking it?
[13:29.000 --> 13:35.000]  You see, they now admit, oh, the Delta variant and others came out of mutations from the inoculated.
[13:35.000 --> 13:40.000]  Remember the New York Times, even NPR had the headlines six or seven months ago.
[13:40.000 --> 13:46.000]  Experts worry that this type of vaccine could cause mutations and more deadly viruses.
[13:46.000 --> 13:52.000]  But who knows if any of it's even true, they lie about the PCR test, 94% are false positive.
[13:52.000 --> 14:01.000]  As soon as Biden got into office on January 20th, they turned the National Directive of the CDC for all the clinics and hospitals
[14:01.000 --> 14:06.000]  to go from 40 cycles on the PCR test to 30.
[14:06.000 --> 14:09.000]  Well, at 40 cycles, you get about 94% false positive.
[14:09.000 --> 14:12.000]  At 30, you get no one positive.
[14:12.000 --> 14:14.000]  See how that works?
[14:14.000 --> 14:17.000]  Oh, the cases are all gone because they turned the PCR test down.
[14:17.000 --> 14:20.000]  Then they turned the PCR test back up.
[14:20.000 --> 14:27.000]  All of its smoke and mirrors, all of its garbage, all of it is lie based on lie based on top of another lie.
[14:27.000 --> 14:28.000]  But here it is.
[14:28.000 --> 14:34.000]  Now they're saying Republican Party is the number one national security threat the United States of America.
[14:34.000 --> 14:37.000]  And that the CIA and FBI must take it out.
[14:37.000 --> 14:43.000]  Remember when I played the clips of FBI spokesperson on MSNBC saying,
[14:43.000 --> 14:48.000]  I know this makes some of you get scared, but we need to take out members of Congress.
[14:48.000 --> 14:50.000]  They're the ones that are illegitimate.
[14:50.000 --> 14:53.000]  They're the ones that have hijacked the country.
[14:53.000 --> 14:59.000]  They're the ones declaring war and only American people are saying we're going to control your text messages, everything you do.
[14:59.000 --> 15:00.000]  Oh, and it goes on.
[15:00.000 --> 15:07.000]  Look, just in the news of today, Tracy Stone Manning, President Joe Biden's nominee to lead the Bureau of Land Management,
[15:07.000 --> 15:15.000]  helped edit a radical environmental newsletter that called for killing the heads of federal agencies and taking over the government by force.
[15:15.000 --> 15:16.000]  But no need to kill them now.
[15:16.000 --> 15:18.000]  They've already taken control by fraud.
[15:18.000 --> 15:19.000]  Big article.
[15:19.000 --> 15:21.000]  Might want to check that out for yourself.
[15:21.000 --> 15:31.000]  Virginia PTA leader who declared let them die said kill any parents that don't like critical race theory teaching them that their white children are bad should die.
[15:31.000 --> 15:32.000]  They've had to resign.
[15:32.000 --> 15:33.000]  So there is some good news.
[15:33.000 --> 15:35.000]  And even Marco Rubio is waking up.
[15:35.000 --> 15:40.000]  He tells all the leftist in the squad that love communist fascism and the BOM move to Cuba.
[15:40.000 --> 15:46.000]  If it's so great, we're going to break it all down today.
[15:46.000 --> 15:57.000]  And the incredible scientific prestigious stop reports for the most prestigious institutions in the world being suppressed that the so-called COVID vaccine is killing people and sterilizing them.
[15:57.000 --> 15:58.000]  I'm Alex Jones.
[15:58.000 --> 15:59.000]  Stay with us.
[15:59.000 --> 16:06.000]  X2 has been our number one bestseller over the years, deep earth crystal iodine, the good halogen.
[16:06.000 --> 16:09.000]  It is essential for all actions in the body.
[16:09.000 --> 16:10.000]  You must have it to live.
[16:10.000 --> 16:14.000]  The UN estimates 2 billion plus people have cognitive disabilities because they don't have it of iodine.
[16:14.000 --> 16:16.000]  We have X2 at two different bottles.
[16:16.000 --> 16:20.000]  Same amount in each bottle, but one has a spray top, one has a dropper top.
[16:20.000 --> 16:27.000]  60% off on the spray top, 40% off on the dropper top for a limited time because they're both selling out.
[16:27.000 --> 16:30.000]  I want to thank all of the supporters that have gotten these over the years.
[16:30.000 --> 16:31.000]  They're amazing.
[16:31.000 --> 16:33.000]  So that's a great deal for you to stock up on it.
[16:33.000 --> 16:38.000]  But this deal is really for folks that have been on the fence and haven't experienced the good halogen for yourself.
[16:38.000 --> 16:46.000]  So X2, the dropper bottle and the spray bottle, 60 and 40% off for a limited time because it's selling out right now at infowarstore.com.
[16:46.000 --> 16:48.000]  But we're going to keep this cell going until it sells out.
[16:48.000 --> 16:50.000]  It'll probably take about two weeks.
[16:50.000 --> 16:51.000]  Don't procrastinate.
[16:51.000 --> 16:59.000]  Take advantage of this special right now at infowarstore.com and check out the new products we just got in as well.
[16:59.000 --> 17:08.000]  I preach about the dangers of cell phones all day long because they're supercomputers controlled by big tech that are spying on us everywhere we go when we do.
[17:08.000 --> 17:17.000]  But because they have great cameras and great recording systems and great ways to communicate, I still have one because this Trojan horse, this Promethean fire has a lot of power.
[17:17.000 --> 17:23.000]  And I'm not using it. I lock it up in a high quality Faraday cage, a privacy pocket at infowarstore.com.
[17:23.000 --> 17:26.000]  We finally got them back in stock, the highest rated.
[17:26.000 --> 17:32.000]  They fit almost all types of androids and iPhones at 50% off, $14.95.
[17:32.000 --> 17:35.000]  They sell these babies for $29.95 all day long.
[17:35.000 --> 17:42.000]  We've got a private label with info wars on them for $14.95 because I want you to get them.
[17:42.000 --> 17:49.000]  And I want you to buy friends and family these systems to educate them about what these, quote, smartphones really are.
[17:49.000 --> 17:51.000]  This is a great way to limit your phone time use.
[17:51.000 --> 17:53.000]  It's a great way to spend more time with your family.
[17:53.000 --> 17:57.000]  And it's a great way to know you're not being tracked by the criminal global system.
[17:57.000 --> 18:03.000]  They're 50% off right now at infowarstore.com.
[18:03.000 --> 18:06.000]  Jacob in Ohio, welcome. Go ahead.
[18:06.000 --> 18:07.000]  Hey, how's it going, Alex?
[18:07.000 --> 18:08.000]  Good, bro.
[18:08.000 --> 18:12.000]  I just wanted to start with plugging your sleep supplement.
[18:12.000 --> 18:17.000]  It's basically the only way I get sleep anymore with all the gaslighting, the moralization and absurdity.
[18:17.000 --> 18:19.000]  It's like we're living in a twilight zone.
[18:19.000 --> 18:22.000]  All right, Eric in New Hampshire. Eric, thanks for calling. Go ahead.
[18:22.000 --> 18:24.000]  Hey, Alex, thanks for taking my call.
[18:24.000 --> 18:27.000]  If I could, I just want to throw a quick plug out for one of the products.
[18:27.000 --> 18:29.000]  The X2 does wonders.
[18:29.000 --> 18:31.000]  I recommend it to everybody here on the fence about it.
[18:31.000 --> 18:34.000]  Get off the fence, get the product, support the info war.
[18:34.000 --> 18:37.000]  Tyler in Maine, you're on the year. Thanks for holding. Go ahead.
[18:37.000 --> 18:39.000]  Hey, Alex, it's great to be on with you. It's an honor.
[18:39.000 --> 18:40.000]  Honored talk to you.
[18:40.000 --> 18:41.000]  Awesome.
[18:41.000 --> 18:47.000]  So, firstly, I wanted to do was say I love the products, alpha power, even at 29.
[18:47.000 --> 18:51.000]  If you ask my better half, she loves it and it helps in the bedroom.
[18:51.000 --> 18:53.000]  So, just number one for a few years.
[18:53.000 --> 18:55.000]  I like that one. It works. It's not a joke.
[18:55.000 --> 18:56.000]  Absolutely.
[18:56.000 --> 19:11.000]  As men age, they often experience a slowdown in vitality, energy and overall wellness.
[19:11.000 --> 19:16.000]  And that's why we made one of our most popular formulas to date.
[19:16.000 --> 19:27.000]  Super male vitality specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[19:27.000 --> 19:38.000]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[19:38.000 --> 19:39.000]  Yes.
[19:39.000 --> 19:51.000]  We're talking about ancient wisdom combined with modern technology, working together in perfect synchronicity to help you get the most out of this herb packed formula.
[19:51.000 --> 19:52.000]  So, what are you waiting for?
[19:52.000 --> 19:53.000]  Go to the InFore Store.
[19:53.000 --> 19:56.000]  Never been a better time than right now.
[19:56.000 --> 20:01.000]  Super male vitality at InForeStore.com.
[20:01.000 --> 20:07.000]  You're listening to the Alex Jones Show.
[20:25.000 --> 20:27.000]  Welcome back to this live Sunday transmission.
[20:27.000 --> 20:28.000]  I'm Alex Jones, your host.
[20:28.000 --> 20:30.000]  I really appreciate you all tuning in.
[20:30.000 --> 20:32.000]  There's been a process over the years.
[20:32.000 --> 20:41.000]  I've been on air 27 years where people over time have figured out that the longer they listen, the more they understand that I'm not just making this stuff up.
[20:41.000 --> 20:43.000]  I do so much research.
[20:43.000 --> 20:44.000]  I interview so many people.
[20:44.000 --> 20:52.000]  I immerse myself in studying history so much that we're right about 97% of the time.
[20:52.000 --> 20:59.000]  And the majority of the time that we're wrong, things are worse than we thought.
[20:59.000 --> 21:06.000]  And then the other part of the time, I just randomly will scramble something in my brain from memory and just get it wrong or make a mistake.
[21:06.000 --> 21:07.000]  We all do that.
[21:07.000 --> 21:08.000]  We're all human.
[21:08.000 --> 21:11.000]  The difference is I'm not up here trying to make mistakes.
[21:11.000 --> 21:14.000]  I'm not up here trying to lie to you, the globalist are.
[21:14.000 --> 21:24.000]  Now, I can tell you as a father and as a human being, I have empathy because having a conscience is the real mark of being human.
[21:24.000 --> 21:29.000]  And my most precious possession is that I have a very strong conscience.
[21:29.000 --> 21:42.000]  It is mind blowing to me how diabolical, how preplanned this entire takeover is in their own words and their own admissions.
[21:42.000 --> 21:49.000]  They've got every angle of this figured out except for you waking up and you saying no.
[21:49.000 --> 21:52.000]  If there's a free press, they all go to prison.
[21:52.000 --> 21:53.000]  They get indeed trouble.
[21:53.000 --> 22:09.000]  But they believe that the earth is overpopulated and that they've got to cause a controlled collapse ahead of humans overproducing, over-consuming and causing our own organic collapse.
[22:09.000 --> 22:17.000]  Now, you can debate whether that's true or not all day, but the globalist should not be able to sit there and play God.
[22:17.000 --> 22:27.000]  And I noticed they never cut back on their lifestyles and most of them, it turns out, are involved in pedophilia and the occult and generationally have done a lot of evil stuff.
[22:27.000 --> 22:36.000]  And they've been suppressing the development of really clean, good advanced technologies and have been actually suppressing people by claiming they control the environmental movement.
[22:36.000 --> 22:49.000]  They ignore all the serious environmental crises, like all the genetic engineering and all the cross species of manipulation that's going on that threatens the entire biosphere of the planet.
[22:49.000 --> 22:51.000]  At the end of the day, they're mad scientists.
[22:51.000 --> 22:57.000]  So I understand it's hard for you to hear all this news.
[22:57.000 --> 22:59.000]  I understand it's upsetting and it's depressing.
[22:59.000 --> 23:00.000]  It is for me as well.
[23:00.000 --> 23:12.000]  But the good news is we know what's going on and the good news is there's a God that created us that gave us free will and we know how this thing ends and that prophecy is being fulfilled.
[23:12.000 --> 23:22.000]  And so as negative as things are, we cannot feel the weight of the world on our shoulders and feel like that we've got to fix this and really drive ourselves to the ground.
[23:22.000 --> 23:36.000]  We've got to speak up, do the right thing, warn everybody, have courage, but then not feel guilty when we continue to see the evil expand because it's got to go through that process first.
[23:36.000 --> 23:47.000]  And then we're simply building up the countermeasures and the response and triggering the chain reaction that will end up bringing them down, but it's not going to happen overnight.
[23:47.000 --> 24:02.000]  And the reason I raise that point is I personally get very upset watching this unfold, very upset watching people be killed and maimed and attacked and lied to and then bankrupted and told they're non-essential.
[24:02.000 --> 24:17.000]  While the very group of murderers divide and conquer us along the lines of race and religion when they are the ones that absolutely want division and have a total predatory attitude towards us.
[24:17.000 --> 24:19.000]  And so it really gets to me.
[24:19.000 --> 24:31.000]  It makes me very, very angry, makes me very, very upset, and it makes me go into rages on air and off of air that are not healthy, that are not good.
[24:31.000 --> 24:40.000]  You know, ever since I was a teenager, when I'd go into a red rage, I would break a blood vessel in my right eye and it would always turn red.
[24:40.000 --> 24:43.000]  That's kind of like the warning light, and then that happened Friday.
[24:43.000 --> 24:53.000]  I got so mad just at all the things going on and so physically pissed off all day long that a blood vessel, the same one right here in my right eye, burst.
[24:53.000 --> 25:11.000]  And then that's always when I know that it's time to really take a break and pull back and just trust in God because, you know, these are real studies about 84% of women that take the vaccine having a miscarriage in the first or second trimester.
[25:11.000 --> 25:28.000]  These are real prestigious studies about the protein in the mRNA vaccines, the protein that it triggers attacking and migrating to the ovaries and then basically killing the ovaries.
[25:28.000 --> 25:46.000]  And then you can even pull up UN studies from 20 years ago where they talked about vaccines to attack the ovaries, sterile vaccines. Don't believe me, just type in different terms dealing with vaccines and birth control,
[25:46.000 --> 25:53.000]  and you'll see a massive amount of UN and big pharma studies, and that's what's going on.
[25:53.000 --> 26:05.000]  And again, there's a baseline argument there that there are a lot of poor people and a lot of dumb people having a bunch of kids and they're aimless, they don't have any focus, and what are they going to do?
[26:05.000 --> 26:19.000]  But the globalists have set up a society to accentuate that ignorance and to accentuate that squalor, and then they use all that squalor as a weapon against what's left of the West because the globalists don't want any intellectual competition.
[26:19.000 --> 26:38.000]  They are so selfish in what full control of all human activity that they're actually pulling down all of the lighthouses that can guide in the ships of culture and of nations into a safe harbor.
[26:38.000 --> 26:55.000]  It is an attack on the Christian idea of building people up. It is a repudiation of that and a message of total social Darwinism, absolute complete ruthlessness.
[26:55.000 --> 27:12.000]  And so any listener tuned in does not have to just believe me or disagree with me or say, I think this is too much. You can go check every thing I've said.
[27:12.000 --> 27:30.000]  Thank God that suddenly a lot of people in Congress and a lot of other publications are figuring out, and Tucker Carlson has done shows on it, who's really the main populist leader right now when it comes to mainstream.
[27:30.000 --> 27:49.000]  He's leading the mainstream into reality, whereas I'm kind of like the mad prophet off in the wilderness, that they're understanding and discovering the Rockefeller Foundation and the Carnegie Endowment and all these plans to carry out this operation.
[27:49.000 --> 28:01.000]  And that it really is a sterilization depopulation operation. It's an incredible weapon. It hurts the young, but it really targets the old. It causes heart attack, strokes, lungs to fail.
[28:01.000 --> 28:05.000]  It also basically destroys the ovaries.
[28:05.000 --> 28:21.000]  And it's so strong that they've had now over 100 times the deaths of all previous years combined on the VAERS reporting system. And remember, it's only a fraction of what's actually been reported.
[28:21.000 --> 28:34.000]  So we are witnessing, you always ask, like, why does Hitler engage in a holocaust or why did Mao kill, you know, 80 million of his own people? Because that's part of the plan. They wanted full control.
[28:34.000 --> 28:41.000]  I mean, they were little farmers and people out on their own land that didn't want to be under the system's control, so they had to be killed.
[28:41.000 --> 28:51.000]  And so I'm really sorry this is happening. I'm sorry this is here, and I'm sorry to tell you the vaccine wasn't going to protect you from COVID. Now they admit that.
[28:51.000 --> 29:01.000]  You're going to take these shots if you want to go outside or have a job, because the shots are going to sterilize you and then finally kill you.
[29:01.000 --> 29:24.000]  The globalists are having their revolution, but for humanity has to have its revolution. We have to first recognize this anti-human takeovers, trying to enslave the entire biological processes of humans and turn us into these artificial, corporate, controlled slaves.
[29:24.000 --> 29:36.000]  Orson slaves, just property from cradle to grave of the system, rendered down to be servile minions of the system and a ritual of dominance and satanic control.
[29:36.000 --> 29:46.000]  We have to recognize the great reset post-industrial world, which realizes a nightmare dystopia, and we have to promote liberty and freedom that is the opposite of the dystopia.
[29:46.000 --> 29:59.000]  It's that choice, it's that realization that's going to change the world, and it's the only choice we've got, freedom or slavery, good or evil. It is a spiritual battle, an info wars at the tip of the spear fighting it.
[30:16.000 --> 30:28.000]  There are two different bottles, the same amount in each bottle, but one has a spray top, one has a dropper top. 60% off on the spray top, 40% off on the dropper top for a limited time because they're both selling out.
[30:28.000 --> 30:39.000]  I want to thank all the supporters that have gotten these over the years, they're amazing, so that's a great deal for you to stock up on it, but this deal is really for folks that have been on the fence and haven't experienced the good halogen for yourself.
