[00:00:00.000 --> 00:00:25.000]  Music
[00:04:37.000 --> 00:04:40.000]  was activated and more attacks are going to be activated
[00:04:40.000 --> 00:04:42.000]  and hopefully how to stop them
[00:04:42.000 --> 00:04:44.000]  so get the videos my friends
[00:04:44.000 --> 00:04:47.000]  get them make copies of them for non-profit
[00:04:47.000 --> 00:04:49.000]  not for sale educational purposes
[00:04:49.000 --> 00:04:51.000]  air them on AXS TV
[00:04:51.000 --> 00:04:53.000]  get them out to your friends and family
[00:04:53.000 --> 00:04:55.000]  educate America now
[00:04:55.000 --> 00:04:57.000]  and support this broadcast
[00:04:57.000 --> 00:05:00.000]  the videos are $25.95 a piece
[00:05:00.000 --> 00:05:05.000]  order 3 or more they drop down to $20 a piece
[00:05:05.000 --> 00:05:08.000]  that book is $12 it's about September 11th
[00:05:08.000 --> 00:05:10.000]  9-1-1 descent into tyranny
[00:05:10.000 --> 00:05:14.000]  and get the information and start waking people up at the grassroots level
[00:05:14.000 --> 00:05:16.000]  the toll free number to order is
[00:05:16.000 --> 00:05:22.000]  1-888-253-3139
[00:05:22.000 --> 00:05:28.000]  that's 888-253-3139
[00:05:28.000 --> 00:05:33.000]  or go to Infowars.com or PrisonPlanet.com to order
[00:05:33.000 --> 00:05:36.000]  or simply write to me, Alex Jones
[00:05:36.000 --> 00:05:43.000]  at 3001 South Lamar, Suite 100, Austin, Texas 78704
[00:05:43.000 --> 00:05:44.000]  if you're sick and tired of the lies
[00:05:44.000 --> 00:05:46.000]  if you're tired of people being ignorant
[00:05:46.000 --> 00:05:48.000]  if you're tired of talking yourself blue in the face
[00:05:48.000 --> 00:05:50.000]  for your friends and family to wake them up
[00:05:50.000 --> 00:05:52.000]  or the local talk show host
[00:05:52.000 --> 00:05:55.000]  give them the videos and 90% of the time
[00:05:55.000 --> 00:05:57.000]  on average they're waking up
[00:05:57.000 --> 00:06:00.000]  help us plant the seeds and save the republic
[00:06:01.000 --> 00:06:05.000]  Alright, let's go to Bev Harris, author of Black Box Voting
[00:06:05.000 --> 00:06:09.000]  Bev, this stuff is real, this is a massive fraud
[00:06:09.000 --> 00:06:11.000]  and I want to thank you for coming on the show
[00:06:11.000 --> 00:06:13.000]  Well, it's nice to be here
[00:06:13.000 --> 00:06:15.000]  Tell us a little bit more about yourself
[00:06:15.000 --> 00:06:16.000]  how you got involved in this
[00:06:16.000 --> 00:06:20.000]  how you discovered this rabbit hole, Alice
[00:06:20.000 --> 00:06:22.000]  and tell us how deep it really goes
[00:06:22.000 --> 00:06:24.000]  Well, it's really disturbing
[00:06:24.000 --> 00:06:26.000]  I got involved in it because
[00:06:26.000 --> 00:06:29.000]  I read an article by Lynn Landis
[00:06:29.000 --> 00:06:31.000]  she's a reporter and she wrote an article
[00:06:31.000 --> 00:06:34.000]  that said, assume crooks are in control
[00:06:34.000 --> 00:06:36.000]  and the gist of her article was that
[00:06:36.000 --> 00:06:38.000]  nobody could figure out who owned these companies
[00:06:38.000 --> 00:06:41.000]  and I thought, well, you know, I'll just go look it up
[00:06:41.000 --> 00:06:44.000]  I have some databases that not everyone has
[00:06:44.000 --> 00:06:46.000]  and so on a lunch hour someday
[00:06:46.000 --> 00:06:48.000]  I just sat down and looked it up
[00:06:48.000 --> 00:06:50.000]  and I was really shocked to see
[00:06:50.000 --> 00:06:52.000]  that there was really conflict of interest
[00:06:52.000 --> 00:06:54.000]  among the owners
[00:06:54.000 --> 00:06:57.000]  In other words, people were programming voting machines
[00:06:57.000 --> 00:06:59.000]  and then running for office
[00:06:59.000 --> 00:07:01.000]  with their own machines counting their votes
[00:07:01.000 --> 00:07:04.000]  I found that just amazing that that could happen
[00:07:04.000 --> 00:07:08.000]  and as I continued to research it
[00:07:08.000 --> 00:07:10.000]  then I started looking into, well, do we know
[00:07:10.000 --> 00:07:12.000]  that the machines count accurately?
[00:07:12.000 --> 00:07:15.000]  Found 112 elections
[00:07:15.000 --> 00:07:16.000]  and by the way, there's more
[00:07:16.000 --> 00:07:18.000]  I just got tired of it and stopped
[00:07:18.000 --> 00:07:21.000]  112 elections that were documented
[00:07:21.000 --> 00:07:23.000]  that the machines counted wrong
[00:07:23.000 --> 00:07:25.000]  and I don't mean little mistakes
[00:07:25.000 --> 00:07:28.000]  but they counted 60% errors, 25% errors
[00:07:28.000 --> 00:07:30.000]  Now that's just when they get caught
[00:07:30.000 --> 00:07:32.000]  And that's just when they get caught
[00:07:32.000 --> 00:07:34.000]  and I would assume, by the way, that we're only catching
[00:07:34.000 --> 00:07:37.000]  about 5% of them at the most
[00:07:37.000 --> 00:07:39.000]  and that's their errors
[00:07:39.000 --> 00:07:42.000]  My next question is, are they errors
[00:07:42.000 --> 00:07:43.000]  or are some of this deliberate?
[00:07:43.000 --> 00:07:45.000]  Now we're talking to Bev Harris
[00:07:45.000 --> 00:07:47.000]  Bev, you've written books and consult
[00:07:47.000 --> 00:07:49.000]  the major companies
[00:07:49.000 --> 00:07:53.000]  What you do is track down fraud, embezzlement, corruption
[00:07:53.000 --> 00:07:55.000]  So this was a perfect thing for you to investigate
[00:07:55.000 --> 00:07:58.000]  Well, yeah, as soon as I saw that they were
[00:07:58.000 --> 00:08:00.000]  removing the audit trail
[00:08:00.000 --> 00:08:02.000]  and they were trying to make these machines paperless
[00:08:02.000 --> 00:08:04.000]  so that there was no physical record
[00:08:04.000 --> 00:08:06.000]  of what the voter had done
[00:08:06.000 --> 00:08:11.000]  immediately, it's like, well, we've got a security hole here
[00:08:11.000 --> 00:08:13.000]  If you did this with counting
[00:08:13.000 --> 00:08:15.000]  you would always be embezzled from
[00:08:15.000 --> 00:08:17.000]  You can't do this kind of thing
[00:08:17.000 --> 00:08:19.000]  You've got to have checks and balances
[00:08:19.000 --> 00:08:21.000]  But nationwide it's going in
[00:08:21.000 --> 00:08:23.000]  Chuck E. Schumer and Bush have got the bill
[00:08:23.000 --> 00:08:25.000]  to fund this for billions of dollars
[00:08:25.000 --> 00:08:27.000]  It's going in right here in Austin
[00:08:27.000 --> 00:08:29.000]  and the people are so gullible
[00:08:29.000 --> 00:08:31.000]  Oh, the government wouldn't do that
[00:08:31.000 --> 00:08:33.000]  and they are doing it
[00:08:33.000 --> 00:08:35.000]  Right. Well, the thing is
[00:08:35.000 --> 00:08:37.000]  with this kind of voting machine
[00:08:37.000 --> 00:08:40.000]  you can have very few people
[00:08:40.000 --> 00:08:44.000]  involved in tampering with millions of votes
[00:08:44.000 --> 00:08:46.000]  So it's not like you have
[00:08:46.000 --> 00:08:48.000]  In the old days, because people have always
[00:08:48.000 --> 00:08:49.000]  done election rigging
[00:08:49.000 --> 00:08:51.000]  But in the old days you'd have to work at it
[00:08:51.000 --> 00:08:53.000]  You'd have to go precinct to precinct
[00:08:53.000 --> 00:08:55.000]  and bribe people and do things
[00:08:55.000 --> 00:08:57.000]  No, with these computerized voting machines
[00:08:57.000 --> 00:09:00.000]  if you get out a couple of programmers
[00:09:00.000 --> 00:09:03.000]  you can do a lot of damage
[00:09:03.000 --> 00:09:05.000]  and that's talking to a couple people
[00:09:05.000 --> 00:09:07.000]  That's how they're getting caught though
[00:09:07.000 --> 00:09:09.000]  because you've noticed that in some of these elections
[00:09:09.000 --> 00:09:11.000]  and I've seen the news articles
[00:09:11.000 --> 00:09:13.000]  it'll be the exact same tally
[00:09:13.000 --> 00:09:15.000]  in certain classes of elections all over
[00:09:15.000 --> 00:09:17.000]  They're getting lazy, aren't they?
[00:09:17.000 --> 00:09:19.000]  Where they just issue a set parameter
[00:09:19.000 --> 00:09:21.000]  and put it out there
[00:09:21.000 --> 00:09:23.000]  hoping that no one notices
[00:09:23.000 --> 00:09:25.000]  Well, there are some mathematical reasons for that
[00:09:25.000 --> 00:09:27.000]  That number that you're referring to
[00:09:27.000 --> 00:09:29.000]  18181, which happens three times
[00:09:29.000 --> 00:09:31.000]  in Comal County, Texas
[00:09:31.000 --> 00:09:33.000]  Well, that actually there is
[00:09:33.000 --> 00:09:35.000]  if you do a certain type of
[00:09:35.000 --> 00:09:37.000]  percentage addition
[00:09:37.000 --> 00:09:39.000]  to the vote
[00:09:39.000 --> 00:09:41.000]  it will tend to get that number
[00:09:41.000 --> 00:09:43.000]  One of the things that's been interesting
[00:09:43.000 --> 00:09:45.000]  recently is we've had some mathematicians
[00:09:45.000 --> 00:09:47.000]  look at how that number came about
[00:09:47.000 --> 00:09:49.000]  and I won't go into it on the air
[00:09:49.000 --> 00:09:51.000]  but it actually
[00:09:51.000 --> 00:09:53.000]  is a round down of 18182
[00:09:53.000 --> 00:09:55.000]  which happens when they do certain
[00:09:55.000 --> 00:09:57.000]  math functions on the computer
[00:09:57.000 --> 00:09:59.000]  It's very indicative of the fact
[00:09:59.000 --> 00:10:01.000]  that there was an automated program
[00:10:01.000 --> 00:10:03.000]  in place during that election
[00:10:03.000 --> 00:10:05.000]  which happened to generate that result
[00:10:05.000 --> 00:10:07.000]  Now Bev, let's just boom, boom, boom
[00:10:07.000 --> 00:10:09.000]  through the big
[00:10:09.000 --> 00:10:11.000]  red flags and smoking guns
[00:10:11.000 --> 00:10:13.000]  here and
[00:10:13.000 --> 00:10:15.000]  you were telling me this morning
[00:10:15.000 --> 00:10:17.000]  briefly that you had new information
[00:10:17.000 --> 00:10:19.000]  not just about
[00:10:19.000 --> 00:10:21.000]  back doors into these boxes
[00:10:21.000 --> 00:10:23.000]  but specific programs
[00:10:23.000 --> 00:10:25.000]  in there to remotely access it
[00:10:25.000 --> 00:10:27.000]  Right, one of the things that I
[00:10:27.000 --> 00:10:29.000]  found curious is that a lot of
[00:10:29.000 --> 00:10:31.000]  the election company officials
[00:10:31.000 --> 00:10:33.000]  were making statements about
[00:10:33.000 --> 00:10:35.000]  the fact that these machines are not connected to
[00:10:35.000 --> 00:10:37.000]  anything, there's no modem, they don't connect to the
[00:10:37.000 --> 00:10:39.000]  internet and I knew
[00:10:39.000 --> 00:10:41.000]  that they did. I have the manuals
[00:10:41.000 --> 00:10:43.000]  and I have the technical specs and I thought
[00:10:43.000 --> 00:10:45.000]  well why are they lying about this because it was
[00:10:45.000 --> 00:10:47.000]  thought based lies
[00:10:47.000 --> 00:10:49.000]  We got the county clerk on a local
[00:10:49.000 --> 00:10:51.000]  TV show and she said no
[00:10:51.000 --> 00:10:53.000]  it doesn't hook to anything and then we go
[00:10:53.000 --> 00:10:55.000]  well look there's a phone plug right here
[00:10:55.000 --> 00:10:57.000]  what's that?
[00:10:57.000 --> 00:10:59.000]  How dumb do they think we are?
[00:10:59.000 --> 00:11:01.000]  Exactly, and not only that but I have
[00:11:01.000 --> 00:11:03.000]  the technical specs, they have wireless
[00:11:03.000 --> 00:11:05.000]  stuff in them. I mean they are all
[00:11:05.000 --> 00:11:07.000]  hooked up for wireless communication
[00:11:07.000 --> 00:11:09.000]  but it gets worse than that
[00:11:09.000 --> 00:11:11.000]  The story that we're working on now
[00:11:11.000 --> 00:11:13.000]  is actually looking at the code itself
[00:11:13.000 --> 00:11:15.000]  and it looks
[00:11:15.000 --> 00:11:17.000]  to us like they have rewritten
[00:11:17.000 --> 00:11:19.000]  portions of windows
[00:11:19.000 --> 00:11:21.000]  which will allow them to
[00:11:21.000 --> 00:11:23.000]  get remote access into
[00:11:23.000 --> 00:11:25.000]  the machines and actually write information
[00:11:25.000 --> 00:11:27.000]  directly into the touch screens
[00:11:27.000 --> 00:11:29.000]  themselves and that is
[00:11:29.000 --> 00:11:31.000]  that's bad. Now I
[00:11:31.000 --> 00:11:33.000]  have had, I'll tell you the example, I'll put some
[00:11:33.000 --> 00:11:35.000]  qualifiers on that. I have had
[00:11:35.000 --> 00:11:37.000]  two C++ coders
[00:11:37.000 --> 00:11:39.000]  look at the source code itself. Both of them
[00:11:39.000 --> 00:11:41.000]  came up with the same conclusion
[00:11:41.000 --> 00:11:43.000]  this is such an important story
[00:11:43.000 --> 00:11:45.000]  that I'm actually going to take it through five
[00:11:45.000 --> 00:11:47.000]  different coders including
[00:11:47.000 --> 00:11:49.000]  Microsoft and
[00:11:49.000 --> 00:11:51.000]  you know we're going to nail this down
[00:11:51.000 --> 00:11:53.000]  This is going to be a big, big
[00:11:53.000 --> 00:11:55.000]  story. Well it is
[00:11:55.000 --> 00:11:57.000]  a giant story but already they're
[00:11:57.000 --> 00:11:59.000]  remotely accessible
[00:11:59.000 --> 00:12:01.000]  Right. You've got politicians
[00:12:01.000 --> 00:12:03.000]  involved in owning companies
[00:12:03.000 --> 00:12:05.000]  and then using their own machines when they run
[00:12:05.000 --> 00:12:07.000]  Can you give us some of that background?
[00:12:07.000 --> 00:12:09.000]  Well you know
[00:12:11.000 --> 00:12:13.000]  where do you want me to start?
[00:12:13.000 --> 00:12:15.000]  Well actually ask me that question again
[00:12:15.000 --> 00:12:17.000]  and I'll focus it in. There's so much to talk
[00:12:17.000 --> 00:12:19.000]  about as you... Well that's what I was saying is that
[00:12:19.000 --> 00:12:21.000]  there's so much fraud, so much corruption
[00:12:21.000 --> 00:12:23.000]  but you were talking about politicians
[00:12:23.000 --> 00:12:25.000]  who are involved in owning
[00:12:25.000 --> 00:12:27.000]  the touch screen
[00:12:27.000 --> 00:12:29.000]  wireless
[00:12:29.000 --> 00:12:31.000]  voting companies and then they
[00:12:31.000 --> 00:12:33.000]  end up using their own machines, their own elections
[00:12:33.000 --> 00:12:35.000]  with their own programmers working on the machines
[00:12:35.000 --> 00:12:37.000]  And one of the ones is being groomed
[00:12:37.000 --> 00:12:39.000]  to come in after President
[00:12:39.000 --> 00:12:41.000]  Bush as the next president
[00:12:41.000 --> 00:12:43.000]  His name is Chuck Hagel. He's out of Nebraska
[00:12:43.000 --> 00:12:45.000]  You can see that they're actually
[00:12:45.000 --> 00:12:47.000]  kind of grooming him to take
[00:12:47.000 --> 00:12:49.000]  over some big position
[00:12:49.000 --> 00:12:51.000]  By the way he goes to the Bilderberg group meetings
[00:12:51.000 --> 00:12:53.000]  He does. He also
[00:12:53.000 --> 00:12:55.000]  he administered... He
[00:12:55.000 --> 00:12:57.000]  counts himself as this big Vietnam vet
[00:12:57.000 --> 00:12:59.000]  Well I'm sorry but he was the guy
[00:12:59.000 --> 00:13:01.000]  who administered the Agent Orange program
[00:13:01.000 --> 00:13:03.000]  and I don't know
[00:13:03.000 --> 00:13:05.000]  about your listeners but I know people
[00:13:05.000 --> 00:13:07.000]  who have recently died
[00:13:07.000 --> 00:13:09.000]  They were Agent Orange victims
[00:13:09.000 --> 00:13:11.000]  I don't know too many people
[00:13:11.000 --> 00:13:13.000]  who felt like they got a fair shake out of
[00:13:13.000 --> 00:13:15.000]  the Agent Orange settlement the government came up with
[00:13:15.000 --> 00:13:17.000]  but that was his first foray and then
[00:13:17.000 --> 00:13:19.000]  he worked for George Bush Sr
[00:13:19.000 --> 00:13:21.000]  for several years in Washington
[00:13:21.000 --> 00:13:23.000]  D.C. and then he came out to run
[00:13:23.000 --> 00:13:25.000]  the voting machine company. He was
[00:13:25.000 --> 00:13:27.000]  the CEO and chairman of what
[00:13:27.000 --> 00:13:29.000]  is now Election Systems and Software
[00:13:29.000 --> 00:13:31.000]  He then ran for office
[00:13:31.000 --> 00:13:33.000]  and the machines that were billed
[00:13:33.000 --> 00:13:35.000]  under his watch, the machines
[00:13:35.000 --> 00:13:37.000]  that were programmed while he was running
[00:13:37.000 --> 00:13:39.000]  the company were the ones that counted
[00:13:39.000 --> 00:13:41.000]  his vote and his
[00:13:41.000 --> 00:13:43.000]  election was so amazing. It was
[00:13:43.000 --> 00:13:45.000]  such an upset that it was reported
[00:13:45.000 --> 00:13:47.000]  nationwide. Business Week
[00:13:47.000 --> 00:13:49.000]  said lightning struck
[00:13:49.000 --> 00:13:51.000]  twice. He had an amazing
[00:13:51.000 --> 00:13:53.000]  upset victory in the primary and another
[00:13:53.000 --> 00:13:55.000]  amazing victory in the election
[00:13:55.000 --> 00:13:57.000]  where he defeated a popular
[00:13:57.000 --> 00:13:59.000]  incumbent. Well
[00:13:59.000 --> 00:14:01.000]  if he had disclosed that he
[00:14:01.000 --> 00:14:03.000]  was running the voting machine company
[00:14:03.000 --> 00:14:05.000]  I can tell you that they would have reported
[00:14:05.000 --> 00:14:07.000]  that too but he lied on his
[00:14:07.000 --> 00:14:09.000]  disclosure documents and said he was a
[00:14:09.000 --> 00:14:11.000]  banker. Now
[00:14:11.000 --> 00:14:13.000]  what he was was
[00:14:13.000 --> 00:14:15.000]  the chairman of a voting machine company
[00:14:15.000 --> 00:14:17.000]  By the way those are the voting machines we
[00:14:17.000 --> 00:14:19.000]  use in Austin is from Hagel's Nebraska
[00:14:19.000 --> 00:14:21.000]  Company. ES&S
[00:14:21.000 --> 00:14:23.000]  probably. I know a lot of Texas companies
[00:14:23.000 --> 00:14:25.000]  I saw that back when they were
[00:14:25.000 --> 00:14:27.000]  paying for them and putting them in. Plus
[00:14:27.000 --> 00:14:29.000]  it's like 15 million dollars
[00:14:29.000 --> 00:14:31.000]  for Austin and all they are is little
[00:14:31.000 --> 00:14:33.000]  junky computers.
[00:14:33.000 --> 00:14:35.000]  They're putting millions of dollars
[00:14:35.000 --> 00:14:37.000]  in and what you don't even see
[00:14:37.000 --> 00:14:39.000]  is the extras. I know Georgia
[00:14:39.000 --> 00:14:41.000]  put in 55 million dollars worth
[00:14:41.000 --> 00:14:43.000]  of machines and then they wanted to have a little election
[00:14:43.000 --> 00:14:45.000]  on the state flag and the company
[00:14:45.000 --> 00:14:47.000]  said oh that'll be another 2 million we have
[00:14:47.000 --> 00:14:49.000]  to reprogram.
[00:14:49.000 --> 00:14:51.000]  And I wonder how
[00:14:51.000 --> 00:14:53.000]  much is disclosed upon purchase
[00:14:53.000 --> 00:14:55.000]  as to what the extras are later
[00:14:55.000 --> 00:14:57.000]  on.
[00:14:57.000 --> 00:14:59.000]  You know this is just amazing
[00:14:59.000 --> 00:15:01.000]  and they just tell us this is the way it
[00:15:01.000 --> 00:15:03.000]  is. I know that when we were
[00:15:03.000 --> 00:15:05.000]  reporting on this trying to stop the touch screens
[00:15:05.000 --> 00:15:07.000]  in Austin a lot of strange things happened.
[00:15:07.000 --> 00:15:09.000]  A lot of people got threatened.
[00:15:09.000 --> 00:15:11.000]  They've got a lot of members of the
[00:15:11.000 --> 00:15:13.000]  media on the little local committees
[00:15:13.000 --> 00:15:15.000]  running this through. This is very important to them
[00:15:15.000 --> 00:15:17.000]  isn't it? It is and you know
[00:15:17.000 --> 00:15:19.000]  what's really telling
[00:15:19.000 --> 00:15:21.000]  Sequoia in the state of Louisiana
[00:15:21.000 --> 00:15:23.000]  spent more money lobbying than they sold the machines
[00:15:23.000 --> 00:15:25.000]  for. Now that tells you something.
[00:15:25.000 --> 00:15:27.000]  There's an agenda
[00:15:27.000 --> 00:15:29.000]  there isn't there?
[00:15:29.000 --> 00:15:31.000]  You know and another thing that we're seeing
[00:15:31.000 --> 00:15:33.000]  is they're going straight
[00:15:33.000 --> 00:15:35.000]  to the state and trying to get
[00:15:35.000 --> 00:15:37.000]  a state person to make the decision
[00:15:37.000 --> 00:15:39.000]  for all the counties. They did that in Georgia
[00:15:39.000 --> 00:15:41.000]  and they're now doing that in Ohio.
[00:15:41.000 --> 00:15:43.000]  They're trying to get one state guy
[00:15:43.000 --> 00:15:45.000]  to make the decision for all the counties
[00:15:45.000 --> 00:15:47.000]  in Ohio to buy the same machines.
[00:15:47.000 --> 00:15:49.000]  Yeah they're trying to always centralize it.
[00:15:49.000 --> 00:15:51.000]  This is incredible and again there's almost
[00:15:51.000 --> 00:15:53.000]  no debate about this. You tell
[00:15:53.000 --> 00:15:55.000]  somebody this in a checkout line they'll
[00:15:55.000 --> 00:15:57.000]  on average roll their eyes at you.
[00:15:57.000 --> 00:15:59.000]  I guess people want to be slaves.
[00:15:59.000 --> 00:16:01.000]  They don't want to know.
[00:16:01.000 --> 00:16:03.000]  I think the general public is starting
[00:16:03.000 --> 00:16:05.000]  to wake up and
[00:16:05.000 --> 00:16:07.000]  what this is is a situation by the way
[00:16:07.000 --> 00:16:09.000]  where we cannot depend
[00:16:09.000 --> 00:16:11.000]  on government or some
[00:16:11.000 --> 00:16:13.000]  organization to fix this problem.
[00:16:13.000 --> 00:16:15.000]  Well Bev it's also a race
[00:16:15.000 --> 00:16:17.000]  against evil because if they get these in everywhere
[00:16:17.000 --> 00:16:19.000]  they'll just say well you voted
[00:16:19.000 --> 00:16:21.000]  for us taking your land. Well you voted
[00:16:21.000 --> 00:16:23.000]  for foreign troops. Well you voted for
[00:16:23.000 --> 00:16:25.000]  more taxes and people go no we didn't
[00:16:25.000 --> 00:16:27.000]  vote. Oh yes you did. I mean if they
[00:16:27.000 --> 00:16:29.000]  get these in it won't matter.
[00:16:29.000 --> 00:16:31.000]  Right nothing matters. Thomas Jefferson
[00:16:31.000 --> 00:16:33.000]  you know one of our founding fathers
[00:16:33.000 --> 00:16:35.000]  said he predicted this type
[00:16:35.000 --> 00:16:37.000]  of thing actually and he said you know
[00:16:37.000 --> 00:16:39.000]  the people the people
[00:16:39.000 --> 00:16:41.000]  at the grassroots level have to
[00:16:41.000 --> 00:16:43.000]  continue to be vigilant because
[00:16:43.000 --> 00:16:45.000]  if we don't we will lose our democracy
[00:16:45.000 --> 00:16:47.000]  without anyone ever firing a shot.
[00:16:47.000 --> 00:16:49.000]  And the reason we will is because of
[00:16:49.000 --> 00:16:51.000]  greed and corruption. Well Stalin
[00:16:51.000 --> 00:16:53.000]  said I don't care who
[00:16:53.000 --> 00:16:55.000]  cast the votes only who counts them.
[00:16:55.000 --> 00:16:57.000]  That's right. That's right.
[00:16:57.000 --> 00:16:59.000]  You know
[00:16:59.000 --> 00:17:01.000]  I think what
[00:17:01.000 --> 00:17:03.000]  I'm seeing in actually looking
[00:17:03.000 --> 00:17:05.000]  at the programs themselves
[00:17:05.000 --> 00:17:07.000]  and I haven't looked at ES&S
[00:17:07.000 --> 00:17:09.000]  I don't have access to they're very
[00:17:09.000 --> 00:17:11.000]  secretive about these machines but I was
[00:17:11.000 --> 00:17:13.000]  able to get a hold of the actual programs
[00:17:13.000 --> 00:17:15.000]  for Diebold election
[00:17:15.000 --> 00:17:17.000]  systems and they're based out of McKinney Texas
[00:17:17.000 --> 00:17:19.000]  by the way. It's actually
[00:17:19.000 --> 00:17:21.000]  a long story
