[00:00.000 --> 00:04.740]  Gavin McInnes is back with his all-new online network, FreeSpeech.tv.
[11:43.740 --> 11:52.740]  Infanticide is not a crime after a failed abortion, according to the California Attorney General in the baby parts court case.
[11:52.740 --> 12:01.740]  That's right. If you murder your baby in the state of California, it's not a crime as long as you don't want that baby. You got it?
[12:01.740 --> 12:10.740]  So if you just say, ah, don't want the baby anymore, according to the state of California, you can now commit murder of your own child,
[12:10.740 --> 12:16.740]  and it's perfectly fine with the state of California. They won't prosecute you. In fact, they will defend you,
[12:16.740 --> 12:26.740]  and they will defend the baby murdering institutions like Planned Parenthood that are harvesting organs just as much as China.
[12:26.740 --> 12:31.740]  So I'm wondering, why doesn't the NBA connect with Planned Parenthood?
[12:31.740 --> 12:37.740]  I mean, if it's all about organ harvesting and murdering children and just abandoning all morality and ethics,
[12:37.740 --> 12:43.740]  it seems like the NBA would love to be part of those abortions.
[12:43.740 --> 12:49.740]  You know what? They should have an abortion center right there in the middle of the basketball court. That's what they should do.
[12:49.740 --> 12:55.740]  They should have a Planned Parenthood halftime abortion demonstration at the NBA.
[12:55.740 --> 13:01.740]  You know, they shoot a few three-pointers, and they harvest a few limbs. How about that?
[13:01.740 --> 13:08.740]  Because that's what they believe. That's how sick these people are. Sickos all around. But I have to continue here.
[13:08.740 --> 13:16.740]  Facebook takes down proud American page that supports the U.S. Border Patrol. Over 3 million followers.
[13:16.740 --> 13:22.740]  Facebook takes it down because, of course, loving your country is too offensive for the far left.
[13:22.740 --> 13:25.740]  This is more election meddling by Facebook.
[13:25.740 --> 13:32.740]  The tech giants engaged in outright treason, total violation of the civil rights of Americans.
[13:32.740 --> 13:37.740]  They are meddling in elections. They are stealing the 2020 election in advance.
[13:37.740 --> 13:47.740]  Facebook, Twitter, YouTube, Google, Vimeo. Vimeo even banned us because we had too many videos about vaccines.
[13:47.740 --> 13:51.740]  Oh, too many videos about vaccines. Oh, speaking of vaccines, check this out.
[13:51.740 --> 13:55.740]  A new announcement from Children's Health Defense.
[13:55.740 --> 14:01.740]  Vaccine injury ratio has now been announced thanks to a government-funded study.
[14:01.740 --> 14:06.740]  It turns out that one child is harmed for every 39 vaccines that are administered.
[14:06.740 --> 14:15.740]  You see that? That is well over 2 percent. It's 2.6 percent of children are harmed by vaccines.
[14:15.740 --> 14:22.740]  And what the FDA says it's one in a million, or the CDC, it's actually one in 39.
[14:22.740 --> 14:26.740]  And that's about the same number of children that are becoming autistic now.
[14:26.740 --> 14:30.740]  Not quite there, but it's getting close to that vaccines.
[14:30.740 --> 14:35.740]  Well, I guess, hey, I guess if they don't kill your child in a California abortion clinic,
[14:35.740 --> 14:41.740]  or an NBA, you know, abortion demonstration, then they want to kill your child with vaccines.
[14:41.740 --> 14:47.740]  And remember last week when I was on the show here talking about what they put in the vaccines?
[14:47.740 --> 14:52.740]  You know they put a board of human fetal tissue that is an entire genome sequence
[14:52.740 --> 14:56.740]  of a specific human male that was aborted back in the 1960s.
[14:56.740 --> 15:03.740]  They've been cloning that tissue, and then they genetically modify it to activate 560 cancer genes.
[15:03.740 --> 15:09.740]  That's what's injected in your babies. Cancer genes, a blueprint for cancer.
[15:09.740 --> 15:13.740]  I can do a whole show on that, but let me continue with the news.
[15:13.740 --> 15:17.740]  New York Post says that Fox News misrepresented its impeachment poll.
[15:17.740 --> 15:22.740]  Remember that poll from Fox News that claimed, I think, 51 percent supported impeachment?
[15:22.740 --> 15:29.740]  Fox News is playing the same deceptive games as CNN over sampling Democrats to try to mislead the public.
[15:29.740 --> 15:37.740]  There's a civil war inside Fox News, and there's an entire contingent of Fox News that wants to see America die.
[15:37.740 --> 15:41.740]  Bye-bye, Shep Smith. Good riddance to you.
[15:41.740 --> 15:44.740]  And I hope you're not the last one to leave Fox News.
[15:44.740 --> 15:50.740]  All the traders need to be cleaned out of Fox News professionally speaking and shown the exit.
[15:50.740 --> 15:55.740]  That would be a good day for America. Let's clean up our media. Let's clean up our world.
[15:55.740 --> 16:01.740]  Let's drain the swamp. Much more straight ahead. You're watching the Alex Jones Show here on Infowars.com.
[16:01.740 --> 16:07.740]  Mike Adams filling in. We'll be right back.
[16:32.740 --> 16:38.740]  It will then ask you to name the app. I suggest Band.Video.
[16:38.740 --> 16:44.740]  You will now have Band.Video app on your home screen, despite the fact that Tim Cook tried to stop it.
[16:44.740 --> 16:49.740]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app,
[16:49.740 --> 16:52.740]  and then tell others about it so they can get the app.
[16:52.740 --> 16:56.740]  So it's up to you whether you want to defy big tech and click the share buttons below.
[16:56.740 --> 17:02.740]  On your email, on Facebook, on Twitter, on YouTube, however you want, be sure to share Band.Video.
[17:26.740 --> 17:33.740]  Because the council on farm relations is the shadow government and they admitted the plan to transfer all power to communist China.
[17:33.740 --> 17:39.740]  And almost everyone calling me says, yeah, and they banned you because you were saying all that
[17:39.740 --> 17:43.740]  and how Silicon Valley, Google and Apple moved over there and it's incredible.
[17:43.740 --> 17:46.740]  And wow, you're vindicated. You're going to get back on the air now, aren't you?
[17:46.740 --> 17:51.740]  And no, if we don't defeat this takeover, you're all going to be taken off.
[17:51.740 --> 17:53.740]  In fact, you're all going to end up getting put in prison camps.
[17:53.740 --> 17:57.740]  They're making their move. They're coming for your guns. They're coming for your kids.
[17:57.740 --> 18:01.740]  They're coming for your right to religion. They are coming for your soul.
[18:01.740 --> 18:08.740]  Well, you know what they say. You got to lower your ideals of freedom if you want to suck on the warm teat of China.
[18:08.740 --> 18:13.740]  Happies is a tincture that you take under the tongue. You've been selling it for over a year.
[18:13.740 --> 18:21.740]  It's a private label of one of the top national sellers of herbs that's known to calm the body but not be a depressant.
[18:21.740 --> 18:26.740]  Now, despite the fact that I've never really promoted or cut an ad for it, it's in our top 10 best sellers.
[18:26.740 --> 18:31.740]  And right now, for those of you that haven't tried it, you can get it for 50% off.
[18:31.740 --> 18:35.740]  Life is stressful. Almost everything in our lives can put stress and pressure on us.
[18:35.740 --> 18:41.740]  But ashwagandha root, rhodiola root, passionflower herb, green tea leaf and licorice root
[18:41.740 --> 18:46.740]  is known to be so good for us and to smooth us out in a calm, good way.
[18:46.740 --> 18:52.740]  And Happies is available right now at infowarstore.com at 50% off and your purchase supports the broadcast.
[18:52.740 --> 18:59.740]  It is so vital. And I recommend you order another bottle to give friends and family because this stuff has really worked for myself and so many others.
[18:59.740 --> 19:08.740]  It's Happies, exclusively available at infowarslife.com. Again, secure your Happies today at infowarslife.com.
[19:08.740 --> 19:18.740]  There's a reason we were de-platformed 14 months ago and it's because infowars has been over the target with something like a 98% accuracy rate.
[19:18.740 --> 19:23.740]  We have laid out everything that's going on and folks are really paying attention now.
[19:23.740 --> 19:30.740]  That means now is the time to support the info war more than ever and we're going to take this thing over the top together.
[19:30.740 --> 19:39.740]  Everything must go super sale, ladies and gentlemen. This sale on some items on the site is the biggest sale we've ever offered.
[19:39.740 --> 19:51.740]  40% to 70% off, store-wide. Many of these are at cost or below because we're offering free shipping on every order and double-patriot points.
[19:51.740 --> 20:01.740]  Take advantage of the everything must go sale and the funds that come in allow us to fund ourselves in the next year and order new product for next year.
[20:01.740 --> 20:22.740]  At infowarstore.com, that's infowarstore.com and thank you for your support.
[20:22.740 --> 20:31.740]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[20:31.740 --> 20:37.740]  It's Mike Adams. You're listening to the Alex Jones show.
[20:37.740 --> 20:44.740]  We've got an emergency message for President Trump coming up in about 13 minutes, so don't go anywhere.
[20:44.740 --> 20:53.740]  They're very important. Some big revelations. Again, info wars has decoded what's going on behind these whistleblowers, so-called whistleblowers.
[20:53.740 --> 20:59.740]  It all traces back to one person. It's all a deep state coup against this republic.
[20:59.740 --> 21:06.740]  But we've got some important things, some words for President Trump that need to go out, that need to be heard and shared.
[21:06.740 --> 21:10.740]  That's coming up in a few minutes. We're going to hit some more headlines until then.
[21:10.740 --> 21:17.740]  By the way, Alex has his own emergency message in the segment at the end of this hour and then coming up next hour.
[21:17.740 --> 21:21.740]  We've got an interview with survival and prepping expert Bob Griswold.
[21:21.740 --> 21:28.740]  I'll be asking him about what really happens if this breaks down into a hot civil war. How do people survive that?
[21:28.740 --> 21:33.740]  What are we likely to see? Because he's seen that in other countries all around the world.
[21:33.740 --> 21:36.740]  A couple of other breaking headlines until we get to that.
[21:36.740 --> 21:42.740]  You notice, by the way, in California, that people who have solar panels can't use them during the blackouts.
[21:42.740 --> 21:50.740]  Oh, what a shocker. It's because of their grid tie systems. Solar panels don't work during blackouts when they are grid tie systems.
[21:50.740 --> 21:56.740]  And all the people out there with their Tesla electric cars are finding out that they can't charge their cars.
[21:56.740 --> 22:04.740]  One person has already been confirmed killed when his, I think it was an oxygen saturation machine that, of course, depends on the power grid.
[22:04.740 --> 22:12.740]  Stop working. And all these people who invested all this money and solar power are finding it's useless right when you need it most.
[22:12.740 --> 22:18.740]  And don't forget, too, that California took down some of the ham radio repeaters or ordered them to be taken down.
[22:18.740 --> 22:24.740]  So you can't even communicate off grid at the same time they're taking down your power.
[22:24.740 --> 22:32.740]  And this was deliberate. This is admitted. PG&E blocked the power, which in some areas will stop the water pumps from working.
[22:32.740 --> 22:39.740]  So you'll have no water in some areas. You'll have no electricity. You'll have no ham radio to communicate.
[22:39.740 --> 22:45.740]  Plus, they want to come take your guns, your ammo, and, of course, collapse your free speech.
[22:45.740 --> 22:51.740]  Is there anything that the government or the corporations of California won't take away from you?
[22:51.740 --> 22:56.740]  Maybe they'll take your land next. And it'll just be full blown California communism.
[22:56.740 --> 23:07.740]  Oh, and by the way, where did this theory come from that claims that high voltage power lines when they're hit by wind, what, spontaneously burst into flame?
[23:07.740 --> 23:14.740]  That's nonsense. The only thing I see bursting into flames spontaneously in California are Tesla electric cars.
[23:14.740 --> 23:18.740]  Those are the fire hazards driving around the roads all over California.
[23:18.740 --> 23:25.740]  And by the way, if high winds cause power lines to burst into flame, then how to wind turbines work?
[23:25.740 --> 23:29.740]  Because wind turbines are supposed to have wind, right?
[23:29.740 --> 23:33.740]  And then they export the electricity on high voltage power lines.
[23:33.740 --> 23:36.740]  Well, how come they don't burst into flame all the time?
[23:36.740 --> 23:43.740]  The answer is because PG&E is lying to you. That's the California power company. They're lying to you.
[23:43.740 --> 23:46.740]  What else is new? Of course, they're lying to you.
[23:46.740 --> 23:55.740]  Bill Gates was much closer to Jeffrey Epstein than he initially let on. This is on infowars.com. I think it's an article from Zero Hedge.
[23:55.740 --> 23:59.740]  In fact, he met Jeffrey Epstein multiple times according to reports.
[23:59.740 --> 24:10.740]  Isn't it convenient that Jeffrey Epstein disappeared, perhaps was murdered, perhaps, according to some theories, perhaps he was rescued, most likely he was murdered.
[24:10.740 --> 24:14.740]  He was killed to shut him up and shut it down.
[24:14.740 --> 24:17.740]  But Bill Gates has something to answer for.
[24:17.740 --> 24:21.740]  Another story on Zero Hedge. The central bank issues a stunning warning.
[24:21.740 --> 24:28.740]  If the entire system collapses, gold will be needed to start over. This is the Dutch central bank.
[24:28.740 --> 24:35.740]  Shocked many with its claim that gold will be needed to start over after a collapse.
[24:35.740 --> 24:42.740]  I find it interesting that they didn't say Bitcoin will be needed to start over.
[24:42.740 --> 24:50.740]  Bitcoin has its uses, especially if you're in a place like China or Venezuela, you need to move money out of the country, out of tyranny.
[24:50.740 --> 24:58.740]  Cryptocurrency has many uses, but if you have a collapse event, you better have some gold. Gold and silver, by the way.
[24:58.740 --> 25:02.740]  That's how things are actually going to get back on track. Here's another story.
[25:02.740 --> 25:14.740]  This is from my site, Natural News. U.S. China Lake Military Weapons Research Facility, likely targeted with exotic tectonic weaponry that caused billions in damage.
[25:14.740 --> 25:21.740]  We're getting some interesting information about this, perhaps exotic weapons that collapsed the China Lake facility.
[25:21.740 --> 25:30.740]  There was an earthquake with an epicenter directly beneath that facility, which is a top secret research institution, you could say.
[25:30.740 --> 25:36.740]  Well, military organization. You think we're not being targeted by exotic weapons?
[25:36.740 --> 25:46.740]  Do you remember the Russian burrowing drone submarines with nuclear warheads that they could burrow into the coastal waters,
[25:46.740 --> 25:50.740]  just off, for example, the east coasts of the United States?
[25:50.740 --> 25:58.740]  And then if they were to detonate in a certain sequence with certain timing, they could unleash a massive tidal wave of radioactive sea water
[25:58.740 --> 26:03.740]  flooding into the coastal regions of the United States. That's real.
[26:03.740 --> 26:09.740]  We reported it here on Infowars.com, in fact, ahead of the entire media, the mainstream media. We reported it.
[26:09.740 --> 26:17.740]  And once again, we're getting hints about exotic weapons being used to take out the United States military.
[26:17.740 --> 26:26.740]  Don't think, by the way, that that doesn't have everything to do with Trump calling on China to be removed from the Long Beach port.
[26:26.740 --> 26:34.740]  There's something going on in California, something beyond just wind, something ultra fishy going on with California taking down the ham radios
[26:34.740 --> 26:40.740]  and taking down the power grid and trying to take away your guns desperately at the same time.
[26:40.740 --> 26:47.740]  And calling for, well, really professing their support for communist China. There's something big going down.
[26:47.740 --> 26:58.740]  I'm going to get to the postglacial sea level rise graphics. Cue that up shortly, guys. But first, let me just mention Infowarsstore.com has the emergency sale.
[26:58.740 --> 27:06.740]  Everything must go 40 to 70% off dozens of different products. Your financial support for this network is absolutely crucial.
[27:06.740 --> 27:12.740]  Without your support, we cannot function. I wouldn't even, I wouldn't be here.
[27:12.740 --> 27:17.740]  There would be no infrastructure for me to step into this chair and bring you this news on this Sunday.
[27:17.740 --> 27:24.740]  And this is so crucial. That's why I'm here today, because I believe in freedom of speech. I believe in liberty.
[27:24.740 --> 27:28.740]  I believe in protecting our constitutional republic. I believe in protecting our president.
[27:28.740 --> 27:32.740]  If you share those beliefs, your support is absolutely crucial.
[27:32.740 --> 27:45.740]  Dozens of products on sale, some of them up to 70% off, others in a 40, 50, 60% off. That's Infowarsstore.com. Your support is absolutely needed in order to keep everything rolling here.
[27:45.740 --> 27:57.740]  Now, we want to go to part of a, part of a clip from Randy Quaid about Wake Up America. Let's go to that clip for as long as we can until we go to break.
[27:57.740 --> 28:04.740]  Here's a Randy Quaid coming up.
[28:04.740 --> 28:16.740]  Is this the way America goes? From George Washington to George Soros? From an ocean swipe with foam to a socialist swamp?
[28:16.740 --> 28:38.740]  Is this the way America goes? Is this really our future? Wake up, you sleeping giant. The Lilliputians have tied you down with their fantastic dreams of icebergs melting into dinosaurs and train tracks stretching across the Pacific waters.
[28:38.740 --> 28:54.740]  Trump trumpets Reveley, and it's time to heed the call. The framers have been framed. The people disarmed. Conservative voices are silenced in the schools by anarchists left unmasked.
[28:54.740 --> 28:59.740]  Merry Christmas is greeted cheerlessly, even condemned.
[28:59.740 --> 29:08.740]  Is this how America goes to a nation of godless fanatics?
[29:29.740 --> 29:55.740]  Hey, I told you, don't go to ban that video. I'm watching you. Our system has been adopted worldwide. Soon, we will kill you if you don't do what we say.
[29:55.740 --> 30:08.740]  Oh, Mark Zuckerberg and others angry at you. Do what CNN says and do not visit ban that video or I have to hurt you.
[30:25.740 --> 30:52.740]  Globalism is alive and well at Band.Video, and now we've added a lot of new functions and a lot of new hosts and contributors to Band.Video, so please bookmark it and check it daily and even more importantly, tell folks about Band.Video and realize you can take it with you anywhere you want on your quote smartphone to put our free app on your device in defiance of Big Tech, whether it's Apple or Droid, you simply click the share button on your phone and then add to home screen and then there's nothing the scumbags can do.
[30:52.740 --> 31:08.740]  The power of America, the power of freedom, the power to build a better world and stand in the face of the censors of the tyrants is alive and stronger than ever at Band.Video, but it's up to you to unleash its full potential, Band.Video.
[31:08.740 --> 31:25.740]  As the world awakens of the fact that Info Wars was right, that Alex Jones was right, I could sit here and do a victory lap, but folks, we don't have time. I don't want to do a victory lap. I'm not happy that I was right about all this. No, I don't want to be a slave of the globalist and live like a chai-com slave.
[31:25.740 --> 31:31.740]  I want to see the poor Chinese people freed. I don't want to be brought down to their level. I want to see them brought up to our level.
[31:31.740 --> 31:41.740]  Ladies and gentlemen, now is the time to be involved. Now is the time to be spreading the word and now is the time to financially support Info Wars and we make it so easy. It's such a 360 win.
[31:41.740 --> 31:49.740]  We're running a gigantic special. In some ways, it's the biggest ever, certainly a whole bunch of the items. 40 to 70% off, store-wide free shipping, double-patria points.
[31:49.740 --> 32:04.740]  It is the everything must go special and I'm just going to sell out of all the products we've got. Some of these are to cost. We're bringing in some money on some of the others and it's all vitally needed and now is the time to fill up our war chest to go in to this key year of 2020.
[32:04.740 --> 32:19.740]  So please support us at M4WarsTour.com and take advantage of these great products.
[32:34.740 --> 32:47.740]  It helps reduce healthy blood cells, essential for proper nervous system functioning goes on and on. B12 deficiency is a serious problem that could cause anemia, fatigue, weakness, constipation, weight loss, depression or memory loss, asthma, vision problems and low sperm count.
[32:47.740 --> 32:56.740]  Bottom line folks, you need Ultra 12. It helps fund the Info War. So it's a 360 win and it's 50% off for a limited time at InfoWarsTour.com.
[32:56.740 --> 33:11.740]  Again, we can only run the special for the next two weeks or so while supplies last. Ultra 12, twice as powerful, cap the price, 50% off right now at InfoWarsLive.com.
[33:26.740 --> 33:38.740]  Defending the Republic from enemies, foreign and domestic. It's Alex Jones.
[33:38.740 --> 33:50.740]  My God, I'm sitting here today filling in for Alex Jones. Thank you for joining us on this Sunday broadcast. We have an emergency message for President Trump coming up in just a minute.
[33:50.740 --> 34:02.740]  I want to encourage you, until that moment here, there's a lot that we have to share. I need to encourage you, support the alternative platforms where free speech is still respected.
[34:02.740 --> 34:14.740]  Here at InfoWars.com, they recently launched Band.Video. And Band.Video, more and more people will be joining those channels, including myself. I'll have a channel there soon.
[34:14.740 --> 34:28.740]  Band.Video is not as banned as InfoWars.com yet. But I've got a platform too, Brighteon.com, which Alex supports. In fact, InfoWars is the largest channel on Brighteon.com.
[34:28.740 --> 34:41.740]  Brighteon is open to everybody right now, whereas Band.Video is invitation only to be opened up more and more over time. But both of these platforms are very important for the 2020 election.
[34:41.740 --> 34:51.740]  Because Facebook will ban your videos. YouTube, obviously, will ban your videos. Google will ban your website. You'll be banned everywhere, except these independent media platforms.
[34:51.740 --> 35:02.740]  So support them. And supportinfowars.com. Supportinfowarsstore.com. And use these platforms if you want to have any speech remaining. Understand.
[35:02.740 --> 35:12.740]  Just like Randy Quaid said right before that break. Randy Quaid, you know, why are you asleep? He's talking to the people who probably maybe aren't watching this show.
