whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:01:52.240 --> 00:01:59.720]   Thank you for listening to GCN. Visit GCNlive.com today.
[00:01:59.720 --> 00:02:11.920]   Big Brother, mainstream media, government cover-ups. You want answers? Well so does
[00:02:11.920 --> 00:02:19.600]   he. He's Alex Jones on the GCN Radio Network and now live from Austin, Texas
[00:02:19.600 --> 00:02:22.880]   Alex Jones.
[00:02:22.880 --> 00:02:41.760]   2014 here we come. It is Tuesday the 31st day of December 2013 and I do not feel
[00:02:41.760 --> 00:02:46.560]   up to the job. I'll be honest with all of you out there. As soon as I got off air
[00:02:46.560 --> 00:02:51.480]   yesterday I just thought about all the countless issues that I didn't discuss
[00:02:51.480 --> 00:02:57.160]   that were so important what we've seen in 2013 and now going into 2014 why it
[00:02:57.160 --> 00:03:04.680]   is such an incredibly critical year across the board.
[00:03:04.680 --> 00:03:09.880]   And it really is the year that the global awakening has begun and when
[00:03:09.880 --> 00:03:14.920]   establishment propaganda is failing. You know Melissa Harris Perry that's one of
[00:03:14.920 --> 00:03:18.960]   the top stories in the country apologizes for attacking Mitt Romney's
[00:03:18.960 --> 00:03:25.660]   adopted black grandson and that's because she made vicious remarks because
[00:03:25.660 --> 00:03:33.360]   she is a racialist, racial divider, race pimp, monster pig. This is a woman who
[00:03:33.360 --> 00:03:39.880]   says your children do not belong to you. In promos officially put out by MSNBC
[00:03:39.880 --> 00:03:47.320]   this is an absolute fascist dirtbag posing as a liberal and that's what
[00:03:47.320 --> 00:03:51.520]   these people are are just packs of dividers and manipulators of the
[00:03:51.520 --> 00:03:56.840]   establishment and everything that comes out of her filthy mouth is absolutely
[00:03:56.840 --> 00:04:02.400]   psych warfare approved above the Obama administration directly out of the psych
[00:04:02.400 --> 00:04:08.160]   warfare operations of Ford, Carnegie and other major foundations. That's who
[00:04:08.160 --> 00:04:12.440]   really runs this country that's where Obama came from and you get to see with
[00:04:12.440 --> 00:04:18.160]   these people media matters and all of them you get to see who these people
[00:04:18.160 --> 00:04:22.680]   really are. When they see people with Bibles and guns when they see good
[00:04:22.680 --> 00:04:28.960]   wholesome families they hate our guts folks these are deviant mental patients
[00:04:28.960 --> 00:04:33.200]   and you've really got to just come down and understand that that they aren't
[00:04:33.200 --> 00:04:37.960]   going to let us live the way we live they're going to program us and run our
[00:04:37.960 --> 00:04:41.800]   lives that's what they lust after is running our lives. I don't want to run
[00:04:41.800 --> 00:04:46.760]   your life you don't want to run my life we're normal the problem is these people
[00:04:46.760 --> 00:04:52.240]   do want to run our lives and they're not liberals. I want 2014 to be the year
[00:04:52.240 --> 00:04:55.280]   where we stop calling them liberals or even progressives yeah they progress
[00:04:55.280 --> 00:05:00.920]   like cancer. Their reforms are like throwing somebody into a woodchipper oh
[00:05:00.920 --> 00:05:05.600]   you're reformed but not in a good way. These people are not liberals they are
[00:05:05.600 --> 00:05:11.440]   ultra authoritarians ultra authoritarians ultra authoritarians and I
[00:05:11.440 --> 00:05:16.480]   am sick of them I am sick and tired of them they are a menace they are a danger
[00:05:16.480 --> 00:05:22.280]   I can't enjoy a football game I can't go to a movie I cannot unplug from this
[00:05:22.280 --> 00:05:26.440]   because I know this menacing threat is always growing and I don't like having
[00:05:26.440 --> 00:05:30.320]   to focus on these people I don't like them having to invade my mind and your
[00:05:30.320 --> 00:05:34.720]   beautiful minds out there but we've got to focus on them to get them out of the
[00:05:34.720 --> 00:05:39.760]   way and not just sit there and halfway fight them and mince words and call them
[00:05:39.760 --> 00:05:44.200]   dumb liberals they're not dumb liberals they've conquered America they're
[00:05:44.200 --> 00:05:47.800]   teaching five-year-olds how to masturbate in public schools they're
[00:05:47.800 --> 00:05:51.080]   having kids kicked out of school or arrested for nerf guns in their own
[00:05:51.080 --> 00:05:55.560]   yards they're destroying our language our culture everything good they're
[00:05:55.560 --> 00:05:59.960]   overturning the Magna Carta the Renaissance of the Enlightenment they
[00:05:59.960 --> 00:06:06.840]   are the opposite of liberals they are authoritarian criminals that's what they
[00:06:06.840 --> 00:06:12.480]   are authoritarian criminals that pose as these liberals who really are there just
[00:06:12.480 --> 00:06:16.640]   dividing everyone and that's why nobody buys their duck dynasty stuff nobody
[00:06:16.640 --> 00:06:21.960]   buys them saying how dare the Romneys adopt a black child yeah I'd be better I
[00:06:21.960 --> 00:06:25.640]   mean I've talked to so many so-called leftists who say living black ones on
[00:06:25.640 --> 00:06:30.240]   air well you know there are too many black people and we need to abort them
[00:06:30.240 --> 00:06:33.720]   and I'm just like no we need to build everybody up and not destroy society and
[00:06:33.720 --> 00:06:38.720]   we need to not abort 52% of black people before they're born and Planned
[00:06:38.720 --> 00:06:42.080]   Parenthood was set up to eradicate blacks and they just go shut up shut up
[00:06:42.080 --> 00:06:47.360]   whitey you see because for those people the sacrament is being in charge and
[00:06:47.360 --> 00:06:52.080]   race baiting and literally killing as many black babies as possible I'm
[00:06:52.080 --> 00:06:55.000]   telling you folks that's what they want that's what they do that's why they
[00:06:55.000 --> 00:06:58.680]   created these people well they're right back
[00:06:58.680 --> 00:07:04.800]   the facts are in the studies are legion sodium fluoride and other toxic members
[00:07:04.800 --> 00:07:09.080]   of the fluoride family are devastating the health and cognitive ability of the
[00:07:09.080 --> 00:07:14.240]   American people so why are the social engineers adding it to the water simple
[00:07:14.240 --> 00:07:19.240]   dumb down the host population that the parasitic technocracy is feeding on we
[00:07:19.240 --> 00:07:23.120]   may not have been able to get fluoride out of the water supply yet but we can
[00:07:23.120 --> 00:07:26.920]   help to get it out of our bodies I am extremely excited to announce the
[00:07:26.920 --> 00:07:31.920]   exclusive InfoWars life fluoride shield formulation using six of the best
[00:07:31.920 --> 00:07:36.720]   documented ingredients from around the world to help the body remove not just
[00:07:36.720 --> 00:07:40.840]   toxic fluoride residues from the body but a whole host of toxic substances
[00:07:40.840 --> 00:07:44.960]   let's take a stand against the globalist by blocking their poisons with fluoride
[00:07:44.960 --> 00:07:49.720]   shield I use fluoride shield every day secure your fluoride shield and other
[00:07:49.720 --> 00:07:54.400]   pioneering formulations at InfoWarsLife.com today let's start cleansing
[00:07:54.400 --> 00:07:58.720]   our bodies now and support the InfoWars at the same time that's InfoWarsLife.com
[00:07:58.720 --> 00:08:02.920]   Alex Jones here to tell you about how you can help spread liberty
[00:08:02.920 --> 00:08:07.960]   worldwide also enjoying what I have found to be the best tasting 100% organic
[00:08:07.960 --> 00:08:12.040]   coffee on the planet for more than a decade my favorite coffee has come from
[00:08:12.040 --> 00:08:15.400]   the high mountains of southern Mexico where the Chiapas farmers grow their
[00:08:15.400 --> 00:08:19.760]   unique shade grown arabica beans we have now managed to secure these sought-after
[00:08:19.760 --> 00:08:25.120]   beans in a highly customized blend discover and try a bag of the Patriot
[00:08:25.120 --> 00:08:30.200]   blend 100% organic coffee at InfoWarsLife.com this coffee gives you a
[00:08:30.200 --> 00:08:34.920]   long smooth pick-me-up for hours without the headaches and heartburn that so many
[00:08:34.920 --> 00:08:38.520]   other coffees give me personally hands down this is my favorite coffee and it's
[00:08:38.520 --> 00:08:43.240]   taken us years to secure connections directly to the Chiapas Mexican farmers
[00:08:43.240 --> 00:08:47.200]   drop by the site today order a bag or two and I don't think you're going to be
[00:08:47.200 --> 00:08:51.080]   disappointed available in original or with our immune support infusion blend
[00:08:51.080 --> 00:08:55.800]   you will be supporting a free press all the while enjoying a truly great tasting
[00:08:55.800 --> 00:09:01.120]   cup of my favorite coffee available at InfoWarsLife.com in the last 50 years
[00:09:01.120 --> 00:09:06.040]   iodine has been phased out of our staple foods and replaced with the halogen
[00:09:06.040 --> 00:09:11.720]   bromine a practice now banned in nations around the world guess what else is in
[00:09:11.720 --> 00:09:16.760]   halogen family fluoride ladies and gentlemen Alex Jones here in 1924 the
[00:09:16.760 --> 00:09:21.080]   federal government did the right thing and encouraged salt producers to add
[00:09:21.080 --> 00:09:26.360]   iodine it's the good halogen on the periodic table and the results are on
[00:09:26.360 --> 00:09:31.880]   record reports documented a 15-point IQ increase in areas that had previously
[00:09:31.880 --> 00:09:37.520]   been deficient in iodine bottom line iodine is important unbound clean in a
[00:09:37.520 --> 00:09:42.480]   glycerin base nascent iodine was the answer for myself and my family you will
[00:09:42.480 --> 00:09:47.360]   find survival shield nascent iodine exclusively at InfoWarsLife.com
[00:09:47.360 --> 00:09:53.080]   InfoWarsLife survival shield nascent iodine isn't just for emergencies I take
[00:09:53.080 --> 00:10:01.520]   it every day that's InfoWarsLife.com or call toll-free 888-253-3139
[00:10:03.280 --> 00:10:19.360]   you are listening to an InfoWars.com frontline report it's Alex Jones
[00:10:23.600 --> 00:10:33.680]   and it is December 31st 2013 the final transmission of my radio show of this
[00:10:33.680 --> 00:10:39.740]   incredible year where we've seen the heights of human awakening and dynamic
[00:10:39.740 --> 00:10:46.400]   human spirit and the deep depths of open globalist wickedness expanding worldwide
[00:10:46.400 --> 00:10:51.040]   for every action there is an equal and opposite reaction and the battle is
[00:10:51.040 --> 00:10:58.920]   joined as we launch into 2014 again thank you so much for joining us today
[00:10:58.920 --> 00:11:04.920]   huge amounts of vital news coming up and then we have Steve Quayle always one of
[00:11:04.920 --> 00:11:08.360]   the most popular guests on this show very hard to get on the air Steve Quayle
[00:11:08.360 --> 00:11:12.960]   of Steve Quayle.com will be joining us to talk about world events
[00:11:12.960 --> 00:11:16.800]   missing nuclear weapons you name and he's got a lot of really interesting
[00:11:16.800 --> 00:11:22.160]   information to talk about with us the preparations for riots civil war that is
[00:11:22.160 --> 00:11:26.720]   now even mainstream news he was he was the guy on this show four years ago just
[00:11:26.720 --> 00:11:30.680]   four years ago who said they're going around getting GPS coordinates of all
[00:11:30.680 --> 00:11:36.120]   your front doors for drones and blimps and even I said that's a little hard to
[00:11:36.120 --> 00:11:40.640]   believe he said well I was told that by Special Forces in Colorado face to face
[00:11:40.640 --> 00:11:46.720]   and then about two years later it came out to be true I mean even I couldn't
[00:11:46.720 --> 00:11:50.000]   believe that then and now that's kind of passe like oh of course the drones are
[00:11:50.000 --> 00:11:54.520]   in the air and targeting everyone by name and by their home and by their IP
[00:11:54.520 --> 00:11:59.880]   address and by their cell phone it's just a total rollout so it's always
[00:11:59.880 --> 00:12:03.480]   pretty interesting the stuff he has to say and but it's regardless it's very
[00:12:03.480 --> 00:12:08.240]   thought-provoking so Steve Quayle will join us for an hour maybe longer into
[00:12:08.240 --> 00:12:12.920]   the third hour if he can do it it's hard to do just 45 minutes that's what you
[00:12:12.920 --> 00:12:18.200]   have a very time with somebody like Steve Quayle he can talk for hours on so
[00:12:18.200 --> 00:12:25.160]   many amazing subjects but that's coming up Steve Quayle where to begin there's
[00:12:25.160 --> 00:12:30.120]   so much to talk about we're gonna get into MSNBC host Melissa Harris Perry
[00:12:30.120 --> 00:12:35.080]   apologizes for attack on Mitt Romney's adopted black grandson and really
[00:12:35.080 --> 00:12:38.160]   another disgusting
[00:12:38.200 --> 00:12:45.600]   view into the mind of these race pimps these racialists who are using race to
[00:12:45.600 --> 00:12:49.160]   divide and conquer as they enslave all of us and destroy our Bill of Rights and
[00:12:49.160 --> 00:12:55.120]   Constitution and only a tiny fraction of 1% of the globalist are then basically
[00:12:55.120 --> 00:13:01.640]   above the law and are exempt
[00:13:01.640 --> 00:13:06.400]   and they have these communist black grips on record run around battling I
[00:13:06.400 --> 00:13:09.640]   got you a whole report on this I've done this before but we should get the black
[00:13:09.640 --> 00:13:16.440]   genocide report filmmaker and author on and pastor who's done the research and
[00:13:16.440 --> 00:13:20.680]   I've been on the show we should get him back on to talk about this because he's
[00:13:20.680 --> 00:13:25.000]   dealt with these black leaders in depth in Atlanta and other areas that he can
[00:13:25.000 --> 00:13:30.800]   second what I've heard and seen face to face when I've worked at local media
[00:13:30.800 --> 00:13:34.960]   outlets for years and then started out on access television which was in the
[00:13:34.960 --> 00:13:39.440]   black area of Austin in the worst ghetto that's where they do a lot of city
[00:13:39.440 --> 00:13:43.920]   projects to build it up and I got a chance to run into the city organizers
[00:13:43.920 --> 00:13:48.960]   and the different black groups and it was incredible it was always the same
[00:13:48.960 --> 00:13:52.760]   standard statement I would get when I was doing a show against abortion they'd
[00:13:52.760 --> 00:13:57.520]   say who's gonna take all these black babies nobody wants them stupid black
[00:13:57.520 --> 00:14:00.840]   babies and blah blah blah and I'd be like well we need to uplift the community not
[00:14:00.840 --> 00:14:05.160]   abort all the black people and you know how are you claiming you care about
[00:14:05.160 --> 00:14:12.320]   black people but you're you're just literally foaming at the mouth getting
[00:14:12.320 --> 00:14:17.520]   saliva dripping from the edge of your mouth literally talking about killing
[00:14:17.520 --> 00:14:21.720]   black babies and the truth is the the so-called liberal organizations going
[00:14:21.720 --> 00:14:24.280]   back about a hundred years ago under Margaret Sanger the Rockefeller
[00:14:24.280 --> 00:14:28.320]   Brothers Foundation and these documents are all public you can just type in
[00:14:28.320 --> 00:14:32.480]   Rockefeller Foundation Margaret Sanger I think it was the Colgate Foundation
[00:14:32.480 --> 00:14:36.120]   released a bunch of them about three decades ago I know I've sent off for the
[00:14:36.120 --> 00:14:40.480]   actual documents not just reports of it in books and actually got copies of it
[00:14:40.480 --> 00:14:46.800]   and covered it in my film Endgame and they say in there it's Margaret Sanger
[00:14:46.800 --> 00:14:50.000]   riding back and forth to the Rockefellers and others she goes yes our
[00:14:50.000 --> 00:14:52.880]   pilot programs worked very well here in New York if I just get a few million
[00:14:52.880 --> 00:14:58.240]   more dollars I which was hundreds of millions in today's dollars I can roll
[00:14:58.240 --> 00:15:05.200]   this out nationwide the key is we hire the black preachers and then we put it
[00:15:05.200 --> 00:15:09.240]   out as if it is a uplifting program for blacks but these have to be people that
[00:15:09.240 --> 00:15:13.000]   are basically in league with us
[00:15:13.000 --> 00:15:24.040]   and then we will be able to get rid of all these weeds before they're even born
[00:15:24.040 --> 00:15:28.040]   and so that's why you get around a black community organizer from the
[00:15:28.040 --> 00:15:31.320]   Democratic Party I mean you're having dinner with them or you're in a hallway
[00:15:31.320 --> 00:15:34.920]   with them they'll turn right there and go you're not gonna stop nothing we're
[00:15:34.920 --> 00:15:38.200]   gonna get rid of these and they'll say n-word to you and you're like whoa
[00:15:38.200 --> 00:15:43.760]   they're like and I'm telling you that's what this is all about because they were
[00:15:43.760 --> 00:15:47.720]   cadres were created a hundred years ago they run every major city and they'll
[00:15:47.720 --> 00:15:51.440]   sit up there and we're gonna get whitey and we're gonna get the police and they'll
[00:15:51.440 --> 00:15:55.560]   race race race which then actually creates more animism from the other side
[00:15:55.560 --> 00:16:00.160]   to keep it going just like they've caught Hal Turner I told you long
[00:16:00.160 --> 00:16:04.080]   before he got caught was an FBI asset the big white supremacist leader always
[00:16:04.080 --> 00:16:08.760]   attacking me literally every time he had a show just like the other Hal Turner
[00:16:08.760 --> 00:16:12.600]   2.0s that are out there today that all they do stir up trouble and say I'm an
[00:16:12.600 --> 00:16:17.000]   agent and all this stuff you know it's come out who they work for and more will
[00:16:17.000 --> 00:16:21.420]   come out because this is their agenda so they're there they're creating the white
[00:16:21.420 --> 00:16:26.440]   supremacist groups and then they're over there creating these these black groups
[00:16:26.440 --> 00:16:32.200]   that literally sit on top of the black people in in every major city I mean
[00:16:32.200 --> 00:16:36.640]   it's the majority of the black leaders are absolute psych warfare technicians
[00:16:36.640 --> 00:16:42.200]   they hate black people they prey on black people they live in the mansion in
[00:16:42.200 --> 00:16:45.080]   the white neighborhood they'll have a house in the black neighborhood a small
[00:16:45.080 --> 00:16:48.400]   house and they literally go around keeping everybody in line and they're
[00:16:48.400 --> 00:16:51.700]   like the royalty the cops leave them alone the whole system leaves them alone
[00:16:51.700 --> 00:16:56.120]   and they are literally the people that call black folks Uncle Tom's that want
[00:16:56.120 --> 00:17:00.160]   to be free market successful who want to not be involved in a bunch of race
[00:17:00.160 --> 00:17:08.080]   baiting they're actually the Uncle Tom's literally literally ladies and gentlemen
[00:17:08.080 --> 00:17:17.320]   they are absolutely 110% dedicated to keeping black people down and you you
[00:17:17.320 --> 00:17:23.320]   have seen what they've done since their great society in the 60s blacks had a
[00:17:23.320 --> 00:17:31.320]   lower illegitimacy rate than whites the numbers are less than 5% before welfare
[00:17:31.320 --> 00:17:37.040]   and and all this stuff got phased in the 40s 50s 60s 70s now blacks have 92%
[00:17:37.040 --> 00:17:42.840]   illegitimacy highest crime rate in the country the lowest life expectancy and
[00:17:42.840 --> 00:17:47.120]   they weaponize the culture with all the hip-hop and the gangster garbage funded
[00:17:47.120 --> 00:17:50.880]   I've talked to high-level people that were at MTV in the 90s and they were
[00:17:50.880 --> 00:17:54.240]   told we're putting this out it's weaponized and look at the blacks all
[00:17:54.240 --> 00:17:58.160]   killing each other and then the whole that sick cultures promoted everybody
[00:17:58.160 --> 00:18:03.460]   else and it spread to Russia Japan the sick thug culture because the American
[00:18:03.460 --> 00:18:10.160]   CIA psych warfare was behind it and how to push it it is literally a bullet to
[00:18:10.160 --> 00:18:15.760]   the head it has destroyed black people and we see somebody like Mitt Romney who
[00:18:15.760 --> 00:18:19.400]   does have an incredibly healthy happy successful family we put that image
[00:18:19.400 --> 00:18:23.360]   back up of them you say what you want about them their fruits have been very
[00:18:23.360 --> 00:18:27.720]   good for their family and I don't I don't think Mitt Romney's a good guy at
[00:18:27.720 --> 00:18:32.160]   the end of the day he's a globalist but he wasn't wicked enough and anti-human
[00:18:32.160 --> 00:18:37.640]   enough to be put in as El Presidente and so the point is is that she sees him
[00:18:37.640 --> 00:18:40.960]   with that black grandchild right in the middle of their family and that sends
[00:18:40.960 --> 00:18:44.960]   them into a kicking fitting rage that kid was supposed to have its brain
[00:18:44.960 --> 00:18:48.640]   sucked out in a partial birth abortion that child was supposed to be chopped up
[00:18:48.640 --> 00:18:55.680]   before it ever left mama's womb and they are hopping mad that they couldn't
[00:18:55.680 --> 00:19:00.680]   dismember that child I'm telling you right now because let me tell you
[00:19:00.680 --> 00:19:04.960]   something chopping up black babies is the apple of their eye I don't ever hear
[00:19:04.960 --> 00:19:08.800]   Al Sharpton talking about New York City where they take little black kids away
[00:19:08.800 --> 00:19:15.200]   from their parents and test pesticides and drugs on them till they die and even
[00:19:15.200 --> 00:19:19.200]   when the whistleblowers go public the CPS goes public delivering little seven
[00:19:19.200 --> 00:19:24.200]   eight-year-old kids to medical facilities and they tell the moms we're
[00:19:24.200 --> 00:19:28.120]   gonna take your two-year-old I know how women's psychology works we're gonna
[00:19:28.120 --> 00:19:33.160]   take your two-year-old if you don't give us and shine consents for the seven-year-
[00:19:33.160 --> 00:19:37.120]   old and then they take them and they test pesticides and the one case they
[00:19:37.120 --> 00:19:41.000]   reported on of thousands and kill them no no you see you got to have all this
[00:19:41.000 --> 00:19:43.960]   race bait and the whites are all out to get you in the and the white next door
[00:19:43.960 --> 00:19:47.160]   to you hate you and and and and and whites are you know the enemy and
[00:19:47.160 --> 00:19:50.880]   they're the devil and on and on and on and on so that you never become friends
[00:19:50.880 --> 00:19:55.280]   with your neighbor who's white so you're all paranoid and only believe the people
[00:19:55.280 --> 00:19:59.120]   that lead you by the hand Margaret Sanger's great great spiritual
[00:19:59.120 --> 00:20:05.520]   granddaughter Melissa Harris Perry and we're gonna play the clip coming up but
[00:20:05.520 --> 00:20:10.160]   the good news is in 2013 people don't buy the Duck Dynasty division anymore
[00:20:10.160 --> 00:20:16.320]   they don't buy MSNBC and she's one of their main quarterbacks authorized to go
[00:20:16.320 --> 00:20:22.760]   out and do what she did to come out and literally with hate in her eyes
[00:20:22.760 --> 00:20:29.040]   absolutely with just an enemy of humanity coming together an enemy I mean
[00:20:29.040 --> 00:20:33.160]   look at all these so-called liberals these authoritarian scumbags who wear
[00:20:33.160 --> 00:20:37.120]   the shirts I had an abortion how great it was and how they enjoy it and I talked
[00:20:37.120 --> 00:20:42.080]   to I was just talking to some guys last night about a girl they knew who later
[00:20:42.080 --> 00:20:46.360]   said I enjoy abortions they enjoy I mean these are human
[00:20:46.360 --> 00:20:49.480]   sacrificers I'm not saying the average person that gets one is they just
[00:20:49.480 --> 00:20:52.720]   believe it's a procedure they believe the lies you know I'm not even judging
[00:20:52.720 --> 00:20:57.000]   people here if your heart was right the point is there are people who know what
[00:20:57.000 --> 00:21:02.560]   it is and it is a sacrament of the Democratic Party literal of course it is
[00:21:02.560 --> 00:21:07.160]   it's there's power in killing your children that's a commitment to evil
[00:21:07.160 --> 00:21:11.880]   that's a commitment to darkness that's that's serious business ladies and
[00:21:11.880 --> 00:21:15.720]   gentlemen and that will haunt us for generations that's why America is coming
[00:21:15.720 --> 00:21:20.160]   under judgment you don't believe in God a country that's so cold-blooded will
[00:21:20.160 --> 00:21:28.200]   kill 52 plus million people since Roe v. Wade 1973 a country that will devalue
[00:21:28.200 --> 00:21:31.520]   humanity well of course we're gonna euthanize the old people and of course
[00:21:31.520 --> 00:21:35.760]   their social engineering us and of course they're gonna take away medical
[00:21:35.760 --> 00:21:39.120]   care for the average person this is a cold-blooded system where they teach all
[00:21:39.120 --> 00:21:44.600]   these trendies all these authoritarian vampire people that that they're part of
[00:21:44.600 --> 00:21:49.680]   a winning crew when they're really a bunch of criminal locusts so that's some
[00:21:49.680 --> 00:21:52.560]   of the news and people are lining up to register their guns in Connecticut
[00:21:52.560 --> 00:21:57.520]   we've got more stage terror in Russia it's a powerful transmission coming up
[00:21:57.520 --> 00:22:04.120]   straight ahead the facts are in the studies are legion sodium fluoride and
[00:22:04.120 --> 00:22:08.160]   other toxic members of the fluoride family are devastating the health and
[00:22:08.160 --> 00:22:12.400]   cognitive ability of the American people so why are the social engineers
[00:22:12.400 --> 00:22:17.600]   adding it to the water simple dumb down the host population that the parasitic
[00:22:17.600 --> 00:22:21.640]   technocracy is feeding on we may not have been able to get fluoride out of
[00:22:21.640 --> 00:22:25.920]   the water supply yet but we can help to get it out of our bodies I am extremely
[00:22:25.920 --> 00:22:30.640]   excited to announce the exclusive InfoWarsLife fluoride shield formulation
[00:22:30.640 --> 00:22:35.400]   using six of the best documented ingredients from around the world to
[00:22:35.400 --> 00:22:39.320]   help the body remove not just toxic fluoride residues from the body but a
[00:22:39.320 --> 00:22:43.640]   whole host of toxic substances let's take a stand against the globalist by
[00:22:43.640 --> 00:22:47.880]   blocking their poisons with fluoride shield I use fluoride shield every day
[00:22:47.880 --> 00:22:52.640]   secure your fluoride shield and other pioneering formulations at InfoWarsLife
[00:22:52.640 --> 00:22:57.360]   com today let's start cleansing our bodies now and support the info or at
[00:22:57.360 --> 00:23:04.480]   the same time that's InfoWarsLife.com time and time again you need to come
[00:23:04.480 --> 00:23:10.320]   here and help us we need assistance please those we should be able to depend
[00:23:10.320 --> 00:23:15.240]   on let us down federal and state and local officials saying help is on the
[00:23:15.240 --> 00:23:19.640]   way while the folks here in Bell Harbor say show me don't depend on the
[00:23:19.640 --> 00:23:24.040]   government to save you take action now so that you're prepared for the next
[00:23:24.040 --> 00:23:31.000]   disaster with my Patriot supply calm get the best prices on storable food non GMO
[00:23:31.000 --> 00:23:35.840]   seeds water filtration devices home canning equipment survival and
[00:23:35.840 --> 00:23:43.880]   self-reliance books and more at my Patriot supply calm call 866 229 0 9 2 7
[00:23:43.880 --> 00:23:50.280]   we are hurting down here and I need help immediately before it's time to survive
[00:23:50.280 --> 00:23:59.960]   it's time to prepare my Patriot supply calm my Patriot supply calm
[00:23:59.960 --> 00:24:06.280]   you better watch out you sure better cry release gun up out and I'm telling you
[00:24:06.280 --> 00:24:15.560]   why is your cell phone being used to build a profile on you give the gift of
[00:24:15.560 --> 00:24:19.480]   privacy and block unwanted cell phone spying with the privacy case from
[00:24:19.480 --> 00:24:22.880]   privacy case calm
[00:24:22.880 --> 00:24:34.680]   the problem is real and so is the solution go to privacy case calm because
[00:24:36.120 --> 00:24:42.800]   they listen when you're awake they can tell us all you've been bad when you've
[00:24:42.800 --> 00:24:49.120]   been good so get yourself a privacy case now through December 31st buy yourself
[00:24:49.120 --> 00:24:54.240]   an American-made privacy case and give one for only 79 95 each go to privacy
[00:24:54.240 --> 00:25:01.120]   case calm today the privacy case because there is a case for privacy new year new
[00:25:01.120 --> 00:25:05.160]   website new ways to protect your health and privacy to thank you for our recent
[00:25:05.160 --> 00:25:09.160]   success block it pocket comm is extending our holiday offers see these
[00:25:09.160 --> 00:25:13.600]   new get one free new year deals only a block it pocket comm and only through
[00:25:13.600 --> 00:25:17.640]   January 31st enhanced cell phone and wireless device safety and security with
[00:25:17.640 --> 00:25:22.680]   products that work from a family-owned American business call or click 888 315
[00:25:22.680 --> 00:25:27.480]   9618 or block it pocket comm your source for wireless protection and
[00:25:27.480 --> 00:25:33.240]   information get the ultimate knife at the ultimate price the Fox karambit
