[00:00:13.612 --> 00:00:15.535]  We're live!
[00:03:40.061 --> 00:03:41.902]  In 1932, the U.S.
[00:03:41.902 --> 00:03:46.543]  Public Health Service began the Tuskegee Syphilis Experiment.
[00:03:46.543 --> 00:03:53.846]  Patients were lied to about being treated for syphilis and were unknowingly kept sick and made worse.
[00:03:53.846 --> 00:03:59.928]  During World War II, the Russians were using unsuspecting political prisoners to test lethal poisons on.
[00:03:59.928 --> 00:04:02.048]  The U.S.
[00:04:02.048 --> 00:04:03.989]  tested mustard gas on soldiers.
[00:04:05.854 --> 00:04:10.535]  The Japanese tested biological weapons on Chinese prisoners.
[00:04:10.535 --> 00:04:19.778]  And the infamous Angel of Death, Dr. Joseph Mengele, was performing all sorts of horrific experiments on people in the concentration camps.
[00:04:19.778 --> 00:04:27.581]  Researchers at Vanderbilt University gave pregnant mothers radioactive iron, in what they were told were vitamin drinks.
[00:04:29.053 --> 00:04:39.481]  In the 1950s, Dr. William Sweet was funded by the government to inject unsuspecting patients at Massachusetts General Hospital with uranium.
[00:04:39.481 --> 00:04:44.705]  Immunology expert Chester Southam injected prisoners in Ohio with cancer.
[00:04:44.705 --> 00:04:52.491]  The University of California experimented on newborns by freezing them and injecting air into their brains.
[00:04:52.491 --> 00:04:57.595]  Israeli doctors killed tens of thousands of Arab children with radiation poisoning.
[00:04:58.681 --> 00:05:05.848]  And in Montreal, Canada, Dr. Ewan Cameron was treating hundreds of patients with the same bizarre procedure.
[00:05:05.848 --> 00:05:19.361]  Whether they were seeking a remedy for schizophrenia, depression, or an injured leg, Dr. Cameron treated them all by putting them into a chemical coma for up to months at a time, while subjecting their bodies to electroshock.
[00:05:20.302 --> 00:05:30.230]  And just a few years prior to this, Dr. Cameron was invited to the Nuremberg trials for a psychiatric evaluation of Rudolf Hess.
[00:05:30.230 --> 00:05:45.221]  Perhaps the darkest and most prevalent experiment on humanity prior to COVID-19 is MKUltra, an endless web of inhumane projects primarily involving trauma-based mind control and the torture of children.
[00:05:46.841 --> 00:06:01.835]  While legacy media often shows you the lurid sex and drugs aspect of MKUltra, they don't show you the congressional testimony of victims who were kept in cages, raped, and tortured as children in part of the U.S.
[00:06:01.835 --> 00:06:04.417]  government's human radiation experiments.
[00:06:04.417 --> 00:06:12.104]  I was a subject in radiation as well as mind control and drug experiments performed by a man I knew as Dr. Green.
[00:06:13.163 --> 00:06:18.625]  The first significant memory took place at Kansas City University in 1966.
[00:06:18.625 --> 00:06:22.707]  Don Ebner took me there by plane when my mom was out of town.
[00:06:22.707 --> 00:06:27.228]  I was in what looked like a laboratory and there seemed to be other children.
[00:06:27.228 --> 00:06:29.069]  I was strapped down naked to
[00:06:29.309 --> 00:06:32.471]  I was Brett Eagle, on a table, on my back.
[00:06:32.471 --> 00:06:36.312]  Dr. Green had electrodes on my body, including my head.
[00:06:36.312 --> 00:06:45.997]  He used what looked like an overhead projector and repeatedly said he was burning different images into my brain while a red light flashed aimed at my forehead.
[00:06:45.997 --> 00:06:50.799]  I felt drugged because he had given me a shot before he started the procedure.
[00:06:50.799 --> 00:06:53.801]  When it was over, he gave me another shot.
[00:06:53.801 --> 00:06:58.083]  The next thing I remember, I was with my grandparents again in Tucson, Arizona.
[00:06:59.227 --> 00:07:01.168]  I was four years old.
[00:07:01.168 --> 00:07:08.792]  The victims were given an apology by a smirking President Clinton, which is more than most victims have ever gotten.
[00:07:08.792 --> 00:07:10.473]  Nothing has changed.
[00:07:10.473 --> 00:07:18.037]  These are only a few of the many illegal human experiments that we know of, and there has never been any justice.
[00:07:18.037 --> 00:07:22.500]  As it stands now, Big Pharma is well protected from any liability.
[00:07:23.220 --> 00:07:29.784]  Governments, corporations, and strangers on TV do not deserve our trust.
[00:07:29.784 --> 00:07:38.170]  Their role should be to serve humanity and endure our eternal scrutiny and vigilance.
[00:07:38.170 --> 00:07:40.872]  Reporting for InfoWars, this is Greg Reese.
[00:07:54.929 --> 00:08:06.193]  To kill and control a brief history of unlawful human experiments by major governments in the last hundred years.
[00:08:06.193 --> 00:08:11.615]  It went live just a few hours ago at Bandot Video in the Gregg Reese section.
[00:08:11.615 --> 00:08:16.077]  It's Saturday, February 19th, 2022.
[00:08:16.077 --> 00:08:19.998]  It is 2.07, now 2.08 Central Standard Time.
[00:08:19.998 --> 00:08:22.519]  We are live, teleprompter free.
[00:08:24.571 --> 00:08:31.216]  Unfiltered, uncensored, a last-ditch effort to save the Republic and the world.
[00:08:31.216 --> 00:08:33.618]  And so don't thank me for being here on Saturday.
[00:08:33.618 --> 00:08:37.521]  I want to thank the crew, and I want to thank all of you that care.
[00:08:37.521 --> 00:08:45.808]  Out of the 8 billion people on this planet, the billions that are able to tune in, you are the millions that actually care, that are actually awake.
[00:08:47.935 --> 00:08:57.399]  Are the spark of light we need to set brush fires the minds of men and women everywhere that Thomas Jefferson talked about to defeat the tyranny that we face in our time.
[00:08:57.399 --> 00:09:04.623]  So please take the live feed links from Infowars.com forward slash show and band on video.
[00:09:04.623 --> 00:09:07.964]  And share them with everyone you know if you have trouble sharing those links.
[00:09:07.964 --> 00:09:15.608]  The current URL that they're not completely banned yet is future news dot news future news dot news and the propaganda.
[00:09:16.638 --> 00:09:20.980]  Would not be necessary if the situation was hopeless.
[00:09:20.980 --> 00:09:27.322]  If the situation was hopeless, they wouldn't need to do all this brainwashing and censorship if what they were selling was good.
[00:09:27.322 --> 00:09:29.683]  But it's not what they're selling is slavery.
[00:09:29.683 --> 00:09:34.806]  That's why none of it makes sense until you understand what these globalists are actually up to.
[00:09:34.806 --> 00:09:38.727]  Well, it's unbelievable.
[00:09:38.727 --> 00:09:42.909]  Let me just first tell you what's coming up today in this commercial-free live transmission.
[00:09:43.570 --> 00:09:45.291]  That doesn't mean we might take a few breaks.
[00:09:45.291 --> 00:09:51.213]  There might be an ad here or there, but we don't run the standard commercial 14 minutes an hour for TV and radio stations when we do these broadcasts.
[00:09:51.213 --> 00:10:03.338]  And I told you coming up into March of this year, now only a few weeks away, I'm going to start doing at least three commercial-free broadcasts a week on top of the regular show.
[00:10:03.338 --> 00:10:04.499]  These are very popular.
[00:10:04.499 --> 00:10:05.299]  Millions of people are tuning in.
[00:10:06.937 --> 00:10:09.198]  Okay, in the order of importance, put all this ties together.
[00:10:09.198 --> 00:10:11.638]  There's been a proxy war going on for eight years in Ukraine.
[00:10:37.153 --> 00:10:40.354]  The West is clearly running offensives.
[00:10:40.354 --> 00:10:44.795]  Pressing the Russians up against the border in Russian held areas to trigger.
[00:10:44.795 --> 00:10:46.836]  A response by the Russians.
[00:10:46.836 --> 00:10:49.477]  And the Russians have been firing off.
[00:10:49.477 --> 00:10:53.698]  Their new Mach 8 Mach 9.
[00:10:53.698 --> 00:10:57.460]  Super missiles and it's it's it's just a real crisis.
[00:10:57.460 --> 00:11:00.440]  Obviously we're going to be hitting all of that right here.
[00:11:00.440 --> 00:11:03.041]  These two stacks.
[00:11:03.041 --> 00:11:04.202]  First.
[00:11:04.202 --> 00:11:05.122]  Then Canada.
[00:11:06.020 --> 00:11:18.671]  Unbelievable exercise in the Bilderberg Group, Club of Rome, Captured, Elite, Debus Group operation.
[00:11:18.671 --> 00:11:20.773]  By the way, I don't say those terms to sound fancy.
[00:11:20.773 --> 00:11:23.995]  You can search and study each one.
[00:11:23.995 --> 00:11:28.059]  Just like when I popularized the term false flag 25 years ago.
[00:11:28.059 --> 00:11:29.900]  They credit me with popularizing it.
[00:11:29.900 --> 00:11:31.001]  It's in all the history books.
[00:11:31.001 --> 00:11:32.763]  It's in the military manuals.
[00:11:32.763 --> 00:11:33.623]  Our military's taught.
[00:11:34.502 --> 00:11:37.504]  False flags, in case they have to do them.
[00:11:37.504 --> 00:11:39.165]  Yeah, the good guys do it too.
[00:11:39.165 --> 00:11:43.608]  Folks, the point is, is that they don't want you knowing about this stuff.
[00:11:43.608 --> 00:11:48.791]  You have the little kid table at Thanksgiving or Christmas with the three and four-year-olds, and you have the adult table.
[00:11:48.791 --> 00:11:50.673]  InfoWars is the adult table.
[00:11:50.673 --> 00:11:58.138]  And I know you know that, but you need to explain to your friends and family that laugh at folks that are informed, like you and I, or those of us trying to be more informed.
[00:11:58.138 --> 00:11:59.178]  None of us are perfect.
[00:11:59.178 --> 00:12:01.740]  We all see through rose-colored darklies, as the Bible tells us.
[00:12:02.807 --> 00:12:07.351]  We all distort things, but the Holy Spirit gives us more discernment, more clarity.
[00:12:07.351 --> 00:12:14.338]  That making fun of people that are informed isn't fun and isn't cool, and it's going to get us in a lot of trouble.
[00:12:14.338 --> 00:12:22.465]  It runs the gambit from collapse of civilization to war and to mass death and extinction of life on this planet.
[00:12:22.465 --> 00:12:24.247]  That's the spectrum we're on here now.
[00:12:24.247 --> 00:12:25.188]  It runs from bad to worse.
[00:12:27.020 --> 00:12:29.322]  I want to commend everybody that actually cares.
[00:12:29.322 --> 00:12:35.747]  So that's one little quadrant of the massive news that I'm going to hit first here in a moment, but let me tell you what else is coming up.
[00:12:35.747 --> 00:12:38.089]  These stacks, all right here.
[00:12:38.089 --> 00:12:40.390]  All these stacks right here.
[00:12:40.390 --> 00:12:55.562]  Canada is under a corporate martial law training drill, just like China with its police state in response to COVID that came out of the lab was to train us about police state and new world order and biomedical tyranny and world IDs and social credit scores and carbon taxes and
[00:12:56.360 --> 00:13:14.068]  Martial law this is just the next extension of it with the Davos group Complete operative Trudeau under the command of Klaus Schwab Running over women on mobility scooters with horses the horses stomping men women and children.
[00:13:14.068 --> 00:13:23.833]  It's all on video To Tasering people to flashbanging people to tear gassing them pepper spraying them
[00:13:25.245 --> 00:13:30.808]  While saying leftist groups are allowed to protest, only anti-lockdown folks have been banned.
[00:13:30.808 --> 00:13:39.372]  And he suspended the Parliament in his emergency declaration, first time in Canadian history with that, so that they can't speak.
[00:13:39.372 --> 00:13:52.919]  But they still want to be heard Parliamentary, so they're letting them Skype in or Zoom in, and when they talk bad about Trudeau or Klaus Schwab, the Speaker of the Parliament shuts them down.
[00:13:52.919 --> 00:13:54.780]  This is on international television.
[00:13:55.615 --> 00:13:57.697]  You're not allowed to talk about the New World Order.
[00:13:57.697 --> 00:14:02.541]  And they cut the guy off and they say, you are not allowed to talk about conspiracy theories.
[00:14:02.541 --> 00:14:05.784]  Klaus Schwab goes on TV and says, I control Trudeau.
[00:14:05.784 --> 00:14:10.828]  I control half the Canadian cabinet of the government, which we know the names.
[00:14:10.828 --> 00:14:12.070]  Look at his cabinet.
[00:14:12.070 --> 00:14:13.371]  It isn't half of them.
[00:14:13.371 --> 00:14:15.993]  He controls almost two thirds.
[00:14:15.993 --> 00:14:22.539]  The co-chair of his damn Davos group, the World Economic Forum, is the finance minister that declared the martial law.
[00:14:24.242 --> 00:14:29.584]  And yeah, we'll show you the clip where he brags about it with David Gergen on TV.
[00:14:29.584 --> 00:14:38.168]  But when members of Parliament talk about it, they cut their feed and then tell them, you are not allowed to speak to that.
[00:14:38.168 --> 00:14:40.029]  You're like, that's like North Korea.
[00:14:40.029 --> 00:14:42.410]  Yeah, here's how tyranny works.
[00:14:42.410 --> 00:14:45.411]  Once you go over the edge, it's a free fall.
[00:14:45.411 --> 00:14:48.693]  And it's a free fall right now, so that's coming up.
[00:14:48.693 --> 00:14:51.014]  Unbelievable information in these three stacks.
[00:14:51.838 --> 00:14:53.219]  Then there's the COVID stacks.
[00:14:53.219 --> 00:14:54.579]  Three as well.
[00:14:54.579 --> 00:14:56.820]  Unbelievable good news.
[00:14:56.820 --> 00:14:58.741]  Unbelievably horrible news.
[00:14:58.741 --> 00:15:00.762]  Unbelievably ugly news.
[00:15:00.762 --> 00:15:01.962]  It's just insane.
[00:15:01.962 --> 00:15:02.983]  But the wheels have come off.
[00:15:02.983 --> 00:15:05.144]  The House of Cards has collapsed.
[00:15:05.144 --> 00:15:07.665]  I mean, here's just one of them.
[00:15:07.665 --> 00:15:11.767]  I have two videos that Bill Gates will actually have five or six, but I have two that we're going to definitely play.
[00:15:13.240 --> 00:15:20.782]  Bill Gates says Omicron, sadly, that's a quote, spreads immunity faster than vaccines and helped everybody not die.
[00:15:20.782 --> 00:15:22.302]  He actually says that.
[00:15:22.302 --> 00:15:25.283]  He doesn't even try to hide it, folks, because he thinks he's invincible.
[00:15:25.283 --> 00:15:27.804]  For these psychos, that's their favorite thing.
[00:15:27.804 --> 00:15:31.385]  He also says we should always be forced to wear masks like pants.
[00:15:31.385 --> 00:15:31.925]  That's coming up.
[00:15:33.314 --> 00:15:34.616]  Then we have really good news.
[00:15:34.616 --> 00:15:48.753]  Federal Appeals Court, United Airlines vaccine mandate violates the Nuremberg Code, the Geneva Convention, and federal law in coercing employees to violate religious convictions and that no medical procedures can be coerced under international, federal, and state law.
[00:15:49.585 --> 00:15:51.545]  I've only told you that like 8,000 times.
[00:15:51.545 --> 00:15:52.646]  I know you know that already.
[00:15:52.646 --> 00:15:55.606]  We've had top lawyers, like the one that wrote the U.S.
[00:15:55.606 --> 00:15:58.727]  biological chemical weapons law and helped write the U.N.
[00:15:58.727 --> 00:16:04.288]  law, was the former chief prosecutor at the U.N., telling you this is all illegal.
[00:16:04.288 --> 00:16:07.489]  On its face, just, oh, you're crazy!
[00:16:07.489 --> 00:16:11.650]  You don't want us to put something experimental on you?
[00:16:11.650 --> 00:16:13.551]  And it gets worse.
[00:16:13.551 --> 00:16:17.071]  That's only three things out of the stack of more than 50.
[00:16:17.071 --> 00:16:19.092]  It gets more insane.
[00:16:21.323 --> 00:16:33.407]  There are suddenly government announcements everywhere, from the CDC and FDA, that heart attacks and strokes, including in children, are normal, and everybody should just get used to it, and that walking can make you have strokes or die, so walking's now bad.
[00:16:33.407 --> 00:16:39.069]  It's not the deadly shots that all the scientists said would cause blood clots, myocarditis, heart attacks.
[00:16:39.069 --> 00:16:40.030]  No!
[00:16:40.030 --> 00:16:41.490]  No!
[00:16:41.490 --> 00:16:49.333]  It's just the way it is, and the coroners and the pathologists all around the Western world say they're seeing massive increases
[00:16:50.345 --> 00:16:55.550]  Multi-thousand percent increases in different heart attacks and blood clots, but that's okay.
[00:16:55.550 --> 00:16:57.632]  Why is it okay?
[00:16:57.632 --> 00:17:00.535]  Because Tim Cook's gay!
[00:17:00.535 --> 00:17:03.498]  You know, I make that joke, but Bill Maher even came out Friday.
[00:17:03.498 --> 00:17:04.318]  I got that clip, too.
[00:17:04.318 --> 00:17:07.762]  I think I forgot to tell the crew to get it, but go ahead and get it.
[00:17:07.762 --> 00:17:08.282]  It's on InfoWare.
[00:17:08.282 --> 00:17:09.783]  It's like an eight-minute monologue.
[00:17:09.783 --> 00:17:11.285]  It's good to see him coming on board, just like...
[00:17:12.549 --> 00:17:17.073]  Joe Rogan and everybody else, because you really want to choose productivity and prosperity or total destruction.
[00:17:17.073 --> 00:17:28.644]  I'm not saying I trust Bill Maher as far as I can throw him, but he's like, what's up with the left all promoting death camps in China and how it's cute, but it's okay because you're all liberal or you're gay or whatever.
[00:17:28.644 --> 00:17:30.365]  He's like, it doesn't matter whether you're gay or straight.
[00:17:30.365 --> 00:17:33.468]  If you support death camps, you're a fascist pig.
[00:17:33.468 --> 00:17:33.969]  Exactly.
[00:17:35.188 --> 00:17:48.336]  What Tucker Carlson talked about on Thursday, he said the left knows how to pose in little pink outfits and non-threatening and you know they got that 70s hair and everything's cutesy but it's very authoritarian beneath the surface.
[00:17:48.336 --> 00:17:52.619]  It's got a velvet glove on it.
[00:17:52.619 --> 00:18:04.726]  That's why so many of these executives are doing this fake effeminate thing and acting all friendly and fake and nice like the number four guy at Facebook that just got fired because he flew to Indiana to have sex with a 13-year-old boy and got caught.
[00:18:06.314 --> 00:18:10.235]  And he's this big, gnarly, six-foot-five guy, real sweet.
[00:18:10.235 --> 00:18:12.356]  Yeah, I bet he's real sweet behind the scenes, folks.
[00:18:12.356 --> 00:18:14.757]  It's an act by predators.
[00:18:14.757 --> 00:18:23.680]  Like an alligator or a crocodile will act like a log until a deer comes up by the edge of the pond and then it kills it.
[00:18:23.680 --> 00:18:26.841]  The guy's a frickin' crocodile.
[00:18:26.841 --> 00:18:32.163]  But he puts on that little look, because that's how you catch the kids and get them in your car.
[00:18:35.660 --> 00:18:38.762]  I've tried to explain this to everybody, but it's okay.
[00:18:38.762 --> 00:18:41.644]  He's wearing a black sweater.
[00:18:41.644 --> 00:18:45.747]  It's almost like a black turtleneck like Tim Cook's, so now it's okay.
[00:18:45.747 --> 00:18:48.788]  So that's all coming up today.
[00:18:48.788 --> 00:18:52.071]  That's four of the stacks.
[00:18:52.071 --> 00:18:54.212]  Let me tell you what else is in the stack.
[00:18:54.212 --> 00:19:03.378]  Jeffrey Epstein's European right-hand man on record reportedly supplied thousands of children as young as eight to Jeffrey Epstein and world leaders while he got
[00:19:04.622 --> 00:19:08.165]  Found in his jail cell, hung himself, of course, ladies and gentlemen, right?
[00:19:08.165 --> 00:19:18.495]  You know, there's only a few things out there that hang themselves, and it's not Christmas lights, it's not drywall, and it's not Jeffrey Epstein.
[00:19:18.495 --> 00:19:25.501]  Oh, and of course, the cops, the jail guards that the federal prison had indicted, they dropped those indictments last month.
[00:19:27.811 --> 00:19:33.254]  Surprise, surprise, the guards are all getting really lucrative security jobs being paid triple what they were.
[00:19:33.254 --> 00:19:36.636]  Gee, that's really interesting.
[00:19:36.636 --> 00:19:45.601]  So Jeffrey Epstein's close friend and pimp, Jean-Luc Brunel, found dead in apparent prison suicide.
[00:19:45.601 --> 00:19:47.002]  He allegedly hanged himself.
[00:19:47.002 --> 00:19:50.044]  Prison cameras were not working at the time.
[00:19:50.044 --> 00:19:56.788]  Oh, just like two years ago with Jeffrey Epstein, or I guess 26 months ago now, how time flies.
[00:19:57.561 --> 00:19:59.042]  Oh!
[00:19:59.042 --> 00:19:59.942]  Oh, there's a lot more.
[00:19:59.942 --> 00:20:04.864]  I've got like 30 videos.
[00:20:04.864 --> 00:20:11.027]  And I've got just so much stuff here that it makes my head spin.
[00:20:11.027 --> 00:20:20.771]  And I'm just asking everyone to tune into the broadcast and to tell your friends and family to tune in because they want this show shut down, number one.
[00:20:20.771 --> 00:20:25.693]  And I've tried to explain to everybody, I've been let in by top people that are not with The Globalist on their plan.
[00:20:26.545 --> 00:20:31.569]  That's why I'm able to predict so much is because I actually have sources and I'm able to do my own research.
[00:20:31.569 --> 00:20:35.952]  And the more successful we get and the more scholarly we get, the more people give us intel.
[00:20:35.952 --> 00:20:38.354]  I mean, here's just a little example, not to brag.
[00:20:38.354 --> 00:20:43.458]  You know, I told you a year ago, I said, Joe Rogan doesn't make $100 billion a year.
[00:20:43.458 --> 00:20:47.561]  Joe Rogan makes $200 billion off one contract because he's told me all this.
[00:20:47.561 --> 00:20:49.543]  And he said, don't get into details.
[00:20:49.543 --> 00:20:52.285]  But, you know, I just want people to know that when they're all mad about Joe,
[00:20:53.795 --> 00:20:58.998]  Like, people think that, oh my gosh, he might have taken the Rumble offer of $100 million.
[00:20:58.998 --> 00:21:02.120]  Well, it would have to be $300 million a year.
[00:21:02.120 --> 00:21:04.081]  And I said that a few weeks ago, and here's Forbes.
[00:21:04.081 --> 00:21:06.242]  $200 million a year.
[00:21:06.242 --> 00:21:06.642]  $200 million a year.
[00:21:11.089 --> 00:21:13.531]  Now, stuff like that's not that important intel.
[00:21:13.531 --> 00:21:18.334]  You know, Joe told me six months before he was going to Spotify and had done the contract but didn't tell anybody.
[00:21:18.334 --> 00:21:19.915]  I'm like, damn Joe, why do you tell me all this?
[00:21:19.915 --> 00:21:20.956]  Well, I really trust you, Alex.
[00:21:20.956 --> 00:21:21.696]  Which he does.
[00:21:21.696 --> 00:21:22.597]  But I never told anybody.
[00:21:22.597 --> 00:21:24.638]  I never insider traded either.
[00:21:24.638 --> 00:21:28.281]  I just love to rub it into the left and people that you don't get the intel.
[00:21:28.281 --> 00:21:29.481]  You don't get the information.
[00:21:29.481 --> 00:21:33.384]  Well, that information with Joe Rogan is really not that important, is it?
[00:21:33.384 --> 00:21:34.505]  No.
[00:21:34.505 --> 00:21:36.766]  But let me tell you the other intel I've got.
[00:21:36.766 --> 00:21:38.648]  Oh, I've got the intel.
[00:21:38.648 --> 00:21:40.369]  And it's...
[00:21:41.164 --> 00:21:42.724]  It's not really about Alex Jones.
[00:21:42.724 --> 00:21:51.327]  It's about understanding how Hollywood and the scum work, and how they steal people's identities, how they lie about people, how they destroy history.
[00:21:51.327 --> 00:21:56.768]  And so I've been let in on how these guys work years ago, and I was told about this long-term project they're doing.
[00:21:56.768 --> 00:22:04.410]  I don't think the people even involved in the project, Leonardo DiCaprio's group and the other little creatures,
[00:22:05.435 --> 00:22:08.497]  They even understand the long-term plan.
[00:22:08.497 --> 00:22:17.581]  But they plan to have me dead in prison, in prison or dead or both, long before they roll out their whole fake narrative on me.
[00:22:17.581 --> 00:22:22.123]  But I'm going to make sure long before that happens that we stop their whole operation with your help.
[00:22:22.123 --> 00:22:28.066]  And if they even win this round of the war, you'll know the truth and you'll know what really happened with all this.
[00:22:28.066 --> 00:22:35.170]  But yes, they have appointed my destruction, my imprisonment, and my death in jail, and then they can roll out their movies.
[00:22:36.212 --> 00:22:39.473]  All about me and because they want to target populace.
[00:22:39.473 --> 00:22:40.233]  They want to target you.
[00:22:40.233 --> 00:22:44.413]  They don't want Alex Jones to be a folk hero when they kill me.
[00:22:44.413 --> 00:22:47.194]  They wanted to be a horrible demon bully.
[00:22:47.194 --> 00:22:49.234]  And that's why all the scripting is to do that.
[00:22:49.234 --> 00:22:54.575]  But again, we know from the people in the damn meetings.
[00:22:54.575 --> 00:22:57.476]  And so, ha ha ha, see how it works.
[00:22:57.476 --> 00:23:00.556]  You're not the only people in the world that have access to information.
[00:23:00.556 --> 00:23:02.997]  You scum.
[00:23:02.997 --> 00:23:04.317]  You damn scum.
[00:23:05.197 --> 00:23:17.406]  I am not the Wolf of Wall Street, Jordan Belfort, and I'm not saying he's bad compared to the globalists, and I'm sure as hell not, you know, Leonardo DiCaprio and that movie he made where it's the con artist that pretended to be an airline pilot and all that crap.
[00:23:17.406 --> 00:23:23.070]  I'm a good person, and the stuff they're putting in these movie scripts is lies, and it's not true.
[00:23:26.152 --> 00:23:31.297]  I'm sure whatever happens to me, I will be avenged politically, in a legal, lawful way, whatever happens.
[00:23:31.297 --> 00:23:34.681]  But they've got my destruction, my death, all appointed, all prepared.
[00:23:34.681 --> 00:23:39.586]  I don't think the Hollywood folks even know that.
[00:23:39.586 --> 00:23:41.668]  But see, they're collapsing.
[00:23:41.668 --> 00:23:42.288]  They're over.
[00:23:42.288 --> 00:23:42.829]  They're gone.
[00:23:44.272 --> 00:23:53.695]  And that's why they want to target what they believe destroyed them and steal its identity and lie about it and turn an archetype for the people like yours truly.
[00:23:53.695 --> 00:23:55.436]  Because I am an archetype.
[00:23:55.436 --> 00:23:56.176]  You are the archetype.
[00:23:56.176 --> 00:23:56.836]  All of us together.
[00:23:56.836 --> 00:23:58.057]  This is just a focal point.
[00:23:58.057 --> 00:24:00.738]  Alex Jones is much bigger than little Alex Jones.
[00:24:00.738 --> 00:24:02.538]  But the big Alex Jones is all of us together.
[00:24:02.538 --> 00:24:10.901]  The common man with the ingenuity, the smarts, the long-term understanding to be able to take on real evil and have a focus and a belief in humanity and then to overcome it as we've done before.
[00:24:12.051 --> 00:24:32.088]  They need to destroy that image and turn that into something bad and that's why they need to steal InfoWars and shut us down and then silence us so they can lie about us once we're silenced and steal our identity and use that identity as a weapon against the people.
[00:24:32.088 --> 00:24:39.854]  In fact, cue this up because, you know, it was the great Harrison Smith put this together like three years ago and it was titled
[00:24:40.524 --> 00:24:42.905]  Why they silenced Alex Jones.
[00:24:42.905 --> 00:24:46.446]  We're going to play that and I'm going to come back and hit the big military news and start going over all of it here.
[00:24:46.446 --> 00:24:50.788]  But I'm just venting here the first 10-15 minutes.
[00:24:50.788 --> 00:24:56.270]  And some people watch this and they say, wait, Jones says he's captured by the enemy and now being used against the people.
[00:24:56.270 --> 00:24:58.291]  Is he saying he's got a gun to his head?
[00:24:58.291 --> 00:25:00.772]  Is he saying he's been compromised?
[00:25:00.772 --> 00:25:06.094]  No, that's not what I'm saying in that rant I did three years ago that he turned into a very important report.
[00:25:07.481 --> 00:25:12.965]  Why they silenced Alex Jones, or why they took Alex Jones off the air, I forget the exact name of it.
[00:25:12.965 --> 00:25:14.726]  Haven't heard in a while.
[00:25:14.726 --> 00:25:18.129]  Tell me when you got it, guys.
[00:25:18.129 --> 00:25:20.190]  It's on Bandaw Video.
[00:25:20.190 --> 00:25:23.113]  Okay.
[00:25:23.113 --> 00:25:34.841]  What I was explaining is, is that by shutting me down off all these platforms, Twitter, Facebook, everything, I can't respond to lies, you can't respond to the lies about you as well when you're taken off there.
[00:25:34.841 --> 00:25:35.342]  And then,
