[00:00.000 --> 00:02.000]  You
[16:23.760 --> 16:28.160]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel
[16:28.160 --> 16:30.560]  I recommend heart and body extract to everyone
[16:30.560 --> 16:36.640]  Anybody over 40 in the north american continent should be using this product as a preventive to keep their
[16:36.640 --> 16:43.120]  Cardio vascular system healthy. Order your two month supply today by calling 866-295-5305
[16:43.120 --> 16:49.120]  That's 866-295-5305 or order online hbextract.com
[16:49.120 --> 16:55.120]  Heart and body extract 866-295-5305 or hbextract.com
[16:55.120 --> 16:58.320]  Get the ultimate knife at an ultimate knife
[16:58.320 --> 17:01.200]  Get the ultimate knife at an ultimate price
[17:01.200 --> 17:04.640]  The Fox Caromba knife finally available in the U.S.
[17:04.640 --> 17:09.360]  The Fox Caromba knife opens with one hand faster than you can pull a handgun
[17:09.360 --> 17:13.680]  For utility for defense and for way less than other knives of this caliber
[17:13.680 --> 17:18.000]  Go to theultimateknife.com truly the best knife you will ever own
[17:18.000 --> 17:20.880]  And only available at theultimateknife.com
[17:20.880 --> 17:23.680]  Use promo code radio at checkout for free shipping
[17:23.680 --> 17:26.160]  Get the ultimate knife at the ultimate price
[17:26.160 --> 17:28.560]  at theultimateknife.com
[17:28.560 --> 17:30.080]  You have been lied to
[17:30.720 --> 17:32.400]  My name is Kevin Schipp
[17:32.400 --> 17:35.200]  I'm a former decorated CIA officer
[17:35.200 --> 17:40.480]  Finally someone has come out and written what I think is the best ex-mose on the shadow government ever
[17:40.480 --> 17:46.080]  We're in a constitutional crisis and our government is now being run and ruled by a shadow government
[17:46.080 --> 17:49.600]  We gotta get this out because just because you're awake folks doesn't mean other people are
[17:49.600 --> 17:52.720]  This is critical to get to read and give them the library to give them the church
[17:52.720 --> 17:55.440]  Get them right now at killingunclesambook.com
[17:55.440 --> 17:57.040]  killingunclesambook.com
[18:02.560 --> 18:07.920]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico
[18:07.920 --> 18:12.080]  Where the Chiapas farmers have spent years perfecting their techniques
[18:12.080 --> 18:17.120]  Based on hundreds of years of traditional techniques and perfect conditions
[18:17.120 --> 18:20.720]  We've sourced only the best to provide you with our immune support
[18:20.720 --> 18:27.040]  And wake up America, Patriot Blend Coffee. Ancient Mayan knowledge is paired with the natural fertility of the land
[18:27.040 --> 18:29.520]  To generate the world's finest coffee bean
[18:29.520 --> 18:34.320]  Carefully harvested and free of toxic chemicals used in big agricultural productions
[18:34.320 --> 18:38.880]  Patriot Blend coffees have a smooth, bold flavor with great depth
[18:38.880 --> 18:40.960]  To give you just what you need in the morning
[18:40.960 --> 18:45.200]  You can even choose to start your morning healthier with the immune support blend
[18:45.200 --> 18:49.120]  Infused with a powerful blend to support your immune response and stamina
[18:49.120 --> 18:51.600]  It's time to take care of your morning routine
[18:51.600 --> 18:54.240]  Get a bag of Patriot Blend coffee to support the show
[18:54.240 --> 18:58.000]  While enhancing your morning routine at infowarstore.com
[19:01.040 --> 19:04.320]  Patrick in the great nation of Australia
[19:04.320 --> 19:06.160]  You're on the air worldwide, thanks for holding
[19:06.160 --> 19:09.760]  Hey Alex mate, I've been following you since I was 14
[19:09.760 --> 19:13.920]  And I'm 32 now, I remember back when Info Wars and Prison Planet
[19:13.920 --> 19:19.360]  It was just blue text on a white screen and I had to load down the page on my dial-up into that
[19:19.360 --> 19:24.400]  And I thought it was pretty cool and read all the books and seen all the DVDs and followed all your guess
[19:24.400 --> 19:28.160]  And I've been using your products since the first iteration of Survival Shield
[19:28.160 --> 19:33.680]  And since then I'm on the X2, the SuperMail Vitality, the Caveman, the Real Red Pill
[19:33.680 --> 19:36.080]  Myko ZX body, it's all amazing
[19:36.080 --> 19:36.720]  Thank you brother
[19:36.720 --> 19:39.920]  Yeah, and I wanted to say that by following you so much
[19:39.920 --> 19:45.280]  It's like you're just detoxing the mind, you're detoxing the body, you're detoxing the spirit
[19:45.280 --> 19:50.080]  And it's just the more you know God, the more you fear God, but the more you chase God
[19:50.080 --> 19:55.440]  And I wanted to say that it's an honor to stand side by side with you, the crew, and the listeners out there
[19:55.440 --> 19:57.120]  1776 worldwide
[19:57.120 --> 20:05.840]  You're listening to the Alex Jones show
[20:14.160 --> 20:18.240]  Defending the Republic from enemies foreign and domestic
[20:19.040 --> 20:20.640]  It's Alex Jones
[20:20.640 --> 20:25.920]  As an example, they have great beaches
[20:25.920 --> 20:29.440]  You see that whenever they're exploding their cannons into the ocean, right?
[20:29.440 --> 20:32.480]  I said, boy, look at that, wouldn't that make a great condo behind?
[20:33.280 --> 20:38.320]  And I explained, I said, you know, instead of doing that, you could have the best hotels in the world right there
[20:38.320 --> 20:40.480]  Think of it from a real estate perspective
[20:40.480 --> 20:44.000]  You have South Korea, you have China, and they own the land in the middle
[20:44.000 --> 20:45.920]  How bad is that, right? It's great
[20:45.920 --> 20:50.720]  But I told them, I said, you may not want to do what's there
[20:50.720 --> 20:55.200]  You may want to do a smaller version of it, or, you know, and that could be
[20:55.200 --> 21:00.560]  Although I tell you what, he looked at that tape, he looked at that iPad
[21:00.560 --> 21:05.360]  And I'm telling you, they really enjoyed it, I believe
[21:08.000 --> 21:11.520]  Here's the bottom line, Trump is trying to save North Korea
[21:11.520 --> 21:16.960]  The U.N. and the globalists are on record putting Mao in power
[21:16.960 --> 21:18.640]  Letting him invade, trying to take it over
[21:19.280 --> 21:22.400]  Having it be a U.N. police action, blocking MacArthur from winning
[21:22.400 --> 21:23.920]  It was a model of Vietnam to come
[21:25.120 --> 21:28.080]  Then China exploits North Korea for its raw material
[21:28.640 --> 21:32.160]  Just like China is exploiting us, everybody else, and their own people
[21:32.160 --> 21:38.640]  And now Trump is reaching out and trying to break the stalemate
[21:38.640 --> 21:42.240]  And bring North Korea in out of the dark, a huge victory for America
[21:42.240 --> 21:46.640]  And the world, and the North is moving towards giving up its weapons to do this
[21:46.640 --> 21:48.480]  Because he's first brought them to their knees
[21:48.480 --> 21:53.280]  And our mainstream media that praised Obama, trying to have meetings and praised others
[21:53.280 --> 21:56.240]  Praised Jimmy Carter is now saying Trump's a bad guy
[21:56.240 --> 21:59.120]  Now, Jimmy Carter's saying Trump is a good guy
[21:59.120 --> 22:02.480]  Vladimir Putin says that Trump's acting like an adult
[22:02.480 --> 22:06.480]  This is the right thing to do, I don't like Kim Jong-un and third-generation dictators
[22:06.480 --> 22:10.080]  But he was born into it, and he's signaling he's ready to get out of it
[22:11.680 --> 22:13.280]  This is the reality of what's happening
[22:13.280 --> 22:15.520]  Trump is trying to save North Korea
[22:15.520 --> 22:17.920]  This is a major victory for the world
[22:17.920 --> 22:19.520]  It's very, very exciting
[22:19.520 --> 22:21.760]  We're ready to rewrite a new chapter between our two nations
[22:21.760 --> 22:24.800]  Trump declares victory, boasting that he trusts Kim Jong-un
[22:24.800 --> 22:27.360]  And persuaded him to sign a break-up or hints of agreement
[22:27.360 --> 22:30.720]  For complete denuclearization every only five hours of meetings
[22:30.720 --> 22:31.920]  Now, that's just breaking
[22:31.920 --> 22:36.320]  Let's expand on this
[22:36.320 --> 22:37.920]  Why was he patting him on the back?
[22:37.920 --> 22:40.720]  Because everybody knows in body language, not just in Asia
[22:40.720 --> 22:43.520]  But face-saving, he's got to do that
[22:43.520 --> 22:45.200]  So that can be shown to their people
[22:45.200 --> 22:49.520]  And that propaganda is so powerful that they'll have to show it to their people
[22:49.520 --> 22:51.920]  Propaganda just needs political information
[22:51.920 --> 22:53.520]  It can be white, black, or gray
[22:53.520 --> 22:55.120]  This is white propaganda, it's truthful
[22:55.120 --> 22:57.520]  By doing that, they will show it to their people
[22:57.520 --> 22:59.520]  And that will start dominoes falling
[22:59.520 --> 23:03.520]  Where that will get the entire state apparatus behind
[23:03.520 --> 23:05.520]  Moving towards the West and prosperity
[23:05.520 --> 23:09.520]  The biggest thing those starving, dying people need in North Korea
[23:09.520 --> 23:13.520]  Again, you have a GDP of the North of 12.3 billion
[23:13.520 --> 23:17.520]  You have a GDP in the South of 1.4 trillion
[23:17.520 --> 23:19.520]  113 times bigger
[23:21.520 --> 23:23.520]  And the South just continues to grow
[23:23.520 --> 23:24.520]  This is the reality
[23:24.520 --> 23:27.520]  Meanwhile, back in America, CNN that defended
[23:27.520 --> 23:31.520]  The Clinton's giving nuclear missile secrets and fissile material to the North
[23:31.520 --> 23:35.520]  That defended Obama on record, folks
[23:35.520 --> 23:39.520]  Helping transfer the Office of Personnel Management database to the Communist Chinese
[23:39.520 --> 23:43.520]  And letting Apple move to Communist China, the total sellout of our country
[23:43.520 --> 23:51.520]  We have MSNBC panel saying that Trump is a want-to-be despot
[23:51.520 --> 23:55.520]  A want-to-be despot going over there
[23:55.520 --> 23:59.520]  Well, let me just hear if yourself heard us
[23:59.520 --> 24:03.520]  Steve, from our closest alley in the North, that's of course Canada
[24:03.520 --> 24:05.520]  It causes us no trouble
[24:05.520 --> 24:07.520]  And then you see him huddling, these pictures of him huddling
[24:07.520 --> 24:09.520]  With the other guy, with Putin
[24:09.520 --> 24:11.520]  It's really, it's a statement
[24:11.520 --> 24:13.520]  He likes Putin
[24:13.520 --> 24:15.520]  Donald Trump can relate to authoritarians
[24:15.520 --> 24:19.520]  He, as a former businessman, he likes absolute control
[24:19.520 --> 24:21.520]  Is he a want-to-be despot?
[24:21.520 --> 24:23.520]  I've conceded that for years now
[24:23.520 --> 24:25.520]  I mean, we're going home years
[24:25.520 --> 24:27.520]  All of his behavior is a tax on the free press
[24:27.520 --> 24:31.520]  His attacks on alliances that are designed to strengthen our security
[24:31.520 --> 24:37.520]  This is not, he has, feels more, but he calls Kim Jong-un honorable
[24:37.520 --> 24:39.520]  Yet Justin Trudeau of Canada
[24:39.520 --> 24:41.520]  Trudeau is weak
[24:41.520 --> 24:43.520]  Let's comment on that
[24:45.520 --> 24:47.520]  Yeah, yeah, Trump's a want-to-be despot
[24:47.520 --> 24:49.520]  So, here's what's going on
[24:49.520 --> 24:51.520]  Trudeau is an enemy
[24:51.520 --> 24:55.520]  Trudeau has a 260-plus percent tariff on us on Dario Loan
[24:55.520 --> 24:58.520]  Trudeau is taking the word mother and father out of government documents
[24:58.520 --> 25:01.520]  And out of the national anthem of mankind
[25:01.520 --> 25:04.520]  Trudeau is a globalist, Trudeau is a puppet
[25:04.520 --> 25:06.520]  Trump knows when he's meeting with Putin
[25:06.520 --> 25:08.520]  Or he's meeting with Kim Jong-un
[25:08.520 --> 25:10.520]  Or he's meeting with the Chinese president
[25:10.520 --> 25:13.520]  He's meeting with people that are actually in charge
[25:13.520 --> 25:16.520]  And over in those areas of the world, people hug each other and stuff
[25:16.520 --> 25:17.520]  Unless they're an enemy
[25:17.520 --> 25:20.520]  So Trump is over there buttering that creature up
[25:20.520 --> 25:22.520]  So that, just look, take a bunch of money
[25:22.520 --> 25:24.520]  Stop enslaving your people like a vampire
[25:24.520 --> 25:26.520]  You idiot, you could be like the South
[25:26.520 --> 25:28.520]  So Trump's doing a great job
[25:28.520 --> 25:30.520]  And so these scumbags that normally we're criticizing Trump
[25:30.520 --> 25:32.520]  We could pull this up just six months ago
[25:32.520 --> 25:35.520]  Calling him Rocket Man and a dictator and what we might nuke you
[25:35.520 --> 25:39.520]  Put the pressure on, oh, how dare you talk like this to Kim Jong-un
[25:39.520 --> 25:44.520]  Remember MSNBC CNN, oh, how dare you talk bad to Kim Jong-un
[25:44.520 --> 25:47.520]  Now, oh my gosh, oh, you're so horrible being nice to him
[25:47.520 --> 25:49.520]  Because he's making the deal
[25:49.520 --> 25:51.520]  He made the deal back in March
[25:51.520 --> 25:53.520]  And then the deal's been agreed to
[25:53.520 --> 25:55.520]  And now they've had the public deal
[25:55.520 --> 25:57.520]  That was just the marriage you just saw
[25:57.520 --> 25:59.520]  We were already engaged in March
[25:59.520 --> 26:01.520]  We went through the engagement process
[26:01.520 --> 26:04.520]  Up until now, and now you just saw them get married
[26:04.520 --> 26:05.520]  The agreement's done
[26:05.520 --> 26:08.520]  If they pull out of it, there's gonna be hell to pay
[26:08.520 --> 26:10.520]  That's how real business gets done
[26:10.520 --> 26:12.520]  That's how America used to do things called straight shooting
[26:12.520 --> 26:14.520]  Gaddafi came in, eight years invested
[26:14.520 --> 26:16.520]  Over a hundred billion dollars in the West
[26:16.520 --> 26:17.520]  And everything we said
[26:17.520 --> 26:19.520]  We sent in spies, overthrew his ass, killed him
[26:19.520 --> 26:21.520]  And brought in radical Muslims to blow everything up
[26:21.520 --> 26:24.520]  Because the globalists don't want any independent areas around the world
