[00:00:10.435 --> 00:00:10.735]  R-Charge.com.
[00:02:06.986 --> 00:02:10.067]  I have never seen anything that has worked so wonderfully.
[00:02:10.067 --> 00:02:17.209]  I have seen the potential in it and now it's becoming realization and I have really seen great results.
[00:02:17.209 --> 00:02:23.030]  I'm feeling very positive about the future and very positive about the growth of my own particular business.
[00:02:23.030 --> 00:02:24.611]  Hi, how in the world are you anyway?
[00:02:24.611 --> 00:02:25.491]  I'm Andy Willoughby.
[00:02:25.491 --> 00:02:29.112]  For more information go to 3stepplan.com or call 800-480-2102.
[00:02:34.472 --> 00:02:38.693]  Iran's president says an American journalist convicted of spying for the U.S.
[00:02:38.693 --> 00:02:42.575]  should be allowed to offer a full defense during her appeal.
[00:02:42.575 --> 00:02:47.616]  This a day after the American Iranian citizen was sentenced to eight years in prison.
[00:02:47.616 --> 00:02:52.198]  Her father said officials tricked her into making incriminating statements.
[00:02:52.198 --> 00:02:55.179]  Marilyn McGinley is a friend of Roxana Sebiri.
[00:02:55.179 --> 00:02:57.959]  Roxana would not be a spy.
[00:02:57.959 --> 00:02:59.020]  I know that girl.
[00:02:59.020 --> 00:02:59.600]  I know her.
[00:03:00.990 --> 00:03:02.971]  She lived with us for six months.
[00:03:02.971 --> 00:03:04.532]  Officials say suspected U.S.
[00:03:04.532 --> 00:03:09.575]  missiles have hit a Taliban compound in a militant stronghold in Pakistan.
[00:03:09.575 --> 00:03:13.717]  At least three people are dead in the attack near the Afghanistan border.
[00:03:13.717 --> 00:03:14.877]  Militants want the U.S.
[00:03:14.877 --> 00:03:19.780]  to stop sending drone-fired missiles into Pakistan's lawless northwest regions.
[00:03:20.549 --> 00:03:21.611]  Here's Nahal Tusi.
[00:03:21.611 --> 00:03:25.319]  The Taliban have warned that they're going to keep up suicide attacks until the U.S.
[00:03:25.319 --> 00:03:26.902]  stops these missile strikes.
[00:03:26.902 --> 00:03:31.451]  For the latest news and analysis, log on to IRNUSARadioNews.com
[00:03:34.102 --> 00:03:37.424]  Did you know the average household owes over $25,000 in credit card debt?
[00:03:37.424 --> 00:03:40.666]  And 65% of those households can only afford the minimum monthly payment.
[00:03:40.666 --> 00:03:42.488]  Are you in a debt trap you can't get out of?
[00:03:42.488 --> 00:03:43.568]  I can't keep this up.
[00:03:43.568 --> 00:03:44.449]  I need relief.
[00:03:44.449 --> 00:03:45.690]  Now you can rest easy.
[00:03:45.690 --> 00:03:48.632]  Debt Relief USA has helped thousands of people just like you.
[00:03:48.632 --> 00:03:53.335]  If you owe more than $10,000 in credit card debt, call the debt specialist at Debt Relief USA.
[00:03:53.335 --> 00:03:53.455]  866-452-5550.
[00:03:53.455 --> 00:03:54.455]  Get debt free now.
[00:03:54.455 --> 00:03:54.656]  Call 866-452-5550.
[00:03:54.656 --> 00:03:55.656]  That's 866-452-5550 for Debt Relief USA.
[00:04:06.104 --> 00:04:14.008]  Sounds of Houston fire trucks searching for five young children who died after their car slid into a rain swollen ditch.
[00:04:14.008 --> 00:04:17.870]  But police say heavy rains may not have been the only cause of the crash.
[00:04:17.870 --> 00:04:23.033]  A passenger tells police the driver lost control while trying to answer a cell phone.
[00:04:23.033 --> 00:04:26.434]  He's also been taken for a blood alcohol test.
[00:04:26.434 --> 00:04:31.637]  In the Netherlands and the United States both plan to boycott this week's UN conference on racism.
[00:04:32.210 --> 00:04:33.111]  Here's Mike Horder.
[00:04:33.111 --> 00:04:36.073]  Some fear it'll wind up being a heated debate on Israel.
[00:04:36.073 --> 00:04:38.455]  Pope Benedict today praised the conference.
[00:04:38.455 --> 00:04:43.319]  Today marks the 14th anniversary of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City.
[00:04:58.303 --> 00:05:07.929]  The community's national memorial and museum brought together survivors, family members, and rescuers for a program called First Person Stories of Hope.
[00:05:07.929 --> 00:05:11.871]  One of the bombing survivors reflects on her experience.
[00:05:11.871 --> 00:05:13.272]  Here's Sophia Manos.
[00:05:13.272 --> 00:05:19.676]  The woman suffered a punctured jugular vein that required 1,000 stitches and staples to close.
[00:05:19.676 --> 00:05:21.337]  Her response 14 years later?
[00:05:21.337 --> 00:05:22.178]  Her words.
[00:05:22.921 --> 00:05:25.942]  When you get kicked in the teeth, you just don't lie there.
[00:05:25.942 --> 00:05:28.883]  You get up and make the most of what you have.
[00:05:28.883 --> 00:05:33.805]  I'm Jody Jordan for IRN USA Radio News.
[00:05:33.805 --> 00:05:40.668]  Did you know that the new energy czar wants to control how much power your electrical company allows you to have?
[00:05:40.668 --> 00:05:41.608]  It's true.
[00:05:41.608 --> 00:05:47.190]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:47.190 --> 00:05:49.231]  Not if, but when.
[00:05:49.231 --> 00:05:49.611]  Hi Bill.
[00:05:50.011 --> 00:05:54.533]  Just wanted to call in and let you folks know that I got my solar backup generator hooked up and running.
[00:05:54.533 --> 00:05:56.533]  To tell you the truth, it's awesome!
[00:05:56.533 --> 00:06:02.536]  Not only was it easy to install, but it's powering my fridge, lights, TV, and shortwave radio.
[00:06:02.536 --> 00:06:05.377]  I now know that I'm one step closer to getting off the grid.
[00:06:05.377 --> 00:06:06.177]  Thanks for all your help!
[00:06:06.537 --> 00:06:13.979]  This generator is solar powered, complete with battery backup, has no moving parts to wear out or break, and requires no gas.
[00:06:13.979 --> 00:06:17.960]  Don't wait for the Energy Czar to cut your power or raise your rates.
[00:06:17.960 --> 00:06:20.400]  Produce your own electricity for free.
[00:06:20.400 --> 00:06:22.681]  Go to MySolarBackup.com.
[00:06:22.681 --> 00:06:25.242]  That's MySolarBackup.com.
[00:06:25.242 --> 00:06:25.742]  Or call 877-327-0365.
[00:06:25.742 --> 00:06:25.782]  877-327-0365.
[00:06:34.071 --> 00:06:39.342]  Prepare yourself for a talk radio experience like no other.
[00:06:43.354 --> 00:06:46.136]  He stands for truth.
[00:06:46.136 --> 00:06:48.517]  He stands for justice.
[00:06:48.517 --> 00:06:51.819]  He stands for what's right.
[00:06:51.819 --> 00:06:55.122]  This is the Alex Jones Show.
[00:06:55.122 --> 00:06:58.203]  Call Alex now, toll free at 877-590-5525.
[00:06:58.203 --> 00:07:05.768]  Now live from Austin, Texas, here's Alex Jones.
[00:07:14.746 --> 00:07:16.873]  It is Patriots Day 2009, April 19th.
[00:07:22.467 --> 00:07:34.098]  It was 16 years ago, hard to believe, 16 years ago that the Feds, the Delta Force, this is congressional testimony, went in a machine gun to all the Davidians as they tried to enter out the back of the building.
[00:07:34.098 --> 00:07:38.382]  After the Feds set the place on fire, they were going to show them who was boss.
[00:07:38.382 --> 00:07:44.287]  The BATF 51 days earlier had pulled up, opened fire on the wooden church, killed a bunch of people.
[00:07:44.287 --> 00:07:45.428]  The Davidians fought back.
[00:07:45.428 --> 00:07:48.571]  The BATF cowardly held their hands up and
[00:07:49.571 --> 00:07:57.134]  Begged for mercy, the Davidians let them leave, and of course, then the children, women and men, were all slaughtered with extreme pleasure.
[00:07:57.134 --> 00:08:01.415]  And that's how the New World Order rolls.
[00:08:01.415 --> 00:08:18.762]  And then two years later, the WACO had ignited such an anti-New World Order movement that the feds bombed their own federal building, and I've interviewed the police, the investigators, it's come out in declassified FBI documents, it's been in major news that that was a government black op.
[00:08:19.696 --> 00:08:25.859]  You can go to Infowars.com and Google search Oklahoma City FBI documents if you'd like to read it.
[00:08:25.859 --> 00:08:38.724]  It's been in the Associated Press, been in major newspapers where it broke in Salt Lake City when the judge in a case by a lawyer investigating it ordered the documents released.
[00:08:38.724 --> 00:08:40.985]  It's all right there for you.
[00:08:40.985 --> 00:08:46.307]  McVeigh, a black op officer, set up by his own people and then drugged
[00:08:47.014 --> 00:08:52.619]  Throughout the trial in Denver and then executed quietly in Terre Haute, Indiana.
[00:08:52.619 --> 00:08:55.021]  But I'm not going to digress and get into that today.
[00:08:55.021 --> 00:09:05.251]  What we are going to cover, ladies and gentlemen, is the cold hard facts of what's happening to our society and the predatory elite that is taking over.
[00:09:05.251 --> 00:09:13.398]  Now, for the last 11 years, I've been in possession of secret federal training documents for federal police.
[00:09:15.245 --> 00:09:18.686]  State police now being federalized near local police.
[00:09:18.686 --> 00:09:31.950]  And about a month ago, five weeks ago, we broke the MIAC report, federally written, in Missouri, saying Ron Paul supporters, Libertarians, Bob Barr supporters, gun owners, are basically terrorists.
[00:09:31.950 --> 00:09:40.812]  And then we also broke the major news two weeks ago, that is now national news everywhere, about a week and a half ago to be technical.
[00:09:40.812 --> 00:09:44.593]  It's now major news everywhere, one of the biggest stories of the year so far,
[00:09:46.002 --> 00:10:13.470]  uh... the federal report itself one of many actually written by george bush's people and then reissued by barack obama we pointed out in our articles but when the national fake conservative media picked it up they didn't want to tell you that they want to make a left-right issue now it's it's not a left-right issue uh... they list people that are for bike lanes as terrorist in training manuals you can read an info wars dot com anti-death penalty groups peace groups
[00:10:14.505 --> 00:10:27.611]  Environmental groups, anyone who basically can spell their name, anyone who can basically talk, hasn't had all their mercury injections and doesn't drink enough fluoride, anyone who can rub two brain cells together is listed as a threat to the government.
[00:10:27.611 --> 00:10:39.837]  But this newest one does say that the number one threat to homeland security and its main job is to deal with returning veterans, period, gun owners, people buying guns and ammo are terrorists.
[00:10:42.597 --> 00:10:44.458]  And so just remember that.
[00:10:44.458 --> 00:10:46.020]  That's how the establishment always acts.
[00:10:46.020 --> 00:10:53.885]  They pick a weird group, a kooky group, a group that they can get most of society to say, yeah, go ahead and burn down that church.
[00:10:53.885 --> 00:10:55.687]  They're a bunch of weirdos.
[00:10:55.687 --> 00:10:58.989]  And they were pretty weird, but most of the really bad stuff was lies.
[00:10:58.989 --> 00:11:02.772]  I've investigated it in depth up in Waco 16 years ago.
[00:11:02.772 --> 00:11:07.095]  And they torch those people.
[00:11:07.095 --> 00:11:08.576]  And they use it to set a precedent.
[00:11:08.576 --> 00:11:11.879]  You know, first, Hitler didn't start with the gypsies or the Jews or
[00:11:13.018 --> 00:11:14.419]  The 7th day Adventist.
[00:11:14.419 --> 00:11:17.461]  Hitler started with retarded children.
[00:11:17.461 --> 00:11:19.022]  Then mildly retarded children.
[00:11:19.022 --> 00:11:20.724]  They would euthanize them.
[00:11:20.724 --> 00:11:22.125]  Race hygiene.
[00:11:22.125 --> 00:11:24.006]  They used the psychiatric system.
[00:11:24.006 --> 00:11:28.189]  Then it was unpopular minorities like Jews and others.
[00:11:28.189 --> 00:11:33.033]  Just like they set up Homeland Security to quote deal with Muslim terrorists hiding under your bed.
[00:11:34.815 --> 00:11:38.797]  Now they admit the entire time it was being set up for the American people.
[00:11:38.797 --> 00:11:41.938]  Those that don't like 80% tax rates that the U.N.
[00:11:41.938 --> 00:11:43.159]  is calling for.
[00:11:43.159 --> 00:11:44.619]  Those that don't like open borders.
[00:11:44.619 --> 00:11:45.840]  Those that don't like police states.
[00:11:45.840 --> 00:11:53.983]  And now the Army Times, Northcom, the Army War College have announced their number one enemy is the American people.
[00:11:53.983 --> 00:11:59.766]  And they're going to use the military on the American people for gun confiscation and that's in all the government documents.
[00:12:01.314 --> 00:12:02.094]  And we list those.
[00:12:02.094 --> 00:12:05.635]  I've made films about those going back for 12 years.
[00:12:05.635 --> 00:12:07.076]  I don't know, 99, I guess.
[00:12:07.076 --> 00:12:08.336]  No, 97, 12 years.
[00:12:08.336 --> 00:12:09.697]  That's my first film.
[00:12:09.697 --> 00:12:10.477]  Made 12 years ago, 97.
[00:12:10.477 --> 00:12:14.018]  It's now 2009.
[00:12:14.018 --> 00:12:17.179]  So, this is the facts.
[00:12:17.179 --> 00:12:20.820]  Now, I make this point quite often because it's so important.
[00:12:20.820 --> 00:12:26.882]  Throughout history, throughout time immemorial, tyranny is the norm.
[00:12:26.882 --> 00:12:29.123]  It is the ether in which humanity swims.
[00:12:29.123 --> 00:12:30.463]  Oppression, disarmament,
[00:12:30.839 --> 00:12:39.544]  Enslavement, having economies that are totally imploded because the elites do that by design.
[00:12:39.544 --> 00:12:50.310]  And that's how we've known what was going to happen in the future because we're reading the UN documents, the Council on Foreign Relations documents, the Trilateral Commission documents, the books written by these people.
[00:12:50.310 --> 00:12:59.275]  And I've written countless articles and had my writers write countless articles and linked to countless editorials written by these people where they tell you exactly what they're going to do.
[00:13:01.405 --> 00:13:19.850]  The head of the Council on Foreign Relations, the true government of the United States, in 2007 republished an article in the Council on Foreign Relations, Richard Inhofe did, that he had written in the early 1990s for the Club of Rome.
[00:13:19.850 --> 00:13:27.772]  And in that document he states that the environmental movement is completely phony, it's a new religion,
[00:13:28.467 --> 00:13:31.828]  He's very atheistic and makes fun of people and says they need a new religion.
[00:13:31.828 --> 00:13:33.209]  We'll give them one.
[00:13:33.209 --> 00:13:34.889]  Now, there are certainly real environmental problems.
[00:13:34.889 --> 00:13:36.750]  Don't get that confused.
[00:13:36.750 --> 00:13:55.837]  They're saying they'll hijack the movement, create a carbon tax on the entire carbon cycle between plants and animals on Terra Firma, this planet, and that they would then regulate and control every facet of Western society and shut down every factory and business.
[00:13:55.837 --> 00:13:56.077]  Why?
[00:13:56.932 --> 00:13:58.673]  Because they don't like you owning guns.
[00:13:58.673 --> 00:14:00.714]  They don't like your pension funds.
[00:14:00.714 --> 00:14:02.374]  They see you as spoiled.
[00:14:02.374 --> 00:14:06.796]  Their job is to bankrupt you so you live like they do in Mexico or North Korea.
[00:14:06.796 --> 00:14:10.438]  This is all stated.
[00:14:10.438 --> 00:14:15.580]  And so, China, India, all these other nations, they have to make zero carbon cuts.
[00:14:15.580 --> 00:14:17.421]  The United States does.
[00:14:17.421 --> 00:14:18.081]  England does.
[00:14:18.081 --> 00:14:24.084]  Germany, France, Belgium, Holland, the Netherlands.
[00:14:24.084 --> 00:14:24.484]  Japan.
[00:14:26.047 --> 00:14:32.108]  This will leverage all production to third world police states the global authority control.
[00:14:32.108 --> 00:14:42.710]  China signed IMF World Bank agreements for one-child policies under State Department Memorandum 200, which you'd like to read, State Department Memorandum 200, declassified in 1992, written in 1973.
[00:14:42.710 --> 00:14:55.033]  Now they're setting up a worldwide control grid to restrict your access to energy, to jobs, to make you feudal serfs so they can force a one-child policy on you.
[00:14:56.405 --> 00:14:59.946]  So you're totally at the will of the government?
[00:14:59.946 --> 00:15:04.688]  Why don't you read State Department Random 200?
[00:15:04.688 --> 00:15:10.689]  Why don't you Google it now instead of sucking your thumb and watching sports this evening?
[00:15:10.689 --> 00:15:12.150]  Do you like being conned?
[00:15:12.150 --> 00:15:13.530]  Do you like being lied to?
[00:15:13.530 --> 00:15:15.571]  Do you like losing your entire future?
[00:15:18.032 --> 00:15:23.513]  If you want any future for yourself, and we always said in the past, for your children, you're not going to have to wait.
[00:15:23.513 --> 00:15:25.074]  Maybe you don't care about your children.
[00:15:25.074 --> 00:15:28.054]  Do you care about yourself?
[00:15:28.054 --> 00:15:28.974]  They have done it.
[00:15:28.974 --> 00:15:31.595]  EPA takes first step towards climate change.
[00:15:31.595 --> 00:15:32.835]  That's the AP headline.
[00:15:32.835 --> 00:15:36.596]  And then you read, it will be hundreds of new taxes, bare minimum.
[00:15:36.596 --> 00:15:42.237]  Already in Oregon, New York, California, they're banning fireplaces and permits for new homes.
[00:15:42.237 --> 00:15:44.718]  They're banning space heaters and fireplaces in Europe.
[00:15:45.603 --> 00:15:51.305]  Total control over every facet of your life.
[00:15:51.305 --> 00:15:52.465]  There's another headline.
[00:15:52.465 --> 00:15:58.747]  Waxman won't compromise on 20% carbon cap and climate measure.
[00:15:58.747 --> 00:16:04.428]  Do you know what a 20% cut in our greenhouse gas emissions will mean?
[00:16:04.428 --> 00:16:08.730]  Do you have any idea the level of that tax?
[00:16:08.730 --> 00:16:13.031]  House Energy and Commerce Committee Chairman Henry Waxman said he won't compromise
[00:16:15.160 --> 00:16:23.432]  On his proposed 20% reduction in greenhouse gases over the next decade, in the face of criticism from lawmakers who say the economy could suffer.
[00:16:23.432 --> 00:16:27.097]  Have another article where they're going to put a carbon tax on all your cars.
[00:16:27.097 --> 00:16:29.901]  And they're going to fund all of their other programs.
[00:16:30.717 --> 00:16:32.099]  The death camps are built.
[00:16:32.099 --> 00:16:33.280]  We'll be right back.
[00:16:33.280 --> 00:16:35.002]  Jim Newcomer from Midas Resources.
[00:16:35.002 --> 00:16:35.242]  April 17, 2009.
[00:16:35.242 --> 00:16:36.363]  Gold opened this morning at $8.7230.
[00:16:36.363 --> 00:16:40.447]  A one ounce gold coin can be purchased for $8.9791, $4.4895 for a half ounce, and $2.2448 for the quarter ounce.
[00:16:46.173 --> 00:16:50.737]  That's 897.91, 448.95, and 224.48.
[00:16:50.737 --> 00:16:56.901]  70% of China's 1 trillion reserves are in dollar, now purchasing 250,000 barrels of oil per day from Iran in euro.
[00:16:56.901 --> 00:17:00.624]  Japanese refiners buy 550,000 barrels, switching dollar to yen.
[00:17:00.624 --> 00:17:01.604]  Bad news for U.S.
[00:17:01.604 --> 00:17:02.245]  currency.
[00:17:02.245 --> 00:17:03.646]  Trading equals permanent loss.
[00:17:03.926 --> 00:17:05.687]  Call 800-686-2237 for Corsi's report today!
[00:17:33.872 --> 00:17:39.398]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:17:39.398 --> 00:17:40.179]  and the world.
[00:17:40.179 --> 00:17:44.042]  And for the first time in their lives, they are feeling the need for preparedness.
[00:17:44.042 --> 00:17:49.808]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:17:50.549 --> 00:17:52.571]  Ready Reserve is the manufacturer.
[00:17:52.571 --> 00:18:00.797]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:18:00.797 --> 00:18:05.501]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:18:05.501 --> 00:18:11.006]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:18:11.306 --> 00:18:13.467]  Many companies do not even offer a catalog.
[00:18:13.467 --> 00:18:17.169]  We will be more than happy to send a catalog to you, free of charge.
[00:18:17.169 --> 00:18:17.489]  Dial 1-800-453-2202.
[00:18:17.489 --> 00:18:17.569]  1-800-453-2202.
[00:18:17.569 --> 00:18:19.910]  Or visit our website at ReadyReserveFoods.com.
[00:18:19.910 --> 00:18:22.111]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:18:22.111 --> 00:18:22.631]  Call us at 1-800-453-2202.
[00:18:33.817 --> 00:18:36.480]  Are you concerned for the safety of your loved ones?
[00:18:36.480 --> 00:18:40.105]  Listen closely to this message from Pepperspray.com.
[00:18:40.105 --> 00:18:43.269]  Every 22 seconds a violent crime is committed.
[00:18:43.269 --> 00:18:47.695]  America has changed and your personal safety is your first priority.
[00:18:47.695 --> 00:18:48.256]  Be smart.
[00:18:48.496 --> 00:18:49.456]  Be safe.
[00:18:49.456 --> 00:18:52.057]  Trust Pepper Spray instead of your luck.
[00:18:52.057 --> 00:18:58.640]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:18:58.640 --> 00:19:04.642]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:19:04.642 --> 00:19:07.323]  From big to small, we have it all.
[00:19:07.323 --> 00:19:09.584]  Pepper Spray, mace, animal repellents,
[00:19:09.844 --> 00:19:12.666]  I was drinking more than I should and I knew it.
[00:19:36.946 --> 00:19:42.093]  I just made excuses and wrote it off as stress from work or problems at home.
[00:19:42.093 --> 00:19:43.615]  I thought I was functional.
[00:19:43.615 --> 00:19:48.161]  But then I realized that just being functional wasn't any kind of life at all.
[00:19:48.161 --> 00:19:52.486]  That's when I heard about a free CD from the National Institute for Alcohol Recovery.
[00:19:53.029 --> 00:19:57.893]  Turns out it's different from anything else out there, including 12-step or hypnosis.
[00:19:57.893 --> 00:20:02.276]  It's based on the latest research and it really turned things around for me.
[00:20:02.276 --> 00:20:08.560]  This free alcohol recovery CD tells you about everything you need to succeed in the privacy of your own home.
[00:20:08.560 --> 00:20:09.441]  We guarantee it.
[00:20:09.821 --> 00:20:18.028]  We are so sure of your success with our alcohol recovery program that if you can find a better home recovery program anywhere, we'll pay for it.
[00:20:18.028 --> 00:20:20.369]  So you have absolutely nothing to lose.
[00:20:20.369 --> 00:20:21.410]  For a free CD, call 1-800-309-0958.
[00:20:21.410 --> 00:20:21.851]  That's 1-800-309-0958.
[00:20:21.851 --> 00:20:21.911]  1-800-309-0958.
[00:20:33.932 --> 00:20:36.093]  The GCN Radio Network.
[00:20:36.093 --> 00:20:39.595]  Providing the world with hard-hitting talk radio.
[00:20:39.595 --> 00:20:40.715]  GCN.
[00:20:40.715 --> 00:20:54.262]  Great talk radio starts here.
[00:20:54.262 --> 00:20:57.063]  Welcome back, ladies and gentlemen.
[00:20:57.063 --> 00:20:59.445]  By the way, I've got to get a better handle on all my affiliates.
[00:20:59.445 --> 00:21:02.106]  They told me earlier this week we had two new affiliates for the Sunday Show.
[00:21:02.962 --> 00:21:13.987]  One is in Miami, and the other in Washington State, and I just totally forgot to keep that piece of paper and plug them, but I'll be sure and do it next week.
[00:21:13.987 --> 00:21:19.009]  A lot of new stations picking up the weekday show, a lot of new stations picking up the Sunday broadcast.
[00:21:19.009 --> 00:21:20.710]  We're very, very thankful for that.
[00:21:20.710 --> 00:21:22.371]  Your calls are coming up at 877-590-5525.
[00:21:22.371 --> 00:21:23.471]  877-590-5525 will get you up and on the air.
[00:21:31.374 --> 00:21:32.775]  All right, here are my stacks of news.
[00:21:32.775 --> 00:21:36.697]  EPA takes first step towards climate change regs.
[00:21:36.697 --> 00:21:41.601]  Translate that into hundreds of taxes on every facet of your life, and they admit that deeper in the article.
[00:21:41.601 --> 00:21:47.304]  But still, you tell the public, these are taxes, and they go, really?
[00:21:47.304 --> 00:21:50.466]  And then you find out it's all a complete and total fraud.
[00:21:50.466 --> 00:21:57.471]  Now that it's been proven that Earth just started cooling the last two years, since the sun cooled off, it goes through a 12-year cycle.
[00:21:57.471 --> 00:22:00.112]  So then they're saying, oh, climate change.
[00:22:00.112 --> 00:22:00.773]  Pretty soon they'll go,
[00:22:01.354 --> 00:22:08.678]  Mommy, Grandpa says that there used to be something called Seasons, and it got hot and cold.
[00:22:08.678 --> 00:22:11.220]  No, honey, he's a conspiracy theorist.
[00:22:11.220 --> 00:22:12.841]  Grandpa's with Al Qaeda.
[00:22:12.841 --> 00:22:15.483]  That's why they took him away for re-education.
[00:22:15.483 --> 00:22:16.923]  Good, Grandma.
[00:22:16.923 --> 00:22:22.267]  I heard people that claim that we used to have Seasons were evil.
[00:22:22.267 --> 00:22:27.730]  By the way, they now admit they're chemtrailing as the White House has come out and said, Oh, yeah, we're doing tests spraying the atmosphere to
[00:22:28.115 --> 00:22:29.595]  Save you from global warming.
[00:22:29.595 --> 00:22:30.716]  Folks, they've been doing it since 1996.
[00:22:30.716 --> 00:22:34.976]  They got one a Nobel Prize for it in 92.
[00:22:34.976 --> 00:22:36.857]  Said they'd mix chemicals with jet fuel.
[00:22:36.857 --> 00:22:38.457]  Perfect compartmentalization.
[00:22:38.457 --> 00:22:39.477]  Spray the atmosphere.
[00:22:39.477 --> 00:22:41.238]  And they're doing it now.
[00:22:41.238 --> 00:22:42.538]  AP last week.
[00:22:42.538 --> 00:22:45.038]  Oh yeah, we're gonna spray ya.
[00:22:45.038 --> 00:22:47.419]  We're gonna terraform the planet.
[00:22:47.419 --> 00:22:52.020]  Mommy, Grandpa says there used to be seasons on the planet.
[00:22:52.020 --> 00:22:53.780]  Honey, don't listen to Grandpa.
[00:22:53.780 --> 00:22:55.121]  He's a terrorist.
[00:22:55.121 --> 00:22:57.181]  That's why the men in black uniforms took him away.
[00:22:58.288 --> 00:23:01.810]  There really wasn't seasons once?
[00:23:01.810 --> 00:23:03.711]  Mommy, Grandpa's a liar?
[00:23:03.711 --> 00:23:04.831]  Yes, he's a liar!
[00:23:04.831 --> 00:23:08.113]  Now drink your mercury shake!
[00:23:08.113 --> 00:23:12.295]  Mommy, kids didn't used to... used to have to be in wheelchairs?
[00:23:12.295 --> 00:23:15.517]  They used to be able to walk?
[00:23:15.517 --> 00:23:22.261]  Because, Mommy, I'm 19 and... I... I have a... I can hardly talk.
[00:23:22.261 --> 00:23:23.441]  No.
[00:23:23.441 --> 00:23:25.402]  Geniuses like you have always had a 76 IQ.
[00:23:27.748 --> 00:23:29.788]  Mommy, could I have more mercury?
[00:23:29.788 --> 00:23:33.609]  Yes, honey.
[00:23:33.609 --> 00:23:42.631]  Oh, I can't handle it anymore, ladies and gentlemen.
[00:23:42.631 --> 00:23:45.511]  EPA takes first step towards climate change.
[00:23:45.511 --> 00:23:48.092]  Again, we've got another report here.
[00:23:48.092 --> 00:23:52.533]  New pollution limits seen for cars and big plants.
[00:23:52.533 --> 00:23:53.833]  They're going to make you have a hybrid.
[00:23:54.758 --> 00:24:00.841]  You know, they keep lying on the news going, this car goes 200 miles an hour on one gallon of gas.
[00:24:00.841 --> 00:24:04.142]  And then they try to do a test and the thing goes five miles and breaks down.
[00:24:04.142 --> 00:24:08.424]  It's a complete lie.
[00:24:08.424 --> 00:24:09.244]  Oh my goodness.
[00:24:09.244 --> 00:24:19.669]  But regardless, they keep mixing in their land grabbing agenda and their taxes on every form of carbon dioxide that plants breathe.
[00:24:19.669 --> 00:24:24.231]  They keep mixing that in with new energy and new technologies and all these good things.
[00:24:25.834 --> 00:24:28.676]  All it is is taxes.
[00:24:28.676 --> 00:24:30.477]  So we'll be going over that.
[00:24:30.477 --> 00:24:35.080]  And of course, you will be paying your taxes to the private IMF and World Bank.
