[00:00.000 --> 00:04.880]  Founder Alex Jones is calling out alleged collusion between Google and Democrats
[04:10.840 --> 04:15.760]  Internal revenue agents will now be authorized to use deadly force
[04:22.600 --> 04:24.600]  You don't want them coming after you
[04:24.600 --> 04:37.560]  They are putting everyone on a list to either be raided or arrested or charged with terroristic threats. That's what they're doing
[04:39.800 --> 04:44.760]  Bottom line, you don't want the IRS coming after you with this or with this
[04:45.720 --> 04:50.120]  They are the kind of accountants that are prepared for anything with the IRS
[04:50.120 --> 04:53.480]  You're under arrest. You're going to jail, buddy
[05:00.440 --> 05:02.840]  DNA force plus
[05:03.800 --> 05:09.560]  After almost a year of being out of stock is now exclusively available at infowarstore.com
[05:10.520 --> 05:17.560]  PQQ and CoQ10 are on record as making the telomeres in your DNA last longer
[05:17.560 --> 05:21.560]  This is as close as the fountain of youth as you're going to get
[05:22.360 --> 05:30.600]  And on top of that this great product funds the info war which defends liberty and freedom and your second amendment and your first amendment
[05:30.840 --> 05:32.840]  And so much more at a critical time
[05:33.640 --> 05:40.200]  So it is a true 360 win-win situation when you go to infowarstore.com and get dna force plus
[05:40.680 --> 05:43.480]  Finally our flagship product back at stock
[05:44.200 --> 05:45.960]  It keeps us on the air
[05:45.960 --> 05:55.080]  And it's going to sell out quick but despite that we're offering it for 50% off at infowarstore.com
[05:55.080 --> 06:17.080]  To support our longtime viewers and listeners and for new folks to take advantage of it
[06:17.080 --> 06:25.640]  Live from Austin, Texas. It's alex jones
[06:29.160 --> 06:33.640]  It's wednesday august 24th of a year is 2022
[06:35.720 --> 06:38.600]  And i told you in the last few years it was coming
[06:39.640 --> 06:41.640]  And i hammered on it
[06:41.640 --> 06:43.640]  And i tried to warn people
[06:43.640 --> 06:49.960]  But trump didn't listen and the poison shot was even more deadly than i thought it would be
[06:51.000 --> 06:53.080]  Even though top scientists predicted everything that happened
[06:53.160 --> 06:55.160]  I found it a little too bold
[06:55.160 --> 06:59.720]  When they tried to put in a regime of forced inoculation worldwide and a worldwide medical ID
[07:00.200 --> 07:05.800]  To be tied to the carbon tax the social credit score and the universal basic income all officially rolled out now
[07:06.840 --> 07:09.480]  I thought they would have a placebo or something
[07:09.480 --> 07:14.600]  Or some of it just didn't do anything so they'd set the precedent and not have any bad effects
[07:15.000 --> 07:18.840]  Instead they went ahead and went right to the nanotech bio weapon
[07:20.120 --> 07:22.600]  And now the democrats are officially coming out
[07:23.320 --> 07:25.320]  I have dozens of articles
[07:25.640 --> 07:32.200]  Saying trump is to blame for the poison vaccine and the vaccine is a poison and the vaccine is killing people
[07:32.200 --> 07:38.520]  Trump absolutely completely and totally has been set up
[07:39.720 --> 07:44.680]  And they were holding the economy hostage telling him that he had to do all this if he didn't ram it through
[07:46.040 --> 07:48.040]  And he rammed it through
[07:48.440 --> 07:51.400]  And now he's like well, you shouldn't kick the military out for not taking it
[07:51.400 --> 07:55.640]  You shouldn't make kids take it in it shouldn't be mandatory. That's good trump, but it's a
[07:56.280 --> 07:57.800]  day late
[07:57.800 --> 07:59.800]  And a lot of lives short
[07:59.800 --> 08:02.040]  There's still time for trump to extricate himself
[08:03.240 --> 08:08.120]  And expose this people say well who cares let him burn. He's getting a lot of good republicans elected
[08:09.160 --> 08:12.840]  He understood the new world order the un he secured the borders. He
[08:14.040 --> 08:17.400]  Stabilized the dollar he made us the number one energy exporter again
[08:18.680 --> 08:20.680]  The enemies of freedom hate trumps cuts
[08:22.200 --> 08:25.160]  And that's what makes it so sad that he wouldn't listen to his
[08:25.160 --> 08:31.720]  Advisors like don jr. Who's been warning him and roger stone has been warning him and i've been warning him
[08:33.320 --> 08:38.920]  Now last week i put on an emergency warning to the president saying you're going to be set up by this and
[08:40.520 --> 08:43.240]  President reached out and said why why are you so upset?
[08:44.920 --> 08:48.360]  And i shot another video over the weekend an emergency message part two
[08:48.840 --> 08:54.920]  Explaining that you're being set up and the left went crazy and thought i was currying favor with disannas or currying favor
[08:54.920 --> 08:58.360]  With trump then i i'm a politico like them i'm not a politico
[08:58.920 --> 09:02.120]  I don't make decisions off of what it does for me
[09:02.840 --> 09:08.440]  I make decisions off what it does to fight for humanity which i'm a part of that's how i operate
[09:09.720 --> 09:13.960]  But both stories went viral tens of millions of views online and helped trigger a bigger debate
[09:13.960 --> 09:19.880]  And that was my point by saying trump i'm done with you if you don't come out against fauci and berks
[09:19.880 --> 09:24.600]  And dazzic and gates now they have set you up
[09:26.040 --> 09:29.160]  And that became really clear right when the vaccine was about to roll out
[09:30.120 --> 09:34.440]  First the democrats roll for it the so-called vaccine and then right as it was about to roll out
[09:35.960 --> 09:38.760]  They're like we don't trust this we don't trust trump
[09:39.000 --> 09:41.000]  We're not taking anything he comes up with
[09:41.640 --> 09:45.800]  And i knew it was all a bunch of democrat deep state people that were actually behind it in the whole history
[09:45.800 --> 09:52.840]  I knew trump had actually killed gain of function studies in 2017 when he got in and actually stopped a lot of fauci's operations
[09:53.320 --> 09:56.600]  So trump did a lot of good things and you know, he ran through monoclonial
[09:57.320 --> 10:00.520]  Antibodies that worked great didn't have any side effects to save a lot of people
[10:00.920 --> 10:03.960]  I had family on the edge of death took it five hours later. They were better
[10:04.680 --> 10:06.200]  literally
[10:06.200 --> 10:08.200]  so
[10:08.680 --> 10:10.680]  It it's a mixed bag
[10:11.080 --> 10:14.360]  But we're going to open the phones up today on this subject because here it is
[10:14.360 --> 10:22.040]  Politico ap all of them trump white house exerted pressure on fda for covid 19 emergency
[10:22.520 --> 10:25.000]  Use authorization house report fines
[10:26.120 --> 10:32.760]  Now of course trump pushed warped speed. That's not a singer, but they're already putting reports out. He's to blame. He's the problem
[10:33.960 --> 10:39.480]  And you've got walensky and berks and redfield and fauci
[10:39.480 --> 10:44.040]  All of them saying it wasn't their fault. It's trumps fault now
[10:45.080 --> 10:47.560]  This is so obvious. We can see this from a mile away
[10:48.920 --> 10:51.000]  And now trump is a sitting duck
[10:51.960 --> 10:53.960]  This is disgusting
[10:53.960 --> 10:57.400]  But the left's gonna have a problem though after they worship the shot as
[10:58.040 --> 11:00.040]  mammon from heaven
[11:01.880 --> 11:06.040]  And now they're gonna flip on a dime and the new thing will be trump killed all these people
[11:06.040 --> 11:09.720]  So it's trumps tree. He's sitting in it
[11:11.160 --> 11:18.360]  Unbelievable trump white house exerted pressure on fda for covid 19 emergency use authorization house report fines. We're gonna hit
[11:19.400 --> 11:21.080]  these reports
[11:21.080 --> 11:23.320]  In a moment, but first there's a short compilation
[11:24.040 --> 11:26.520]  of the democrats pre positioning themselves
[11:27.480 --> 11:30.760]  Right when the vaccine was coming out when trump thought he was about to win reelection
[11:31.160 --> 11:34.200]  And then as soon as he was out then they said that they wanted to make it mandatory
[11:34.200 --> 11:38.760]  And you could see the moves they're making plain as day here it is
[11:39.160 --> 11:45.720]  I think it's going to be a very skeptical american public about taking the vaccine and they should be we can't trust the president
[11:46.440 --> 11:48.440]  and take his word and
[11:48.680 --> 11:53.240]  Take a vaccine that might cause harm to us if and when the vaccine comes
[11:53.560 --> 11:57.640]  It's not likely to go through all the tests that needs to be ended trials that are needed to be done
[11:57.880 --> 12:02.760]  Let's just say there's a vaccine that is approved and even distributed before the election
[12:02.760 --> 12:04.600]  Would you get it?
[12:04.600 --> 12:10.920]  Well, I think that's going to be an issue for all of us when we finally do god willing get a vaccine
[12:11.240 --> 12:13.240]  Who's going to take the shot?
[12:13.240 --> 12:16.280]  Who's going to take the shot? We will need to have access
[12:16.920 --> 12:24.120]  To the vaccine results so we can make our independent assessment to make sure that donald trump's fingerprints are not on it
[12:24.280 --> 12:26.600]  You can be the first one to say put me sign me up
[12:27.320 --> 12:30.120]  They now say it's okay. Is the vaccine safe?
[12:30.120 --> 12:34.840]  Uh, frankly, I'm not going to trust the federal government's opinion
[12:35.560 --> 12:42.840]  And I wouldn't recommend to new yorkers based on the federal government's opinion and the question of whether it's real when it's there
[12:43.160 --> 12:46.680]  That requires enormous transparency. Would you trust that vaccine?
[12:46.840 --> 12:49.560]  There's very little that we can trust that comes out of donald trump's file
[12:49.720 --> 12:54.200]  We cannot take for granted this process will be free of political influence
[12:54.200 --> 13:01.560]  I don't trust the president and I don't trust the FDA if donald trump can't give answers and the administration can't give answers
[13:01.560 --> 13:07.160]  These are questions the american people should not have confidence. You're going to say to the american people now
[13:07.560 --> 13:10.600]  Here's a vaccine. It was new. It was done quickly
[13:11.000 --> 13:17.560]  But trust this federal administration and their health administration that it's safe. I will say that
[13:17.560 --> 13:24.600]  I would not trust donald trump. Hey, how confident are you in the approval process of the FDA right now?
[13:24.840 --> 13:26.360]  How confident am I?
[13:26.360 --> 13:31.080]  Uh, I'm not that confident. Yes, I would be hesitant, but I'm gonna ask a lot of questions
[13:31.480 --> 13:38.840]  You're going to need someone other than this FDA and this cdc saying it's safe
[13:39.240 --> 13:42.520]  You've got to make all of it available to other experts across the nation
[13:43.080 --> 13:44.920]  So they can look and see
[13:44.920 --> 13:50.520]  So there's consensus. This is a safe vaccine. What I'm worried about is that there's some sort of october surprise
[13:50.600 --> 13:55.880]  And that there's a pressure put on the decision makers here to announce the vaccine in october of 2020
[13:56.040 --> 14:04.520]  We're going to put together our own group of doctors and medical experts to review the vaccine and the efficacy and the protocol
[14:05.160 --> 14:10.440]  And if they say it's safe, then i'll go to the people of new york and I will say it's safe
[14:10.440 --> 14:14.920]  But if donald trump tells us I should take that we should take it. I'm not taking it
[14:19.720 --> 14:21.240]  So
[14:21.240 --> 14:23.800]  For one month six months before the election
[14:24.760 --> 14:27.240]  There was an exact talking point that snow and your
[14:27.960 --> 14:30.040]  That's when you know, it's coming right from the new world order
[14:30.680 --> 14:38.120]  There was a word-for-word talking point by all the democrat talking heads and cnn and abc and msnbc and the new york times the washington post
[14:38.120 --> 14:46.120]  That we cannot trust this vaccine and then suddenly they flipped and said not only can you trust it?
[14:46.120 --> 14:48.120]  You should be made to take it just a few months later
[14:49.000 --> 14:51.000]  They were putting that into the record
[14:51.240 --> 14:57.160]  Knowing people don't have a long-term memory on average to then bring it back later as the cover for what they did
[14:57.640 --> 15:01.240]  Trump has a silver lining. He never said it should be mandatory
[15:01.720 --> 15:03.720]  And he never said it should be for children
[15:03.720 --> 15:09.000]  They immediately began to say should be mandatory before he was even removed from office via election fraud
[15:09.880 --> 15:13.400]  Trump needs to release all his communications with these people how they came to him
[15:13.640 --> 15:16.920]  How they recommended warp speed how they said this would get the country going
[15:17.640 --> 15:21.160]  Because we've seen pieces of those communications and we know they did it
[15:21.640 --> 15:26.120]  Then they flipped once he took the bait and set him up set us up
[15:27.880 --> 15:30.520]  If trump listens to me very carefully to be listens to you
[15:30.520 --> 15:37.400]  He'll be able to actually bring these people to justice, but they're intending to bring him down
[15:38.600 --> 15:43.160]  With this hit us with a bio weapon hit us with their bio weapon shot
[15:44.600 --> 15:47.160]  And then turn around and blame it on us their main target
[15:48.840 --> 15:55.080]  This is a big big deal drew her nanos is going to pop in respond to this loss of open phones throughout the broadcast today
[15:55.320 --> 15:57.320]  Stay with us. This is a big big deal
[15:57.320 --> 16:05.000]  People say Alex Jones crazy. He's a conspiracy theory guys a nutcase. You got these rants and all that
[16:06.600 --> 16:08.200]  What they miss
[16:08.200 --> 16:11.960]  Is that this guy's ahead of the curve on so many different topics
[16:12.520 --> 16:14.840]  Of signal not noise if you look at the signal
[16:15.560 --> 16:17.560]  and you compare that
[16:17.640 --> 16:25.240]  To pbs and npr and bbc and we'll do what alex jones put out there versus what your collective body has put out there
[16:25.240 --> 16:29.960]  And if you're a sent the human being and just watching it you say we've got alex jones as a head of this
[16:29.960 --> 16:34.120]  Not only that he kind of explained it. You are one of the great thinkers of this
[16:34.680 --> 16:38.120]  That is very rare. You've got to go back almost to the revolutionary generation
[16:38.760 --> 16:43.400]  And see that in this new book. I got to tell you when tony lions first approached me. I read this thing
[16:43.400 --> 16:46.200]  I go. This is it. This is no beetry
[16:46.760 --> 16:50.360]  You're not going to be flipping pages or you're going to be having a pin out and you're going to be underlying stuff
[16:50.360 --> 16:58.360]  The great reset by alex jones order your copy now at amazon or info or store dot com
[16:59.960 --> 17:01.960]  Sold out for more than six months
[17:02.040 --> 17:04.840]  Our number one best seller is now back in stock
[17:05.320 --> 17:11.240]  Vitamin mineral fusion all the minerals all the vitamins all the key amino acids to turbo charge
[17:11.480 --> 17:14.920]  Your immune system and make your body as healthy as it could possibly be
[17:15.240 --> 17:19.480]  Ladies and gentlemen, this is our best selling product because people love it. We first launched it four years ago
[17:19.480 --> 17:22.600]  I was like, okay, it's another item. It's high quality vitamins minerals. Okay, great
[17:22.840 --> 17:27.320]  People love it because it tastes great and they see the results and it funds the info war
[17:27.720 --> 17:29.720]  So sold out for more than six months
[17:29.960 --> 17:36.360]  Vitamin mineral fusion is now back in stock for a limited time and info or short.com for 40% off
[17:36.600 --> 17:39.160]  Because I want you to experience it. I want you to get it
[17:39.240 --> 17:41.400]  I want to move it out the door and hopefully get more in the future
[17:41.640 --> 17:43.640]  But who knows why same breakdowns?
[17:43.880 --> 17:44.920]  It may not happen
[17:44.920 --> 17:50.200]  So get your vitamin mineral fusion info or short.com today and keep info wars on the air
[17:50.680 --> 17:58.120]  vitamin mineral fusion back in stock 40% off at info wars store dot com vitamin mineral fusion
[18:00.280 --> 18:05.400]  The great reset in the war for the world is the book that the government doesn't want you to read that
[18:05.800 --> 18:10.520]  Most of the big powerful companies trying to control your life the big tech companies
[18:10.520 --> 18:16.360]  They don't want you to read this book. They want to control what you think what you do what you read
[18:16.520 --> 18:22.440]  But you don't want that and alex jones doesn't want that and this book shows you what's happening and gives you
[18:22.680 --> 18:26.840]  The sort of playbook for how to fight against it and so by buying this book
[18:26.920 --> 18:31.560]  You're going to prove that censorship doesn't work that freedom is alive in this country
[18:31.880 --> 18:33.880]  This is essential reading
[18:33.880 --> 18:38.200]  And you know, I would go right now and buy it before the censorship kicks in
[18:38.200 --> 18:43.000]  It's not going to be available in bookstores. It's not going to be available in libraries
[18:43.080 --> 18:48.200]  They're going to try to take it down from every platform that they can but they're not going to be able to do it
[18:48.360 --> 18:52.600]  Prove that censorship doesn't work by the great reset. Thank you, alex jones
[18:52.680 --> 18:58.120]  I really appreciate you having me on and I appreciate you writing this book and getting the information out there
[18:59.720 --> 19:01.320]  Several years ago
[19:01.320 --> 19:07.320]  I approached one of the top companies in the us that supplies the highest quality signature reducing
[19:07.320 --> 19:15.160]  Faraday cages the pentagon and other u.s. government agencies and now they have produced specifically for us this made in america
[19:15.560 --> 19:18.440]  onion line at a very affordable price
[19:18.920 --> 19:25.880]  Whether it's small pouches that protect your cell phone or big pouches that protect laptops and iPads or big bags
[19:26.200 --> 19:29.640]  That promote whatever electronics you want to put in it like desktop computers
[19:29.960 --> 19:33.640]  It is all exclusively available at info warsport.com
[19:34.040 --> 19:36.040]  under the redux name
[19:36.040 --> 19:42.600]  Redux is info wars taking the highest quality products and bringing them directly to you at info warsport.com
[19:42.920 --> 19:44.520]  In this insane world
[19:44.520 --> 19:49.720]  You are crazy if you don't protect your signature your identity from identity theft
[19:50.280 --> 19:58.280]  Hackers criminals corporations governments. This is one of the hottest items out there today. That's exclusively available at info warsport.com
[19:58.280 --> 20:06.440]  Leading a frontal assault on the lies of the new world order. It's alex jones
[20:16.280 --> 20:19.080]  Your phone calls coming up. I'll give the toll free number out in a moment
[20:20.920 --> 20:23.800]  For a very critical reflection point right now, please
[20:23.800 --> 20:28.680]  Pay attention info wars tomorrow's news today
[20:38.440 --> 20:41.320]  So I know pr when I see it
[20:42.520 --> 20:46.360]  I know pre-programming when I see it and once you're conscious of the enemy's operations
[20:47.080 --> 20:49.560]  What they're gonna pull what they're gonna do it becomes crystal clear
[20:49.560 --> 20:55.480]  It's all I knew that they were starting a war with russia and ukraine over the last eight years
[20:56.120 --> 20:58.120]  it's coming to a head
[20:58.520 --> 21:00.200]  and
[21:00.200 --> 21:02.440]  I looked up when the snow
[21:03.320 --> 21:05.320]  on the ice melts in ukraine
[21:05.720 --> 21:11.800]  Then I called up some of my sources that I knew were already over in that area leave it at that
[21:13.000 --> 21:15.560]  And I said I think they're not being invasion
[21:16.680 --> 21:18.360]  other russians
[21:18.360 --> 21:20.360]  They said yeah by the end of february
[21:21.000 --> 21:25.160]  I came on air and told you that but I didn't need those sources
[21:28.760 --> 21:30.760]  To be able to tell you that
[21:31.800 --> 21:35.800]  I mean these are the people over there training ukranians how to shoot down russian helicopters
[21:36.760 --> 21:40.520]  When I got up here on air and I told you that was coming it wasn't it wasn't pulled out of the air
[21:42.120 --> 21:43.880]  now sometimes
[21:43.880 --> 21:49.480]  The globalists are planning something and we talk about it to try to stop it and they change their plan then we're wrong
[21:51.080 --> 21:53.080]  That's why we're only 95 accurate
[21:55.080 --> 22:00.520]  And a lot of the things that we think we've been wrong about later. It turns out we were right about and I'm not saying that
[22:01.240 --> 22:03.240]  To say oh, I'm smart
[22:03.240 --> 22:10.680]  Once you know the new world order and you've got all the deep state and all the democrat leaders invested in the poison shots and bill gates involved
[22:10.680 --> 22:17.880]  And they come to trump and say we can't ever end the lockdown because it won't be a vaccine unless you do this accelerated program
[22:19.000 --> 22:21.960]  And they don't criticize him when he first announces it
[22:23.640 --> 22:27.320]  And then right before it comes out they go he's to blame when it hurts everybody
[22:29.400 --> 22:31.800]  And the talking points the exact same script
[22:33.560 --> 22:38.520]  Just like worldwide they use the build back better in the great reset. It's a campaign slogans
[22:38.520 --> 22:43.800]  It's a campaign slogans. It's a global new world order corporate fascist party
[22:45.720 --> 22:50.520]  A play a short clip though trump's done this hundreds of times from the beginning saying you shouldn't be made to take it
[22:51.640 --> 22:54.280]  And things along those lines. So that's a saving grace
[22:55.000 --> 23:00.120]  Because remember it's the democrats that tried to make everybody take it and in many places like healthcare
[23:00.120 --> 23:05.560]  They did and across the world. They're beating people up and taking them to jail that leave their houses and haven't had it
[23:05.560 --> 23:09.560]  But it's like italy and australia and austria
[23:12.200 --> 23:13.400]  It's incredible
[23:13.400 --> 23:20.600]  But now there's a house report that it was trump made them put out the experimental shot and there's serious concerns about it now
[23:22.440 --> 23:25.640]  Oh, no concerns for fiser or maderna or bill gates
[23:28.520 --> 23:30.520]  No
[23:30.520 --> 23:34.280]  It's all trumps fault and it is kind of trumps fault
[23:34.280 --> 23:36.280]  Well, he walked
[23:37.080 --> 23:39.080]  Right into
[23:39.480 --> 23:41.480]  The trap
[23:43.000 --> 23:45.000]  Absolutely walked right
[23:45.320 --> 23:49.880]  In to the trap and i'm not trying to throw the baby out with the bath water here
[23:50.840 --> 23:53.720]  The new older hates trump. They want to take him out. That's why they set him up with this
[23:55.080 --> 23:57.240]  When open the phones up then what do we do?
[23:58.600 --> 24:00.760]  And you had to stand us early on went along with it too
[24:00.760 --> 24:05.640]  He just was smart enough to figure it out and started to remove himself from it the last year and a half
[24:06.520 --> 24:09.480]  Boys trump would have done that but now that he knows all this
[24:10.120 --> 24:12.120]  And isn't doing anything
[24:13.320 --> 24:18.280]  He goes from somebody we can forgive like balsam aros never really pushed it but he let him do it
[24:18.600 --> 24:23.480]  We apologized six months ago and again a month ago and said i am so sorry. I'm proud of my life
[24:23.880 --> 24:25.720]  I'm proud of the work i've done
[24:25.720 --> 24:27.320]  I never tried to hurt you on purpose
[24:27.320 --> 24:31.400]  But i should have opposed this completely this damn thing doesn't work and it hurts people
[24:31.560 --> 24:36.760]  And we should bring the justice those that are for trying to force it and they've got the un and his own supreme court
[24:37.160 --> 24:41.000]  Trying war crimes on him for opposing the shot being mandatory
[24:43.320 --> 24:46.840]  Truth is trump took fiser money. They were one of his biggest donors
[24:46.840 --> 24:56.040]  And they scripted it all where trump would be the hero
[24:58.280 --> 25:01.880]  Look at these headlines. Well first, let's play the club of trump saying it should be mandatory
[25:03.160 --> 25:10.200]  Do you mean a fully approved vaccine for everyone the full public or a partially approved vaccine with emergency use?
[25:10.280 --> 25:15.960]  Now we're looking for a full vaccine for everyone that wants to get it not everybody's gonna want to get it
[25:15.960 --> 25:20.200]  But we're looking at a full vaccine. Is that a correct statement? Yeah, we'll please
[25:21.880 --> 25:25.320]  So the answer is the answer is yes, we're working for a fully approved vaccine
[25:25.400 --> 25:29.320]  But we'll also use the tools we have for instance emergency use authorization
[25:29.880 --> 25:37.240]  As as appropriate we use all of our regulatory tools to bring vaccine available for the entire american population by january
[25:39.320 --> 25:44.040]  Unbelievable the devil speak fully approved for emergency use meaning not fully approved
[25:44.040 --> 25:46.040]  It's a little word games right there
[25:46.840 --> 25:48.840]  Decepticon activity
[25:50.040 --> 25:52.040]  So trump's in a pickle
[25:52.440 --> 25:54.840]  Because the wheels are coming off if you read the spars
[25:55.720 --> 26:01.880]  2025 2028 document that's really a battle plan blueprint for attack like a bank robber plan
[26:02.520 --> 26:05.800]  But set years in the future, but it's really in the year 2020
[26:06.520 --> 26:07.880]  2023
[26:07.880 --> 26:10.200]  by the middle of the second year
[26:10.200 --> 26:17.560]  Of the vaccine rollout. They admit it doesn't help you and hurt you and then leaders get blamed and get in trouble for it
[26:19.080 --> 26:22.760]  And there's a whole un overhaul of medicine to make sure it never happens again
[26:23.320 --> 26:25.400]  It has hundreds of tweets in it
[26:26.120 --> 26:31.480]  That then later this was a year before they released the virus. They actually used on twitter
[26:32.760 --> 26:36.920]  The wef the un word for word. They just changed the acronyms
[26:36.920 --> 26:40.520]  So you just open the blueprint up every day and it tells you what you do today
[26:41.320 --> 26:43.320]  It tells you what you do tomorrow
[26:44.200 --> 26:51.160]  It's like our air force the strategic air command with the bg-2s. They train on flying into russia and dropping
[26:52.040 --> 26:55.480]  hydrogen bombs and launching hydrogen bomb tip cruise missiles
[26:56.360 --> 27:02.600]  And they have battle plans. They have war games and those war games are what they'll actually do when they launch an attack
[27:02.600 --> 27:07.320]  Well spars 2023 20 25
[27:08.840 --> 27:10.600]  2026
[27:10.600 --> 27:14.920]  Is an actual battle plan so the people carrying it out can go? Oh, no
[27:15.960 --> 27:22.520]  FBI if they did their job or others. Oh, no, I just have this war game. We're not actually doing it
[27:23.880 --> 27:29.160]  But just like with the nuclear forces the war game for the submarines and the aircraft and the missile silos
[27:29.160 --> 27:37.160]  Is the exact attack profile where they tell the submarine captains and they tell the bg-2 captains and they tell the
[27:39.080 --> 27:41.080]  Intercontinental ballistic missile commanders
[27:43.400 --> 27:46.280]  Launch plans seven four nine eight three six delta
[27:47.000 --> 27:50.520]  Let's pull up that plan. All right primary targets initiate program
[27:50.520 --> 27:59.480]  Turn keys launch
[28:00.040 --> 28:02.040]  That's the same thing here
[28:02.040 --> 28:04.040]  It's a damn
[28:04.040 --> 28:05.640]  playbook
[28:05.640 --> 28:09.640]  And you can capture your enemies playbook and not know what play they're gonna play when it's worse than a playbook
[28:09.720 --> 28:11.720]  It's a choreographed script
[28:12.360 --> 28:14.680]  Like a shakespearian play these war games
[28:14.680 --> 28:21.960]  And if they do this we do that and if we do this they do that and if this country comes in we do that
[28:22.840 --> 28:25.480]  And they thought 30 40 moves out and i'm sitting there
[28:25.720 --> 28:31.160]  We do a three hour analysis of it the former head of defense intelligence agency reads it and says this is real
[28:31.400 --> 28:33.560]  This is the battle plan. This is what they launched
[28:34.840 --> 28:40.840]  Now he can't tell you all the classified stuff he knew or how he stopped trump from authorizing the release of this stuff in china
[28:41.080 --> 28:43.080]  in 2017 general flin
[28:43.080 --> 28:47.880]  But he can say watch what jones says. This is their plan
[28:49.480 --> 28:55.240]  I don't need classifications to be the head of the defense intelligence agency to see the enemy operation. It's all completely clear to me
[28:55.800 --> 28:57.800]  Stay with us
[28:59.560 --> 29:01.560]  The cavalry
[29:01.560 --> 29:03.560]  For your immune system
[29:03.560 --> 29:11.560]  The cavalry for your health and the cavalry to keep info wars on the air with funding has now arrived a 360 win
[29:11.560 --> 29:13.560]  almost sold out for a year
[29:14.200 --> 29:20.600]  DNA force plus with the pqq and the coq 10 and all the patented documented
[29:22.040 --> 29:23.640]  super ingredients
[29:23.640 --> 29:29.800]  To completely turbo charge your immune system and your body is finally back in stock and
[29:30.440 --> 29:32.200]  Despite the fact it's going to sell out quick
[29:32.280 --> 29:37.880]  I want those of you that haven't experienced it to get it and I want long-term supporters to experience it as well
[29:37.880 --> 29:41.880]  So it is 50% off out of the gates for a limited time
[29:42.360 --> 29:49.080]  DNA force plus finally back in stock at info wars store.com for 50% off
[29:49.640 --> 29:52.600]  Ladies and gentlemen, this is a symbiotic relationship
[29:53.480 --> 29:58.680]  Supporting info wars defeats the globalist and this product does amazing things for your body. Take action now
