[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[15:13.000 --> 15:25.000]  So it's going to have to all come out. You know, your child doesn't care about the trash, doesn't do the right thing, so you take away extra allowance and then they don't do that, so you ground them.
[15:25.000 --> 15:36.000]  They don't do that. You got to get serious. You're going to go to military school. I'm going to sign your ass up, ship you off. You get your ass in gear right now.
[15:36.000 --> 15:45.000]  You see, it's the same thing. We're sitting here going land. Listen, we're not going to stop. You're not stopping. And we got the goods on you. You don't have crap.
[15:45.000 --> 15:59.000]  So there are only hopes killing the president. That's the bottom line. We'll be back. This is the info war. Spread those links, spread those articles, spread the live feeds until folks like local stations. It's an act of rebellion.
[15:59.000 --> 16:09.000]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you? I've defended people from the IRS for over 30 years. I've helped thousands and I can help you too.
[16:09.000 --> 16:21.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case. Call 800-34-NO-TAX to finally get free of IRS debt. With the IRS's new programs, there's never been a better time to solve your problem.
[16:21.000 --> 16:28.000]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[16:28.000 --> 16:39.000]  The answer to being in control of your own health care is freedom from insurance. Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[16:39.000 --> 16:46.000]  Individual share amounts begin at $107 a month and $347 for families. Choose from three health sharing programs.
[16:46.000 --> 16:58.000]  Polistic treatments may be eligible for sharing. See guidelines. Discount programs available for dental, vision, and pharmacy. Go to libertyoncall.org. That's libertyoncall.org.
[17:16.000 --> 17:22.000]  Here, how heart and body extract is making a difference in thousands of people's lives across America.
[17:22.000 --> 17:26.000]  My blood pressure has normalized. My diabetes has totally improved.
[17:26.000 --> 17:33.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[17:33.000 --> 17:41.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[17:41.000 --> 17:52.000]  This is your two-month supply today by calling 866-295-5305. That's 866-295-5305 or order online, hbextract.com.
[17:52.000 --> 18:19.000]  And body extract 866-295-5305 or hbextract.com.
[18:23.000 --> 18:29.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at infowarslife.com.
[18:29.000 --> 18:36.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[18:36.000 --> 18:43.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[18:43.000 --> 18:48.000]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[18:48.000 --> 18:58.000]  It's available in original or with our immune support infusion blend. You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[18:58.000 --> 19:00.000]  Available at infowarslife.com.
[19:00.000 --> 19:17.000]  I want to plow into all of this, but I'm going to spend a few minutes here first just encouraging listeners to understand that when you buy t-shirts or water filtration systems or books or videos or other material from infowarstore.com,
[19:17.000 --> 19:22.000]  you are funding the revolution. I mean, I cannot say it any clearer.
[19:22.000 --> 19:26.000]  And so it is essential that you purchase the products at infowarstore.com.
[19:26.000 --> 19:33.000]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[19:33.000 --> 19:35.000]  You cannot beat that for children and adults.
[19:35.000 --> 19:38.000]  We've got the best mouthwash designed by Dr. Jones.
[19:38.000 --> 19:40.000]  That's my dad with colloidal silver and iodine as well.
[19:40.000 --> 19:52.000]  infowarslife.com or AAA-253-3139. And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[19:52.000 --> 20:11.000]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[20:23.000 --> 20:45.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the infowar.
[20:45.000 --> 20:53.000]  Welcome back. I am your host, Alex Jones. It is Monday, the fifth day of February 2018.
[20:53.000 --> 21:01.000]  Later in the shower, I'm going to drill back into the memos that the Democrats want to put out their own memo.
[21:01.000 --> 21:11.000]  You've got Nunes saying he's got five more big memos that absolutely devastate Comey, Mueller, and the rest of them.
[21:11.000 --> 21:27.000]  And of course, I covered yesterday, multiple congressmen have come out now and called for criminal indictments against Comey, Rosenstein, McCabe, and others,
[21:27.000 --> 21:39.000]  because they've been caught in the text messages and in the memos and in the communiques saying it's political, saying it's to stop Trump, saying it's to stop him in the election,
[21:39.000 --> 21:51.000]  then to remove him once he's president and elect, and lying to the FISA court and not telling them that it was politically motivated or where the money for the so-called investigation came from.
[21:51.000 --> 22:05.000]  That is serious fraud upon the court, that is serious fraud upon the American people. Representative Paul Gosser calls for criminal prosecution of former top FBI DOJ officials after release of Nunes memo.
[22:05.000 --> 22:15.000]  The Republican from Arizona has a lot of courage, so we're going to be getting to that as well.
[22:15.000 --> 22:28.000]  But that said, I look at all of this news in front of me, and I wanted to just let you know some of the other news that's going to be coming up that I will cover today.
[22:28.000 --> 22:44.000]  The Islamist behavior is sickening, and to watch the Islamist wedded to George Soros and the universities and the modern leftist systems and modern leftist countries and cities,
[22:44.000 --> 22:54.000]  and to watch them allowed to commit unspeakable crimes with wanton abandon, and to see it covered up and protected,
[22:54.000 --> 23:07.000]  and then to see the parallel where illegal aliens could shoot a woman in the back, have been deported five times, and the jury virtue signals it doesn't even give the guy manslaughter.
[23:07.000 --> 23:09.000]  Think about that.
[23:09.000 --> 23:19.000]  And you see these cases constantly, you see the case coming up after the break of the cults at when Jackson star running back, reportedly killed by an illegal alien,
[23:19.000 --> 23:31.000]  and the media won't even say he's an illegal alien. The Indianapolis star talked to police, they know the guy's name, they know how many times he was deported, they know everything.
[23:31.000 --> 23:34.000]  But all the rest of the media can't even get it right.
[23:34.000 --> 23:43.000]  Conservative media, the Washington Times, says he's an illegal alien from Mexico. No, he's from Guatemala.
[23:43.000 --> 23:52.000]  That's why I go to the local paper, because they can get there on the ground and actually check the records, not just make stuff up like national media does so many times.
[23:52.000 --> 24:05.000]  It's really incredible, but NFL.com, ESPN, Huffington Post doesn't even say that the guy was from another country.
[24:05.000 --> 24:19.000]  He says, oh, the Indianapolis man, the Indianan, it's like what you see an Islamist who just got in the country a month before, runs over 50 people, 100 people, 200 people, 300 and something, ran over, was 100, whatever, killed.
[24:19.000 --> 24:27.000]  And they say, oh, the Frenchman ran them over, the German man ran them over, yes, the German.
[24:27.000 --> 24:35.000]  Under that political correctness, if I went to China, got in a delivery truck, ran over a couple hundred people, including children, and imagine they'd sell the news.
[24:35.000 --> 24:44.000]  A Chinese man, no, it'd be a crazy American, came over to China, stole a delivery truck, and ran over a couple hundred people.
[24:44.000 --> 24:56.000]  It'd be a big novelty, it'd be a big story. You know, like when you get two weird mentally ill Christians, and they've got dozens of children, some 23 years old, living in feces,
[24:56.000 --> 25:01.000]  Christians, Christians, Christians, homeschoolers, homeschoolers, homeschoolers, you're all guilty.
[25:01.000 --> 25:13.000]  Well, if Christians are all guilty, then we should at least know if it's an illegal alien or a Muslim, shouldn't we, but no, no, we're going to beat it over your head.
[25:13.000 --> 25:21.000]  So here it is, without even looking today, there's just stacks of this crud.
[25:21.000 --> 25:27.000]  Paris Massacre Terrorist complains about Islamophobia, claims Muslims are mistreated.
[25:27.000 --> 25:36.000]  Paul Joseph Watson in FullWars.com. Somewhere, someone is playing the world's smallest violin.
[25:36.000 --> 25:47.000]  Paris Massacre Terrorist Salah Abd Salam, the man who helped Jihadist butcher hundreds of people, is now complaining about Islamophobia.
[25:47.000 --> 25:53.000]  He's on trial for the shootout he and Belgian police officers had after the November 13, 2015 attack.
[25:53.000 --> 26:03.000]  He is not expected to stand trial for his role, and the Paris Massacre, including 130 people who were killed, and 368 that were injured in the Islamic attack, just like Vegas.
[26:03.000 --> 26:15.000]  The Belgian-born French national Moroccan descent is accused of driving with terrorists at their target locations and helping them manufacture explosives.
[26:15.000 --> 26:26.000]  28-year-old said Muslims were judged and treated in the worst ways mercilessly and said he was placing his trust in Allah before the judge, and he went on into Islamophobia and the rest of it.
[26:26.000 --> 26:34.000]  So there you get it. Hey, I only helped kill 130-something people and injured 368.
[26:34.000 --> 26:38.000]  But you know what? You deserve it because you didn't kiss my ass good enough.
[26:38.000 --> 26:45.000]  That's all they do in Europe is just run around worshipping hordes of military-age men.
[26:45.000 --> 26:59.000]  I got another article here today. Britain is the destination for Islamists from all over the world because it has the highest welfare, the most open arms, and lets them have radical imams calling for the overthrow of England.
[26:59.000 --> 27:08.000]  And there's quotes, and now British schools are saying we just may make all the kids wear burqas.
[27:08.000 --> 27:16.000]  Isn't that just darling? Here's another one. More than 5 million third world migrants entered Europe since 2011. Yeah, it's 10 million total.
[27:16.000 --> 27:25.000]  And it goes on. Voice of America. People say I'm Russian control. Sometimes I link to Russian articles. Well, here's Voice of America we link to. It must be run by the CIA.
[27:25.000 --> 27:38.000]  The latest figures from the European asylum office reveal the period between 2011 to 2017, 5,136,000 plus migrants have entered Europe, and they're almost all men.
[27:38.000 --> 27:54.000]  There's another one. German politicians alarmed at the scale of anti-Christian hate attacks, attacks on churches, and Christian symbols accounted for a quarter of the 97 documented cases and attacks on Christians have doubled worldwide,
[27:54.000 --> 28:05.000]  even according to the UN in the last three years. Meanwhile, UK-based EMOM performs Islamic exorcism on screaming burqa clad woman, spits on her, and smashes a table on her head.
[28:05.000 --> 28:20.000]  And then there's this footage of women's fight club that they put all over the British news like it's a great thing, and it's a bunch of women screaming like toddlers and rolling around basically urinating on themselves.
[28:20.000 --> 28:33.000]  And it's advertised as the avant-garde thing to do and they all about how oppressed they are and how hellish it is. It turns out most of them are filthy rich, triple-barreled people worth hundreds of millions,
[28:33.000 --> 28:48.000]  running around screaming and bitching and Paul breaks down to the real feminist are worldwide will play that key report straight ahead and tie it into how similar it is to the Islamic woman wearing a full beekeeper suit with the worst acting I've ever seen acting like she's possessed.
[28:48.000 --> 28:55.000]  I'm not saying you can't have real possessed people. I've seen it. It looks like Linda Blair. This lady ain't it. We'll be back. Stay with us.
[29:19.000 --> 29:28.000]  My pillow will get you into that deep REM sleep faster and you will stay there longer. It's not about how much time we spend in bed. It's about how much of that quality sleep we get.
[29:28.000 --> 29:38.000]  I do all of my own manufacturing right here in the United States. I have a 10-year warranty. You can wash and dry my pillow and I give you a 60-day money back guarantee so you have nothing to lose.
[29:38.000 --> 29:50.000]  And here's my best opera ever. You can buy one of my pillows and get one absolutely free. Go to MyPillow.com or call 800-870-0305 and use promo code GCN.
[29:50.000 --> 30:08.000]  That's MyPillow.com or 800-870-0305 with promo code GCN.
[30:20.000 --> 30:24.000]  Sign up for AutoShip because we hold back a surplus for AutoShip customers.
[30:24.000 --> 30:29.000]  Number three, we're giving you free shipping on all orders above $50.
[30:29.000 --> 30:35.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[30:35.000 --> 30:39.000]  Just go to InfoWarsStore.com, select your favorite product or products.
[30:39.000 --> 30:43.000]  Click on AutoShip and choose how often you want us to send you another order.
[30:43.000 --> 30:50.000]  As you know, I coined the term 360 win and with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[30:50.000 --> 30:56.000]  10% off on AutoShip. Win, win, win at InfoWarsLife.com. Free shipping on orders above $50.
[30:56.000 --> 31:00.000]  And all out of stock items are never out of stock when you sign up for AutoShip.
[31:00.000 --> 31:04.000]  InfoWarsLife is bringing you a breakthrough in modern medicine.
[31:04.000 --> 31:09.000]  We have found an extraordinary new natural way to help alleviate seasonal distress symptoms including
[31:09.000 --> 31:15.000]  promoting clear nasal and sinus passageways, eye comfort, and respiratory health and normal breathing.
[31:15.000 --> 31:17.000]  This is pollen block.
[31:17.000 --> 31:23.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms
[31:23.000 --> 31:30.000]  experienced less seasonal distress symptoms like running nose, itchy watery eyes, and excessive mucus production.
[31:30.000 --> 31:34.000]  They began studying the effects in their published trials.
[31:34.000 --> 31:42.000]  Now we are introducing the fruit of the research, a fast-acting chewable tablet, just two tablets at the first sign of seasonal distress,
[31:42.000 --> 31:48.000]  and fast-acting pollen block starts working in about 15 minutes to help alleviate seasonal distress.
[31:48.000 --> 31:56.000]  Enjoy the air you breathe naturally with fast-acting pollen block available now at InfoWarsLife.com or by calling toll 3.
[31:56.000 --> 32:02.000]  Triple A 253-3139. Frank in North Carolina, thanks for holding so long. Go ahead.
[32:02.000 --> 32:09.000]  I just have to say something, man. It seems like every time I turn on your broadcast, you're bragging. It just gets old, man.
[32:09.000 --> 32:17.000]  I'm going to shut you down right now. We're taking calls about your nomination. Do you understand they're having congressional hearings
[32:17.000 --> 32:24.000]  trying to shut us down? Do you understand I'm ringing the alarm? If that was happening to anybody else, I'd be freaked out.
[32:24.000 --> 32:28.000]  I mean, what's it going to take? Us being shut down? Is that what you want, Frank?
[32:28.000 --> 32:34.000]  You know what, Alex? I'll put him on pause again. Hey, Frank, do you understand it's not bragging to say
[32:34.000 --> 32:40.000]  we are the tip of the spear, we're under attack, we need your help. As much begging as I do, we can barely pay the bills
[32:40.000 --> 32:45.000]  and grow in the face of this. I'm not going to just stop growth and let them start pushing us backwards.
[32:45.000 --> 32:49.000]  You understand I need your help, Frank? I need your help, Frank.
[32:49.000 --> 32:55.000]  Go to InfoWarsStore.com right now and help fund the InfoWars.
[32:55.000 --> 33:00.000]  Do you understand I need your help, Frank? Free Press needs your help, Frank.
[33:25.000 --> 33:37.000]  Crashing through the lies and disinformation, it's Alex Jones.
[33:55.000 --> 34:04.000]  You're looking at an Imam on national television. This is broadcast in England. This is very
[34:04.000 --> 34:05.000]  important.
[34:05.000 --> 34:18.000]  You're looking at an Imam on national television. This is broadcast in England. This is very
[34:18.000 --> 34:19.000]  important.
[34:19.000 --> 34:26.000]  You're looking at an Imam on national television. This is broadcast in England. This is very popular.
[34:26.000 --> 34:34.000]  In his little military outfit with his mind control slave, this woman who has full hoods
[34:34.000 --> 34:37.000]  overhead, we can't even see her eyes.
[34:37.000 --> 34:42.000]  And then he screams at her and spits on her and hits her. And it goes on and on.
[34:42.000 --> 34:47.000]  We'll come back to him spitting on her and hitting her in a moment.
[34:47.000 --> 34:53.000]  But this is the total fruitcake lunacy that is dominant Islam. And you can argue there's
[34:53.000 --> 34:57.000]  been periods in Islam where it was not like this in many areas and was actually quite productive.
[34:57.000 --> 34:59.000]  There were some golden eras.
[34:59.000 --> 35:05.000]  No, this is Orthodox Islam and they argue that this is their reformation.
[35:05.000 --> 35:10.000]  Because Christianity had some issues the way it was being played out in the dark ages to
[35:10.000 --> 35:11.000]  suppress people.
[35:11.000 --> 35:15.000]  So we had a bunch of wars and other things in Europe that killed millions.
[35:15.000 --> 35:17.000]  And that then led to the Reformation.
[35:17.000 --> 35:21.000]  And there were other big wars to exterminate Protestants and then Protestants would kill
[35:21.000 --> 35:27.000]  Catholics and on and on and on to what we have is the reformed Christian church today
[35:27.000 --> 35:30.000]  that you could argue is a lot more like what Jesus Christ taught.
[35:30.000 --> 35:32.000]  A lot of it's sold out in establishment as well.
[35:32.000 --> 35:36.000]  But if you go back to the dark ages, if they caught you gathering herbs because it would
[35:36.000 --> 35:40.000]  make your child not die of the bubonic plague, they would burn you at the stake.
[35:40.000 --> 35:45.000]  Because a man or a woman wasn't supposed to know any knowledge, only the people on the castle.
[35:45.000 --> 35:51.000]  And that's what Islam has turned into is a total suppression system and it needs a reformation.
[35:51.000 --> 35:56.000]  And it oppresses its main target other Muslims, which then governments bring in by the millions
[35:56.000 --> 36:04.000]  and let the Muslims sit on top of his political blocks that will vote 100% as they're told by their
[36:04.000 --> 36:10.000]  emoms. That's why the authoritarian left loved them so much.
[36:10.000 --> 36:15.000]  And I was covering some of this earlier, but Paris massacre terrorists who helped reportedly
[36:15.000 --> 36:23.000]  kill over 130 people and entered 368 says he's upset about Islamophobia and Muslims being mistreated.
[36:23.000 --> 36:25.000]  And then it continues here.
[36:25.000 --> 36:30.000]  More than 5 million third world immigrants entered Europe since 2011, almost all Muslims.
[36:30.000 --> 36:35.000]  German politicians alarmed at scale of anti-Christian hate attacks.
[36:35.000 --> 36:40.000]  And what I just mentioned from Breitbart, UK based, Emon performs Islamic exorcism on screaming
[36:40.000 --> 36:43.000]  burka-clad woman in Sheffield Mosque.
[36:43.000 --> 36:48.000]  And I saw this, Paul Watson, by the way, from Sheffield in North England.
[36:48.000 --> 36:49.000]  He lives in London now.
[36:49.000 --> 36:55.000]  And it made me think of Paul's video yesterday that shows what they call Women's Fight Club.
[36:55.000 --> 37:01.000]  The video is a must-see of your radio listener. It's posted at Real Alex Jones on Twitter
[37:01.000 --> 37:07.000]  and Prison Planet, Paul Watson's Twitter, and of course at newswars.com and infowars.com.
[37:07.000 --> 37:15.000]  And I thought that we would just preface that and then go to the video itself because the temper tantrum
[37:15.000 --> 37:21.000]  screeching is much like the bizarre mental illness theatrical display we're seeing from the poor woman
[37:21.000 --> 37:25.000]  that you can bet your bottom dollar has had her genitals cut off.
[37:25.000 --> 37:31.000]  And so Paul, in this important video, breaks down what's really happening here.
