[00:00:04.735 --> 00:00:06.256]  It is Wednesday.
[00:12:48.430 --> 00:12:59.448]  And clear reference to me, and then another caller calls in and says, well they do put all the Planned Parenthood in the minority neighborhoods.
[00:13:00.464 --> 00:13:04.848]  And oh, PrisonPlanet.com, yes, they want to kill all the blacks!
[00:13:04.848 --> 00:13:06.891]  Planned Parenthood wants to get you!
[00:13:06.891 --> 00:13:08.572]  Ha ha ha ha ha ha!
[00:13:08.572 --> 00:13:09.713]  Listen, it's not funny.
[00:13:09.713 --> 00:13:20.684]  It's on record that Margaret Sanger gave awards to Hitler, got awards from Hitler, that Hitler quoted her in speeches, mentioned the eugenicist above her, in Mein Kampf, my struggle.
[00:13:21.505 --> 00:13:37.951]  It is a fact the Cold Springs Harbor Research Institute, run by IBM then, and run by IBM and the federal government today, and the human genome, is four eugenics on record to figure out how to kill, race specifically, each and every one of us, on record!
[00:13:37.951 --> 00:13:38.591]  Currently!
[00:13:41.590 --> 00:13:44.393]  And you got people that think it's funny.
[00:13:44.393 --> 00:13:50.200]  This isn't funny that we're being gang-raped by offshore banks, that they've stolen $14.8 trillion.
[00:13:50.200 --> 00:13:57.990]  It isn't funny they got abortion mills in every black and Hispanic area of the country.
[00:13:57.990 --> 00:14:00.613]  It isn't funny that all of this is going on.
[00:14:02.284 --> 00:14:05.906]  You see, these good old boys think they're part of the system.
[00:14:05.906 --> 00:14:07.007]  They think they're the winners.
[00:14:07.007 --> 00:14:09.169]  They think they're protected from all of this.
[00:14:09.169 --> 00:14:14.092]  And then I heard a woman calling right after them, going, yeah, I think we got too many minorities.
[00:14:14.092 --> 00:14:14.812]  And she was serious.
[00:14:14.812 --> 00:14:17.034]  She said, I'm glad they're killing them.
[00:14:17.034 --> 00:14:17.974]  You see that?
[00:14:17.974 --> 00:14:18.475]  Stupid!
[00:14:19.727 --> 00:14:24.070]  Your fat soccer mom thinks she's part of the establishment.
[00:14:24.070 --> 00:14:25.891]  She's a eugenicist.
[00:14:25.891 --> 00:14:26.712]  You can run into them.
[00:14:26.712 --> 00:14:30.034]  I get their emails and their calls and I've had them snidely say stuff to me.
[00:14:30.034 --> 00:14:33.437]  You know, if you go to a school function or something.
[00:14:33.437 --> 00:14:36.199]  They say, well there are too many people, Alex.
[00:14:36.199 --> 00:14:39.361]  Well listen here, know-it-all control freak.
[00:14:39.361 --> 00:14:40.462]  Kill yourself then.
[00:14:42.438 --> 00:14:51.341]  Don't sit there in the minority neighborhoods and tell 17-year-old pregnant girls, if you'll have an abortion, we'll drop this marijuana charge on you.
[00:14:51.341 --> 00:14:54.042]  And that's what goes on coast to coast.
[00:14:54.042 --> 00:14:57.883]  I got one in the news today.
[00:14:57.883 --> 00:15:01.764]  And I don't like them killing all the poor whites kids either.
[00:15:01.764 --> 00:15:07.066]  You see, once you accept that humans are bad and that we're a parasite, that's the conventional knowledge.
[00:15:07.066 --> 00:15:09.307]  I even heard Ventura say that the other day on the show.
[00:15:10.792 --> 00:15:20.776]  Once you accept that, you accept total and complete absolute despotism and tyranny.
[00:15:20.776 --> 00:15:33.661]  The truth is they're blocking the clean technologies that could allow populations to continue to grow and that we could be colonizing space and giving humans goals, things that humans need in societies.
[00:15:33.661 --> 00:15:37.142]  Instead, the elites have decided to mesmerize the population with entertainment
[00:15:38.110 --> 00:15:51.923]  And, incrementally, with soft-kill weapons, camouflaged through the military-industrial Big Pharma medicine complex, soft-kill almost all of us that are alive today.
[00:15:51.923 --> 00:15:54.806]  And it's already going on, hardcore.
[00:15:54.806 --> 00:15:58.929]  And I'm sorry this isn't thumb-sucking UT football.
[00:15:58.929 --> 00:16:03.233]  I'm sorry it's not thumb-sucking, riding around on your motorcycle, acting tough.
[00:16:04.286 --> 00:16:09.931]  I'm sorry it isn't the image of strutting around the bar acting manly.
[00:16:09.931 --> 00:16:15.315]  If you're a real man, you've got to gut up and face the facts of what we're in and deal with it!
[00:16:17.130 --> 00:16:20.891]  But as the elites say, you won't deal with it, so you deserve to die.
[00:16:20.891 --> 00:16:35.634]  Well listen, I don't deserve to die, and my family doesn't deserve to die, and there's a lot of dumbed down, poisoned, stupid people out there who don't deserve to die, and the evil that's being set up is going to lead to the irrevocable destruction of our species.
[00:16:35.634 --> 00:16:39.655]  The damaging of it, bare minimum, is already going on.
[00:16:39.655 --> 00:16:41.355]  And I'm not putting up with it.
[00:16:41.355 --> 00:16:43.796]  I'm not going along with this science experiment.
[00:16:43.796 --> 00:16:44.316]  You got me?
[00:16:47.850 --> 00:16:52.813]  Now that leads me to this next point.
[00:16:52.813 --> 00:16:57.755]  Earth, 2100, the end of civilization.
[00:16:57.755 --> 00:17:00.877]  This reportedly has been airing in multiple parts on ABC.
[00:17:00.877 --> 00:17:01.878]  I've seen clips of it.
[00:17:03.061 --> 00:17:11.369]  And, uh, for some reason, our terrible dish network here in the office doesn't pick up ABC, but I need listeners to tape this, if you have it, and mail it to us.
[00:17:11.369 --> 00:17:15.433]  That's a request, or I'll find out how to buy it, because I want to cover this.
[00:17:15.433 --> 00:17:20.377]  Or somebody, get it up on YouTube, because just in the promo videos we've seen and little clips we've seen,
[00:17:21.360 --> 00:17:27.945]  It is admitting that their chemtrailing is for our own good, admitting that mass plagues are going to wipe out most of us.
[00:17:27.945 --> 00:17:32.048]  World government is the only answer to the extinction of human species.
[00:17:32.048 --> 00:17:42.895]  See, they tell you, they take your own self-preservation, your own survival instinct, and they tell you, we've got to kill off most of the other people or you're not going to survive.
[00:17:42.895 --> 00:17:46.117]  They turn your own survival instinct in on itself.
[00:17:46.117 --> 00:17:49.860]  Kind of like a scorpion stinging itself.
[00:17:52.242 --> 00:18:05.313]  And that's why they teach in Europe and the United States and Australia, all over the world, wherever it's IMF, World Bank funded, they teach in the public schools in the 5th, 6th, 7th grade, spaceship or lifeboat.
[00:18:05.313 --> 00:18:13.380]  And it's a situational ethics game where they go, there's 10 of you, the class breaks up into 2 or 3 groups, and there's 8 to 10 in each lifeboat or spaceship.
[00:18:13.380 --> 00:18:15.442]  They call it, you know, there's 2 different games they play.
[00:18:16.986 --> 00:18:22.453]  Or they say, we've crashed in the mountains and the plane and everybody, we've got to eat each other.
[00:18:22.453 --> 00:18:23.955]  So who lives and who dies?
[00:18:23.955 --> 00:18:30.423]  And then they have the kids go through situational ethics and learn to not think outside the box and think of solutions.
[00:18:31.499 --> 00:18:33.040]  That will save everybody.
[00:18:33.040 --> 00:18:36.262]  They teach you that survival is deciding who dies.
[00:18:36.262 --> 00:18:38.344]  And then the teacher tells you who we need.
[00:18:38.344 --> 00:18:45.248]  We need a policeman, we need an administrator, we need this, we need that, but we don't need this and we don't need that.
[00:18:45.248 --> 00:18:48.531]  And then the kids decide who to exclude from the group and who dies.
[00:18:50.247 --> 00:18:52.689]  Then they have shows like Survivor and all of this.
[00:18:52.689 --> 00:18:56.811]  If you're really on an island, you work together as a team if you want to survive and thrive.
[00:18:56.811 --> 00:18:59.733]  You don't all screw the smartest and the best.
[00:18:59.733 --> 00:19:01.574]  That's what those games teach you.
[00:19:01.574 --> 00:19:04.636]  We gang up on the smartest and the best and we push them out.
[00:19:04.636 --> 00:19:07.118]  And that is the secret to real eugenics.
[00:19:07.118 --> 00:19:08.699]  They're not advancing the race.
[00:19:08.699 --> 00:19:10.921]  They're not culling the bad, which is bad enough.
[00:19:11.741 --> 00:19:16.865]  No, it's a control freak move if you really read the high level, the real eugenics.
[00:19:16.865 --> 00:19:19.107]  It is to target the intelligent.
[00:19:19.107 --> 00:19:21.488]  It is to target the upwardly mobile.
[00:19:21.488 --> 00:19:32.897]  It is to freeze out society with a highly controlled carbon tax control grid so that everyone can be poisoned with sodium fluoride and mercury and dumbed down and entertained to death.
[00:19:34.315 --> 00:19:36.957]  That is what we're being entered into.
[00:19:36.957 --> 00:19:43.242]  And I don't see anybody else that fully understands the full compass of this that's on our team.
[00:19:43.242 --> 00:19:45.124]  The enemy, it's clear as day what they're doing.
[00:19:45.124 --> 00:19:53.251]  I'm going to play this clip when we get back, cover a lot more, break it down, tie it in to the eugenics that we are all under attack.
[00:19:53.251 --> 00:19:56.433]  You're a cop out there writing some family a ticket right now?
[00:19:56.433 --> 00:19:58.235]  Hey, you're under eugenics attack too, Bubba.
[00:19:58.235 --> 00:19:59.436]  You're with us whether you like it or not.
[00:20:00.513 --> 00:20:02.494]  Heart disease is on the rise.
[00:20:02.494 --> 00:20:09.459]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:20:09.459 --> 00:20:17.865]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:20:17.865 --> 00:20:23.589]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:20:23.769 --> 00:20:25.611]  My blood pressure has normalized.
[00:20:25.611 --> 00:20:27.793]  My diabetes has totally improved.
[00:20:27.793 --> 00:20:32.318]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:20:32.318 --> 00:20:34.561]  I recommend Heart and Body Extract to everyone.
[00:20:34.561 --> 00:20:42.409]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:20:42.489 --> 00:20:43.770]  In the New World Order's War Against Humanity
[00:21:03.755 --> 00:21:06.379]  Barack Obama is the tip of the spear.
[00:21:06.379 --> 00:21:13.970]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:21:13.970 --> 00:21:20.119]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:21:20.539 --> 00:21:22.520]  Well, Obama's already fudging.
[00:21:22.520 --> 00:21:25.022]  He's fudged since day one in this election.
[00:21:25.022 --> 00:21:36.590]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:21:36.590 --> 00:21:38.271]  It's not about left or right.
[00:21:38.271 --> 00:21:40.132]  It's about a one-world government.
[00:21:40.132 --> 00:21:46.356]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:21:47.020 --> 00:21:55.285]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:21:55.285 --> 00:21:56.866]  The Obama Deception.
[00:21:56.866 --> 00:21:58.067]  The people strike back!
[00:21:59.773 --> 00:22:00.314]  Good day.
[00:22:00.314 --> 00:22:02.155]  Jim Newcomer from Midas Resources.
[00:22:02.155 --> 00:22:02.816]  June 3rd, 2009.
[00:22:02.816 --> 00:22:03.917]  Gold opened this morning at $977.
[00:22:03.917 --> 00:22:07.060]  A one-ounce gold coin can be purchased for $1,470, $502.35 for the half-ounce, and $251.18 for a quarter-ounce.
[00:22:07.060 --> 00:22:07.700]  That's $1,470, $502.35, and $251.18.
[00:22:19.128 --> 00:22:22.810]  We've been hearing the USA has been spending money faster than tax collections.
[00:22:22.810 --> 00:22:25.912]  Now the government has published the document that sounds the alarm.
[00:22:25.912 --> 00:22:35.398]  That's right, the United States Government Accountability Office, the GAO, has published the Long-Term Fiscal Outlook document, clearly stating that the federal debt burden is spiraling out of control.
[00:22:35.398 --> 00:22:40.721]  This will directly affect programs like Social Security to FDIC's ability to insure bank deposits.
[00:22:41.201 --> 00:22:43.564]  Taxation and inflationary printing of the U.S.
[00:22:43.564 --> 00:22:46.428]  dollar are inevitable pressures facing the economy.
[00:22:46.428 --> 00:22:49.792]  Get this document free by calling 800-686-2237.
[00:22:49.792 --> 00:22:53.577]  The USGAO has spelled it out in black and white.
[00:22:53.577 --> 00:22:53.857]  Call 800-686-2237.
[00:22:53.857 --> 00:22:54.037]  That's 800-686-2237.
[00:23:00.003 --> 00:23:02.687]  Are you concerned for the safety of your loved ones?
[00:23:02.687 --> 00:23:06.313]  Listen closely to this message from Pepperspray.com.
[00:23:06.313 --> 00:23:13.885]  Every 22 seconds a violent crime is committed, America has changed, and your personal safety is your first priority.
[00:23:13.885 --> 00:23:14.706]  Be smart.
[00:23:14.706 --> 00:23:15.307]  Be safe.
[00:23:15.647 --> 00:23:18.249]  Trust Pepper Spray instead of your luck.
[00:23:18.249 --> 00:23:24.814]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:23:24.814 --> 00:23:30.818]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:23:30.818 --> 00:23:33.520]  From big to small, we have it all.
[00:23:33.520 --> 00:23:37.263]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:23:37.523 --> 00:23:44.265]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:23:44.265 --> 00:23:49.147]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:23:49.147 --> 00:23:50.808]  So what are you waiting for?
[00:23:50.808 --> 00:23:52.769]  Go to Pepperspray.com.
[00:23:52.769 --> 00:23:54.909]  That's Pepperspray.com.
[00:23:54.909 --> 00:23:55.750]  Or call 1-800-908-9988 today!
[00:24:08.044 --> 00:24:10.727]  Monday through Friday from 11 a.m.
[00:24:10.727 --> 00:24:11.828]  to 3 p.m.
[00:24:11.828 --> 00:24:12.449]  Standard Time.
[00:24:12.449 --> 00:24:13.289]  We're here live.
[00:24:13.289 --> 00:24:19.055]  It is Wednesday, the third day of June 2009.
[00:24:19.055 --> 00:24:25.361]  Kiki Friedman in studio at T-Minus one hour and 36 minutes.
[00:24:25.361 --> 00:24:28.505]  And legendary Patriot musician Steve Voss.
[00:24:30.996 --> 00:24:33.457]  So that is what is coming up today.
[00:24:33.457 --> 00:24:40.840]  I want to get into part two of the Cashless Society Slave Grid today as well.
[00:24:40.840 --> 00:24:48.143]  In fact, what I'll do is I'll just start that next hour and we'll go live at PrisonPlanet.TV for a full three hours today.
[00:24:48.143 --> 00:24:50.144]  And I'll do that presentation in the next hour.
[00:24:50.144 --> 00:24:54.166]  I'll just do the full presentation in the next hour.
[00:24:57.523 --> 00:25:06.045]  Or maybe at PrisonPlanet.tv we can take the 30-minute clip from yesterday and put it with the other hour today so people get a clear picture of what's happening.
[00:25:06.045 --> 00:25:18.607]  Okay, you know, just in the last few days there have been all these headlines like, Billionaire Club and Bid to Curb Overpopulation, America's Richest People Met to Discuss Ways of Tackling a Disastrous Environmental, Social, and Industrial Threat.
[00:25:18.607 --> 00:25:25.589]  And as Richard N. Haas, head of the CFR, writes, they will use phony environmentalism and phony terrorism as the two different pincers
[00:25:26.584 --> 00:25:28.564]  To control society.
[00:25:28.564 --> 00:25:29.665]  This is neo-surfdom.
[00:25:29.665 --> 00:25:31.905]  This is neo-feudalism.
[00:25:31.905 --> 00:25:43.607]  Why kings 600 years ago in England and France had to keep the people at subsistence starvation level because they didn't want them debasing the forest of the wildlife and hurting the environment.
[00:25:43.607 --> 00:25:45.847]  They had to be culled.
[00:25:45.847 --> 00:25:48.308]  That's all this is.
[00:25:48.308 --> 00:25:49.488]  That's all this is.
[00:25:49.488 --> 00:25:54.809]  And a lot of experts and sociologists and economists are pointing this out now in mainstream news.
[00:25:56.400 --> 00:26:03.183]  China, India, Mexico, 100 plus of the third world nations, zero emissions cuts, only the West.
[00:26:03.183 --> 00:26:10.506]  So we lose our industry, it moves to the third world with no controls, boost emission levels, and then we all pay taxes.
[00:26:10.506 --> 00:26:13.087]  That's all it is.
[00:26:13.087 --> 00:26:15.288]  A total and complete scam.
[00:26:15.288 --> 00:26:16.589]  That's their recovery.
[00:26:18.939 --> 00:26:25.852]  Now, you talk to the average yuppie, the average person with a college degree, and they've all been taught, humans are bad, we gotta get rid of people.
[00:26:25.852 --> 00:26:29.760]  They don't know they're taking part of that when they shoot their kid up with vaccines every couple days.
[00:26:32.324 --> 00:26:38.930]  It's all fun going into the death camp, but the whole country, the whole world is a prison planet death camp.
[00:26:38.930 --> 00:26:46.097]  Here is Earth 2100, the end of civilization, to change the future.
[00:26:46.097 --> 00:26:47.378]  First, you have to imagine it.
[00:26:47.378 --> 00:26:50.801]  Well, we are breaking down the elite's real blueprint for the future.
[00:26:51.837 --> 00:26:56.281]  They don't put it all in one place, but they do put it all in different white papers, and we've put it together.
[00:26:56.281 --> 00:27:01.026]  This is their baloney future if you don't give in to them and their control.
[00:27:01.026 --> 00:27:01.987]  Here it is.
[00:27:01.987 --> 00:27:05.590]  In my life, I've seen New York City under full quarantine.
[00:27:05.590 --> 00:27:08.773]  The Midwest overrun, devastated by pests.
[00:27:09.193 --> 00:27:14.776]  Plague sweep across California, and then what happened next was something none of us saw coming.
[00:27:14.776 --> 00:27:19.539]  It became a race against time to save our future, to even have a future.
[00:27:19.539 --> 00:27:23.000]  It's the year 2100, and I survived.
[00:27:23.000 --> 00:27:25.822]  To change the future, first you have to imagine it.
[00:27:25.822 --> 00:27:28.283]  Tuesday at 9, 8 central on ABC.
[00:27:28.283 --> 00:27:30.444]  A two-hour global television event.
[00:27:30.444 --> 00:27:30.724]  Earth 2100.
[00:27:33.695 --> 00:27:35.437]  Okay, and we've seen clips of this.
[00:27:35.437 --> 00:27:37.999]  In fact, you can go to the site, ABC News, and watch them.
