[00:00:04.906 --> 00:00:06.447]  Ladies and gentlemen,
[00:05:06.553 --> 00:05:15.139]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:05:15.139 --> 00:05:22.244]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:05:22.244 --> 00:05:28.009]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[00:05:28.009 --> 00:05:33.573]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to 4 hours.
[00:05:34.313 --> 00:05:40.957]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:05:40.957 --> 00:05:45.620]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:05:45.620 --> 00:05:49.002]  Check out the patented New Silver Solution today.
[00:05:49.002 --> 00:05:52.684]  Click on the link and check out the uses for New Silver Solution.
[00:05:52.684 --> 00:05:57.487]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:05:57.487 --> 00:06:00.748]  That's SupernaturalSilver.com today.
[00:06:00.748 --> 00:06:03.290]  In the New World Order's war against humanity,
[00:06:03.928 --> 00:06:06.768]  Barack Obama is the tip of the spear.
[00:06:06.768 --> 00:06:12.649]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:06:12.649 --> 00:06:19.131]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:06:19.131 --> 00:06:21.111]  Well, Obama's already fudging.
[00:06:21.111 --> 00:06:23.571]  He's fudged since day one in this election.
[00:06:23.571 --> 00:06:33.313]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs,
[00:06:33.789 --> 00:06:36.752]  That's fascist.
[00:06:36.752 --> 00:06:38.433]  It's not about left or right.
[00:06:38.433 --> 00:06:40.295]  It's about a one world government.
[00:06:40.295 --> 00:06:47.200]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:06:47.200 --> 00:06:55.467]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:06:55.467 --> 00:06:57.029]  The Obama Deception.
[00:06:57.029 --> 00:06:58.230]  The people strike back.
[00:07:00.009 --> 00:07:00.909]  Attention gardeners!
[00:07:00.909 --> 00:07:03.510]  This is an urgent GCN self-reliance update.
[00:07:03.510 --> 00:07:08.032]  GCN has just discovered a new bioactive superfood for garden plants, flowers, and herbs.
[00:07:08.032 --> 00:07:15.915]  It's called ProtoGrow and it's so effective at producing rapid plant growth that it seems to almost force plants to grow like crazy under practically any soil and light conditions.
[00:07:16.246 --> 00:07:19.348]  Now here's the best part for our listeners who garden for self-reliance.
[00:07:19.348 --> 00:07:26.993]  Proto-Gro's unique blend of sea nutrients maximizes mineral uptake and dramatically increases bloom set, creating maximum plant growth in minimum time.
[00:07:26.993 --> 00:07:32.557]  Proto-Gro works by providing geometric keys which have the capacity to actually unlock the genetic code for nutritional uptake in plants.
[00:07:32.797 --> 00:07:38.640]  Proto-Gro's full-spectrum plant fertility means fruits and vegetables with extraordinary taste and up to 10 times the nutritional value.
[00:07:38.640 --> 00:07:42.182]  And if you want to double or triple the potency of herbs or wheatgrass, you can.
[00:07:42.182 --> 00:07:45.784]  If you want to grow nutritionalized superfoods with non-hybrids, it's now easy.
[00:07:45.784 --> 00:07:50.847]  GCN listeners who want to grow Dirt Chief Superfoods should visit the Proto-Gro website at growlikecrazy.com.
[00:07:50.847 --> 00:07:53.769]  That's www.growlikecrazy.com or call 877-327-0365.
[00:07:53.769 --> 00:07:53.949]  That's 877-327-0365.
[00:08:01.531 --> 00:08:04.301]  He's the T-Rex of political talk.
[00:08:04.301 --> 00:08:07.110]  Alex Jones on the GCN Radio Network.
[00:08:23.507 --> 00:08:26.049]  We got a big show lined up for you today.
[00:08:26.049 --> 00:08:28.571]  Could be one of the most important broadcasts we've ever done.
[00:08:28.571 --> 00:08:30.492]  Thank you so much for joining us.
[00:08:30.492 --> 00:08:36.637]  It is Wednesday, the 27th day of May, 2009.
[00:08:36.637 --> 00:08:37.257]  Headlines!
[00:08:37.257 --> 00:08:40.380]  State of war between two Koreas after armistice ended.
[00:08:40.380 --> 00:08:48.146]  PrisonPlanet.com, Infowars.com, Kurt Nemo article, North Korea ends armistice, threatens to attack South Korea.
[00:08:49.448 --> 00:09:02.330]  Defiant North Korea Fires Rockets Blames US Reuters Russia Fears Korea Conflict Could Go Nuclear Interfax Reuters North Korea Threatens Armed Strike Ends The Armistice Bloomberg
[00:09:04.775 --> 00:09:09.759]  This is out of South Korean News, the Yonhap News Agency.
[00:09:09.759 --> 00:09:13.583]  North Korea launches additional missiles into East Sea, official.
[00:09:13.583 --> 00:09:27.155]  Japan is threatening to attack them because North Korea shot missiles right over the nation and had intermediate range missiles land just miles off their coast in years past.
[00:09:27.155 --> 00:09:28.956]  By the way, Alaska was hit.
[00:09:28.956 --> 00:09:30.718]  I forgot to print this this morning.
[00:09:30.718 --> 00:09:31.799]  Will you guys search engine?
[00:09:32.975 --> 00:09:35.657]  North Korean missile hits Alaska.
[00:09:35.657 --> 00:09:36.698]  I want to pull up the exact year.
[00:09:36.698 --> 00:09:38.399]  I think it was 2000.
[00:09:38.399 --> 00:09:39.981]  It was 2001.
[00:09:39.981 --> 00:09:43.624]  That was actually in Reuters, but never got any other news.
[00:09:43.624 --> 00:09:47.047]  It was a dummy ICBM, Intercontinental Ballistic Missile.
[00:09:47.047 --> 00:09:49.128]  It didn't have a MIRV package.
[00:09:49.128 --> 00:09:53.532]  It had a single warhead casing without the warhead.
[00:09:53.532 --> 00:09:55.694]  It was a test, a drill.
[00:09:57.011 --> 00:10:03.184]  Broke up in the atmosphere on re-entry and rained down on the frozen tundra of Alaska.
[00:10:03.184 --> 00:10:06.070]  Iran sends warships to Gulf of Aden.
[00:10:09.073 --> 00:10:14.117]  Saying openly that they're preparing an attack to engage Israeli and U.S.
[00:10:14.117 --> 00:10:15.218]  and NATO forces.
[00:10:15.218 --> 00:10:21.562]  I mean, ladies and gentlemen, this is the exact type of jockeying you see right before a major war starts.
[00:10:21.562 --> 00:10:24.965]  And what did the Rand Corporation say five months ago?
[00:10:24.965 --> 00:10:26.206]  And Paul Watson wrote about this.
[00:10:26.206 --> 00:10:31.850]  It's in his new article at PrisonPlanet.com titled, State of War Between Two Koreas After Armistice Ended.
[00:10:31.850 --> 00:10:36.594]  They said, we need something bigger than the Iran,
[00:10:38.024 --> 00:10:43.246]  Situation bigger than Iraq bigger than Afghanistan to bring in the new world order and what ran?
[00:10:43.246 --> 00:11:00.153]  Generally calls for ends up being at least looked at or being carried out in many cases Big you know top think tank to the CFR to the Trilateral Commission to the Bilderberg group and the different interlocking directorates and steering committees and they said a conflict in a
[00:11:04.309 --> 00:11:11.253]  Asia would be desirable between China, Korea, South Korea.
[00:11:11.253 --> 00:11:13.934]  And ladies and gentlemen, the globalists mean business.
[00:11:13.934 --> 00:11:24.821]  They need a war as a political distraction to say, look Americans, look English, look Europeans, look South Koreans, look Chinese, look Japanese, everybody.
[00:11:24.821 --> 00:11:26.441]  And tyranny is descending everywhere.
[00:11:26.441 --> 00:11:30.724]  Japan, Canada, Australia, New Zealand, the United States, everywhere it's descending.
[00:11:31.895 --> 00:11:38.139]  All governments use the threat of terror as a pretext to control.
[00:11:38.139 --> 00:11:39.220]  And it's in the cards.
[00:11:39.220 --> 00:11:40.360]  I keep telling you for months.
[00:11:40.360 --> 00:11:42.822]  Staged flu outbreaks.
[00:11:42.822 --> 00:11:44.903]  What did I say in that March 5th show?
[00:11:44.903 --> 00:11:59.973]  I came on air and I said this is the third time I have gone on air and warned people in my time on air over the years and specifically said this is a highest level alert from my perspective and my research.
[00:12:01.192 --> 00:12:15.160]  I did it once, two months before 9-11 and months before that I led up to that point of giving out the White House phone number and telling them do not attack the World Trade Centers and blame it on your CIA asset Osama Bin Laden and then move into Iraq, Afghanistan to encircle Iran.
[00:12:17.105 --> 00:12:20.706]  I did it in the run-up to the 2006 elections.
[00:12:20.706 --> 00:12:22.667]  I said I believe they're about to launch an attack.
[00:12:22.667 --> 00:12:25.048]  Cheney was saying we're about to be hit, we will be hit.
[00:12:25.048 --> 00:12:26.828]  We're going to have martial law when it happens.
[00:12:26.828 --> 00:12:37.992]  I could see all the preparatory phase going on in the media, in the build-up to them staging something as they get the public ready to hand over their rights, kind of like Jim Jones' Kool-Aid drinking drills.
[00:12:37.992 --> 00:12:42.354]  And that's just one way I gauge it, but that's one of the main things I factor in.
[00:12:44.577 --> 00:12:50.652]  And then I put out the alert March 5th, and I said, here are the cards in the New World Order's fist.
[00:12:54.835 --> 00:12:59.579]  Flew scare as a smoke screen for setting up the martial law control grid.
[00:12:59.579 --> 00:13:01.901]  And I said it may be hot, it may be cold.
[00:13:01.901 --> 00:13:07.845]  It may be real or it may just be hyped to drill and prepare everybody for a future release.
[00:13:07.845 --> 00:13:12.849]  And if they go with that, they'll then hype that in the next six months they think the big one's coming.
[00:13:12.849 --> 00:13:14.110]  Exactly that happened.
[00:13:14.110 --> 00:13:15.551]  I'm on record!
[00:13:15.551 --> 00:13:20.935]  That's what happens when all you do is research this from a historical perspective.
[00:13:20.935 --> 00:13:23.277]  And I only say that so people pay attention to me.
[00:13:23.277 --> 00:13:24.038]  This isn't a game.
[00:13:29.093 --> 00:13:39.940]  Now, that said, I said, in their fist is the flu card.
[00:13:39.940 --> 00:13:45.884]  If they play the flu card, that means they're preparing to play the total economic collapse card.
[00:13:45.884 --> 00:13:47.786]  You think things are bad?
[00:13:47.786 --> 00:13:49.547]  I mean, you know, an accelerated collapse.
[00:13:51.127 --> 00:13:59.750]  With massive bankruptcy, shutdowns, the media destroying confidence by design, while then adding an icing of acting like they're trying to fix confidence.
[00:13:59.750 --> 00:14:01.410]  So they put out a double message.
[00:14:01.410 --> 00:14:03.931]  80% bad news, 20% good news.
[00:14:03.931 --> 00:14:08.573]  That's the psychological algorithm that I've picked up on the enemy transmission.
[00:14:08.573 --> 00:14:14.055]  So, we've got that going on.
[00:14:14.055 --> 00:14:18.156]  Now, it's important to understand
[00:14:21.929 --> 00:14:29.891]  That they play the flu card as a test balloon.
[00:14:29.891 --> 00:14:31.832]  And I'm on record saying that's probably what they do.
[00:14:31.832 --> 00:14:41.634]  Then, if they played that and it wasn't successful, they would probably back off or go with another plan, but it overall was somewhat successful.
[00:14:41.634 --> 00:14:44.175]  Almost a draw, but leaning, I'd say, 51% in their favor.
[00:14:46.735 --> 00:14:48.176]  The hysteria worked.
[00:14:48.176 --> 00:14:53.759]  It didn't work long, but still that's a good smokescreen or cover for a martial law hot takeover.
[00:14:53.759 --> 00:14:56.100]  Not the cold, incremental takeover we're seeing.
[00:14:56.100 --> 00:15:01.583]  It's starting to get a little bit warmer and starting to bubble at the bottom of the pan here.
[00:15:01.583 --> 00:15:03.484]  Towards a full boil.
[00:15:03.484 --> 00:15:05.925]  If it continues to accelerate.
[00:15:05.925 --> 00:15:08.126]  So, you've got that first card of flu.
[00:15:08.126 --> 00:15:12.769]  Then I said, that will then accelerate the economic implosion by design.
[00:15:12.769 --> 00:15:14.290]  And then I said, expect to see
[00:15:17.068 --> 00:15:19.130]  In conjunction, this is how world wars start.
[00:15:19.130 --> 00:15:20.311]  It's how the globalists operate.
[00:15:20.311 --> 00:15:22.452]  They stage the last two on record.
[00:15:22.452 --> 00:15:31.899]  British Empire blueprints what's being used, but it's a hybrid of the European Union, British Empire, and the United States, and Israel.
[00:15:31.899 --> 00:15:41.507]  But if they go with that blueprint, it will then be simultaneous theater wars popping up in different regions of the planet.
[00:15:44.383 --> 00:15:50.188]  You have massive escalation of crises in the Middle East.
[00:15:50.188 --> 00:15:53.390]  You notice the suicide bombings and attacks are escalating again in Iraq.
[00:15:53.390 --> 00:15:55.672]  They're coming to a head in Afghanistan.
[00:15:55.672 --> 00:16:00.456]  Everything's coming to a head in Pakistan.
[00:16:00.456 --> 00:16:05.320]  North Korea now has broken the armistice, saying the West is breaking it.
[00:16:05.320 --> 00:16:08.223]  There has been massive military buildup and drills going on around them.
[00:16:09.284 --> 00:16:11.606]  That's how the globalists give you a Hobson's Choice.
[00:16:11.606 --> 00:16:12.827]  You're not for North Korea.
[00:16:12.827 --> 00:16:13.787]  Complete evil.
[00:16:13.787 --> 00:16:15.209]  Total psychopath.
[00:16:15.209 --> 00:16:16.329]  I mean, this is not hype.
[00:16:16.329 --> 00:16:18.171]  This is the real McCoy.
[00:16:18.171 --> 00:16:19.992]  This is the King Rat.
[00:16:19.992 --> 00:16:25.416]  The Crimson King of his little Dark Ages slave pit.
[00:16:25.416 --> 00:16:27.238]  Exercising raw power.
[00:16:27.238 --> 00:16:29.199]  A 1984 state.
[00:16:29.199 --> 00:16:36.645]  Versus the Panopticon Brave New World White Lab Coated
[00:16:38.985 --> 00:16:44.628]  Art form of the mind control state.
[00:16:44.628 --> 00:16:52.312]  With the overlay of entertainment, sex, and partying, and drugs, with the police state running through it, and genetic engineers, and human genomes.
[00:16:52.312 --> 00:16:57.095]  See, it's the overarching winning model, as right before he died, Aldous Huxley reported.
[00:16:57.095 --> 00:17:02.518]  You know, when he went public and said, look, this book is really what the eugenicists are planning.
[00:17:02.518 --> 00:17:04.179]  This is really non-fiction.
[00:17:04.179 --> 00:17:05.920]  This is what they're planning by the year 2000.
[00:17:05.920 --> 00:17:08.341]  As you see, they're a few years behind, but moving ahead.
[00:17:10.168 --> 00:17:12.432]  He said, this is the dominant structure.
[00:17:12.432 --> 00:17:23.790]  The elite created the 1984 structure, the more ancient form of tyranny, in parallel with the brave new world, technocracy, pharmacological system.
[00:17:25.441 --> 00:17:34.284]  And that they are fusing the two into an amalgamation, but the dominant overriding flavor is the Brave New World.
[00:17:34.284 --> 00:17:37.645]  That is the great hovering destructor.
[00:17:37.645 --> 00:17:39.185]  It is the final revolution.
[00:17:39.185 --> 00:17:41.026]  It is the final tyranny.
[00:17:41.026 --> 00:17:48.928]  Because unlike a North Korea that finally collapses because of the delusional, arrogant, power-tripping megalomaniacs,
[00:17:50.540 --> 00:17:52.100]  Things always collapse.
[00:17:52.100 --> 00:17:54.641]  But not a scientific dictatorship.
[00:17:54.641 --> 00:17:59.382]  They believe it will just continue to refine itself.
[00:17:59.382 --> 00:18:00.342]  So what's the greater threat?
[00:18:00.342 --> 00:18:02.002]  The scientific dictatorship?
[00:18:02.002 --> 00:18:09.503]  Or the thugs and the inner parties all intermarried with some little demonic goblin running it all?
[00:18:09.503 --> 00:18:16.064]  I mean, it's certainly bad for the people of this nation, but one day it will collapse.
[00:18:16.064 --> 00:18:19.325]  And probably never recover for centuries because the culture is so destroyed.
[00:18:20.680 --> 00:18:25.103]  And so authoritarian and so controlled.
[00:18:25.103 --> 00:18:27.264]  But it can't invade its neighbors now.
[00:18:27.264 --> 00:18:30.166]  It can only threaten people.
[00:18:30.166 --> 00:18:33.348]  It is a husk of what it was.
[00:18:33.348 --> 00:18:35.189]  So there you see the two different systems.
[00:18:36.417 --> 00:18:52.804]  Versus liberty, and freedom, and renaissance, and awakening, and the acceleration of knowledge, and a love of the human spirit, and a love of the human mind, and a dynamic construction of the next wave of humanity into the stars.
[00:18:52.804 --> 00:18:59.446]  That, both systems, the brave new world and the 1984, are deathly afraid of the 1776 signature wavelength.
[00:18:59.446 --> 00:18:59.826]  Frequency.
[00:19:10.131 --> 00:19:14.694]  Also known as... Soul.
[00:19:14.694 --> 00:19:19.796]  It is the two diametrically opposed, Liberty and Freedom versus Bondage.
[00:19:19.796 --> 00:19:22.898]  And Bondage has a thousand flavors, ladies and gentlemen.
[00:19:22.898 --> 00:19:26.060]  Liberty, Freedom only has one bona fide.
[00:19:26.060 --> 00:19:35.585]  And if you know what it is, it burns in your heart like a powerful torch that is able to then set fires in the minds of other men and women.
[00:19:37.102 --> 00:19:38.022]  In the great cause.
[00:19:38.022 --> 00:19:40.303]  I'll break down the latest on what's happening with North Korea.
[00:19:40.303 --> 00:19:41.143]  Very, very serious.
[00:19:41.143 --> 00:19:44.044]  I was planning to take my children fishing.
[00:19:44.044 --> 00:19:51.747]  Every time I'm about to take a day off or something and have Burma sit in, some disaster starts unraveling.
[00:19:51.747 --> 00:19:56.049]  Ladies and gentlemen, we're going to come right back and go over all of this.
[00:19:56.049 --> 00:19:58.950]  And also take your phone calls and cover a host of other issues.
[00:19:58.950 --> 00:19:59.370]  Stay with us.
[00:20:01.195 --> 00:20:04.298]  Are you tired of losing your hard-earned savings in retirement?
[00:20:04.298 --> 00:20:11.326]  Does the continued loss of purchasing power through the hidden tax of inflation brought on by trillions of dollars in government bailouts bother you?
[00:20:11.326 --> 00:20:15.571]  Then please let me, Duane Daly, with Midas Resources, help you to protect what you have left.
[00:20:16.135 --> 00:20:26.120]  Call me at 800-686-2237 extension 115 and I will explain to you how to retain your wealth and purchasing power now and in the future with gold and silver.
[00:20:26.120 --> 00:20:36.184]  Gold and silver have been a form of currency for 6,000 years compared to our present fiat currency which has only been in existence for 38 years and failing fast.
[00:20:36.184 --> 00:20:39.806]  Call me Duane Daly at 800-686-2237 extension 115 to start your protection of wealth today.
[00:20:44.108 --> 00:20:47.512]  I will custom fit the protection package to your personal needs.
[00:20:47.512 --> 00:20:50.275]  No amount is too small, so start today.
[00:20:50.275 --> 00:21:01.148]  Call Duane Daly with Midas Resources at 800-686-2237 extension 115 for your gold and silver protection portfolio.
[00:21:01.148 --> 00:21:03.731]  In the New World Order's war against humanity,
[00:21:04.324 --> 00:21:06.946]  Barack Obama is the tip of the spear.
[00:21:06.946 --> 00:21:13.952]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:21:14.534 --> 00:21:20.716]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:21:20.716 --> 00:21:23.097]  Well, Obama's already fudging.
[00:21:23.097 --> 00:21:25.598]  He's fudged since day one in this election.
[00:21:25.598 --> 00:21:37.163]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:21:37.163 --> 00:21:38.843]  It's not about left or right.
[00:21:38.843 --> 00:21:40.204]  It's about a one-world government.
[00:21:40.692 --> 00:21:47.600]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:21:47.600 --> 00:21:55.869]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:21:55.869 --> 00:21:57.451]  The Obama Deception.
[00:21:57.451 --> 00:21:58.633]  The people strike back.
[00:22:00.777 --> 00:22:02.758]  Heart disease is on the rise.
[00:22:02.758 --> 00:22:09.720]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:22:09.720 --> 00:22:18.123]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:22:18.123 --> 00:22:23.845]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:22:24.025 --> 00:22:25.867]  My blood pressure has normalized.
[00:22:25.867 --> 00:22:28.049]  My diabetes has totally improved.
[00:22:28.049 --> 00:22:32.593]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:22:32.593 --> 00:22:34.815]  I recommend Heart and Body Extract to everyone.
[00:22:34.815 --> 00:22:42.622]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:22:42.742 --> 00:22:46.925]  Order your two-month supply today by calling 866-295-5305.
[00:22:46.925 --> 00:22:50.829]  That's 866-295-5305.
[00:22:50.829 --> 00:22:53.851]  Or order online at hbextract.com.
[00:22:53.851 --> 00:22:56.133]  Heart and body extract, 866-295-5305.
[00:22:56.133 --> 00:23:00.216]  Or hbextract.com.
[00:23:00.216 --> 00:23:02.578]  This is Alex Jones for American Tax Settlement.
[00:23:02.578 --> 00:23:06.942]  We have received news that the IRS is currently accepting reduced settlements on back taxes.
[00:23:06.942 --> 00:23:11.646]  And millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:23:12.046 --> 00:23:20.075]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[00:23:20.075 --> 00:23:26.022]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800.
[00:23:27.403 --> 00:23:29.465]  506-5904.
[00:23:29.465 --> 00:23:34.508]  Millions of taxpayers now may be eligible for this settlement to save thousands of dollars.
[00:23:34.508 --> 00:23:39.392]  Don't risk the IRS coming after you and garnishing your wages or seizing your property.
[00:23:39.392 --> 00:23:48.478]  American Tax Settlement specializes in negotiating with the IRS on your behalf, keeping the IRS off your back, and saving consumers millions of dollars.
[00:23:48.478 --> 00:23:52.621]  If you owe $10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[00:23:55.823 --> 00:23:56.103]  That's 1-800-506-5904.
[00:23:56.103 --> 00:23:56.383]  Call today.
[00:23:56.383 --> 00:23:57.423]  They did a bad, bad thing.
[00:23:57.423 --> 00:23:58.343]  They did a bad, bad thing.
[00:24:30.254 --> 00:24:48.433]  I am hoping, I am praying, that North Korea's nuclear test Monday, firing quite a few high-powered missiles into the ocean right off the coast of Japan in the last 48 hours,
[00:24:51.613 --> 00:24:56.634]  Is only Kim Jong-il trying to get concessions because he looks like he's on death's doorstep.
[00:24:56.634 --> 00:25:02.715]  He was gone out of sight for over a year and then when they trotted him out to sit at a table, he looks like he has cancer or something.
[00:25:02.715 --> 00:25:05.536]  I've seen that cancer look very, very skinny now.
[00:25:05.536 --> 00:25:13.798]  No more raping women, I guess, in his spare time and drinking bottles of $2,000 wine while the population literally starves to death.
[00:25:13.798 --> 00:25:19.599]  Vanity Fair had reporters there a few years ago and Madeleine Albright was Secretary of State under Clinton.
[00:25:20.219 --> 00:25:28.267]  And they described how they, in the main city center, they were selling human flesh at little stands.
[00:25:28.267 --> 00:25:41.901]  And how Madeleine Albright loved the tyranny and was clapping and just really enjoying everything that was happening when they had all the, you know, those big parades with all the human gymnastics.
[00:25:43.032 --> 00:25:47.295]  That Nazi regimes and Soviet-style regimes love so much.
[00:25:47.295 --> 00:25:50.877]  You know, seeing all the little slaves do little worker bee dances.
[00:25:52.372 --> 00:25:56.736]  All in unison under the control of the soldiers with machine guns.
[00:25:56.736 --> 00:26:07.886]  See, that's why when we see soldiers with machine guns in the United States and billboards up about how the government's watching you for your safety and tattletale squads with our children, it's why we get so upset.
[00:26:07.886 --> 00:26:15.793]  Because every time that happens, every stinking time, the criminal class starts taking the middle classes
[00:26:16.992 --> 00:26:23.397]  Land and property and time and the people become slaves and everybody becomes slaves but a tiny elite.
[00:26:23.397 --> 00:26:25.199]  And it's happened here.
[00:26:25.199 --> 00:26:36.068]  There's just still a history of liberty and freedom and so we're still just ignoring the globalist threats and all their dirty tricks and all the things they're doing and all the bills they've got introduced to take over the web and end free speech.
[00:26:36.068 --> 00:26:37.089]  It's all happening!
[00:26:39.147 --> 00:26:40.688]  We are becoming North Korean.
[00:26:40.688 --> 00:26:44.111]  I get these emails going, you need to support the military and the police.
[00:26:44.111 --> 00:26:45.532]  You don't need to criticize them.
[00:26:45.532 --> 00:26:50.415]  Yeah, I guess if I lived in North Korea, too, with all their billboards up about support the military and police.
[00:26:50.415 --> 00:26:53.898]  The religion is worshipping them over here.
[00:26:53.898 --> 00:26:56.680]  And it's the religion worshipping them over there.
