[00:00:09.119 --> 00:00:10.480]  Kissed a renegade.
[00:03:37.100 --> 00:03:39.300]  Hi, how in the world are you anyway?
[00:03:39.300 --> 00:03:42.461]  This is Andy Willoughby speaking for the 3-Step Plan.
[00:03:42.461 --> 00:03:47.222]  The 3-Step Plan is a business system designed to help families start their own home-based business.
[00:03:47.222 --> 00:03:52.004]  If you like working with people with similar family values, you'll love the 3-Step Plan.
[00:03:52.004 --> 00:03:55.705]  For information, go to 3stepplan.com or call toll-free 800-393-6184 800-393-6184
[00:04:03.374 --> 00:04:09.160]  Some relief for sections of Oklahoma and Texas that have been ravaged by wildfires.
[00:04:09.160 --> 00:04:11.482]  Rain showers hitting the area Saturday.
[00:04:11.482 --> 00:04:15.666]  Fires destroying 200 structures over a 48-hour period.
[00:04:15.666 --> 00:04:20.371]  In addition, there have been more than 60 fire-related injuries and at least two people killed.
[00:04:20.371 --> 00:04:26.677]  Officials say at least one of the fires in Midwest City, Oklahoma appears to have been intentionally set.
[00:04:27.257 --> 00:04:37.363]  A new study says patients with severe heart failure can be bridged to a ventral transplant by a new smaller and lighter implantable heart pump.
[00:04:37.363 --> 00:04:44.908]  Washington University cardiologist Gregory Ewald explains what this device is and what it can do.
[00:04:44.908 --> 00:04:55.715]  The ventral assist LVAD is what we refer to as sort of a third-generation assist device or pump that's attached to the failing heart.
[00:04:56.491 --> 00:05:02.134]  To really support someone until they can receive a heart transplant.
[00:05:02.134 --> 00:05:11.618]  Seems to be an adjustment in Arizona State University's decision not to confer an honorary degree on President Obama when he delivers the commencement address there May 13th.
[00:05:11.618 --> 00:05:15.940]  School causing a flap when it said it would not be giving Obama an honorary degree.
[00:05:15.940 --> 00:05:23.924]  University President Michael Crow has apologized for the quote confusion saying the entire community has been electrified with excitement.
[00:05:24.284 --> 00:05:27.405]  Since learning he would take parts in the ceremony.
[00:05:27.405 --> 00:05:33.847]  I'm Jason Walker, IRN USA Radio News.
[00:05:33.847 --> 00:05:39.368]  With our economy spiraling out of control, living in the soup kitchens may be right around the corner.
[00:05:39.368 --> 00:05:42.389]  No one saw the financial collapse of 1929.
[00:05:42.389 --> 00:05:47.871]  Many didn't make it, and millions ended up in soup lines, becoming vagrants, begging for food.
[00:05:48.610 --> 00:05:52.254]  Unlike 1929, we can see this collapse coming.
[00:05:52.254 --> 00:05:53.555]  We have been warned.
[00:05:53.555 --> 00:05:59.821]  And right now, we have a very small window of opportunity to get food storage into our homes before it's too late.
[00:05:59.821 --> 00:06:00.561]  Too late.
[00:06:00.561 --> 00:06:03.764]  Why is the Canadian government telling their citizens to stock up?
[00:06:03.764 --> 00:06:04.205]  Why?
[00:06:04.205 --> 00:06:08.189]  And why are soldiers calling home telling their families to get food storage?
[00:06:08.189 --> 00:06:09.490]  Supplies are running low.
[00:06:09.750 --> 00:06:16.231]  Having food storage today may be just as important to your family's survival as boarding the Ark was in the days of Noah.
[00:06:16.231 --> 00:06:20.132]  Order right now and receive free shipping on all one-year supplies.
[00:06:20.132 --> 00:06:22.593]  Go to YourFoodStorage.com.
[00:06:22.593 --> 00:06:24.393]  That's YourFoodStorage.com.
[00:06:24.393 --> 00:06:25.273]  Or call 877-482-FOOD.
[00:06:25.273 --> 00:06:26.233]  That's 877-482-FOOD today.
[00:06:26.233 --> 00:06:27.954]  Strap yourselves in and hold on.
[00:06:40.425 --> 00:06:43.187]  He stands for truth.
[00:06:43.187 --> 00:06:46.410]  He stands for justice.
[00:06:46.410 --> 00:06:48.852]  He stands for what's right.
[00:06:48.852 --> 00:06:52.135]  This is the Alex Jones Show.
[00:06:52.135 --> 00:06:55.037]  Call Alex now, toll free at 877-590-5525.
[00:06:55.037 --> 00:06:59.141]  Now live from Austin, Texas, here's Alex Jones.
[00:07:10.283 --> 00:07:39.288]  We have somewhat of a detailed introduction, hundreds of movies, international top TV shows and syndication, best-selling author Chuck Norris is on with us from his ranch in Texas, going to be simulcasting a national program today, trying to rediscover the Bill of Rights, the Constitution, and thousands of groups around the country will be meeting in solidarity over their concerns for our nation, is the quote here.
[00:07:40.111 --> 00:07:41.672]  Well, first of all, you talked about Kickstart.
[00:07:41.672 --> 00:07:42.673]  Kickstart is a program.
[00:08:02.333 --> 00:08:02.773]  Where do you
[00:08:18.386 --> 00:08:18.846]  I don't know.
[00:08:37.939 --> 00:08:44.967]  And that's why I started Kickstart, is to implement it into the public schools as part of their P.E.
[00:08:44.967 --> 00:08:46.048]  program.
[00:08:46.048 --> 00:08:47.229]  And so that's what I've done.
[00:08:47.229 --> 00:08:56.539]  I've got 43 schools in the state of Texas, middle schools, and 150 kids in each school, so we have about 6,000 kids in the program.
[00:08:56.539 --> 00:08:59.362]  60,000 kids have graduated from this program, Alex.
[00:08:59.742 --> 00:09:00.203]  I don't know.
[00:09:16.500 --> 00:09:17.640]  Well, the thing is, it turned my life around.
[00:09:40.436 --> 00:09:52.459]  I was pretty much an at-risk child growing up with just a mom and all the insecurities that I had because I didn't have a male role model to help me get on the right path of life.
[00:09:52.459 --> 00:09:56.479]  So I grew up very insecure and very shy and very non-athletic.
[00:09:56.479 --> 00:09:59.720]  A lot of people kind of laugh at that, but it's true.
[00:09:59.720 --> 00:10:01.561]  The martial arts really turned my whole life around.
[00:10:01.561 --> 00:10:03.261]  It gave me that inner strength.
[00:10:03.781 --> 00:10:04.282]  I don't know.
[00:10:21.511 --> 00:10:26.473]  And you condense a lot of what you've learned throughout life, health, patriotism, Bill of Rights, Constitution.
[00:10:26.473 --> 00:10:32.836]  You know, I published a book called Dissent and a Tyranny in 2002, and I ended it with the Bill of Rights and Constitution.
[00:10:32.836 --> 00:10:35.618]  And I just love seeing that that's how your book ended.
[00:10:35.618 --> 00:10:38.299]  Because I mean, I guess, you know, our brains think alike.
[00:10:38.299 --> 00:10:39.779]  That's what people need to get back to.
[00:10:39.779 --> 00:10:41.680]  That's true, Alex.
[00:10:41.680 --> 00:10:43.721]  You know, the thing is, that's why I put it in there.
[00:10:43.721 --> 00:10:44.882]  A lot of people don't know
[00:10:45.522 --> 00:10:55.485]  What's in the Constitution, or the Bill of Rights, or the Declaration of Independence, and they really need to shore up on what is going on.
[00:10:55.485 --> 00:10:58.766]  And I'd like to get back to this fair tax concept just for a moment.
[00:10:58.766 --> 00:10:59.086]  Oh, sure.
[00:10:59.086 --> 00:11:05.908]  Because what most people don't realize is that we have over 3 million manufacturing jobs being outsourced to other countries.
[00:11:05.908 --> 00:11:07.368]  And why are they being outsourced?
[00:11:07.368 --> 00:11:09.169]  Because the taxes are draining them.
[00:11:09.449 --> 00:11:14.892]  And they can't make a goal of it here in America with the taxation system we have.
[00:11:14.892 --> 00:11:20.575]  And there's over 17 trillion dollars being hidden in offshore accounts by the super-rich.
[00:11:20.575 --> 00:11:23.517]  Probably more now because of what's going on.
[00:11:23.517 --> 00:11:31.702]  But the thing is, if we had a fair tax, Alex, we get all that money could come back into our economy and give our economy a huge boost.
[00:11:31.702 --> 00:11:32.903]  What type of fair tax do you like, Chuck Norris?
[00:11:32.903 --> 00:11:33.243]  Consumption tax.
[00:11:37.549 --> 00:11:40.779]  You know, I believe that, you know, if you can afford to buy something, you buy it.
[00:11:40.779 --> 00:11:43.968]  If you can't afford it, you wait till you have the money to buy it.
[00:11:43.968 --> 00:11:44.429]  A sales tax?
[00:11:45.454 --> 00:11:47.216]  Consumption tax, yeah.
[00:11:47.216 --> 00:11:51.099]  I would be for that, sir, but I saw UN documents a decade ago.
[00:11:51.099 --> 00:11:56.083]  The problem is, what they're going to do is, and I do support one, they're not going to really get rid of the income tax.
[00:11:56.083 --> 00:12:02.368]  They're going to try to call it your Social Security tax and claim it's only 10% and then jack it up and try to run them all at the same time.
[00:12:02.368 --> 00:12:07.892]  I mean, I do agree that that's a constitutional tax and the income tax is not constitutional.
[00:12:07.892 --> 00:12:09.714]  Can you speak to the income tax?
[00:12:10.374 --> 00:12:11.294]  Half a million pages.
[00:12:11.294 --> 00:12:12.175]  Nobody can follow it.
[00:12:12.175 --> 00:12:14.956]  Should that be abolished?
[00:12:14.956 --> 00:12:17.117]  66,298 pages, Alex.
[00:12:17.117 --> 00:12:18.977]  I mean, who in the world knows what's in that?
[00:12:18.977 --> 00:12:20.178]  Charlie Rangel doesn't know.
[00:12:20.178 --> 00:12:23.619]  And I mean, Tom Geithner.
[00:12:23.619 --> 00:12:29.301]  I mean, look at all, look at the people that are in government today who are basically tax evaders.
[00:12:29.301 --> 00:12:31.742]  They think the government says they made mistakes.
[00:12:32.222 --> 00:12:34.363]  But if we do it, we're tax evaders.
[00:12:34.363 --> 00:12:35.704]  You know, we go to jail.
[00:12:35.704 --> 00:12:42.147]  But the thing is, is that, uh, you know, uh, the IRS, well, it was only became constitutional in 1913.
[00:12:42.147 --> 00:12:47.009]  A lot of people don't realize this, that the IRS was unconstitutional.
[00:12:47.629 --> 00:12:57.553]  Until 1913, when the Congress made a constitutional amendment, the 16th Amendment, to make it constitutional.
[00:12:57.553 --> 00:13:01.035]  And we've been going downhill ever since that time.
[00:13:01.035 --> 00:13:03.236]  Well, yeah, the private Federal Reserve controls that.
[00:13:03.236 --> 00:13:06.717]  I'm sure you've noticed you write your tax checks to the private Federal Reserve.
[00:13:06.717 --> 00:13:07.998]  It's never been audited.
[00:13:07.998 --> 00:13:10.979]  Ron Paul's introduced a bill to audit the Federal Reserve.
[00:13:10.979 --> 00:13:12.100]  Do you agree with that?
[00:13:12.100 --> 00:13:12.800]  Oh, absolutely.
[00:13:13.400 --> 00:13:14.401]  Absolutely.
[00:13:14.401 --> 00:13:17.022]  You know, the IRS is a Gestapo.
[00:13:17.022 --> 00:13:18.883]  You know, you're guilty until proven innocent.
[00:13:18.883 --> 00:13:25.146]  That's only one where you're guilty until proven innocent rather than innocent until proven guilty.
[00:13:25.146 --> 00:13:26.387]  And that's not fair.
[00:13:26.387 --> 00:13:27.047]  That's not right.
[00:13:28.348 --> 00:13:35.555]  Here in our country, we're a country of freedom, and we need to do that.
[00:13:35.555 --> 00:13:40.800]  I'm so upset, that's why I'm such a supporter of Glenn Beck.
[00:13:40.800 --> 00:13:51.990]  I really consider him, like you Alex, I really consider you a crusader, and I consider Glenn Beck a crusader of what we need to do, because the whole thing is, we're going to lose our Constitution.
[00:13:52.911 --> 00:13:57.374]  Patrick Henry said the Constitution is not an instrument for the government to restrain the people.
[00:13:57.374 --> 00:14:03.539]  It's an instrument for the people to restrain the government, lest it come to dominate our lives, and I believe that's what's happening to us today.
[00:14:03.539 --> 00:14:08.263]  Yeah, it's meant to bind down the out-of-control behavior of dominant men.
[00:14:08.263 --> 00:14:14.829]  I've got a list of just quick questions here that I want to make sure I get out while we have Chuck Norris live with us.
[00:14:14.829 --> 00:14:17.251]  I mean, Ron Paul is such a champion of liberty.
[00:14:17.731 --> 00:14:19.012]  Well, you know, I have a saying.
[00:14:19.012 --> 00:14:20.572]  I don't know if I told you.
[00:14:20.572 --> 00:14:24.534]  Anyway, you know all these Chuck Norstachs that are floating around for the last three years.
[00:14:24.534 --> 00:14:28.396]  Anyway, one of them is that America is not a democracy.
[00:14:28.396 --> 00:14:30.977]  It's a Chuck Patership.
[00:14:30.977 --> 00:14:36.279]  And I said, now if that was true, if that was true, I would go to Washington, to Congress.
[00:14:36.279 --> 00:14:42.462]  I'd line up all the members of Congress, and I'd have Ron Paul, who I believe is the most honest member of Congress,
[00:14:43.027 --> 00:14:48.309]  And I'd say, Ron, point out the honest and the dishonest politicians.
[00:14:48.309 --> 00:14:54.611]  And as we're walking down the row, Ron would say, well, he's honest, he's honest, he's dishonest.
[00:14:54.611 --> 00:14:57.552]  And I'd walk up to him and I'd say, you're fired.
[00:14:57.552 --> 00:15:02.333]  And if he didn't move immediately, I'd choke him unconscious and drag him over to the pile.
[00:15:02.333 --> 00:15:04.374]  The only ones I wouldn't do that to is the women.
[00:15:04.374 --> 00:15:09.776]  Nancy Pelosi, I'd walk up and say, Nancy, you're fired, but you have all the time in the world to leave.
[00:15:12.097 --> 00:15:14.639]  Chuck Norris, it's just amazing to have you on air with us.
[00:15:14.639 --> 00:15:25.448]  Well, you know, not talking about secession, but the states created the first 13, and we have the right to revolt, Article 10 in New Hampshire and Texas, you know, treated in.
[00:15:25.448 --> 00:15:27.409]  Because we are a republic.
[00:15:27.409 --> 00:15:28.390]  Texas is a republic.
[00:15:29.070 --> 00:15:29.531]  Exactly.
[00:15:29.531 --> 00:15:34.694]  We created the federal government, the states did, and the media spun this as secession.
[00:15:34.694 --> 00:15:40.657]  These 30-plus states are moving to re-declare 9th and 10th Amendment with all these unfunded mandates and federal control.
[00:15:40.657 --> 00:15:41.378]  What do you say to that?
[00:15:41.378 --> 00:15:43.599]  Oh, I don't know.
[00:15:43.599 --> 00:15:48.422]  You know, I'm not really, I'm not up on that Alex, so I can't really give an honest opinion.
[00:15:48.422 --> 00:15:53.585]  But I mean, states declaring their sovereignty, not seceding, just saying, we're not going to let the federal government boss us around.
[00:15:54.526 --> 00:15:56.147]  Well, I hope they do that.
[00:15:56.147 --> 00:15:58.589]  The thing is, that's what the states have got to do.
[00:15:58.589 --> 00:16:03.394]  They've got to get control back of their people of that particular state.
[00:16:03.394 --> 00:16:06.457]  And if that's what they're saying, I'm totally in support of all that.
[00:16:06.457 --> 00:16:10.040]  We've got to pull the power away from government.
[00:16:11.341 --> 00:16:19.026]  You know, because the thing is, you know, John Adams, our second president, stated that our Constitution was made only for religious and moral people.
[00:16:19.026 --> 00:16:23.969]  And I really believe that, Alex, and it's wholly inadequate for the government of any other.
[00:16:23.969 --> 00:16:32.635]  And the thing is, if we don't just maintain our faith and our moral values, then the Constitution is going to wind up dissolving.
[00:16:33.707 --> 00:16:37.229]  Before you throw away your used batteries, you need to listen to this.
[00:16:37.229 --> 00:16:39.130]  Now, going green can save money.
[00:16:39.130 --> 00:16:44.693]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:16:44.693 --> 00:16:52.717]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:16:52.717 --> 00:17:03.302]  Invented by legendary audio genius John Bodini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity
[00:17:03.302 --> 00:17:03.802]  I think so.
[00:17:33.391 --> 00:17:40.077]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:17:40.077 --> 00:17:48.183]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:17:48.183 --> 00:17:53.768]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt
[00:17:54.088 --> 00:17:56.349]  Ensuring inflation and higher taxes.
[00:17:56.349 --> 00:18:01.430]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:18:01.430 --> 00:18:06.652]  Congressman Ron Paul states it's what every American needs to know about central bank power.
[00:18:06.652 --> 00:18:11.014]  A gripping adventure into the secret world of international banking cartel.
[00:18:11.014 --> 00:18:12.094]  Hi, this is Ted Anderson.
[00:18:12.094 --> 00:18:16.595]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:18:16.595 --> 00:18:17.516]  Call 1-800-686-2237 and order a copy today.
[00:18:21.477 --> 00:18:24.482]  It's critical that the public be made aware of the system.
[00:18:24.482 --> 00:18:26.265]  Call and order your copy today at 1-800-686-2237.
[00:18:26.265 --> 00:18:26.486]  That's 1-800-686-2237.
[00:18:33.645 --> 00:18:38.688]  The new multipolar inline and portable water system new from hempusa.org.
[00:18:38.688 --> 00:18:47.312]  Now you can restructure and degas your water supply from any source rendering chemicals harmless to the human body by polarizing the molecular structure.
[00:18:47.312 --> 00:18:52.214]  Imagine a softer smoother water with increased oxygen that helps the nervous system and brain.
[00:18:52.214 --> 00:18:53.695]  There are no filters to buy.
[00:18:53.715 --> 00:18:54.476]  I don't know.
[00:19:15.773 --> 00:19:17.494]  Alex Jones here with a question.
[00:19:17.494 --> 00:19:18.675]  What does humidity mean to you?
[00:19:18.675 --> 00:19:24.578]  Most people think of hot and sticky summer days, but many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:19:44.327 --> 00:19:47.529]  That's why I'd like you to visit acolablue.com.
[00:19:47.529 --> 00:20:03.981]  Acolablue is a state-of-the-art atmospheric water generator producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:20:03.981 --> 00:20:06.002]  Finally, drinking water that you control.
[00:20:06.002 --> 00:20:07.703]  I use one every day.
[00:20:07.703 --> 00:20:10.165]  Say goodbye to expensive water delivery services.
[00:20:10.465 --> 00:20:11.966]  Call Ecolablue right now at 1-800-691-6043.
[00:20:11.966 --> 00:20:12.306]  That's 1-800-691-6043.
[00:20:12.306 --> 00:20:14.428]  Or visit Ecolablue at E-C-L-L-O-B-L-U-E dot com today.
[00:20:34.042 --> 00:20:37.725]  Are you tired of searching for great talk radio?
[00:20:37.725 --> 00:20:39.226]  Search no more.
[00:20:39.226 --> 00:20:42.208]  We are the GCN Radio Network.
[00:20:43.690 --> 00:20:58.038]  Well, Chuck Norris, I know you're a very focused, centered, gentlemanly person, but laying it out, reading your article on WorldNetDaily and others, and listening to you on other radio shows and things you've said, you're talking about, will the American people stand up or will there be a revolution?
[00:20:58.038 --> 00:21:07.604]  If this is an information revolution that's happening, but I have the government documents, I have the secret state police reports that the feds give them.
[00:21:07.944 --> 00:21:15.085]  Where they say Bob Barr, Ron Paul, Chuck Baldwin, Libertarians, people with these stickers are dangerous, they're bad, they want to kill.
[00:21:15.085 --> 00:21:16.426]  Who said that?
[00:21:16.426 --> 00:21:22.767]  This is what the Feds, this just went out this month, so clearly it's coming from the Obama people.
[00:21:22.767 --> 00:21:24.247]  It's up on InfoWars.com.
[00:21:24.247 --> 00:21:30.589]  I've talked to the state police, they admit this was given to them by the Feds to issue to their state police officers, saying people that own gold are bad.
[00:21:30.589 --> 00:21:31.609]  It's up on screen right now.
[00:21:32.969 --> 00:21:42.196]  And it's called the modern militia movement, but then it demonizes mainline libertarians and everybody and says watch out for them, they're dangerous.
[00:21:42.196 --> 00:21:48.941]  I mean, it seems like people in the federal government right now realize the threat to them is people that are talking like you, Chuck Norris.
[00:21:49.521 --> 00:21:50.302]  Yeah, I know.
[00:21:50.302 --> 00:22:00.830]  Well, the thing is, a lot of my friends are libertarians, and I've even considered it at times, you know, because, you know, the Republicans are getting so far out there, too.
[00:22:00.830 --> 00:22:07.095]  I mean, 40% of the Republicans voted for the stupid stimulus package, you know, and that really frustrated me.
[00:22:07.095 --> 00:22:09.597]  The thing is, there's the corruption, there's the greed right there, Alex.
[00:22:10.097 --> 00:22:11.478]  That was my next question.
[00:22:11.478 --> 00:22:12.138]  This is perfect.
[00:22:12.138 --> 00:22:14.899]  You keep bringing up the same points I was about to get to.
[00:22:14.899 --> 00:22:17.320]  Look, I'm cutting my teeth as a conservative.
[00:22:17.320 --> 00:22:18.381]  I'm pro-Second Amendment.
[00:22:18.381 --> 00:22:22.182]  I'm a constitutionalist, paleo-conservative, the real deal.
[00:22:22.182 --> 00:22:24.704]  Bush tripled the size of government with the Democrats.
[00:22:24.704 --> 00:22:31.207]  Obama is set to quadruple it in the first four years and saying he's going to cut the budget in half, insulting people with lies.
[00:22:31.207 --> 00:22:33.347]  And you talk about this not being left or right.
[00:22:33.347 --> 00:22:36.329]  I mean, how do we get the corruption out of both parties?
[00:22:36.969 --> 00:22:37.590]  Vote him out.
[00:22:37.590 --> 00:22:40.173]  You know, the thing is, that's what we have to figure out.
[00:22:40.173 --> 00:22:42.156]  That's what we as the people have to figure out.
[00:22:42.156 --> 00:22:47.923]  And we have to put the fire on them saying, look, if you don't vote the way that we feel,
[00:22:48.968 --> 00:22:52.790]  You should vote as a people, then you're gonna be out.
[00:22:52.790 --> 00:23:01.194]  We wind up impeaching every member of Congress who is not working for the people and just working for themselves.
[00:23:01.194 --> 00:23:03.615]  We wind up impeaching them.
[00:23:03.615 --> 00:23:06.017]  If there's a legal way we can do that, I don't know.
[00:23:07.117 --> 00:23:08.538]  There is a legal way of doing that.
[00:23:08.538 --> 00:23:16.025]  I think that's what we should do, is make them realize that we're going to impeach them if they don't start thinking of the best interest of the people.
[00:23:16.025 --> 00:23:27.254]  Chuck, you can't see this because you're not watching PrisonPlanet.tv right now, but for viewers, I have the federally written report, secret report, law enforcement sensitive for the state of Missouri, and we have these from all over the country.
[00:23:28.655 --> 00:23:29.015]  No, no, not at all.
[00:23:29.015 --> 00:23:29.775]  I really respect Ron Paul.
[00:23:54.504 --> 00:24:01.190]  I admire him, I admire his dedication, and I admire his staunchness on the Constitution.
[00:24:01.190 --> 00:24:07.456]  You know, it's a solid formula that we cannot deviate from.
[00:24:07.456 --> 00:24:10.359]  And so that's why I'm a big supporter of Ron Paul.
[00:24:10.359 --> 00:24:14.722]  And we just got to, you know, it's so frustrating.
[00:24:18.426 --> 00:24:20.028]  I don't know what to do personally.
[00:24:20.028 --> 00:24:26.533]  All I can do is write articles about it and state how I feel about it and it's up to the people.
[00:24:26.533 --> 00:24:28.495]  The people are the ones that are going to make the difference.
[00:24:28.495 --> 00:24:31.577]  Not Chuck Norris, not Alex Jones.
[00:24:31.577 --> 00:24:35.461]  It's going to be the people as a whole that's going to make the difference in our country.
[00:24:36.061 --> 00:24:36.381]  Well, exactly.
[00:24:52.210 --> 00:24:55.671]  Well, in closing, Chuck Norris, that's what's happening, and you recognize it.
[00:24:55.671 --> 00:24:57.512]  Everybody's waking up on the left and right.
[00:24:57.512 --> 00:24:58.433]  Tyranny is here.
[00:24:58.433 --> 00:25:02.194]  I'm sure you've heard they want to use 20,000 regular Army troops to patrol America.
[00:25:02.194 --> 00:25:05.075]  They're putting Army liaisons in every major department.
[00:25:05.075 --> 00:25:13.619]  Obama's setting up youth brigades, a million-person group, and they've now launched it, that will go door-to-door canvassing for him with federal funding.
[00:25:14.759 --> 00:25:22.464]  I mean, if it comes down to gun confiscation, which they're now proposing because of what's happening with the collapse of Mexico, they're blaming it on America.
[00:25:22.464 --> 00:25:25.565]  I mean, you know, do we just say no to gun confiscation?
[00:25:25.565 --> 00:25:27.446]  Do we turn them in and go to the FEMA camps?
[00:25:27.446 --> 00:25:30.748]  Well, the thing is, they're not getting my guns.
[00:25:30.748 --> 00:25:35.771]  You know, the thing is that I don't think they want to come to Texas and try that.
[00:25:35.771 --> 00:25:36.811]  No, I agree.
[00:25:36.811 --> 00:25:41.634]  If they come to Texas and try to confiscate our guns, they're going to be in a world of hurt.
[00:25:42.179 --> 00:25:49.302]  Well, the Declaration of Independence says it's our right and duty if the government becomes destructive of our form of government to remove it.
[00:25:49.302 --> 00:25:50.062]  So that's what I'm saying.
[00:25:50.062 --> 00:25:58.226]  The government, the criminal elements of it are gearing up to, and nobody's got a bigger supporter of the military or police than you, and the police are upset that they're telling me they don't like what's happening.
[00:25:58.226 --> 00:26:00.586]  Like you said, the troops don't like what's happening.
[00:26:00.586 --> 00:26:03.208]  I think Obama and the globalists need to back off.
[00:26:03.208 --> 00:26:04.668]  I don't think they will.
[00:26:04.668 --> 00:26:05.308]  They will.
[00:26:05.308 --> 00:26:06.649]  You know, because, you know,
[00:26:07.488 --> 00:26:10.211]  When it gets right down to the grassroots, they're cowards.
[00:26:10.211 --> 00:26:14.514]  And they're not going to do anything that's going to turn the people against them.
[00:26:14.514 --> 00:26:18.718]  And so the thing is that we, the people, have got to stay strong.
[00:26:18.718 --> 00:26:26.264]  We've got to stand up, stay strong, and say this is the way we want you to regulate our country.
[00:26:26.264 --> 00:26:28.746]  And if you don't do it, we will get you out of office.
[00:26:28.746 --> 00:26:32.269]  We'll impeach you, or whatever it takes for us to get you out of office.
