[00:00.000 --> 00:02.000]  now
[03:54.640 --> 04:06.640]  I'm going to try to brief the president here on air today, and I'm going to try to brief the listeners and viewers and everybody else, but the president already knows this, but he needs his own people to understand it.
[04:06.640 --> 04:12.640]  And I have been tasked with taking this message to the people.
[04:12.640 --> 04:22.640]  So I can't get into it, and I'm not going to give the specifics of it, but these are the hard messages that have to be said that other people are scared to come out and tell you.
[04:22.640 --> 04:31.640]  The president calls seeing in your enemy, when he calls the Democrats enemies of America, they are on the Communist Chinese payroll, and they're on the big bank payroll.
[04:31.640 --> 04:35.640]  And those groups are actively trying to destroy the country. That's what's happening.
[04:35.640 --> 04:41.640]  So when you're against Trump, you're against Info Wars, you're against free speech, and you're against all of this.
[04:41.640 --> 04:43.640]  You are trying to destroy the country.
[04:43.640 --> 04:46.640]  And the left's like, of course, we hate America. Tell us something we didn't know.
[04:46.640 --> 04:56.640]  That's why they've been prepared for 50 years in the universities to now come out and call and celebrate against prosperity, against the economy, against freedom, against security.
[04:56.640 --> 04:59.640]  They said they want it all gone. Bill Maher, everybody says that.
[04:59.640 --> 05:08.640]  Fueling your body is hard work. That's why we've introduced the Info Wars Life Daily Digestive Pack to help you fuel it right.
[05:08.640 --> 05:16.640]  Combine fluorolife everyday maintenance and carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[05:16.640 --> 05:19.640]  There's no better way to power your body.
[05:19.640 --> 05:31.640]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains. When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[05:31.640 --> 05:37.640]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[05:37.640 --> 05:44.640]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[05:44.640 --> 05:50.640]  There's no better time to try fluorolife and carnivore to see how well they can support your body.
[05:50.640 --> 06:18.640]  Don't miss out on the chance to fuel your body and support recovery. Try the Info Wars Life Daily Digestive Pack today.
[06:20.640 --> 06:42.640]  From the InfoWars.com studios in the recaptured state of Texas, it's Alex Jones.
[06:42.640 --> 07:08.640]  Well, on Saturday, the Hill reported the former director of the CIA, John Brennan, has asked Trump's cabinet to overthrow him.
[07:08.640 --> 07:15.640]  You guys need to close your microphone.
[07:15.640 --> 07:37.640]  You know, this stuff is so heavy and so big and so real and the public has no idea that the entire civilization we've built is under attack and that the globalists admit they want to finally break the West back completely.
[07:37.640 --> 07:49.640]  And we're already being pushed in the first stages of a civil war and it's so big and important.
[07:49.640 --> 08:03.640]  I think I'm going to go to rebroadcast until I'm ready to present this on air today because I came in and got sidetracked with some other stuff and I need to get all my material together to go through it linearly because it needs to be laid out properly and given the respect that it deserves and that it needs.
[08:03.640 --> 08:15.640]  And I'm just not ready to do it at this point. I may just do rebroadcast the whole day, I may just leave. Only because things this bad, things this serious, you just can't kind of half-ass.
[08:15.640 --> 08:28.640]  Because we all just get caught up in the minutiae of life and where we are and don't realize how close we are to a shooting war in this country.
[08:28.640 --> 08:57.640]  And you know, I hope that all the weird leftist and people that have bought this anti-America, anti-free market Kool-Aid, I hope that they understand that they're useful idiots and are destroying the very fabric of a system and a world that they live in.
[08:57.640 --> 09:26.640]  I mean, what they're bringing in is a dystopia for the general public and is designed to be austere and is designed to be very, very nightmarish and it's a whole other system.
[09:26.640 --> 09:45.640]  We're dealing with people driven by evil, driven by lust for power, driven by fraud who purposely want to bully this country and this world into total submission.
[09:45.640 --> 10:00.640]  That's what's going on. That's what's happening. And they want victory over prosperity. They want victory over common sense. They want victory over sanity. They want victory over the truth. They want victory over life.
[10:00.640 --> 10:17.640]  They want to control everything because normal systems don't need them or don't want them. And so they have to create designed dysfunction and human obsolescence because they see themselves as obsolescent.
[10:17.640 --> 10:28.640]  And so only by clawing us down to the groveling, unhappy level that they're in do they believe that they could ever find any type of security.
[10:28.640 --> 10:43.640]  So we're in a civil war. It's global. I want to lay out the big players. I want to lay out the goals of the globalist at the top and then look at how they're attacking the nation state from what's happening in Europe, what's happening here and other areas.
[10:43.640 --> 10:52.640]  So that's coming up.
[10:52.640 --> 11:09.640]  Now, there are a few special reports here now.
[11:09.640 --> 11:23.640]  We're also going to look at some of the geopolitical things that are happening, but this is all tied into the future and humans making a decision about our destiny.
[11:23.640 --> 11:34.640]  And folks need to know that when I lay out the players, they admit they're the players, they admit the global cosmology I'm laying out is the real world.
[11:34.640 --> 11:41.640]  They've got everybody playing these other political games off in La La Land while the real stuff's going on right in front of everybody.
[11:41.640 --> 11:51.640]  And what the globalists are pushing is so unpopular and authoritarian and classically evil, if we just enforce a real debate about it, it will fail.
[11:51.640 --> 12:03.640]  And it is failing now. But they're going to culture war and division and in fighting and weaponized media as a counter to that and are pushing the world into war and depression.
[12:03.640 --> 12:10.640]  And Trump is running around like a fire department in the middle of a hot summer with 50 mile an hour winds trying to put all these fires out.
[12:10.640 --> 12:23.640]  We've got the Democrats and others who are just a bunch of yes men on their power trips doing everything they can to sabotage that even though it will destroy them even faster because they want to continue their control.
[12:23.640 --> 12:25.640]  They want to continue their mismanagement.
[12:25.640 --> 12:36.640]  Let's go out to break with some of the John Baum report dealing with the red hen, stinks of fascism, but it stinks of it's just bullying.
[12:36.640 --> 12:45.640]  And I wish all these places would put on their door. We don't want Christians here. We don't want conservatives here. We don't want capitalists here.
[12:45.640 --> 12:53.640]  We don't want libertarians here. We don't want white people here. I'm serious. I'm a libertarian.
[12:53.640 --> 12:59.640]  And you tell me, I don't want to come in your place. I don't want to be around you.
[12:59.640 --> 13:05.640]  By the way, you're all escaping your blue states, your blue cities to come vampire off me.
[13:05.640 --> 13:13.640]  Everybody else. It's so sick how we can't get away from you people. It's like the lady speaking in the EU Parliament last week.
[13:13.640 --> 13:23.640]  And she says, I want out of the euro. We never voted to be in it. And they cut her mic off and say, go back.
[13:23.640 --> 13:31.640]  We don't want to hear from you speaking for England. She's like screaming with her mic off. You can still hear.
[13:31.640 --> 13:41.640]  But that's what we're saying. No, you don't get to speak. Go away. And we're going to keep ruling your life.
[13:41.640 --> 13:49.640]  That's the same thing. It's like everybody that went to California from all over the world thinking they were going to, you know, find heaven.
[13:49.640 --> 13:58.640]  They're like moths to a flame. Narcissists and want to be famous people to Los Angeles. That all is imploded to living hell.
[13:58.640 --> 14:04.640]  Everyone looks like dead zombies. The air is poisoned. It's like, Mike, this is hell on earth.
[14:04.640 --> 14:17.640]  And now they're evacuating, but then they want to come wherever you're at and put you basically in a political cage like a milk cow that has to feed them.
[14:17.640 --> 14:24.640]  And so now they're all about peer pressure and they're all about being followers. So they think harassing us is going to make us bow down to them.
[14:24.640 --> 14:28.640]  No, everyone's now already had the idea. I already thought of this a few days ago. Now you're saying it.
[14:28.640 --> 14:33.640]  Everyone's already going on Yelp and everywhere else and saying this is not conservative friendly.
[14:33.640 --> 14:40.640]  This is not libertarian friendly. And you can go on with a Trump shirt or an info or shirt and go into these restaurants and have them throw you out.
[14:40.640 --> 14:50.640]  And then come back with your friends a week later and then all just go tell people this isn't friendly to conservatives or libertarians or nationalists and let them go bankrupt.
[14:50.640 --> 14:59.640]  They're telling us when they put us under economic embargo, when they try to censor us offline, when they try to kick us out of the restaurants, when they try to make us uncomfortable.
[14:59.640 --> 15:06.640]  Like three, four years ago, leftists would walk over and knock our drink over in a restaurant or go boo boo boo Alex Jones.
[15:06.640 --> 15:14.640]  You're unpopular. It hurts me. You've seen it on live videos countless times. Shame, shame, shame. I'm like, dude, I ain't three years old.
[15:14.640 --> 15:23.640]  I moved out when I was 17. I ain't been, you know, breastfeeding off mama in, you know, 40-something years saying shame, shame, shame.
[15:23.640 --> 15:30.640]  I'm not a kindergartner. Not one of your kindergartner students. But that's what they do.
[15:30.640 --> 15:37.640]  So I want them to tell me who they are. Like I look at hotels now and they're globalists. I don't stay there.
[15:37.640 --> 15:44.640]  And so as the people that actually work and make the money in the world, as the capitalist, I get it.
[15:44.640 --> 15:51.640]  Hey, leftists, believe me. I don't want to be around you. I don't want to eat your stinking food, drink your coffee. I don't want to talk to you.
[15:51.640 --> 15:59.640]  I want you to go crawl back into one of your blue city areas and just basically live on the street and crap everywhere like you do normally.
[15:59.640 --> 16:06.640]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you? I've defended people from the IRS for over 30 years.
[16:06.640 --> 16:13.640]  I've helped thousands and I can help you too. I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[16:13.640 --> 16:21.640]  Call 800-34-NO-TAX to finally get free of IRS debt. With the IRS's new programs, there's never been a better time to solve your problem.
[16:21.640 --> 16:47.640]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[16:52.640 --> 16:58.640]  Learn more now by going to libertyoncall.org. That's libertyoncall.org.
[16:58.640 --> 17:01.640]  I tried other brands, but I came back to my sunshine.
[17:01.640 --> 17:06.640]  For the best hot or cold pain relief, get the best. Get a sunny-bay heating pad.
[17:06.640 --> 17:11.640]  Sometimes life can be a pain in the neck, or back, or shoulder.
[17:11.640 --> 17:14.640]  And the best relief for that pain is a sunny-bay heating pad.
[17:14.640 --> 17:21.640]  Did you know that the American College of Physicians said that one of the best ways to treat muscle pain is heat therapy?
[17:21.640 --> 17:30.640]  Sunny-bay heating pads are handmade with high quality, can be used at home or at work, and have a lifetime 100% positive rating on both Amazon and Etsy.
[17:30.640 --> 17:32.640]  Why take another pill?
[17:32.640 --> 17:36.640]  Many people use our sunny-bay heating pads alone and got rid of the neck pain.
[17:36.640 --> 17:41.640]  Long distance travel or long hours in front of a computer can take its toll on your body.
[17:41.640 --> 17:44.640]  Our homegrown small business tries to help people just like us.
[17:44.640 --> 17:49.640]  That's why we design and test our handmade products with great care before we introduce them to the public.
[17:49.640 --> 17:52.640]  You can easily find sunny-bay heating pads on Amazon.
[17:52.640 --> 17:56.640]  Just go to amazon.com and search for sunny-bay heating pads.
[18:02.640 --> 18:07.640]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico,
[18:07.640 --> 18:11.640]  where the Chiapas farmers have spent years perfecting their techniques.
[18:11.640 --> 18:16.640]  Based on hundreds of years of traditional techniques and perfect conditions,
[18:16.640 --> 18:23.640]  we've sourced only the best to provide you with our immune support and wake-up America Patriot Blend coffee.
[18:23.640 --> 18:29.640]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[18:29.640 --> 18:33.640]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:33.640 --> 18:40.640]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:40.640 --> 18:44.640]  You can even choose to start your morning healthier with the immune support blend,
[18:44.640 --> 18:48.640]  infused with a powerful blend to support your immune response and stamina.
[18:48.640 --> 18:51.640]  It's time to take care of your morning routine.
[18:51.640 --> 18:58.640]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[18:58.640 --> 19:05.640]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself
[19:05.640 --> 19:09.640]  and a gift to the info war to fight the globalist and live in a free society.
[19:09.640 --> 19:16.640]  Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated,
[19:16.640 --> 19:22.640]  over-the-top stamina, libido, workout, brain formula that is safe.
[19:22.640 --> 19:27.640]  I know from using this myself the last few months and from seeing my friends and family use it
[19:27.640 --> 19:32.640]  this new product is going to end up being the number one best-selling product at infowarslife.com
[19:32.640 --> 19:33.640]  because it works so well.
[19:33.640 --> 19:37.640]  This is a gift you want to give yourself and then rest assured you're fighting the info war
[19:37.640 --> 19:41.640]  so it's a total absolute sure win, no lose equation.
[19:41.640 --> 19:46.640]  Try Alpha Power exclusively available at infowarslife.com for yourself.
[19:46.640 --> 19:48.640]  Ladies and gentlemen, it's non-GMO.
[19:48.640 --> 19:52.640]  It's for your brain, it's for sports, it's for activities and it's made in the U.S.J.
[19:52.640 --> 19:55.640]  Get your Alpha Power today at infowarslife.com.
[19:55.640 --> 19:59.640]  Everybody needs to try Alpha Power today.
[20:26.640 --> 20:34.640]  Trump administration press secretary Sarah Huckabee Sanders said she politely left the establishment
[20:34.640 --> 20:39.640]  known as the Red Hand Restaurant in Lexington, Virginia after being told by the manager
[20:39.640 --> 20:42.640]  that she would not be served in their establishment.
[20:42.640 --> 20:48.640]  Mediaite reports Red Hand owner Stephanie Wilkinson told the Washington Post that she was actually home
[20:48.640 --> 20:54.640]  when she got a phone call informing her that Sanders had walked into her small farm-to-table restaurant.
[20:54.640 --> 20:56.640]  Wilkinson told Washington Post,
[20:56.640 --> 20:58.640]  I said I'd be down to see if it's true.
[20:58.640 --> 21:04.640]  She then huddled with the staff, many who took issue with the White House on a number of issues.
[21:04.640 --> 21:09.640]  She said I was babbling a little but I got my point across in a polite and direct fashion.
[21:09.640 --> 21:14.640]  I explained that the restaurant has certain standards that I feel it has to uphold
[21:14.640 --> 21:17.640]  such as honesty and compassion and cooperation.
[21:17.640 --> 21:19.640]  I said I'd like to ask you to leave.
[21:19.640 --> 21:25.640]  Sanders, who Wilkinson did confirm left without a huff, told her side of the story on Twitter later,
[21:25.640 --> 21:33.640]  a move that, according to former ethics head Walter Schaub, may have actually violated ethics rules.
[21:33.640 --> 21:37.640]  Yelp is still getting reviews concerning the hypocrisy.
[21:37.640 --> 21:43.640]  DB writes, I remember the days when certain people in the South were not allowed to eat in restaurants.
[21:43.640 --> 21:47.640]  Looks like nothing has changed with the Southern Democrat crowd.
[21:47.640 --> 21:54.640]  Another Yelp review reads, Wow, kicking customers out of your restaurant because of their employer.
[21:54.640 --> 21:58.640]  If she were black or gay, the Liberals would be going crazy.
[21:58.640 --> 22:02.640]  Another review read, I thought the Liberal Democrat Party was about peace, love and tolerance.
[22:02.640 --> 22:05.640]  Not much of that going on at this restaurant.
[22:05.640 --> 22:08.640]  This is an example of what is wrong with America right now.
[22:08.640 --> 22:11.640]  When they were in power, they acted like they were so kind and tolerant,
[22:11.640 --> 22:16.640]  but they lose power and the claws come out and their true colors shine through.
[22:16.640 --> 22:21.640]  And another Yelp review reads, This lame restaurant only got two and a half out of five stars
[22:21.640 --> 22:26.640]  and rejects customers based on their customers' politics, laughing out loud.
[22:26.640 --> 22:30.640]  The Gateway pundit reported that a hacker even changed the menu description
[22:30.640 --> 22:33.640]  to be that of a description of erectile dysfunction.
[22:33.640 --> 22:37.640]  Are Republicans going to have to seek discrimination protection?
[22:37.640 --> 22:42.640]  After all, the Democrats are threatening them and their children on a regular basis with murder and rape.
[22:42.640 --> 22:47.640]  Hey, but the Democrats are at the forefront of tolerance and inclusion, you say.
[22:47.640 --> 22:51.640]  Here's a little history lesson about the hidden fascism of the Democrats.
[22:51.640 --> 22:56.640]  It was Democrat Party founder President Andrew Jackson and Martin Van Buren
[22:56.640 --> 23:00.640]  that ignored the Supreme Court and relocated the Cherokee on the Trail of Tears.
[23:00.640 --> 23:05.640]  It was Democrat President James K. Polk that pushed for the Mexican War,
[23:05.640 --> 23:07.640]  resulting in the massacre of Mexican civilians.
[23:07.640 --> 23:12.640]  And it was the old Southern Democrats that primarily defended slavery and Jim Crow.
[23:12.640 --> 23:17.640]  And it was Democrat President FDR who interned the Japanese during World War II
[23:17.640 --> 23:21.640]  and refused to support federal anti-lynching legislation,
[23:21.640 --> 23:25.640]  not to mention the Democrats' long history with the KKK.
[23:25.640 --> 23:30.640]  Don't get me wrong, I'm fully aware of the left-right paradigm, country club system,
[23:30.640 --> 23:32.640]  we are all suffering under.
[23:32.640 --> 23:36.640]  And maybe it sounds like the twist to a bad horror film, Democrats,
[23:36.640 --> 23:38.640]  but yes, it is you.
[23:38.640 --> 23:42.640]  You are the despicable creature massacring this republic,
[23:42.640 --> 23:45.640]  no longer searching for the truth behind your rhetoric,
[23:45.640 --> 23:51.640]  instead collectivizing a mob rule mentality that is foreign to our shared bill of rights.
[23:51.640 --> 23:57.640]  In fact, I'm just going to politely ask the Democrats to just sit this upcoming 4th of July out.
[23:57.640 --> 24:01.640]  John Bound reporting for Infowars.com.
[24:01.640 --> 24:17.640]  That's powerful.
[24:17.640 --> 24:33.640]  Federal Bureau of Investigation Embarrassment James Comey took his treason toward Ireland in full anti-Trump bias, claiming he was so ashamed of current US immigration policies that he considered telling Irish customs officials that he was Canadian when he arrived.
[24:33.640 --> 24:36.640]  Harmless rhetoric or another slap in America's face.
[24:36.640 --> 24:41.640]  He was blaming policies from a previous administration that he was a part of.
[24:41.640 --> 24:47.640]  The thought that he is now responsible for keeping America safe.
[24:47.640 --> 24:55.640]  And yet when you use a word like infested with immigrants, that's not a good sign.
[24:55.640 --> 24:57.640]  It's not who we are.
[24:57.640 --> 25:00.640]  And the good news is, we know that about ourselves.
[25:00.640 --> 25:02.640]  I think our British colleagues know it about us.
[25:02.640 --> 25:04.640]  We're better than that.
[25:04.640 --> 25:10.640]  And no president in a four-year term or an eight-year term can essentially change America.
[25:10.640 --> 25:13.640]  That's not painful and concerning in the short term.
[25:13.640 --> 25:25.640]  Earlier this week, clearly bias and treasonous FBI agent Peter Struck was removed from his office and placed under investigation by the FBI's Office of Professional Responsibility.
[25:25.640 --> 25:40.640]  As the Justice Department revealed in Inspector General Horowitz's IG report that Struck and four other FBI employees sent hostile anti-Trump messages using taxpayer-funded bureau devices, a violation of FBI rules.
[25:40.640 --> 25:55.640]  This text from Peter Struck, who basically says, you know, he says to his girlfriend, we will stop it. And this text happened on August 8th of 2016. Four days later, we get the other text that says we need an insurance policy.
[25:55.640 --> 26:00.640]  We've had the insurance policy text for months, and yet we're just getting this one now.
[26:00.640 --> 26:11.640]  But when the FBI agent says he's going to stop it, that sounds like collusion at the highest level and an attempt to improperly interfere with a legitimate election.
[26:11.640 --> 26:16.640]  Congress is entitled to know everything about that in real time.
[26:16.640 --> 26:18.640]  But don't count your chickens just yet.
[26:18.640 --> 26:34.640]  Inspector General Horowitz confirmed that he is investigating if Struck's anti-Trump bias played a role in the origins of the FBI's Russia investigation, and further evidence regarding gifts the FBI agents received from reporters has yet to be completely revealed.
[26:34.640 --> 26:51.640]  As detailed in our report, we found that the inappropriate political messages we uncovered cast a cloud over the mid-year investigation, so doubt about the credibility of the FBI's handling of it, and impacted the reputation of the FBI.
[26:51.640 --> 27:07.640]  We found the implication that senior FBI employees would be willing to take official action to impact the presidential candidate's electoral prospects, to be deeply troubling and antithetical to the core values of the FBI and the Justice Department.
[27:07.640 --> 27:19.640]  And also, the Hill Report's Senate Judiciary Committee Chairman Chuck Grassley wants to subpoena former FBI Director James Comey and Loretta Lynch, who served as Attorney General in the Obama administration.
[27:19.640 --> 27:28.640]  This is the second time since he was fired that Mr. Comey refused an invitation to testify here voluntarily.
[27:28.640 --> 27:40.640]  He has time for book tours and television interviews, but apparently no time to assist this committee, which has primary jurisdiction over the Justice Department.
[27:40.640 --> 27:50.640]  Ms. Lynch also chose not to show up. The need for transparency does not end when senior officials are fired or quit.
[27:50.640 --> 28:16.640]  If the IG report were to be taken seriously by the country club of back scratchers in the District of Criminals, not only would Hillary be finally brought front and center to answer to her lacky James Comey's watered-down bungling of her treasonous crimes against national security, but Obama himself, or another senior official as Comey disguised him, would be entangled in Hillary's still unresolved email scandal,
[28:16.640 --> 28:33.640]  as Obama absolutely improperly communicated on an illicit email server. Again, all of this due to Hillary's unresolved email scandal, a long-suffering scandal so blatantly criminal that the very investigation into it is under investigation.
[28:33.640 --> 28:48.640]  John Bowne reporting for Infowars.com.
[29:03.640 --> 29:30.640]  You have been lied to.
[29:30.640 --> 29:46.640]  My name is Kevin Ship. I'm a former decorated CIA officer. Finally, someone has come out and written what I think is the best ex-Mose on the shadow government ever. We're in a constitutional crisis and our government is now being run and ruled by a shadow government.
[29:46.640 --> 30:00.640]  We've got to get this out because just because you're awake, folks, doesn't mean other people are. This is critical to get, to read, to give them a library, to give them a church. Get them right now at killingunclesambook.com.
[30:00.640 --> 30:20.640]  I realize that when you spread the links from Infowars.com, when you spread the videos, you are changing the world. It's you that has defeated Hillary and the globalist. It is you, the Infowars, across the planet that stood against the bullying, that stood against the peer pressure, that stood against the threats that have now changed the world.
[30:20.640 --> 30:41.640]  That's why you've been on the team, supporting us, praying for us, and spreading the word. You are the Infowars. And now because of their intensifying censorship, it's more important than ever that everyone go to Infowars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[30:41.640 --> 30:59.640]  And so now I ask you more than ever to share the Infowars.com articles, to share the videos, to tell people by the local stations you're listening to. The bare minimum you can do is sign up for the free newsletter at Infowars.com forward slash newsletter. We are the Renaissance and we are winning.
[31:11.640 --> 31:27.640]  With Infowars Life Select Storable Food, you can make sure you and your family are ready for any emergency. With drinks, snacks, and meals in amounts ranging from 72 hours to a full year, there's no better place to look for healthy, easy, and incredible meals.
[31:27.640 --> 31:41.640]  Including meals such as Traveler's Stew, Homestyle Potato Soup, and a variety of other meals for breakfast, lunch, and dinner. Infowars Life Select Storable Food will help you eat comfortably in a time of need. They even work great for camping.
[31:41.640 --> 31:59.640]  Simply pack a 72 hour kit to go and you have easy to cook and transport food for you and your loved ones trip. Don't be caught surprised by an emergency. Make sure you're stocked up today with all the food you need for an affordable price with Infowars Life Select Storable Foods.
[31:59.640 --> 32:19.640]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by Infowars Life. Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber, a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[32:19.640 --> 32:37.640]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients, and even support your immune system. Infowars Life's cutting edge formula only brings you the highest quality organic and clinically studied ingredients.
[32:37.640 --> 32:52.640]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[32:52.640 --> 33:11.640]  Head to infowarslife.com or call 1-888-253-3139.
[33:11.640 --> 33:29.640]  This message is transmitted at the request with the President of the United States of America and the Office of Homeland Security. In compliance with the United Nations, the President of the United States has declared martial law.
[33:29.640 --> 33:49.640]  Curfew is now in place. Return to your homes. Any congregating of two or more people outside of your homes will result in you being arrested on site. If you are receiving this transmission, you are the resistance. It's the Alex Jones Show.
[33:49.640 --> 34:00.640]  We are back live broadcasting worldwide. I am Alex Jones, your host, and we're here covering the reality of what's going on, the reality of what's happening.
[34:00.640 --> 34:19.640]  The United States is facing a multinational, multinational coalition of authoritarians attempting to bully and dominate this country into submission and shut our republic down and convert it into a surf-based high-tech technocracy.
[34:19.640 --> 34:44.640]  High-tech surfed them in their own words. And the history of what's happening and the dire consequences of what's happening and the manifest evil of what's happening and the fact that so many people in the general public are willing to buy lies from known frauds
[34:44.640 --> 34:56.640]  and to go out and to work against their own interest saddens me. Liberty is rising worldwide. And we're winning on many fronts.
[34:56.640 --> 35:24.640]  But the clear-cut nature of what Trump's doing being reasonable, pragmatic, common sense, and good on every front versus the Democrats taking it up another notch to 11 in spinal tap nomenclature or parlance is just, it's just,
[35:24.640 --> 35:35.640]  they don't want us in their restaurants. They don't want to be around us. Believe me, I don't want to be around you.
[35:35.640 --> 35:43.640]  You know, growing up, there was always that girl that was trying to get guys to start fights with you or claiming you'd said something to her or done something or claiming you wanted to date her.
[35:43.640 --> 35:56.640]  And you didn't want to date her, but later you learned that she was mad because you never asked her out. That's bad enough. But this is like neurotic little followers. I mean, leftists all look like there's something wrong with them.
[35:56.640 --> 36:06.640]  I don't care if they're black, white, Asian, Hispanic. A real leftist is a gibbering mental patient at the low level.
[36:06.640 --> 36:18.640]  At the higher levels, they're criminals who are known criminals who are con artists who are there to feed on the earth and who hate everyone.
[36:18.640 --> 36:32.640]  So I don't even hate them. I want them out of my life. Please put a sign up that you don't want capitalist Christians, conservatives, libertarians, nationalists. Please tell me.
[36:32.640 --> 36:40.640]  We've got to go further. We can look up who owns companies. We can look up, especially with big corporations and just do not support them.
[36:40.640 --> 36:47.640]  The conservatives, the libertarians, the Christians all over the world, no matter what color you are, have all the wealth.
[36:47.640 --> 36:59.640]  You can go anywhere in the world. You can go to Africa and there's squalor and death everywhere and there'll be some little minority Christian tribe that's got industry and farms and has built up the entire area around them.
[36:59.640 --> 37:08.640]  But then always the Islamist or the animist at the UN behest like Rwanda come in and just murder everyone.
[37:08.640 --> 37:21.640]  Take what the Christians had and then everything collapses. Same things happened in multiple places in Latin America with the Amish who moved in there over 150 years ago when they got kicked out of Europe.
[37:21.640 --> 37:29.640]  And they'll produce in some places in South America, some countries, 80% of the food, even though they're like 2% of the population.
[37:29.640 --> 37:39.640]  And what happens? The socialists get control. They start taking everything the Amish have. The Amish just stop producing and everybody starts starving to death.
[37:39.640 --> 37:48.640]  The socialists get thrown out. The Amish are given their land back and then everything starts back over again because they're Christians.
[37:48.640 --> 38:01.640]  And because they produce. But everybody else just goes, I'll rob them today, butcher all the cows today, we'll live high off the hog for a month and then move on to something else like locust.
[38:01.640 --> 38:07.640]  Like a bunch of giant grasshoppers coming across the land, eating everything down to the bone.
[38:07.640 --> 38:24.640]  And that's what's happening. Hispanic Christians, Black Christians, Arab Middle Eastern Christians, doesn't matter Asian Christians, it doesn't matter where you are, they produce generally 10 to 1.
[38:24.640 --> 38:36.640]  There's big studies on this. 10 to 1 against any other group. Now why is that? Because they're following the Golden Rule. Doesn't mean they're perfect, but they're trying.
[38:36.640 --> 38:43.640]  And they're building things and they're expanding and they, it's prosperity.
[38:43.640 --> 38:50.640]  Do you think the big mega corporations like having that type of stuff around? By the way, I didn't even get to this yesterday.
