[00:00.000 --> 00:10.000]  The globalist great error is to believe that as they collapse humanity they end up on top.
[03:03.000 --> 03:09.000]  You put out the fake news that Hillary Clinton was 98% likely to win the presidency.
[03:09.000 --> 03:14.000]  You printed out and shipped copies of Newsweek celebrating Madame President.
[03:14.000 --> 03:18.000]  You said the Cubs had a smaller chance of winning than Donald Trump.
[03:18.000 --> 03:23.000]  You put out fake rigged polls that were proven spectacularly wrong.
[03:23.000 --> 03:29.000]  You put out fake rape stories that ruin people's lives over and over again.
[03:29.000 --> 03:34.000]  You fake interviews with your own camera men, claiming they're anti-Trump protesters.
[03:34.000 --> 03:42.000]  You create fake narratives like Trump being responsible for violence at his own rallies when it was DNC funded agitators all along.
[03:42.000 --> 03:48.000]  By this measure, nearly every mainstream media outlet should be put on a fake news list.
[03:48.000 --> 03:56.000]  Oh yeah, and when some fake news website puts out a fake news story, the worst case scenario is that someone makes some ill-gotten advertising dollars.
[03:56.000 --> 04:06.000]  When the mainstream media pedals fake news like the fake news story that Saddam Hussein had, weapons of mass destruction, hundreds of thousands of people die.
[04:06.000 --> 04:12.000]  You're the f***ing experts at fake news, so how dare you accuse us of being fake news?
[04:12.000 --> 04:15.000]  And why the hell should anyone trust you?
[04:15.000 --> 04:22.000]  As WikiLeaks exposed, you're not the fourth estate you're a public relations front for the Democratic Party.
[04:22.000 --> 04:31.000]  You lost the argument, you trashed your own credibility, and now you're trying to resurrect it by claiming that everyone who beat you is fake news.
[04:31.000 --> 04:33.000]  Give me a break.
[04:33.000 --> 04:39.000]  No one trusts you. That's why you have to resort to dirty tricks and censorship, and it's not going to work.
[04:39.000 --> 04:57.000]  Because you suck, you lie, and everyone knows now that you're fake news.
[05:10.000 --> 05:17.000]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[05:17.000 --> 05:26.000]  With concentrated organic compounds like cilantro, milk thistle, folvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[05:26.000 --> 05:35.000]  Instead of buying five, six, or even seven different cleansing products, we use decades old scientific research to put together the Rolls Royce of all-in-one cleansing.
[05:35.000 --> 05:42.000]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpyJRX herbal processing technique.
[05:42.000 --> 05:48.000]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[05:48.000 --> 05:53.000]  If you wish to find Deep Cleanse and experience the all-in-one cleansing, visit infowarslife.com.
[05:53.000 --> 05:58.000]  That's infowarslife.com, or call 888-253-3139.
[05:58.000 --> 06:05.000]  We are on the march. The Empire is on the run.
[06:05.000 --> 06:10.000]  Alex Jones and the GCN Radio Network.
[06:10.000 --> 06:22.000]  I'm waiting in my cold cell when the bell begins to chime.
[06:22.000 --> 06:34.000]  Reflecting on my past life, and it doesn't have much time.
[06:34.000 --> 06:53.000]  Because at five o'clock, they take me to the gallows pole. The sands of time for me are running.
[06:53.000 --> 07:02.000]  The sands of time for global government, the private corporate government that is tax exempt and above the law, is running low.
[07:02.000 --> 07:14.000]  In fact, it was Barack Obama and Angela Merkel who met desperately last Friday, trying to figure out how to stave off the collapse of private corporate world government.
[07:14.000 --> 07:29.000]  What a delusional group of elites who actually believed that they could establish a private planetary government, give themselves diplomatic immunity and tax exemption, and then just deny to the public it existed.
[07:29.000 --> 07:38.000]  But last Monday, the New York Times was still trying that. They were out saying that Alex Jones believes in a global government globalism conspiracy.
[07:38.000 --> 07:40.000]  He believes in the thing called globalism.
[07:40.000 --> 07:49.000]  Meanwhile, we have the president and the German chancellor running around saying globalism is in crisis. Global government is in trouble.
[07:49.000 --> 07:58.000]  This is how mainstream media talks to you like you're a three-year-old. Extreme, extreme arrogance.
[07:58.000 --> 08:05.000]  Now, I've got a lot of news obviously to break down here before we open the phones up on this Sunday edition and take your calls.
[08:05.000 --> 08:09.000]  We're here every Sunday, 4 to 6 p.m. Central Standard Time.
[08:09.000 --> 08:17.000]  I return weekdays, 11 a.m. to 3 p.m. Central. We have M4's Nightly News, 7 o'clock Central weeknights as well.
[08:17.000 --> 08:21.000]  There's been a lot of interesting things unfolding this week.
[08:21.000 --> 08:34.000]  The mainstream media went from saying that we were a tiny show that had no viewers and listeners to admitting that we're bigger than the New York Times and the Washington Post and our rated 126 on the web.
[08:34.000 --> 08:36.000]  That's just our website.
[08:36.000 --> 08:40.000]  They also have begun to recognize that other independent media is much bigger than them.
[08:40.000 --> 08:48.000]  And so it's a real come-to-Jesus moment for these arrogant sycophants, and their response is, and I have the clip coming up,
[08:48.000 --> 08:55.000]  kick Alex Jones off the air. So if that is an authoritarian, I don't know what is.
[08:55.000 --> 09:04.000]  But before we go there, there's a very interesting article out of the Hollywood Reporter that we've posted up on infowars.com,
[09:04.000 --> 09:13.000]  and it came out Friday, and Steve Bannon is the head strategist for the Trump White House and good friends with Trump for decades.
[09:13.000 --> 09:26.000]  And of course, he took over Breitbart in the last few years and has made it very, very nationalistic, very, very anti-New World Order, not just anti-social justice warrior liberal.
[09:26.000 --> 09:30.000]  And if you read this article, it's the spirit of America.
[09:30.000 --> 09:34.000]  People say, why is Steve Bannon reading off the same sheet of music as Alex Jones?
[09:34.000 --> 09:38.000]  Or why is Joseph Fair reading off the same sheet as Alex Jones?
[09:38.000 --> 09:41.000]  Or why is Matt Drudge reading off the same sheet as Alex Jones?
[09:41.000 --> 09:46.000]  It's not like we got some sheet or talking point. This is how the real world works.
[09:46.000 --> 09:50.000]  And we're breaking down the real players and the real political and economic systems.
[09:50.000 --> 09:59.000]  And Americanism is the Renaissance, is free market, is the people making their own decisions, is the lowest tax rates in the world.
[09:59.000 --> 10:03.000]  They keep asking what makes America great again, like Trump hasn't been clear.
[10:03.000 --> 10:07.000]  No taxes for working class people.
[10:07.000 --> 10:15.000]  Having fair trade deals, not letting globalist interest shell out the incredible American dynamo.
[10:15.000 --> 10:25.000]  The United States, by the 1950s, had something like 80% of world production, totally controlled everything, was spreading freedom worldwide, and then it all stopped.
[10:25.000 --> 10:27.000]  Like a needle being pulled off a record.
[10:27.000 --> 10:34.000]  Because the globalists came in and said, we want a permanent, deep state, we want to degrade America, we want the U.S. to lose wars.
[10:34.000 --> 10:42.000]  We want to then transfer American power into China and set up a system where you have a multipolar world controlled by multinational banks.
[10:42.000 --> 10:46.000]  You can read that in the Council on Foreign Relations, bi-monthly publications.
[10:46.000 --> 10:49.000]  You can read the former editor of Newsweek saying it, strobe Talbot.
[10:49.000 --> 10:53.000]  You can read, you know, when he was under Secretary of State saying the same thing.
[10:53.000 --> 11:01.000]  There are tens of thousands of quotes and books and letters and when I say tens of thousands, that's very conservative.
[11:01.000 --> 11:06.000]  But they know the general public doesn't read intellectual white papers.
[11:06.000 --> 11:10.000]  So they tell you on the nightly news or the New York Times, it does not exist.
[11:10.000 --> 11:13.000]  With Trump, look how far we've come.
[11:13.000 --> 11:17.000]  Almost everyone knows the Federal Reserve is private now, thanks to this show and Ron Paul and others.
[11:17.000 --> 11:21.000]  Almost everyone now knows that foreign banks are taxed exempts.
[11:21.000 --> 11:23.000]  Almost everyone understands we've been sold out to China.
[11:23.000 --> 11:29.000]  All these huge things are happening and then you read this amazing article.
[11:29.000 --> 11:35.000]  We basically had a blurb article on it that broke down the quotes and that quoted Bannon.
[11:35.000 --> 11:42.000]  Our headline was, Stephen Bannon says, Americans want somebody in office who isn't going to ask them over.
[11:42.000 --> 11:50.000]  And he talks about the strategy that got record numbers of black Americans, Hispanic Americans, to vote for Trump.
[11:50.000 --> 12:01.000]  And how the numbers show if we can deliver tax cuts and prosperity and break the back of all the sick, race-baiting, brainwashing, desperate establishment moves
[12:01.000 --> 12:10.000]  to mentally cripple this country and turn us into racist basket cases, if we can double down and defeat that, which we're starting to do,
[12:10.000 --> 12:13.000]  their whole system is over.
[12:13.000 --> 12:22.000]  I saw a meme last week that the Democratic Party hasn't been so upset since the Republicans outlawed slavery with the election of Trump.
[12:22.000 --> 12:24.000]  And that's really what we're facing.
[12:24.000 --> 12:28.000]  The establishment had taken over the Republican Party.
[12:28.000 --> 12:32.000]  They had purposely basically been loyal opposition.
[12:32.000 --> 12:38.000]  CIA white papers have been declassified, breaking down that since the late 60s, that's been the case.
[12:38.000 --> 12:45.000]  With no real opposition, they could make it look like there was no way to ever have change.
[12:45.000 --> 12:53.000]  Now, the media is attacking this article, and Steve Bannon's saying, oh, Carl Rove claimed he'd create a permanent Republican supermajority,
[12:53.000 --> 12:55.000]  and Carl Rove said a lot of the stuff.
[12:55.000 --> 12:56.000]  No, he didn't.
[12:56.000 --> 13:00.000]  Carl Rove represented blue blood bushes that are in league with the Clintons.
[13:00.000 --> 13:07.000]  He represented a guy that could hardly talk, George H. Bush, H. W. Sun.
[13:07.000 --> 13:09.000]  George W. Bush.
[13:09.000 --> 13:18.000]  He represented the old rotting blue blood joke establishment that moved to Texas to look like they had some street cred with commoners.
[13:18.000 --> 13:22.000]  With this, with Bannon and Trump, it's real.
[13:22.000 --> 13:25.000]  They intend to get rid of taxes $40,000 a year or less.
[13:25.000 --> 13:28.000]  They intend to cut corporate tax to make the jobs move back here.
[13:28.000 --> 13:31.000]  The big corporations wrote that to move the jobs overseas.
[13:31.000 --> 13:38.000]  And you read these quotes, this is pure Americana because he waited not to give the New York Times the Washington Post interview.
[13:38.000 --> 13:41.000]  Well, they've been lying about him with no proof saying he's racist.
[13:41.000 --> 13:44.000]  Or because he criticized some Jewish people.
[13:44.000 --> 13:45.000]  He must be anti-Semitic.
[13:45.000 --> 13:46.000]  I mean, give me a break.
[13:46.000 --> 13:48.000]  You get in politics, you're Jewish.
[13:48.000 --> 13:50.000]  He criticizes you for what your policies are.
[13:50.000 --> 13:54.000]  The guy's been pro-Israel, and they flip out on you and attack you.
[13:54.000 --> 13:58.000]  This is why all this race-baiting garbage doesn't work anymore.
[13:58.000 --> 14:04.000]  So he gave this interview with a reporter he's known for a while, Michael Wolf,
[14:04.000 --> 14:07.000]  because he knew he'd actually just get quoted in it.
[14:07.000 --> 14:09.000]  And boy, is this a good article.
[14:09.000 --> 14:10.000]  This is so Americana.
[14:10.000 --> 14:16.000]  I'm going to start reading this now.
[14:16.000 --> 14:23.000]  When asked if he's a white nationalist, he says, quote, he absolutely mockingly starts laughing,
[14:23.000 --> 14:27.000]  rejects the idea that it is a racial line.
[14:27.000 --> 14:28.000]  I'm not a white nationalist.
[14:28.000 --> 14:29.000]  I'm a nationalist.
[14:29.000 --> 14:31.000]  I'm an economic nationalist, he tells me.
[14:31.000 --> 14:33.000]  The globalist gutted the American working class.
[14:33.000 --> 14:36.000]  This guy's a tin from poor Democrats, by the way.
[14:36.000 --> 14:38.000]  You know, blue collar steelworkers.
[14:38.000 --> 14:42.000]  The globalist gutted the American working class and created a middle class in Asia.
[14:42.000 --> 14:46.000]  The issue now is about Americans looking not to get after over.
[14:46.000 --> 14:52.000]  If we deliver, I think you heard this before from somebody, if we deliver by we,
[14:52.000 --> 14:56.000]  he means the Trump White House, we'll get 60% of the white vote, 40% of the black vote,
[14:56.000 --> 14:59.000]  an Hispanic vote, and we'll govern for 50 years.
[14:59.000 --> 15:01.000]  That's what the Democrats missed.
[15:01.000 --> 15:07.000]  They were talking to people with companies with 9 billion market cap, employing 9 people.
[15:07.000 --> 15:08.000]  It's not reality.
[15:08.000 --> 15:16.000]  They lost sight of what the world's all about, community, jobs, industry, pride, quality.
[15:16.000 --> 15:20.000]  In a nation administration that seems at best random in its belief,
[15:20.000 --> 15:25.000]  Bannon can seem but to not just focus voice.
[15:25.000 --> 15:29.000]  He seems to not just be a focus voice, but almost a messianic one.
[15:29.000 --> 15:32.000]  Yes, and he goes on from there with populism, which you've heard here.
[15:32.000 --> 15:36.000]  But it isn't that Bannon and I are reading from the same sheet of music.
[15:36.000 --> 15:39.000]  We're telling you what the American system is.
[15:39.000 --> 15:46.000]  And everyone's acting like it's so sexy, it's so new, it's so alien, it's what made the country great.
[15:46.000 --> 15:50.000]  Globalism was a one-sided screw job on purpose.
[15:50.000 --> 15:52.000]  They wrote books admitting it.
[15:52.000 --> 15:56.000]  Henry Kissinger admits it. David Rockefeller wrote two books admitting it.
[15:56.000 --> 15:58.000]  We're going to reverse it.
[15:58.000 --> 16:01.000]  You know, in the coming election, no matter who gets in,
[16:01.000 --> 16:07.000]  one of the biggest issues nobody's talking about in the debates or anywhere is the vulnerability of the power grid.
[16:07.000 --> 16:10.000]  The potential for power grid chaos.
[16:10.000 --> 16:16.000]  EMP, cyber warfare, not to mention dangerous weather, hurricanes, ice storms.
[16:16.000 --> 16:18.000]  All a very real threat to our grid.
[16:18.000 --> 16:21.000]  My friend's chaos is already here, and it's going to get a lot worse.
[16:21.000 --> 16:27.000]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[16:27.000 --> 16:31.000]  Now, I've got the perfect power solar generator system in my house.
[16:31.000 --> 16:33.000]  The solutions from science system.
[16:33.000 --> 16:35.000]  Simply put, this thing is amazing.
[16:35.000 --> 16:38.000]  Solutions from science only makes the best equipment.
[16:38.000 --> 16:41.000]  Go to powergridchaos.com.
[16:41.000 --> 16:44.000]  That's powergridchaos.com to check it out.
[16:44.000 --> 16:50.000]  Now, if this is key, right now, get 70% off their top of the line perfect power solar generator.
[16:50.000 --> 16:52.000]  This is the one I use in my home.
[16:52.000 --> 16:57.000]  Go to powergridchaos.com and get 70% off.
[16:57.000 --> 17:02.000]  Please listen carefully, because I'm about to point out three things that will save you a lot of money
[17:02.000 --> 17:05.000]  while you get high quality products and fund the info war.
[17:05.000 --> 17:06.000]  A 360 win.
[17:06.000 --> 17:13.000]  Number one, when you choose auto ship before checkout, we give you 10% off on your order at infowarshore.com.
[17:13.000 --> 17:18.000]  Number two, you're also able to get items that are out of stock when you sign up for auto ship
[17:18.000 --> 17:21.000]  because we hold back a surplus for auto ship customers.
[17:21.000 --> 17:26.000]  Number three, we're giving you free shipping on all orders above $50.
[17:26.000 --> 17:32.000]  Listeners have been requesting this for years, because it's so easy to forget to reorder the products that you need each month.
[17:32.000 --> 17:36.000]  Just go to infowarshore.com, select your favorite product or products.
[17:36.000 --> 17:40.000]  Click on auto ship and choose how often you want us to send you another order.
[17:40.000 --> 17:43.000]  As you know, I coined the term 360 win.
[17:43.000 --> 17:47.000]  And with the new auto ship feature in infowarslife.com, this is a sure win.
[17:47.000 --> 17:49.000]  10% off on auto ship.
[17:49.000 --> 17:53.000]  Win, win, win at infowarslife.com, free shipping on orders above $50.
[17:53.000 --> 17:57.000]  And all out of stock items are never out of stock when you sign up for auto ship.
[17:58.000 --> 18:02.000]  Introducing vitamin mineral fusion from infowarslife.com.
[18:02.000 --> 18:10.000]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great tasting multivitamin formula available.
[18:10.000 --> 18:21.000]  The all new vitamin mineral fusion drink mix at infowarslife.com is loaded with a full month supply of essential vitamins, minerals and amino acids that your body absolutely needs.
[18:21.000 --> 18:29.000]  In the history of infowarslife, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality and so many others.
[18:29.000 --> 18:39.000]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[18:39.000 --> 18:43.000]  This formula is the platinum standard of multivitamin mineral products.
[18:43.000 --> 18:50.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[18:50.000 --> 18:53.000]  That means it's clean, that means it's pure.
[18:53.000 --> 18:56.000]  At infowarslife.com and vitamin mineral fusion.
[18:56.000 --> 18:58.000]  Take action now before we sell out.
[18:58.000 --> 19:03.000]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[19:03.000 --> 19:12.000]  Young Jevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, Plant Derived Minerals and much more.
[19:12.000 --> 19:16.000]  Young Jevity also offers you an ingenious way to augment your income.
[19:16.000 --> 19:20.000]  And the best part? You'll be helping your friends and family along the way.
[19:20.000 --> 19:22.000]  Visit infowarsteam.com today.
[19:22.000 --> 19:23.000]  Become a member.
[19:23.000 --> 19:27.000]  It discounts on the amazing products and free shipping when you sign up for auto-ship.
[19:27.000 --> 19:34.000]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[19:34.000 --> 19:35.000]  Another win-win.
[19:35.000 --> 19:39.000]  That's why I'm a member of the Young Jevity team at infowarsteam.com.
[19:39.000 --> 19:40.000]  And you can be too.
[19:40.000 --> 19:41.000]  It's simple.
[19:41.000 --> 19:44.000]  Just go to infowarsteam.com today.
[19:44.000 --> 19:46.000]  Complete a short sign up and you're part of the team.
[19:46.000 --> 19:49.000]  That's infowarsteam.com or infowarshealth.com.
[19:49.000 --> 19:55.000]  So many people call into my radio show and tell me how Young Jevity and the products at infowarsteam.com have changed their lives.
[19:55.000 --> 19:57.000]  Check it out for yourself today.
[20:25.000 --> 20:27.000]  I want to be clear.
[20:27.000 --> 20:30.000]  It is so frustrating to read.
[20:30.000 --> 20:32.000]  I don't want to exaggerate.
[20:32.000 --> 20:35.000]  It's got to be more than 50 books.
[20:35.000 --> 20:37.000]  That's more than that.
[20:37.000 --> 20:38.000]  Written by the globalist.
[20:38.000 --> 20:43.000]  Brazilian Brzezinski, Henry Kissinger, David Rockefeller, Helmut Schmidt.
[20:43.000 --> 20:45.000]  I mean, I've got them out there in my office bookshelf.
[20:45.000 --> 20:48.000]  I ought to do a whole 20-minute live feed or something this week.
[20:48.000 --> 20:49.000]  In fact, I will.
[20:49.000 --> 20:58.000]  I just pull books off the shelf and open them up and where I've highlighted them and where I've shown them to people on air.
[20:58.000 --> 20:59.000]  Brzezinski just wrote a book.
[20:59.000 --> 21:00.000]  I forget the name.
[21:00.000 --> 21:07.000]  Two years ago where he said we may have to kill millions of people to support world government because they're not going to believe us in the future.
[21:07.000 --> 21:17.000]  And to show how cutting edge he was, he was telling people at the Council on Farm Relations five years ago on C-SPAN that we've already lost world governments dead.
[21:17.000 --> 21:20.000]  The Nationalists killed us.
[21:20.000 --> 21:33.000]  But imagine how frustrating it is to read white papers, to read books, to watch C-SPAN, to play the clips, and then see the New York Times come out in three articles this week.
[21:33.000 --> 21:34.000]  Mainly about me.
[21:34.000 --> 21:35.000]  One of them was totally about me.
[21:35.000 --> 21:37.000]  The fourth article that was actually pretty fair.
[21:37.000 --> 21:39.000]  I'm surprised.
[21:39.000 --> 21:46.000]  Three of them saying I imagine a system called globalism and how Trump believes in it.
[21:46.000 --> 21:51.000]  Ladies and gentlemen, globalism is completely one-sided.
[21:51.000 --> 21:54.000]  They admitted when they sold it 50 years ago to liberals.
[21:54.000 --> 21:58.000]  The same folks that got civil rights passed in the country and actually meant well.
[21:58.000 --> 22:01.000]  It wasn't diabolical at first, at least with those that supported it.
[22:01.000 --> 22:08.000]  Oh, we want to build up Africa and Asia and Latin America and what's happening in the East.
[22:08.000 --> 22:15.000]  We're going to put regulations in here that make it impossible for us to be dominant that will move those jobs there.
[22:15.000 --> 22:18.000]  But it wasn't to liberalize those countries.
[22:18.000 --> 22:29.000]  It was to set them up as tyrannies and to have basically slave labor to then bring us down to their level, not them up to our level, or them partially up.
[22:29.000 --> 22:31.000]  Because I'm very altruistic.
[22:31.000 --> 22:34.000]  I mean, if the idea was we went down some, they went up, I could see that.
[22:34.000 --> 22:38.000]  But that is a zero-sum game, not a non-zero-sum game.
[22:38.000 --> 22:41.000]  It's a lose-win.
[22:41.000 --> 22:48.000]  So the globalists are just selling us this idea and you read this delicious article that's basically just a transcript of Steve Bannon.
[22:48.000 --> 22:50.000]  And I'm not going on some love fest here.
[22:50.000 --> 22:54.000]  It's just the one part of the article that's not accurate.
[22:54.000 --> 22:55.000]  Well, there's several.
[22:55.000 --> 23:01.000]  It's a long article is with an administration that doesn't seem to have a soul or doesn't seem to stand for anything.
[23:01.000 --> 23:02.000]  Here, I'm paraphrasing.
[23:02.000 --> 23:05.000]  Let me find it.
[23:05.000 --> 23:18.000]  In a nascent administration that seems at best random in its beliefs, Bannon can seem to be not just a focused voice, but almost a messianic one.
[23:18.000 --> 23:21.000]  Trump's entire message is messianic.
[23:21.000 --> 23:22.000]  It's hope.
[23:22.000 --> 23:23.000]  It's change.
[23:23.000 --> 23:25.000]  It's cut your taxes.
[23:25.000 --> 23:28.000]  It's, hey, Ford's already announced it's coming back with multiple plants.
[23:28.000 --> 23:29.000]  First, it was Kentucky.
[23:29.000 --> 23:31.000]  Now they're talking about Ohio.
[23:31.000 --> 23:33.000]  Now they're talking about bringing Apple back.
[23:33.000 --> 23:35.000]  Because there's leadership.
[23:35.000 --> 23:38.000]  Most people in these corporations are just yes men and women.
[23:38.000 --> 23:40.000]  They don't like globalism.
[23:40.000 --> 23:45.000]  I told you I was ready 15 years ago to have war with the feds.
[23:45.000 --> 23:49.000]  I wasn't pushing physical war, but I was like, you know, they're the enemy because they're the.
[23:49.000 --> 23:53.000]  I didn't understand the feds didn't like it as much as I did or more.
[23:53.000 --> 23:54.000]  In fact, they were.
[23:54.000 --> 23:55.000]  I'm not kissing their ass.
[23:55.000 --> 23:56.000]  It's just true.
[23:56.000 --> 23:58.000]  I later discovered they were more awake than the general public.
[23:58.000 --> 24:04.000]  The problem was the public under a Hollywood trance, not knowing what was happening.
[24:04.000 --> 24:10.000]  If we just reached out to the corporate people, the bureaucrats, the cops, the military.
[24:10.000 --> 24:17.000]  Nine times out of 10, they were ready to stand up more than anybody else because they were inside of it.
[24:17.000 --> 24:19.000]  Look at the New World Order's biggest problem.
[24:19.000 --> 24:20.000]  It's Edward Snowden.
[24:20.000 --> 24:21.000]  It's insiders.
[24:21.000 --> 24:23.000]  It's DC leaks.
[24:23.000 --> 24:31.000]  It's all these former military veterans like Bannon and Mad Dog Mattis and everybody else that are anti New World Order.
[24:31.000 --> 24:35.000]  I'm not going to tell you about behind the scenes stuff, but you know, we talked to generals.
[24:35.000 --> 24:36.000]  We talked to colonels.
[24:36.000 --> 24:39.000]  We're in contact with patriots.
[24:39.000 --> 24:44.000]  And the only reason they're in contact with us is there weren't a lot of people doing this five years ago.
[24:44.000 --> 24:45.000]  We're doing it.
[24:45.000 --> 24:48.000]  We're just bringing America back.
[24:48.000 --> 24:49.000]  And here's the deal.
[24:49.000 --> 24:54.000]  Austerity being poor, globalism, saying being poor is good.
[24:54.000 --> 24:57.000]  Saying starving is good.
[24:57.000 --> 24:59.000]  That's clowered in prison.
[24:59.000 --> 25:00.000]  That's agenda 21.
[25:00.000 --> 25:02.000]  That's the New York Times.
[25:02.000 --> 25:04.000]  Just two years ago would go.
[25:04.000 --> 25:08.000]  All these crazy people believe in something imaginary called agenda 21.
[25:08.000 --> 25:14.000]  And they say it's taking over to make life impossible to be able to live and pay your bills.
[25:14.000 --> 25:18.000]  That's the stated goal of the stinking thing.
[25:18.000 --> 25:31.000]  The new head of NASA was quoted last week as saying we need to live in a post industrial world and NASA's job is to end the high tech era.
[25:31.000 --> 25:40.000]  That's like saying a Buddhist monk job is to kill Buddhist or a meat eater's job is to stop eating meat.
[25:40.000 --> 25:41.000]  It's upside down.
[25:41.000 --> 25:51.000]  By the way, without even looking, I ran into a whole bunch of articles here today dealing with just what I just said to understand this.
[25:51.000 --> 25:54.000]  I harp on this because everybody heard about it.
[25:54.000 --> 25:57.000]  When I mentioned secret testing, I mentioned you've heard of Tuskegee.
[25:57.000 --> 26:09.000]  Even the dumbest person has heard of 47 year programs secretly injecting black people with syphilis in three states and letting them spread it everywhere.
[26:09.000 --> 26:14.000]  So when I mentioned things like that, I go to the folks have heard of it.
[26:14.000 --> 26:22.000]  The carbon taxes they wanted six years ago in the latest UN model would cause roughly a billion deaths over the decade.
[26:22.000 --> 26:25.000]  There's already 50 something million people starving to death a year.
[26:25.000 --> 26:27.000]  This is the London Telegraph.
[26:27.000 --> 26:29.000]  I also have other stack of news pushing this.
[26:29.000 --> 26:32.000]  This is just on a daily basis without looking for it.
[26:32.000 --> 26:34.000]  Because I'm not just here saying they want to make you poor.
[26:34.000 --> 26:40.000]  When I mentioned Obama says you can't have cars or air conditioning to Africans, it's the same deal.
[26:40.000 --> 26:47.000]  Or, you know, going to Argentina and promoting communism when communists can't even produce automobiles.
[26:47.000 --> 26:49.000]  This is how the London Telegraph today.
[26:49.000 --> 26:50.000]  This is what we're fighting.
[26:50.000 --> 26:59.000]  If we sell our ideas of liberty, which always deliver, and even 20% of it gets done, it'll produce so much more wealth and choices.
[26:59.000 --> 27:06.000]  People are going to look at a bunch of dirty, hateful communists running around waving guns at people like they're doing today in Austin, Texas,
[27:06.000 --> 27:09.000]  and say, buddy, get the hell out of our way.
[27:09.000 --> 27:10.000]  London Telegraph.
[27:10.000 --> 27:13.000]  U.S. climate commitment, irreversible.
[27:13.000 --> 27:17.000]  That's Francis Hollande warns Donald Trump.
[27:17.000 --> 27:19.000]  Congress never signed on to it.
[27:19.000 --> 27:20.000]  Does it matter?
[27:20.000 --> 27:23.000]  He says you're not allowed to get off.
[27:23.000 --> 27:24.000]  It's illegal.
