[00:00:02.040 --> 00:00:02.720]  Is the U.S.
[00:12:42.259 --> 00:12:43.680]  They've lifted her immunity.
[00:12:43.680 --> 00:12:50.821]  She's a member of the EU Parliament and they're now prosecuting her.
[00:12:53.032 --> 00:12:54.013]  What's the new news?
[00:12:54.013 --> 00:12:57.815]  Google to target criticism of Islam in new censorship purge.
[00:12:57.815 --> 00:13:04.198]  They announced yesterday they're going to censor anything they claim is fake news, anything that's critical, anything that's hurtful, anything that they don't think is pertinent.
[00:13:04.198 --> 00:13:06.900]  Oh, it's not pertinent, your opinion or your view.
[00:13:06.900 --> 00:13:10.382]  I mean, not even something that they see as anti-establishment.
[00:13:10.382 --> 00:13:12.603]  This is a desperation move.
[00:13:12.603 --> 00:13:19.447]  Website that describes Islam as intolerant listed as example of upsetting or offensive.
[00:13:19.447 --> 00:13:21.008]  So if something upsets you,
[00:13:22.665 --> 00:13:28.248]  Millions pouring across the borders, the murders, the rapes, the imams saying, your women belong to us, you're weak, we're going to conquer you.
[00:13:28.248 --> 00:13:31.950]  The fact that they've bought off our leadership.
[00:13:31.950 --> 00:13:37.492]  Don't show photos of them saying, behead those who insult Islam.
[00:13:37.492 --> 00:13:46.057]  Oh yeah, in England they send the police to your house if you go to an Islamic event outdoors where they're having a demonstration and show them saying, we're going to take over and kill you, we're going to enslave you.
[00:13:46.057 --> 00:13:48.258]  You're bad for showing them saying that.
[00:13:49.676 --> 00:13:53.897]  So Google now what started five years ago in Germany.
[00:13:53.897 --> 00:13:57.998]  I've told people a thousand times or more, every week, almost every day.
[00:13:57.998 --> 00:14:00.279]  I say everything you see in Europe will be brought here next.
[00:14:00.279 --> 00:14:02.099]  This is a global rollout.
[00:14:02.099 --> 00:14:04.340]  Infowars.com.
[00:14:04.340 --> 00:14:08.021]  Google to target criticism of Islam in new censorship purge.
[00:14:08.021 --> 00:14:09.702]  We're gonna get more of that.
[00:14:09.702 --> 00:14:10.602]  That ties into this.
[00:14:10.602 --> 00:14:16.343]  Judge considers ordering President Trump to double 50,000 refugees inflow to the United States.
[00:14:16.343 --> 00:14:17.964]  Citing the UN, folks.
[00:14:19.224 --> 00:14:22.647]  It's the UN refugee program that already dictated what we would take.
[00:14:22.647 --> 00:14:42.126]  We would just accept them and they're quote vetting that Syrians, that really weren't even Syrians, people coming out of areas of Palestine, the West Bank, people coming out of Libya that's a failed state, Sudan a failed state, of course the big one Somalia totally failed, road warrior state,
[00:14:43.507 --> 00:14:52.310]  And now, inverting reality, the judges aren't just the executives or the legislative or the judicial, they're just God, and say, you will.
[00:14:52.310 --> 00:14:54.711]  I have the statement of the judge.
[00:14:54.711 --> 00:14:57.172]  You're going to let more in, Mr. President.
[00:14:57.172 --> 00:15:08.437]  Not only is the President under law the authorization to block these people, now the judge says, oh no, you're going to have a quota just like the EU and the UN.
[00:15:08.437 --> 00:15:10.257]  Google this.
[00:15:10.257 --> 00:15:11.258]  EU threatens
[00:15:13.007 --> 00:15:15.549]  France, Germany, the Netherlands.
[00:15:15.549 --> 00:15:16.229]  Just search.
[00:15:16.229 --> 00:15:23.835]  EU threatens member states with fines for not increasing the migrants.
[00:15:23.835 --> 00:15:26.937]  Five million the last four years, at least.
[00:15:26.937 --> 00:15:28.618]  And that's not enough.
[00:15:28.618 --> 00:15:32.361]  The UN, over and over again, is threatening giant fines.
[00:15:32.361 --> 00:15:33.762]  In fact, search this.
[00:15:33.762 --> 00:15:35.423]  EU and UN.
[00:15:35.423 --> 00:15:40.007]  EU threatens fines on UK for not letting in more refugees.
[00:15:40.347 --> 00:15:43.868]  EU threatens member states with fines over failure to accept refugees.
[00:15:43.868 --> 00:15:44.548]  Boom.
[00:15:44.548 --> 00:15:45.168]  Zero hedge.
[00:15:45.168 --> 00:15:50.109]  And then it links through to a bunch of mainstream news articles, Yahoo News, Associated Press.
[00:15:50.109 --> 00:15:52.449]  It's all right there.
[00:15:52.449 --> 00:15:52.909]  You see?
[00:15:52.909 --> 00:15:56.790]  And we are now under the exact same program.
[00:15:56.790 --> 00:15:59.930]  Under Obama, just three months ago, he accelerated the number.
[00:15:59.930 --> 00:16:05.351]  And remember, out of Latin America, it was all the Islamists and others coming into Latin America, Central America.
[00:16:05.351 --> 00:16:09.632]  They were down there, the UN, running the refugee program, telling us who to bring in.
[00:16:10.731 --> 00:16:11.551]  That's U.N.
[00:16:11.551 --> 00:16:12.152]  control.
[00:16:12.152 --> 00:16:12.932]  It isn't U.N.
[00:16:12.932 --> 00:16:14.373]  soldiers we're going to face.
[00:16:14.373 --> 00:16:15.153]  It's just U.N.
[00:16:15.153 --> 00:16:16.254]  regulation and control.
[00:16:16.254 --> 00:16:17.955]  So here it is.
[00:16:17.955 --> 00:16:23.678]  Judge considers ordering President Trump to double 50,000 refugees.
[00:16:23.678 --> 00:16:38.325]  A demand by the judge that the federal government airbus in an extra 50,000 immigrants, including many adherents of Islam Sharia law, which says they'll overthrow our law, into American neighborhoods would be an unusual intervention in the government roles normally left to the elected president and Congress.
[00:16:38.325 --> 00:16:39.826]  That's a nice way of saying it, right Bart?
[00:16:41.570 --> 00:16:49.237]  And it just goes on and on and on, and the judges are now issuing executive orders.
[00:16:49.237 --> 00:16:51.659]  I didn't know they were the executive branch, but I guess that's it.
[00:16:51.659 --> 00:16:55.063]  Again, it's a total lawless rebellion.
[00:16:55.063 --> 00:16:59.046]  The VA says, we're not hanging up pictures of the president or the VA head.
[00:16:59.046 --> 00:17:02.490]  Congressman goes there with a proper sized picture, hangs it up, they take it down.
[00:17:03.493 --> 00:17:05.435]  And just say, hey, we run this country.
[00:17:05.435 --> 00:17:06.276]  You understand?
[00:17:06.276 --> 00:17:08.118]  Sit down and shut up.
[00:17:08.118 --> 00:17:11.561]  We want to give ICBM technology to the CHICOMs?
[00:17:11.561 --> 00:17:12.983]  We're giving it to them.
[00:17:12.983 --> 00:17:16.467]  You want to give atomic weapon production facilities to North Korea?
[00:17:16.467 --> 00:17:17.127]  We're doing it.
[00:17:17.127 --> 00:17:23.634]  You want us to open up Europe's borders, bring in 5 million, 80% military age men?
[00:17:23.634 --> 00:17:25.536]  They're allowed to rape, kill, murder whoever they want?
[00:17:25.536 --> 00:17:26.097]  We're doing it.
[00:17:27.162 --> 00:17:29.983]  And we're going to teach your five-year-old, they're not really a boy, they're a girl.
[00:17:29.983 --> 00:17:31.643]  We're going to teach your girl, they're really a boy.
[00:17:31.643 --> 00:17:39.805]  And by the way, the atrazine and all the other chemicals in the water in every major study in mammals, amphibians, you name it, shows it creates asexualization.
[00:17:39.805 --> 00:17:41.806]  Your kid gets confused?
[00:17:41.806 --> 00:17:44.526]  Wonders why they're a beta?
[00:17:44.526 --> 00:17:52.168]  Then the school gets involved sexually with your kids and tells them, go to this special class, and they induct them into the new hundred genders.
[00:17:52.168 --> 00:17:53.869]  It was 50 genders just a year ago.
[00:17:55.213 --> 00:18:04.767]  And then they say you're against people that are a different gender, or people that identify as being a dog, or a baby, or a 50-year-old man says they're a 6-year-old kid so they want to play with your daughter.
[00:18:05.865 --> 00:18:10.867]  This is mental illness to bring down the society, and they admit it, and there's countless white papers.
[00:18:10.867 --> 00:18:13.909]  Does it mean I hate somebody?
[00:18:13.909 --> 00:18:16.270]  There's always been effeminate men and stuff like that in history.
[00:18:16.270 --> 00:18:18.131]  The statistics, I have numbers here today.
[00:18:18.131 --> 00:18:28.355]  The number of children wanting to become opposite sex doubling each year in Sweden, say doctors, within only 15 years, the majority would have switched sexes.
[00:18:28.355 --> 00:18:30.316]  And then you notice, though, they can't procreate.
[00:18:30.316 --> 00:18:32.657]  Mission completed.
[00:18:32.657 --> 00:18:34.538]  That's an exponential growth curve.
[00:18:36.118 --> 00:18:38.039]  Your kids don't learn how to be successful.
[00:18:38.039 --> 00:18:41.481]  They learn how to die, how to not have children.
[00:18:41.481 --> 00:18:51.107]  Meanwhile, they bring in absolute lawless groups that openly believe and their Imams have told them are here to conquer.
[00:18:51.107 --> 00:18:51.588]  Judges!
[00:18:53.661 --> 00:18:57.545]  Inventing new reasons to obstruct Donald Trump's popular immigration reforms that are lawful.
[00:18:57.545 --> 00:19:07.995]  Turkey threatens to send 15,000 refugees per month into Europe to, quote, blow its mind as part of an announcement by their foreign secretary to the EU and by Erdogan.
[00:19:07.995 --> 00:19:15.582]  We covered this yesterday, there's new reports today, new statements, new arrogance, saying, quote, we are launching our holy war now and will capture Europe.
[00:19:18.723 --> 00:19:26.125]  Just on Monday I said all these political rallies they're holding in major cities saying vote for people back in Turkey.
[00:19:26.125 --> 00:19:34.107]  That's just mobilizing their political forces inside your countries and now Erdogan admits it and says we weren't just trying to rally.
[00:19:34.107 --> 00:19:34.747]  You are weak.
[00:19:34.747 --> 00:19:35.908]  You will bow down politically.
[00:19:35.908 --> 00:19:36.628]  They know.
[00:19:36.628 --> 00:19:40.209]  They know the cuckold, broke-back Germans and French and others.
[00:19:42.025 --> 00:19:45.027]  Won't just bend over themselves, they'll bend over their families.
[00:19:45.027 --> 00:19:47.269]  They'll throw people out of their homes.
[00:19:47.269 --> 00:19:48.190]  It's happening in Italy.
[00:19:48.190 --> 00:19:50.211]  Can we show you the video?
[00:19:50.211 --> 00:19:59.238]  The 80-something-year-old man in his little hotel being thrown out crying for the North African refugees.
[00:19:59.238 --> 00:20:01.680]  Two men have throats slit in Paris.
[00:20:01.680 --> 00:20:04.102]  Attacker yells, Allah Akbar!
[00:20:04.102 --> 00:20:06.404]  But the government says it's not Islamic.
[00:20:06.404 --> 00:20:08.485]  It's like the hashin attack they just ruled wasn't.
[00:20:08.485 --> 00:20:09.026]  Allah Akbar!
[00:20:15.087 --> 00:20:19.012]  Man-held after his father and brother found with their throats slit in Paris.
[00:20:21.010 --> 00:20:39.503]  Meanwhile, the Fed's still under a level of control that the Justice Department are saying, they're trying to clean house there, they may try to block Montana's controversial law, a bill advancing in Montana, not yet a law, that says you can't have foreign government laws over federal, state, or local laws.
[00:20:39.503 --> 00:20:41.404]  That's just common sense.
[00:20:41.404 --> 00:20:43.406]  It bans the application of foreign laws in Montana.
[00:20:46.041 --> 00:20:47.161]  So, that's all coming up.
[00:20:47.161 --> 00:20:49.122]  I'm going to go back into that more.
[00:20:49.122 --> 00:20:54.825]  But don't worry, even the Miami Herald now sounds like Infowars and criticizes communism, which is unheard of nowadays.
[00:20:54.825 --> 00:20:56.585]  Venezuela has a bread shortage.
[00:20:56.585 --> 00:21:03.428]  The government has decided bakers are the problem and is arresting them en masse.
[00:21:03.428 --> 00:21:04.749]  Just like any other communist country.
[00:21:04.749 --> 00:21:11.271]  Giant lines, no food, starvation, but lots of people with badges.
[00:21:11.271 --> 00:21:12.572]  But no real rule of law.
[00:21:13.757 --> 00:21:17.018]  A government of conquest, not of renaissance.
[00:21:17.018 --> 00:21:20.620]  Just like North Korea.
[00:21:20.620 --> 00:21:22.761]  And that brings us to the next big story.
[00:21:22.761 --> 00:21:26.123]  After I cover this, I'm going to get back into North Korea.
[00:21:26.123 --> 00:21:29.244]  Google to target criticism of Islam in new censorship purge.
[00:21:29.244 --> 00:21:35.707]  When I read this article from Zero Head, she was a great publication, just does boil-up, boil-downs of big breaking news.
[00:21:35.707 --> 00:21:40.069]  They just took articles that are in the major New York newspapers and the Washington Post
[00:21:41.425 --> 00:21:46.989]  Where they put it out like it's a great idea in the Washington Post or New York Times and actually show the bill.
[00:21:46.989 --> 00:21:51.593]  New York Assemblyman Unveils Bill to Suppress Non-Government Approved Free Speech.
[00:21:51.593 --> 00:21:56.577]  Now I read that and I thought, it can't be that bad.
[00:21:56.577 --> 00:22:00.360]  And I actually read the bill.
[00:22:00.360 --> 00:22:02.501]  Everything is banned but what government says.
[00:22:02.501 --> 00:22:06.665]  And special Democrat boards, I guess in Democrat cities, will then use government money
[00:22:08.001 --> 00:22:11.785]  To sue you saying it's a hate speech or improper speech to shut you down.
[00:22:11.785 --> 00:22:12.906]  That's been the new thing.
[00:22:12.906 --> 00:22:23.517]  Suing folks for defamation for simply covering bigger, larger stories and then having hand-picked juries in kangaroo courts annihilate free speech.
[00:22:23.517 --> 00:22:25.358]  That's the new announcement in Europe and here.
[00:22:25.999 --> 00:22:37.166]  And they're announcing giant 50 plus million dollar euro fines if you have one thing the EU says you shouldn't have in your search engine to make Google and Facebook and everyone comply with the tyranny.
[00:22:37.166 --> 00:22:43.090]  Just like China, Communist China is telling Facebook, Google, Twitter, censor better and we'll let you back in.
[00:22:43.090 --> 00:22:48.234]  Prove with your own people China involved in our domestic operations.
[00:22:48.234 --> 00:22:49.695]  And so that's why it's all rolling out.
[00:22:49.695 --> 00:22:51.716]  That's why they don't care Trump's in.
[00:22:51.716 --> 00:22:53.097]  The corporations and the media don't care.
[00:22:53.097 --> 00:22:54.478]  It's why they came out and lied and said
[00:22:56.247 --> 00:23:02.732]  And bully all these agencies to say there's no proof of wiretaps against Trump because we have all these secret treaties with England that they spy on us, we spy on them.
[00:23:02.732 --> 00:23:04.813]  It's been declassified.
[00:23:04.813 --> 00:23:07.996]  They admitted in the New York Times that Trump was, quote, being wiretapped.
[00:23:07.996 --> 00:23:09.617]  But that's not the proper name.
[00:23:09.617 --> 00:23:13.380]  It's surveilled or intercepted.
[00:23:13.380 --> 00:23:15.982]  And now Trump comes out and they go, oh, look, he's backing off.
[00:23:15.982 --> 00:23:17.803]  He's using the scientific term now.
[00:23:17.803 --> 00:23:19.925]  They play lawyer games, folks.
[00:23:19.925 --> 00:23:22.266]  They admitted they had transcripts of Flynn and others.
[00:23:22.266 --> 00:23:25.128]  Intercepted.
[00:23:25.128 --> 00:23:25.649]  But that's OK.
[00:23:27.782 --> 00:23:40.947]  In a bill aimed at securing a right to be forgotten, sounds like a nice way to get yourself off the web, but see, the actual bill isn't a way to get BS about you off the web, which just gets buried.
[00:23:40.947 --> 00:23:42.787]  Nobody believes all the garbage anyways.
[00:23:42.787 --> 00:23:48.109]  It's like 10 women online saying I was married to them and had kids and all this crazy stuff.
[00:23:48.109 --> 00:23:49.510]  People are like, wow, what is this?
[00:23:49.510 --> 00:23:50.410]  Like, it's craziness.
[00:23:51.328 --> 00:23:55.596]  The people now know, a decade later, you know, that it's just baloney.
[00:23:55.596 --> 00:23:57.620]  Imagine being a public figure, folks.
[00:23:57.620 --> 00:23:59.644]  New York Assemblyman unveils bill...
[00:24:00.706 --> 00:24:01.467]  Excessive statements!
[00:24:01.467 --> 00:24:01.547]  Wow!
