[00:00.000 --> 00:10.000]  Ladies and gentlemen, it's Sunday, October 24th, 2021.
[03:14.000 --> 03:20.000]  It's giving them the worst diseases like heart attacks and blood clots and strokes and aneurysms.
[03:20.000 --> 03:21.000]  We don't know what's going on.
[03:21.000 --> 03:31.000]  Well, here's some of those headlines dealing with rock, spear, arrow, bullet, missile, and now the Bill Gates, UND population weapon.
[03:31.000 --> 03:34.000]  And we're going to be looking at all of that today.
[03:34.000 --> 03:41.000]  Some RNA vaccines weaken immune system even after COVID recovery, according to UK data, gets rid of basically your whole immune system.
[03:41.000 --> 03:48.000]  Now, they bragged about that a year ago, but now it's the British government's own surveillance report right there linked to it.
[03:48.000 --> 03:49.000]  Here's another one.
[03:49.000 --> 03:55.000]  Sweden suspends Moderna shot indefinitely after vax patients develop crippling heart conditions.
[03:55.000 --> 03:56.000]  The wheels are coming off.
[03:56.000 --> 03:59.000]  Moderna is the one that Gates is mainly behind.
[03:59.000 --> 04:07.000]  And the new patent proposes digital surveillance to vaccine of people based on social credit score.
[04:07.000 --> 04:09.000]  And it's also implantable chips.
[04:09.000 --> 04:12.000]  So that's all out of the open.
[04:12.000 --> 04:24.000]  But what we're going to hit first when we come back is what does it signify that now the world knows that Fauci did indeed lie to Congress and is the author of the COVID-19 and cooked it up and clearly released it.
[04:24.000 --> 04:26.000]  And then was the guy to run the program and cover it up.
[04:26.000 --> 04:38.000]  Of course, you wouldn't do something or release something like this unless you thought you controlled the investigation and the PR and the news and had big tech there to censor and silence everybody while you rolled out the virus that killed people.
[04:38.000 --> 04:45.000]  But then more importantly gave them a so-called vaccine that removed their immune system and caused a myriad of different diseases and problems.
[04:45.000 --> 04:47.000]  So it was hard to pinpoint exactly what you've done.
[04:47.000 --> 04:52.000]  The perfect covert soft kill weapon killing them softly.
[04:52.000 --> 04:57.000]  So how are they going to strike back and how are we going to strike back straight ahead? Stay with us.
[05:22.000 --> 05:25.000]  Right now, and that sale is going to have to end on Monday.
[05:25.000 --> 05:26.000]  It helps your telomeres.
[05:26.000 --> 05:29.000]  It helps your various cells, engines, the mitochondria.
[05:29.000 --> 05:31.000]  It's got the PQQ, the CoQ10.
[05:31.000 --> 05:32.000]  It really is incredible.
[05:32.000 --> 05:33.000]  It's 40% off.
[05:33.000 --> 05:37.000]  Some of the best selling products are 50% off as well.
[05:37.000 --> 05:45.000]  And we got a very limited supply, very limited run in because I told the manufacturer whatever ingredients you can get whenever you have enough to make some.
[05:45.000 --> 05:47.000]  Even if it's a smaller run, do it.
[05:47.000 --> 05:52.000]  We got a very small run into the product that's been sold out and that is Rainforce Ultra.
[05:52.000 --> 05:54.000]  It's 25% off at InfowarsStore.com.
[05:54.000 --> 05:57.000]  That's going to end up selling out by Monday as well at current sales rates.
[05:57.000 --> 06:19.000]  So get great products to support the M4 at InfowarsStore.com.
[06:27.000 --> 06:28.000]  That's right, my friends.
[06:28.000 --> 06:34.000]  Thank you for joining us on this Sunday, October 24th, Global Transmission.
[06:34.000 --> 06:56.000]  And wow, I cannot find words to describe how good it is that it's come out that Fauci created COVID-19 on purpose and lied to Congress and released it and worked for a global corporate consortium that runs the UN to bring in the great reset operation lockstep plan for a planetary world government.
[06:56.000 --> 07:05.000]  Global Medical ID vaccine passport tied directly to a worldwide carbon tax passport social credit score.
[07:05.000 --> 07:08.000]  That is now all coming out.
[07:08.000 --> 07:10.000]  And the rats are leaving the sinking ship.
[07:10.000 --> 07:23.000]  The NIH, as you know, last Thursday, the director of it sent a letter to Fauci and Peter Dazik that were running the Wuhan lab for Bill Gates and others and said, give us every document within five business days.
[07:23.000 --> 07:36.000]  I guess that will be by Wednesday or Thursday of this week, five business days on exactly every type of gain of function you've done and stop lying about it and stop stonewalling Congress and saying you never heard of it.
[07:36.000 --> 07:39.000]  That would be like Michael Jordan saying you never heard of basketball.
[07:39.000 --> 07:52.000]  Fauci is the Michael Jordan of bio weapons, the Michael Jordan of lying, the Michael Jordan of gain of function, the Michael Jordan of gaslighting America and the world.
[07:52.000 --> 07:54.000]  And the wheels are coming off.
[07:54.000 --> 08:04.000]  Here's even Vanity Fair in major shift in NIH admits funding risky virus research in Wuhan.
[08:04.000 --> 08:08.000]  Gain of function and they said that Fauci knowingly lied to Congress.
[08:08.000 --> 08:17.000]  Hell in his emails that we've been reading for a year on air and then even more came out in the last few months, thousands of pages, he says, I want gain of function because the people don't want to do it.
[08:17.000 --> 08:22.000]  They know it's illegal. They go, you're paying me for gain of function. He goes, yes, gain of function.
[08:22.000 --> 08:27.000]  Merge these four viruses that splice it with HIV delivery so humans can become infected.
[08:27.000 --> 08:31.000]  I will then develop a vaccine, bring it to market.
[08:31.000 --> 08:32.000]  It's all in there.
[08:32.000 --> 08:33.000]  Oh, yeah.
[08:33.000 --> 08:34.000]  Oh, yeah.
[08:34.000 --> 08:36.000]  But see, they does it.
[08:36.000 --> 08:38.000]  We've already released the virus.
[08:38.000 --> 08:44.000]  I want you to go on TV and talk about how we're splicing viruses to create a vaccine publicly.
[08:44.000 --> 08:48.000]  That way, when it all comes out later, we'll say, well, we said it in the public, what's the big deals?
[08:48.000 --> 08:53.000]  That was in 2019, right after they actually released it.
[08:53.000 --> 08:58.000]  We now know as it goes on TV to say, oh, we're combining five hours is to save you and make a vaccine.
[08:58.000 --> 09:04.000]  And it's exactly the same virus combo camera as COVID-19.
[09:04.000 --> 09:11.000]  So there you go, ladies and gentlemen, but the media is distracting off onto puppies right now.
[09:11.000 --> 09:16.000]  Oh, don't get in trouble for almost destroying civilization and using it for a total power grab system.
[09:16.000 --> 09:18.000]  And now using it to put deadly and shots in us.
[09:18.000 --> 09:19.000]  No, no, no.
[09:19.000 --> 09:24.000]  It's that you ordered and funded the funding and death of thousands of animals,
[09:24.000 --> 09:28.000]  hundreds of which were Beagles and German shepherds.
[09:28.000 --> 09:30.000]  Beagles and German shepherds.
[09:30.000 --> 09:35.000]  So let me tell you about that since people are concerned about it.
[09:35.000 --> 09:37.000]  Here's the hill.
[09:37.000 --> 09:45.000]  Bipartisan legislators demand answers from Fauci on cruel puppy experiments.
[09:45.000 --> 09:57.000]  And it goes on to say that they remove the vocal cords of the Beagles and other dogs and then tied them down and bolted them down by the necks inside enclosures.
[09:57.000 --> 10:07.000]  So burrowing flies could lay maggots in their skin, in their nose and in their mucus membranes.
[10:07.000 --> 10:15.000]  They like the flies, the biting flies climb up your nose into your sinus and they plant the eggs there then eat your brain with enjoyment.
[10:15.000 --> 10:17.000]  And there wasn't any real reason they were doing this testing.
[10:17.000 --> 10:21.000]  They just like what they're doing.
[10:21.000 --> 10:34.000]  A bipartisan letter demands answers from the director of the National Institute of Allergy and Infectious Diseases and President Biden's chief medical advisor on why the project doing this to animals was taking place.
[10:34.000 --> 10:37.000]  In one case, it was 44 Beagle puppies.
[10:37.000 --> 10:39.000]  Oh, but puppies is even better.
[10:39.000 --> 10:47.000]  We're used in Tunisia, North African laboratory and some of the dogs had their vocal cords removed allegedly so scientists could work without incessant barking.
[10:47.000 --> 10:59.000]  Then it goes into how the maggots then eat their flesh alive or the burrowing larva of the stinging flies.
[10:59.000 --> 11:02.000]  It's just, you know, one of the things that's going on, one of the things that's happening.
[11:02.000 --> 11:12.000]  But again, you understand that 900 pages came out a month ago, a couple thousand before that, a couple hundred here, a couple dozen there.
[11:12.000 --> 11:18.000]  And we had Fauci in 2015 going, it's preposperous to not do gain a function.
[11:18.000 --> 11:20.000]  We need to splice all these viruses.
[11:20.000 --> 11:27.000]  So in case somebody else does it, we already have the cure as if anybody else is splicing all these exact same viruses together.
[11:27.000 --> 11:30.000]  And so they're bioterrorists.
[11:30.000 --> 11:36.000]  They're corporate globals that want a world ID to force these injections to sterilize you and give you heart attacks into your body.
[11:36.000 --> 11:38.000]  And they're doing it and they've been caught.
[11:38.000 --> 11:48.000]  So here it is, mRNA vaccines weaken immune system even after COVID recovery, according to UK data.
[11:48.000 --> 11:50.000]  Now, you're like Alex, he told us that last year.
[11:50.000 --> 11:53.000]  You had scientists on, showed us all the studies in the last year.
[11:53.000 --> 11:54.000]  We know that.
[11:54.000 --> 11:58.000]  But now it's in the government stats from the UK.
[11:58.000 --> 12:03.000]  Similar numbers here that it basically erases your immune system.
[12:03.000 --> 12:16.000]  And if you go to John Bounds section on man.video, he even did a video on previous information about this last week, how it's knowingly removing and erasing your immune system to regular other viruses.
[12:16.000 --> 12:28.000]  But in some people, it creates a huge autoimmune response called ADE, antibody dependency enhancement, which then is like the same COVID infection, but much worse.
[12:28.000 --> 12:32.000]  And when that happens, the double facts, they go, oh, the unvaccinated, you got you sick.
[12:32.000 --> 12:33.000]  But then it's not even COVID.
[12:33.000 --> 12:35.000]  So they go, oh, we don't know what it is.
[12:35.000 --> 12:41.000]  We don't know what the worst level of dying in Europe, the UK, the US with these shots ever is happening.
[12:41.000 --> 12:46.000]  But the scientists predicted a year and a half ago would be a DE and it is a DE.
[12:46.000 --> 12:50.000]  That's why they had to stop previous cold virus vaccines.
[12:50.000 --> 12:57.000]  It was testified to Congress by the head of Baylor Medical School just last year because it caused ADE and killed a bunch of people.
[12:57.000 --> 13:02.000]  In a small vaccine studies that they've done, we're just, you know, a few hundred here, a few thousand, they're shot.
[13:02.000 --> 13:06.000]  We're talking dozens and dozens per hundred die of ADE.
[13:06.000 --> 13:09.000]  So we're talking a large portion die of ADE.
[13:09.000 --> 13:10.000]  Okay.
[13:10.000 --> 13:11.000]  So there you go.
[13:11.000 --> 13:12.000]  ADE.
[13:12.000 --> 13:13.000]  And again, they're doing this.
[13:13.000 --> 13:14.000]  They knew this.
[13:14.000 --> 13:17.000]  I mean, if we knew this 21 months ago, it was going to happen.
[13:17.000 --> 13:18.000]  You know, they damn well did.
[13:18.000 --> 13:25.000]  And we even have the studies Fauci did at UT studying similar mRNA shots and others who did exactly that 2012.
[13:25.000 --> 13:27.000]  So here's another one.
[13:27.000 --> 13:32.000]  Sweden suspends Moderna shot indefinitely after VAX patients develop crippling heart condition.
[13:32.000 --> 13:33.000]  They say it's no longer rare.
[13:33.000 --> 13:40.000]  It's actually a doubling in some cases, a tripling of the levels of people having microcarditis and heart attacks.
[13:40.000 --> 13:42.000]  So suddenly the numbers are just skyrocketing.
[13:42.000 --> 13:51.000]  The UK Daily Mail is reporting other scientists in the US that run major diagnostic biopsy clinics are reporting multiple ones.
[13:51.000 --> 13:57.000]  A 20 plus fold increase in certain types of cancers associated with these shots.
[13:57.000 --> 14:04.000]  The Pathology Association of Germany is saying the same thing, doubling of deaths overall, blood clots and cancer,
[14:04.000 --> 14:08.000]  but a massive increase in overall cancers popping up.
[14:08.000 --> 14:10.000]  That's what's going on there on that front.
[14:10.000 --> 14:12.000]  So it goes on and on and on.
[14:12.000 --> 14:20.000]  I have been here on Thursday, Friday, Saturday and Sunday taping more than 20 hours for a very special film production.
[14:20.000 --> 14:24.000]  Then that's not going to be announced for some time, but it's going to be quite large.
[14:24.000 --> 14:28.000]  And so I'm going to say I'm exhausted, but I'm going to go home and see my family.
[14:28.000 --> 14:30.000]  Owen Schreuer is going to take over on the other side.
[14:30.000 --> 14:31.000]  He's loaded for bear.
[14:31.000 --> 14:32.000]  And then I'll be back.
[14:32.000 --> 14:34.000]  Lord willing, 11 a.m. Central tomorrow.
[14:34.000 --> 14:36.000]  American Journal of Harrison Smith, 8 a.m.
[14:36.000 --> 14:39.000]  Owen Schreuer weekdays, 3 p.m. to 6 p.m.
[14:39.000 --> 14:40.000]  The War Room.
[14:40.000 --> 14:41.000]  They're all excellent.
[14:41.000 --> 14:43.000]  The way it gets out to new people is you spread the word.
[14:43.000 --> 14:45.000]  Separately, we're going to end the sale tomorrow.
[14:45.000 --> 14:51.000]  40% off on DNA Force Plus that is now back in stock with the PQQ, the CoQ10.
[14:51.000 --> 14:53.000]  All of the things that help your telomeres last longer.
[14:53.000 --> 14:56.000]  Clean out your mitochondria and your cells.
[14:56.000 --> 15:00.000]  This is the best thing you can do for your immune system, your body and your health.
[15:00.000 --> 15:03.000]  It's great for young people, but above 40s, simply amazing.
[15:03.000 --> 15:06.000]  And we don't use a synthetic PQQ or CoQ10.
[15:06.000 --> 15:08.000]  This is the best stuff out there and a very, very good deal.
[15:08.000 --> 15:12.000]  But it does have a pretty big price on it because it cost a lot to get this stuff.
[15:12.000 --> 15:15.000]  Then, of course, we have Brain Force Ultra.
[15:15.000 --> 15:17.000]  We can't keep this in stock.
[15:17.000 --> 15:21.000]  So I told the great lab here in the U.S. with this great Neutropic Beyond Energy.
[15:21.000 --> 15:23.000]  It gives you a lot of energy, but also Neutropic.
[15:23.000 --> 15:25.000]  Great focus, clarity.
[15:25.000 --> 15:27.000]  It's just really amazing.
[15:27.000 --> 15:31.000]  I said, whenever you get the ingredients in, no matter how small the batch is, just make it.
[15:31.000 --> 15:34.000]  I'm not going to wait months and months to get 10,000 bottles.
[15:34.000 --> 15:35.000]  So six months.
[15:35.000 --> 15:38.000]  So we got less than 3,000 bottles in on Thursday.
[15:38.000 --> 15:40.000]  They're almost sold out despite that.
[15:40.000 --> 15:41.000]  It's still discounted.
[15:41.000 --> 15:45.000]  You can read the five-star reviews for Brain Force Ultra at infowarstore.com.
[15:45.000 --> 15:48.000]  And you fund this operation in the face of all the globalist attacks
[15:48.000 --> 15:51.000]  and the fact that we had to build our own infrastructure like Trump's now doing for himself.
[15:51.000 --> 15:53.000]  Trump got $2 billion in funding when he launched it.
[15:53.000 --> 15:54.000]  It's good.
[15:54.000 --> 15:55.000]  I'm hoping he can actually build something now.
[15:55.000 --> 15:56.000]  We'll be right back. Stay with us.
[16:00.000 --> 16:06.000]  If you're listening to this message in the weekend of Friday, October 22, 2021,
[16:06.000 --> 16:12.000]  this is your last chance to get some of our best-selling, amazing products at infowarstore.com
[16:12.000 --> 16:13.000]  before they sell out.
[16:13.000 --> 16:14.000]  Like DNA Force.
[16:14.000 --> 16:22.000]  Plus, it is the ultimate formula out there for strengthening your telomeres and the very engines of your cells.
[16:22.000 --> 16:26.000]  I mean, it's got a big dose of the highest quality PQQ at CoQ10
[16:26.000 --> 16:30.000]  and a bunch of other key ingredients that God gave us through nature that are simply amazing.
[16:30.000 --> 16:31.000]  It gets 40% off.
[16:31.000 --> 16:37.000]  It's been sold out for six, seven months because of supply chain breakdowns because we would not cut the quality of the ingredients.
[16:37.000 --> 16:40.000]  We could cut the quality all day and buy crap from China and never be sold out.
[16:40.000 --> 16:41.000]  We're not doing that.
[16:41.000 --> 16:43.000]  This is the highest rated.
[16:43.000 --> 16:44.000]  It's 40% off.
[16:44.000 --> 16:46.000]  The sale ends on Monday.
[16:46.000 --> 16:51.000]  40% off DNA Force Plus and a limited supply of Brainforce Ultra as well.
[16:51.000 --> 16:52.000]  It'll be sold out on Monday.
[16:52.000 --> 16:53.000]  It's 25% off.
[16:53.000 --> 16:56.000]  So support the M4 while getting great products at the same time.
[16:56.000 --> 16:59.000]  Thanks to all of your support at infowarstore.com.
[16:59.000 --> 17:05.000]  So when I first started taking survival shield, basically I was 275 pounds overweight.
[17:05.000 --> 17:07.000]  I had brain fog like you wouldn't believe.
[17:07.000 --> 17:12.000]  I was barely holding onto a job and I heard Dr. Group on your show and I listened to it.
[17:12.000 --> 17:15.000]  So the first one I got was the original survival shield, the X1.
[17:15.000 --> 17:16.000]  And it worked pretty good.
[17:16.000 --> 17:18.000]  And then shortly thereafter, you came out with that stew.
[17:18.000 --> 17:21.000]  You had, you know, with a deep burn source, you know, and I got really excited about that.
[17:21.000 --> 17:22.000]  So I took it.
[17:22.000 --> 17:28.000]  And man, in two weeks, I went from brain fog to like literally like my brain was enlightened.
[17:28.000 --> 17:31.000]  You know, I could think again, I could connect with people again.
[17:31.000 --> 17:38.000]  And over the course of the next couple of years, I got my health back and I religiously take basically all of your supplements.
[17:38.000 --> 17:40.000]  They're all absolutely amazing supplements.
[17:40.000 --> 17:42.000]  The one I like recently is Knockout.
[17:42.000 --> 17:44.000]  It literally like if you want to sleep, just take it.
[17:44.000 --> 17:45.000]  It's amazing.
[17:45.000 --> 17:46.000]  It works.
[17:46.000 --> 17:48.000]  But anyway, so the point is we have to get ourselves clean.
[17:48.000 --> 17:50.000]  That's a break free of the globalist system.
[17:50.000 --> 17:54.000]  And the only way to do that is to take our own health into our own hands.
[17:54.000 --> 17:58.000]  Beautifully said, brother, I thank you so much for your call and Godspeed.
[18:24.000 --> 18:35.000]  Other major chemical corporations have been using patented naturally occurring, specially bred bacteria to eat oil spills and other toxic waste disasters.
[18:35.000 --> 18:39.000]  That's how powerful these naturally occurring microbes are.
[18:39.000 --> 18:44.000]  The bio pro system is light years better than traditional enzymes that only work once.
[18:44.000 --> 18:48.000]  These bacteria begin to breed and live in your septic tank.
[18:48.000 --> 18:58.000]  And now it's available for the general public's use for the first time on the retail market exclusively available at thebiopros.com.
[19:18.000 --> 19:26.000]  So excited to release Biodrain Pro, a product specifically designed to establish healthy drains, pipes and overall plumbing systems.
[19:26.000 --> 19:32.000]  Biodrain Pro digests grease, fats, oil, sludge, paper and organic matter with ease.
[19:32.000 --> 19:40.000]  It contains no chemicals, no GMOs and is safe for black-gray holding tanks, sewer hoses and plumbing.
[19:40.000 --> 19:42.000]  It is also human and animal safe.
[19:42.000 --> 19:46.000]  Get up to 20 treatments with the scoop for easy applications.
[19:46.000 --> 19:51.000]  Play goodbye to drain problems, gas buildup and odor, guaranteed.
[19:51.000 --> 19:53.000]  Just pour and add water if that's simple.
[19:53.000 --> 20:19.000]  Visit thebiopros.com and see for yourself.
[20:19.000 --> 20:27.000]  Austin, Texas.
[20:27.000 --> 20:35.000]  Where Jack Dorsey is allowed to tweet out things that Twitter is censoring Republican members of Congress for.
[20:35.000 --> 20:49.000]  Well, that's right. First, you can't say mother or father and then you can't say that Trump really won the election and you can't talk about ivermectin or hydroxychloroquine or that the vaccines aren't vaccines and aren't really approved.
[20:49.000 --> 20:53.000]  And that you're twice as likely to die if you've had the Moderna or Pfizer shot. That's all in the news today.
[20:53.000 --> 21:02.000]  No, you're not allowed to talk about inflation period because you're not the private Federal Reserve.
[21:02.000 --> 21:06.000]  You're not allowed to talk about the vaccines or anything else.
[21:06.000 --> 21:15.000]  Even if you're a medical doctor, only the UN and Fauci can, when he's not doing experiments with the dogs chained up in chambers with flesh-eating bugs.
[21:15.000 --> 21:20.000]  No, ladies and gentlemen, now the new ivermectin, according to MSNBC, Chris Hayes and others.
[21:20.000 --> 21:25.000]  This is an article on infowars.com by RT are saying that it's the new ivermectin.
[21:25.000 --> 21:30.000]  You're not allowed to talk about inflation even though they've already manipulated the consumer price index.
[21:30.000 --> 21:39.000]  They've already manipulated the inflation index to take a bunch of foods out to lower the amount of food that they call as a good daily allowance.
[21:39.000 --> 21:47.000]  So they've already manipulated it, but it's up 16 plus percent in the last year and real indexes are up over 30 percent.
[21:47.000 --> 21:55.000]  Something 21 months ago I predicted from the Great Reset because that's their plan to collapse society.
[21:55.000 --> 22:04.000]  These little buddy Klaus Schwab has said that on record, and of course, Biden's minion, Saki, was on TV again about a week ago and she said,
[22:04.000 --> 22:09.000]  oh, we could lower gas prices, but it's good to bankrupt you to lower your carbon footprint.
[22:09.000 --> 22:17.000]  So all of this, the imploding borders, the new giant, 100,000 person caravan from Haiti that just smashed across the police line.
[22:17.000 --> 22:25.000]  The next segment I know, incredible footage, over into Mexico on its way to the collapsed border in Texas.
[22:25.000 --> 22:31.000]  This is globalist war, and now you know something's real when you're not allowed to talk about it.
[22:31.000 --> 22:39.000]  So we had Kevin McCarthy, the Republican leader of the House, who's put up with all this censorship and who lives with Frank Luntz,
[22:39.000 --> 22:43.000]  the guy that supports censorship as well, the guy that got oxy-cotton legalized,
[22:43.000 --> 22:51.000]  and he's saying that Kevin McCarthy got censored for saying inflation is accelerating and we can't print a trillion dollars a month.
[22:51.000 --> 22:58.000]  He was, oh, also others have been censored for saying that the new four-star general, Admiral, is a man,
[22:58.000 --> 23:03.000]  and so this is our own government censored by Big Tech AI in lifetime and nothing's being done.
[23:03.000 --> 23:10.000]  But that's a whole other subject separate from the fact that you're not supposed to talk about inflation because it doesn't exist, Owen.
[23:10.000 --> 23:17.000]  I was going to say, what's the bigger story? Is it the fact that this is the corporate technotronic government residing over our actual elected government?
[23:17.000 --> 23:26.000]  Is it the rules for you and not for me? But I think it really shows how, I think that Dorsey's hands are kind of off this whole situation.
[23:26.000 --> 23:28.000]  Oh, yeah, he's a figurehead. He doesn't run Twitter.
[23:28.000 --> 23:34.000]  And it just shows, though, how the people that are in there actually censoring, they know this is bad for Biden.
[23:34.000 --> 23:38.000]  They know this is bad for the Democrats. They know it's a bad look even for themselves that help get Biden in office.
[23:38.000 --> 23:43.000]  They're just minions of the globalists. So they're designed to take the heat. They'll be richly rewarded.
[23:43.000 --> 23:48.000]  But imagine, though, they're sitting here thinking, uh-oh, this Biden administration really is a disaster.
[23:48.000 --> 23:53.000]  This inflation is really coming. We can't let people know about this. Censor the Republicans. Censor this.
[23:53.000 --> 23:54.000]  Nobody can know about the disaster.
[23:54.000 --> 24:02.000]  And then no one's able to stop the policies that continue by designing to destroy our currency and bring in the new global currency already announced by the Davos Group in the U.N.
[24:02.000 --> 24:09.000]  Well, and you and I were talking about this before we went live, Alex, and that's that, yeah, you predicted this a year and a half ago.
[24:09.000 --> 24:15.000]  I mean, who knows the exact date? Probably dozens of times. We could sit here all day, and maybe we should.
[24:15.000 --> 24:20.000]  We could just sit here and point at all the stories how Info Wars is next year's news today, tomorrow's news today, whatever.
[24:20.000 --> 24:26.000]  The problem is like this, Alex. It's like, you're just calling out an act of war against America because we know that that's the situation.
[24:26.000 --> 24:31.000]  So that'd be like a football coach saying, hey, I think the defense is going to blitz us today in a football game.
[24:31.000 --> 24:37.000]  I think they're going to have coverage on our wide receivers. Hmm. Yeah, I think they may try to, you know, send a linebacker.
[24:37.000 --> 24:42.000]  So like, oh, that's a football place. So you're going to see that America is being attacked. This is all economic sabotage.
[24:42.000 --> 24:52.000]  And we were able to say this 21 months ago that it was a global government for a global reset for a global carbon tax for a global ID with a social credit score built around the vaccine passport.
[24:52.000 --> 25:04.000]  We were able to say you'll see massive inflation by next year, and then they're going to accelerate it while the big banks give themselves the power to buy up all the real infrastructure and then leave us holding the totally devalued currency.
[25:04.000 --> 25:06.000]  In fact, I meant to cover this today.
[25:06.000 --> 25:12.000]  Show people a document camp shot of these. These are genuine. It's funny how something can be so worthless at filing its value.
[25:12.000 --> 25:22.000]  These are rarer now. No pun intended. So they're worth like $20, $30 apiece. Great American Coin Company. I got these. These are from over a decade ago.
[25:22.000 --> 25:31.000]  $100 trillion bills here to basically be able to buy a loaf of bread. Here's a $10 trillion bill.
[25:31.000 --> 25:42.000]  Here's $220 trillion for you when you might want to show TV viewers that, but oh, there's no such thing as inflation, not in Zimbabwe, not in the Weimar Republic.
[25:42.000 --> 25:48.000]  No, this will never happen. And then you'll think, oh, look, I've got $10 trillion here. I'm rich.
[25:48.000 --> 25:53.000]  Oh, but you can barely even buy a loaf of bread at the grocery store. That's actually going to cost you $50 trillion.
[25:53.000 --> 25:59.000]  That's what happens when this destroys the infrastructure because nobody knows what things are worth. Overhead shot. Show folks some of this.
[25:59.000 --> 26:11.000]  So yeah, here you go. This is my accepted method of payment today is the devalued currency of Zimbabwe where you can't even buy a loaf of bread for $100 trillion.
[26:11.000 --> 26:18.000]  So you have to have multiple $100 trillion marks here. I need a couple $10 trillion marks. I need a $100 trillion mark.
[26:18.000 --> 26:21.000]  Show them a thing on the bottom. Those are genuine.
[26:21.000 --> 26:22.000]  No, this is real.
[26:22.000 --> 26:30.000]  So here's, if you guys can kind of see, that's the little thing they have on our bills now, too. But probably some other nice technology in there, too.
[26:30.000 --> 26:36.000]  Show them the genuine thing now, though. So basically government counterfeits its own money, but it's still genuine because the government did it.
[26:36.000 --> 26:40.000]  What a magic trick. But then all the other fiat currencies or cryptocurrencies, they're worthless, they say.
[26:40.000 --> 26:49.000]  Yeah, they can counterfeit money all day long. They can print money all day long as long as they want and just say, we'll mint a trillion dollar coin.
[26:49.000 --> 26:55.000]  No, and you're going to be covering all of this and more for the next two, three plus hours.
[26:55.000 --> 27:00.000]  He's going to do Sunday Live, six to eight tonight, not just the Alex Jones show, four to six p.m.
[27:00.000 --> 27:03.000]  So I appreciate you coming in. I mean, I'm not really tired, but I need to see my family.
[27:03.000 --> 27:08.000]  I've been up here for three days working on a secret project. It's now the shooting is complete.
[27:08.000 --> 27:12.000]  Now the post is being done. It's going to have a huge effect. We're working really harder.
