[00:00.000 --> 00:15.240]  The
[03:35.840 --> 03:40.440]  We went over the documents together until about nine at night, and then it all hit this morning.
[03:40.440 --> 03:43.080]  So I'm going to fire the bat signal again. I'm not mad at the drugs. Doesn't link at
[03:43.080 --> 03:51.960]  the top again, but I'm going to lay out for you total smoking gun, their internal emails,
[03:51.960 --> 03:56.640]  which their own people leaked, but I'm now going to bite them in the ass. Royal where
[03:56.640 --> 04:01.200]  they said this man has done nothing like Pontius Pilots said. I'm a comparison to Christ, but
[04:01.200 --> 04:06.280]  it's the same deal. They said we don't like him. We're liberals, but he's not done anything
[04:06.280 --> 04:15.040]  they say he's done. And they said you will crucify him. And they washed their hands.
[04:15.040 --> 04:23.600]  It's all right here. This is incredible. So they go after Farrakhan, who has said anti-Jewish
[04:23.600 --> 04:27.520]  stuff. That's his right to say it. I don't agree with it, but that's his right to throw
[04:27.520 --> 04:33.480]  him in the grab bag. And you had all the concerted media. They jumped the gun hundreds of papers
[04:33.480 --> 04:37.920]  an hour before it said Jones has been taken down. It's like, Oh, you went an hour early
[04:37.920 --> 04:44.880]  all coordinated by Oliver Darcy. And then Oliver Darcy says that he wants conservatives
[04:44.880 --> 04:51.800]  banned off of any texting app where you can't even text your family. Yes, ladies and gentlemen,
[04:51.800 --> 05:00.400]  the authoritarians are here and they're moving against humanity. Trump must take action.
[05:00.400 --> 05:04.400]  infowarstore.com is how you support us. And it's not like we're selling stuff you don't
[05:04.400 --> 05:10.160]  need. You don't want the air in the average American home is filled with toxins that put
[05:10.160 --> 05:16.440]  it on par with a major city. There's some of the most polluted areas on earth are major
[05:16.440 --> 05:21.840]  cities. How can I solve that problem? So we have air filters at infowarstore.com, the
[05:21.840 --> 05:29.640]  Alexa pure breeze, which is right now $50 off the Alexa pure breeze groundbreaking iron
[05:29.640 --> 05:35.520]  cluster air filter technology. And we've got a limited quantity of these left right now.
[05:35.520 --> 05:40.240]  We're basically selling these at cost because there was a big overhaul. Go ahead and read
[05:40.240 --> 05:46.640]  the hundreds of five star reviews for yourself. I've got two in my home. You will notice the
[05:46.640 --> 05:52.840]  difference, ladies and gentlemen, with the Alexa pure breeze in your house. Don't live
[05:52.840 --> 06:04.760]  in a polluted major city in your home. Have clean air. Go to infowarstore.com. Waging war
[06:04.760 --> 06:13.320]  on corruption. It's Alex Jones coming to you live from the front lines of the info war.
[06:13.320 --> 06:41.360]  Well, I don't want to say that I'm pleased as punch today, but I'm pretty darn close.
[06:41.360 --> 06:46.880]  The globalists are already censoring and surveilling and big brothering everybody at levels light
[06:46.880 --> 06:53.440]  years down a black hole compared to 1984 and George R. Wells nightmare vision. They're
[06:53.440 --> 06:58.640]  just rolling the censorship out and letting you know about the control and the surveillance
[06:58.640 --> 07:07.920]  using straw man that they've built up. Lewis Farrakhan's Alex Joneses. So they can then
[07:07.920 --> 07:12.680]  have you accept it when you're really accepting your own fate and your own doom. Now I've been
[07:12.680 --> 07:23.560]  on the air 24 and a half years and I'm about to lay out for you ladies and gentlemen. Information
[07:23.560 --> 07:35.880]  that is hands down the most important information I've ever covered. Ever been driving through
[07:35.880 --> 07:41.160]  the fog in the mountains, you come around a turn, the fog's gone, you see the sun rising,
[07:41.160 --> 07:47.120]  you can see 50 miles and it's just incredibly clear. You can look down the valleys and you
[07:47.120 --> 07:52.760]  can see the stars still out even though the sun's coming up. You ever have one of those
[07:52.760 --> 07:59.720]  magic moments? This is the opposite of that. I've got all the pieces and I've been too
[07:59.720 --> 08:04.880]  close to the problem for a while, but last night and this morning, you're all crystallized.
[08:04.880 --> 08:10.840]  We have their exact battle plan, how they're going to roll it out. But you would only know
[08:10.840 --> 08:15.880]  this if you were engrossed in it, if you were focused on it and if you were experiencing
[08:15.880 --> 08:20.980]  the attacks and illegal battles with these individuals and all of their different operatives
[08:20.980 --> 08:25.840]  to then see the scripting, the coordination and then even get the documents where they're
[08:25.840 --> 08:34.200]  coordinating it. The live feed is up on infowars.com. It's titled Smoking Gun. Internal Facebook
[08:34.200 --> 08:41.400]  Docs Reveal Plan to Muzzle Conservatives Ahead of 2020. Facebook admits Jones banned for
[08:41.400 --> 08:49.000]  political reasons, not anti-Semitism. Now I want to explain to everybody listening,
[08:49.000 --> 08:53.440]  please, this is not about Alex Jones. This is not about Lewis Farrakhan. This is not
[08:53.440 --> 09:00.560]  about Milo Yiannopoulos. This is not about Laura Loomer. This is about the total rollout
[09:00.560 --> 09:07.440]  for complete and total censorship. It is being announced in the name of defeating me and
[09:07.440 --> 09:12.800]  you, the populist, that they're going to ban links in live time. They're going to have
[09:12.800 --> 09:18.600]  moderators on your phone when you have an app through any of these companies, including
[09:18.600 --> 09:24.040]  Facebook, that are going to be watching what you're watching and doing and reading your
[09:24.040 --> 09:29.720]  text messages. You're like, well, yeah, they already have Alex in my house. Listen to me.
[09:29.720 --> 09:36.520]  Think about the magnitude of that. Remember Oliver Darcy two years ago was inside my YouTube
[09:36.520 --> 09:43.120]  account and was reporting on who our sponsors were and how much I was being paid. Just like
[09:43.120 --> 09:48.280]  Facebook is giving all their internal documents to Business Insider and Atlantic Monthly to
[09:48.280 --> 09:56.920]  talk about all this private stuff. This is criminal. These are corporations with your
[09:56.920 --> 10:02.840]  information teamed up with Big Tech to slaughter free speech and surveil people. Oliver Darcy
[10:02.840 --> 10:08.360]  said yesterday, we're going to play the clip. Get ready for this, that they're going to
[10:08.360 --> 10:17.880]  ban people talking to each other over the phone in live time and text messages. He said,
[10:17.880 --> 10:23.000]  we're looking to see if Jones has an iPhone right now. We're in his iPhone. He says it's
[10:23.000 --> 10:31.040]  on air and we're seeing if he's got WhatsApp, which is just where you text message or call
[10:31.040 --> 10:38.400]  people. Now it's down to you talking to your mama and he's on there saying, well, we know
[10:38.400 --> 10:42.360]  he's got an iPhone, but we're checking into it right now to see if he's see what he's
[10:42.360 --> 10:50.880]  doing because Brazil got their new great president elected via text messages. I've been telling
[10:50.880 --> 10:57.160]  you folks, circumnavigate them with text messages. Now they want your text messages, the arrogance
[10:57.160 --> 11:04.080]  of CNN. So let me lay out the big quadrants here of bombshell info. Number one, they admit
[11:04.080 --> 11:11.320]  AI is now censoring in live time with machine learning, working with 20,000 SJW Southern
[11:11.320 --> 11:16.640]  Poverty Law Center trained individuals. This is all public. They've now turned AI on with
[11:16.640 --> 11:22.080]  humans working with it to train it to know what a satire is because the machine still
[11:22.080 --> 11:27.080]  can't tell if something satire like everybody's now saying Alex Jones is deplorable. Alex
[11:27.080 --> 11:30.440]  Jones is evil and then putting my stuff out because Facebook said as long as you'd decry
[11:30.440 --> 11:35.760]  him and say he's bad, you can talk about it. Any positive, you were banned or it's removed
[11:35.760 --> 11:39.480]  and it's currently happening. It's all over the news where thousands of emails are coming
[11:39.480 --> 11:46.720]  and it's happening to everyone. It's in live time, but the computers can't tell if you say
[11:46.720 --> 11:51.720]  he's a child molester. I hate Alex Jones. He's worse than Satan. They let it go through
[11:51.720 --> 11:56.080]  and you all have my permission. You can say Jones is Satan. He's the scum of the earth.
[11:56.080 --> 12:01.760]  Here's a link to a show and listen to this devil. But that's why there's still the humans
[12:01.760 --> 12:08.400]  overseeing it. It flags by the AI. They go in. This is all admitted and then they decide
[12:08.400 --> 12:15.160]  is that satire or is that serious? But they're SJWs. They're sociopaths. They're lacking
[12:15.160 --> 12:19.880]  souls. We've kind of figured out. They can't tell either because they're not human either.
[12:19.880 --> 12:25.000]  Ooh, that's a big secret, isn't it? Yeah, they don't have their humanity. It's very
[12:25.000 --> 12:29.000]  sad, but see this is happening. Now, let's get into this right now. That's why they
[12:29.000 --> 12:36.400]  can't mean. This is so incredible. Ladies and gentlemen, they're saying if you say
[12:36.400 --> 12:41.720]  my name or info wars in even just a neutral light, this is an official press release,
[12:41.720 --> 12:45.280]  you will be banned. The outrageousness of that is next level. And of course, that'll
[12:45.280 --> 12:49.560]  be deployed against everybody. That's the rollout. I'm just the rollout first time
[12:49.560 --> 12:58.160]  I know. Then they admit that they're surveilling all of you in live time while they do that
[12:58.160 --> 13:03.280]  and are in your phone and in your computer and in your devices. This is just Facebook.
[13:03.280 --> 13:09.320]  They're all doing it. All the big tech giants. This is the architecture. This is the plan.
[13:09.320 --> 13:15.620]  And on top of it, in their own internal documents, they admit that they are censoring conservatives
[13:15.620 --> 13:19.920]  and framing them and designating them so they can be banned and admitting that I'm really
[13:19.920 --> 13:25.520]  not an anti semi. So they say he's not guilty of this, but we'll just say he is. And so
[13:25.520 --> 13:36.040]  then there's the defamation. So there's so many angles to this that it's just incredible.
[13:36.040 --> 13:42.120]  They're surveilling you. They're going to control who you can call and who you can text message.
[13:42.120 --> 13:48.080]  Oh, it's a private company, though. No, folks, the Supreme Court rulings. They can't do this.
[13:48.080 --> 13:53.160]  It's all illegal. It's it's surveillance. It's immoral. And it's so horrible. And the
[13:53.160 --> 13:58.320]  dying corporate media is basically blackmailing the big tech giants to let them share the
[13:58.320 --> 14:04.520]  power and let them be part of the mop up crew ending freedom in the West. And so for
[14:04.520 --> 14:08.400]  the season or so, a few years, they'll still have jobs, but they're all going to be out
[14:08.400 --> 14:14.520]  of jobs too. I mean, this is such a betrayal of humanity, but they trained the anti free
[14:14.520 --> 14:19.680]  speech people to colleges. Now they're deploying what the Associated Press is calling today
[14:19.680 --> 14:26.160]  human rights committees into every major corporation like Mastercard, like a bioethics board that
[14:26.160 --> 14:32.600]  decides, you know, who lives who dies to where they're going to surveil with AI your purchases
[14:32.600 --> 14:38.600]  on Mastercard. And if they don't like what you're buying, they'll turn customers cards
[14:38.600 --> 14:44.840]  off now. It's not take Mastercard away from Alex Jones or take it away from Laura Loomer.
[14:44.840 --> 14:52.080]  It's already happening. It's take Mastercard from you. You're like, well, go to something
[14:52.080 --> 14:56.480]  else. No, they're buying it all up. It's here. Market the beast, folks, whether you believe
[14:56.480 --> 15:02.280]  in God or not, it's happening. And these people are reading Revelation, the last book of the
[15:02.280 --> 15:06.320]  New Testament, and they've decided that it's an owner's manual, that it's an operations
[15:06.320 --> 15:11.400]  guide, that it's a blueprint for something they're building. And they're doing it. They're
[15:11.400 --> 15:16.400]  manifesting it. They're building the system. And the churches won't say a word because
[15:16.400 --> 15:21.560]  they like all their digital stuff. They like being on Facebook. See how the Antichrist works?
[15:21.560 --> 15:31.280]  You see how it works. So this is unbelievable. All premeditated political setup. You say,
[15:31.280 --> 15:35.000]  well, why is it happening? Why won't Trump stop it? Because it's all the banks. It's
[15:35.000 --> 15:39.560]  all the corporations. The NSA runs it all. It's the architecture of the future, the
[15:39.560 --> 15:44.880]  big digital brain we all interface with and upload to. DARPA admits that's the plan. So
[15:44.880 --> 15:49.280]  that's what they built. That's what it is. It's always going to be that way. It was
[15:49.280 --> 15:56.560]  never not going to be that way. And now I am patient zero. I'm actually honored to have
[15:56.560 --> 15:59.400]  the Antichrist system banned me first.
[15:59.400 --> 16:04.440]  Fully cooked, ready to eat bacon. I'm talking thick meaty, center cut, presidential bacon,
[16:04.440 --> 16:10.760]  savory and delicious. I buy some, I use some, I store some. Awesome. No refrigeration needed
[16:10.760 --> 16:16.920]  with a 10 year shelf life, NASA pack technology, bacon, fully cooked, fully hydrated, ready
[16:16.920 --> 16:22.760]  to eat right from the pack bacon or warm and served, life saving, ready to eat bacon, 10
[16:22.760 --> 16:29.440]  year shelf life bacon, ships free at fullycookedbacon.com, fullycookedbacon.com.
[16:29.440 --> 16:33.240]  Most of you know that heart disease is the number one silent killer in the U.S. What
[16:33.240 --> 16:38.440]  if I told you for just 54.95 a month you could fight against heart disease naturally at heart
[16:38.440 --> 16:43.080]  and body extract. We've been helping thousands of people get back to a healthier heart. Don't
[16:43.080 --> 16:48.160]  just take my word for it. Check out all of the success stories at HBXTrack.com or to
[16:48.160 --> 16:57.680]  order call 866-295-5305. That's 866-295-5305. HBXTrack.com. Don't risk it when you can
[16:57.680 --> 16:58.960]  take charge of it.
[16:58.960 --> 17:03.880]  If you're trying to quit drinking or doing too many drugs, listen to me. You don't know
[17:03.880 --> 17:08.680]  me and we'll never meet. I had a problem like you once. I drank and used to party a
[17:08.680 --> 17:14.960]  little too much till it got out of control and almost ruined my life. I realized I needed
[17:14.960 --> 17:20.520]  help to fix my problem before it totally destroyed me. If you've tried to fix your drinking
[17:20.520 --> 17:26.080]  and drug problem and you know you can't do it alone, you need to call the National Treatment
[17:26.080 --> 17:31.440]  Advisors. They'll immerse you into a 30-day program to replace your old habits with new
[17:31.440 --> 17:36.920]  habits and totally change your life. And if you have PPO, private health insurance, the
[17:36.920 --> 17:43.520]  entire program may be covered. Fix your problem right now before it gets any worse. Get clean.
[17:43.520 --> 17:58.320]  Call now and learn more. 800-506-67-40. 800-506-67-40. That's 800-506-67-40.
[17:58.320 --> 18:07.560]  One of the most incredible cups of coffee can be found in the high mountains of southern
[18:07.560 --> 18:13.720]  Mexico where the Chiapas farmers have spent years perfecting their techniques. Faced off
[18:13.720 --> 18:18.400]  hundreds of years of traditional techniques and perfect conditions, we've sourced only
[18:18.400 --> 18:24.040]  the best to provide you with our immune support and wake up America, Patriot Blend Coffee.
[18:24.040 --> 18:27.760]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate
[18:27.760 --> 18:32.720]  the world's finest coffee bean. Carefully harvested and free of toxic chemicals used
[18:32.720 --> 18:38.120]  in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with
[18:38.120 --> 18:42.760]  great depth to give you just what you need in the morning. You can even choose to start
[18:42.760 --> 18:47.520]  your morning healthier with the immune support blend, infused with a powerful blend to support
[18:47.520 --> 18:52.000]  your immune response and stamina. It's time to take care of your morning routine. Get a
[18:52.000 --> 18:56.200]  bag of Patriot Blend coffee to support the show while enhancing your morning routine
[18:56.200 --> 19:03.200]  at infowarstore.com.
[19:26.200 --> 19:54.200]  Get a bag of Patriot Blend coffee at infowarstore.com
[19:56.200 --> 20:06.200]  You're listening to the Alex Jones show.
[20:26.200 --> 20:47.200]  I want to thank Matt Drudge, DrudgeReport.com, the second largest site in the world, the
[20:47.200 --> 20:52.680]  largest in the site in the world, for standing up, for free speech when so many other people
[20:52.680 --> 20:58.360]  have abandoned it and so many so-called conservatives are celebrating Farrakhan being censored. Farrakhan
[20:58.360 --> 21:03.280]  was thrown in because he's a hated figure by conservatives so that you would then accept
[21:03.280 --> 21:09.520]  censorship. It's a total trap. Let's go back to DrudgeReport.com. There's the headline
[21:09.520 --> 21:13.960]  Alex Jones fights back and that's exactly what's happening here. This evil system is
[21:13.960 --> 21:22.480]  going to come and go. When we look back on this time, people are going to be amazed that
[21:22.480 --> 21:28.040]  we ever led these companies put surveillance systems with microphones and cameras in our
[21:28.040 --> 21:33.560]  houses. I told you that was the plan 20 years ago. Almost everything we've talked about
[21:33.560 --> 21:38.680]  has turned out to be right because we're going off their own blueprints. And so I'm
[21:38.680 --> 21:43.720]  going to now lay out the facts here and I need people to send this link to thewhithouse.gov.
[21:43.720 --> 21:49.360]  I need people to tweet the link that's at drudgereport.com from infowarstore.com forward slash show.
[21:49.360 --> 21:53.400]  I need people to tweet the article that's posted on the page where we explain that we
[21:53.400 --> 22:02.000]  have the bomb shell internal documents where they admit that I didn't do anything anti-Semitic
[22:02.000 --> 22:05.800]  and that for political reasons they needed to designate me as a hate member, whatever
[22:05.800 --> 22:12.080]  that means, a hate leader so I could be unpersoned. Proof that I didn't even do what they said
[22:12.080 --> 22:17.000]  according to the rules and then instead of just banning me, they defamed me with an evil
[22:17.000 --> 22:25.080]  press release and said that I am the worst of the worst at a new level where anyone saying
[22:25.080 --> 22:35.880]  my name or my website will be banned or punished. That's like a movie like where the evil guy
[22:35.880 --> 22:44.200]  takes away somebody and if you ever say his name again, you'll go to the gulag. Good Lord!
[22:44.200 --> 22:54.800]  They have totally converted the colleges into authoritarian bastions. This country is dangerous
[22:54.800 --> 23:00.800]  now and I'll say this. I like President Trump a lot. He's done a lot of good and the enemy
[23:00.800 --> 23:05.280]  sure hates him. He's trying to get rid of him but he's not done enough and on this situation
[23:05.280 --> 23:10.120]  with the draconian censorship, he's only taken action at the colleges and I'm yet to see
[23:10.120 --> 23:14.280]  the government lawsuits over that when they ban people's speech but it's already had some
[23:14.280 --> 23:23.320]  effect. We need relief, Mr. President. We need it now. I am pro-Israel. Everybody's always
[23:23.320 --> 23:28.880]  known that. I've been on air 24 years and I think that Israel's a better nation than
[23:28.880 --> 23:32.600]  a lot of those other nations and there's no reason to turn it over to the Islamics. They'll
[23:32.600 --> 23:37.160]  blow it up. They'll fight over it like they always do. But the point is to say that I'm
[23:37.160 --> 23:42.880]  anti-Semitic. It's in all the news. It says, Jones banned Washington Post, New York Times,
[23:42.880 --> 23:50.040]  everywhere for anti-Semitic posts and he's anti-Semitic is really sick. I was so colorblind
[23:50.040 --> 23:56.400]  or blind to all that when I got married to my first wife who's half Jewish. I had no
[23:56.400 --> 23:59.840]  idea what I was getting myself into with the white supremacists or the things they'd said
[23:59.840 --> 24:07.880]  about my children and it's really evil of the leftist media and of leftist Jews in the
[24:07.880 --> 24:13.960]  media to call me an anti-Semite and then defend Ilhar Omar and all these real anti-Semites
[24:13.960 --> 24:17.160]  and all these other people that literally want to get rid of Israel. You guys are the
[24:17.160 --> 24:22.480]  scum of the earth. I don't care if you're black, white, old, young, Jewish, Christian,
[24:22.480 --> 24:27.480]  whatever. You know you're lying about me in the press and it just shows me what dirty
[24:27.480 --> 24:40.960]  sacks of garbage you are. What dirty sacks of garbage you are and that's what they called
[24:40.960 --> 24:47.800]  me in a bunch of headlines was Alex Jones is a sack of garbage. Really? Well you judge
[24:47.800 --> 24:51.480]  a tree by its fruits. I got a lot done. I have a lot of energy. I have a great life.
[24:51.480 --> 24:54.360]  I have a great family. I look at you leftist man and I'm telling you I didn't know they
[24:54.360 --> 24:59.960]  could stack trash that high and I don't feel good about that. I look at you and you don't
[24:59.960 --> 25:05.520]  have any honor. You don't have any will. You don't have any compassion and everything you
[25:05.520 --> 25:12.760]  say we are is what you are. I'm a libertarian. I believe in real freedom. I believe in egalitarianism.
[25:12.760 --> 25:20.080]  I believe in the West. I'm a liberal. You're not. You're leftist, left-hand path, power-mongering,
[25:20.080 --> 25:27.160]  court-cult of control freaks that are dangerous, that are classical authoritarians and you've
[25:27.160 --> 25:33.560]  been created on these universities and created through the television system in Hollywood.
[25:33.560 --> 25:36.560]  Unbelievable. So we're going to go to break. Longer segment coming up and I'm going to
[25:36.560 --> 25:42.120]  go through it all. CNN now says they want conservatives banned off of using text and
[25:42.120 --> 25:48.880]  phone call apps that are digital. This is all NSA technology. They can listen to you.
[25:48.880 --> 25:54.080]  They can control you. They can pop in and they're now just telling you they are. They're
[25:54.080 --> 25:56.560]  now saying they're going to take your credit cards away and they're going to watch the
[25:56.560 --> 26:05.720]  purchases you make and punish you with committees of human rights right out of Maoist China.
[26:05.720 --> 26:10.120]  I mean, folks, this is the Chinese model. Google and Apple and others went over there
[26:10.120 --> 26:18.400]  and set it up for them. These people are so dangerous and look at Zuckerberg and the
[26:18.400 --> 26:27.400]  power that he's on and his testimony and just who he is. It's disgusting. So these organizations
[26:27.400 --> 26:31.520]  are enemies of the people. They're enemies of open free societies and they're the ones
[26:31.520 --> 26:36.480]  that are dangerous and they're the ones that have a monopoly over the transfer of information.
[26:36.480 --> 26:42.320]  They almost have a monopoly and God help us if they get their monopoly. So again, I'm
[26:42.320 --> 26:50.080]  going to break this down. They are saying that if you share info wars or my name, unless
[26:50.080 --> 26:57.560]  it's negative, you'll be punished. That is reeducation camp behavior. By the way, I
[26:57.560 --> 27:03.000]  didn't see it in my stacks. You pull me the info wars article. It's up on info wars shirts
[27:03.000 --> 27:08.440]  here, but I missed it. He's now going to convert you to group living rooms where you won't
[27:08.440 --> 27:12.400]  be able to have your own private Facebook because they're already in it anyways. They're
[27:12.400 --> 27:15.200]  already in your living room. They're already in your photos. They're already got your pass
[27:15.200 --> 27:21.240]  codes. They're already shelling your dad, everybody in an orgy free for all. Now you're
[27:21.240 --> 27:25.720]  going to be in these living rooms with other people that they put you with for social engineering
[27:25.720 --> 27:30.860]  like a dorm and they're going to reeducate you and then they're going to decide your
[27:30.860 --> 27:35.320]  friends are going to decide what gets boosted and what doesn't. Again, that's literally
[27:35.320 --> 27:42.840]  a reeducation camp model. Facebook CEO promotes group living rooms. What Zuckerberg really
[27:42.840 --> 27:48.520]  after people can have more revealing intimate conversations. Yeah, how about you just take
[27:48.520 --> 27:51.840]  us over to the local sports stadium and play movies all night telling us how much America
[27:51.840 --> 27:56.080]  sucks and people that give in and turn against their families and title and join the club
[27:56.080 --> 28:01.800]  next week and be a guard inside the facility. I mean, we're getting classical reeducation
[28:01.800 --> 28:07.120]  camp garbage. Remember that was in the Army manual that Obama put out eight years ago.
[28:07.120 --> 28:15.840]  Classical reeducation camp garbage projected through the Internet. This is beyond authoritarian.
[28:15.840 --> 28:18.480]  So they're going to surveil you. They're going to watch you. They're going to track you and
[28:18.480 --> 28:23.480]  then they're going to defame you and tell lies about you and they want your car. They
[28:23.480 --> 28:27.560]  want your house. They want your bank account. They want your mind. They want your children.
[28:27.560 --> 28:37.440]  They want your soul. They want it all. We want your soul. That's it. Because after all,
[28:37.440 --> 28:40.320]  let him into your living room. You already got he already gives you devices where they
[28:40.320 --> 28:44.960]  listen and watch you little camera devices in your house for your family. The track you
[28:44.960 --> 28:49.200]  and now he's in your living room and he's going to tell you how to live. He's going
[28:49.200 --> 28:54.280]  to run your life. He's your cult leader. This is this is what big tech is. It's a big giant
[28:54.280 --> 29:00.000]  cult leader takeover with four companies bidding for command of the cult. Stocks and options
[29:00.000 --> 29:03.840]  trading involves financial risk and is not suitable for all investors. Hey guys, it's
[29:03.840 --> 29:08.680]  Scott Bauer here, CEO of Prosper Trading Academy. Are you looking for a super hot stock tip?
[29:08.680 --> 29:12.480]  Here at Prosper, we are always looking for exciting opportunities in the markets and
[29:12.480 --> 29:17.320]  right now all my students are salivating over the stock we are watching. In fact, I've got
[29:17.320 --> 29:22.640]  this hot stock written down right here and I'm about to text it to you for free. I just
[29:22.640 --> 29:30.320]  need to know where to send it. Simply text HOT to 48542 and I'll text it to you instantly.
[29:30.320 --> 29:34.680]  How do I know this stock is so hot? Well, I'm a former CBOE market maker for Amazon
[29:34.680 --> 29:40.120]  options, former vice president of Goldman Sachs and I have over 25 years of professional
[29:40.120 --> 29:44.720]  trading experience. I'm telling you, this stock is hot, but be warned. The stock may
[29:44.720 --> 29:51.040]  move soon so you need to claim it before it does. Text HOT to 48542 and I'll text you
[29:51.040 --> 29:57.480]  this hot stock instantly. Text HOT to 48542 and I'll text you this hot stock instantly.
[29:57.480 --> 30:00.400]  Message and data rates may apply.
[30:00.400 --> 30:05.840]  Do you realize that when you spread the links from infowars.com, when you spread the videos,
[30:05.840 --> 30:11.840]  you are changing the world? It's you that has defeated Hillary and the globalist. It
[30:11.840 --> 30:16.360]  is you, the info warriors across the planet that stood against the bullying, that stood
[30:16.360 --> 30:20.280]  against the peer pressure, that stood against the threats that have now changed the world.
[30:20.280 --> 30:25.120]  And that's why you've been on the team supporting us, praying for us and spreading the word.
[30:25.120 --> 30:29.120]  You are the info warrior. And now because of their intensifying censorship, it's more
[30:29.120 --> 30:35.480]  important than ever that everyone go to infowars.com forward slash newsletter and sign up via email
[30:35.480 --> 30:40.400]  so there's no way the census can get between us with critical videos, articles, breaking
[30:40.400 --> 30:45.800]  news, intel, you name it. And so now I ask you more than ever to share the infowars.com
[30:45.800 --> 30:49.520]  articles, to share the videos, to tell people by the local state since you're listening
[30:49.520 --> 30:55.520]  to the bare minimum you can do is sign up for the free newsletter at infowars.com forward
[30:55.520 --> 31:02.840]  slash newsletter. We are the renaissance and we are winning brain force plus is a top tier
[31:02.840 --> 31:10.320]  new tropic focus, clarity, energy. But instead of having a seven times markup, we have a
[31:10.320 --> 31:17.400]  hundred and 50% markup right now gets massively discounted. And when you get a bottle of it
[31:17.400 --> 31:23.320]  at 25% off, you get a free bottle of what is our total best seller. It's not very profitable
[31:23.320 --> 31:27.640]  because we give it at such a low price, but it's amazing that of course he's knockout
[31:27.640 --> 31:31.920]  the ultimate sleep aid. So we've got a way to energize you ramp you up in a healthy way
[31:31.920 --> 31:36.360]  during the day and put you deep into that restful healthy sleep at night. It's the brain
[31:36.360 --> 31:43.240]  force and knockout combo deal 25% off brain force and a free bottle of knockout together
[31:43.240 --> 31:47.840]  right now. Get the combo and experience both these Rick products today. Take advantage
[31:47.840 --> 31:54.760]  of it and find the M4 infowarslife.com or m4store.com. The brain force plus knockout combo right
