[00:00.000 --> 00:12.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[07:49.000 --> 08:03.000]  A documentary needs to be made about this because this is a all out assault, not on Christian values, but the very biology of humans and other species on this planet to create an artificial system.
[08:03.000 --> 08:14.000]  They're preparing the public that you can't say that engineered humanoids don't have the same rights as you. In fact, they're going to have more rights than you.
[08:14.000 --> 08:22.000]  And that's what it is when high school, all over the country, the new high school track champions are men who call themselves girls.
[08:22.000 --> 08:30.000]  They grow their hair out. They don't lower their testosterone. They have men's bones, men's organs. They have more blood, everything.
[08:30.000 --> 08:45.000]  And then when they beat the girls in every case, they go, yay, hip, hip, hooray. So the new ruling class in sports or anywhere will be men shaying their women. This is really men taking over the feminine space.
[08:45.000 --> 08:57.000]  That's what they put out in pink news with this individual. It says a non-binary person. I and the whole community really need your help.
[08:57.000 --> 09:07.000]  And this, this is how they get humanity to turn loose of their humanity and to become forcibly sterilized.
[09:07.000 --> 09:13.000]  So this, this is mind control right out of the Tabistock Institute. We're going to be looking at all of this coming up.
[09:13.000 --> 09:29.000]  But, but just imagine if I showed up at a Pop Warner football league with six or seven year olds and I said, I identify as a six year old boy and I'm going to be a running back and I'm going to run over your kids.
[09:29.000 --> 09:35.000]  And we go, absolutely. You identify as a six year old running back on Pop Warner football.
[09:35.000 --> 09:53.000]  Remember a couple of years ago, Chris Cuomo, he came out and the president and then candidate and others were saying, man, this is crazy to say that you want 10 and 11 year old girls to have full grown men who are transgendered.
[09:53.000 --> 10:05.000]  They're, they're still a man's body, man's DNA. They don't have the mitochondrial DNA that women have. It's a man that identifies as a woman coming into the shower with your underage girls.
[10:05.000 --> 10:16.000]  See anybody else who could arrest and spend 20 years in prison. But if you say it's liberal and it's trendy, well, Chris Cuomo said you and your, your parents are bigoted.
[10:16.000 --> 10:26.000]  If your young daughter doesn't want to see a woman's genitals, a woman's penis is what he said. You're like, wait a minute, a woman's penis.
[10:26.000 --> 10:33.000]  And it's all about getting you to accept two plus two equals, whatever they say. It's about waging war on reality.
[10:33.000 --> 10:37.000]  It has nothing to do with men who've wanted to be effeminate throughout all of history.
[10:37.000 --> 10:47.000]  It has nothing to do with the fact that male and females are close in many ways and have different things about us, but also similar things.
[10:47.000 --> 10:54.000]  It isn't about being an open society. It's about a tyranny of the transhumanist taking over civilization.
[10:54.000 --> 10:58.000]  And as I always say, I'll get to it, then I start covering it immediately.
[10:58.000 --> 11:12.000]  But I'm going to get to all of this and I'm going to lay it all out and exactly what's happening with it and where it's going to go, like I've done with every other major subject.
[11:12.000 --> 11:17.000]  So that's going to happen at the bottom of the hour.
[11:17.000 --> 11:36.000]  There's a lot of delicious irony taking place. Stormy Daniels, the exploitive, in my view, deceptive harpy, raised 500 plus thousand dollars on her GoFundMe account.
[11:36.000 --> 11:45.000]  And now it's been thrown out. And it turns out that's going to be the amount of money or close to it that she has to pay in legal fees to the president.
[11:45.000 --> 11:52.000]  President rips horse face storming.
[11:52.000 --> 11:58.000]  Powerful photo on drudgereport.com.
[11:58.000 --> 12:03.000]  Here's from the president at Real Donald Trump. Federal judge throws out Stormy Daniels lawsuit versus Trump.
[12:03.000 --> 12:07.000]  Trump is entitled to full legal fees at Fox News. Great.
[12:07.000 --> 12:12.000]  Now I can go after her horse face and her third rate lawyer in the great state of Texas.
[12:12.000 --> 12:19.000]  She will confirm the letter she signed. She knows nothing about me. A total con.
[12:19.000 --> 12:31.000]  That's right. He's going to have the law firm of Jones down in Houston go after them in the full Texas anti slap provision where Trump will get the full amount.
[12:31.000 --> 12:42.000]  So let me translate that to leftist. The money you gave to spider eyes, her lawyer and a horse face.
[12:42.000 --> 12:50.000]  Stormy Daniels will all be going to President Donald John Trump.
[12:50.000 --> 12:56.000]  The 45th president of the United States.
[12:56.000 --> 13:02.000]  So get ready for that. And there is more delicious ironing. Again, I'll get to more of this later.
[13:02.000 --> 13:07.000]  And sure, is it important as geopolitical events or communist China censorship? No.
[13:07.000 --> 13:12.000]  But it's something that captures the public mind of injustice and fraud.
[13:12.000 --> 13:22.000]  Pocahontas had a hoax article in the Boston Globe for her launch of the 2020 presidential run. She admits that.
[13:22.000 --> 13:29.000]  And it turns out that she's one slash 1024th American Indian.
[13:29.000 --> 13:44.000]  It's so low that they had to use another genetic sample out of Latin America, hoping to have some connection because it turns out that the average white person in North America has 10 times the Native American blood that she does.
[13:44.000 --> 13:52.000]  It turns out she's one of the purest Caucasians walking the face of terra firma.
[13:52.000 --> 13:57.000]  She is a true crackerhead. And the sweetest endearment turns.
[13:57.000 --> 14:10.000]  And the fact that they want Trump to apologize is absolutely ridiculous and pay up to her when he had to do the test himself.
[14:10.000 --> 14:15.000]  As he said, swab her cheek and then send it in. And quite frankly, I think it would probably come in higher than that.
[14:15.000 --> 14:20.000]  Most people have, you know, part of one percent. A little smattering, but no, not her.
[14:20.000 --> 14:26.000]  She is a thoroughbred cracker. And so you've got the tribe coming out saying she's a liar.
[14:26.000 --> 14:34.000]  She claimed connection to the Cherokees out of Oklahoma and Texas. And it's simply amazing.
[14:34.000 --> 14:45.000]  But they're trying to spin that that, oh, look, it's the proof. She has 0 slash 1 dash 023.
[14:45.000 --> 14:50.000]  My God, you got more Native American blood if you look at one.
[14:50.000 --> 14:55.000]  I mean, this is unbelievable.
[14:55.000 --> 14:59.000]  And they try to spin that as if we've got egg on our face.
[14:59.000 --> 15:04.000]  But it came back that she was 13% or 16%, depending on the different tribes, they accept that.
[15:04.000 --> 15:11.000]  If she was 13% or 16%, I'd say, whoa, Trump, get her tested again, make sure, pay up, he pay up.
[15:11.000 --> 15:20.000]  But it's not true. She's one of the whitest people ever known since we migrated to this continent.
[15:20.000 --> 15:25.000]  Unbelievable. 192 ounces of blood in the average person.
[15:25.000 --> 15:31.000]  She's a blood sucker. There's probably more in her. And if you calculate it down, it just drops the blood as a primitive calculation.
[15:31.000 --> 15:38.000]  It's less than half a drop of blood. She has half a drop of blood, half a drop, half a drop.
[15:38.000 --> 15:44.000]  Think about that. Think about that. That is unbelievable.
[15:44.000 --> 15:49.000]  I'm something like 6.5% from family records. I wouldn't call myself that of American.
[15:49.000 --> 15:56.000]  Imagine her. She's one to the one zero 23,000s. We'll be right back. Stay with us.
[16:19.000 --> 16:23.000]  We're making a difference in thousands of people's lives across America.
[16:23.000 --> 16:27.000]  My blood pressure has normalized. My diabetes has totally improved.
[16:27.000 --> 16:31.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[16:31.000 --> 16:34.000]  I recommend heart and body extract to everyone.
[16:34.000 --> 16:41.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[16:41.000 --> 16:49.000]  Order your two months supply today by calling 866-295-5305. That's 866-295-5305.
[16:49.000 --> 17:12.000]  Or order online hbextract.com, heart and body extract 866-295-5305 or hbextract.com.
[17:19.000 --> 17:24.000]  Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to.
[17:24.000 --> 17:50.000]  In Liberty, David Hall, Diamond Gussett Jean Company.
[17:54.000 --> 17:58.000]  That's LibertyOnCall.org.
[18:24.000 --> 18:29.000]  Get my knowledge is paired with the natural fertility of the land to generate the world's finest coffee bean.
[18:29.000 --> 18:34.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:34.000 --> 18:41.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:41.000 --> 18:49.000]  You can even choose to start your morning healthier with the immune support blend infused with a powerful blend to support your immune response and stamina.
[18:49.000 --> 19:00.000]  It's time to take care of your morning routine. Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[19:19.000 --> 19:23.000]  Patriot Blend coffee is an all-new version of the Powerhouse Pregnantone product.
[19:23.000 --> 19:31.000]  It features the same great formula that supports your heart, brain, and healthy aging process with an all-new natural caffeine boost included.
[19:31.000 --> 19:37.000]  A powerful Pregnantone base, the real Redville, has quickly become one of our fellow InfoWars' favorite products.
[19:37.000 --> 19:43.000]  Now, with an extra proprietary energy blend inside including 3D extract and Ramate leaf extract,
[19:43.000 --> 19:48.000]  and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[19:48.000 --> 19:52.000]  Got all the great stuff that Real Redville has? It's also got the most in it.
[19:52.000 --> 20:21.000]  Get the Real Redville Plus at infowarstore.com.
[20:22.000 --> 20:40.000]  Crashing through the lies and disinformation, it's Alex Jones.
[20:40.000 --> 20:49.000]  So, it took me about five, six days to figure out what I thought was probably going on with the Khashoggi journalist from the Washington Post,
[20:49.000 --> 20:59.000]  dual citizen with Saudi Arabia, being killed a week and a half ago in Turkey at the Embassy of Saudi Arabia.
[20:59.000 --> 21:05.000]  And I simply said, why would you kill somebody in plain view? Why would you do it out in the open?
[21:05.000 --> 21:09.000]  Why would you do it knowing it's being tracked and documented?
[21:09.000 --> 21:13.000]  Unless A, he had something he was so desperate to get, he were green-minded to do it.
[21:13.000 --> 21:22.000]  Or B, which I think is more probable, a rogue group in the intelligence agencies connected to Turkey, NATO, and others was doing it
[21:22.000 --> 21:27.000]  to embarrass Saudi Arabia and derail the peace deal that Trump's been trying to set up.
[21:27.000 --> 21:30.000]  And that would be a rogue group. And I was the first to say that on Friday.
[21:30.000 --> 21:36.000]  I had Zak on Sunday saying the same thing. You notice the President came out and said it yesterday morning.
[21:36.000 --> 21:41.000]  Now Saudi Arabia has officially said that. And here's the deal.
[21:41.000 --> 21:46.000]  All it does is hurt Saudi Arabia to have this happen and strengthen Turkey and Iran's hand.
[21:46.000 --> 21:52.000]  Why in the world would they do that? Incompetence? Maybe. I'm no fan of Saudi Arabia.
[21:52.000 --> 21:57.000]  I just research it coldly and come up with what I think the best approximation is.
[21:57.000 --> 22:04.000]  It does not mean that that's the case, but it means I first said it and our guests first said it,
[22:04.000 --> 22:07.000]  and now you see it on the news and the President's saying it.
[22:07.000 --> 22:12.000]  So next week's news today yet again. And that's why they want us censored.
[22:12.000 --> 22:16.000]  And listen, this isn't just some afterthought.
[22:16.000 --> 22:21.000]  If you're listening to us on local radio stations or watching on local TV or cable,
[22:21.000 --> 22:26.000]  if you're listening to us on Global Shortwave, if you're watching us on satellite,
[22:26.000 --> 22:30.000]  if you're watching us at infowars.com or newswars.com, do you understand?
[22:30.000 --> 22:39.000]  The entire Clinton-Soros Combine is throwing everything it's got,
[22:39.000 --> 22:45.000]  cutting off our sponsors, cutting off our ability to even advertise on third-party sites,
[22:45.000 --> 22:50.000]  suing us with frivolous losses that we've gotten a lot of them thrown out, but more came.
[22:50.000 --> 22:55.000]  And just doing all this, we're not giving up, we're in a war, but you're in the war with us.
[22:55.000 --> 23:01.000]  So please remember our track record and why they've got paid astroturf groups
[23:01.000 --> 23:05.000]  posing as patriots attacking us, why they've got the Southern Prairie Law Center
[23:05.000 --> 23:09.000]  and the ADL and Media Matters and all the other constellation of lepis groups
[23:09.000 --> 23:14.000]  constantly lying about info wars, constantly pushing to get us off the air.
[23:14.000 --> 23:20.000]  Because they don't want us here breaking these big stories that time and time again turn out to be accurate,
[23:20.000 --> 23:22.000]  countervailing their official story.
[23:22.000 --> 23:28.000]  Oh, and I almost forgot. What was the biggest reason I thought this looked like a false flag
[23:28.000 --> 23:32.000]  or a self-inflicted wound or an inside job by groups that wanted to embarrass Trump
[23:32.000 --> 23:38.000]  and the Saudi king and the reformer prince that's trying to free women and other things like that?
[23:38.000 --> 23:43.000]  It's not just that it didn't make sense and didn't benefit them, Kebono.
[23:43.000 --> 23:51.000]  It's that CNN, MSNBC, ABCCBS, all of them in unison were saying it was Saudi Arabia
[23:51.000 --> 23:56.000]  for sure and that Trump was helping kill journalists and that the whole peace deal was over
[23:56.000 --> 23:59.000]  and that this was going to help Iran. And then Iran's good.
[23:59.000 --> 24:02.000]  Right when Trump has his sanctions about to go in.
[24:02.000 --> 24:10.000]  Right when we're about to probably free the people of that country who want to have their own secular open society
[24:10.000 --> 24:17.000]  instead of turning the Middle East over to radical Islamists like Obama and Hillary been doing for the last 10 years.
[24:17.000 --> 24:23.000]  So think about that. I say last 10, they've still got their networks in place over there.
[24:23.000 --> 24:29.000]  They still have their own shadow diplomacy. They're still trying to counter man what the president's doing.
[24:29.000 --> 24:36.000]  So there's a big report on infowars.com that our own Greg Rees has put out that's excellent.
[24:36.000 --> 24:46.000]  1776 coming to Iran. It's powerful and it's got the president and his comments about regime change and it's important.
[24:46.000 --> 24:52.000]  1776 Iran. Trump signals support for Iranian populist movement. Restart.
[24:52.000 --> 24:56.000]  It's a very professional report, better than what you'd see on Vice or HBO.
[24:56.000 --> 25:00.000]  You need to go get that report to understand that there are secular Iranians,
[25:00.000 --> 25:05.000]  that that's the majority of them, that have their population is 28 or younger and that they love America
[25:05.000 --> 25:12.000]  and that the leftist CIA helped put the ayatollahumani in power in 1979.
[25:12.000 --> 25:16.000]  And this has all been a setup and Trump is trying to reverse that right now.
[25:16.000 --> 25:21.000]  And he's getting Saudi Arabia reform. He's doing it all and the globalists are panicking.
[25:21.000 --> 25:27.000]  But the big tell that the Saudi Arabian king or the Saudi Arabian crown prince did not give these orders
[25:27.000 --> 25:33.000]  is it's against their own interest and the whole media was ready to jump on it
[25:33.000 --> 25:38.000]  and the Khashoggi guy obviously working at the Washington Post and all his connections
[25:38.000 --> 25:45.000]  is heavily connected to the intelligence community, which is not one monolithic group.
[25:45.000 --> 25:52.000]  So the whole thing stinks like a New York landfill to high heaven.
[25:52.000 --> 25:56.000]  We're going to go to break. We come back.
[25:56.000 --> 26:03.000]  I'm going to get into the totally wicked sinister plan to take over all of society
[26:03.000 --> 26:09.000]  and make human life completely, corporately controlled and just like Terminator seeds.
[26:09.000 --> 26:13.000]  No seeds can produce new seeds that produce new plants.
[26:13.000 --> 26:17.000]  The end of the life cycle, the absolute globalist takeover plan.
[26:17.000 --> 26:21.000]  In fact, print me the breakdown of the Terminator seed. It ties into all of this.
[26:21.000 --> 26:24.000]  They want everything to be made in artificial wombs.
[26:24.000 --> 26:31.000]  Artificiality, though, must be accepted and worshiped and praised and set up above all others.
[26:31.000 --> 26:34.000]  This is the transhumanist plot from Julian Huxley,
[26:34.000 --> 26:40.000]  the first general, the first director general of UNESCO,
[26:40.000 --> 26:46.000]  prepared to learn the key to one of the main pillars of their operation.
[26:46.000 --> 26:51.000]  Now, we're going to break.
[26:51.000 --> 26:55.000]  As you all know, it's on CNN, ABC News, Celebrating PayPal,
[26:55.000 --> 26:58.000]  got rid of Alex Jones and we got some of his other payment processors
[26:58.000 --> 27:02.000]  and we're hunting them down and we're harassing them and we're threatening them until, you know,
[27:02.000 --> 27:07.000]  they get rid of them and we're going to shut the NRA down too and the NRA is down to one payment processor.
[27:07.000 --> 27:12.000]  And it's just vitriolic. It's super authoritarian and it just lets you know who these people are.
[27:12.000 --> 27:16.000]  So just in case they're successful, everything's being sold.
[27:16.000 --> 27:21.000]  All three big sales that were left for the year, Christmas, Black Friday and Cyber Monday,
[27:21.000 --> 27:24.000]  are all being launched now, now, now.
[27:24.000 --> 27:30.000]  Everything must go. Get stocked up, get your Christmas gifts now, don't fight the traffic.
[27:30.000 --> 27:35.000]  Get real super specials on all of our supplements and store-wide free shipping,
[27:35.000 --> 27:41.000]  50% off and store-wide free shipping on the best 5 and B12, secret 12,
[27:41.000 --> 27:49.000]  on the best tricuminoid, turmeric system bodies, 95% tricuminoids, nobody can top that.
[27:49.000 --> 27:54.000]  All fours plus, unbelievable, PQQ, CoQ10, incredible quality, knockout, amazing sleep aid,
[27:54.000 --> 27:59.000]  and environmental fusion, super silver wound dressing,
[27:59.000 --> 28:06.000]  the highest, strongest, best, safest silver on the market, FDA approved for over-the-counter sale.
[28:06.000 --> 28:11.000]  Infowarsstore.com, Infowarslife.com, or triple-A-2-5-3-3-1-3-9.
[28:11.000 --> 28:13.000]  Be part of history. Get great products. Act now.
[28:13.000 --> 28:20.000]  Get Alexa Pure Breeze air filtration systems that blow away the competition and cost less than a third of what they do.
[28:20.000 --> 28:27.000]  Get the Alexa Pure water filtration systems at Infowarsstore.com.
[28:27.000 --> 28:32.000]  The lowest prices you're going to find. The high-quality, storable food powered by my Patriots supply at Infowars Select.
[28:32.000 --> 28:35.000]  35% off the lowest prices you'll find anywhere. That's a new super sale.
[28:35.000 --> 28:37.000]  All of it at Infowarsstore.com.
[28:37.000 --> 28:44.000]  Take action. Order today while you still can and save the Infowar from the jaws of that filthbag Soros
[28:44.000 --> 28:49.000]  and that demon witch Hillary and that little maggot son of his, Alexander.
[28:49.000 --> 28:55.000]  We will break them, not us. Your will is unstoppable when you get on your knees before God
[28:55.000 --> 29:18.000]  and ask for the strength and pray for Infowars.
[29:26.000 --> 29:36.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place.
[29:36.000 --> 29:39.000]  And what they don't steal will be destroyed.
[29:39.000 --> 29:43.000]  This year, resolve not to be the next victim of a break-in.
[29:43.000 --> 29:50.000]  Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[29:50.000 --> 29:55.000]  Security is a mindset and fake TV should be part of your security solution.
[29:55.000 --> 29:57.000]  Be vigilant, but not fearful.
[29:57.000 --> 30:26.000]  FakeTV.com
[30:27.000 --> 30:35.000]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA,
[30:35.000 --> 30:39.000]  which has been shown to be essential for your child's brain growth spurts.
[30:39.000 --> 30:49.000]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[30:49.000 --> 30:53.000]  If you're looking for a formula to help your child grow, look no further.
[30:53.000 --> 31:00.000]  Try Honor Roll from InfowarsLife at InfowarsStore.com
[31:23.000 --> 31:31.000]  Today, to fight back against the chemicals in the food and water, to fight back against the modern-day lifestyle with the screen time and the extended hours,
[31:31.000 --> 31:41.000]  to still have the stamina and endurance, energy, and drive to get to the gym, get to the park, and get exercise that you need for your health.
[31:41.000 --> 31:45.000]  So go to InfowarsStore.com and get SuperMailVitality before it's gone.
[31:45.000 --> 31:49.000]  This is actually our last run of SuperMailVitality.
[31:49.000 --> 31:56.000]  For you to experience SuperMailVitality before it's too late, unleash the SuperMail in you.
[31:56.000 --> 32:21.000]  SuperMailVitality.com
[32:21.000 --> 32:31.000]  So we've already had incredible success, but if you will simply realize how epic this is, and understand how real this fight is, and why we've been made the main target,
[32:31.000 --> 32:41.000]  and if you financially support us, and if you spread the word about our articles and videos at Infowars.com, we won't just continue to stand up against these brutal scumbags.
[32:41.000 --> 32:42.000]  We'll win.
[32:42.000 --> 32:45.000]  We have huge sales at InfowarsStore.com right now.
[32:45.000 --> 32:52.000]  And we're still able to operate the shopping cart against stuff shipped out to you, despite the fact that we're trying to block our commerce, and you're right to the market.
[32:52.000 --> 32:56.000]  But if you don't stand up and support us financially, Sorrel's the global Spain win.
[32:56.000 --> 33:20.000]  This is Infowars Darker Tower. We're your support. I'm counting on you.
[33:20.000 --> 33:41.000]  The Alex Jones show because there is a war on for your mind.
[33:41.000 --> 33:56.000]  Remember 25 years ago, Monsanto came out with field trials of the Terminator seed for cotton and soybeans and many other plants.
[33:56.000 --> 34:07.000]  And when that plant goes through its life cycle, it doesn't produce seeds that can produce another plant.
[34:07.000 --> 34:25.000]  You have to go back to the company, the biotech company, to be able to get seeds that again only germinate and only produce another plant one time.
[34:25.000 --> 34:31.000]  And of course, then they stacked other genetic traits like pesticide into them so that bugs wouldn't eat them.
[34:31.000 --> 34:40.000]  But said it's safe for you to eat the pesticide. Kind of like they said glyphosate is safe to drink as well. Same company.
[34:40.000 --> 34:48.000]  Now that's old technology from the early 1990s.
[34:48.000 --> 34:55.000]  And if you're going to ask, why are you starting a discussion on transgenderism with the Terminator seed?
[34:55.000 --> 35:05.000]  Well, because I've read the textbooks in the 50s and 60s that were produced then about the plan to promote the end of the family,
[35:05.000 --> 35:19.000]  the end of the nuclear family and to promote homosexualism and then to promote non-gender and to have literally shaved heads and gray uniforms.
[35:19.000 --> 35:28.000]  And that this would start in the elementary schools and then move up beginning with confusing the sexuality of children.
[35:28.000 --> 35:35.000]  And that finally when you were done, people would be asexual, meaning they do not want to have sex, period.
[35:35.000 --> 35:45.000]  Now we can make jokes like folks on Twitter have done about this and show the fake alien autopsy from Roswell.
[35:45.000 --> 35:50.000]  You guys put that back up for me. Thank you.
[35:50.000 --> 35:54.000]  But notice there's no gender of that gray alien.
[35:54.000 --> 36:03.000]  Now that's fiction, but right next to it is not fiction. There's a video we're going to play here in just a moment.
[36:03.000 --> 36:16.000]  From pink news of the non-binary person and this thing needs your help to spread its word.
[36:16.000 --> 36:25.000]  So it's come to your planet and it needs your help and it needs you to spread what it's doing to your children to teach them that they're not a boy or girl
[36:25.000 --> 36:38.000]  and to rob them of their most basic identity before they ever even really came of age and had a choice in the new transhumanist world if they wanted to become a cyborg.
[36:38.000 --> 36:44.000]  And that's all this is, is first they say, hey, be nice to drag queens. Okay.
[36:44.000 --> 36:52.000]  I'm not against, I'm not a hater. I'm an open, you know, a libertarian guy to stay away from kids, whether you're heterosexual or homosexual.
[36:52.000 --> 36:56.000]  And then it's, oh, what about adults getting taxpayer money to have their genitals cut off?
[36:56.000 --> 37:04.000]  Well, no, I don't want to pay for that or your nose job or your facelift or your boob job.
[37:04.000 --> 37:09.000]  Oh, but just pay for mine because, because I'm, I'm a man that thinks I'm a woman and you're a hater if you don't.
[37:09.000 --> 37:15.000]  And so all over the country, billions of dollars has been paid for that scene. It just never ends, does it?
[37:15.000 --> 37:18.000]  So once they get you at that point, this is all psychological warfare.
[37:18.000 --> 37:24.000]  Tabistock Institute developed plans. The people that are buying into it just have identity crises and want attention.
[37:24.000 --> 37:31.000]  They see the media giving them attention. They have the highest rates of suicide, the highest rates of drug abuse, the highest rates of HIV.
[37:31.000 --> 37:43.000]  I feel very, very sorry for these followers who get sucked up into the murder system of San Francisco and New York City and just get spit out.
[37:43.000 --> 37:48.000]  It's really, really sick. Now, let me give you the big picture here.
[37:48.000 --> 37:56.000]  If you're going to sell a population on becoming cyborgs or taking brain chips or getting genetic therapies that change what you are,
[37:56.000 --> 38:09.000]  and if you're the globalist and you're setting up a eugenic society run by Julian Huxley, the head of UNESCO, the first director general of the UN 1946.
[38:09.000 --> 38:19.000]  He'd been the head of the World Eugenic Society with Margaret Sanger, Kaiser Wilhelm Institute, Cold Springs Harbor, IBM.
[38:19.000 --> 38:23.000]  And this is what they cooked up. This is their plan.
[38:23.000 --> 38:30.000]  It's just like you have the male and female area target. Well, they're now adding a sexless area. They're just adding the option.
[38:30.000 --> 38:33.000]  But with children, it's not the option. They nudge them into it.
[38:33.000 --> 38:40.000]  So this is the sterilization, the atomization, the isolation of the whole human family.
[38:40.000 --> 38:44.000]  And it starts with, oh, be nice to the guy that wants a sex change.
[38:44.000 --> 38:52.000]  And then, oh, in Canada and the UK and now here, don't say you're a mother or father and don't have your children say they're boys and girls.
[38:52.000 --> 38:55.000]  That could hurt other people who aren't boys and girls.
