[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[22:04.000 --> 22:19.000]  Call 800-247-3070 to get started with your 72-hour emergency food supply for only $10 or even covering the cost of shipping. Are you willing to rely on the government and FEMA in the event of an emergency?
[22:19.000 --> 22:43.000]  Call 800-274-3070 to get started with your 72-hour emergency food supply for only $10. You won't be able to find this deal online and there is a strict limit of 4 per caller, so don't wait. Call now 800-274-3070. That's 800-274-3070. Call right now.
[22:43.000 --> 22:52.000]  Silver has always been nature's very own antibiotic and only one system allows you to generate an endless supply of natural silver solutions, SilverLungs.com.
[22:52.000 --> 23:02.000]  You'll find no wild claims or pseudoscience, just a lifetime of nano-sized pure silver solutions. The SilverLungs Generator allows you to make your own, so stop paying for Silver Solutions.
[23:02.000 --> 23:13.000]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach. See the SilverLungs Generator and Lung Delivery System at SilverLungs.com. That's SilverLungs.com.
[23:13.000 --> 23:32.000]  Are you hungry for delicious, nutritious, rich and satisfying home-cooked meals? Discover the VitaClay 4-in-1 Smart Organic Cooker. Unglaze Zisha Clay, an ancient secret that makes this fast multi-cooker so special. Infusing your food with incredible flavors, perfect texture, vitamins and minerals for your good help.
[23:32.000 --> 23:44.000]  If it's a slow cooker, rice cooker, a steamer, plus a yogurt maker, go to VitaClayChef.com and enter promo code RADIO20 for 20% off at checkout. That's VitaClayChef.com.
[24:03.000 --> 24:22.000]  But meanwhile, the New York Post reports, despite the fact that billions, billions with a B, has been spent since 9-11 on, quote, added surveillance and security systems in the rotten apple, cops can't catch gang that has stolen 73 ATMs.
[24:22.000 --> 24:32.000]  They drive it with a truck, tie up to it, jerk it out of the wall and drag it off. When you go to New York City, they're just police almost on every corner, but they can't stop whoever's done this.
[24:32.000 --> 24:41.000]  Probably an inside job connected to that famously corrupt police department. The bigger the police state, the less safe we all are.
[24:41.000 --> 24:49.000]  And in the end, the police state always is used to rob what's left of the people's wealth and that's now happening. Snow on the ground in 48 states.
[24:49.000 --> 24:55.000]  We're going to talk about that in a moment. But first, speaking of the police state, Jay Johnson, I mentioned this, but let's play the clip.
[24:55.000 --> 25:07.000]  America needs to be vigilant about Mall of America threat. He also goes on to say on CNN, all the more reason why I need a budget. That's right.
[25:07.000 --> 25:20.000]  Homeland security over every federal agency. And then now they need more money to keep us safe from the imminent jihadi attack on malls, which really might happen.
[25:20.000 --> 25:28.000]  They brought in so many North African jihadis that they let them fly out of the US and England and Europe to fight all of the Middle East.
[25:28.000 --> 25:35.000]  Our government's funding them. You bet. They may not have to cook up some group to do this. They've got enough crazies to do it.
[25:35.000 --> 25:43.000]  And then it'll be, well, the answer is taking all your guns. Well, there's a problem. ABC News reported this last year.
[25:43.000 --> 25:51.000]  And it was also reported back in 2013 after Westgate Interpol chief ponders armed citizen ring.
[25:51.000 --> 25:57.000]  Ronald Noble asked if Nairobi massacre would have ended sooner in pro-gun states.
[25:57.000 --> 26:07.000]  So the common sense cannot be suppressed forever. Let's go to Jay Johnson terrorizing the public and fear mongering about terror attacks.
[26:07.000 --> 26:10.000]  Shane, give me more funding. Let's go to that clip.
[26:10.000 --> 26:14.000]  And I just want to read you one more thing on this. This is a statement from the Mall of America today.
[26:14.000 --> 26:20.000]  Mall of America is aware of a threatening video that was released, which included a mention and images of the mall.
[26:20.000 --> 26:24.000]  We take any potential threats seriously and respond appropriately.
[26:24.000 --> 26:31.000]  We have implemented extra security precautions. Some may be noticeable to guests and others won't.
[26:31.000 --> 26:37.000]  What are you telling Americans who might be planning a trip to the mall this Sunday?
[26:37.000 --> 26:41.000]  What we're telling the public in general is you've got to be vigilant.
[26:41.000 --> 26:47.000]  We just revamped our, if you see something, say something campaign at the Super Bowl last month.
[26:47.000 --> 26:48.000]  Well, I see tyrants.
[26:48.000 --> 26:58.000]  And so public engagement, public awareness is critical. Americans should still feel that they are free to associate.
[26:58.000 --> 27:06.000]  They are free to go to public gatherings, but it's critical that we have public awareness and public participation in our efforts.
[27:06.000 --> 27:11.000]  Are they safe in going to the Mall of America today? If you want to go take your kids to the Mall of America?
[27:11.000 --> 27:17.000]  I would say that if anyone is planning to go to the Mall of America today, they've got to be particularly careful.
[27:17.000 --> 27:24.000]  And as the statement you read indicates, there will be enhanced security there that will be apparent to people who go there.
[27:24.000 --> 27:25.000]  Federal security as well?
[27:25.000 --> 27:27.000]  There will be enhanced security there.
[27:27.000 --> 27:35.000]  But public vigilance, public awareness and public caution in situations like this is particularly important.
[27:35.000 --> 27:40.000]  And it's the environment we're in, frankly. And it's all the more reason why I need a budget.
[27:40.000 --> 27:49.000]  And then it just cuts. It's from CNS News. Grab that clip. CNSnews.com. This is just amazing.
[27:49.000 --> 27:56.000]  They train, they arm Al Qaeda slash ISIS. They admit ISIS is Al Qaeda. They let them get funding.
[27:56.000 --> 28:03.000]  Saudi Arabia is involved. Turkey's involved. Israel's involved. The U.S. is involved. All of this to topple Syria.
[28:03.000 --> 28:09.000]  And then when it blows back, they say, you do have to be careful. It is dangerous.
[28:09.000 --> 28:18.000]  Statistically, we talk about it, honeybees kill over 200 people a year. Terrorism doesn't. Here in the United States.
[28:18.000 --> 28:25.000]  So what if it's a real threat? Since when does Land of the Free, Home of the Brave even cower with some police state chief up there going,
[28:25.000 --> 28:30.000]  we need more funding and we're going to have a federal presence and we're going to be there and more security.
[28:30.000 --> 28:38.000]  Some you'll see, some you won't to keep you safe. When the threat is the big giant out of control government.
[28:38.000 --> 28:44.000]  This is the same federal government that has completely opened our borders outside of law and is legalizing tens of millions of illegals,
[28:44.000 --> 28:48.000]  many of them aggravated felons and releasing them when local police arrest them.
[28:48.000 --> 28:55.000]  ICE won't even come pick up rapist armed robbers and arsonist on record.
[28:55.000 --> 29:01.000]  But they will sit there and oh, in hushed voices. The threats are very serious.
[29:01.000 --> 29:11.000]  If you go to Mall of America, you've got to really watch it. This is so transparent. The threat is you people.
[29:11.000 --> 29:16.000]  You know the ones that ship guns into Mexico in a false flag to demonize the Second Amendment.
[29:16.000 --> 29:20.000]  You people are caught red-handed and you're disgusting. The same ones fear mongering.
[29:20.000 --> 29:25.000]  Global warming's real and we've got to pay global carbon taxes. We're all dead.
[29:25.000 --> 29:31.000]  I went and saw Kingsman, the Secret Service last night. It's like my show again. It's like every movie is this show now.
[29:31.000 --> 29:35.000]  Global government wants to exterminate everybody except the elite. It's like Moon Raker.
[29:35.000 --> 29:36.000]  We're on the march.
[29:36.000 --> 29:37.000]  Part two.
[29:37.000 --> 30:00.000]  We're on the march.
[30:00.000 --> 30:15.000]  We're on the march.
[30:15.000 --> 30:41.000]  We're on the march.
[30:41.000 --> 31:07.000]  We're on the march.
[31:07.000 --> 31:33.000]  We're on the march.
[31:33.000 --> 31:59.000]  We're on the march.
[31:59.000 --> 32:25.000]  We're on the march.
[32:25.000 --> 32:46.000]  We're on the march.
[32:46.000 --> 33:12.000]  We're on the march.
[33:12.000 --> 33:17.000]  If you are receiving this transmission, you are the Resistance.
[33:17.000 --> 33:39.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[33:39.000 --> 33:45.000]  Energy dependency is always a big thing. Look at wars. How do they fight wars?
[33:45.000 --> 33:53.000]  One of the major things they do is cut off the energy in whatever form it is to the particular country you're going to war with.
[33:53.000 --> 33:58.000]  We did it with the Japanese in World War II. We embargoed they couldn't get any oil.
[33:58.000 --> 34:08.000]  We would have been even more successful against the Germans in World War II except the Germans had already figured out how to create synthetic oil.
[34:08.000 --> 34:16.000]  And by the way, in the German synthetic oil, there was no fossil fuel used.
[34:16.000 --> 34:22.000]  So I questioned whether oil is actually a fossil fuel. I don't believe that it is.
[34:22.000 --> 34:30.000]  I think that's made up in which to get people to believe so that they can control the pricing then that there's only a finite amount of it.
[34:30.000 --> 34:41.000]  The Keystone Pipeline isn't pushing us towards energy independence at all. All it is doing is going to make huge money for the oil companies as they export that oil out of the United States.
[34:41.000 --> 34:49.000]  The simple way to look at it, if Keystone was going to provide oil for us, they'd be loading it into trucks.
[34:49.000 --> 34:56.000]  But what are they doing? Keystone is going down to the Gulf of Mexico and it is being loaded onto tanker ships.
[34:56.000 --> 35:04.000]  So unless them ships are heading to LA or San Francisco, say goodbye to all that oil from Keystone. It's heading to China.
[35:04.000 --> 35:13.000]  There's your key to it right there. If it was coming to us, it would be loaded onto trucks and you wouldn't have to build a pipeline all the way to the Gulf.
[35:13.000 --> 35:22.000]  But because they need to load it onto ships, the pipeline goes to the Gulf to put it on ships so the oil companies can make big money over in China.
[35:22.000 --> 35:35.000]  We use so much oil, the United States of America, there is no way that we can provide it for ourselves without seeking it in other countries and other places throughout the world.
[35:35.000 --> 35:40.000]  Okay? That's the way I see it.
[35:40.000 --> 35:50.000]  What is energy dependence? Well, it's basically slavery. We are slaves to oxygen. We have to have it. Plants are slaves to carbon dioxide.
[35:50.000 --> 35:58.000]  If you go back to the most ancient form of warfare, practiced for more than 6,000 years, it's siege, shut off the city's water, shut off their food.
[35:58.000 --> 36:11.000]  So through oil dependence in the last 100 plus years, the Standard Oil and the Saudi Arabians today, we are slaves to OPEC and the cartels that control oil.
[36:11.000 --> 36:20.000]  And so they've done everything they can to block the development of independent renewable new forms of energy like solar, wind.
[36:20.000 --> 36:32.000]  The problem is the very same system has allowed the few innovations that have been made to be corrupted and wind power farms and solar systems that have been built by government
[36:32.000 --> 36:43.000]  have just turned into inefficient boondoggles for the establishment so they can basically make the new clean energy systems fail to discredit it.
[36:43.000 --> 36:51.000]  We're seeing right now Saudi Arabia and others out of bankrupt Russia and independent U.S. oil producers by driving down prices.
[36:51.000 --> 36:56.000]  So there's also a lot of manipulation within the oil market itself.
[36:56.000 --> 37:05.000]  But when you begin to research artificial energy dependence, you're really hitting at the heart of how the globalist control our planet today.
[37:05.000 --> 37:10.000]  And that's why I encourage people to develop their own solar systems at their home that's off the grid.
[37:10.000 --> 37:18.000]  Government encourages certain solar systems or wind systems that are hooked directly into the grid and the system and are highly regulated.
[37:18.000 --> 37:24.000]  What we need is truly independent off the grid systems like Jesse Ventura has set up in Baja, Mexico.
[37:24.000 --> 37:27.000]  I'm Alex Jones, head to head with Jesse Ventura.
[37:33.000 --> 37:40.000]  I think that really turned out well and we've got Jesse Ventura joining us for the next 50 minutes or so live from Baja, Mexico.
[37:40.000 --> 37:45.000]  Amazing Skype connection despite the fact that he's down there and he's got some amazing stories to tell.
[37:45.000 --> 37:51.000]  But his crew had the idea that periodically every month or so Jesse will take two minutes.
[37:51.000 --> 37:55.000]  He did it in one take, I did mine in one take as well, exactly two minutes.
[37:55.000 --> 37:57.000]  And then we sandwich them together.
[37:57.000 --> 38:01.000]  And I think we pretty much agreed from different angles on that piece.
[38:01.000 --> 38:08.000]  Jesse was just saying during the break, he thinks it'll be a real debate when we talk about illegal immigration.
[38:08.000 --> 38:10.000]  We can probably not save that for that.
[38:10.000 --> 38:13.000]  We can debate that today here as well.
[38:13.000 --> 38:29.000]  But we're going to cover the waterfront with Jesse. You can find this piece that airs over at aura.tv forward slash off the grid or twitter.com forward slash gov J Ventura and Facebook forward slash official Jesse Ventura.
[38:29.000 --> 38:39.000]  We have those all linked up on info wars dot com and prison planet dot com and you can follow us of course at real Alex Jones and on our different Facebook channels that are listed.
[38:39.000 --> 38:47.000]  What I know about Jesse Ventura get to know him over now. It's hard to believe like eight nine years is that he's the real deal.
[38:47.000 --> 38:54.000]  And even though we disagree on probably 30% of the issues, it doesn't matter because at least he's an honorable guy.
[38:54.000 --> 38:57.000]  He stands up for basic liberty. I'd call him a libertarian.
[38:57.000 --> 39:08.000]  He's an anti establishment party guy. You've heard him here many times and the system is attacking him and demonizing him and misrepresenting what he says and what he stands for.
[39:08.000 --> 39:18.000]  More and more because they're scared of him. And that's why they did the fake thing where he got basically arrested by the police in California at the at the airport or whatever did never happen.
[39:18.000 --> 39:30.000]  Wasn't true. He was in Minnesota or the police had stopped him. It was a confrontation made up or the whole American sniper thing which is now unraveling and you know coming out that the movies basically has nothing to do with reality.
[39:30.000 --> 39:32.000]  Why would they try to put him in that book?
[39:32.000 --> 39:42.000]  And I'm sure Ventura hadn't threatened to assume probably in the movie. It's because the establishment is really going after him and anybody else that they know they don't control.
[39:42.000 --> 39:50.000]  Because Jesse Ventura and we're going to get to all the issues with him for new listeners with a lot of new affiliates and always being demonized and attacked.
