[00:00:01.000 --> 00:00:16.000]  Intro Music
[00:03:58.000 --> 00:04:00.000]  This was reported by The Telegraph.
[00:04:00.000 --> 00:04:05.000]  The best protection against COVID-19 could be by going up your nose.
[00:04:05.000 --> 00:04:14.000]  What nasal or mucosal vaccines do, they concentrate the immune protection in the upper airway.
[00:04:14.000 --> 00:04:18.000]  We do have a nasal spray vaccine for influenza virus, so-called flu mist,
[00:04:18.000 --> 00:04:20.000]  which has not exactly been a game changer.
[00:04:20.000 --> 00:04:24.000]  So I'm a little skeptical about how this nasal spray vaccine will work.
[00:04:24.000 --> 00:04:27.000]  All right, ladies and gentlemen, thank you for joining us on this live Wednesday,
[00:04:27.000 --> 00:04:30.000]  April 19th, 2023 Global Transmission.
[00:04:30.000 --> 00:04:34.000]  Dr. Rima Labo, you talk about a whistleblower on the inside.
[00:04:34.000 --> 00:04:37.000]  And of course, her now deceased husband, General Stubblebine,
[00:04:37.000 --> 00:04:42.000]  they were the most hardcore on target with what happened decades before it unfolded.
[00:04:42.000 --> 00:04:45.000]  She will be joining us coming up today.
[00:04:45.000 --> 00:04:49.000]  We have so much other huge breaking news, but see the full report that you just saw part of
[00:04:50.000 --> 00:04:54.000]  We'll have it added to the front page of InfoWars.com under the live show feed.
[00:04:54.000 --> 00:04:59.000]  Remember when Alex Jones warned Desi Ventura the government was planning mass killing with vaccines.
[00:05:09.000 --> 00:05:16.000]  You need to get coordinated with not only your food, but also your health supplements,
[00:05:16.000 --> 00:05:18.000]  because it's going to be a matter of life and death.
[00:05:18.000 --> 00:05:25.000]  So support InfoWars store. Listen, you need to put it as a priority because you don't know.
[00:05:25.000 --> 00:05:29.000]  I don't know. Alex and I are telling you how late it is before midnight strikes.
[00:05:29.000 --> 00:05:33.000]  And again, magnesium is critical for your muscles and everything.
[00:05:33.000 --> 00:05:41.000]  Krill oil. What I'm watching right before my eyes is a composite overview of nutritional supplements
[00:05:41.000 --> 00:05:44.000]  that will keep you alive. And I would urge everyone.
[00:05:44.000 --> 00:05:47.000]  Maybe you don't take vitamins. Maybe you don't take nutritional supplements.
[00:05:47.000 --> 00:05:51.000]  But the day will come. Vitamin C and zinc. Absolutely imperative for the cold.
[00:05:51.000 --> 00:05:55.000]  DNA force. Absolutely imperative. Mineral fusion. Absolutely.
[00:05:55.000 --> 00:05:58.000]  As you're drinking filtered water, a lot of it will become demineralized.
[00:05:58.000 --> 00:06:01.000]  You have to have these products.
[00:06:03.000 --> 00:06:09.000]  Big Brother. Mainstream media. Government cover-ups.
[00:06:09.000 --> 00:06:13.000]  You want to stop tyranny? Well, so does he.
[00:06:13.000 --> 00:06:19.000]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:24.000 --> 00:06:28.000]  It's Wednesday, April 19th, 2023.
[00:06:30.000 --> 00:06:33.000]  This, of course, is the day when the feds blew up Oklahoma City.
[00:06:33.000 --> 00:06:37.000]  And, of course, you know what they did in Waco.
[00:06:37.000 --> 00:06:40.000]  It's one of the times they like to make their moves.
[00:06:40.000 --> 00:06:46.000]  I hope they don't pull anything sick and evil on that scale today or ever again.
[00:06:46.000 --> 00:06:48.000]  Welcome and thank you for joining us.
[00:06:48.000 --> 00:06:51.000]  Okay, this is a particularly jam-packed transmission.
[00:06:51.000 --> 00:06:55.000]  Dr. Rima Labo, who I've not had on in many years for some reason.
[00:06:55.000 --> 00:06:57.000]  She's an incredible lady.
[00:06:57.000 --> 00:06:59.000]  I know for a while she was out of the country and hard to get on.
[00:06:59.000 --> 00:07:01.000]  And just five, six years went by.
[00:07:01.000 --> 00:07:08.000]  She was the most accurate person out there predicting how they'd use vaccines for depopulation.
[00:07:08.000 --> 00:07:12.000]  And, of course, that's because her husband was the former head of the Army.
[00:07:12.000 --> 00:07:14.000]  They had a special operation before that.
[00:07:14.000 --> 00:07:17.000]  He had a defense intelligence agency.
[00:07:17.000 --> 00:07:22.000]  He was throughout the highest levels of the national security state.
[00:07:22.000 --> 00:07:27.000]  And he had a lot of information about what was going on that was obviously highly classified.
[00:07:27.000 --> 00:07:37.000]  But his wife is a top medical doctor who served royalty, heads of state, presidents, presidents' wives.
[00:07:37.000 --> 00:07:42.000]  And I know who she obviously treated from my other sources, but she hasn't given up that information,
[00:07:42.000 --> 00:07:46.000]  obviously because of a doctor's oath and HIPAA and things like that.
[00:07:46.000 --> 00:07:55.000]  But she met with multiple globalists, and they openly talked about how they were going to release viruses as a scare.
[00:07:55.000 --> 00:07:58.000]  They have a pretext of a vaccine that sterilizes the public en masse.
[00:07:58.000 --> 00:08:00.000]  We now know the COVID shots.
[00:08:00.000 --> 00:08:02.000]  The mRNA are doing that.
[00:08:02.000 --> 00:08:04.000]  So she'll be joining us coming up.
[00:08:04.000 --> 00:08:08.000]  We booked her for an hour at 1 p.m., but I'm not sure that's enough time.
[00:08:08.000 --> 00:08:11.000]  So we're trying to get her on at 12.30.
[00:08:11.000 --> 00:08:16.000]  Today we have another medical doctor popping in to decipher this announcement by the FDA.
[00:08:16.000 --> 00:08:23.000]  FDA, monovalent Pfizer and Moderna COVID-19 vaccines are no longer authorized, pulled from the market.
[00:08:23.000 --> 00:08:27.000]  But that's because they want to make you, quote, take the new ones, admitting the old ones don't work.
[00:08:27.000 --> 00:08:29.000]  And, of course, the new ones don't work either.
[00:08:29.000 --> 00:08:31.000]  They've got even more on the way.
[00:08:31.000 --> 00:08:33.000]  So what a complete fraud.
[00:08:33.000 --> 00:08:35.000]  We'll be talking to a doctor.
[00:08:35.000 --> 00:08:37.000]  She'll be popping in.
[00:08:37.000 --> 00:08:40.000]  Dr. Stella Emanuel at the start of the next hour as well.
[00:08:40.000 --> 00:08:44.000]  In the meantime, people are really starting to get it.
[00:08:44.000 --> 00:08:53.000]  I've got clips from Senate hearings yesterday with Rand Paul saying this is Stalinistic and that the CIA is running mass censorship and it's criminal and must stop.
[00:08:53.000 --> 00:08:57.000]  And then Tom Fenton is a really good lawyer at Judicial Watch.
[00:08:58.000 --> 00:09:04.000]  And there's an 11-minute report we're going to post to Infowars.com where he lays it all out with the documents.
[00:09:04.000 --> 00:09:06.000]  But you listen to this.
[00:09:06.000 --> 00:09:08.000]  We heard all this from Alex Jones.
[00:09:07.691 --> 00:09:17.231]  Five and a half, six years ago, seven years ago now, in 2016, because I could read the
[00:09:17.231 --> 00:09:21.771]  Defense Authorization Act like anybody else could, and Obama, before he left, set this
[00:09:21.771 --> 00:09:28.171]  up, and then Trump let the agency that it had called for be established, and that's
[00:09:28.171 --> 00:09:32.251]  the agency that coordinates this illegal activity against the American people.
[00:09:32.251 --> 00:09:36.331]  So very important information, and I know as an audience, a lot of you already knew
[00:09:36.331 --> 00:09:40.051]  about this, you didn't even know about it from me, but already know this, but the world's
[00:09:40.051 --> 00:09:45.211]  just now getting to this point where they understand it, so that's a big deal, and it
[00:09:45.211 --> 00:09:48.331]  ties into this that I want to play first.
[00:09:48.331 --> 00:09:54.811]  It's Hillary Clinton, an interview yesterday, and she says there's no way Trump will be
[00:09:54.811 --> 00:09:56.131]  allowed to be back in office.
[00:09:56.131 --> 00:10:00.531]  Just like they said in 2020, they said, we don't care what he does, what happens, it's
[00:10:00.531 --> 00:10:01.531]  not going to happen.
[00:10:01.531 --> 00:10:04.811]  You'll see a red mirage, it'll look like he won, but then there will be the mail-in
[00:10:04.811 --> 00:10:11.411]  votes, we will win, and they did that, and they used the red herring of the machines,
[00:10:11.411 --> 00:10:16.171]  and there was some hanky-panky going on there, some skullduggery, to divert off on the machines
[00:10:16.171 --> 00:10:21.411]  and satellites from Italy and all that baloney that was attached to it as a PSYOP, and I've
[00:10:21.411 --> 00:10:25.251]  been caught up in PSYOPs before, but I've learned how to recognize them.
[00:10:25.251 --> 00:10:28.291]  They did it the old-fashioned way with dead people and folks that had moved out of the
[00:10:28.291 --> 00:10:35.531]  districts voting, and culling the voting rolls and $400 million from Mark Zuckerberg
[00:10:35.531 --> 00:10:41.611]  and Facebook to do the data crunching to do that, and then they simply had armies of people,
[00:10:41.611 --> 00:10:48.811]  as the 2000 Mules film shows and documents, go to the key battleground states and sit
[00:10:48.811 --> 00:10:53.931]  there with 10, 20, 30, 40 ballots apiece and falsely sign them with the people's name and
[00:10:53.931 --> 00:10:55.891]  put them in the mail.
[00:10:55.891 --> 00:11:00.131]  My brother-in-law, who, by the way, is a scientist, a super-smart professional, he doesn't make
[00:11:00.131 --> 00:11:03.211]  stuff up, he thought it was illegal to be in a post office filling people, so he didn't
[00:11:03.211 --> 00:11:07.451]  tape it, but a day after the election, because we know what's going on for about a week,
[00:11:07.451 --> 00:11:09.411]  he was in the main Austin...
[00:11:09.647 --> 00:11:18.887]  Federal mail facility, you know, the post office, and saw a guy with dozens of ballots
[00:11:18.887 --> 00:11:23.207]  that he was signing different names to and taking pictures of each one.
[00:11:23.207 --> 00:11:28.567]  This is way before it came out, and months later, the videos of folks taking pictures
[00:11:28.567 --> 00:11:35.487]  of the ballots, putting them into the post office boxes, putting them into the mail drop
[00:11:35.487 --> 00:11:36.487]  boxes.
[00:11:36.487 --> 00:11:41.887]  But he saw the guy in the place doing it and described exactly what we know they then did.
[00:11:41.887 --> 00:11:47.407]  So I have family with his eyeballs, I mean, you know, a chemist, works for major companies,
[00:11:47.407 --> 00:11:48.407]  very professional.
[00:11:48.407 --> 00:11:56.447]  You know, to say he was very upset, very disturbed, and he saw it happen, and I kind of got mad
[00:11:56.447 --> 00:11:57.447]  at him.
[00:11:57.447 --> 00:11:58.447]  I said, why the hell didn't you video?
[00:11:58.447 --> 00:12:00.927]  And he said, well, I think it's probably illegal to film at a federal thing when somebody's
[00:12:00.927 --> 00:12:02.047]  doing their own documents.
[00:12:02.047 --> 00:12:08.527]  But he saw the guy filling out the names he had on the list onto the mail and putting
[00:12:08.527 --> 00:12:12.927]  it in, well, handing it over to the postal worker.
[00:12:12.927 --> 00:12:16.487]  And he sat there while he was mailing a package and watched this guy in front of him do this
[00:12:16.487 --> 00:12:19.407]  for 10 minutes.
[00:12:19.407 --> 00:12:20.727]  And so we know what they did.
[00:12:20.727 --> 00:12:22.807]  We know they covered up the windows of the facilities.
[00:12:22.807 --> 00:12:27.647]  They claimed pipes had broken in Atlanta.
[00:12:27.647 --> 00:12:32.247]  And so when Hillary says that they're going to make sure Trump doesn't get elected, you
[00:12:32.247 --> 00:12:33.247]  can believe her.
[00:12:33.247 --> 00:12:41.287]  And this whole Fox News dominion reached $787 million settlement.
[00:12:41.287 --> 00:12:46.727]  That's all just because they've got neocons and they've got Republicans in text messages
[00:12:46.727 --> 00:12:49.327]  saying we think this is all bull.
[00:12:49.327 --> 00:12:52.007]  Tell the other hosts they shouldn't be covering it.
[00:12:52.007 --> 00:12:54.327]  And then other producers saying, no, it's a really hot issue.
[00:12:54.327 --> 00:12:55.327]  There's some evidence of it.
[00:12:55.327 --> 00:12:56.327]  We're going to cover it.
[00:12:56.327 --> 00:12:57.967]  That's their opinion.
[00:12:57.967 --> 00:13:03.367]  So now they get to run around and say, Fox admits they lied because you have people in
[00:13:03.367 --> 00:13:05.807]  a news organization arguing and debating.
[00:13:05.807 --> 00:13:07.287]  What do you think they do on air?
[00:13:07.287 --> 00:13:09.327]  What do you think we do here?
[00:13:09.327 --> 00:13:14.767]  In lawsuits against me, they went, we have interviews with Paul Watson on your show disagreeing
[00:13:14.767 --> 00:13:16.287]  that Sandy Hook may have been staged.
[00:13:16.287 --> 00:13:18.207]  And I'm like, yeah, we're not a cult.
[00:13:18.207 --> 00:13:21.367]  Paul Watson disagreed with us even looking at that.
[00:13:21.367 --> 00:13:22.967]  And I think he was right in the end.
[00:13:22.967 --> 00:13:24.287]  But the point was, there was no order.
[00:13:24.287 --> 00:13:26.287]  Hey, you're going to go out and say this isn't real.
[00:13:26.287 --> 00:13:27.287]  The Internet didn't believe it.
[00:13:27.287 --> 00:13:28.287]  There were some anomalies.
[00:13:28.287 --> 00:13:31.087]  We covered it.
[00:13:31.087 --> 00:13:37.207]  But the issue is then they turn it all into this giant fiasco to go after everybody's
[00:13:37.207 --> 00:13:41.567]  free speech for simply questioning about a big event when we know so many events do turn
[00:13:41.567 --> 00:13:42.847]  out to be staged.
[00:13:42.847 --> 00:13:46.807]  And crisis actors are a real thing in many of these other events.
[00:13:46.807 --> 00:13:47.807]  And that's come out.
[00:13:47.807 --> 00:13:50.607]  And the public knows about that now.
[00:13:50.607 --> 00:13:53.047]  And the system doesn't want you to be able to ask questions.
[00:13:53.047 --> 00:13:59.567]  So now with this Dominion settlement and other lawsuits against Fox, they're saying
[00:13:59.567 --> 00:14:01.287]  the president did not question elections.
[00:14:01.287 --> 00:14:04.927]  I can sit here and play you a 30-minute compilation.
[00:14:04.927 --> 00:14:07.167]  We played many of these compilations.
[00:14:07.167 --> 00:14:08.167]  The short ones are two minutes.
[00:14:08.167 --> 00:14:09.527]  Most are four or five minutes.
[00:14:09.527 --> 00:14:18.007]  But I've seen a 30-minute compilation in the year 2000, in 2002, in 2004, in 2006, in 2008,
[00:14:18.007 --> 00:14:21.727]  in 2010, in 2012, right up till now.
[00:14:21.727 --> 00:14:27.567]  Right up to Trump being elected in 2016, saying these machines are fraudulent and naming the
[00:14:27.567 --> 00:14:31.127]  same companies that sued the Republicans and Fox.
[00:14:31.127 --> 00:14:33.127]  And we've got evidence of this.
[00:14:33.127 --> 00:14:34.127]  And there was some evidence.
[00:14:34.127 --> 00:14:36.647]  I mean, it looks like they did steal the election from Al Gore.
[00:14:36.647 --> 00:14:40.087]  That's two criminals battling each other in 2000.
[00:14:40.087 --> 00:14:44.727]  But we know that's gone on the past, but we know the ballots and dead people voting or
[00:14:44.727 --> 00:14:48.287]  people who moved out of the district, that's the surefire way to do it.
[00:14:48.287 --> 00:14:50.047]  And that's how they're doing it.
[00:14:50.047 --> 00:14:51.367]  There is stuff going on with machines.
[00:14:52.007 --> 00:14:56.487]  Look at Arizona in this gubernatorial election, where all the key Republican precincts in
[00:14:56.487 --> 00:15:02.847]  Maricopa County gave them two-inch short ballots that didn't read and didn't work.
[00:15:02.847 --> 00:15:03.847]  Only there.
[00:15:03.847 --> 00:15:06.607]  And then they can, quote, not count those.
[00:15:06.607 --> 00:15:10.667]  So they know what they're doing, ladies and gentlemen.
[00:15:10.667 --> 00:15:13.967]  And Hillary is telling you that they're getting ready to steal it again.
[00:15:13.967 --> 00:15:16.287]  We'll go to break and come back with this clip.
[00:15:16.287 --> 00:15:19.047]  But that's not even the main way they're stealing it.
[00:15:19.047 --> 00:15:22.007]  That's the way they physically steal votes on the day of.
[00:15:22.007 --> 00:15:27.447]  But the bigger way is the AI, the algorithms, the censorship of news that has cover for
[00:15:27.447 --> 00:15:31.087]  the deep state, the Democratic Party, and establishment Republicans.
[00:15:31.087 --> 00:15:36.047]  And it flat out blocked communication from candidates that are patriots from the public.
[00:15:36.047 --> 00:15:37.047]  That's election meddling.
[00:15:37.047 --> 00:15:42.807]  What they blamed Russia for, they did in mass with the CIA running it now on record,
[00:15:42.807 --> 00:15:44.987]  censoring, controlling, surveilling.
[00:15:44.987 --> 00:15:46.987]  So they're caught red-handed.
[00:15:46.987 --> 00:15:50.227]  And now they want to set the precedent that you can't ever question an election again
[00:15:50.227 --> 00:15:53.307]  when the State Department runs around the world policing everybody else's elections.
[00:15:53.307 --> 00:16:00.107]  We'll be right back, InfoWars.com, tomorrow's news today, Bandai video.
[00:16:00.107 --> 00:16:04.907]  Turbo Force is back, sold out for eight months, and it's Turbo Force Plus.
[00:16:04.907 --> 00:16:07.067]  We made it even stronger.
[00:16:07.067 --> 00:16:12.627]  The strongest long-term energy you're going to find anywhere, Turbo Force is back in stock
[00:16:12.627 --> 00:16:17.747]  at InfoWars.com or 888-253-3139.
[00:16:17.747 --> 00:16:24.267]  It's not just wide-spectrum natural herbs that time-release over 10 hours, should be
[00:16:24.267 --> 00:16:25.867]  called 10-hour energy.
[00:16:25.867 --> 00:16:31.327]  It has a bunch of vitamins and minerals and a bunch of other key things and amino acids
[00:16:31.327 --> 00:16:36.467]  that turbocharge everything and are good for your heart, your brain, your liver, you name
[00:16:36.467 --> 00:16:37.467]  it.
[00:16:37.467 --> 00:16:40.947]  It is the super fuel.
[00:16:40.947 --> 00:16:44.307]  RainForce Plus is great, RainForce Alt is great, they're two different nootropics, they
[00:16:44.307 --> 00:16:49.707]  go good with this, but this is the king kong, this is the boss.
[00:16:49.707 --> 00:16:59.707]  Turbo Force, back in stock, discounted, InfoWars.com, more power, more strength, more energy.
[00:16:59.707 --> 00:17:05.987]  In the early 1900s, certain companies were off-gassing highly toxic fluoride gases into
[00:17:05.987 --> 00:17:07.107]  the atmosphere.
[00:17:07.107 --> 00:17:09.827]  The surrounding communities began to get sick.
[00:17:09.867 --> 00:17:16.227]  Laws were enacted to compel these corporations to install scrubbers to convert these gases
[00:17:16.227 --> 00:17:20.667]  into fluorosilicic acid, still highly toxic but containable.
[00:17:20.667 --> 00:17:25.467]  Now these companies had a stockpile of this poison and there was no affordable way to
[00:17:25.467 --> 00:17:26.547]  dispose of it.
[00:17:26.547 --> 00:17:31.507]  Lucky for them, one of their major stockholders was also the Secretary of the Treasury, who
[00:17:31.507 --> 00:17:34.987]  was responsible for the public health service at the time.
[00:17:34.987 --> 00:17:41.507]  And by 1950, the U.S. government began buying this toxic, untreated industrial waste product
[00:17:41.507 --> 00:17:43.867]  and dumping it into our drinking water.
[00:17:43.867 --> 00:17:49.147]  Reputable studies show that it's causing various cancers and other disease.
[00:17:49.147 --> 00:17:55.587]  With the Alexa Pure Pro, you can have clean drinking water and a remedy to this madness.
[00:17:55.587 --> 00:17:59.667]  Available now at InfoWarsStore.com.
[00:17:59.667 --> 00:18:02.347]  There is a war for the future happening right now.
[00:18:02.347 --> 00:18:07.227]  There is a war that will control my destiny, your destiny, our children's destinies.
[00:18:07.227 --> 00:18:11.227]  And that war is something that we can win, but it takes dedication.
[00:18:11.227 --> 00:18:12.587]  It takes commitment.
[00:18:12.587 --> 00:18:17.307]  That's why I ask listeners respectfully to go to InfoWarsStore.com and buy great products
[00:18:17.307 --> 00:18:23.187]  that will enrich and empower your life while keeping us on air at the very same time.
[00:18:23.187 --> 00:18:24.187]  InfoWarsStore.com.
[00:18:24.187 --> 00:18:29.667]  To get a signed or unsigned copy of my book, The Great Reset and War for the World, Ultimate
[00:18:29.667 --> 00:18:35.667]  Bone Broth, Back and Stock, Nitric Boost, the amazing CBD oil we have that's the highest
[00:18:35.667 --> 00:18:39.147]  quality you're going to find anywhere at more than half off.
[00:18:39.147 --> 00:18:42.907]  It's all available at InfoWarsStore.com, some of the very best products.
[00:18:42.907 --> 00:18:45.307]  And a lot of you have never shopped at InfoWarsStore.
[00:18:45.307 --> 00:18:48.427]  You've been watching for years, you've been listening for years, but you've never taken
[00:18:48.427 --> 00:18:50.707]  the step to go to InfoWarsStore.
[00:18:50.707 --> 00:18:54.827]  These are great products that really work and are amazing, plus they keep us on air.
[00:18:54.827 --> 00:18:55.827]  So again, please take action.
[00:18:55.827 --> 00:18:58.827]  Go to InfoWarsStore.com today and I thank you.
[00:18:58.827 --> 00:19:03.667]  It's time to show them what a real alpha male looks like with one of our most powerful
[00:19:03.667 --> 00:19:05.827]  products ever made, Alpha Power.
[00:19:05.827 --> 00:19:09.427]  As you age, your body can lose testosterone over time.
[00:19:09.427 --> 00:19:14.027]  With the incredible ingredients in this formula, we can help you beat the test of time and
[00:19:14.027 --> 00:19:18.427]  assist in restoring that lost energy and gluten that comes with time and age.
[00:19:18.427 --> 00:19:23.027]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance
[00:19:23.027 --> 00:19:27.027]  your day-to-day life with ease while encouraging hormonal balance.
[00:19:27.027 --> 00:19:33.427]  Perfect by itself or with super male vitality in the true alpha male pack, Alpha Power can
[00:19:33.427 --> 00:19:38.747]  help boost performance, help maintain normal testosterone levels, support healthy cholesterol
[00:19:38.747 --> 00:19:39.747]  and more.
[00:19:39.747 --> 00:19:43.867]  Let Alpha Power help bring you to the peak of your optimal health.
[00:19:43.867 --> 00:19:46.787]  Don't fall short on energy in the fight against tyranny.
[00:19:46.787 --> 00:19:50.787]  Show the world what a true alpha male looks like today with Alpha Power.
[00:19:50.787 --> 00:19:53.187]  Head to InfoWarsStore.com today.
[00:19:59.150 --> 00:20:09.150]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:09.230 --> 00:20:36.310]  Oh,
[00:20:36.310 --> 00:20:46.310]  all right so the deep state when Obama left office 2017 in January created
[00:20:46.310 --> 00:20:50.710]  this cybersecurity intelligence agency that coordinates with all the other
[00:20:50.710 --> 00:20:54.830]  intelligence agencies to steal elections and to do exactly what they
[00:20:54.830 --> 00:21:00.150]  claim the Russians were doing with no evidence and Tom Fenton's done an
[00:21:00.150 --> 00:21:05.190]  excellent job breaking that down we'll play some of that video coming up
[00:21:05.190 --> 00:21:11.790]  so has Ron Paul but first let's go ahead and play a clip of Hillary on Sky News
[00:21:11.790 --> 00:21:16.590]  yesterday saying one way or another Trump will not be reelected here it is
[00:21:16.590 --> 00:21:21.630]  America goes to the polls Donald Trump is running for president while under
[00:21:21.630 --> 00:21:28.030]  criminal indictment this the man who back in 2016 consistently clues you of
[00:21:28.030 --> 00:21:33.630]  law-breaking and actively encouraged chance of lock her up directed at you
[00:21:33.630 --> 00:21:39.470]  it's pretty ironic isn't it that he is now a former president that could face
[00:21:39.470 --> 00:21:45.390]  a jail term how does it make you feel well I always thought about him and if
[00:21:45.390 --> 00:21:51.590]  you follow him I think you can see it as well he accuses people of doing things
[00:21:51.590 --> 00:21:58.510]  he himself is doing it's a form of psychological projection and I always
[00:21:58.510 --> 00:22:04.790]  thought that his record in business in particular but then as we saw him in
[00:22:04.790 --> 00:22:10.390]  politics and government he was someone who cared nothing about rules he cared
[00:22:10.390 --> 00:22:15.710]  nothing about the law so he has been indicted and there may be others as well
[00:22:15.710 --> 00:22:19.270]  but he has said he's going to keep running and there's nothing in our
[00:22:19.270 --> 00:22:24.510]  current system of laws that would prevent him from running but even if he
[00:22:24.510 --> 00:22:29.310]  gets the Republican nomination he cannot in my view be reelected president
[00:22:29.310 --> 00:22:35.590]  why can't he be reelected because I think people I think people are more
[00:22:35.590 --> 00:22:42.350]  people are on to him and his behavior than they were before he has a hard core
[00:22:42.350 --> 00:22:47.830]  of support that is likely to help him win the Republican nomination but in a
[00:22:47.830 --> 00:22:52.030]  general election against President Biden I do not believe he can win so you don't
[00:22:52.030 --> 00:22:56.510]  think he can win do you think he's a bigger threat to Biden than DeSantis
[00:22:56.510 --> 00:23:01.590]  it's hard to tell I mean DeSantis is unproven nobody really outside of
[00:23:01.590 --> 00:23:04.630]  Florida knows very much about him and in Florida they're watching him do crazy
[00:23:04.630 --> 00:23:08.990]  things so I actually believe that President Biden will be reelected
[00:23:08.990 --> 00:23:13.550]  regardless of who the Republican nominee is hey that's what they want people like
[00:23:13.550 --> 00:23:16.430]  Fetterman and Biden that don't know what planet they're on so the criminals can
[00:23:16.430 --> 00:23:22.710]  operate in the background and blame the puppet later useful idiots so total
[00:23:22.710 --> 00:23:26.550]  projection she says Trump's projecting his criminality on the Democrats but he's
[00:23:26.550 --> 00:23:30.190]  the one that's a criminal and we all know the laundry list of real crimes that
[00:23:30.190 --> 00:23:36.270]  these monsters have committed but remember it's Hillary Clinton and it
[00:23:36.270 --> 00:23:40.070]  came out a year after the election that told the networks give Trump all the
[00:23:40.070 --> 00:23:43.430]  attention make sure he wins the nomination we believe he's the easiest
[00:23:43.430 --> 00:23:49.010]  to beat so instead of admitting she was wrong she's trying to make that
[00:23:49.010 --> 00:23:54.510]  fraudulent reality come true again remember the cover of Newsweek madam
[00:23:54.510 --> 00:23:59.670]  president they printed up 280,000 of them and had them being delivered to
[00:23:59.670 --> 00:24:03.310]  store shelves that's why we were able to get copies of them they were on the
[00:24:03.310 --> 00:24:10.150]  store shelves in some jurisdictions the day before the election
