[00:00.000 --> 00:10.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[12:15.000 --> 12:22.000]  Hillary, during the Democrat debates that they're hiding during the weekend because she's so far ahead of her competitors.
[12:22.000 --> 12:27.000]  Hillary, who gets more money from Wall Street than any other candidate out there combined.
[12:27.000 --> 12:31.000]  Oh, yeah, you can combine all the Republican candidates, just look it up.
[12:31.000 --> 12:35.000]  And Hillary gets more Wall Street money than they do.
[12:35.000 --> 12:37.000]  And I don't mean Wall Street, your average firm.
[12:37.000 --> 12:49.000]  I mean, the big ones that run it, the big brokerage firms, the Goldman Sachs's that fund open borders, taking your guns, you know, the enemy, the foreign banks.
[12:49.000 --> 12:52.000]  And we're going to play this clip here in just a moment.
[12:52.000 --> 13:01.000]  She gets up there and she says, you know, ISIS is using Donald Trump videos to recruit.
[13:01.000 --> 13:03.000]  Well, I went and looked that up.
[13:03.000 --> 13:06.000]  Hey, that's not true.
[13:06.000 --> 13:08.000]  But it doesn't matter.
[13:08.000 --> 13:13.000]  ISIS was literally funded by the State Department and by NATO.
[13:13.000 --> 13:19.000]  And our own military from day one blew the whistle on it when it happened.
[13:19.000 --> 13:22.000]  And so from day one on this show first, I'm not bragging.
[13:22.000 --> 13:32.000]  I'm just telling you the fact we took the risk to give you the intel within a day of Benghazi happening, what it was an arms transfer that the ambassador wouldn't go along with.
[13:32.000 --> 13:44.000]  So they killed him to transfer four giant warehouses of tow missiles, anti tank missiles and then impad service to air missiles and other high impact weapons is what they're called.
[13:44.000 --> 13:49.000]  To the al-Nusra al-Qaeda rebels in Syria.
[13:49.000 --> 14:01.000]  And because our military and intelligence agencies continued to say no to that, they had to have the export group controlled by Hillary Clinton that we now have proven.
[14:01.000 --> 14:04.000]  I mean, you heard the CIA whistleblowers like Tosh Plumlee.
[14:04.000 --> 14:06.000]  He had to retire when he came on the show.
[14:06.000 --> 14:19.000]  You heard them all say that she's running through the State Department of Program with billions of dollars back to her foundation to send money out to all these different groups and the money just comes right back to her.
[14:19.000 --> 14:22.000]  They give them the weapons, they send her money back.
[14:22.000 --> 14:34.000]  But because the other agencies wouldn't go along with it, they had to kill the people at that base and kill the ambassador to cover it up.
[14:34.000 --> 14:41.000]  Did we even toot our horn years later when that all came out in the news just this year about her foundation and what she did?
[14:41.000 --> 14:49.000]  And see, the reason Hillary is up there now trying to become president is she has to be too big to fail.
[14:49.000 --> 15:00.000]  She has to commit crimes so huge, so out of control, so out in the open that no one dare bring her down because she's tied into so many other powerful people who she'll bring down.
[15:00.000 --> 15:10.000]  She is an arrogant, crazy woman who has committed every crime you can imagine in front of the planet, running around like an arrogant mad dog in front of everyone.
[15:10.000 --> 15:18.000]  On TV bragging about killing Gaddafi, who came into the West eight years before they did it, shut him up and then murdered him.
[15:18.000 --> 15:22.000]  Oh, that really makes our credibility go up around the world.
[15:22.000 --> 15:31.000]  We are now known as the bad guys, not the good guys, and we were never perfect, but compared to the Soviet Russians and other corrupt regimes, we were the good guys.
[15:31.000 --> 15:35.000]  Now these scum have destroyed our good name.
[15:35.000 --> 15:39.000]  And then they come out and she blames Donald Trump.
[15:39.000 --> 15:45.000]  I've never seen hypocrisy in history that pure, that ridiculous.
[15:45.000 --> 15:54.000]  She literally ran the creation of ISIS, the arming of them, and then she blames Donald Trump.
[15:54.000 --> 15:57.000]  That is amazing.
[15:57.000 --> 16:00.000]  When cells become toxic, they die early and aging sets in.
[16:00.000 --> 16:08.000]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[16:08.000 --> 16:14.000]  Just one of the key compounds, BiopQQ, is backed by major clinical studies.
[16:14.000 --> 16:17.000]  You want the best that's out there at the lowest price anywhere?
[16:17.000 --> 16:19.000]  We now have the synergistic solution.
[16:19.000 --> 16:45.000]  Secure your DNA force today at infowarslife.com or call toll-free 888-253-3139.
[16:49.000 --> 16:56.000]  In our limited first run at infowarslife.com, that's infowarslife.com or call 888-253-3139.
[17:19.000 --> 17:28.000]  All of my documentary films, scores of ebooks, and other exclusive documentaries are available for streaming or download in HD at prisonplanet.tv.
[17:28.000 --> 17:32.000]  You don't just get six months free when you sign up from Christmas through New Year's.
[17:32.000 --> 17:39.000]  You also get to share that membership with up to 20 people simultaneously using your username.
[17:39.000 --> 17:47.000]  You can also sign up for a trial month and only pay $5.95 and then 20 of you and your friends and family can watch prisonplanet.tv.
[17:47.000 --> 17:51.000]  Get 20 memberships at half price. Be the Paul Revere in your community.
[17:51.000 --> 18:18.000]  That's six months free when you sign up for a year at prisonplanet.tv.
[18:22.000 --> 18:30.000]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[18:30.000 --> 18:33.000]  We set out to bring you the very best at the lowest price.
[18:33.000 --> 18:38.000]  Find out more about the proprietary development of Silver Bullet at infowarslife.com.
[18:38.000 --> 18:43.000]  In these times, it's essential to have high quality, loyal silver on hand.
[18:43.000 --> 18:49.000]  No survival chest is complete without Silver Bullet, exclusively available at infowarslife.com.
[18:49.000 --> 18:57.000]  Secure your Silver Bullet today at infowarslife.com or by calling toll-free 888-253-3139.
[18:57.000 --> 19:02.000]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[19:02.000 --> 19:11.000]  Young Jevity integrates years of scientific research into creating fantastic products like beyond Tangy Tangerine, plant-derived minerals and much more.
[19:11.000 --> 19:15.000]  Young Jevity also offers you an ingenious way to augment your income.
[19:15.000 --> 19:19.000]  And the best part, you'll be helping your friends and family along the way.
[19:19.000 --> 19:21.000]  Visit infowarsteam.com today.
[19:21.000 --> 19:22.000]  Become a member.
[19:22.000 --> 19:26.000]  It discounts on the amazing products and free shipping when you sign up for auto-ship.
[19:26.000 --> 19:33.000]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[19:33.000 --> 19:34.000]  Another win-win.
[19:34.000 --> 19:38.000]  That's why I'm a member of the Young Jevity team at infowarsteam.com.
[19:38.000 --> 19:39.000]  And you can be too.
[19:39.000 --> 19:40.000]  It's simple.
[19:40.000 --> 19:42.000]  Just go to infowarsteam.com today.
[19:42.000 --> 19:45.000]  Complete a short sign-up and you're part of the team.
[19:45.000 --> 19:48.000]  That's infowarsteam.com or infowarshealth.com.
[19:48.000 --> 19:54.000]  So many people call into my radio show and tell me how Young Jevity and the products at infowarsteam.com have changed their lives.
[19:54.000 --> 19:56.000]  Check it out for yourself today.
[19:56.000 --> 20:09.000]  You're listening to the Alex Jones show.
[20:09.000 --> 20:27.000]  You are listening to an infowars.com frontline report.
[20:27.000 --> 20:33.000]  It is the 20th of December 2015. Thank you for joining us.
[20:33.000 --> 20:38.000]  I've talked a lot about the fact that the majority of globalists brainwashing propaganda.
[20:38.000 --> 20:43.000]  Anti-sovereignty, anti-family, anti-free market, anti-self-defense,
[20:43.000 --> 20:49.000]  tripe is packaged in entertainment.
[20:49.000 --> 20:55.000]  I've now talked to four or five people in the office of the Fiend Star Wars, The Force Awakens.
[20:55.000 --> 20:59.000]  I have read the online full spoilers myself.
[20:59.000 --> 21:04.000]  And so we don't just cover entertainment because we think it's fun or cutesy.
[21:04.000 --> 21:12.000]  We cover entertainment because then we can reach out to people that are only into entertainment and get them politically thinking for themselves.
[21:12.000 --> 21:21.000]  So Kit Daniels and Rob Dew are coming in the second hour today to discuss The Force Awakens.
[21:21.000 --> 21:26.000]  And yes, the spoilers are out there and spoiler alert.
[21:26.000 --> 21:36.000]  I should have spoiled this movie earlier when the Philadelphia police threatened to arrest people that walked out of the movie theater and told people what the movie was about.
[21:36.000 --> 21:40.000]  You have free speech rights to do that.
[21:40.000 --> 21:50.000]  This is what SOPA and SISPA and all these new global initiatives will do that our Congress has been trying to pass is where you can't even say the word Disney unless you pay them.
[21:50.000 --> 21:57.000]  I can say Disney all day long. It's my free speech. Disney is one of the biggest funders of anti-gun movements.
[21:57.000 --> 22:03.000]  So I generally boycott Disney and they now own Star Wars.
[22:03.000 --> 22:12.000]  But it's a pretty safe bet any of these big shows or any of these big productions are owned by one of the big five media companies and they're all anti-gun.
[22:12.000 --> 22:18.000]  Because they want to disarm the slaves. They want disarmed populations. They've done it everywhere else in the world.
[22:18.000 --> 22:21.000]  And then they sit there and look at us and go, nobody wants your guns.
[22:21.000 --> 22:27.000]  Well, now the Democrats are pretty honest about it and coming up gun controlled executive orders expected within weeks.
[22:27.000 --> 22:30.000]  Brace yourselves.
[22:30.000 --> 22:33.000]  This is an article out of the Smithsonian.
[22:33.000 --> 22:44.000]  That is the National Science Museum and Research System of the federal government, the oldest scientific continually funded organization in the federal government.
[22:44.000 --> 22:52.000]  Oh, and they're saying what we said 20 years ago. And I don't say that constantly to be neurotic and say how smart we are.
[22:52.000 --> 23:01.000]  It's just to verify, you know, like if you've got a scope on a gun and it's shooting bulls-eye at 200 yards, this scope is accurate.
[23:01.000 --> 23:08.000]  Or the scope is five feet off. You better fix it. You better reset it. You better set it in.
[23:08.000 --> 23:17.000]  We're really dead on and it's scary how dead on we are.
[23:17.000 --> 23:25.000]  There it is. The Smithsonian airplane contrails may be creating artificial geo-engineering.
[23:25.000 --> 23:32.000]  Disappating haze from plane exhaust. See now, now they're not saying ice crystals. We always said it's the exhaust.
[23:32.000 --> 23:38.000]  Tango alters how sunlight reaches the earth and may be unintentionally affecting our climate.
[23:38.000 --> 23:52.000]  No, I have the federal government's patents and in 1992 there was a science prize won a Nobel laureate with a plan to add three compounds to jet fuel.
[23:52.000 --> 24:02.000]  It's a car scene, basically, and have it aerosolized through the jet engine to create the nuclei particulate to darken the earth.
[24:02.000 --> 24:13.000]  And since 1993, when it went global in a secret Department of Energy program, the earth has gone from 8% darker, 15% darker, 2025.
[24:13.000 --> 24:23.000]  And NASA's scan is the earth is 31% darker. We are being terraformed. The details are secret.
[24:23.000 --> 24:31.000]  I don't know what they're doing. All I know is we've made films, we've documented it, we've had meteorologists on.
[24:31.000 --> 24:42.000]  There is planetary geo-engineering going on. Or is it terraforming? There's a riddle in that.
[24:42.000 --> 24:47.000]  If only aliens would want to do something like that to our planet, then it would be terraforming of aliens.
[24:47.000 --> 24:50.000]  And I'm not saying aliens are running this. I don't get into aliens.
[24:50.000 --> 24:55.000]  But so much of what our elite act like and what they do is like they're against the human species.
[24:55.000 --> 24:58.000]  But psychopaths always hate other humans, so they are kind of their own species.
[24:58.000 --> 25:07.000]  A lot of scientists believe their brain structure and other things and some of their DNA is that psychos, maybe one out of a thousand, they are a different species.
[25:07.000 --> 25:15.000]  It's not really an invasion. Anyway, slice it. I said I'd cover that later. See, I just kind of jumped into it right now.
[25:15.000 --> 25:22.000]  This is big, though, because they always go, it's ice crystals, man, it's always happened.
[25:22.000 --> 25:26.000]  Oh, it's 5,000 feet on hot days? No, it doesn't always just happen.
[25:26.000 --> 25:29.000]  And I kept wondering, how is it in all the major planes?
[25:29.000 --> 25:33.000]  But then foreign planes will come in sometimes from other countries right at the same level.
[25:33.000 --> 25:38.000]  You'll see them at 35,000 feet and they're not shooting out trails.
[25:38.000 --> 25:41.000]  See, a real ice crystal trail goes away in about a minute.
[25:41.000 --> 25:50.000]  When they've got fuel mixed with this stuff, it stays up there for 20, 30 minutes, sometimes an hour, and then dissipates and then gets wider hazes.
[25:50.000 --> 25:59.000]  You can see rainbow colors in it. And we know it's in there, aluminum dioxide, barium salts, radioactive isotopes.
[25:59.000 --> 26:08.000]  And then now they've got national textbooks. I've shown people here on air and we've gone over it for seventh graders saying,
[26:08.000 --> 26:15.000]  there is a Department of Energy program adding chemicals to jet fuel to put sunscreen up to stop global warming.
[26:15.000 --> 26:21.000]  So see, they're already teaching kids in public school nationwide.
[26:21.000 --> 26:28.000]  Not every district, but it's all over the country, that this is going on for at least a decade. It's really been going on since the early 90s.
[26:28.000 --> 26:34.000]  But then to adults, they go there, so that's not happening. No one wants your guns.
[26:34.000 --> 26:44.000]  Obamacare's free. Raising the debt limit doesn't raise the debt silly.
[26:44.000 --> 26:48.000]  And they play these games with us all day long.
[26:48.000 --> 26:59.000]  And all I know is there are hundreds of patents, many of them by the Department of Defense on weather modification, on how to add the chemicals, how to put it in with the jet fuel.
[26:59.000 --> 27:07.000]  And they've got Department of EPA waivers of the Department of Energy for the high altitude aerosol testing campaign.
[27:07.000 --> 27:16.000]  And so here's a little secret. They call all this testing because you can't do human experimentation or environmental experimentation
[27:16.000 --> 27:20.000]  under the UN 1978 Weather Weapons Treaty. There's even a treaty.
[27:20.000 --> 27:25.000]  Let's look up Weather Weapons Treaty and pull it up to the UN's website.
[27:25.000 --> 27:32.000]  You can't do it for war purposes, but you can do it for educational or research purposes.
[27:32.000 --> 27:33.000]  Purposes.
[27:33.000 --> 27:39.000]  U.S. Code, Title 50, Chapter 32, Subsection 1528, Paragraph B.
[27:39.000 --> 27:45.000]  And people read that, they go, this bans in the U.S. Code, secret experimentation.
[27:45.000 --> 27:51.000]  Yes, except for experimentation, research or law enforcement.
[27:51.000 --> 27:56.000]  Experimentation for research or law enforcement.
[27:56.000 --> 28:02.000]  There's the Environmental Modification Convention, 1977, but it was ratified October 5, 1978.
[28:02.000 --> 28:04.000]  See, pretty good memory.
[28:04.000 --> 28:12.000]  And added in in 2010 of the Biological Diversity Treaty.
[28:12.000 --> 28:18.000]  And I've had the father of Weather Weapons on. He was in World War II flying into hurricanes
[28:18.000 --> 28:21.000]  in the Atlantic. He was in the Pacific. They were typhoons.
[28:21.000 --> 28:27.000]  He'd fly into 200-mile-an-hour storms in propeller planes.
[28:27.000 --> 28:29.000]  Been living soon, man. That guy's amazing.
[28:29.000 --> 28:33.000]  He flew thousands of missions over four or five years.
[28:33.000 --> 28:37.000]  He was in Vietnam leading squadrons. He was already an old man.
[28:37.000 --> 28:42.000]  I know he was like 90-something, but Vietnam was already old. Leading squadrons in to flood
[28:42.000 --> 28:45.000]  the Ho Chi Minh Trail up to 10 feet of water.
[28:45.000 --> 28:51.000]  He could take a clear sky with a couple dozen planes in an hour, turning it into just total rain.
[28:51.000 --> 28:56.000]  We'll be back with Hillary. Stay with us.
[28:56.000 --> 28:59.000]  Hillary Clinton wants to censor people who make fun of her.
[28:59.000 --> 29:02.000]  She was recently trying to censor comedy skits that poked fun at her,
[29:02.000 --> 29:05.000]  which were produced by the Laugh Factory in Los Angeles, California.
[29:05.000 --> 29:10.000]  The owner of the Laugh Factory, Jamie Masada, told Judicial Watch that her campaign threatened
[29:10.000 --> 29:12.000]  to put him out of business if he didn't pull the videos.
[29:12.000 --> 29:17.000]  So in response to this attack on free speech, InfoWars.com has launched the Make Fun of Hillary
[29:17.000 --> 29:21.000]  Defend the First Amendment contest with a first-place cash prize of $5,000.
[29:21.000 --> 29:26.000]  We want the funniest, most outrageous satire and comedy videos guaranteed to make Hillary's blood boil.
[29:26.000 --> 29:30.000]  To enter, read the contest rules at infowars.com forward slash contest
[29:30.000 --> 29:33.000]  and then shoot a comedy or satire video making fun of Hillary Clinton.
[29:33.000 --> 29:39.000]  All entries must be uploaded to YouTube in a linked email to hillarycontest.infowars.com.
[29:39.000 --> 29:46.000]  Enter your video before the contest deadline at 11.59 p.m. Pacific Standard Time on Tuesday, December 22, 2015.
[29:46.000 --> 29:51.000]  Once again, the contest rules and information can be found at infowars.com forward slash contest.
[29:51.000 --> 30:06.000]  This is Kit Daniels with infowars.com. We look forward to your video making fun of Hillary Clinton.
[30:21.000 --> 30:27.000]  You will find the InfoWars Life Essentials Pack with X2 Super Mail and Silver Bullet Colloidal Silver
[30:27.000 --> 30:33.000]  for 33% off on top of free shipping. You'll also find other specials like the Deep Cleanse Pack
[30:33.000 --> 30:38.000]  with Deep Cleanse Oxy Powder and Living Defense for 28% off and again free shipping.
[30:38.000 --> 30:44.000]  Visit infowarslife.com today. Read the five-star reviews. See the informational videos.
[30:44.000 --> 30:50.000]  Add your friends and family members' addresses on checkout and we'll ship their gifts free directly to them.
[30:50.000 --> 30:58.000]  They're all available with free shipping and massive discounts this Christmas season. InfoWarsLife.com.
[30:58.000 --> 31:03.000]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[31:03.000 --> 31:08.000]  Young Jevity integrates years of scientific research into creating fantastic products
[31:08.000 --> 31:12.000]  like Beyond Tangy Tangerine, plant derived minerals and much more.
[31:12.000 --> 31:16.000]  Young Jevity also offers you an ingenious way to augment your income
[31:16.000 --> 31:22.000]  and as part you'll be helping your friends and family along the way. Visit infowarsteam.com today.
[31:22.000 --> 31:27.000]  Become a member. Get discounts on the amazing products and free shipping when you sign up for auto-ship
[31:27.000 --> 31:31.000]  and you're able to promote the products to friends and family and neighbors in your community
[31:31.000 --> 31:35.000]  and make money while helping people at the same time. Another win-win.
[31:35.000 --> 31:40.000]  That's why I'm a member of the Young Jevity team at infowarsteam.com and you can be too.
[31:40.000 --> 31:45.000]  It's simple. Just go to infowarsteam.com today. Complete a short sign up and you're part of the team.
[31:45.000 --> 31:48.000]  That's infowarsteam.com or infowarshealth.com.
[31:48.000 --> 31:53.000]  So many people call into my radio show and tell me how Young Jevity and the products at infowarsteam.com
[31:53.000 --> 31:57.000]  have changed their lives. Check it out for yourself today.
[31:57.000 --> 32:01.000]  When cells become toxic they die early and aging sets in.
[32:01.000 --> 32:06.000]  No one has put together a formula that focuses directly on brain health, nerve growth factors
[32:06.000 --> 32:09.000]  and optimizing your cellular energy at the same time.
[32:09.000 --> 32:15.000]  Just one of the key compounds, myOPQQ, is backed by major clinical studies.
[32:15.000 --> 32:17.000]  You want the best that's out there at the lowest price anywhere?
[32:17.000 --> 32:19.000]  We now have the synergistic solution.
[32:19.000 --> 32:40.000]  Secure your DNA force today at infowarsteam.com or call toll-free 888-253-3139.
[32:49.000 --> 32:54.000]  You'll find a brain force and other game-changing products at infowarsteam.com
[32:54.000 --> 33:01.000]  or call 888-253-3139.
[33:01.000 --> 33:11.000]  You're listening to the Alex Jones show.
[33:11.000 --> 33:16.000]  You have the power. Humanity has the power. We have the power.
[33:16.000 --> 33:21.000]  You're going to fight. You better believe you got one.
[33:21.000 --> 33:26.000]  Rallying Patriots worldwide in defense of human liberty.
[33:26.000 --> 33:30.000]  It's Alex Jones.
[33:30.000 --> 33:32.000]  Alright, let me jump right into the news.
[33:32.000 --> 33:37.000]  I've already spent a couple of segments just getting into the general program of the globalists
[33:37.000 --> 33:42.000]  and why they want us to be weak so they can rule over us.
[33:42.000 --> 33:48.000]  And in the process make themselves weak. Extremely dishonorable people.
[33:48.000 --> 33:51.000]  Then we're going to get into the attack on the Second Amendment.
[33:51.000 --> 33:54.000]  The type of stuff they're passing quietly is the year draws to an end.
[33:54.000 --> 34:00.000]  The IRS has been rewarded with massive expansion, huge bonuses for their public persecution
[34:00.000 --> 34:04.000]  of Christians, conservatives, veterans groups, pro-second amendment groups,
[34:04.000 --> 34:13.000]  auditing everything from Patriot t-shirt companies to auditing and arresting and harassing pastors
[34:13.000 --> 34:20.000]  and denying all conservative 501c3 tax exemptions the last few years except one.
[34:20.000 --> 34:23.000]  They gave out tens of thousands to liberals but only one to conservatives.
[34:23.000 --> 34:26.000]  Just total discrimination, total evil.
[34:26.000 --> 34:30.000]  And MSNBC, actually I've seen them twice. I don't hardly watch them.
[34:30.000 --> 34:36.000]  So of course we're denying the Tea Party tax exemption. Of course we're going after veterans groups.
[34:36.000 --> 34:40.000]  You people are racist. They just say that.
[34:40.000 --> 34:45.000]  It's like saying you Jews are up to no good. We're going to arrest you in Nazi Germany.
[34:45.000 --> 34:50.000]  You just say you don't have rights because you as a group are bad.
