[00:00.000 --> 00:05.000]  You're listening to the Alex Jones show.
[08:26.000 --> 08:34.000]  A man who had been fired from his job about a year or so began shooting near the Empire State Building but out on the street.
[08:34.000 --> 08:43.000]  He killed one person and at least nine other people were shot and some may have been shot accidentally by police officers.
[08:43.000 --> 08:49.000]  Because frankly in my hometown of Chicago there's an awful lot of violence and they're not using AK-47s, they're using cheap handguns.
[08:49.000 --> 08:51.000]  And so what can we do to intervene?
[08:51.000 --> 09:01.000]  When he turned the door handle I shot toward him with the handgun and it hit him right here in the arm.
[09:01.000 --> 09:05.000]  After she shot John's in the shoulder he ran out of the bathroom and threw this door.
[09:05.000 --> 09:14.000]  A comprehensive strategy, part of it is seeing if we can get automatic weapons that kill folks in amazing numbers.
[09:14.000 --> 09:21.000]  In the assassination attempt on President Ronald Reagan, an agent pulled an Uzi submachine gun out of a briefcase.
[09:21.000 --> 09:27.000]  We joke sometimes about how the police are getting to the age now and the boys start calling.
[09:27.000 --> 09:35.000]  I always talk about how one of the main incentives for running again was continuing secret service protections.
[09:35.000 --> 09:37.000]  With guns around at all times.
[09:37.000 --> 09:45.000]  We're 30 minutes from law enforcement, we had no way to protect ourselves and there was anybody around to take care of us.
[09:45.000 --> 09:47.000]  We were our first responders.
[09:47.000 --> 09:53.000]  I came up with a plan and the plan has been on the news a lot, it's pretty self-explanatory.
[09:53.000 --> 09:56.000]  They have to have a CHL, we approve them.
[09:56.000 --> 10:02.000]  I guarantee you, Barack Obama ain't taking my shotguns, so don't buy that malarkey.
[10:02.000 --> 10:06.000]  Don't buy that malarkey, they're going to start peddling that to you.
[10:06.000 --> 10:10.000]  I got two, he tries to fool my Beretta, he's got a problem.
[10:10.000 --> 10:13.000]  I like that a little over and under, you know, I'm not bad with it.
[10:13.000 --> 10:22.000]  The latest limousine, known as the Beast, thanks to 8-inch thick armor plating, Remington shotguns are close at hand.
[10:22.000 --> 10:33.000]  I'm the guy that originally wrote the assault weapons ban that became law and then we got defeated, then Barbara, excuse me, then Dianne Feinstein went to town on it and did a great job.
[10:33.000 --> 10:38.000]  I know the urge to arm yourself because that's what I did.
[10:38.000 --> 10:46.000]  I was trained in firearms, I'd walk to the hospital when my husband was sick, I carried a concealed weapon.
[10:46.000 --> 10:53.000]  I made the determination that if somebody was going to try to take me out, I was going to take them with me.
[10:53.000 --> 11:02.000]  California Senator Dianne Feinstein worked for more than a year to get the assault weapons bill passed in the face of ferocious opposition from the National Rifle Association.
[11:02.000 --> 11:19.000]  She says she got the best she could. If I could have gotten 51 votes in the Senate of the United States for an outright ban, picking up every one of them, Mr. and Mrs. America, turn them all in, I would have done it.
[11:19.000 --> 11:25.000]  One thing that I think is clear with young people and with adults as well is that we just have to be repetitive about this.
[11:25.000 --> 11:37.000]  It's not enough to simply have a catchy ad on a Monday and then only do it every Monday. We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[11:37.000 --> 11:48.000]  The Justice Department is basically guilty of allowing weapons to kill Americans and Mexicans. So will you agree to cooperate that investigation both on the House and Senate side?
[11:48.000 --> 11:53.000]  We'll certainly cooperate with all the investigations, but I'm going to take great exception to what you just said.
[11:53.000 --> 12:02.000]  The notion that somehow or other this Justice Department is responsible for those deaths that you mentioned, that assertion is offensive.
[12:02.000 --> 12:27.000]  And I want to tell you that it is the policy of justice.
[12:27.000 --> 12:43.000]  Ladies and gentlemen, it's August 1, 2017.
[12:43.000 --> 12:48.000]  Roger Stone has a headline on Infowars.com, an article by Paul Joseph Watson.
[12:48.000 --> 12:57.000]  Seth Rich was partying with Imran Awan on the night of his murder.
[12:57.000 --> 13:03.000]  Trump Confidant claims link between DNC staffer death and disgraced Washington Schultz aid.
[13:03.000 --> 13:15.000]  Now remember it was Roger Stone last Tuesday that broke the fact that Priebus was definitely out by the end of the week and that General Kelly was in the front running to be that chief of staff.
[13:15.000 --> 13:26.000]  I also talked to Stone on and off air last week and he said, I don't think Scarimucci is going to survive these tirades with these reporters.
[13:26.000 --> 13:34.000]  And of course, now we know that he was baited by fake emails spoofing reporters' emails to manipulate him into that.
[13:34.000 --> 13:37.000]  Folks have to understand the dirty tricks we're dealing with.
[13:37.000 --> 13:55.000]  Certainly, so the top story on CNN right now, the black detective from New York who was originally hired by the family and who I did see on Fox News talk about some of the suspicions he had,
[13:55.000 --> 14:08.000]  was now saying that was edited deceptively and he sued News Corp, Fox News, lawsuit claims Fox News and Trump supporter created fake story about killing of DNC staffer Seth Rich.
[14:08.000 --> 14:18.000]  You know what's funny is we're going to go back to the clips of him where it looks like he's pretty clear about what he's saying.
[14:18.000 --> 14:28.000]  But regardless, now he's claiming that it's tied to some Republican donor and to Trump and the rest of this and a lot of people are changing their stories.
[14:28.000 --> 14:39.000]  But you're not even supposed to question a guy shot multiple times in the back and it's the most hateful thing you can do according to CNN, MSNBC, the Democratic Party,
[14:39.000 --> 14:48.000]  it's Debbie Washington Schultz on video threatening the Capitol Police that if they keep investigating, you're not going to like what happens.
[14:48.000 --> 14:51.000]  That clip's coming up here in just a moment.
[14:51.000 --> 14:55.000]  We've got Roger Stone in the line, via Skype.
[14:55.000 --> 15:05.000]  But I don't know what happened with Seth Rich, but I know it deserves to be investigated and that's not an evil thing, that's not a bad thing.
[15:05.000 --> 15:14.000]  And you've got the whole Democratic Party not letting Homeland Security in over two year period into their computers.
[15:14.000 --> 15:25.000]  And you've got all these foreign nationals involved with the highest level security clearances and who also don't have security clearances interfacing.
[15:25.000 --> 15:28.000]  Something's going on here.
[15:28.000 --> 15:36.000]  And I saw the family at first in the news saying our son was shot. This needs to be investigated.
[15:36.000 --> 15:39.000]  I saw them on television. I read their quotes.
[15:39.000 --> 15:52.000]  And then a week or so later, the Democratic Party top crisis manager, Bill himself was the top guy, is in there managing it saying it's insane to question anything,
[15:52.000 --> 16:00.000]  it's going to go along and national television going, some young kid gets shot and it's a big national news story, move along.
[16:00.000 --> 16:06.000]  But then WikiLeaks said, we don't give away our sources, but yes, we're basically saying Seth Rich was our source.
[16:06.000 --> 16:16.000]  So it's highly suspicious, but this is how they change the subject off of the WikiLeaks, off of the DNC emails, off of what's in them.
[16:16.000 --> 16:29.000]  They're not denying those are real emails about rigging debates, rigging polls, intimidating people, sending people to Trump rallies to get women beat up to blame Trump on and on and on.
[16:29.000 --> 16:34.000]  They just keep changing the subject where you hate the family of Seth Rich.
[16:34.000 --> 16:38.000]  If you even talk about it, I have nothing against the family of Seth Rich.
[16:38.000 --> 16:49.000]  But if we're questioning the Democratic Party, a bunch of known liars, that is the default position and they act like something is rotten in the state of Denmark.
[16:49.000 --> 17:00.000]  Let's play the Debbie Washington Schultz clip I've heard just a month ago threatening the DC police concerning these brothers, these Pakistani brothers with the highest level clearances
[17:00.000 --> 17:09.000]  by the Democrats when the feds couldn't even get into their computers, getting paid three times they were supposed to, and then all these laptops and things disappearing.
[17:09.000 --> 17:20.000]  And then the DNC threatening the DC police, give us these laptops or you're really going to regret what happens here at us.
[17:20.000 --> 17:29.000]  Under my understanding, the Capitol Police is not able to confiscate members' equipment when the member is not under investigation.
[17:29.000 --> 17:33.000]  It is their equipment and it's supposed to be returned.
[17:33.000 --> 17:46.000]  I think there's extenuating circumstances in this case and I think that working through my counsel and the necessary personnel, if that in fact is the case
[17:46.000 --> 17:51.000]  and with the permission of, through the investigation, we'll return the equipment.
[17:51.000 --> 17:55.000]  But until that's accomplished, I can't return the equipment.
[17:55.000 --> 18:03.000]  I think you're violating the rules when you conduct your business that way and should expect that there will be consequences.
[18:03.000 --> 18:13.000]  And that's the lady over his paycheck who in her position controls the Democratic Party who controls DC.
[18:13.000 --> 18:17.000]  Directly saying you better basically stop these investigations.
[18:17.000 --> 18:25.000]  Now let's go ahead and go to a clip of Colonel Schaefer talking about these brothers last week on Fox News. Here it is.
[18:25.000 --> 18:31.000]  So that's why the Capitol Police rolled in saying there's something wrong here and now the FBI has rolled in.
[18:31.000 --> 18:35.000]  And let me give you the big takeaway here.
[18:35.000 --> 18:41.000]  It looks like a foreign intelligence service may be the recipient of all this and something called the Muslim Brotherhood.
[18:41.000 --> 18:47.000]  Oh, they're going to really say it's a conspiracy theory now.
[18:47.000 --> 18:52.000]  But that's where apparently all this has been going in law enforcement. That's why the FBI is now investigating beyond the...
[18:52.000 --> 18:57.000]  Well, these brothers have been kicking around Capitol Hill in various capacities for IT.
[18:57.000 --> 19:02.000]  But they essentially were blacklisted by most of the other Democrats, correct?
[19:02.000 --> 19:06.000]  She gave them a home. Very interesting.
[19:06.000 --> 19:11.000]  And they actually suspended most of their access in February of this year and she kept them on anyway.
[19:11.000 --> 19:14.000]  She's just a very nice person. Apparently it's a jobs program.
[19:14.000 --> 19:18.000]  I guess that $300,000 being kicked over to Pakistan finally was a straw that broke the candles back.
[19:18.000 --> 19:21.000]  But his wife is gone. She's safely over there in Pakistan.
[19:21.000 --> 19:22.000]  And he was clean.
[19:22.000 --> 19:26.000]  Keep covering it for us. Lieutenant Colonel Schaefer, thank you so much.
[19:26.000 --> 19:40.000]  Joining us from Los Angeles, California is Roger Stone via Skype to break this down. His new story that he's quoted in at infowars.com from his DC sources that we are investigating.
[19:40.000 --> 19:46.000]  Reportedly has Seth Rich at the Democrat Party with these same individuals the night he dies.
[19:46.000 --> 19:51.000]  And all we're saying is one of these brothers is caught trying to flee the country at the airport.
[19:51.000 --> 19:58.000]  All this swirling around it. The feds wanted to investigate what was happening inside of the DNC computers.
[19:58.000 --> 20:05.000]  They wouldn't let them more than 20 times. This deserves to be investigated. Roger Stone.
[20:05.000 --> 20:10.000]  Alex, great to be with you and welcome back.
[20:10.000 --> 20:20.000]  It's really extraordinary because not only does Deborah Wasserman Schultz, who happens to be my congresswoman, the district that I live in in Florida,
[20:20.000 --> 20:26.000]  threatened the Capitol Hill police chief over the seizure of evidence from her office.
[20:26.000 --> 20:31.000]  But after she is well aware that the investigation has been launched,
[20:31.000 --> 20:47.000]  she changes the classification of the Awan brothers from consultant to a House of Representative employees to ensure that they continue to have access to the House of Representatives computer system.
[20:47.000 --> 20:55.000]  This seems to me to be a crime. This is part of an ongoing conspiracy.
[20:55.000 --> 21:04.000]  And now she's a co-conspirator. And I think this is while being ignored by the mainstream media as very best they can.
[21:04.000 --> 21:11.000]  Not making the front page of the New York Times or the Washington Post or the Fort Lauderdale Sun Sentinel.
[21:11.000 --> 21:20.000]  This is a coverup of extraordinary magnitude. And as it relates to the Seth Rich murder, I agree with you.
[21:20.000 --> 21:29.000]  Mr. Rich headed a division of the Democratic National Committee from which documents were clearly stolen.
[21:29.000 --> 21:37.000]  We now know from William Binney and Ray McGovern and others in an extraordinary piece published last week
[21:37.000 --> 21:46.000]  that the evidence shows that the documents were never hacked but were downloaded to thumb drives and removed from the DNC.
[21:46.000 --> 21:54.000]  So the entire question of hacking of the DNC by the Russians, that's false.
[21:54.000 --> 22:08.000]  Guccifer 2.0, that now appears to be false, is falling apart and the Democrats are desperate to distract from the connection between the Awan brothers
[22:08.000 --> 22:17.000]  and the now more than 30 members of Congress that gave access to their computer systems
[22:17.000 --> 22:24.000]  to these two Pakistanis who, by the way, Alex, seem to have skin IT experience.
[22:24.000 --> 22:34.000]  Raising the question of maybe this perhaps was a Pakistani or governmental operation and the Awans were just fronting.
[22:34.000 --> 22:39.000]  Key point, no member of Congress will step forward and testify against the brothers.
[22:39.000 --> 22:44.000]  None of them will go public, including Deborah Wasserman-Chilts.
[22:44.000 --> 22:51.000]  Is this a blackmail operation or are we not criticizing because it's politically incorrect?
[22:51.000 --> 22:53.000]  Let's expand on that.
[22:53.000 --> 23:01.000]  If you go back to 9-11, it was in major newspapers at the time that the FBI said it as if Al Qaeda had people at the top of the FBI.
[23:01.000 --> 23:08.000]  Well, we know with people like the man heading up the witch hunt right now, Mueller,
[23:08.000 --> 23:15.000]  he has major contacts with the Democratic Party, his law firm gives 99.8% of their money to the Democrats,
[23:15.000 --> 23:20.000]  they get massive money from the Saudis, the Pakistanis, he's the guy that had the FBI in his tenure-tenure,
[23:20.000 --> 23:29.000]  take radical Islam off of the list of terror groups when they are responsible for 99% of terror.
[23:29.000 --> 23:32.000]  And then we ask, why is the Muslim Brotherhood being back to the Arab Spring?
[23:32.000 --> 23:34.000]  Why is Al Qaeda and ISIS being back?
[23:34.000 --> 23:42.000]  Why? Why is Hillary staying in the same bed as Uma Abedim and her Islamic family?
[23:42.000 --> 23:50.000]  Why is an Islamic woman leading the feminist movement now in the country teaching women to wear burqas?
[23:50.000 --> 23:54.000]  Why is USA Today saying wear burqas if you're a feminist?
[23:54.000 --> 23:57.000]  Why is it everywhere? Why is everything Islamified?
[23:57.000 --> 24:02.000]  Why when I tune into Trevor Noah or John Oliver, anybody that's attacking me,
[24:02.000 --> 24:11.000]  they say, Jones is scum. He claims Muslims are involved in crime and that Muslims are unvetted and that some Muslims have diseases.
[24:11.000 --> 24:17.000]  When it's a fact that they're pouring in with TB, it's a fact they're pouring in with crime.
[24:17.000 --> 24:25.000]  Just look at Europe. This is the untouchable God group and it looks like they just infiltrated our wide-open government.
[24:25.000 --> 24:32.000]  I mean, the owner of Shabbani Yogurt. He's on the New York Federal Reserve Board that runs our country.
[24:32.000 --> 24:40.000]  It's more powerful than President Trump. It's check-making Trump with all of these interest rate hikes battling him.
[24:40.000 --> 24:47.000]  This is just absolutely incredible how infiltrated we really are and how it just gets worse and worse.
[24:47.000 --> 24:53.000]  And now school lunches, not just here but in Europe, are saying no pork served in the schools because of the Muslims.
[24:53.000 --> 24:56.000]  I mean, they are God.
[24:56.000 --> 25:03.000]  Well, Alex, they're attacking you because you've been very effective about raising this issue in the consciousness of the American people.
[25:03.000 --> 25:12.000]  I know they want to cut infowars.com off. I know they want to limit our reach to the American people, but they're not going to be successful.
[25:12.000 --> 25:19.000]  And they're attacking you relentlessly because you have raised the profile of this very important issue.
[25:19.000 --> 25:27.000]  I want to address also the question of Anthony Scaramucci, which you raised in the opening here because I think it's most important.
[25:27.000 --> 25:31.000]  It turns out that Scaramucci is a political suicide bomber.
[25:31.000 --> 25:46.000]  Yes, he may have blown himself up, but he took out two rhino whizzling moles in the Trump White House, those being Reince Priebus and Sean Spicer.
[25:46.000 --> 26:03.000]  I have now determined, absolutely positive, that Rod Rosenstein, the number two man at the Justice Park, the man who, on his own volition, decided to appoint the Lord High Executioner, Robert Mueller,
[26:03.000 --> 26:18.000]  as a special counsel to investigate a matter in which there is no evidence of crime, the Russian collusion, delusion, that Mr. Priebus is the one who directed the hiring of Mr. Rosenstein.
[26:18.000 --> 26:28.000]  And he did so on the recommendation of Congressman Elijah Cummings, Democrat of Baltimore.
[26:28.000 --> 26:42.000]  He has saddled the president with an ass in the bosom with an assassin who will cook up any kind of phony allegation against our president in an attempt to remove it.
[26:42.000 --> 26:53.000]  And now we know why Cummings is always running around slobbering and drooling over Rosenstein and why he's been on the news saying who he would accept as a new FBI director and who he wouldn't,
[26:53.000 --> 27:05.000]  because he's been burrowed into this whole thing when he's one of the most politically discredited, corrupt, partisan manipulators out there.
[27:05.000 --> 27:27.000]  And if you will look carefully at Mr. Cummings' filings with the Federal Election Commission from his reelection campaign, you will see that he's violating the law essentially living off of his campaign committee and being reimbursed ansomely for travel expenses in a completely illegal and improper way.
[27:27.000 --> 27:29.000]  Let me put it another way.
[27:29.000 --> 27:35.000]  If Mr. Cummings were a Hispanic Republican, he would be in jail right now.
[27:35.000 --> 27:50.000]  We've seen the same thing with Maxine Water, where she pressures the government to bail out a bank without disclosing that she and her husband own shares of that bank, that her husband is on the board of directors of the bank.
[27:50.000 --> 27:55.000]  Again, if she were a Hispanic Republican, she would be in prison right now.
[27:55.000 --> 28:02.000]  And let's talk about Wasserman Schultz, though. White women also seem to have this like Hillary, this invincibility card, because they can play the gender.
[28:02.000 --> 28:14.000]  I mean, look at Wasserman Schultz and how she's involved with the DNC, controlling the District of Columbia, and threatening the police with their funding if they keep investigating the computers and don't hand stuff over.
[28:14.000 --> 28:23.000]  I mean, this group of people is lawless, and Maxine Waters, according to the FBI and others, is the most corrupt member of Congress who's never been prosecuted.
[28:23.000 --> 28:34.000]  Fortunately, Owen Scheuer was the first to identify the candidacy of Omar Navarro, a hard-charging young reformer, who is going to make history in that district.
[28:34.000 --> 28:39.000]  I was with Omar last night. I went there voluntarily to help in a fundraiser.
[28:39.000 --> 28:48.000]  We raised about $25,000, which is small potatoes compared to what Maxine Waters has, but there's a sea change coming.
[28:48.000 --> 28:55.000]  Watch this campaign and this district very, very carefully, Alex. Final point, and this needs to be made.
[28:55.000 --> 29:08.000]  My sources at Fox and my sources in the White House tell me that the lawsuit filed by the black private investigator, former DC police officer, is completely and totally bogus.
[29:08.000 --> 29:14.000]  This man's changed his tune so many times, it's hard to keep up with the truth.
[29:14.000 --> 29:20.000]  He is the one who said that the DC police destroyed the computer or lost the computer of Seth Rich.
[29:20.000 --> 29:29.000]  He is the one who said there was a cover-up. Now he's saying he never said those things. I expect this lawsuit to be dismissed summarily.
[29:29.000 --> 29:37.000]  Well, certainly it looks like perfect PR for the Democrats right now, whoever's behind this, the kind of smoke screen.
[29:37.000 --> 29:43.000]  The larger issue is more comes out about the murder shot in the back of Seth Rich that we're not going to shut up about.
[29:43.000 --> 29:51.000]  Thanks, Roger Stone. Roger's now officially with InfoWars. InfoWars.com is the most hated news site by global tyrants in the world.
[29:51.000 --> 30:14.000]  Keep spreading it. They hate it.
[30:21.000 --> 30:28.000]  Those are the words of John Adams, the second president of the United States. Are you ignorant of the private Federal Reserve?
[30:28.000 --> 30:37.000]  Do you understand the nature of our fiat currency? Do you understand how a private corporation has the ability to create boom and bust cycles and to profit from it?
[30:37.000 --> 30:46.000]  What kind of leverage do these people and the Federal Reserve have over the American people? Or for that matter, what kind of leverage do the Saudis have over our money?
[30:46.000 --> 30:54.000]  Will you be a slave or will you be free? Adams also said liberty cannot be preserved without general knowledge among the people.
[30:54.000 --> 31:00.000]  Join the InfoWars. Spread the information. Educate yourself and others. The truth shall set you free.
[31:00.000 --> 31:27.000]  InfoWars.com, I'm David Knight.
[31:30.000 --> 31:35.000]  I'm David Knight of the Patriot Blend, 100% organic coffee at InfoWarsLife.com.
[31:35.000 --> 31:42.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[31:42.000 --> 31:49.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[31:49.000 --> 31:57.000]  Dropped by the site today, order a bag or two and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend.
[31:57.000 --> 32:06.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee. Available at InfoWarsLife.com.
[32:06.000 --> 32:10.000]  Dr. Group, you developed Living Defense for us. It took you over a year to do it. Why is this so good?
[32:10.000 --> 32:15.000]  Because people are actually waking up to the problem that pretty much scares me the most.
[32:15.000 --> 32:21.000]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system.
[32:21.000 --> 32:29.000]  Right now, we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[32:29.000 --> 32:37.000]  Right now, with all the refugees spreading disease around, we have biological warfare going on everywhere. These are all parasites.
[32:37.000 --> 32:39.000]  Tell us about all the stuff I said. There's so many things that are in it.
[32:39.000 --> 32:47.000]  You have the neem in there. You have the organic clove bud, the organic wormwood. I recommend doing a parasite cleanse at least twice a year.
[32:47.000 --> 32:51.000]  Alright, well, I'm glad we've got some back in because I'm going back on it today. It just came back in yesterday.
[32:51.000 --> 32:56.000]  Living Defense, InfoWarsLife.com. And folks, you can't lose. It's full of stuff that's great for your body, period.
[32:56.000 --> 33:02.000]  And you can support the broadcast, InfoWarsLife.com. Thank you, Dr. Group, from the Global Healing Center.
[33:02.000 --> 33:17.000]  Thank you so much for all your work, sir, on this great product.
[33:32.000 --> 33:59.000]  It is not, under my understanding, the Capitol Police is not able to confiscate members' equipment when the member is not under investigation.
[33:59.000 --> 34:03.000]  It is their equipment, and it's supposed to be returned.
[34:03.000 --> 34:16.000]  Well, I think there's extenuating circumstances in this case, and I think that working through my counsel and the necessary personnel, if that in fact is the case,
[34:16.000 --> 34:24.000]  and with the permission of, through the investigation, we'll return the equipment. But until that's accomplished, I can't return the equipment.
[34:24.000 --> 34:35.000]  I think you're violating the rules when you conduct your business that way, and you should expect that there will be consequences.
[34:35.000 --> 34:42.000]  Here's the headline, Washington Shultz Under Pressure to Testify on XIT-AID Complaint File.
[34:42.000 --> 34:58.000]  We've now got filings in Congress by members of Congress calling for larger hearings on criminal activity by Obama, Hillary, Bill Clinton, James Comey.
[34:58.000 --> 35:00.000]  The list goes on and on.
[35:00.000 --> 35:16.000]  This is the headline out of Fox News, Washington Shultz Under Pressure to Testify on XIT-AID Complaint File. Democratic Rep Debbie Washington Shultz is coming under mounting pressure to explain why she kept an IT aid on the payroll for months
[35:16.000 --> 35:23.000]  after criminal investigation was revealed, facing calls from Republicans to testify as well as a newly filed ethics complaint.
[35:23.000 --> 35:36.000]  And now, of course, they've caught one of those aides trying to flee the country. This on top of them finding laptops shoved in behind some books in a crevice.
[35:36.000 --> 35:43.000]  And the Capitol Police investigated, and it's the master files for the DNC.
[35:43.000 --> 35:50.000]  And of course, we know who's in control of that. His name's Seth Rich. He got gunned down, shot in the back.
[35:50.000 --> 35:55.000]  That's an unsolved murder. But now in America, that's called being a conspiracy theorist.
[35:55.000 --> 36:04.000]  They have headlines out there that I'm hatefully attacking the family, and so is Sean Hannity for even questioning this.
[36:04.000 --> 36:18.000]  Now, it's almost like we killed Seth Rich. It's like questioning Sandy Hook when they lied about babies and incubators and their brains bashed out and so many other fake events that my listeners questioned Sandy Hook.
[36:18.000 --> 36:26.000]  We questioned it, and now it's all over the news every day. He's the one that hates the children at Sandy Hook.
[36:26.000 --> 36:31.000]  He's the one that hates the families. He's the one.
[36:31.000 --> 36:35.000]  And the few mental patients that come up to me on the street, they go, how dare you not care about those kids?
