[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[03:35.000 --> 03:40.000]  has written another incredible editorial that's up on Infowars.com and PrisonPlanet.com.
[03:40.000 --> 03:47.000]  The empire turns its guns on its own citizenry. We'll be going over that report.
[03:48.000 --> 03:53.000]  Also, we'll discuss the ridiculous State of the Union that we witnessed last night.
[03:53.000 --> 04:02.000]  And also, I had Aaron Russo coming on tomorrow. He has his ups and downs days, I'm just going to put it at that.
[04:02.000 --> 04:10.000]  He's very tough, four years battling cancer, a bunch of surgeries, and I'm not going to go into any more detail.
[04:11.000 --> 04:19.000]  But I had him scheduled for tomorrow, but I'm seeing if we can get him on today with Ed Brown,
[04:19.000 --> 04:26.000]  because when I learned of this, what was happening with Ed Brown a few days ago in New Hampshire,
[04:26.000 --> 04:31.000]  I had a sneaking suspicion that freedom to fascism, American freedom to fascism,
[04:31.000 --> 04:40.000]  was really one of the final straws that caused this man to say, this far and no further.
[04:40.000 --> 04:48.000]  Talking to him this morning, we indeed learned that not only is it one of the main things that's pushing him to stand up,
[04:48.000 --> 04:51.000]  he was obviously already aware of the crime syndicate and its activities,
[04:51.000 --> 05:01.000]  but the thousands of phone calls and letters and support and people coming to Mr. Lewis's and Mrs. Lewis's, it's Ed Lewis Brown's home,
[05:01.000 --> 05:10.000]  is young people, college and high school students, and it's because of American freedom to fascism.
[05:10.000 --> 05:20.000]  Another testament to lone resistance having huge effects as he battled cancer, as he went through surgeries,
[05:20.000 --> 05:27.000]  as he went through hellish treatments, he didn't tell anybody, he was fighting for his life when he made that movie,
[05:27.000 --> 05:36.000]  and it's just unbelievable that it's having this huge effect. God bless Aaron Russo. We'll be right back.
[05:41.000 --> 05:46.000]  It's here, after a year introduction and traveling to distant lands, my new film Terror Storm is complete.
[05:46.000 --> 05:54.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[05:54.000 --> 06:02.000]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British Intelligence.
[06:02.000 --> 06:11.000]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture,
[06:11.000 --> 06:14.000]  the latest 9-11 information, and much, much more.
[06:14.000 --> 06:20.000]  Terror Storm is the definitive guide to the history of government sponsored terrorism. It's an anthology of government crimes.
[06:20.000 --> 06:24.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[06:24.000 --> 06:37.000]  Get your copy today at infowars.com or prisonplanet.com, or by calling toll-free 1-888-2533139, or watch it right now online at prisonplanet.tv.
[06:37.000 --> 06:42.000]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[06:42.000 --> 06:47.000]  It provides you with purified water, light, power, and communications ability.
[06:47.000 --> 07:01.000]  The Security Pack includes a Berkey Light Water Purifier, an LED base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[07:01.000 --> 07:20.000]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[07:20.000 --> 07:36.000]  Get the one-stop solution for your emergency and everyday needs. The Berkey Security Pack, a retail value of $518 for only $399 by calling New Millennium at 888-803-4438. Not yet available in Iowa.
[07:37.000 --> 07:47.000]  Attention! Attention everyone! A brand new invention just released. It's called WristEase, the new patented portable ergonomic wrist support.
[07:47.000 --> 07:54.000]  WristEase comforts your wrists from the sometimes painful tasks of typing, writing, using a mouse, or adding machine.
[07:55.000 --> 08:08.000]  Unlike most conventional wrist pads that are either attached to a mouse pad or lay flat in front of your keyboard, WristEase is totally portable and ideal for laptop users and technicians who are constantly on the go.
[08:08.000 --> 08:23.000]  WristEase is perfect for children doing homework or playing video games. WristEase provides the proper comfort and support for all ages and WristEase provides comfort for victims of carpal tunnel syndrome and other repetitive injuries.
[08:23.000 --> 08:36.000]  You can order WristEase now at WristEase.com. That's WristEase, W-R-I-S-T-E-A-S-E, WristEase.com. Once again, WristEase.com.
[08:39.000 --> 08:49.000]  From his Central Texas Command Center, deep behind enemy lines, the information war continues. It's Alex Jones and the GCN Radio Network.
[08:49.000 --> 09:01.000]  All right, Ed Brown of the New Hampshire, found guilty of tax evasion, is waiting for an armored SWAT team to try to move in against him.
[09:01.000 --> 09:06.000]  And they do this every day in this country for the private banks that own America.
[09:06.000 --> 09:15.000]  And we had Aaron Russo coming on tomorrow for a full hour to talk about solutions and how to support Ron Paul.
[09:15.000 --> 09:21.000]  He is an incredible fighter, but I'm not going to lie to the listeners. He had surgery a few weeks ago.
[09:21.000 --> 09:31.000]  He's got to, looks like, I just talked to him, he's not doing too well. He's got to go in for surgery again. He's at the hospital right now.
[09:31.000 --> 09:43.000]  And it just, it's so poignant that he wasn't complaining, he wasn't telling anybody how sick he was when he made America freedom to fascism.
[09:44.000 --> 09:54.000]  And everything he did to get that film promoted and just all the stuff behind the scenes that I know about that I really can't share with you.
[09:54.000 --> 10:04.000]  But to see that film now spreading all over the web, people getting the DVD, making copies, showing it at parties, showing it at groups.
[10:04.000 --> 10:11.000]  Finally, everything that we've been pushing all these years to expose, the Federal Reserve, the IRS, its collection agency,
[10:11.000 --> 10:17.000]  the North American Union, it's really spreading like wildfire right now.
[10:17.000 --> 10:24.000]  And I hope you'll go to Infowars.com and get your copy of America Freedom to Fascism on DVD.
[10:24.000 --> 10:28.000]  If you haven't gotten it, you need to get it.
[10:28.000 --> 10:39.000]  It is so important to get that film out to everyone and we're going to have Ed Lewis Brown on with us coming up in the second hour today.
[10:39.000 --> 10:48.000]  I hope to have Aaron on with him because of the thousands of people that are contacting Mr. Brown, the hundreds that are coming there to support him.
[10:48.000 --> 10:51.000]  Most of them are bringing up America Freedom to Fascism.
[10:51.000 --> 10:54.000]  This is a new crop of people that have awoken.
[10:54.000 --> 11:01.000]  People see the local news demonizing him and they rally knowing it's propaganda to his support.
[11:01.000 --> 11:07.000]  And there's a whole other facet to this that you've got somebody who just says, fine, this is far no further.
[11:07.000 --> 11:13.000]  You want to come take my house, you want to come in here, I've got guns and I'm going to defend myself and I'm ready to die.
[11:13.000 --> 11:15.000]  I'm tired of the tyranny.
[11:15.000 --> 11:21.000]  Fine, you just go ahead, you come kill me in cold blood and then you see what that starts.
[11:21.000 --> 11:25.000]  Just like in V for Vendetta when they gun that little girl down in the back.
[11:25.000 --> 11:36.000]  And all you punks and all you bullies out there that work for this system and who hate this country, you are just, let me just tell you, time's running out for you.
[11:37.000 --> 11:42.000]  You see, all these years I've studied history and I know that tyrants always tell the people they can't win.
[11:42.000 --> 11:44.000]  Tyrants always tell us we don't have power.
[11:44.000 --> 11:47.000]  Tyrants always tell us we can't affect change.
[11:47.000 --> 11:49.000]  Tyrants always tell us that you can't beat City Hall.
[11:49.000 --> 11:50.000]  It's a fraud.
[11:50.000 --> 11:53.000]  They're scared to death of us and they should be.
[11:56.000 --> 11:58.000]  They should be.
[11:58.000 --> 12:05.000]  Because they know history and they know when their tyranny gets pushed too far, when push comes to shove, the people stand up.
[12:05.000 --> 12:07.000]  Especially the American people.
[12:07.000 --> 12:14.000]  We may have been fat, dumb and happy and a lot of people have gone beyond the point of no return and you can't wake them up and you won't wake them up.
[12:14.000 --> 12:19.000]  No matter how many evil things this global crime syndicate posing as our government does.
[12:21.000 --> 12:23.000]  But they don't count.
[12:23.000 --> 12:29.000]  The furniture that sits there in the bleachers, a bunch of drooling spectators don't count.
[12:30.000 --> 12:42.000]  What counts is people who are in the arena and 5%, really 2% started the war with the British when they pushed and we pushed back and 5% won that war.
[12:44.000 --> 12:47.000]  Let me tell you right now, we've got a lot more than 5%.
[12:47.000 --> 12:50.000]  We've got a lot more than 5%.
[12:51.000 --> 12:55.000]  The key here is taking this country back in an orderly fashion.
[12:55.000 --> 13:03.000]  Because believe me, the globalists have plans to let a violent revolution kick off which will burn out of control and they'll come in and mop up the pieces.
[13:03.000 --> 13:05.000]  We don't want violence.
[13:05.000 --> 13:07.000]  We don't want calamity.
[13:07.000 --> 13:09.000]  We don't want breakdown.
[13:09.000 --> 13:12.000]  We don't want dead cops laying all over the street.
[13:13.000 --> 13:37.000]  To the people in the system and those taking all this FEMA and BATF training, do you have any idea how many millions of veterans and former special forces soldiers and black operators are just sitting there running their businesses, running their construction businesses, their pool businesses, their car dealerships, their restaurants.
[13:37.000 --> 13:46.000]  I mean these are mainstream people just waiting with arsenals of guns, practicing, ready, ready for you fools when you try to crack down on the American people.
[13:46.000 --> 13:50.000]  I'm trying to keep you from stepping on a bear trap here.
[13:51.000 --> 13:58.000]  I'm trying to avert hundreds of thousands of you stupid minions getting your heads blown off.
[13:58.000 --> 14:12.000]  Because let me tell you something, the New World Order plans to send you in in the first martial law waves that can go on for several years and have you completely depleted and chewed to pieces before they bring in their foreign merc armies.
[14:12.000 --> 14:15.000]  They're already integrating into our military force.
[14:17.000 --> 14:19.000]  So that's the bottom line.
[14:20.000 --> 14:29.000]  I'm your friend, but I don't sit here and tickle your ears and I don't sit here and smile at you like your crime bosses do, propaganda at you.
[14:30.000 --> 14:32.000]  I talk to you straight.
[14:33.000 --> 14:40.000]  I have enough respect for people to talk to them straight and that's what I do here on air, six days a week.
[14:41.000 --> 14:53.000]  And I'm begging everybody out there listening to get your heads screwed on straight and to realize that we're at a major crossroads in human history.
[14:54.000 --> 14:59.000]  In the long march, in the saga that is humanity.
[15:02.000 --> 15:05.000]  There is so much news here in front of me today.
[15:06.000 --> 15:09.000]  This morning I was thinking, where do I start? What do I cover?
[15:10.000 --> 15:13.000]  And I think I'm going to go here first.
[15:14.000 --> 15:16.000]  Hundreds deported after L.A. sweep.
[15:17.000 --> 15:24.000]  The feds are reporting that 761 people were arrested in a five county region since January 17th.
[15:25.000 --> 15:30.000]  More than 450 have already been removed from the country according to U.S. Immigration and Customs Enforcement.
[15:30.000 --> 15:36.000]  They're Polish, they're Mexican, they're German, they're Japanese, they're Iranian.
[15:38.000 --> 15:41.000]  And every few months they arrest 500-1000 people.
[15:42.000 --> 15:45.000]  It's always 500 or 700 or 1100.
[15:46.000 --> 15:50.000]  You average it around to 700, but this latest sweep is 761 they say.
[15:52.000 --> 15:57.000]  And people say, oh look, the government's finally doing something about the open borders and illegal immigration.
[15:58.000 --> 16:05.000]  Folks, there's conservatively 30 million illegal aliens, but let's take the government's estimate of 14 million off the 2000 census.
[16:06.000 --> 16:10.000]  As if the illegal aliens come to the door and tell the census bureau how many people are in the house.
[16:13.000 --> 16:20.000]  14 million, so that means if a thousand were arrested a day, not a thousand every three or four months,
[16:21.000 --> 16:25.000]  that's what they're doing, in dog and pony, show, staged events.
[16:25.000 --> 16:30.000]  If a thousand were arrested a day, that'd be 365,000 in a year.
[16:31.000 --> 16:36.000]  Now they admit, the feds admit, 3 million new illegal immigrants come in each year with close to 900,000 legal immigrants.
[16:41.000 --> 16:46.000]  So we're talking close to 4 million new people, and if they arrested a thousand a day, that'd be 365,000.
[16:46.000 --> 16:51.000]  And if they arrested a thousand a day, that'd be 365,000.
[16:53.000 --> 16:58.000]  That'd be like if you had a giant hole in your rowboat and it was sinking and was going to sink in 60 seconds,
[17:00.000 --> 17:05.000]  and you had a thimble trying to bail.
[17:06.000 --> 17:08.000]  That's your dog and pony show.
[17:10.000 --> 17:12.000]  That's your dog and pony show, right there.
[17:13.000 --> 17:14.000]  And it's fooling a lot of people.
[17:15.000 --> 17:17.000]  They've got Limbaugh and Hannity and all the rest of these people on talk radio every day saying,
[17:18.000 --> 17:19.000]  Look how Bush is getting tough.
[17:20.000 --> 17:21.000]  You want him to get tough on immigration? He is.
[17:22.000 --> 17:24.000]  Meanwhile, this is all just a prelude to Bush trying to sign the amnesty plan,
[17:25.000 --> 17:27.000]  which will end all of this and just legalize everyone,
[17:28.000 --> 17:32.000]  as long as they go register and get their new regional North American ID card, and that's what it is.
[17:33.000 --> 17:38.000]  It isn't just the American people under the Real ID Act where they're federalizing and standardizing all the driver's licenses and ID cards.
[17:39.000 --> 17:43.000]  You have to have one to have a job, an internal passport.
[17:44.000 --> 17:49.000]  If you read, it is a North American ID card,
[17:50.000 --> 17:56.000]  with Social Security paid to Canada and Mexico out of our Treasury.
[17:58.000 --> 18:02.000]  So that's what's really happening there, and I want to be clear about something here.
[18:05.000 --> 18:07.000]  I care about Eastern European immigrants.
[18:08.000 --> 18:10.000]  I care about Latin American immigrants.
[18:11.000 --> 18:13.000]  I care about Asian immigrants.
[18:14.000 --> 18:15.000]  I care about African immigrants.
[18:16.000 --> 18:17.000]  I care about these people.
[18:18.000 --> 18:20.000]  But they live in conquered New World Order nations.
[18:21.000 --> 18:25.000]  They live in nations where they're forcibly inoculated under UN programs and forcibly sterilized.
[18:26.000 --> 18:30.000]  They live in countries where the IMF and World Bank have taken control of their governments and blown out their economies by design.
[18:31.000 --> 18:34.000]  We have the IMF World Bank documents, internal documents since 2002,
[18:35.000 --> 18:38.000]  when Joseph Stiglitz went public, Nobel Prize winner, chief economist.
[18:40.000 --> 18:42.000]  He said here they're doing it all by design.
[18:44.000 --> 18:46.000]  They have wrecked the Third World.
[18:47.000 --> 18:48.000]  They've ensured it couldn't get on its feet.
[18:49.000 --> 18:50.000]  These are global monopoly men.
[18:51.000 --> 18:55.000]  They want no one to be independent, from the family right up to the state government, right up to the federal level.
[18:58.000 --> 19:02.000]  And the very same people that are feeding on the Third World and then generating the need for these poor people,
[19:02.000 --> 19:07.000]  these desperate people to flood here wanting a better life for their children.
[19:10.000 --> 19:15.000]  The New World Order is cynically using them to literally sink our lifeboat.
[19:16.000 --> 19:18.000]  It's like having a lifeboat with a hundred people in it.
[19:19.000 --> 19:20.000]  It can hold a hundred.
[19:21.000 --> 19:23.000]  And there are ten thousand trying to climb into it.
[19:24.000 --> 19:26.000]  And people look at me and say, oh, you're being mean.
[19:27.000 --> 19:28.000]  You don't like immigrants.
[19:29.000 --> 19:30.000]  No, I care about these people.
[19:30.000 --> 19:31.000]  I care about humanity.
[19:35.000 --> 19:36.000]  I have empathy.
[19:37.000 --> 19:39.000]  I understand what they've been through.
[19:40.000 --> 19:41.000]  I realize the attack they're under.
[19:42.000 --> 19:43.000]  I know they just want a better life.
[19:44.000 --> 19:45.000]  I understand that.
[19:46.000 --> 19:48.000]  But you can't put ten thousand people in a lifeboat that holds a hundred.
[19:49.000 --> 19:50.000]  They're already swarming up over the sides.
[19:51.000 --> 19:52.000]  The front of the boat's already going under.
[19:53.000 --> 19:58.000]  And if we don't bail and stop these people from climbing over, we're going down into the North Atlantic Sea.
[20:00.000 --> 20:04.000]  Into the frigid, sub-zero waters.
[20:08.000 --> 20:09.000]  This is the reality.
[20:10.000 --> 20:15.000]  I'm just here giving you the Machiavellian analysis of what they're doing.
[20:16.000 --> 20:17.000]  This is the cold hard facts.
[20:18.000 --> 20:24.000]  That evil figurehead, George Bush, wants total open borders and unlimited illegal aliens.
[20:25.000 --> 20:27.000]  And it isn't because he wants to, quote, help America.
[20:27.000 --> 20:30.000]  It's because the globalists want to kill this country.
[20:31.000 --> 20:32.000]  And they're doing a darn good job of it.
[20:33.000 --> 20:34.000]  We'll be right back.
[20:37.000 --> 20:42.000]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[20:43.000 --> 20:49.000]  These awesome elements are used in Berkey purification systems and they can also be used to upgrade most other gravity filtration systems.
[20:50.000 --> 21:00.000]  They can purify raw, untreated water by removing pathogenic bacteria, cysts, parasites, trihalomethanes, and chemicals such as chlorine, atrazine, styrene, and MTBE.
[21:01.000 --> 21:05.000]  These elements also reduce unwanted heavy metals such as lead, mercury, and aluminum.
[21:06.000 --> 21:10.000]  Unbelievably, they even remove small micro particulate from water like food coloring particles.
[21:11.000 --> 21:13.000]  Yet, they leave in the nutritional minerals that your body needs.
[21:13.000 --> 21:23.000]  Moreover, because they are re-cleanable, black Berkey elements are more economical than the standard disposable elements providing fresh, pure water for less than 2 cents per gallon.
[21:24.000 --> 21:31.000]  Get a 2-pack for only $99 or a 4-pack for only $1.88 by calling New Millennium at 888-803-4438.
[21:32.000 --> 21:36.000]  That's triple 8, 803-4438 or order on the web at berkeywater.com.
[21:38.000 --> 21:40.000]  David J. Smith for Newswatch Magazine.
[21:40.000 --> 21:47.000]  Did you know that an FBI agent assigned to the White House when Bill Clinton took office wrote a book entitled Unlimited Access?
[21:48.000 --> 21:56.000]  He told of Clinton's staff coming into the White House its first day with red buttons on their shirt with a picture of the first Communist dictator, B.I. Lenin, on them.
[21:57.000 --> 22:02.000]  Is it any wonder the United States government moved further to the left during the Clinton administration?
[22:03.000 --> 22:06.000]  Even Hillary tried to pass a socialistic program for health care.
[22:07.000 --> 22:15.000]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[22:16.000 --> 22:22.000]  Just call our toll-free number 1-800-516-8736.
[22:23.000 --> 22:28.000]  That's 1-800-516-8736.
[22:29.000 --> 22:35.000]  Call now. Operators are standing by to receive your call for a free subscription to Newswatch Magazine.
[22:37.000 --> 22:42.000]  Have you ever felt like the United States government knows way too much about your financial affairs?
[22:43.000 --> 22:48.000]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[22:49.000 --> 22:54.000]  It makes me wonder if the U.S. citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[22:55.000 --> 23:04.000]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933,
[23:04.000 --> 23:08.000]  some precious metals holdings are subject to government intervention.
[23:09.000 --> 23:14.000]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[23:15.000 --> 23:20.000]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[23:21.000 --> 23:24.000]  Call for your free copy at 1-800-686-2237.
[23:25.000 --> 23:27.000]  When investing, always proceed with caution.
[23:28.000 --> 23:30.000]  Again, call 1-800-686-2237.
[23:30.000 --> 23:33.000]  Exercise your legal right to trade metals privately.
[23:34.000 --> 23:36.000]  1-800-686-2237.
[23:39.000 --> 23:41.000]  Do you know the truth about cancer treatments?
[23:42.000 --> 23:51.000]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[23:52.000 --> 23:58.000]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[23:58.000 --> 24:04.000]  But now, it's cancer's turn to die with LaceMed Inc.'s patented methodology.
[24:05.000 --> 24:16.000]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[24:17.000 --> 24:19.000]  Laser technology at its best.
[24:19.000 --> 24:24.000]  For more information, call 702-953-0267.
[24:25.000 --> 24:32.000]  Or, visit www.lasemedinc.com.
[24:33.000 --> 24:37.000]  Call 702-953-026.
[24:37.000 --> 24:52.000]  Look out your window, baby, there's a scene you'll like to catch.
[24:53.000 --> 25:04.000]  The man he's playing Dixie, the man at his hand-out stress, could be the fuhrer, could be the bloke of grief.
[25:07.000 --> 25:14.000]  Well, there's sometimes a reason, you know, we come as a man of peace.
[25:14.000 --> 25:21.000]  You got sweet gifts of gas, you got harmonious time.
[25:22.000 --> 25:29.000]  So it'll be a song of love that never has been sung, but the intentions can be evolved.
[25:30.000 --> 25:33.000]  Oh, this can be fun and breezy.
[25:34.000 --> 25:35.000]  Welcome back.
[25:36.000 --> 25:39.000]  Several program notes, my producer got this backwards.
[25:39.000 --> 25:50.000]  We've got Ed Lewis Brown from New Hampshire holed up, ready to fight to the death to defend against the private enforcers of the central banks that own us as slaves.
[25:51.000 --> 25:52.000]  Literally, they say they do.
[25:53.000 --> 25:56.000]  They got another thing coming, we're revolting, it is a slave revolt.
[25:57.000 --> 26:02.000]  At the same time, Dr. Paul Craig Roberts will be joining us to talk about his article,
[26:02.000 --> 26:09.000]  the empire that turns its guns on its own citizenry, or the empire turns its guns on its own citizenry.
[26:10.000 --> 26:15.000]  There's a new story out just today, up on Infowars.com and PrisonPlanet.com.
[26:16.000 --> 26:19.000]  We'll have open phones coming up later in this hour, toll-free number to join us.
[26:20.000 --> 26:26.000]  1-800-259-9231, 800-259-9231.
[26:26.000 --> 26:30.000]  And again, I haven't plugged this yet, I should have.
[26:31.000 --> 26:33.000]  I've forgotten about it, so much happening.
[26:34.000 --> 26:38.000]  I'm going to be on with George Norrie for the last two hours of his Friday show this week.
[26:39.000 --> 26:46.000]  He's going to be in Austin, Texas for Talk Fest coming up Saturday at the Austin Convention Center with Neil Bortz and others.
[26:47.000 --> 26:53.000]  But I'm going to be in studio with him, co-hosting the second two hours.
[26:53.000 --> 27:00.000]  He's got Carol Mote and Hal, I guess the first two hours, co-hosting with him, coming up Friday.
[27:01.000 --> 27:06.000]  And usually he invites me then to Talk Fest, I don't know if he is, I'm not too worried about that.
[27:07.000 --> 27:12.000]  And then coming up Sunday night, right after I do my new Sunday syndicated show from 4 to 6 p.m.
[27:13.000 --> 27:21.000]  from 8 to 10 p.m. at the massive, independently-owned, gigantic book people bookstore, and they've got some videos.
[27:21.000 --> 27:26.000]  I mean, it's a giant, I don't know what, three-story bookstore, it's just humongous.
[27:27.000 --> 27:37.000]  And at the little bitty Waterloo a few months ago, we had like 200 people show up for the two hours I was there and they sold out of Terror Storm.
[27:38.000 --> 27:43.000]  This is the only other signing I'm planning to do, this was set up months ago for Terror Storm.
[27:44.000 --> 27:47.000]  And they tried to get me to go to New York and Chicago and places and do it, I'm just too busy.
[27:47.000 --> 27:50.000]  But I've said I'd do it here in Austin because I'd like to meet you and talk to you.
[27:51.000 --> 27:55.000]  So I'm going to give a speech, I think I'll give a speech on the New World Order Master Plan, get into some more facets of it.
[27:56.000 --> 27:59.000]  And then I'll take questions and sign DVDs for an hour.
[28:00.000 --> 28:10.000]  That's this coming Sunday night, I don't know what day is that, if it's Wednesday and it's the 24th, 25th, 26th, 27th, I guess it's the 28th.
[28:10.000 --> 28:19.000]  That's Sunday the 28th, so it booked people in downtown Austin off 6th and Lamar.
[28:20.000 --> 28:29.000]  You cannot miss it, they've got a six-story parking garage, let me see it's three or four stories underground and a couple above ground.
[28:30.000 --> 28:37.000]  Big parking garage, it's right by Whole Foods, the biggest organic and best organic, it's the mother ship where Whole Foods was founded, it's nationwide.
[28:37.000 --> 28:44.000]  They're a big model store, the biggest organic grocery store in the world, I'm told, is right next door.
[28:45.000 --> 28:52.000]  So you can kind of make an event out of it, you can go have dinner if you want, right there at Whole Foods, I don't know, 15 restaurants or something, it's ridiculous.
[28:53.000 --> 29:05.000]  And then you can come over to book people next door, it's in the old Whole Foods building, and you can come over there and I'll give a speech and do all that stuff.
[29:05.000 --> 29:11.000]  So I look forward to seeing you this Sunday night, 8 to 10 p.m.
[29:12.000 --> 29:21.000]  Like I said, make an evening, bring your husband or wife or girlfriend or boyfriend out to the event, bring your family out to the event, bring your neighbors out to the event.
[29:22.000 --> 29:25.000]  I'll have some of the other films and books there as well.
[29:26.000 --> 29:32.000]  And details are up on Infowars.com, they're going up on Infowars.com, I just told the webmaster about it last night.
[29:35.000 --> 29:44.000]  Also, I'm tentatively going out to the thing next month in Arizona, the big 9-11 thing, but we'll see, I'm trying to work the details out.
[29:45.000 --> 29:55.000]  It's kind of hard because I do a Sunday radio show, so anytime I go do something, I have to fly back to get on air on Sunday, so it's like, leave Friday, talk Saturday, fly back, but we're working that out.
[29:56.000 --> 29:59.000]  Okay, those program notes are now out of the way.
[30:00.000 --> 30:03.000]  I'm going to come back, I'm going to run over some of the war news, state of the union news.
[30:04.000 --> 30:10.000]  And I want to, well first I want to finish up with the immigrants, finish up discussing what's really behind that and how that's operating.
[30:11.000 --> 30:13.000]  I forgot, that's what I was going to come back and talk about.
[30:14.000 --> 30:19.000]  So we shall return on the other side of this quick break.
[30:20.000 --> 30:26.000]  PrisonPlanet.com, JonesReport.com, Infowars.net, or just some of the websites, check them out today.
[30:27.000 --> 30:30.000]  We're on the march, the empire's on the run.
[30:31.000 --> 30:34.000]  Alex Jones and the GCN Radio Network.
[30:37.000 --> 30:38.000]  How are you feeling today?
[30:39.000 --> 30:45.000]  I ask because if you have health challenges, then reading our free booklet about the most amazing discovery of our time is crucial.
[30:46.000 --> 30:50.000]  The booklet is about an amazing fruit from Southeast Asia they call mangosteen.
[30:50.000 --> 30:56.000]  It's a centuries old medicinal fruit whose time has come and it has amassed 40 years of published research.
[30:57.000 --> 31:01.000]  We have information and testimonials from all over the world about the health potentials of this amazing fruit.
[31:02.000 --> 31:08.000]  This powerful botanical has contributed to the well-being of millions of people the world over with health concerns just like yours.
[31:09.000 --> 31:12.000]  You can have the 22-page ebook lit absolutely free.
[31:13.000 --> 31:16.000]  We'll also refer you a website with links to actual testimonials and product information.
[31:17.000 --> 31:19.000]  Could this fruit help you in your quest for total health?
[31:20.000 --> 31:27.000]  Find out why mangosteen is known as the queen of all fruits and why it is fast becoming the best-selling wellness product ever brought to the market.
[31:28.000 --> 31:30.000]  Your health is in your hands. Do something about it today.
[31:31.000 --> 31:36.000]  Call 800-681-1909. Again, that's 800-681-1909.
