[00:00:13.618 --> 00:00:16.899]  Texas, broadcasting worldwide.
[00:08:26.632 --> 00:08:29.754]  And you, my friends, are that Great Awakening.
[00:08:29.754 --> 00:08:38.738]  So we'll talk about what the Great Awakening means versus the globalist Great Reset with Kent Hechenliebly coming up in studio here now in about 25 minutes.
[00:08:38.738 --> 00:08:43.740]  Then Dr. Mijkovic will be joining us throughout the second hour.
[00:08:43.740 --> 00:08:47.302]  And then in the third and fourth hour tonight, I'll introduce it.
[00:08:47.302 --> 00:08:52.525]  We're going to air this new film, The Great Awakening.
[00:08:53.700 --> 00:09:01.725]  Pandemic 3, we're going to be airing what I think is the best of the films he's made on the subject, those are excellent, tonight.
[00:09:01.725 --> 00:09:02.545]  Tonight, here.
[00:09:02.545 --> 00:09:19.375]  Now, we also have links to it where you can get it at InfoWars.com for free on the HiWire site, on Mickey Willis' site, but we're going to be streaming it out here tonight to a lot of TV stations and a lot of radio stations, and of course to our audience, but right at the top of the page we have big links to go over to the HiWire and find it there.
[00:09:20.387 --> 00:09:25.351]  And the amazing work of Del Bigtree who helped get this done and who was doing a fabulous job as well.
[00:09:25.351 --> 00:09:31.415]  Because it's not just the scientists and doctors and the general public that have broken the back of the New World Order's biggest attack plan.
[00:09:31.415 --> 00:09:40.002]  It's been people like Mickey Willis and Kent Hechenliebly and Tucker Carlson and Joe Rogan and just so many others.
[00:09:40.002 --> 00:09:41.763]  Folks like Del Bigtree.
[00:09:41.763 --> 00:09:42.584]  And make no mistake.
[00:09:44.497 --> 00:09:54.400]  This next pandemic's coming, and if we don't get on the offense exposing the globalists, they may be able to completely take over and put us under permanent lockdown.
[00:09:54.400 --> 00:10:01.222]  So find the entire Great Awakening film for free, and share it and spread it right now on InfoWars.com.
[00:10:01.222 --> 00:10:07.104]  We'll be streaming it coming up tonight with some of my commentary and more, so definitely look forward to that.
[00:10:07.104 --> 00:10:12.486]  But the coordinates of Liberty are InfoWars.com and BandopVideo.
[00:10:12.486 --> 00:10:12.786]  Also,
[00:10:14.073 --> 00:10:16.014]  I must have been hiding under a rock.
[00:10:16.014 --> 00:10:30.020]  I didn't know that back in, I guess it was April, Neil deGrasse Tyson, the so-called scientist, the guy's very funny, fun to listen to, a likable guy, but he's a total cult leader of the globalists.
[00:10:30.020 --> 00:10:31.681]  You couldn't be worse.
[00:10:31.681 --> 00:10:39.664]  He says science is doing what the consensus says and following what the big corporations say, when science is about always questioning.
[00:10:39.664 --> 00:10:43.166]  And he went on to say that, in a debate with
[00:10:44.798 --> 00:10:49.139]  Tell Big Tree that I didn't even know it happened months ago, even though it went viral.
[00:10:49.139 --> 00:10:56.461]  I missed that one until I saw the film, and it's part of the film and part of the intro as well.
[00:10:56.461 --> 00:10:59.802]  And he says, no, no, we don't listen to all these procedure scientists.
[00:10:59.802 --> 00:11:00.882]  We listen to the consensus.
[00:11:00.882 --> 00:11:06.084]  No, science is about challenging and not having, quote, a consensus so two men can have a baby.
[00:11:07.051 --> 00:11:09.152]  And X and Y chromosomes don't exist.
[00:11:09.152 --> 00:11:15.656]  That's what they teach now in US and European colleges, that X and Y chromosomes do not exist.
[00:11:15.656 --> 00:11:19.918]  From the age of science, they're telling you that chromosomes don't exist.
[00:11:21.038 --> 00:11:24.300]  This is absolutely savage brainwashing.
[00:11:24.300 --> 00:11:29.282]  And if you understand the tactic he used, he kept saying, science, science, science, science, science.
[00:11:29.282 --> 00:11:30.723]  I don't look at your facts.
[00:11:30.723 --> 00:11:32.043]  I only go with the consensus.
[00:11:32.043 --> 00:11:33.024]  Well, there is no consensus.
[00:11:33.024 --> 00:11:35.485]  There was a corporate force-feeding operation.
[00:11:35.485 --> 00:11:41.368]  So I'm going to play, it's a long debate, but I'm going to play five key minutes of it with Dr. Judy.
[00:11:43.219 --> 00:11:47.142]  Michael, it's coming up in the second hour today.
[00:11:47.142 --> 00:11:48.402]  I get her take on that.
[00:11:48.402 --> 00:11:50.924]  Just absolutely, absolutely brutal.
[00:11:50.924 --> 00:11:53.585]  Obviously, we have a lot of big news here.
[00:11:53.585 --> 00:11:54.746]  Oh boy, do we.
[00:11:54.746 --> 00:11:56.467]  And each one of these stacks is absolutely key.
[00:11:56.467 --> 00:12:03.471]  I'm going to bring these up with our guests as well, because we're not just going to focus on the poison shots and on the next rollout of the next plague they're preparing to release.
[00:12:03.471 --> 00:12:05.772]  We're going to spend a lot of time on that.
[00:12:05.772 --> 00:12:10.615]  We're also going to spend a lot of time on the other angles and arms of this.
[00:12:12.145 --> 00:12:32.922]  We're going to be looking at the Biden administration is officially asking the UN to come in and sanction the United States for reparations, saying that America was founded on slavery and is inherently evil, and that the UN should come in and help administer $5 million of US taxpayer money to every black person.
[00:12:32.922 --> 00:12:35.464]  Now, obviously, it's about a UN takeover.
[00:12:35.464 --> 00:12:36.825]  How would you ever have a UN takeover?
[00:12:36.825 --> 00:12:38.807]  We'll have them take over the medical system and have a UN treaty.
[00:12:39.949 --> 00:12:40.850]  And be your savior.
[00:12:40.850 --> 00:12:43.851]  And, oh, we're going to give all the brown people free money.
[00:12:43.851 --> 00:12:49.935]  Are they going to go to China and get reparations for the 3 million Muslim Uighur slaves in Western China?
[00:12:49.935 --> 00:12:50.095]  No.
[00:12:52.022 --> 00:12:55.163]  And if you bring it up on a basketball court, they'll kick you off.
[00:12:55.163 --> 00:12:56.603]  Like you've seen with the NBA.
[00:12:56.603 --> 00:12:57.684]  No, no, no, no.
[00:12:57.684 --> 00:13:04.106]  It's all about America being mad and this carrot being dangled of, go along with the UN, go along with the world government, and it's going to give you reparations.
[00:13:04.106 --> 00:13:13.288]  It's the UN building the refugee centers after they ran the lockdowns worldwide that starved over 50 million people in the last three and a half years to death.
[00:13:13.288 --> 00:13:16.129]  They're murdering people en masse.
[00:13:16.129 --> 00:13:18.770]  Paramilitary UN troops are slaughtering people all over the world.
[00:13:19.741 --> 00:13:24.183]  You know, you watch a movie like Black Adam with The Rock, and most of those movies are unwatchable.
[00:13:24.183 --> 00:13:24.963]  They're super cheesy.
[00:13:24.963 --> 00:13:27.244]  I can't stand the whole Marvel comic universe.
[00:13:27.244 --> 00:13:34.326]  But I was on an airplane flying back to the United States from the United States, from Hawaii, Friday.
[00:13:34.326 --> 00:13:38.528]  And I said, let me just watch this show, because I want to see the propaganda in it.
[00:13:38.528 --> 00:13:44.070]  And it was all about evil British white mercenaries enslaving a mythical African country.
[00:13:44.710 --> 00:13:51.812]  That has this magical element in it similar to Black Panther and Wakanda.
[00:13:51.812 --> 00:13:53.712]  And I'm sitting there watching the mercenaries.
[00:13:53.712 --> 00:13:57.013]  You know who the mercenaries work for.
[00:13:57.013 --> 00:14:06.536]  They work for really one of four or five groups, but it's the UN's the main group that has mercenaries slaughtering and enslaving just like the movie, literally.
[00:14:06.536 --> 00:14:09.217]  And then there's China is the next biggest.
[00:14:09.217 --> 00:14:13.818]  And then there's an Anglo-American Dutch contingent that's kind of in this movie that's real.
[00:14:15.267 --> 00:14:17.608]  And then there's the United States.
[00:14:17.608 --> 00:14:21.030]  Comes in with mercenaries and kills people en masse and takes their land.
[00:14:21.030 --> 00:14:24.292]  I mean, it's been in the UN articles, they admit it.
[00:14:24.292 --> 00:14:33.898]  I read a New York Times article like 10 years ago where it was talking about, well, to create carbon offsets for carbon, you know, for mining in this area of Central Africa.
[00:14:33.898 --> 00:14:44.424]  The UN came in with tanks and helicopters and the locals resisted being pushed off their land, so the UN-backed mercenaries killed 10,000 of them last month.
[00:14:45.543 --> 00:14:46.304]  Number was probably higher.
[00:14:46.304 --> 00:14:57.374]  And I'm just from the New York Times, I'm sitting there reading coffee, reading and drinking coffee, and it's just right there, yep, and of course you can go read about it in the foreign press too, but just yeah, the UN came in and just killed 10,000 people.
[00:14:57.374 --> 00:15:09.265]  So you see these movies and the UN's the savior, and there's this UN group of superheroes that come to create stability and battle Black Adam because he's too violent, and they're the UN and they're going to save the world, when it's the UN
[00:15:10.146 --> 00:15:15.011]  That is the biggest group running those lithium mines and those slave camps.
[00:15:15.011 --> 00:15:19.836]  They run it, they control it, they get a big cut of the money from the multinational corporations.
[00:15:19.836 --> 00:15:23.821]  And who gets 98% of rare earth minerals out of the ground in the world?
[00:15:24.881 --> 00:15:26.942]  The cha-cha-cha-cha-chaicoms.
[00:15:26.942 --> 00:15:30.004]  So in most cases, the chaicoms don't run the enslavement.
[00:15:30.004 --> 00:15:33.606]  They run the civilian side of it, extracting it and controlling the slaves.
[00:15:33.606 --> 00:15:37.588]  But the paramilitary camps are run by the UN on record.
[00:15:37.588 --> 00:15:43.411]  But when you watch a movie from Hollywood, it's the UN saving everyone from the mercenaries.
[00:15:43.411 --> 00:15:46.453]  A lie, a lie, a lie.
[00:15:46.453 --> 00:15:49.294]  All of it, a big, giant damn lie.
[00:15:49.294 --> 00:15:54.277]  We don't hear about the UN reparations for all the African slaves they got right now, or for cutting the damn food off.
[00:15:54.717 --> 00:15:55.678]  They're alive right now.
[00:15:55.678 --> 00:15:56.518]  The UN did this.
[00:15:56.518 --> 00:16:00.340]  They should be executed.
[00:16:00.340 --> 00:16:03.882]  All I want is your word of mouth and to tell people to tune in to the show and to share the clips.
[00:16:03.882 --> 00:16:06.523]  And you're doing it, and it's having a bigger effect than ever.
[00:16:06.523 --> 00:16:08.985]  And please keep us on air while still getting great products.
[00:16:08.985 --> 00:16:11.726]  I mean, you really need to get our full-spectrum CBD oil.
[00:16:11.726 --> 00:16:15.108]  It's so good for your joints and bones and your neurological systems.
[00:16:15.108 --> 00:16:17.529]  You really need to get our ultimate grill oil, ultimate fish oil.
[00:16:17.529 --> 00:16:19.871]  You really need turbo, four-star clean energy.
[00:16:19.871 --> 00:16:21.431]  Everybody needs X3 and tri-ionine.
[00:16:22.692 --> 00:16:24.333]  Well, it'll take everything nearby to the next level.
[00:16:24.333 --> 00:16:26.015]  Most people have iodine deficiencies.
[00:16:26.015 --> 00:16:27.756]  Go to InfoWarsTore.com.
[00:16:27.756 --> 00:16:28.717]  Get X3.
[00:16:28.717 --> 00:16:30.038]  It doesn't just fund the operation.
[00:16:30.038 --> 00:16:32.500]  These are game-changing products.
[00:16:32.500 --> 00:16:34.401]  These are amazing products.
[00:16:34.401 --> 00:16:36.163]  InfoWarsTore.com.
[00:16:36.163 --> 00:16:37.384]  Also back in stock.
[00:16:37.384 --> 00:16:38.765]  The essential oil infused.
[00:16:39.225 --> 00:16:41.908]  Charcoal, activated charcoal toothpaste is over the top.
[00:16:41.908 --> 00:16:42.729]  Excellent.
[00:16:42.729 --> 00:16:44.992]  Also, finally back in stock, limited shipment.
[00:16:44.992 --> 00:16:47.795]  We have the ultimate tooth whitening toothpaste.
[00:16:47.795 --> 00:16:49.317]  The Coral Calcium Toothpaste.
[00:16:49.317 --> 00:16:50.478]  Infuses essential oils.
[00:16:50.478 --> 00:16:51.459]  Back in stock.
[00:16:51.459 --> 00:16:52.821]  Toothpaste back in stock.
[00:16:52.821 --> 00:16:55.143]  Infowarsstore.com or 888-253-3139.
[00:16:55.143 --> 00:16:56.485]  Please take action now.
[00:17:00.399 --> 00:17:04.341]  Thousands of former Nazis went to work for the United States government.
[00:17:04.341 --> 00:17:08.303]  A flying disc has been found and is now in the possession of the army.
[00:17:08.303 --> 00:17:10.684]  Here is a bulletin from CBS News.
[00:17:10.684 --> 00:17:12.305]  President Kennedy has been shot.
[00:17:13.066 --> 00:17:16.387]  This is a different kind of war.
[00:17:16.387 --> 00:17:20.888]  The USS Liberty had just been attacked by Israeli jets and torpedoes.
[00:17:20.888 --> 00:17:24.269]  The CIA could manipulate the news in the United States.
[00:17:24.269 --> 00:17:28.189]  They took the babies out of incubators and left the children to die on the cold floor.
[00:17:28.189 --> 00:17:30.910]  It was almost as if there were a plan in motion.
[00:17:30.910 --> 00:17:31.830]  It just can't end.
[00:17:31.830 --> 00:17:33.671]  We need to go into the capital!
[00:17:33.671 --> 00:17:34.271]  That's it!
[00:17:36.212 --> 00:17:38.333]  You will always have conspiracy theories.
[00:17:38.333 --> 00:17:39.954]  They are nothing but distractions.
[00:17:39.954 --> 00:17:42.175]  You guys censored Harvard educated doctors.
[00:17:42.175 --> 00:17:44.636]  You silenced those voices.
[00:17:44.636 --> 00:17:48.398]  What we want to do in Davos is push the reset button.
[00:17:48.398 --> 00:17:54.662]  Soon as we start exposing the Great Reset, the sooner these globalists start going to prison!
[00:18:00.020 --> 00:18:07.445]  In the early 1900s, certain companies were off-gassing highly toxic fluoride gases into the atmosphere.
[00:18:07.445 --> 00:18:10.246]  The surrounding communities began to get sick.
[00:18:10.246 --> 00:18:18.612]  Laws were enacted to compel these corporations to install scrubbers to convert these gases into fluorosilicic acid.
[00:18:18.612 --> 00:18:21.033]  Still highly toxic, but containable.
[00:18:21.033 --> 00:18:24.035]  Now these companies had a stockpile of this poison.
[00:18:24.335 --> 00:18:26.917]  And there was no affordable way to dispose of it.
[00:18:26.917 --> 00:18:35.322]  Lucky for them, one of their major stockholders was also the Secretary of the Treasury, who was responsible for the public health service at the time.
[00:18:35.322 --> 00:18:37.184]  And by 1950, the U.S.
[00:18:37.184 --> 00:18:43.788]  government began buying this toxic, untreated industrial waste product and dumping it into our drinking water.
[00:18:44.248 --> 00:18:49.456]  Reputable studies show that it's causing various cancers and other disease.
[00:18:49.456 --> 00:18:55.586]  With the Alexa Pure Pro, you can have clean drinking water and a remedy to this madness.
[00:18:55.586 --> 00:18:57.929]  Available now at InfoWarsTore.com
[00:18:59.758 --> 00:19:06.065]  Ladies and gentlemen, the truth, the solution is laying right there in front of you, hidden in plain view.
[00:19:06.065 --> 00:19:09.028]  Please listen to me in the next 60 seconds.
[00:19:09.028 --> 00:19:18.578]  If you go to Wikipedia, it has links to the UN's own website where they admit the number one cause of cognitive disability in the world is iodine deficiency.
[00:19:18.578 --> 00:19:20.540]  The number one preventable cause
[00:19:21.241 --> 00:19:32.143]  of intellectual disability is lack of real pure iodine in the body as they bomb us with the bad halogens bromine, bromide, chlorine and so much more.
[00:19:32.143 --> 00:19:42.065]  Upwards of 2 billion people in a Lancet medical journal study in 2007 worldwide have cognitive disabilities because they don't have high quality iodine.
[00:19:42.065 --> 00:19:44.445]  Most iodine is bound to other elements you don't absorb it.
[00:19:44.445 --> 00:19:47.506]  We have X3 all three types of good iodine together
[00:19:48.246 --> 00:19:48.726]  Let's go!
[00:20:18.339 --> 00:20:21.442]  Welcome back, my friends, to the Alex Jones Show, live Sunday edition.
[00:20:21.442 --> 00:20:28.567]  It's good to be back in Central Texas with a great crew and all of you watching and listening.
[00:20:28.567 --> 00:20:29.889]  All right, so here's the bottom line.
[00:20:29.889 --> 00:20:31.230]  The New World Order is out in the open now.
[00:20:31.230 --> 00:20:35.533]  They're making their move.
[00:20:35.533 --> 00:20:37.735]  And folks are really starting to wake up to how serious it is.
[00:20:37.735 --> 00:20:47.203]  And one of the biggest takeaways that's now unfolding is that people really understand now that domestic
[00:20:49.992 --> 00:20:57.258]  Operations of Western intelligence agencies are taking place in our countries and are totally illegal.
[00:20:57.258 --> 00:21:02.322]  Now, I told you this decades ago because it came out in congressional hearings here and there.
[00:21:02.322 --> 00:21:17.814]  But now, with the hearings a few months ago in Congress and others coming out in the UK and Canada and Australia, it is being confirmed that the military's main mission and the CIA and MI6 and MI5 and the FBI and all the other intelligence agencies across the Western world
[00:21:18.973 --> 00:21:29.644]  was unified to go after populists, to go after Christians, to go after conservatives, to go after people that didn't want their borders open, to go after people that didn't want forced injections or lockdowns.
[00:21:29.644 --> 00:21:32.306]  And now more documents have been released.
[00:21:32.306 --> 00:21:40.134]  Secret UK government unit worked with social media to, quote, shut down lockdown critics, calling them terrorists.
[00:21:40.134 --> 00:21:42.216]  Same thing in the US.
[00:21:42.216 --> 00:21:42.997]  Same thing in Canada.
[00:21:44.588 --> 00:21:50.212]  Same thing in Germany, France, the Netherlands, Sweden, Denmark, everywhere!
[00:21:50.212 --> 00:21:55.415]  That's quote, in the Western Alliance.
[00:21:55.415 --> 00:22:13.087]  And that's New Zealand, that's Australia, that's Western Europe, that's the UK, that's a lot of Latin American countries are on board, a lot of African countries, not a lot, they've kind of gotten out of it, they used to be, and some Middle Eastern countries, a lot of Asian countries like South Korea,
[00:22:14.338 --> 00:22:18.501]  Japan, they are on board.
[00:22:18.501 --> 00:22:18.861]  Got it?
[00:22:18.861 --> 00:22:25.745]  BBC leaked messages of the plan to frighten the public.
[00:22:25.745 --> 00:22:26.846]  That's from back in March.
[00:22:26.846 --> 00:22:29.207]  So we told you all of this.
[00:22:29.207 --> 00:22:34.210]  Exclusive ministers had chilling secret unit to curb lockdown dissent.
[00:22:34.210 --> 00:22:37.052]  And they were going to keep you locked down forever.
[00:22:37.052 --> 00:22:40.534]  The plan is to collapse civilization and society.
[00:22:42.543 --> 00:22:44.364]  And now it's all confirmed exactly what we told you.
[00:22:44.364 --> 00:22:48.528]  So let me show you a little bit of this and explain what they're doing.
[00:22:48.528 --> 00:22:58.776]  Have you noticed whether in Detroit or Chicago or LA or San Francisco or New York City or any other leftist run jurisdiction that crime is completely out of hand?
[00:22:59.611 --> 00:23:00.832]  And the worst it's ever been in U.S.
[00:23:00.832 --> 00:23:07.418]  history, and the only people being prosecuted are people that shoot armed robbers in their businesses or their houses?
[00:23:07.418 --> 00:23:18.728]  Or if a man's trying to kill people on a subway, and a black man, a white man, a Hispanic man, fight him for more than 10 minutes, and he dies in a chokehold, and now the white guy gets arrested?
[00:23:18.728 --> 00:23:21.550]  And charged with murder?
[00:23:21.550 --> 00:23:25.093]  Manslaughter?
[00:23:25.093 --> 00:23:25.954]  What's this really about?
[00:23:27.230 --> 00:23:33.614]  Well, they know if you go in and tell everybody, go home for several years and don't go to work, that's going to kill all the real estate.
[00:23:33.614 --> 00:23:39.378]  And they know if you let crime run rampant, let them rob all the stores, all the criminals, it's going to get worse and worse and worse and worse and worse.
[00:23:39.378 --> 00:23:50.565]  With Black Lives Matter, Soros, UN, State Department funded, burning down billions of dollars of, in many cases, even government project buildings.
[00:23:51.991 --> 00:23:59.814]  This is meant to bring down society, and then the globalists will bring in tyranny later, and then they will absolutely enslave all of us.
[00:23:59.814 --> 00:24:13.480]  And they even admit in the San Francisco Chronicle, oh, they're 40% empty, their business, real estate, all those big high-rises, and especially the stuff on the street, it's all empty in many areas.
[00:24:13.480 --> 00:24:15.700]  It's more like 50% in Chicago.
[00:24:15.700 --> 00:24:16.521]  What's their answer?
[00:24:16.521 --> 00:24:18.502]  60% in Detroit.
[00:24:18.502 --> 00:24:19.182]  What's their answer?
[00:24:20.619 --> 00:24:36.982]  Oh, everybody will get universal basic income and part of the welfare will go, in the government check, to pay to convert these business buildings, these business high-rise business centers, into, quote, affordable housing.
[00:24:36.982 --> 00:24:43.603]  And then there'll be all the crime and controls, now you've got to have your digital passport and your face scan and drones, and now you're in your prison city.
[00:24:43.603 --> 00:24:45.024]  And they admit that's the plan.
[00:24:45.024 --> 00:24:46.504]  That's why, whether you're in France,
[00:24:47.441 --> 00:24:52.142]  Or whether you're in the Netherlands or whether you're in London, England, it's the same plan.
[00:24:52.142 --> 00:24:53.923]  Collapse society.
[00:24:53.923 --> 00:24:55.343]  Defund the police.
[00:24:55.343 --> 00:24:58.704]  Prosecute people that defend themselves.
[00:24:58.704 --> 00:25:01.965]  Allstate drops California.
[00:25:01.965 --> 00:25:05.566]  Will not write new insurance policies over wildfires.
[00:25:05.566 --> 00:25:10.447]  Joining more than 50 other insurance companies saying it's uninsurable.
[00:25:10.447 --> 00:25:12.928]  That's when you're in a failed society.
[00:25:12.928 --> 00:25:15.829]  Allstate will insure you in Mexico, in Guatemala,
[00:25:17.210 --> 00:25:26.857]  But they will not insure you in Venezuela or North Korea or Somalia.
[00:25:26.857 --> 00:25:28.639]  And you look at them and go, oh, they're mismanaging.
[00:25:28.639 --> 00:25:30.940]  No, they know exactly what they're doing.
[00:25:30.940 --> 00:25:33.342]  Command destruction.
[00:25:33.342 --> 00:25:34.163]  Here's another one.
[00:25:34.163 --> 00:25:38.306]  America Today, a Starbucks where you can't sit, a Walgreens where you can't shop.
[00:25:39.229 --> 00:25:52.518]  You have to come in, you can't sit down, you have to go to the window, where everything is locked up in the store, and you go to a kiosk, and then a robot goes, and it goes on conveyor belts, is what they're building in many places, on the ceiling, and comes to you.
