[00:00:00.149 --> 00:00:01.549]  EANS.
[00:04:38.900 --> 00:04:42.383]  I'm just talking about this bizarre phenomenon.
[00:04:42.383 --> 00:04:44.064]  And why is it getting worse and worse?
[00:04:44.064 --> 00:04:46.506]  What's really behind it?
[00:04:46.506 --> 00:04:47.607]  All right.
[00:04:47.607 --> 00:04:53.591]  Huge transmission lined up for you today.
[00:04:53.591 --> 00:04:59.636]  I always say I'm going to do this, and then I never really spend enough time on it, but I will today.
[00:04:59.636 --> 00:05:01.958]  I will today.
[00:05:01.958 --> 00:05:04.560]  And that is the Globalist Master Plan.
[00:05:04.560 --> 00:05:07.382]  But this may take a couple shows to do.
[00:05:08.593 --> 00:05:13.917]  So when we get back, I'm going to break down at the middle of the next hour what I'm going to be covering.
[00:05:13.917 --> 00:05:16.439]  I'm going to cover news until then and take your calls.
[00:05:16.439 --> 00:05:25.086]  But I want to cover the history of the Globalist and the Illuminati, just the basics, and then bring it up to about 1940.
[00:05:25.086 --> 00:05:28.930]  And then later this week I'll go from 1940 up to 2007.
[00:05:38.749 --> 00:05:44.574]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:05:44.574 --> 00:05:52.221]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:52.907 --> 00:06:00.350]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:06:00.350 --> 00:06:12.094]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:12.094 --> 00:06:16.056]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:16.056 --> 00:06:18.316]  It's an anthology of government crimes.
[00:06:18.316 --> 00:06:22.158]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:22.758 --> 00:06:29.745]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:35.592 --> 00:06:36.512]  Terrorism.
[00:06:36.512 --> 00:06:37.373]  Terrorism.
[00:06:37.373 --> 00:06:43.694]  Chemical attacks, dirty bombs, fallout, biological attack, anthrax, and to top it all off, duct tape and plastic.
[00:06:43.694 --> 00:06:45.535]  Alarming words for our time.
[00:06:45.535 --> 00:06:48.396]  But how do you protect your family during such a crisis?
[00:06:48.396 --> 00:07:03.000]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:07:03.000 --> 00:07:03.480]  government.
[00:07:03.480 --> 00:07:05.281]  Anyone can follow the simple instructions.
[00:07:05.621 --> 00:07:11.703]  This is presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[00:07:11.703 --> 00:07:16.465]  If you're not the type who waits until it's too late, then you need the video Sheltering in Place.
[00:07:16.465 --> 00:07:22.126]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[00:07:22.126 --> 00:07:23.827]  And tell them Alex Jones sent you at 888-803-4438.
[00:07:23.827 --> 00:07:25.868]  Or order on the web at murkywater.com.
[00:07:35.473 --> 00:07:39.658]  I found this company online and they have this really unique variety of salt wellness products.
[00:07:39.658 --> 00:07:43.483]  I read some of the articles and ended up ordering this beautiful salt lamp.
[00:07:43.483 --> 00:07:47.868]  According to the company, they said that the salt crystal lamps gently purify indoor air.
[00:07:47.868 --> 00:07:49.030]  I was so amazed.
[00:07:49.030 --> 00:07:52.074]  I put it in the baby's room and it made a perfect nightlight.
[00:07:52.074 --> 00:07:53.936]  Both my husband and I could tell the difference.
[00:07:54.316 --> 00:07:59.982]  SoleilWellness.com is a unique company that offers salt wellness products from around the world.
[00:07:59.982 --> 00:08:06.167]  So, I went back to the site and ordered their Soleil Simple Natural Cleaning Products, also made with Himalayan salt.
[00:08:06.167 --> 00:08:08.149]  I figured it would clean really well.
[00:08:08.149 --> 00:08:11.533]  The natural cleaning products worked wonderfully and there was no scent.
[00:08:11.533 --> 00:08:15.697]  This company has so many products my whole family can enjoy and feel better with.
[00:08:15.697 --> 00:08:17.158]  Plus, the service was great.
[00:08:17.498 --> 00:08:22.663]  If you're interested in natural homeopathic time-tested remedies, visit SoleilWellness.com.
[00:08:22.663 --> 00:08:25.986]  That's S-O-L-A-Y Wellness dot com.
[00:08:25.986 --> 00:08:26.466]  Or call 312-224-2710.
[00:08:26.466 --> 00:08:26.506]  312-224-2710.
[00:08:39.907 --> 00:08:41.228]  Big Brother.
[00:08:41.228 --> 00:08:42.988]  Mainstream media.
[00:08:42.988 --> 00:08:44.749]  Government cover-ups.
[00:08:44.749 --> 00:08:46.330]  You want answers?
[00:08:46.330 --> 00:08:47.910]  Well, so does he.
[00:08:47.910 --> 00:08:52.072]  He's Alex Jones on the GCN Radio Network.
[00:08:52.072 --> 00:08:56.214]  And now, live from Austin, Texas, Alex Jones.
[00:09:10.220 --> 00:09:15.963]  It is great to be back after a well-deserved week-long vacation with my family.
[00:09:15.963 --> 00:09:16.543]  I'm here.
[00:09:16.543 --> 00:09:20.004]  It is the 22nd day of January 2007.
[00:09:20.004 --> 00:09:25.907]  I did my syndicated show that I now do on Sunday nights as well from 4 to 6 p.m.
[00:09:25.907 --> 00:09:30.169]  So we are back in the saddle and it is good to be here with you.
[00:09:30.169 --> 00:09:36.592]  Just a side note, the Motor City madman Ted Nugent just said, if you don't speak English, you need to get out of America.
[00:09:38.257 --> 00:09:41.660]  And now they're trying to call him a Nazi and a demon and go after him.
[00:09:41.660 --> 00:09:48.766]  There's also a report where the ADL is calling basically all traditional Catholics Nazis.
[00:09:48.766 --> 00:09:51.549]  And it looks like we're going to have Ted Nugent on sometime this week.
[00:09:51.549 --> 00:09:53.491]  We've interviewed him several times in the past.
[00:09:53.491 --> 00:09:58.275]  This just illustrates the new political correctness where
[00:09:59.332 --> 00:10:05.197]  The most mild of pro-U.S.
[00:10:05.197 --> 00:10:10.161]  sovereignty statements are construed as Nazi.
[00:10:11.690 --> 00:10:16.372]  Meanwhile, these so-called minority groups can say and do whatever they want.
[00:10:16.372 --> 00:10:19.433]  Black professors saying all whites should be killed.
[00:10:19.433 --> 00:10:23.255]  White professors saying 90% of everybody should die.
[00:10:23.255 --> 00:10:30.618]  Hispanic Chicanos, you know, head at UT Arlington saying all whites need to die and we have a tape of it.
[00:10:30.618 --> 00:10:32.539]  Oh, that's okay!
[00:10:32.539 --> 00:10:34.340]  But Ted Nugent
[00:10:35.197 --> 00:10:39.138]  Gets up and says, this is America, you should speak English or get out.
[00:10:39.138 --> 00:10:41.779]  They'll tell you the same thing in Germany or Mexico.
[00:10:41.779 --> 00:10:44.260]  Speak Deutsch, speak Spanish or get out.
[00:10:44.260 --> 00:10:47.200]  And oh my gosh, it's just terrible and it's horrible.
[00:10:47.200 --> 00:10:53.422]  I'm kind of digressing here at the start of the show, but that's something I was working on during the last three-minute break.
[00:10:53.422 --> 00:10:55.923]  We multitask here, so it was on my mind.
[00:10:55.923 --> 00:10:57.803]  I thought I would share it with you again.
[00:10:57.803 --> 00:11:00.704]  Hutton Gibson hadn't been on the radio in about two and a half years.
[00:11:00.704 --> 00:11:03.085]  He'll be coming back
[00:11:03.485 --> 00:11:10.412]  Tomorrow, here in the second hour, we'll talk about a bunch of really important and incendiary issues.
[00:11:10.412 --> 00:11:16.117]  We really look forward to it, and very thankfully chose this broadcast to go public again.
[00:11:16.117 --> 00:11:20.502]  That is, of course, the father of Mel Gibson.
[00:11:20.502 --> 00:11:25.086]  In the meantime, let me give you some of the news that's here on the plate in front of me today.
[00:11:27.635 --> 00:11:28.076]  U.S.
[00:11:28.076 --> 00:11:30.039]  death toll is 27 over the weekend.
[00:11:30.039 --> 00:11:33.423]  24 died on Saturday, and another 3 died on Sunday.
[00:11:39.324 --> 00:11:43.005]  But of course, that's troops that died there on the spot or in Iraq.
[00:11:43.005 --> 00:11:50.386]  If you die in a C-130 being flown to Rammstein Air Base, a medical center in Germany, it is not counted.
[00:11:50.386 --> 00:11:54.107]  Or if you die a month later in the U.S., it is not counted.
[00:11:54.107 --> 00:12:00.608]  Or if you die two months later in Germany with your arms and legs blown off of a deadly staph infection, it is not counted.
[00:12:00.608 --> 00:12:04.089]  Doesn't go on your tombstone that you died from injuries suffered in combat.
[00:12:05.658 --> 00:12:09.180]  The real number is close to 11,000 U.S.
[00:12:09.180 --> 00:12:12.901]  troops that have died in Afghanistan and Iraq since 2001.
[00:12:12.901 --> 00:12:16.943]  11,000 and rapidly climbing, the media will tell you 3,100.
[00:12:24.941 --> 00:12:28.062]  So we'll go over that report for you.
[00:12:28.062 --> 00:12:31.804]  Also, speaking of the troops, Wired Magazine set to report U.S.
[00:12:31.804 --> 00:12:39.827]  unwittingly evolved super pathogen in Iraq in combat hospitals now spreading into Europe.
[00:12:39.827 --> 00:12:50.031]  Because they've been using experimental drugs on the troops, and lo and behold, super staff flesh-eating bacteria spreading rapidly.
[00:12:51.215 --> 00:12:54.017]  They first tried to say it was indigenous to Iraq.
[00:12:54.017 --> 00:12:55.679]  That's now been proven to be a fraud.
[00:12:55.679 --> 00:12:58.461]  Another report here out of the Courier Mail.
[00:12:58.461 --> 00:13:02.464]  Cell phones as harmful as cigarettes.
[00:13:02.464 --> 00:13:12.512]  But just keep on using and keep on drinking your fluoride water, your fluoride toothpaste, and keep taking your mercury-laced vaccines, because, you know, the news says it's good for you.
[00:13:12.512 --> 00:13:14.534]  They really do say it's good for you.
[00:13:14.534 --> 00:13:20.699]  You know, I would tell you, the scientific reports say it's deadly, but, you know, I'm an extremist saying mercury's bad.
[00:13:21.710 --> 00:13:23.311]  Hillary's running for the White House.
[00:13:23.311 --> 00:13:26.092]  She's got Rupert Murdoch and Fox News full support.
[00:13:26.092 --> 00:13:29.814]  And conservatives, I'm sure, will be voting for her en masse, loving her.
[00:13:29.814 --> 00:13:33.656]  Handing their guns in with wanton abandon.
[00:13:33.656 --> 00:13:36.057]  Calling me a liberal because I'm against it.
[00:13:36.057 --> 00:13:39.499]  New Mexico governor enters White House race.
[00:13:39.499 --> 00:13:44.001]  Governor Bill Richardson is being hailed as the first Hispanic to run for president.
[00:13:44.001 --> 00:13:45.862]  Total smoke and mirrors.
[00:13:45.862 --> 00:13:47.143]  Again, everything's a gimmick.
[00:13:47.143 --> 00:13:48.904]  Nancy Pelosi, Hillary Richardson.
[00:13:48.904 --> 00:13:51.085]  I don't care if our next president was Mexican.
[00:13:52.060 --> 00:13:58.083]  I'd love it if they were pro-gun, pro-U.S., pro-sovereignty, pro-family, anti-New World Order.
[00:13:58.083 --> 00:13:59.643]  I'd be out campaigning.
[00:13:59.643 --> 00:14:04.646]  I wouldn't care if they were Inuit, Native American from Alaska.
[00:14:04.646 --> 00:14:06.506]  I wouldn't care if they were black.
[00:14:06.506 --> 00:14:09.748]  You know, black is Stygian night.
[00:14:09.748 --> 00:14:11.949]  I'd go campaign for them in ten seconds!
[00:14:13.149 --> 00:14:13.849]  Give me a break.
[00:14:13.849 --> 00:14:15.450]  I'm going to talk about that later.
[00:14:15.450 --> 00:14:15.570]  3,200 U.S.
[00:14:15.570 --> 00:14:18.092]  troops arrive in Baghdad as violence rages on.
[00:14:33.869 --> 00:14:37.050]  Bloggers who criticize government may face prison time.
[00:14:37.050 --> 00:14:38.171]  This is real.
[00:14:38.171 --> 00:14:41.072]  We have the bill here in front of me, S-1.
[00:14:41.072 --> 00:14:42.813]  This is deadly serious.
[00:14:42.813 --> 00:14:51.297]  Also, the Associated Press reporting, New York Court, FBI might have violated First Amendment in effort to take down conspiracy film.
[00:14:51.297 --> 00:15:03.302]  I remember in 2000, the report in the New York Daily News, and I remember seeing the clip online, but they kept taking it down wherever it was at.
[00:15:04.506 --> 00:15:14.431]  And it was this narrator who was posing as a special forces commander, showing different sites in New York, talking about plans for martial law.
[00:15:14.431 --> 00:15:17.413]  Now, I've been to real urban warfare drills, I've covered real U.S.
[00:15:17.413 --> 00:15:20.995]  government documents that were declassified, saying just that.
[00:15:20.995 --> 00:15:22.476]  Preparations for martial law.
[00:15:22.476 --> 00:15:24.797]  I mean, that's been declassified a long time ago.
[00:15:24.797 --> 00:15:26.638]  That came out in 86.
[00:15:26.638 --> 00:15:32.441]  And then they admitted that the tape was just a fictional, you know, kind of science fiction piece.
[00:15:32.441 --> 00:15:33.762]  FBI went and shut down
[00:15:34.517 --> 00:15:37.338]  The individual intimidated him into shutting down.
[00:15:37.338 --> 00:15:40.359]  I mean, that's how they operate.
[00:15:40.359 --> 00:15:43.921]  And now, of course, the courts are ruling that you can't do that.
[00:15:43.921 --> 00:15:46.882]  You can't go around shutting things like that down.
[00:15:46.882 --> 00:15:52.064]  Coming up at the bottom of the next hour, I'll probably spend an hour on it.
[00:15:52.064 --> 00:15:55.945]  I've got a bunch of notes here I wrote over the weekend.
[00:15:55.945 --> 00:16:03.128]  I always say that I'm going to go on air and discuss the New World Order Master Plan.
[00:16:04.432 --> 00:16:10.413]  And I always am discussing bits and pieces of it, but it's such a big thing, as George Bush Jr.
[00:16:10.413 --> 00:16:18.714]  said, such a big idea, that it's hard to properly address it.
[00:16:18.714 --> 00:16:23.195]  It's hard to spend the time to go over all the nuances.
[00:16:23.195 --> 00:16:29.916]  It's hard for me to even grasp all of it myself, much less articulate it.
[00:16:29.916 --> 00:16:33.537]  And all its different programs that nexus in and tie in together.
[00:16:34.611 --> 00:16:39.633]  In this tapestry of dehumanization and control.
[00:16:39.633 --> 00:16:41.594]  A control freak wonderland.
[00:16:41.594 --> 00:16:46.976]  But I'm going to attempt to do that, at least the first part of it.
[00:16:46.976 --> 00:16:52.338]  I want to go over some basics of the globalist history, where they spring from, how they operate.
[00:16:52.338 --> 00:16:54.319]  Then I want to lead it up to
[00:16:55.871 --> 00:17:15.159]  The last big wave of New World Order futurists, or projectors, people that projected forward and tried to come up with strategia of the next phase of globalist consolidation and expansion.
[00:17:15.159 --> 00:17:17.680]  And that will lead us up to World War II.
[00:17:17.680 --> 00:17:23.082]  So I'm going to attempt to spend an hour, starting at the bottom of the next hour,
[00:17:24.033 --> 00:17:25.534]  Please get your recorders ready.
[00:17:25.534 --> 00:17:28.656]  Please tune in.
[00:17:28.656 --> 00:17:30.438]  Please email your email groups.
[00:17:30.438 --> 00:17:31.518]  Go on your MySpace.
[00:17:31.518 --> 00:17:36.322]  Go on your message boards because I want people to hear this.
[00:17:36.322 --> 00:17:44.988]  Again, my frustration is there's so many areas I want to cover and so many proofs that I want to detail and I kind of go down rabbit trails.
[00:17:44.988 --> 00:17:53.574]  I'm going to try to just give it to you in general basic terms and focus in on a few key individuals in programs and movements.
[00:17:54.660 --> 00:17:56.422]  So, that is coming up.
[00:17:56.422 --> 00:17:57.142]  Of course, H.G.
[00:17:57.142 --> 00:18:00.165]  Wells is central to a lot of this.
[00:18:00.165 --> 00:18:08.011]  We have a clip we're going to be playing from a film, Things to Come, that I had seen many years ago and forgotten about.
[00:18:08.011 --> 00:18:21.842]  And then this weekend, I got back Saturday, I was perusing YouTube and came across it, a clip from it, and it just spurred me to remember a lot of lines of thinking and analysis I'd done
[00:18:22.603 --> 00:18:37.454]  Just in private reflections that I had not properly articulated here to the mass and so that'll be coming up in one hour and 15 minutes roughly.
[00:18:37.454 --> 00:18:43.579]  The toll-free number to join us, we'll have open phones in this first hour and to the bottom of the next hour 1-800-259-9231 1-800-259-9231 we'll get you up and on the air
[00:18:52.023 --> 00:19:06.903]  The websites are www.infowars.com, www.prisonplanet.com, www.prisonplanet.tv, www.jonesreport.com, www.infowars.net, and of course www.martiallaw911.info.
[00:19:09.813 --> 00:19:11.354]  And several others.
[00:19:11.354 --> 00:19:17.875]  And each site has its own independent original information and shares a lot of other information with the other sites.
[00:19:17.875 --> 00:19:35.919]  That is our program of redundancy and also diversity in our information warfare capacity that we have been attempting to machine and improve and expand and learn as we go.
[00:19:35.919 --> 00:19:37.920]  We believe in small and fast
[00:19:39.128 --> 00:19:51.859]  And focused while at the same time wide spectrum info war using our most powerful weapon the truth to target enemy false information basically matrix
[00:19:53.107 --> 00:19:53.688]  We're good to go.
[00:20:10.791 --> 00:20:13.413]  Just everything is a war against individuality.
[00:20:13.413 --> 00:20:17.076]  Everything is pumping us into a mass hive mind.
[00:20:17.076 --> 00:20:23.560]  All right, I'll get into Hillary, get into the war on the other side, then we'll go to your calls and a lot more.
[00:20:23.560 --> 00:20:26.102]  I'm Alex Jones, your host.
[00:20:26.102 --> 00:20:29.345]  Back in the saddle, back in the cockpit.
[00:20:29.345 --> 00:20:30.626]  Strap yourselves in.
[00:20:30.626 --> 00:20:32.227]  I am fired up.
[00:20:32.227 --> 00:20:34.569]  We're going in, through, and beyond.
[00:20:36.189 --> 00:20:39.791]  Do you know where the 78 potentially active volcanoes in the U.S.
[00:20:39.791 --> 00:20:40.512]  are located?
[00:20:40.512 --> 00:20:44.114]  And do you know the locations of the top 300 prime terrorist targets?
[00:20:44.114 --> 00:20:49.118]  You can find these answers and more in the new interactive CD book, Fruitin' Places USA.
[00:20:49.118 --> 00:20:54.101]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[00:20:54.361 --> 00:21:00.663]  Brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[00:21:00.663 --> 00:21:15.067]  Complete with three gigabytes of detailed information on each of 3,000-plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[00:21:15.347 --> 00:21:20.270]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[00:21:20.270 --> 00:21:25.732]  Get Prudent Places USA for only $49 plus shipping by calling New Millennium at 888-803-4438.
[00:21:25.732 --> 00:21:26.153]  That's 888-803-4438.
[00:21:26.153 --> 00:21:27.734]  To order on the web or at berkeywater.com.
[00:21:41.705 --> 00:21:47.847]  One of America's greatest patriots, Patrick Henry, said, give me liberty or give me death.
[00:21:47.847 --> 00:22:01.870]  It was Patrick Henry who forced the Bill of Rights to be added to the Constitution, your unalienable or unchangeable right to religious freedom, freedom of the press, freedom of speech, or the right to own a gun.
[00:22:01.870 --> 00:22:07.152]  There are certain movements underway to strip you of these unalienable, unchangeable rights today.
[00:22:08.041 --> 00:22:16.084]  To help you grasp the loss of these freedoms, we'll send you absolutely free a one-year subscription to News Watch Magazine.
[00:22:16.084 --> 00:22:16.644]  Just call 1-800-516-8736.
[00:22:16.644 --> 00:22:16.984]  That's 1-800-516-8736.
[00:22:16.984 --> 00:22:18.965]  It's absolutely free.
[00:22:18.965 --> 00:22:22.766]  Operators are standing by to assist you.
[00:22:22.766 --> 00:22:23.367]  Just call right now.
[00:22:36.630 --> 00:22:39.293]  Do you know the truth about cancer treatments?
[00:22:39.293 --> 00:22:48.782]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:22:48.782 --> 00:22:55.869]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:22:56.599 --> 00:23:02.584]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:23:02.584 --> 00:23:14.174]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:23:14.174 --> 00:23:16.736]  Laser technology at its best.
[00:23:16.736 --> 00:23:18.158]  For more information, call 702-953-0267.
[00:23:22.701 --> 00:23:25.423]  Or, visit www.lasemedinc.com.
[00:23:25.423 --> 00:23:25.744]  Call 702-953-0267.
[00:23:35.640 --> 00:23:39.762]  The United States seems to be celebrating over its triumph of reducing government debt.
[00:23:39.762 --> 00:23:52.447]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[00:23:52.447 --> 00:23:52.907]  The U.S.
[00:23:52.907 --> 00:23:58.869]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[00:23:58.869 --> 00:24:01.110]  In the year 2000, debt growth collapsed to only 4.5%.
[00:24:02.951 --> 00:24:04.051]  It's bad enough that the U.S.
[00:24:04.051 --> 00:24:07.012]  citizens is bound by debt in order to have commerce.
[00:24:07.012 --> 00:24:13.454]  However, shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[00:24:13.454 --> 00:24:16.894]  Before you make your next investment decision, get the cold hard facts.
[00:24:16.894 --> 00:24:23.216]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[00:24:23.796 --> 00:24:27.739]  You must understand how recession and depression are driven by outstanding debt.
[00:24:27.739 --> 00:24:27.939]  Call 1-800-686-2237.
[00:24:27.939 --> 00:24:28.179]  That's 1-800-686-2237.
[00:24:52.299 --> 00:24:52.960]  Yes, sir.
[00:25:20.987 --> 00:25:22.548]  That's right.
[00:25:22.548 --> 00:25:38.196]  The New World Order thinks they're going to defeat humanity.
[00:25:38.196 --> 00:25:45.179]  They think they control us.
[00:25:45.179 --> 00:25:47.180]  They think they can engineer us.
[00:25:51.309 --> 00:25:53.110]  We've got them in a stranglehold.
[00:25:53.110 --> 00:25:58.213]  We've got a tiger by the tail.
[00:25:58.213 --> 00:25:59.873]  Welcome back.
[00:25:59.873 --> 00:26:01.794]  Okay.
[00:26:01.794 --> 00:26:09.338]  You know, if I just got up here and bashed Hillary Clinton as nothing but a sniveling pawn, a minion, a puppet, a marionette, it would be a diversion.
[00:26:09.338 --> 00:26:18.783]  But if we break down how she's a puppet, it becomes extremely informative and educational as we chart the Global Crime Syndicate's activities.
[00:26:18.783 --> 00:26:20.844]  Hillary Clinton is a New World Order minion.
[00:26:22.825 --> 00:26:25.066]  She's never really even been married to Bill Clinton.
[00:26:25.066 --> 00:26:26.507]  It was a political marriage.
[00:26:26.507 --> 00:26:28.448]  They've both been intelligence officers.
[00:26:28.448 --> 00:26:33.150]  They've both been involved in so many crimes, it's hard to even chronicle them all.
[00:26:33.150 --> 00:26:48.358]  You as listeners to talk radio and alternative talk radio certainly know her crimes are legion against the Republic, against the country, and the many petty crimes like being paid off with cattle futures and Rose Law Firm scams and Vince Foster killings.
[00:26:48.358 --> 00:26:51.840]  It literally goes on for hours, if we tried to cover it all.
[00:26:52.757 --> 00:27:05.425]  But the key is, four years ago we began reporting that she was having weekly meetings with Rupert Murdoch, and that Rupert Murdoch was even behind her senatorial run and one of her biggest supporters.
[00:27:05.425 --> 00:27:12.769]  And I noticed Fox News started positioning itself a few years ago in a neutral posture concerning Hillary Clinton with its viewers.
[00:27:13.582 --> 00:27:20.947]  Roger Ailes, the big developer of Fox News itself, the head of Fox News, now along with Viet Dinh, the author of the Patriot Act, and others.
[00:27:20.947 --> 00:27:24.169]  It's basically a government operation.
