[00:00.000 --> 00:02.320]  Visit survivalistseeds.com.
[10:47.480 --> 10:52.200]  I mean I'm not going to sit here and say it's a good thing.
[10:52.200 --> 10:53.200]  I'm tired of it.
[10:53.200 --> 10:56.960]  I grew up in Rockwall, Texas knowing the police dealt the drugs and sure enough later the
[10:56.960 --> 11:02.840]  sheriff Jack McCorder went to prison for it.
[11:02.840 --> 11:07.440]  I mean I'm not going to live in La La Land, I'm going to live in the real world.
[11:07.440 --> 11:11.280]  I'm not against a cop living in his house with his wife and children or husband and
[11:11.280 --> 11:16.720]  children living their life, you know outright in tickets or responding to burglaries or
[11:16.720 --> 11:21.040]  house alarms but you know I've had Austin cops come up and tell me we're going to arrest
[11:21.040 --> 11:24.080]  you if you don't stop protesting on the street corner and I've had to say well I'm going
[11:24.080 --> 11:28.320]  to sue you then and make them back off and I've seen them arrest people in wheelchairs
[11:28.320 --> 11:33.920]  protesting out front of the governor's mansion, you know for handicapped rights or whatever.
[11:33.920 --> 11:39.040]  You know I'm an American, I'm a human being, I've got rights, I've got a soul, I have value
[11:39.040 --> 11:43.440]  and I don't want to fight with you mindlessly but I know the government itself is corrupt
[11:43.440 --> 11:47.200]  and evil, state, federal, international.
[11:47.200 --> 11:52.280]  I mean evidenced by this banker takeover known as the bailout, over a trillion bucks has already
[11:52.280 --> 11:57.400]  been handed out directly to banks as being used as bonuses and to buy banks and other
[11:57.400 --> 12:04.560]  financial institutions, banks that are in good shape, there's a major Texas bank based
[12:04.560 --> 12:09.720]  in Houston that's going to be announcing it was bought Monday, I'll give you a hint it
[12:09.720 --> 12:15.440]  has a founding father in its name and that bank is in really good shape, I have to know
[12:15.440 --> 12:21.520]  well I'll just say I know some of the governors of the bank and the point is that's one of
[12:21.520 --> 12:26.720]  the healthiest banks in Texas so it's being bought with the bailout money by one of the
[12:26.720 --> 12:29.760]  big four international banks.
[12:29.760 --> 12:34.280]  Now now let me explain something, you're going to pay for that money and tax money and you're
[12:34.280 --> 12:41.920]  going to pay through inflation, now that is a heist, this is a robbery, this is a crime
[12:41.920 --> 12:46.280]  going on and it tells me if government will do things like this which our government's
[12:46.280 --> 12:49.600]  never done anything like this, I mean they've done a lot of bad stuff but they've never
[12:49.600 --> 12:54.320]  grabbed a trillion bucks and publicly handed it over to the private bankers who gave them
[12:54.320 --> 12:59.040]  campaign contributions while telling the public it was to get the economy going again and
[12:59.040 --> 13:08.280]  giving no money into the economy, I mean that's a big deal, by the way Barack Obama, he is
[13:08.280 --> 13:13.720]  appointing and he set up a new commission on the economy of the very insiders that have
[13:13.720 --> 13:20.080]  engineered what we're seeing right now, not only have the banks cut off credit and currency
[13:20.080 --> 13:25.320]  and liquidity to the population in Main Street and to the auto makers and everybody else,
[13:25.320 --> 13:29.160]  they are cutting it off in their own documents or public, we've posted them at infowars.com
[13:29.160 --> 13:34.600]  and prismplanet.com to cause an implosion in the economy so they can buy everything
[13:34.600 --> 13:40.720]  up that much cheaper, but that isn't enough, they then panic you and say give us an limited
[13:40.720 --> 13:44.520]  governmental power and give us trillions of dollars or there'll be a depression a month
[13:44.520 --> 13:51.200]  ago, we've got to have it today and as of a month plus not one cent's been given to
[13:51.200 --> 13:58.200]  any of the quote banks in trouble, it's not been used to quote freeze up mortgages, the
[13:58.200 --> 14:02.880]  truth is that was all a red herring as I told you almost three years ago, long before any
[14:02.880 --> 14:07.720]  discussion of subprime mortgages was in the news I said they're going to stage the implosion
[14:07.720 --> 14:15.680]  of the economy starting with the subprime mortgages, the adjustable rate mortgages,
[14:15.680 --> 14:20.800]  it's on record, it's in articles we wrote, it's in end game, film that's been out for
[14:20.800 --> 14:27.720]  year and a half and you saw what happened because we had spies inside an elite meeting
[14:27.720 --> 14:33.400]  in Canada, Bilderberg, we actually fly on airplanes and get arrested and interrogated
[14:33.400 --> 14:37.520]  and go through hell to bring you information that of course turns out to be absolutely
[14:37.520 --> 14:43.080]  accurate, I mean this is the real world, I hope people value what they're hearing here
[14:43.080 --> 14:47.400]  and understand is it a bunch of phony liberal media or a bunch of fake right wing media
[14:47.400 --> 14:53.160]  that's all bought and paid for by the establishment and then they keep you within that small reservation
[14:53.160 --> 14:59.600]  than that limited area of debate and discussion instead of looking at the wider world and
[14:59.600 --> 15:04.000]  information around it, so when we get back what I'm going to do is we're going to talk
[15:04.000 --> 15:09.320]  to Robert and Steve and JD and Jeremy and Mike and John and Juan and many others folks
[15:09.320 --> 15:15.680]  from DC to New Hampshire from Texas to Tennessee and Colorado, we're going to take phone calls
[15:15.680 --> 15:22.440]  and then later in the hour, I'm going to go through Barack Obama, his new chief of staff
[15:22.440 --> 15:29.040]  Rahm Emanuel wrote a book back when he was working for Clinton and in his book he said
[15:29.040 --> 15:32.800]  we want to disarm the American people and we want to have national compulsory service
[15:32.800 --> 15:41.000]  for all and we want to have a national draft again and then Barack Obama has called for
[15:41.000 --> 15:45.400]  a national one million man spy force to spy on you and your family, we played that clip
[15:45.400 --> 15:50.240]  last week and he had all this up on Friday, I covered it on the radio, he had it all up
[15:50.240 --> 16:00.240]  at change.gov, that's his presidential transition website, change.gov and they said mandatory,
[16:00.240 --> 16:02.920]  they're going to mandatory even old people that said they're going to have to work for
[16:02.920 --> 16:08.240]  the government as slaves, guess what, they took it down and some newspapers picked up
[16:08.240 --> 16:14.680]  on it, they took it down so we're going to cover that, hey look, this isn't about Barack
[16:14.680 --> 16:20.440]  Obama or George Bush, don't you dare say I'm a George Bush supporter, I'm against what
[16:20.440 --> 16:24.960]  the puppet Barack Obama is pushing, you got it, I don't like the policies, I'm not into
[16:24.960 --> 16:31.880]  all the Hollywood baloney blitz, I see through it, stay with us, I am so frustrated, I can't
[16:31.880 --> 16:37.240]  seem to remember anything anymore, what, seriously my memory and attention span is terrible,
[16:37.240 --> 16:41.560]  I read something and forget, I forget people's names, I hear all this great information on
[16:41.560 --> 16:46.400]  the radio and I want to tell people but I forget, okay, slow down, poor attention and
[16:46.400 --> 16:51.320]  memory loss is not your fault, factors like fluoride in the water, aluminum and deodorants,
[16:51.320 --> 16:56.120]  genetically modified foods the way the education system taught you, it's all meant to dumb
[16:56.120 --> 17:00.760]  you down, you know, I can remember everything now, even entire books, what how?
[17:00.760 --> 17:06.000]  There is this website called School of Phenomenal Memory, their online course is a real breakthrough
[17:06.000 --> 17:10.440]  in the field of memory improvement, in fact they guarantee that every single person will
[17:10.440 --> 17:15.680]  be able to memorize any type of information including entire books after they complete
[17:15.680 --> 17:22.560]  just 60 lessons and they offer a no questions asked, no time limit, money back guarantee.
[17:22.560 --> 17:24.280]  Wow, what's the website?
[17:24.280 --> 17:31.600]  Now don't forget, it's pmemory.net, the letter pmemory.net Honey, have you seen the remote?
[17:31.600 --> 17:33.920]  Sweetie, have you seen my car keys?
[17:33.920 --> 17:36.200]  I can't find my wallet.
[17:36.200 --> 17:37.200]  Sound familiar?
[17:37.200 --> 17:40.320]  Why not save time looking for lost things and lose the stress instead?
[17:40.320 --> 17:46.360]  Introducing our patented Find One Find All Keyfinders or FOFAXD for short, once a FOFA
[17:46.360 --> 17:50.760]  keyfinder is attached to each of those easy to lose things, it can find and be found by
[17:50.760 --> 17:55.440]  all the rest, use your wallet to find your keys, your keys to find the remote control
[17:55.440 --> 17:59.800]  or any of them to find an uncharged or muted cell phone, the possibilities are endless,
[17:59.800 --> 18:04.240]  FOFA goes through walls, cushions and laundry baskets up to 30 feet and projects a clear
[18:04.240 --> 18:10.160]  90 plus decibel beep, got the remote, oh my keys, there's my wallet.
[18:10.160 --> 18:16.160]  Order your FOFA today with batteries included along with a 30 day money back guarantee by
[18:16.160 --> 18:27.480]  calling Find One Find All at 866-245-8670, that's 866-245-8670 or buy online at FindOneFindAll.com,
[18:27.480 --> 18:30.480]  that's FindOneFindAll.com.
[18:30.480 --> 18:34.120]  Hello Ted Anderson, listeners of the network are familiar with the Federal Reserve note
[18:34.120 --> 18:38.680]  and understand the risks of deficit spending, therefore with catastrophic events it comes
[18:38.680 --> 18:43.040]  as no surprise that some banks have currently placed limits on the amount of cash depositors
[18:43.040 --> 18:47.360]  can remove from their accounts, a fractional reserve system means only a small portion
[18:47.360 --> 18:51.560]  of your deposit is held in reserve for immediate withdrawal, deficit spending will skyrocket
[18:51.560 --> 18:55.920]  through FDIC if the government is forced to ensure deposits during a bank run followed
[18:55.920 --> 19:00.520]  by a depressed economy, a current effort is underway by the Fed along with other central
[19:00.520 --> 19:04.960]  banks to increase liquidity for depositors, however an increase in money supply without
[19:04.960 --> 19:09.400]  equal expansion and productivity can cause inflation, in order to achieve strength and
[19:09.400 --> 19:14.560]  stability I recommend a conservative portion of all investments to be calmly repositioned
[19:14.560 --> 19:19.680]  into gold and silver, while paper investments currently have been driven by debt, gold on
[19:19.680 --> 19:26.560]  its own has held value for over 6,000 years, for more information call 1-800-686-2237,
[19:26.560 --> 19:35.160]  that's 1-800-686-2237.
[19:35.160 --> 19:41.680]  What will you do when it happens, when you turn to your loved ones, will you see starvation
[19:41.680 --> 19:49.360]  and fear or confidence because you knew what was coming and got prepared with patriotfood.com,
[19:49.360 --> 19:55.520]  the signs are everywhere, you have no excuses, your indifference today will determine the
[19:55.520 --> 20:01.840]  magnitude of your suffering tomorrow, what good is it to know the truth about any conspiracy
[20:01.840 --> 20:08.760]  unless you take action, patriotfood.com has 100 pounds of dry food supplies for just $3
[20:08.760 --> 20:15.360]  a pound, at patriotfood.com you'll get 20 survival foods, varieties like dried tomatoes,
[20:15.360 --> 20:21.240]  wild rice blend, beef base, granola, vegetable mix and much more, there are just two kinds
[20:21.240 --> 20:33.560]  of people, slave and free, be ready, be free, with patriotfood.com.
[20:33.560 --> 20:38.360]  Are you tired of searching for great talk radio, well search no more, we are the GCN
[20:38.360 --> 20:48.280]  Radio Network.
[20:48.280 --> 20:56.560]  Welcome back folks, thank you for joining us today, I'm going to get into Barack Obama
[20:56.560 --> 21:02.200]  later, you know not what color he is or how his suits hang on his body or how they choreograph
[21:02.200 --> 21:07.720]  his victory speech back on Tuesday night and had really fancy Hollywood boom cameras zooming
[21:07.720 --> 21:12.640]  over the crowd that thought that Jesus Christ had landed.
[21:12.640 --> 21:18.800]  It's that Barack Obama is announcing the exact same agendas of George W. Bush which
[21:18.800 --> 21:22.960]  was the exact same agendas of Bill Clinton which was the exact same agendas of George
[21:22.960 --> 21:28.680]  Herbert Walker Bush, you have to go back that far before you find a president who actually
[21:28.680 --> 21:36.800]  did a few things different like get us out of the United Nations UNESCO program or engage
[21:36.800 --> 21:42.600]  in daytime, I'm not even saying Reagan was good, my point is that you can't eat, I mean
[21:42.600 --> 21:48.880]  the total New World Order since then and a lot of New World Order presidents before that
[21:48.880 --> 21:54.600]  and it's real simple that the multinational corporations own both parties, they put out
[21:54.600 --> 22:03.520]  different PR spin for the public, different flavors of the same junk but see George Bush
[22:03.520 --> 22:08.360]  after seven well almost eight years, seven and three quarter years couldn't carry the
[22:08.360 --> 22:14.440]  New World Order ball down the field, national drafts, police state, surveillance, wars,
[22:14.440 --> 22:24.640]  taxation, regulation control, gun control, disarming the slaves, Barack Obama can and
[22:24.640 --> 22:30.120]  he is and the guy finally, I mean only four or five days, I say finally but that's quite
[22:30.120 --> 22:33.800]  a while, people should have seen it earlier, a lot of even liberal groups are going, wait
[22:33.800 --> 22:37.200]  a minute, now he's saying we're going to stay in Iraq, now he says we're going into Pakistan,
[22:37.200 --> 22:41.600]  now he says we're going to keep spying on the American people without warrants, well
[22:41.600 --> 22:49.880]  wait, now he's saying all down the line being deceptive and of course he was the biggest
[22:49.880 --> 22:58.240]  cheerleader, more than John McCain for the banker takeover bill, the heist, the robbery,
[22:58.240 --> 23:02.920]  didn't matter if 98% of you didn't want it, didn't matter if they were getting a thousand
[23:02.920 --> 23:06.360]  to one phone calls in Congress against it, both parties were for it because they don't
[23:06.360 --> 23:11.320]  work for us, they work for offshore corporations, all right let's go ahead and go to your phone
[23:11.320 --> 23:17.800]  calls, let's go to Juan in New Hampshire first, Juan you're on the air, welcome.
[23:17.800 --> 23:19.520]  Yeah Alex, how you doing?
[23:19.520 --> 23:20.520]  Good.
[23:20.520 --> 23:26.960]  I wanted to tell you, I'll ask you about a problem I'm having, about six years ago when
[23:26.960 --> 23:33.040]  I went to enroll my son in the public school system in New Hampshire, they adamantly told
[23:33.040 --> 23:36.360]  me they wouldn't take him because he didn't have the shots.
[23:36.360 --> 23:39.720]  They're liars, they're criminal liars who lie and say it's the law and it's not because
[23:39.720 --> 23:41.720]  we have a bankrupt criminal government.
[23:41.720 --> 23:42.720]  Exactly.
[23:42.720 --> 23:46.240]  The government exists to steal tax money and give it to private banks, that's it.
[23:46.240 --> 23:50.560]  That's right, now four years go by and all of a sudden we get the tune officer at our
[23:50.560 --> 23:56.800]  house two years ago, now my wife listens to you and she wouldn't open the door, so he
[23:56.800 --> 24:01.760]  came back with the Department of Child and Family Services and everything like that.
[24:01.760 --> 24:06.600]  And let me guess, they didn't have a warrant either, by a judge, they just make it up because
[24:06.600 --> 24:13.640]  they're dirt bag criminals, see they're violating the Fourth Amendment, they're violating everything
[24:13.640 --> 24:14.840]  and they do it.
[24:14.840 --> 24:19.440]  First they lie and say you've got to take shots, then they trigger because your child's
[24:19.440 --> 24:23.200]  not in a government brainwashing camp, you're obviously homeschooling, which is your right,
[24:23.200 --> 24:28.400]  California says it's illegal, then they come without a warrant and violate the Fourth Amendment,
[24:28.400 --> 24:32.760]  all part of the vicious dirt bag criminalness, but we're supposed to fall down and lick their
[24:32.760 --> 24:37.160]  boots and go, oh, because you've got a uniform, go ahead and destroy America, I love you.
[24:37.160 --> 24:38.480]  Okay, so what happened next?
[24:38.480 --> 24:42.160]  All right, that was two years ago, now I call him.
[24:42.160 --> 24:46.680]  What did the Department of Child Kidnapping Services do when they showed up at your house?
