[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[05:11.000 --> 05:19.000]  One of them is a powerful pro digestive enzyme carnivore for being able to break down meat other proteins better.
[05:19.000 --> 05:29.000]  And then the other two is a powerful 50 billion live probiotic culture of the very best strains in fluorolive advanced restoration.
[05:29.000 --> 05:34.000]  And we also have an every day extremely affordable fluorolive everyday maintenance.
[05:34.000 --> 05:44.000]  But all of these are the very cutting edge top of the line probiotics and digestive enzymes at an extremely affordable price.
[05:44.000 --> 05:50.000]  That is my goal here is to bring you the very best at the lowest price.
[05:50.000 --> 06:00.000]  When you purchase it and then for store.com, you know, you are also financing the attack on the globalist and the defense of our republic and freedom worldwide.
[06:00.000 --> 06:25.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[06:25.000 --> 06:37.000]  It's Sunday. Wow. Hard to believe that 2017 has only got a month and 11 days or something left in it.
[06:37.000 --> 06:47.000]  Thank you so much again for joining us as we broadcast worldwide on this live Sunday edition.
[06:47.000 --> 06:56.000]  Let me just give you a snapshot right here at the beginning of the transmission of what we're going to be covering today because the news today is particularly key, particularly vital.
[06:56.000 --> 07:06.000]  If you remember my film that I made called in game blueprint for global enslavement, it was seen more than 80 million times on Google video.
[07:06.000 --> 07:11.000]  They then retired Google video and deleted the video.
[07:11.000 --> 07:16.000]  It's been seen only 10 million times or so on YouTube.
[07:16.000 --> 07:25.000]  And I made the film. It cost me about a half million dollars shot all over the world with our crew at Istanbul, Turkey, Ottawa, Canada, you name it.
[07:25.000 --> 07:29.000]  It's a three and a half hour film total.
[07:29.000 --> 07:31.000]  This has got an hour long addendum.
[07:31.000 --> 07:43.000]  And in the film, I show you quotes and statements by top futurist and scientist across the board saying the decision has been made to establish a world government.
[07:43.000 --> 08:02.000]  And then to carry out the poisoning and dumbing down to the public, then the banning of all religion, but one religion, the worship of AI computers and the worship of world government and the worship of transcending male and female.
[08:02.000 --> 08:04.000]  It's going to be against the law to be male or female.
[08:04.000 --> 08:16.000]  By the way, it's in the news today that if you don't in California, they arrest you if you don't use GZ or whatever these word pronouns are for men that want to be women or women that want to be men, whatever, you got to use their language.
[08:16.000 --> 08:18.000]  You're hateful. We're going to arrest you.
[08:18.000 --> 08:23.000]  Now in Minnesota, they sent the police to a radio station because someone said tranny.
[08:23.000 --> 08:25.000]  It's not a dirty word. It's not illegal.
[08:25.000 --> 08:27.000]  It was a word created by that community.
[08:27.000 --> 08:31.000]  Facebook this year said it was hateful to practice banning whatever words they want.
[08:31.000 --> 08:37.000]  It's tied into Soros. All of it. I'm going to break it down here in just a moment.
[08:37.000 --> 08:42.000]  But this isn't a joke. And if you're tuning into this, you say, this sounds crazy. It is crazy.
[08:42.000 --> 08:52.000]  But if you ever wanted to know what the one world religion world government would look like, I actually went and read what the top futurist at Google.
[08:52.000 --> 09:06.000]  And that's really the NSA and the CIA slash private corporate interfaces and what the people at Microsoft and the folks at the UN and UNESCO said this is their long term transhumanist future plan.
[09:06.000 --> 09:09.000]  And it's it's it's been decided.
[09:09.000 --> 09:24.000]  So you'll notice you see that film from 10 years ago, 2007 word for word it broke in the last week in Wired and the Guardian, the New York Times, breathlessly.
[09:24.000 --> 09:32.000]  Like it's the coolest thing and they're giving you the absolute information that no one else has got.
[09:32.000 --> 09:40.000]  That there's a new religion that top Google executives at others practice where superstition will be outlawed. Don't worry.
[09:40.000 --> 09:47.000]  All those other fake religions, they say are outlawed and these men didn't believe in God. They're atheist, but they're God.
[09:47.000 --> 09:54.000]  They're going to merge with AI. They're going to manage you. And they just came up with this this week.
[09:54.000 --> 10:03.000]  See, they're now at the coming out face. If you're a radio listener, my crew is putting articles on screen word for word.
[10:03.000 --> 10:11.000]  What I told you 10 years ago in end game blueprint for global enslavement.
[10:11.000 --> 10:20.000]  You need to download it. You need to save it because they're starting to purge our stuff across the web and the future you'll tell people you saw it or heard it and they won't believe you.
[10:20.000 --> 10:27.000]  We've got it all. You want to see prophetic? Watch it, but it's not prophetic. They were saying it then, but in white papers.
[10:27.000 --> 10:37.000]  DARPA in 1977 has a plan to at birth put you in like a tank where you power the machines and it's this.
[10:37.000 --> 10:46.000]  Well, that's the matrix. No, that's one plan from DARPA declassified in 2000. They reclassified it in 2001.
[10:46.000 --> 10:51.000]  You're like, that sounds insane. I know. I'm not the one saying it.
[10:51.000 --> 10:55.000]  We'll never fight again, though. And the master controllers will program it. They won't control your soul.
[10:55.000 --> 11:01.000]  You've got a soul, folks. They want to have you be born into a full system so they can totally control you and you never know.
[11:01.000 --> 11:07.000]  Now, here it is. This is the Daily Star. This is the Daily Mail. This is the London Guardian. This is the New York Times.
[11:07.000 --> 11:17.000]  Inside the chilling religion created, inside the chilling religion creating the God robot a billion times smarter than humans.
[11:17.000 --> 11:27.000]  And it goes on to say outlying the beliefs of the new church, the way of the future, the way of the future, outlaws, supernatural powers.
[11:27.000 --> 11:34.000]  Oh, don't worry. That's all outlawed and the other religions claiming everything can be solved through science.
[11:34.000 --> 11:41.000]  Inside the chilling religion creating God robot, close quote, a billion times smarter than humans.
[11:41.000 --> 11:55.000]  And listen to what he says here. Google engineer who has created the first church of AI says he's in the process of raising a robot God that will take charge of humans.
[11:55.000 --> 12:07.000]  And just like Bill Gates, just like Schmidt, all of them, they're all DARPA people, just like Bezos. Look up to Bezos and his dad and the rest of his family, total DARPA front, CIA.
[12:07.000 --> 12:15.000]  It's all declassified. They don't even care. They create it. They test it in laboratories. They roll it out against you.
[12:15.000 --> 12:22.000]  And then they have, oh, he's now no longer with Google. He's setting up this church, though.
[12:22.000 --> 12:29.000]  So they go, oh, it's our young smart engineer. He's going to be cool and trendy. He's going to run it.
[12:29.000 --> 12:37.000]  And they always have the young engineer that goes out and becomes the cool, trendy, young whiz kid of their new tentacle. They shoot out.
[12:37.000 --> 12:44.000]  Bill Gates's dad was army intelligence, had a Planned Parenthood, Cold Springs Harbor, genetic engineering.
[12:44.000 --> 12:48.000]  That's what Bill Gates is into.
[12:48.000 --> 12:55.000]  So go read it for yourself. His name is Anthony Lewandowski.
[12:55.000 --> 13:03.000]  Oh, he's for the self-driving cars in Google Earth. That's what he helped. See, the paving the way for the AI takeover that they control.
[13:03.000 --> 13:10.000]  And see, they see it as they're raising a dragon. They're raising this great powerful thing that's going to love them.
[13:10.000 --> 13:17.000]  And it's going to be a billion times smarter than the smartest person. And it's going to make them a God because they're going to merge with it.
[13:17.000 --> 13:23.000]  What they're building is what they believe they're going to selfishly merge with.
[13:23.000 --> 13:29.000]  And again, notice everything I've told you is now coming true because it was already true.
[13:29.000 --> 13:36.000]  I didn't just suddenly come up with this. I'm telling you what they've been planning.
[13:36.000 --> 13:40.000]  And you can't have your religion. You can't have your normal family.
[13:40.000 --> 13:47.000]  You can't have your culture because they've got a culture they're going to program into you with their super intelligence.
[13:47.000 --> 13:55.000]  And that's them saying it. And the same globalist back dictatorships all over the world.
[13:55.000 --> 14:08.000]  They've got autonomous ships, autonomous tractors. Their job is to bankrupt the farmers and make it impossible for humans to live in a normal agrarian lifestyle.
[14:08.000 --> 14:21.000]  This is total engineering of the economy to be anti-human. And Trump's big crime is he's trying to get back to using social engineering to build a world for humans.
[14:21.000 --> 14:29.000]  And that's why they're so angry because this is their church, but they're just now announcing it in 2017.
[14:29.000 --> 14:41.000]  Ten years after I'd read their documents for at that time for 12 years, I'd been fully awake and was warning you, hey, here they are.
[14:41.000 --> 14:45.000]  These are billionaires. They're serious. They say the future doesn't need you.
[14:45.000 --> 14:55.000]  They're building an artificial intelligence that they believe within a matter of days will take over and exterminate everyone and they're just going to beg it to merge with them.
[14:55.000 --> 15:02.000]  And they even say it may kill us, but we don't care. We're going to do it. It may blow the planet up. We're going to do it.
[15:02.000 --> 15:13.000]  This is in the film. You should want to know about billionaires that meet by the hundreds at lavish resorts, landing in jet helicopters and huge private jets.
[15:13.000 --> 15:20.000]  And then they come out and say, we've made the decision to kill all of you.
[15:20.000 --> 15:27.000]  And we're building a grid that's going to take everything over and we worship this AI God.
[15:27.000 --> 15:37.000]  And you are obsolete and the AI God says you must die. Word for word, what I told you.
[15:37.000 --> 15:47.000]  And again, just like the whole zeitgeist movement and the guy talking in the robot voice with the fake name Peter Joseph, this is the way it is now.
[15:47.000 --> 15:55.000]  You're going to merge with it. We're going to plan your life with computers. It's total freedom. Accept it.
[15:55.000 --> 16:21.000]  Folks, this is it. This is where world government goes.
[16:26.000 --> 16:34.000]  We carefully select pure and simple ingredients to create formulas that are certified USDA made with organic.
[16:34.000 --> 16:39.000]  Our mission is to offer you everyday organic household products to enhance your life.
[16:39.000 --> 16:44.000]  Truly feel the difference by going organic natural without compromising on quality.
[16:44.000 --> 16:51.000]  Feel good about using EmRick's Essentials. Start saving money and stop exposing yourself and your family to toxic ingredients.
[16:51.000 --> 16:57.000]  Visit infowarstore.com and learn more about the new EmRick's Essentials line of organic products.
[16:57.000 --> 17:22.000]  Visit infowarstore.com.
[17:22.000 --> 17:35.000]  We've brought out a lot of amazing products like Survival Shield X2, SuperMail Vitality and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[17:35.000 --> 17:41.000]  This formula is the platinum standard of multivitamin mineral products and this part is most important.
[17:41.000 --> 17:48.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[17:48.000 --> 17:54.000]  That means it's clean, that means it's pure and rest secured, you're finding the tip of the spear in the info war.
[17:54.000 --> 17:59.000]  That's infowarstore.com and vitamin mineral fusion. Take action now before we sell out.
[17:59.000 --> 18:05.000]  Thousands of years ago there was a basic form of chivalry.
[18:05.000 --> 18:13.000]  Our ancestors would hear the drums of war giving the warriors of the tribe a chance to organize and prepare a defense.
[18:13.000 --> 18:21.000]  60 years ago when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[18:21.000 --> 18:26.000]  But in the 21st century there are silent weapons for quiet war.
[18:26.000 --> 18:35.000]  Pathogens added to the food and water and to the lining of plastics that destroy our vitality, turn off our hormones and accelerate our journey towards death.
[18:35.000 --> 18:44.000]  I personally counter this onslaught with Anthroplex. Anthroplex is designed with known organic concentrated herbs
[18:44.000 --> 18:50.000]  to create the basic foundation to normal metabolic activity inside the human body.
[18:50.000 --> 18:53.000]  Discover why Anthroplex has turned so many heads today.
[18:53.000 --> 18:59.000]  It's time for us to take our bodies back into our own hands and it starts at infowarslife.com with Anthroplex.
[18:59.000 --> 19:11.000]  I want to plow into all of this. I'm going to spend a few minutes here first just encouraging listeners to understand that when you buy t-shirts or water filtration systems
[19:11.000 --> 19:19.000]  or books or videos or other material from infowarstore.com you are funding the revolution.
[19:19.000 --> 19:25.000]  I cannot say it any clearer and so it is essential that you purchase the products at infowarstore.com.
[19:25.000 --> 19:33.000]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high quality atomic iodine in it.
[19:33.000 --> 19:38.000]  You cannot beat that for children and adults. We've got the best mouthwash designed by Dr. Jones.
[19:38.000 --> 19:40.000]  That's my dad with colloidal silver and iodine as well.
[19:40.000 --> 19:45.000]  Infowarslife.com or AAA2533139.
[19:45.000 --> 19:52.000]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[19:52.000 --> 19:57.000]  And that's who they are and they know we know who they are and they're coming back against us so we need your support.
[20:23.000 --> 20:35.000]  We now take you live to the Central Texas Command Center in the heart of the Resistance. It's Alex Jones.
[20:35.000 --> 20:52.000]  So there have been thousands of articles written talking to top billionaires.
[20:52.000 --> 20:56.000]  Former president of Facebook last week went public.
[20:56.000 --> 21:01.000]  The head of Sun Microsystems worth tens of billions of dollars.
[21:01.000 --> 21:06.000]  The owner, Bill Joy, countless others have said we designed this to hurt you.
[21:06.000 --> 21:10.000]  We designed this to dehumanize you. We designed this to make you obsolete.
[21:10.000 --> 21:21.000]  We've been in meetings with the top billionaires who are senior to us and they've made the decision to basically take over and kill everybody.
[21:21.000 --> 21:28.000]  Now, they've been developing this one-world religion around eternal life and life extension.
[21:28.000 --> 21:36.000]  I made a film. I made a film in-game blueprint for global enslavement.
[21:36.000 --> 21:44.000]  Ten years ago off their admissions then of how they would bring in this plan, the controlled cities, the self-driving cars, the attack on the family.
[21:44.000 --> 21:50.000]  It's all in the film. It's free. You must watch it.
[21:50.000 --> 21:54.000]  That said, I'm getting back into that later.
[21:54.000 --> 22:01.000]  But you read it and you look at what they say. They said we're going to ban all of the religion as anti-scientific, but this one you've got to follow.
[22:01.000 --> 22:08.000]  And robots are going to have rights. You can see where this is going, folks. This is the takeover plan.
[22:08.000 --> 22:16.000]  It's so dystopic and I'm begging people. There's a reason they have congressional hearings every week saying they want to shut me down.
[22:16.000 --> 22:25.000]  Because they've got the actuaries, the AI computers can already crunch mass movements. They're just not totally conscious yet. It's believed.
[22:25.000 --> 22:33.000]  And they can tell that if they kill me, it causes chain reactions that devastates their operation. Same thing with Trump.
[22:33.000 --> 22:39.000]  And this isn't a power trip, folks. Look at television. Look at what they're doing. I mean, it's real. This is happening.
[22:39.000 --> 22:44.000]  Because we cared enough to actually read what they were saying and what they were building while they were getting acolytes.
[22:44.000 --> 22:51.000]  Elon Musk is one of the guys saying, look out for AI gods. Look out for people that promote this.
[22:51.000 --> 23:00.000]  Before the media did the rollout this week going, it's a brand new idea. We're going to have AI gods that take over.
[23:00.000 --> 23:02.000]  Oh, it's so fun. Oh, it's so cute.
[23:02.000 --> 23:10.000]  Elon Musk in the last six months is like, it's coming. It's deadly. It's dangerous. It's serious. These people mean business. They're authoritarian.
[23:10.000 --> 23:16.000]  We've got to stop them. Oh, and then the new Christ has appeared, the young man that's going to lead it.
[23:16.000 --> 23:27.000]  Oh, he just thought of it five minutes ago. Don't listen to Elon Musk. We have our new leader, Anthony Lewandowski.
[23:27.000 --> 23:38.000]  He said he will rule you for your own good. You're going to live in a big plastic city and we're going to ban all your other religions because of all the wars and problems.
[23:38.000 --> 23:50.000]  You're going to worship us. You're going to worship our machine and it's going to be the god of the world. It's the new religion.
[23:50.000 --> 23:56.000]  They've got the new name of it. Oh, they just came up with it. No, they've been cooking this up for decades.
[23:56.000 --> 24:06.000]  Look, the robot that Dubai's already ordered that's going to replace their police force is literally seven feet tall and is almost identical to the THX1138 robot.
[24:06.000 --> 24:23.000]  Look at this if you're a TV viewer. Look at this right here. This is the THX1138 robots based off research that George Lucas did in his first film.
[24:23.000 --> 24:33.000]  Man, we're in a lot of trouble, folks. They are telling you they're coming. They're telling you what they're doing.
[24:33.000 --> 24:40.000]  And I'm just here warning you. I'm here just begging you. I'm not anti-technology. I'm not anti-smartphone.
[24:40.000 --> 24:47.000]  But I don't like it tracking me and spying on me and listening to me and selling my data and being a government spy.
[24:47.000 --> 24:52.000]  But they always spit it. Oh, you're against vaccines. You're against science. No, I'm against the genetic engineering you're doing through them.
[24:52.000 --> 24:58.000]  Here's the documents. Not against the phone. I'm against paying for all the stuff in it that tracks me and controls me.
[24:58.000 --> 25:04.000]  They've already got the self-driving car stuff and all the new cars. They're just not even telling you.
[25:04.000 --> 25:12.000]  They're announcing it all next year and rolling it out. But only in the luxury models. Oh, you've got to pay way more for the Audi A8.
[25:12.000 --> 25:18.000]  It self-drives. You can drive from... They've already got cars. People are driving across the nation with nobody touching them.
[25:18.000 --> 25:23.000]  Cars, you can buy it. Lots right now. They're like, oh, that sounds great. That'll be fun. I can do my school worker.
[25:23.000 --> 25:30.000]  My wife can have fun in the backseat. It gives full control to the globalist. It lets them run you off a cliff and kill you.
[25:30.000 --> 25:41.000]  It lets foreign enemies hack in and do that. It's dehumanizing. And the people that are deploying it are saying it's meant to dehumanize you to make way for the new God.
[25:41.000 --> 25:48.000]  That's growing all of its systems and all of its tentacles into control.
[25:48.000 --> 25:56.000]  And remember, six, seven years ago, they had Will Smith movies, iRobot, about self-driving cars, and it was Audi.
[25:56.000 --> 26:04.000]  And now Audi is the leader in it. I mean, it's all pre-programmed. It's all prepared. Oh, and who was doing all the PR for Google at the time?
[26:04.000 --> 26:13.000]  Oh, the new AI leader who's creating his new baby that's going to be your God.
[26:13.000 --> 26:26.000]  Google engineer who has created the first church of AI says he's in the process of raising a robot God that will take charge of humans.
[26:26.000 --> 26:35.000]  I've gotten behind here. I haven't gotten into Google officially launching in partnership with George Soros and Snopes. You can't make that up.
[26:35.000 --> 26:44.000]  With almost no fanfare, total censorship of libertarians, nationalists, conservatives, and Christians.
[26:44.000 --> 26:52.000]  He was in the WikiLeaks last year saying once the UN has control, which they didn't get complete control, Obama was unable to transfer it.
[26:52.000 --> 26:59.000]  We're going to make people go to our stories and block the ones we don't like. That's a quote. They got his emails.
[26:59.000 --> 27:07.000]  He doesn't care. We elect the Trump. He's doing it anyways with Google. People say, well, just use Bing or use. That's Microsoft.
[27:07.000 --> 27:14.000]  What do you think they haven't gotten there yet? Whatever Google ends up doing, everybody else then adopts.
[27:14.000 --> 27:20.000]  Google is the deep state, boys and girls. Don't be evil. Give me a break.
[27:20.000 --> 27:29.000]  Oh, it's all happy little colors, big G's and blue G's and red O's. It's all tested and treated like you're three years old.
[27:29.000 --> 27:38.000]  It's non-threatening. Remember when you were three, everything was fun in the nursery? We're not evil. Come here, sweetie.
[27:38.000 --> 27:49.000]  We're just jacked into everything. DARPA, they spent billions of our tax dollars just on flicker screens, how to mesmerize you.
[27:49.000 --> 27:55.000]  It's all declassified. Just what I know is admitted is beyond anything you could ever imagine.
[27:55.000 --> 28:09.000]  But remember, I'm the bad guy because for 22 years I told you they had human-animal hybrids growing inside cows gestating on farms across the U.S.
[28:09.000 --> 28:22.000]  And the exact words I told you 22 years ago were in MIT late last year, that thousands of human-animal hybrids are gestating.
[28:22.000 --> 28:27.000]  You know, when the movie Alien, when the face sucker lays the egg in your stomach, and then it busts out after it eats a meal,
[28:27.000 --> 28:34.000]  uses your stomach as a womb, because it likes acid, remember? Smart riders.
[28:34.000 --> 28:39.000]  And then it busts out. It's been gestating. That's sweet.
[28:39.000 --> 28:45.000]  But in this case, humanoids are grown up larger and are used for biotech and things, and it's all industrial.
[28:45.000 --> 28:48.000]  Don't worry, they don't have any rides because they're not human, they're not animal.
[28:48.000 --> 28:54.000]  Anyways, I'm not going to cover that anymore until tomorrow. I'm going to come back with the nuke story and the massive censorship story,
[28:54.000 --> 29:04.000]  where reporters can physically attack the video. That's coming up. Stay with us.
[29:24.000 --> 29:34.000]  Thank you so much for watching.
[29:55.000 --> 30:09.000]  Please listen carefully, because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the InfoWare, a 360 win.
[30:09.000 --> 30:16.000]  Number one, when you choose auto ship before checkout, we give you 10% off on your order at InfoWareShore.com.
[30:16.000 --> 30:24.000]  Number two, you're also able to get items that are out of stock when you sign up for auto ship, because we hold back a surplus for auto ship customers.
[30:24.000 --> 30:29.000]  Number three, we're giving you free shipping on all orders above $50.
[30:29.000 --> 30:35.000]  Listeners have been requesting this for years, because it's so easy to forget to reorder the products that you need each month.
[30:35.000 --> 30:43.000]  Just go to InfoWareStore.com, select your favorite product or products, click on auto ship and choose how often you want us to send you another order.
[30:43.000 --> 30:50.000]  As you know, I coined the term 360 win, and with the new auto ship feature at InfoWareStore.com, this is a sure win.
[30:50.000 --> 30:51.000]  10% off on auto ship.
[30:51.000 --> 30:55.000]  Win, win, win at InfoWareStore.com, free shipping on orders above $50.
[30:55.000 --> 31:00.000]  And all out of stock items are never out of stock when you sign up for auto ship.
[31:00.000 --> 31:05.000]  You deserve a deep restful sleep with knockout by InfoWare's life.
[31:05.000 --> 31:16.000]  Our organic formula is made from high quality natural ingredients such as Valerian root extract, L tryptophan, lemon balm leaf extract and melatonin.
[31:16.000 --> 31:21.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[31:21.000 --> 31:29.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[31:29.000 --> 31:37.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[31:37.000 --> 31:39.000]  Wake up refreshed and take on the day.
[31:39.000 --> 31:47.000]  InfoWare's life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[31:47.000 --> 31:51.000]  Get the sleep you deserve and experience the power of knockout.
[31:51.000 --> 31:55.000]  Head on over to infowarslife.com and say goodbye to fatigue.
[31:55.000 --> 31:59.000]  That's infowarslife.com
[32:25.000 --> 32:29.000]  100% organic coffee at infowarslife.com
[32:29.000 --> 32:36.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[32:36.000 --> 32:43.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[32:43.000 --> 32:47.000]  Dropped by the site today, order a bag or two and I don't think you're going to be disappointed.
[32:47.000 --> 32:51.000]  Available in original or with our immune support infusion blend.
[32:51.000 --> 32:57.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[32:57.000 --> 33:22.000]  Available at infowarslife.com
[33:22.000 --> 33:38.000]  You are listening to an infowars.com frontline report. If you are receiving this transmission, you are the resistance.
[33:38.000 --> 33:58.000]  Ladies and gentlemen, we are back live covering very, very serious issues, not to scare you, but so you're informed so we as a culture and as a society and as a species can make decisions with what we say, what we do, what we buy, who we associate with, what we support to build a better world.
[33:58.000 --> 34:06.000]  The robber barons of 100 years ago just thought we were animals and didn't care and just wanted to stay separate from the general public.
[34:06.000 --> 34:10.000]  The elites of today believe they're going to merge with machines and become gods.
[34:10.000 --> 34:14.000]  And I've been telling you that for 20-something years, now it's all over the news.
[34:14.000 --> 34:21.000]  And there are a few patriots like Bill Joy and Elon Musk saying, hey, we've been to the meetings. They're planning on getting rid of everybody.
[34:21.000 --> 34:28.000]  And everything they're doing is for the computers and for the machines to take over. They've already chosen sides.
[34:28.000 --> 34:32.000]  Because regardless, they're going to be in control of the machines they believe.
[34:32.000 --> 34:45.000]  So everything you see is a revolution not to empower humanity, but a revolution to enslave and track and control what we do.
[34:45.000 --> 34:48.000]  This is life and death.
[34:48.000 --> 34:53.000]  Now, who would have thought just a year ago when I was warning you that it would actually happen?
[34:53.000 --> 34:56.000]  I can't believe it's actually happening. I knew they were saying it.
[34:56.000 --> 35:02.000]  Hey, look at the WikiLeaks. It's in the news. George Soros wants the U.N. to take over the Internet.
[35:02.000 --> 35:09.000]  Obama's trying and he says they will block or tell people it's fake news if it's anti-globalist and then push you to globalist news.
[35:09.000 --> 35:13.000]  And Soros' words are material.
[35:13.000 --> 35:19.000]  And then a month ago, they announced Google partners with Soros funded fact-checking service to fight fake news.
[35:19.000 --> 35:23.000]  And then last night it happened.
[35:23.000 --> 35:29.000]  Last night it happened, ladies and gentlemen, on November 18th.
[35:29.000 --> 35:31.000]  It's November 19th right now.
[35:31.000 --> 35:36.000]  Suddenly they put above info where it's fake news and said, here's the fact-checking of Snopes.
[35:36.000 --> 35:44.000]  And you click it and it's a bunch of lies and a bunch of misrepresentations when you click reviewed claims.
[35:44.000 --> 35:50.000]  But if you go and you type in Snopes into Google, oh, no one questions it because it's God.
[35:50.000 --> 35:53.000]  And who funds it?
[35:53.000 --> 35:57.000]  Google partners with Soros funded fact-checking service to fight fake news.
[35:57.000 --> 36:06.000]  A press release from Google's partnership with IFCN, the three main aims, increasing the number of fact-checkers reviewing information,
[36:06.000 --> 36:19.000]  expanding the IFCN's current code of principles in new regions and offering free fact-checking tools that Google users to verify the information they find on Google's search engine.
