[00:00.000 --> 00:15.000]  Another world, another time, in the age of wonder.
[18:37.000 --> 18:46.000]  That's a paraphrase. But ladies and gentlemen, we are in the position now of being able to win this easily if we find our spirit, find our focus and don't give up and take action.
[18:46.000 --> 18:58.000]  But if we don't stand up and get involved, we're going to skip number two and go right to number three. That's a fact. They fear Info Wars because we are alive. It's time for the world to awaken and take back our future.
[18:58.000 --> 19:12.000]  If you understand why the globalist, why the servants of Satan hate Info Wars, it's because we're awake, we're alive, we're passionate and we're not giving up.
[19:12.000 --> 19:21.000]  That's why it's critical for those of us that are aware of the New World Order's plans to not get down when they attack us and they persecute us and they lie about us.
[19:21.000 --> 19:37.000]  That's what we should expect because we are hurting these scumbags. The globalists have literally sold their souls to the dark side and they do what they do because they're slaves because they are eternally driven to try to suppress and dominate and destroy the innocent.
[19:37.000 --> 19:52.000]  It is up to us who are awake, not the sheep and not the wolves, but the sheepdogs to stand firm and resist these wicked tyrants. They fear the fact that we are awake. They fear the fact that we are alive.
[19:52.000 --> 20:11.000]  They fear the fact that we love God and that's all we ever have to know is that God is in charge.
[20:22.000 --> 20:27.000]  Coming to you live from the front lines of the Info War.
[20:53.000 --> 20:57.000]  You are Jerry Nadler, you're the one committing treason. America's done with this.
[20:57.000 --> 21:01.000]  America's sick of the treason committed by the Democrat Party.
[21:01.000 --> 21:10.000]  We're not going to sit here and watch you run in the streets and remove our vote. We voted for Donald Trump and they're simply removing us and they don't like it.
[21:10.000 --> 21:17.000]  America's sick of their treason, they're sick of the Democrat treason. We know who committed the crimes and it wasn't Trump.
[21:17.000 --> 21:24.000]  It wasn't Trump. It wasn't Trump.
[21:24.000 --> 21:50.000]  It wasn't Trump. It wasn't Trump.
[21:50.000 --> 22:00.000]  They walk in, they sit down a few minutes and Nadler starts talking and Owen just says, this is treason.
[22:00.000 --> 22:09.000]  You're the ones that are engaged in impeachable offenses and that's even what respected liberal law professor Jonathan Turley said, it's cut and dry.
[22:09.000 --> 22:25.000]  They're saying that even if the president didn't do quid pro quo, even if he didn't do anything wrong, it's if they think his intent was something, a thought crime that he's going to be removed.
[22:25.000 --> 22:30.000]  Mike Adams said it right. Democrats are summoning the demon of political violence.
[22:30.000 --> 22:40.000]  The next phase of their criminal coup will unleash blood in the streets. That's what's going to happen because if they have the fake trial in the Senate, which is going to happen now, it looks like a sure thing.
[22:40.000 --> 22:50.000]  As I said months ago, it's all rigged. Even if Trump doesn't get removed by the two thirds, because they are death threading and blackmailing those senators.
[22:50.000 --> 22:59.000]  Even if that doesn't happen, then the Democrats are going to get more enraged when Trump, like Kavanaugh escapes their hoax.
[22:59.000 --> 23:04.000]  And I've got a big article up on infowars.com that is beyond critical.
[23:04.000 --> 23:13.000]  Only 19 senators are a firm no against impeachment and there are whispers. Some Republicans may turn on Trump. Of course they are.
[23:13.000 --> 23:18.000]  The neocons are the greater threat to Trump than the Democrats.
[23:18.000 --> 23:32.000]  So while everybody laughs at the Democrats, they've taken over most of the major cities and have bankrupted the country and are bringing in millions of quote migrants from Islamic countries that literally hate our guts.
[23:32.000 --> 23:38.000]  They've been kicking the live and snot out of this country and fly over country.
[23:38.000 --> 23:52.000]  You know, I love fly over country. I love Missouri and Kansas and Oklahoma and rural areas of Illinois and South Dakota and North Dakota and Tennessee and Louisiana and everywhere.
[23:52.000 --> 23:58.000]  Good people everywhere. Good people in New York. Good people in West Virginia. Good people in upstate California and Oregon.
[23:58.000 --> 24:07.000]  They all run the states. They do the damn work. A bunch of welfare heads, sitting in the cities, running everything telling us how to live our lives and trying to have sex with our children.
[24:07.000 --> 24:22.000]  I couldn't watch those hearings last week. I tuned in a couple times and the professors other than Turley were always bad mouth and fly over country saying people live in the country because they don't like other people.
[24:22.000 --> 24:27.000]  Democrats live in the cities because we like people.
[24:27.000 --> 24:39.000]  I mean, they couldn't even shut their mouths about how much they hate rural America on TV. These people hate us, folks.
[24:39.000 --> 24:43.000]  Because they live off of us.
[24:43.000 --> 24:48.000]  And they know that we're not domesticated like them.
[24:48.000 --> 24:55.000]  And so here's the headline up on info wars dot com and news wars dot com.
[24:55.000 --> 25:00.000]  World exclusive. The silent majority is no longer silent. The populace uprising has begun.
[25:00.000 --> 25:11.000]  Marker calendar December night 2019 as the date the sleeping giant awoke and tyrants everywhere shook in fear. I wrote that about 30 months ago before he went live.
[25:11.000 --> 25:18.000]  It's now time for you to peacefully and lawfully rise up against the establishment at any event that you can.
[25:18.000 --> 25:31.000]  Even if it's a local city council meeting, it's time to let the government know that it's operates only at the consent of the people.
[25:31.000 --> 25:34.000]  Now, why am I making a bold statement like that?
[25:34.000 --> 25:52.000]  Because I felt it this morning as Owen, I checked the time as Owen was confronting Nadler and getting arrested. I literally felt it and got all energized and said, we're going to rise up.
[25:52.000 --> 25:57.000]  We're going to take America back. I just envisioned people everywhere doing this.
[25:57.000 --> 26:08.000]  It was also because I just read an article that was going to come start the show, not with impeachment, not with the IG report, but with this.
[26:08.000 --> 26:17.000]  I sent this minutes before Owen stood up in Congress in the middle of the impeachment hearings, which no one else has done.
[26:17.000 --> 26:24.000]  It's only the leftists that go and do that and they're allowed to scream and yell to wherever they want. They don't get arrested most of the time.
[26:24.000 --> 26:28.000]  They're going to leave with this and say, this is what they fear already before Owen did this.
[26:28.000 --> 26:37.000]  And again, I know I'm stating the obvious. That's why we need to do it. And then we're going to win instead of sitting here and being victims.
[26:37.000 --> 26:50.000]  Never, Trump or Rick Wilson suggests, he didn't suggest, he says, do it, putting anti-vaxxers in reeducation camps, taking their children from them if they don't take the hundreds of vaccines Big Pharma wants to make us take.
[26:50.000 --> 27:01.000]  And then it goes on to say, we've got to stop the anti-vaxxers. They're moving the fight offline, crashing media coverage events, harassing doctors and private citizens.
[27:01.000 --> 27:09.000]  One group stood with signs outside of Petrus's office, accosting parents and infants in their arms.
[27:09.000 --> 27:22.000]  He calls for anti-vaxxers are a scourge and a strong argument for reeducation camps, the immediate seizure of their property and putting their children into protective custody.
[27:22.000 --> 27:30.000]  The never-trumping monster said. That's what's happening worldwide. That's their operation. What are they scared of? Us saying no to them.
[27:30.000 --> 27:39.000]  You know, they tell you safe and effective. Here's just three vaccine inserts. We went and got this morning at Walgreens.
[27:39.000 --> 27:51.000]  So small, you've got to read it with a magnifying glass. The MMR shot, the blue shot and the Gardasil shot.
[27:51.000 --> 27:59.000]  And I'm going to highlight these today after the show with a magnifying glass I had to buy just to get it done.
[27:59.000 --> 28:07.000]  They made the print even smaller. Here's the flu shot print. Even with a magnifying glass, you can't read it.
[28:07.000 --> 28:11.000]  I mean, this is unbelievable.
[28:11.000 --> 28:23.000]  Where it says can kill you, give you guillon berets, give you cancer, cause type 1 diabetes and they want to make you take this and not have you ask questions about it.
[28:23.000 --> 28:30.000]  So now they've censored folks offline. Now they want you and your property taken, your children taken, and you put in a reeducation camp.
[28:30.000 --> 28:41.000]  That's a communist term because you question big pharma with its giant corrupt evil history that has a secret vaccine damage fund paying out billions to damaged people.
[28:41.000 --> 28:51.000]  Rick Wilson. I think he should volunteer to take 100 shots at once, just like the Monsanto guy said he drank roundup that when people asked him to he wouldn't actually drink it.
[28:51.000 --> 28:59.000]  I think Rick Wilson ought to be liable for everybody that gets damaged by vaccines. I think Rick Wilson ought to get what he's calling for.
[29:22.000 --> 29:26.000]  My blood pressure has normalized. My diabetes has totally improved.
[29:26.000 --> 29:33.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[29:33.000 --> 29:41.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[29:41.000 --> 30:00.000]  Order your two month supply today by calling 866-295-5305 at 866-295-5305 or order online hbextract.com, heart and body extract 866-295-5305 or hbextract.com.
[30:00.000 --> 30:12.000]  My fellow Americans, many of you will have been following the impeachment proceedings brought against me by the Democrats. This political witch hunt is tearing our country apart and not in a good way.
[30:12.000 --> 30:22.000]  While I truly believe that I'm completely innocent of all charges, I have nonetheless decided to make the following announcement. Jeffrey Epstein did not kill himself.
[30:22.000 --> 30:32.000]  What you just heard was not President Trump. It was a deep fake that just went live on the internet yesterday. President Trump did not save.
[30:32.000 --> 30:34.000]  Jeffrey Epstein did not kill himself.
[30:34.000 --> 30:38.000]  Now the audio can fool you, but the video really does.
[30:38.000 --> 30:53.000]  If you tune in to us, we'll tell you what's real and what's fake when it's mainstream media that famously has been caught doing thousands of deep fakes like ABC and the supposed curd attack footage that was really not Creek Machine Guns shootout or stuff that Megan Kelly has done to me with deep fakes.
[30:53.000 --> 31:08.000]  These people are sick. Info wars has the history of exposing deep fakes, not being involved in them.
[31:23.000 --> 31:35.000]  We fund the system where the spirit of resistance lives to drive it home to the enemy. And so it's very simple. If you don't want to be slaves and you want to see the fight taken to the enemy, which God wants to see.
[31:35.000 --> 31:53.000]  You have to make the effort 110% God will finish the move. And I know I need to stand the fight in the attack, attack, attack. I want to attack. I want to go after the globalists and just believe me, ladies and gentlemen, that if you want somebody to commit to you and your family to fight for all of our futures together, you've got to guarantee you keep me in the game.
[31:53.000 --> 32:08.000]  That's my ass with everything I got for us, for myself, my family, your family, because we're in this together infowarstore.com.
[32:23.000 --> 32:28.000]  Check in every day to find the new deals.
[32:53.000 --> 33:01.000]  Our stack is also at cost at $29.95 with free shipping and over 100 others at infowarstore.com and support the infowar.
[33:23.000 --> 33:51.000]  A consortium of globalist bullies of multinational corporations that have had their way with countless third world countries who've killed millions, who openly back the Chai comms and the UN is adopting the Chai comm global credit system and face scan to buy and sell as of last week announced by the UN.
[33:51.000 --> 34:03.000]  Carried by Reuters. And Americans have to fight to have free speech online. So now they're, now they're hitting the streets like Owen Shroyer did. I sent him up there to cover the impeachment hearings.
[34:03.000 --> 34:13.000]  Nadler kept it very close to the vest when he's even going to have these events. So the Republicans aren't ready for it. Owen was there. They flew in last night.
[34:13.000 --> 34:27.000]  He just couldn't help himself. He said, you're the ones that are guilty of treason. Maybe we should try to find that video of Jonathan Turley last week saying, you're the ones that are engaged in high crimes and misdemeanors.
[34:27.000 --> 34:40.000]  You're the ones that are involved in abuse of power. If a president can't go to courts and try to block what you're doing to him, then he doesn't even hold the office of president.
[34:40.000 --> 34:50.000]  The citizens have that right. And now you want to impeach him because you say he's not running the country right? That's not a high crime or misdemeanor.
[34:50.000 --> 35:00.000]  Go to drugsreport.com. You can see right there in the middle column, the link, full video, reporter arrested after calling impeachment hearings a scam and you scroll down.
[35:00.000 --> 35:09.000]  We've got the live feed of the show right there. If you'd like to be participants and share the broadcast with people and folks are going to know why he was protesting.
[35:09.000 --> 35:17.000]  But bigger than what Owen did spontaneously is what are you going to do because they're trying to impeach him right now.
[35:17.000 --> 35:24.000]  And they'll probably vote by the end of this week or early next week on the indictment of the president that will go to the Senate.
[35:24.000 --> 35:35.000]  Are you going to show up for that? Are you just going to let George Soros and Facebook now this and hundreds of groups run around and do whatever they want?
[35:35.000 --> 35:48.000]  That's a question that you've got to ask yourself. That's a question we all have to ask ourselves. What are we going to do?
[35:48.000 --> 35:54.000]  Our crew is going to be out there tomorrow in Pennsylvania and it has been threatened to kill people.
[35:54.000 --> 36:07.000]  Local Patriot Group had a local restaurant bar rented out to have an event. Antifa's bomb threaded it. Just got the word so they had to cancel that event because conservatives and patriots can't even meet in any city now without Antifa calling in bomb threats.
[36:07.000 --> 36:18.000]  Communist terrorists who want to silence us, but they can't silence you at sporting events, college, NFL, collegiate.
[36:18.000 --> 36:24.000]  They can't silence you at these congressional hearings. They can't silence you outside the hearings.
[36:24.000 --> 36:32.000]  They can't silence you at city council meetings and state house meetings. They can't stop you on street corners or at your church.
[36:32.000 --> 36:39.000]  Now is the time to get out of the coma and to get aggressive and get active, ladies and gentlemen.
[36:39.000 --> 36:55.000]  We're now have Owen. You can see him there on the screen. We'll put him up there. We're going to him here in just a few moments. We've got him hunched up on the sky.
[36:55.000 --> 37:14.000]  Now, we're going to talk to Owen. And then when I start the next hour, I'm going to get into the top story I was going to cover today because it ties into all of this.
[37:14.000 --> 37:27.000]  And it's a life and death situation and it's paramount to what we face as a culture and a civilization. And I've got my crack team of present focused crew in there that are watching for the minute the Inspector General Report comes out.
[37:27.000 --> 37:42.000]  And the second that happens, we're going to be covering it live here today as well. But let's put Owen up on the screen right here. Let's just look at this patriot and the great work he's done and how hard he's fighting.
[37:42.000 --> 37:57.000]  Yeah, we'll put that Skype feed up there because that's an American patriot. That's an American patriot that's taking action.
[37:57.000 --> 38:11.000]  That's simply going on and exercising his free speech in the face of these tyrants that have had a rigged event that created their articles of impeachment months ago and then had it in the bowels of the intelligence committee with the rogue intelligence groups.
[38:11.000 --> 38:21.000]  Admittedly saying we're going to have a coup against the president from the lawyers to the fake whistleblowers to the former CIA directors Brennan and others bragging on television that they were having a coup of the president.
[38:21.000 --> 38:34.000]  Going from denying there was a deep state and a rogue government bureaucracy to bragging about it. And now they believe they can force your will not just on Trump, but on the American people and the world.
[38:34.000 --> 38:42.000]  I think they've jumped the shark. I think you're going to stand up to him. I think you have a right and a duty to. And I think they need to go to prison.
[38:42.000 --> 38:52.000]  They're used to never getting in trouble because the big corrupt system wants to look like it's invincible and they never never send anybody to jail so they can all just have a giant crime spree.
[38:52.000 --> 39:04.000]  And now they've gone too far and that crime spree is coming to an end because they could have just backed off and let us fix the country and turn things around. But they believe they can beat us and silence us one more time.
[39:04.000 --> 39:14.000]  They think they can bully us and sue us and threaten us and arrest us and intimidate us until we submit to them and just go away and just shut up. But we're not doing that.
[39:14.000 --> 39:25.000]  You know, President Trump was reportedly asking Jared Kushner and others, where's Drudge? Why isn't he supporting me as much as he used to?
[39:25.000 --> 39:32.000]  I think the answer is, President, you've not been supporting your supporters that have been persecuted and we understand the swamp isn't following your orders.
[39:32.000 --> 39:42.000]  But we need you to come out against big tech censorship and racketeering and election meddling and voter suppression. We need action from you against the deep state.
[39:42.000 --> 40:01.000]  And we do support you. Now I'm going to go to break and come back with Owen Schreuer here today. But I cannot build up enough how important it is, what he did, how amazing it is, what Owen did, how critical what Owen did is.
[40:01.000 --> 40:15.000]  Because if we don't stop watching football every weekend instead of going and being heard, if we don't start getting very, very active, the globalist, as sure as the sun came up, are going to remove the president.
[40:15.000 --> 40:22.000]  And then once they've done that, they're going to come after everyone because they want to destroy flyover country. I'm going to go to break and come back with Owen.
