[00:00.000 --> 00:01.500]  We've got it, Tata.
[03:32.000 --> 03:34.000]  on this very important Sunday broadcast.
[03:34.000 --> 03:36.000]  Here's another example of people
[03:36.000 --> 03:38.000]  not being able to deal with reality.
[03:38.000 --> 03:40.000]  Jaren came in here right before I went live
[03:40.000 --> 03:42.000]  and said, here's a daily mail article.
[03:42.000 --> 03:44.000]  It's also in the BBC.
[03:44.000 --> 03:47.000]  In England, they've created 150,
[03:47.000 --> 03:50.000]  or done 150 different studies
[03:50.000 --> 03:52.000]  crossing humans and animals
[03:52.000 --> 03:57.000]  right out of the island of Dr. Maroud.
[03:57.000 --> 04:00.000]  Now, I remember 15 years ago
[04:00.000 --> 04:03.000]  this being in scientific publications.
[04:03.000 --> 04:05.000]  I remember 10 years ago
[04:05.000 --> 04:07.000]  it being in the Washington Post
[04:07.000 --> 04:09.000]  or nine years ago
[04:09.000 --> 04:11.000]  that in Costa Rica
[04:11.000 --> 04:15.000]  they actually have brought the human clones to term.
[04:15.000 --> 04:17.000]  They've got humanities down there,
[04:17.000 --> 04:18.000]  a lot of other things,
[04:18.000 --> 04:20.000]  and it was in the news
[04:20.000 --> 04:22.000]  buried in that particular article.
[04:22.000 --> 04:25.000]  In England, they've gotten approval for this,
[04:25.000 --> 04:27.000]  and so here it is, mainstream news.
[04:27.000 --> 04:30.000]  Now, just like a lot of you have been listening for 15 years,
[04:30.000 --> 04:32.000]  I've been on 16+.
[04:32.000 --> 04:34.000]  You heard me talk about all this
[04:34.000 --> 04:36.000]  and give people the news items at the time,
[04:36.000 --> 04:40.000]  but just like false flag terror sounds crazy,
[04:40.000 --> 04:42.000]  so does this headline,
[04:42.000 --> 04:45.000]  150 human animal hybrids grown in UK labs,
[04:45.000 --> 04:47.000]  embryos have been produced secretly
[04:47.000 --> 04:49.000]  for the past three years,
[04:49.000 --> 04:50.000]  try at least 15.
[04:50.000 --> 04:53.000]  See, we're not in Kansas anymore.
[04:53.000 --> 04:54.000]  It's 2011.
[04:54.000 --> 05:04.000]  Locke Rogers will be right back.
[05:24.000 --> 05:26.000]  While new socialist legislation
[05:26.000 --> 05:28.000]  is only compounding the problem,
[05:28.000 --> 05:30.000]  number four, dangerous weather is always a threat
[05:30.000 --> 05:31.000]  to local grids.
[05:31.000 --> 05:33.000]  Every year, thousands of families lose their power
[05:33.000 --> 05:35.000]  from weather-related onages.
[05:35.000 --> 05:37.000]  Number five, a solar power generator
[05:37.000 --> 05:39.000]  provides powerful backup insurance
[05:39.000 --> 05:40.000]  and peace of mind.
[05:40.000 --> 05:42.000]  Folks, I really believe in the solar power generators
[05:42.000 --> 05:43.000]  offered by Solutions from Science,
[05:43.000 --> 05:45.000]  one of my old sponsors.
[05:45.000 --> 05:47.000]  You can get more information at
[05:47.000 --> 05:49.000]  www.mysolarbackup.com.
[05:49.000 --> 05:51.000]  That's mysolarbackup.com.
[05:51.000 --> 05:53.000]  Remember, the government doesn't own the sun,
[05:53.000 --> 05:55.000]  so go to mysolarbackup.com
[05:55.000 --> 05:59.000]  or call 1-877-327-0365.
[05:59.000 --> 06:02.000]  The Genesis Communications Radio Network
[06:02.000 --> 06:05.000]  proudly presents The Alex Jones Show
[06:05.000 --> 06:25.000]  because there's a war on for your mind.
[06:25.000 --> 06:27.000]  We are live, my friends.
[06:27.000 --> 06:30.000]  Again, thank you so much for joining us.
[06:30.000 --> 06:34.000]  It is Sunday, the 24th day of July.
[06:34.000 --> 06:37.000]  2011, I'm your host, Alex Jones.
[06:37.000 --> 06:40.000]  We're going to be live here for the next two hours
[06:40.000 --> 06:43.000]  with the abbreviated Sunday Special Edition
[06:43.000 --> 06:45.000]  special news coverage.
[06:45.000 --> 06:49.000]  Of course, I'm also live Monday through Friday,
[06:49.000 --> 06:53.000]  11 a.m. until 2 p.m. weekdays,
[06:53.000 --> 06:56.000]  but we always come in and engage in a special news
[06:56.000 --> 06:59.000]  reportage every Sunday, 4 to 6 p.m. central
[06:59.000 --> 07:03.000]  because other radio hosts rest on their laurels.
[07:03.000 --> 07:05.000]  Again, a complete workaholic,
[07:05.000 --> 07:08.000]  totally and completely obsessed with reality
[07:08.000 --> 07:12.000]  and information and geopolitical developments
[07:12.000 --> 07:14.000]  and science and technology.
[07:14.000 --> 07:16.000]  And so, if I was at home,
[07:16.000 --> 07:18.000]  I would be working right now and researching,
[07:18.000 --> 07:22.000]  so why not just come in on Sundays for two hours as well?
[07:22.000 --> 07:24.000]  Again, thank you for joining us.
[07:24.000 --> 07:27.000]  Obviously, we're going to be covering
[07:27.000 --> 07:31.000]  the Anders Bravik story,
[07:31.000 --> 07:34.000]  where we have three reportedly shot to death
[07:34.000 --> 07:38.000]  on an island media slash government retreat
[07:38.000 --> 07:41.000]  with a lot of young people and children at it
[07:41.000 --> 07:44.000]  off the coast of Norway, close to Oslo.
[07:44.000 --> 07:49.000]  And, of course, that came just a few hours after the tragic
[07:49.000 --> 07:55.000]  car bombing that ripped through government-building,
[07:55.000 --> 07:59.000]  primarily the prime minister's office,
[07:59.000 --> 08:02.000]  as well on Friday.
[08:02.000 --> 08:05.000]  Now, I want to calmly go through this news and information
[08:05.000 --> 08:07.000]  and I want to ask radio listeners,
[08:07.000 --> 08:09.000]  especially if you're a new listener,
[08:09.000 --> 08:12.000]  to take notes on the things I say,
[08:12.000 --> 08:14.000]  the news articles I mentioned,
[08:14.000 --> 08:17.000]  and to go check out these claims for yourself
[08:17.000 --> 08:21.000]  so that you'll understand why this Bravik situation,
[08:21.000 --> 08:26.000]  or Bravik situation, is so incredibly dangerous.
[08:26.000 --> 08:29.000]  You will notice that on Thursday,
[08:29.000 --> 08:33.000]  we had an article that, according to Alexa.com,
[08:33.000 --> 08:38.000]  run by Amazon, the main web rating system.
[08:38.000 --> 08:41.000]  Google Analytics showed it as the fifth largest story
[08:41.000 --> 08:42.000]  on the web.
[08:42.000 --> 08:45.000]  Alexa showed it as the sixth largest story
[08:45.000 --> 08:46.000]  in the world.
[08:46.000 --> 08:49.000]  On Thursday, and this, of course,
[08:49.000 --> 08:51.000]  will integrate into the, quote,
[08:51.000 --> 08:57.000]  right-wing attack in Norway and the government hyping
[08:57.000 --> 08:59.000]  that more attacks are on the way.
[08:59.000 --> 09:02.000]  I'll get into that in a moment and I'll get into the evidence
[09:02.000 --> 09:07.000]  that points towards false flag staged event.
[09:07.000 --> 09:09.000]  But first, I want to direct you to the article
[09:09.000 --> 09:14.000]  that was the fifth or sixth biggest story in the world
[09:14.000 --> 09:17.000]  on the web on Thursday into Friday.
[09:17.000 --> 09:20.000]  We've actually had articles rated as number one
[09:20.000 --> 09:23.000]  on Google Analytics and Alexa before,
[09:23.000 --> 09:26.000]  and we're routinely now in the top 10.
[09:26.000 --> 09:29.000]  Just want to point out this is a major news operation here,
[09:29.000 --> 09:31.000]  and the world is watching and is listening
[09:31.000 --> 09:34.000]  because of our track record of accuracy.
[09:34.000 --> 09:36.000]  Now, the mainstream media can be accurate as well
[09:36.000 --> 09:38.000]  if they wanted to be.
[09:38.000 --> 09:41.000]  We told you three years ago that the depression would get worse,
[09:41.000 --> 09:43.000]  not better with the bank or bailout,
[09:43.000 --> 09:47.000]  because that was the plan of the big six megabanks.
[09:47.000 --> 09:50.000]  And of course, now they admit the recession never ended
[09:50.000 --> 09:52.000]  and we're really in a depression.
[09:52.000 --> 09:54.000]  But the mainstream media told you things were getting better
[09:54.000 --> 09:56.000]  and we're going to get better.
[09:56.000 --> 09:58.000]  Just like they're saying, if you raise the debt ceiling,
[09:58.000 --> 10:00.000]  things aren't going to get better.
[10:00.000 --> 10:02.000]  Well, if we don't raise the debt ceiling,
[10:02.000 --> 10:04.000]  it'll be a total catastrophe.
[10:04.000 --> 10:06.000]  And if we do raise it, it'll be a catastrophe.
[10:06.000 --> 10:08.000]  We've been maneuvered into this position.
[10:08.000 --> 10:12.000]  And we have a survivor of the Oslo bombing
[10:12.000 --> 10:16.000]  who was blown back and was only about 200 feet from the blast.
[10:16.000 --> 10:20.000]  When it took place, joining us in about 23 minutes from now,
[10:20.000 --> 10:23.000]  and we have Doctor of History and also economist Webster Tarpley
[10:23.000 --> 10:27.000]  who's written a big report at infowars.com.
[10:27.000 --> 10:30.000]  We called Tarpley to get his take on it and he said,
[10:30.000 --> 10:32.000]  well, see my report that's just been filed.
[10:32.000 --> 10:36.000]  It is a false flag attack and he goes through the evidence
[10:36.000 --> 10:38.000]  of this being a staged event
[10:38.000 --> 10:42.000]  and exactly how they provocateur these mentally ill types.
[10:42.000 --> 10:44.000]  We were reporting, of course, on Friday
[10:44.000 --> 10:47.000]  from the Norwegian newspapers
[10:47.000 --> 10:50.000]  that there were multiple shooters, as many as four.
[10:50.000 --> 10:53.000]  We were reporting that he is a Knights Templar,
[10:53.000 --> 10:56.000]  high-level Mason, people laughed at us.
[10:56.000 --> 10:59.000]  That's now CNN Associated Press.
[10:59.000 --> 11:03.000]  This is a very serious, globalist event.
[11:03.000 --> 11:06.000]  His close friends say that he'd been disappearing
[11:06.000 --> 11:08.000]  for a while, acting strangely.
[11:08.000 --> 11:10.000]  They believe, quote, he'd been brainwashed.
[11:10.000 --> 11:13.000]  Of course, it was declassified in 77
[11:13.000 --> 11:16.000]  that the CIA can take any man, woman, or child
[11:16.000 --> 11:20.000]  and turn them into an absolute complete mind control slave
[11:20.000 --> 11:22.000]  in less than a year.
[11:22.000 --> 11:26.000]  And there have been many cases of this being confirmed
[11:26.000 --> 11:28.000]  that this has been carried out.
[11:28.000 --> 11:35.000]  Both the shooter of Ronald Reagan and the shooter of John Lennon
[11:35.000 --> 11:40.000]  on record it came out worked for the same U.S. government project
[11:40.000 --> 11:45.000]  at CIA mind control bases, one in the Middle East,
[11:45.000 --> 11:47.000]  one in Africa.
[11:47.000 --> 11:49.000]  I mean, you just can't make this stuff up.
[11:49.000 --> 11:52.000]  And, of course, the letter from Senator Strom Thurman
[11:52.000 --> 11:54.000]  to the Republican leadership saying,
[11:54.000 --> 11:57.000]  we've got to get rid of, we've got to take out John Lennon
[11:57.000 --> 11:59.000]  has now been, of course, brought into evidence
[11:59.000 --> 12:02.000]  and released four years ago and is in the film,
[12:02.000 --> 12:05.000]  The People vs. John Lennon.
[12:05.000 --> 12:08.000]  And, obviously, the family has had their comments
[12:08.000 --> 12:11.000]  about the fact that that was a government operation,
[12:11.000 --> 12:13.000]  mind control program.
[12:13.000 --> 12:15.000]  I'm just going to leave it at that.
[12:15.000 --> 12:17.000]  Their statements are on record.
[12:17.000 --> 12:21.000]  Now, like I've talked to them or anything.
[12:21.000 --> 12:22.000]  Okay.
[12:22.000 --> 12:27.000]  All right, my friends.
[12:27.000 --> 12:29.000]  Where to begin here?
[12:29.000 --> 12:33.000]  Where to begin?
[12:33.000 --> 12:36.000]  If you go to Thursday's show,
[12:36.000 --> 12:40.000]  why was I mentioning that we had the number one news article
[12:40.000 --> 12:44.000]  in the alternative media, the sixth or fifth most read
[12:44.000 --> 12:49.000]  in online mainstream and alternative news, period?
[12:49.000 --> 12:52.000]  Why am I raising that issue?
[12:52.000 --> 12:56.000]  Because I did a three-hour radio show that Thursday
[12:56.000 --> 13:00.000]  that streamed live on the web, aired on AM and FM affiliates,
[13:00.000 --> 13:02.000]  was archived at prisonplanet.tv
[13:02.000 --> 13:05.000]  and at the Alex Jones channel on YouTube.
[13:05.000 --> 13:09.000]  And I interviewed several people in studio.
[13:09.000 --> 13:10.000]  It's on record.
[13:10.000 --> 13:11.000]  I was live.
[13:11.000 --> 13:13.000]  People are already there on my channel saying,
[13:13.000 --> 13:20.000]  well, I see this was uploaded on the night of Thursday.
[13:20.000 --> 13:21.000]  This must be fake.
[13:21.000 --> 13:24.000]  There's no way he could predict that this was going to happen.
[13:24.000 --> 13:26.000]  Well, I'm sorry for you.
[13:26.000 --> 13:30.000]  It's on record that I did that radio show Thursday
[13:30.000 --> 13:34.000]  and wore the dark jacket and the green shirt.
[13:34.000 --> 13:35.000]  And it's on record.
[13:35.000 --> 13:37.000]  I had those guests in studio and it's on record
[13:37.000 --> 13:42.000]  as they were in studio, as I went to my in-studio guest,
[13:42.000 --> 13:44.000]  one of them, a national TV host.
[13:44.000 --> 13:45.000]  Forget his name.
[13:45.000 --> 13:47.000]  What's that comedian's name?
[13:47.000 --> 13:48.000]  Hal Sparks.
[13:48.000 --> 13:50.000]  Hal Sparks.
[13:50.000 --> 13:53.000]  That as I went to them, I said,
[13:53.000 --> 13:54.000]  you watch.
[13:54.000 --> 13:57.000]  They're about to stage terror attacks in Europe,
[13:57.000 --> 14:00.000]  the United States, and blame it on the right wing.
[14:00.000 --> 14:05.000]  The system is in the process of transferring the whole
[14:05.000 --> 14:08.000]  police state that's been built in the name of fighting
[14:08.000 --> 14:13.000]  the Arab, quote, Muslim, quote, menace that's been hyped up.
[14:13.000 --> 14:17.000]  That's going to be transferred over onto Christians,
[14:17.000 --> 14:19.000]  conservatives, Ron Ball supporters,
[14:19.000 --> 14:22.000]  returning veterans, gun owners, people that don't want
[14:22.000 --> 14:25.000]  banker bailouts, people that don't want open borders.
[14:25.000 --> 14:28.000]  And of the three hour radio show,
[14:28.000 --> 14:31.000]  I spent more than two hours of the show,
[14:31.000 --> 14:33.000]  about two hours and 15 minutes.
[14:33.000 --> 14:36.000]  In fact, I made my guest sit here in studio while I finished
[14:36.000 --> 14:42.000]  ranting and laying out that I could see the mainstream
[14:42.000 --> 14:46.000]  corporate media preparing people's minds for this.
[14:46.000 --> 14:49.000]  In the dramas, the cop shows, the sitcoms,
[14:49.000 --> 14:53.000]  the mainstream news articles, the homeland security videos,
[14:53.000 --> 14:57.000]  where they say if you see a white person writing on a piece
[14:57.000 --> 15:01.000]  of paper, talking on a cell phone, wearing a hoodie,
[15:01.000 --> 15:04.000]  driving a white van, call the police.
[15:04.000 --> 15:08.000]  In the video, 10 minute video, that's in the article,
[15:08.000 --> 15:11.000]  DHS video characterizes white Americans as most likely
[15:11.000 --> 15:15.000]  terrorists, Fox News, Daily Mail, Breitbart,
[15:15.000 --> 15:18.000]  they all covered our story and they concurred,
[15:18.000 --> 15:23.000]  yes it clearly shows, out of dozens and dozens of terrorists,
[15:23.000 --> 15:26.000]  all but two are white and it's all minorities,
[15:26.000 --> 15:30.000]  black people, Asians, Hispanics, reporting on the white terrorist.
[15:30.000 --> 15:33.000]  And there's shots of blonde-haired women with blue eyes
[15:33.000 --> 15:35.000]  with their eyes shining blue.
[15:35.000 --> 15:38.000]  It's all meant to brand that hey, the new Al Qaeda
[15:38.000 --> 15:40.000]  is the American people.
[15:40.000 --> 15:44.000]  And there's two plus hours of video on my YouTube channel.
[15:44.000 --> 15:48.000]  The MP3 went out that day, it's time stamped on record.
[15:48.000 --> 15:52.000]  I said, prepare for imminent stage right wing attacks.
[15:52.000 --> 15:55.000]  I'm going to break down what this signifies on the other side
[15:55.000 --> 15:58.000]  and play a clip from Thursday's show.
[16:25.000 --> 16:29.000]  Guarantee you love the way they fit.
[16:29.000 --> 16:34.000]  They put a diamond gusset in the crotch where you need it most.
[16:34.000 --> 16:39.000]  Blue diamond gussets got it, others don't.
[16:39.000 --> 16:43.000]  We turned jeans inside out, diamond gusset jeans,
[16:43.000 --> 16:46.000]  made in the USA with unparalleled quality.
[16:46.000 --> 16:49.000]  Our Defender motorcycle jeans combine gusset comfort
[16:49.000 --> 16:52.000]  with Kevlar protection so you can ride all day with confidence.
[16:52.000 --> 16:55.000]  Order yours at gusset.com.
[16:55.000 --> 17:24.000]  Diamond gusset jeans got it, others don't.
[17:25.000 --> 17:27.000]  It exposes how the continuity of government program
[17:27.000 --> 17:30.000]  has established an old powerful shadow state.
[17:30.000 --> 17:32.000]  Police State 4 chronicles the sickening depths
[17:32.000 --> 17:34.000]  to which our republic has fallen.
[17:34.000 --> 17:38.000]  Prepare to enter the secretive world of emergency dictatorship.
[17:38.000 --> 17:41.000]  Body scanners, sound cameras, citizen spies,
[17:41.000 --> 17:44.000]  staged terror and cameras on every street corner.
[17:44.000 --> 17:48.000]  It's only the beginning of the New World Order's hellish plan.
[17:48.000 --> 17:51.000]  The police state isn't coming, it's here.
[17:51.000 --> 17:54.000]  Secure your copy today at infowars.com
[17:54.000 --> 17:58.000]  or see it online in the highest quality at prismplanet.tv.
[18:24.000 --> 18:28.000]  Folks are really surprised at what we're actually giving away.
[18:28.000 --> 18:32.000]  Now folks, we've had 235 years of freedom in this country,
[18:32.000 --> 18:35.000]  so for every $235 worth of food ordered,
[18:35.000 --> 18:39.000]  we give away $149 dollar Patriot Pack free.
[18:39.000 --> 18:44.000]  To order the best food on the planet, call 800-409-5633
[18:44.000 --> 18:48.000]  or go to efoodsdirect.com slash alex.
[18:48.000 --> 18:50.000]  A free 12 day supply Patriot Pack
[18:50.000 --> 18:53.000]  with every $235 worth of food ordered.
[18:53.000 --> 18:59.000]  Call 800-409-5633 or efoodsdirect.com slash alex.
[18:59.000 --> 19:03.000]  A very wealthy US citizen is predicting that in 2011
[19:03.000 --> 19:07.000]  we will witness the most important day in America in more than 50 years.
[19:07.000 --> 19:10.000]  He says it will change everything about our lives.
[19:10.000 --> 19:13.000]  The way you shop, travel, invest, educate your children,
[19:13.000 --> 19:15.000]  and even how you take care of your health and your own family.
[19:15.000 --> 19:18.000]  Now this man has made some outrageous predictions over the years.
[19:18.000 --> 19:21.000]  The crazy part is, he's usually right.
[19:21.000 --> 19:23.000]  You see, he predicted the collapse of GM,
[19:23.000 --> 19:26.000]  Panny May, Freddie Mac, and America's biggest mall owner,
[19:26.000 --> 19:27.000]  General Growth Properties.
[19:27.000 --> 19:30.000]  In fact, Barron's called his work a dire prophecy.
[19:30.000 --> 19:34.000]  Recently, he created a video which you can watch online for free,
[19:34.000 --> 19:36.000]  detailing his biggest and most important prediction yet,
[19:36.000 --> 19:38.000]  and it's a real eye-opener.
[19:38.000 --> 19:39.000]  I can't stress this enough.
[19:39.000 --> 19:42.000]  You should at least watch this free video online today.
[19:42.000 --> 19:44.000]  He explains everything you need to know,
[19:44.000 --> 19:46.000]  including simple steps you can take to protect yourself.
[19:46.000 --> 19:51.000]  You can find the video at www.EndOfAmerica3.com.
[19:51.000 --> 19:53.000]  That's End of America, the number 3.com.
[19:53.000 --> 19:57.000]  Watch the free video at www.EndOfAmerica3.com.
[19:57.000 --> 20:25.000]  That's EndOfAmerica3.com.
[20:25.000 --> 20:27.000]  All right, we're back live.
[20:27.000 --> 20:30.000]  Coming up in the next segment, we will take you to Oslo, Norway
[20:30.000 --> 20:34.000]  to talk to a listener and a survivor who was in the bombing,
[20:34.000 --> 20:36.000]  blown back by it.
[20:36.000 --> 20:40.000]  If he was 20 seconds earlier, he would have been hurt or killed.
[20:40.000 --> 20:44.000]  That gentleman will be joining us, Robert from Norway,
[20:44.000 --> 20:46.000]  coming up in the next segment.
[20:46.000 --> 20:48.000]  Now I want to be clear.
[20:48.000 --> 20:54.000]  I wish that this was not a false flag or inside job.
[20:54.000 --> 20:57.000]  I wish the evidence wasn't pointing that direction.
[20:57.000 --> 21:02.000]  It is a lot more scary to know that it's mega corporations,
[21:02.000 --> 21:05.000]  government networks, intelligence agencies,
[21:05.000 --> 21:09.000]  that are clearly involved in so many of these attacks.
[21:09.000 --> 21:12.000]  And because our government and other governments
[21:12.000 --> 21:14.000]  have been caught staging terror attacks before,
[21:14.000 --> 21:18.000]  we have to look at them as suspects and see,
[21:18.000 --> 21:21.000]  are there the standard signatures, the fingerprints,
[21:21.000 --> 21:25.000]  the earmarks, and unfortunately, this has them all.
[21:25.000 --> 21:29.000]  There was a drill, a day and a half before,
[21:29.000 --> 21:32.000]  a few hundred yards away from the government buildings
[21:32.000 --> 21:35.000]  of multiple terrorist bombings.
[21:35.000 --> 21:38.000]  There were also the standard reports of other bombers
[21:38.000 --> 21:41.000]  and other shooters now being confirmed.
[21:41.000 --> 21:43.000]  And reportedly, one arrest has been made,
[21:43.000 --> 21:46.000]  quote, Norwegian Special Forces arrest a second man,
[21:46.000 --> 21:48.000]  just like Oklahoma City.
[21:48.000 --> 21:51.000]  That was John Doe number two, caught on the surveillance tapes.
[21:51.000 --> 21:53.000]  The FBI has declared national security
[21:53.000 --> 21:57.000]  and never released any of those 27 tapes.
[21:57.000 --> 22:00.000]  Though an FBI agent told the LA Times he saw it,
[22:00.000 --> 22:04.000]  and it showed McVeigh with other men, including John Doe number two.
[22:04.000 --> 22:05.000]  Why aren't we supposed to talk about that?
[22:05.000 --> 22:07.000]  Well, I've interviewed multiple people
[22:07.000 --> 22:09.000]  that worked in the Oklahoma City building,
[22:09.000 --> 22:11.000]  like Jane Graham, the head of the department.
[22:11.000 --> 22:13.000]  On the ninth floor, she saw Tim McVeigh and others
[22:13.000 --> 22:15.000]  planting large gray sticks of butter,
[22:15.000 --> 22:18.000]  she didn't know what they were, and thought that they were
[22:18.000 --> 22:19.000]  the telephone company.
[22:19.000 --> 22:21.000]  And she saw them there with, reportedly,
[22:21.000 --> 22:23.000]  who she later saw in the news,
[22:23.000 --> 22:26.000]  a member of German intelligence, Andrea Strasmeier,
[22:26.000 --> 22:30.000]  and some other U.S. government agents.
[22:30.000 --> 22:32.000]  And again, this is all on record.
[22:32.000 --> 22:34.000]  And the building was blown out, not in.
[22:34.000 --> 22:36.000]  I have the newscast of them removing the unexploded bombs.
[22:36.000 --> 22:38.000]  The governor's saying we found the bombs,
[22:38.000 --> 22:40.000]  the pillars in the back blown out,
[22:40.000 --> 22:42.000]  further away from the rider truck,
[22:42.000 --> 22:44.000]  then pillars that were right by the rider truck
[22:44.000 --> 22:47.000]  weren't destroyed, blast points, shape-charge blast points,
[22:47.000 --> 22:49.000]  the head of Air Force Weapons Development,
[22:49.000 --> 22:51.000]  Benton Parton ran out there, General Parton,
[22:51.000 --> 22:53.000]  and said, this is an inside job.
[22:53.000 --> 22:57.000]  You see, that was done when the American people
[22:57.000 --> 23:00.000]  were rising up and saying no to Bill Clinton,
[23:00.000 --> 23:02.000]  and he was about to lose the election.
[23:02.000 --> 23:04.000]  And so, boom, there was a bombing.
[23:04.000 --> 23:06.000]  His approval rating went up, and Bill Clinton told
[23:06.000 --> 23:09.000]  USA Today and others, after he was reelected the next year,
[23:09.000 --> 23:11.000]  he said, I owe my reelection to Oklahoma City.
[23:11.000 --> 23:13.000]  In fact, I forgot.
[23:13.000 --> 23:15.000]  I got to dig up the Michael Savage clip where he said,
[23:15.000 --> 23:18.000]  mark my words, the government's going to stage terror attacks
[23:18.000 --> 23:19.000]  and blame right-wingers.
[23:19.000 --> 23:21.000]  I'm not the only one saying this.
[23:21.000 --> 23:25.000]  I could also pull up the clips of Obama advisors saying,
[23:25.000 --> 23:28.000]  we need Stage 9-11 or Oklahoma City
[23:28.000 --> 23:30.000]  to really get our agenda through.
[23:30.000 --> 23:33.000]  They got so clear with all this that even Glenn Beck
[23:33.000 --> 23:35.000]  six months ago came out and said they're preparing
[23:35.000 --> 23:37.000]  to stage attacks and blame people
[23:37.000 --> 23:39.000]  that aren't for a new world order.
[23:39.000 --> 23:41.000]  In fact, if I don't have time to play those today
[23:41.000 --> 23:43.000]  and have a guest coming up, I'll definitely play them
[23:43.000 --> 23:46.000]  on the Monday show, the weekday show, 11 a.m. to 2 p.m.
[23:46.000 --> 23:48.000]  But I think we're going to dig those up.
[23:48.000 --> 23:50.000]  Let's dig up the Savage.
[23:50.000 --> 23:52.000]  I know it's in the computer.
[23:52.000 --> 23:55.000]  Savage talks about stage terror attacks or Reichstag.
[23:55.000 --> 23:57.000]  Obama will stage Reichstag in the name of it.
[23:57.000 --> 24:00.000]  There's a bunch of them, but that's the really informative one.
[24:00.000 --> 24:03.000]  Now, we're going to go to break here in a little while,
