[00:00.000 --> 00:15.000]  Jesse Peters is right.
[02:08.000 --> 02:10.000]  We've gotten plenty of credit for trying to kill me
[02:10.000 --> 02:12.000]  and put me in prison right now.
[02:12.000 --> 02:14.000]  All I want to do is win against these people.
[02:14.000 --> 02:17.000]  But here is the video before we even started the contest
[02:17.000 --> 02:18.000]  that had me happy.
[02:18.000 --> 02:20.000]  I didn't have the contest five years ago.
[02:20.000 --> 02:21.000]  What I was saying,
[02:21.000 --> 02:22.000]  you ought to go confront them and say,
[02:22.000 --> 02:25.000]  Bill Clinton's a rapist in FullWars.com.
[02:25.000 --> 02:30.000]  This is the Tucker Carlson clip that caused the chamber to action.
[02:30.000 --> 02:31.000]  Waiting for this segment all morning long.
[02:31.000 --> 02:33.000]  We are rolling out the red carpet,
[02:33.000 --> 02:34.000]  not for Tucker,
[02:34.000 --> 02:37.000]  but for some adorable, adoptable dogs.
[02:37.000 --> 02:39.000]  Every year, the Best Friends Animal Society
[02:39.000 --> 02:43.000]  helps cats and dogs who are stuck in animal shelters.
[02:43.000 --> 02:47.000]  Bill Clinton is a rapist.
[02:47.000 --> 02:53.000]  So, that's what we need to do
[02:53.000 --> 02:55.000]  is peacefully, non-violently,
[02:55.000 --> 02:58.000]  but very aggressively in civil disobedience.
[02:58.000 --> 02:59.000]  We'll talk with Dr. Zelinko,
[02:59.000 --> 03:01.000]  good friend of mine, great patriot for humanity.
[03:01.000 --> 03:03.000]  In just a few minutes we're going to break.
[03:03.000 --> 03:07.000]  But we can joke and laugh about this all day.
[03:07.000 --> 03:11.000]  This is really, really, really, really serious.
[03:11.000 --> 03:13.000]  And we now have more FDA documents that have come out
[03:13.000 --> 03:16.000]  confirming what Dr. Yidon said a year and a half ago
[03:16.000 --> 03:19.000]  and what Dr. Zelinko said and so much more.
[03:19.000 --> 03:21.000]  And Dr. Yidon has also come out,
[03:21.000 --> 03:23.000]  former chief scientist at Pfizer,
[03:23.000 --> 03:26.000]  and said this is definitely a depopulation weapon.
[03:26.000 --> 03:28.000]  Six months ago he said it looks like it may be depopulation.
[03:28.000 --> 03:33.000]  He said now there is no doubt this is depopulation.
[03:33.000 --> 03:36.000]  That's like Michael Jordan saying there's no doubt
[03:36.000 --> 03:37.000]  he made the three-pointer.
[03:37.000 --> 03:39.000]  Michael Jordan knows basketball.
[03:39.000 --> 03:44.000]  Dr. Michael Yidon knows vaccines.
[03:44.000 --> 03:45.000]  And this is not a vaccine.
[03:45.000 --> 03:49.000]  You've got so many other scientists
[03:49.000 --> 03:51.000]  that the inventor of mRNA technology
[03:51.000 --> 03:53.000]  coming out in emergency warnings.
[03:53.000 --> 03:58.000]  You notice the inventor of it was a little more tame
[03:58.000 --> 03:59.000]  about it the first year.
[03:59.000 --> 04:00.000]  Now he's like, no, it's depopulation.
[04:00.000 --> 04:01.000]  It's evil.
[04:01.000 --> 04:02.000]  We've got to stop him.
[04:02.000 --> 04:05.000]  Just what Dr. Zelinko and I talked about
[04:05.000 --> 04:08.000]  the time before last he came on.
[04:08.000 --> 04:13.000]  And that was we are going to have to just come out
[04:13.000 --> 04:15.000]  and say everything that's going down,
[04:15.000 --> 04:16.000]  everything that's happening,
[04:16.000 --> 04:18.000]  we've got to just admit they're killing us
[04:18.000 --> 04:20.000]  because if we argue, oh, this doesn't work.
[04:20.000 --> 04:21.000]  Oh, the vaccine's not perfect.
[04:21.000 --> 04:22.000]  You know, why are you wrong?
[04:22.000 --> 04:25.000]  If we do that, they keep winning.
[04:25.000 --> 04:27.000]  But that's not what's going on here.
[04:27.000 --> 04:29.000]  That's not what's happening.
[04:29.000 --> 04:34.000]  This is premeditated plan from the beginning.
[04:34.000 --> 04:35.000]  All right.
[04:35.000 --> 04:37.000]  We're getting Dr. Zelinko hooked up right now
[04:37.000 --> 04:38.000]  and getting this camera working here.
[04:38.000 --> 04:40.000]  And we're going to go to break and come back
[04:40.000 --> 04:42.000]  in 60 seconds with him straight ahead.
[04:42.000 --> 04:48.000]  mpholwars.com tomorrow's news today and please don't forget
[04:48.000 --> 04:49.000]  freeworldnews.tv.
[04:49.000 --> 04:51.000]  It's the same address as Band-Aid video.
[04:51.000 --> 05:20.000]  It's just not a blocked link.
[05:21.000 --> 05:47.000]  It's the same address as Band-Aid video.
[05:47.000 --> 05:52.000]  Only being aware of this and only rallying against it now
[05:52.000 --> 05:53.000]  can back them off.
[05:53.000 --> 05:55.000]  Please, ladies and gentlemen, continue to spread the word
[05:55.000 --> 05:57.000]  about mpholwars.com and newswars.com and the live show
[05:57.000 --> 05:59.000]  because you are the modern Paul Revere's.
[05:59.000 --> 06:03.000]  Without you, we're going to lose.
[06:03.000 --> 06:06.000]  From the front lines of the Information War,
[06:06.000 --> 06:11.000]  it's Alex Jones.
[06:11.000 --> 06:16.000]  So if it's going to be used, it's better to focus on those groups
[06:16.000 --> 06:19.000]  who are at risk of severe disease and death,
[06:19.000 --> 06:22.000]  rather than, as we see, some countries are using
[06:22.000 --> 06:27.000]  to give boosters to children, which is not right.
[06:27.000 --> 06:31.000]  So when your government scientists tell you
[06:31.000 --> 06:35.000]  that a variant that's 0.3% different from SARS
[06:35.000 --> 06:39.000]  could masquerade as a new virus and be a threat to your health,
[06:39.000 --> 06:44.000]  you should know, and I'm telling you, they are lying.
[06:44.000 --> 06:46.000]  And they are.
[06:46.000 --> 06:50.000]  Why is the pharmaceutical industry making top-up vaccines?
[06:50.000 --> 06:52.000]  They are making them.
[06:52.000 --> 06:55.000]  You should be terrified at this point, as I am,
[06:55.000 --> 06:59.000]  because there's absolutely no possible justification
[06:59.000 --> 07:01.000]  for their manufacture.
[07:01.000 --> 07:04.000]  But they're being made and the world's medicines regulators
[07:04.000 --> 07:07.000]  have said, because they're quite similar to the original vaccines,
[07:07.000 --> 07:09.000]  the ones that are being given now,
[07:09.000 --> 07:12.000]  we won't be asking them to do any clinical safety studies.
[07:12.000 --> 07:15.000]  So let me just say again, the variants are not different
[07:15.000 --> 07:17.000]  enough to represent a threat to you.
[07:17.000 --> 07:21.000]  So you do not need to top-up vaccines, yet they are being made,
[07:21.000 --> 07:24.000]  and the regulators have more or less waved them through.
[07:24.000 --> 07:26.000]  I'm very frightened of that.
[07:26.000 --> 07:30.000]  There's no possible benign interpretation of this.
[07:30.000 --> 07:33.000]  I believe that they're going to be used to damage your health
[07:33.000 --> 07:35.000]  and possibly kill you, seriously.
[07:35.000 --> 07:41.000]  I can see no sensible interpretation other than a serious attempt
[07:41.000 --> 07:43.000]  at mass depopulation.
[07:43.000 --> 07:47.000]  This will provide the tools to do it and plausible deniability
[07:47.000 --> 07:52.000]  because they'll create another story about some sort of biological threat
[07:52.000 --> 07:54.000]  and you'll line up and get your top-up vaccines
[07:54.000 --> 07:56.000]  and a few months or a year or so later,
[07:56.000 --> 08:00.000]  you'll die of some peculiar, explicable syndrome
[08:00.000 --> 08:03.000]  and they won't be able to associate it with the top-up vaccines.
[08:03.000 --> 08:06.000]  But that's my belief that they're lying to you about variants
[08:06.000 --> 08:12.000]  so they can make damaging top-up vaccines that you don't need at all
[08:12.000 --> 08:14.000]  and I think they'll be used for malign purposes.
[08:14.000 --> 08:17.000]  And if you don't wake up, that's what's going to happen,
[08:17.000 --> 08:19.000]  I think, during next year.
[08:20.000 --> 08:22.000]  Well, that's really scary and it's true.
[08:22.000 --> 08:25.000]  It's Dr. Michael Edon,
[08:25.000 --> 08:27.000]  former head of the Technology Division
[08:27.000 --> 08:32.000]  and the head scientist of respiratory viruses at Pfizer.
[08:32.000 --> 08:35.000]  And Dr. Robert Malone is the inventor of mRNA technology.
[08:35.000 --> 08:37.000]  The first year and a half, he's like,
[08:37.000 --> 08:39.000]  maybe they're idiots, maybe they don't know,
[08:39.000 --> 08:40.000]  but this is going to hurt a lot of people.
[08:40.000 --> 08:43.000]  Now he's like, no, it's premeditated, it's evil, we've got to stop them
[08:43.000 --> 08:44.000]  because you cannot deny that.
[08:44.000 --> 08:49.000]  I had Dr. Zelenko on time before last about a month ago
[08:49.000 --> 08:50.000]  and I'm not tooting our horn.
[08:50.000 --> 08:52.000]  I'm saying we know what we're talking about.
[08:52.000 --> 08:54.000]  Please listen to us because I want to get out of this with our lives.
[08:54.000 --> 08:56.000]  I want you to get out of it as well.
[08:56.000 --> 08:57.000]  This is real.
[08:57.000 --> 09:00.000]  It's the biggest threat in the last human development.
[09:00.000 --> 09:01.000]  This is the biggest event ever.
[09:01.000 --> 09:06.000]  You cannot debate that this is like Hitler on steroids
[09:06.000 --> 09:09.000]  and that if we don't identify it's on purpose
[09:09.000 --> 09:11.000]  and if we don't identify these are war criminals
[09:11.000 --> 09:13.000]  and if we don't identify they cooked it up on purpose,
[09:13.000 --> 09:17.000]  then they keep being able to debate us
[09:17.000 --> 09:20.000]  and argue little fine points and keep people distracted.
[09:20.000 --> 09:25.000]  So that is not the point that we're making here.
[09:25.000 --> 09:26.000]  This is not some accidental thing.
[09:26.000 --> 09:29.000]  These aren't just companies that mean well,
[09:29.000 --> 09:31.000]  that screwed up and all this garbage.
[09:31.000 --> 09:35.000]  These are individuals that are using this to take over the planet
[09:35.000 --> 09:37.000]  and it's in the great reset documents
[09:37.000 --> 09:39.000]  and it's an incredible time to be alive.
[09:39.000 --> 09:43.000]  So Dr. Zelenko joins us here.
[09:43.000 --> 09:44.000]  He needs no introduction.
[09:44.000 --> 09:45.000]  So much has happened.
[09:45.000 --> 09:47.000]  He also issued an alert yesterday
[09:47.000 --> 09:49.000]  that if something happens to him,
[09:49.000 --> 09:51.000]  that he's not died of cancer,
[09:51.000 --> 09:53.000]  which he's fighting right now,
[09:53.000 --> 09:54.000]  but that it can be foul play.
[09:54.000 --> 09:56.000]  I want to say the same thing.
[09:56.000 --> 09:57.000]  I'm getting a lot of death threats right now.
[09:57.000 --> 09:59.000]  We're not being dramatic, folks.
[09:59.000 --> 10:01.000]  We're at the tip of the spear exposing mass murderers.
[10:01.000 --> 10:03.000]  This is a war.
[10:03.000 --> 10:05.000]  And like Marshall McLuhan said 50 years ago,
[10:05.000 --> 10:07.000]  in the future the war is going to be distributed
[10:07.000 --> 10:08.000]  to the general public.
[10:08.000 --> 10:10.000]  It's not going to be main armies against each other.
[10:10.000 --> 10:13.000]  So Dr. Zelenko, so much going on, so much happening.
[10:13.000 --> 10:17.000]  Thank you so much for joining us on this Thursday broadcast.
[10:17.000 --> 10:20.000]  Hi, Alex. Thanks again for having me.
[10:20.000 --> 10:22.000]  I got a lot of questions and a lot to say
[10:22.000 --> 10:23.000]  and a lot to break down
[10:23.000 --> 10:25.000]  and I want you to be able to take us where you want to go first.
[10:25.000 --> 10:27.000]  So take us there.
[10:27.000 --> 10:30.000]  And then I want to talk to you about Dr. Michael Yidon,
[10:30.000 --> 10:32.000]  who I know you talk a lot about,
[10:32.000 --> 10:34.000]  getting even more hardcore now
[10:34.000 --> 10:36.000]  and basically aligning with what you and I are saying.
[10:36.000 --> 10:38.000]  It isn't about us being right,
[10:38.000 --> 10:40.000]  but I think it's key to really have people face
[10:40.000 --> 10:41.000]  what we're up against.
[10:41.000 --> 10:44.000]  We have any chance of beating it.
[10:44.000 --> 10:46.000]  We're going to win.
[10:46.000 --> 10:48.000]  It's like someone who plays chess.
[10:48.000 --> 10:50.000]  The better chess player you are,
[10:50.000 --> 10:52.000]  the more moves ahead you could see.
[10:52.000 --> 10:55.000]  And I see already that it's checkmate.
[10:55.000 --> 10:58.000]  The only question that's still a variable
[10:58.000 --> 10:59.000]  is how much carnage
[10:59.000 --> 11:01.000]  and what will be the body count of the innocent
[11:01.000 --> 11:03.000]  until we get to that point.
[11:03.000 --> 11:06.000]  And the reason why I'm doing these interviews
[11:06.000 --> 11:10.000]  is that I hope that spreading the true narrative
[11:10.000 --> 11:12.000]  and giving people hope
[11:12.000 --> 11:15.000]  may mitigate or reduce the body count.
[11:15.000 --> 11:17.000]  And so regarding Dr. Michael Yidon,
[11:17.000 --> 11:18.000]  I know him personally.
[11:18.000 --> 11:20.000]  He's a mentor of mine.
[11:20.000 --> 11:23.000]  He's a brilliant scientist, former vice president of Pfizer.
[11:23.000 --> 11:26.000]  And he told me personally
[11:26.000 --> 11:29.000]  that for every one child that dies from COVID,
[11:29.000 --> 11:31.000]  100 die from the vaccine.
[11:31.000 --> 11:33.000]  The vaccine is 100 times more lethal
[11:33.000 --> 11:37.000]  to children than the virus.
[11:37.000 --> 11:38.000]  I think it's more than that,
[11:38.000 --> 11:42.000]  but he has the statistics and the data analysis
[11:42.000 --> 11:44.000]  to prove that,
[11:44.000 --> 11:47.000]  and he has actually presented that information to the world.
[11:47.000 --> 11:48.000]  He's a man of integrity.
[11:48.000 --> 11:52.000]  He has only what to lose from coming out of retirement.
[11:52.000 --> 11:53.000]  He's a very wealthy man.
[11:53.000 --> 11:56.000]  He doesn't need all this aggravation.
[11:56.000 --> 11:57.000]  The only reason why he's doing it
[11:57.000 --> 12:00.000]  is I believe that he's being motivated by altruism
[12:00.000 --> 12:07.000]  and a genuine desire to protect people from carnage.
[12:07.000 --> 12:12.000]  Now, I think that it's extremely important to understand
[12:12.000 --> 12:18.000]  what is the motivation behind the criminals and monsters
[12:18.000 --> 12:20.000]  that have done this.
[12:20.000 --> 12:22.000]  And no one should believe a word I'm saying.
[12:22.000 --> 12:25.000]  They should just listen and then do their own due diligence.
[12:25.000 --> 12:29.000]  I provided for you resources and references
[12:29.000 --> 12:30.000]  to what I'm about to say,
[12:30.000 --> 12:33.000]  but much of which I'm sure you know.
[12:33.000 --> 12:38.000]  But 30 years ago, it became obvious to the people in power
[12:38.000 --> 12:40.000]  and people who are the wealthiest,
[12:40.000 --> 12:42.000]  most powerful people in the planet
[12:42.000 --> 12:45.000]  that there was going to be a major catastrophe economically
[12:45.000 --> 12:47.000]  in 30 years.
[12:47.000 --> 12:51.000]  There would be a collapse bankruptcy of the beginning,
[12:51.000 --> 12:55.000]  a bankruptcy of social security and Medicare.
[12:55.000 --> 12:57.000]  And that's all known.
[12:57.000 --> 13:00.000]  And Biden's recent policies of increased entitlements
[13:00.000 --> 13:04.000]  have upped the date to the anticipated collapse
[13:04.000 --> 13:08.000]  that 2027, 2026 used to be 2028.
[13:08.000 --> 13:10.000]  That's the beginning.
[13:10.000 --> 13:13.000]  And within 10 years to be a complete bankruptcy,
[13:13.000 --> 13:18.000]  that will have a tsunami effect on the global economy
[13:18.000 --> 13:24.000]  and threatens the stakeholders, their power and their wealth
[13:24.000 --> 13:28.000]  and control mechanisms over humanity,
[13:28.000 --> 13:32.000]  which they've had cultivated over millennia.
[13:32.000 --> 13:37.000]  We're talking about a force of evil
[13:37.000 --> 13:45.000]  that has always used human slavery as an asset.
[13:45.000 --> 13:48.000]  Slavery has always been the most lucrative industry
[13:48.000 --> 13:50.000]  in the history of humanity.
[13:50.000 --> 13:52.000]  And these people are immoral.
[13:52.000 --> 13:53.000]  They're not immoral.
[13:53.000 --> 13:56.000]  They're amoral, which means they are moral
[13:56.000 --> 13:58.000]  when it's expedient to them.
[13:58.000 --> 14:00.000]  They're immoral when it's expedient to them.
[14:00.000 --> 14:03.000]  They support the Jews when it's expedient to them.
[14:03.000 --> 14:06.000]  They support the Christians when it's useful to them.
[14:06.000 --> 14:08.000]  And then they set the Jews against the Christians
[14:08.000 --> 14:10.000]  and vice versa when it's useful for them.
[14:10.000 --> 14:12.000]  They're capitalists when they need to be.
[14:12.000 --> 14:14.000]  They're communists when they need to be.
[14:14.000 --> 14:20.000]  This level of malevolence transcends all of these systems
[14:20.000 --> 14:24.000]  that they have set and they play games and create chaos
[14:24.000 --> 14:27.000]  and geopolitical destabilization
[14:27.000 --> 14:29.000]  in order to promote their own agenda.
[14:29.000 --> 14:32.000]  In this particular case, it became obvious to everyone
[14:32.000 --> 14:35.000]  that there was going to be a huge economic collapse
[14:35.000 --> 14:37.000]  and they were threatened.
[14:37.000 --> 14:39.000]  What have they done?
[14:39.000 --> 14:42.000]  They've initiated a plan over the last 30 years
[14:42.000 --> 14:46.000]  that will result in when the system collapses
[14:46.000 --> 14:49.000]  and the dust settles,
[14:49.000 --> 14:54.000]  they will have the new financial infrastructure
[14:54.000 --> 14:57.000]  and control mechanisms to lead to the ultimate enslavement
[14:57.000 --> 14:58.000]  of humanity.
[14:58.000 --> 15:01.000]  And let me explain.
[15:01.000 --> 15:04.000]  In 2016, everyone knows,
[15:04.000 --> 15:09.000]  Joshua said that within 10 years, meaning by 2026,
[15:09.000 --> 15:12.000]  right before the anticipated collapse,
[15:12.000 --> 15:17.000]  7 billion people will be tagged with a digital tracking device,
[15:17.000 --> 15:18.000]  essentially.
[15:18.000 --> 15:24.000]  A biometric sensor that transmits biometric data
[15:24.000 --> 15:28.000]  with your location to a third party.
[15:28.000 --> 15:30.000]  And it's not science fiction.
[15:30.000 --> 15:33.000]  There's a patent, which we've spoken about several times,
[15:33.000 --> 15:34.000]  so you can watch TV,
[15:34.000 --> 15:37.000]  so at first you'll wear it, then it will be on the skin.
[15:37.000 --> 15:40.000]  Right, that's what I'm saying there and I have that video,
[15:40.000 --> 15:42.000]  but in addition to that there's a patent,
[15:42.000 --> 15:45.000]  the two patents that go hand in hand.
[15:45.000 --> 15:47.000]  The one patent says that
[15:47.000 --> 15:50.000]  current vaccines have nanotechnology in them
[15:50.000 --> 15:53.000]  that allows them to measure your heart rate...
[15:53.000 --> 15:54.000]  Stay right there.
[15:54.000 --> 15:55.000]  We're going to come right back to you.
[15:55.000 --> 15:57.000]  This is riveting information.
[15:57.000 --> 15:58.000]  How does the link go?
[15:58.000 --> 15:59.000]  Please stay with us.
[15:59.000 --> 16:02.000]  History is happening now.
[16:02.000 --> 16:10.000]  As we close out the year 2021 and accelerate into the critical year of 2022, it is so important
[16:10.000 --> 16:15.560]  to really meditate on the fact and let it sink in that we are in the middle of a globalist
[16:15.560 --> 16:20.800]  world government takeover whose end game is forced the population.
[16:20.800 --> 16:27.560]  The death, the disease, the horror being caused by these GMO gene therapy shots is just the
[16:27.560 --> 16:29.280]  beginning.
[16:29.280 --> 16:34.160]  They are now accelerating a program that will collapse civilization.
[16:34.160 --> 16:36.640]  There's not much time left to turn this around.
[16:36.640 --> 16:40.560]  The globalists are now getting a big cyber attack ready that they're going to launch
[16:40.560 --> 16:45.840]  and again blame on terrorists and use as a pretext to further collapse civilization.
[16:45.840 --> 16:50.280]  Only being aware of this and only rallying against it now can back them off.
[16:50.280 --> 16:54.720]  Please ladies and gentlemen, continue to spread the word about InfoWars.com and NewsWars.com
[16:54.720 --> 17:08.200]  and the live show because you are the modern Paul Revere's.
[17:08.200 --> 17:21.880]  It's because it's a loss of ancestral freedom that so many people fought and died and bled
[17:21.880 --> 17:28.920]  and sweat for and now we're just throwing it all away and I see that they're all public
[17:28.920 --> 17:51.920]  in a medically induced, scientifically induced, behavioral, psychologically controlled trance and I know we're being fed into this globalist being grounded and it's so incredibly sad but this is the process of birth and then growth and then falling apart and then degenerating and collapsing and then coming back to life again.
[17:51.920 --> 17:57.680]  It's just the globalists are actively trying to steer and control this process of decadence and collapse.
[17:57.680 --> 18:00.000]  It's actually in the species as we know it.
[18:00.000 --> 18:05.360]  Ultimate bone broth is back and better than ever and 20% off plus free shipping and double
[18:05.360 --> 18:07.520]  Patriot points for our new sale.
[18:07.520 --> 18:10.880]  After years of being off the shelves we're bringing back one of the biggest fan favorite
[18:10.880 --> 18:14.600]  formulas ever and it's now been reformulated and is even stronger.
[18:14.600 --> 18:17.160]  It's Ultimate Bone Broth Plus.
[18:17.160 --> 18:22.160]  It's got concentrated high quality chicken broth protein, turmeric root that's so amazing,
[18:22.160 --> 18:27.640]  chaga mushroom, bee pollen, goji berry, alfalfa herb powder and then it's got added magnesium
[18:27.640 --> 18:29.760]  and potassium for electrolytes.
[18:29.760 --> 18:35.720]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea
[18:35.720 --> 18:36.720]  salt.
[18:36.720 --> 18:39.960]  It even tastes better than the last formula and what it does for your body is simply
[18:39.960 --> 18:40.960]  amazing.
[18:40.960 --> 18:46.560]  Again it has that cutting edge chicken broth protein, isolate powder for better flavor
[18:46.560 --> 18:47.560]  and solvability.
[18:47.560 --> 18:51.160]  You're going to love this and what it does for your joints, what it does for your body,
[18:51.160 --> 18:55.080]  what it does for your bones is simply amazing and it helps find the info war.
[18:55.080 --> 18:59.880]  This is really the best bone broth out there so get yours at m4store.com today.
[18:59.880 --> 19:02.720]  It's time to protect your privacy.
[19:02.720 --> 19:07.120]  It's time to come to grips with the fact that even though you don't have anything to hide,
[19:07.120 --> 19:13.000]  criminals, hackers, corporations, big tech government are stealing all of your data and
[19:13.000 --> 19:17.800]  creating a map and a database of where you go and what you do so in the future under
[19:17.800 --> 19:21.640]  their globalist takeover they can shut you down.
[19:21.640 --> 19:25.800]  Protecting your privacy, protecting your credit cards, protecting your bank accounts,
[19:25.800 --> 19:30.080]  protecting your photos, protecting everything that's on your phone is paramount.
[19:30.080 --> 19:32.800]  That's why everybody should visit infowarstore.com.
[19:32.800 --> 19:40.080]  We're carrying a huge new line of very compliant made in America products that have 100% reviews
[19:40.080 --> 19:41.080]  and are simply incredible.
[19:41.080 --> 19:42.760]  It's a 360 win.
[19:42.760 --> 19:47.600]  Protect your privacy and shop at info wars to support the overall info war against the
[19:47.600 --> 19:50.280]  globalist a true 360 win.
[19:50.280 --> 20:07.480]  Get your Faraday cages at infowarstore.com, check out the new line, it's amazing.
[03:33.220 --> 20:27.760]  now I didn't talk to daughters and link up before he came on air today and
[20:27.760 --> 20:30.920]  I didn't tell them I'm going to talk about the great reset and engineered financial collapse
[20:30.920 --> 20:35.360]  and how swabs now pre-programming is going to be a big cyber attack that they claim terrorists
[20:35.360 --> 20:38.520]  launch we know who'll really launch it and notice he just brought it up without us even
[20:38.520 --> 20:42.120]  asking because we're all synced up that's God consciousness.
[20:42.120 --> 20:43.680]  That's what scares the Satanist.
[20:43.680 --> 20:49.800]  He wrote an article titled government is the enemy.
[20:49.800 --> 20:54.960]  What is really going on by Dr. Zalinko so Dr. please continue you got caught up by the
[20:54.960 --> 21:00.600]  break getting into they know they fraudulently created all this fashion reserve banking they've
[21:00.600 --> 21:05.360]  created all these derivatives they've taken the world over by it but it's a scam so instead
[21:05.360 --> 21:09.640]  of them all going to jail they've come up with a plan to collapse the world economy poses
[21:09.640 --> 21:15.160]  the saviors and depopulate the useful cedars in the process which is what so many corrupt
[21:15.160 --> 21:19.080]  feudal lords have done in the past like the Aztecs and others when they want to feed their
[21:19.080 --> 21:27.720]  population please continue yeah so the patent that I mentioned earlier gives the technology
[21:27.720 --> 21:35.520]  and the mechanism through which Klaus Schwab's prophecy let's say about 7 billion people having
[21:35.520 --> 21:44.720]  a digital identifier that connects them to a centralized network of grid or matrix is
[21:44.720 --> 21:49.560]  going to happen and and the second patent that goes together with that is what Microsoft
[21:49.560 --> 21:58.400]  has from 2020 it's W o 2020 0606 06 and that patent describes the linkage of biometric data
[21:58.400 --> 22:03.880]  transmission to cryptocurrency and so let me explain to you what that actually means
[22:03.880 --> 22:11.320]  it means that in the future and say 2026 at time there'll be no more easy pass there'll
[22:11.320 --> 22:18.600]  be no more Apple pay there'll be no more credit cards it'll be bio match biometric transactions
[22:18.600 --> 22:26.000]  in other words you are now injected with a technology that transmits your internal temperament
[22:26.000 --> 22:31.400]  and your internal data with your location to a third party now and that will allow you
[22:31.400 --> 22:36.080]  to let's say put your hand on a scanner and then walk out from the supermarket for the
[22:36.080 --> 22:40.200]  hipsters think it's cool but the problem with that is what if I don't want to be part of
[22:40.200 --> 22:47.680]  the matrix what if I don't want to be injected with a tracking technology well then I would
[22:47.680 --> 22:52.320]  be excluded from the system of finance I won't be able to buy bread at least not probably
[22:52.320 --> 22:56.680]  on the black market but I won't be able to buy bread for my family so it's a control
[22:56.680 --> 23:03.200]  mechanism it's the mark of the beast in other words if I don't participate in the system
[23:03.200 --> 23:10.200]  that they have created and control I will be excluded from the ability to do transactions
[23:10.200 --> 23:13.920]  financial transactions so they don't have to put a bullet in my head they just have
[23:13.920 --> 23:19.960]  to prevent the mice my ability to buy food for my family and that looks like the social
[23:19.960 --> 23:24.560]  credit system in China where basically they could set a radius through which I can't go
[23:24.560 --> 23:29.200]  out of my house and put me on house arrest they know my location I step out out of my
[23:29.200 --> 23:36.000]  permitted radius let's say and they turn off my ability to do violence so this is a control
[23:36.000 --> 23:44.120]  mechanism and the entire crisis here has nothing to do with medicine has nothing to do with
[23:44.120 --> 23:48.800]  health if they're fools on this planet right now who actually think that the governing
[23:48.800 --> 23:53.880]  body is actually care about your well-being then there's no hope for you but the reality
[23:53.880 --> 24:00.000]  is that COVID-19 is a weapon of mass destruction was made in a laboratory no one denies that
[24:00.000 --> 24:04.680]  and I want to tell you something Alex I don't know if you realize that in Ralph Barrick
