[00:00:00.009 --> 00:00:00.249]  And the U.S.
[00:21:37.970 --> 00:21:38.950]  Murdered U.S.
[00:21:38.950 --> 00:21:39.911]  children.
[00:21:39.911 --> 00:21:51.077]  Oh, but the government wouldn't kill 3,000 people on 9-11, though they read all those think tank documents saying how they needed terror attacks to get us to get behind a global war of tyranny in a domestic police state here at home.
[00:21:53.413 --> 00:22:01.356]  And then all the thousands of our troops they kill with nerve gas and chemical and biological and radiological agents and all declassified.
[00:22:01.356 --> 00:22:05.378]  Well, it's all going on today, ladies and gentlemen.
[00:22:05.378 --> 00:22:11.740]  Just remember that, and then calmly, they come out in the Chicago Tribune and on NBC News 5, WMAQ,
[00:22:14.634 --> 00:22:25.000]  Governor says Chicago is out of control, announces a plan with Mayor Daley to put National Guard troops on the streets, not to fight terror.
[00:22:25.000 --> 00:22:26.902]  That was the first excuse we told you.
[00:22:26.902 --> 00:22:30.504]  Before 9-11, we said there'll be a staged attack on the World Trade Center.
[00:22:30.504 --> 00:22:36.868]  Then we said the next attack will probably be on Chicago, because we have all the federal training manuals, where they don't even deny what they're planning.
[00:22:36.868 --> 00:22:39.950]  And, oh yeah, they think you're so dumb, folks.
[00:22:39.950 --> 00:22:42.271]  This is all right out in the open.
[00:22:42.271 --> 00:22:43.532]  That's how dumb they think you are.
[00:22:47.222 --> 00:22:53.186]  And then, I told you they would put National Guard on the streets in a few areas to get you trained singing on television.
[00:22:53.186 --> 00:23:01.251]  The Super Bowl, the Kentucky Derby, and then, oh my goodness, we're gonna put troops on the streets of Chicago.
[00:23:01.251 --> 00:23:09.937]  Now, three months ago they announced they're gonna have police, quote, in riot gear just patrol streets randomly, running random checkpoints, searching people to, quote, stop gun crime.
[00:23:09.937 --> 00:23:10.998]  The guns are doing it.
[00:23:11.929 --> 00:23:16.953]  One of the only places in the country where they have total gun bans and has the highest crime rate in the nation, next to D.C.
[00:23:16.953 --> 00:23:19.275]  and other total gun ban area.
[00:23:19.275 --> 00:23:27.883]  Now they've got troops on the streets in England and metal detectors outside because they took the guns eight years ago and the crime rate exploded.
[00:23:27.883 --> 00:23:28.583]  Same thing.
[00:23:28.583 --> 00:23:40.133]  They know, the social engineers know, they take your guns, crime explodes, they don't really fight the crime, and then say, oh, the answer is door-to-door gun confiscation using the National Guard.
[00:23:42.583 --> 00:23:46.624]  Because, uh, five gangbangers shot themselves in fights this week.
[00:23:46.624 --> 00:23:50.165]  They always call them children when under the eighteen, you know, gangbangers.
[00:23:50.165 --> 00:23:53.905]  Some seventeen-year-old guys killed four people and been in prison three times.
[00:23:53.905 --> 00:23:57.706]  Get shot, they say, oh, oh, a child died in Chicago.
[00:23:57.706 --> 00:24:00.487]  We've got to take your guns.
[00:24:00.487 --> 00:24:04.928]  And Mayor Daley, the son of the mob boss, well, of course the mob wants your guns.
[00:24:04.928 --> 00:24:10.289]  And when, that's what tyranny is, is when criminality takes over government, then you get tyranny.
[00:24:10.289 --> 00:24:11.629]  And the criminals are in control.
[00:24:13.652 --> 00:24:19.656]  Now, I remember ten years ago learning that they were hiring felons in the U.S.
[00:24:19.656 --> 00:24:24.279]  military and police forces and sheriff's departments everywhere, and I told everyone and you didn't believe me.
[00:24:24.279 --> 00:24:26.001]  Then I got secret documents.
[00:24:26.001 --> 00:24:28.102]  Then I got declassified documents.
[00:24:28.102 --> 00:24:39.310]  Then, for the last seven years or so, and you can Google this anytime, it's hundreds of mainstream articles, they write articles telling you how good it is to hire aggravated felons.
[00:24:39.310 --> 00:24:42.052]  And they say, oh, the Army wants aggravated felons.
[00:24:42.642 --> 00:24:44.343]  You know what an aggravated felon is?
[00:24:44.343 --> 00:24:47.967]  Well, the Associated Press and Washington Times, they all, in articles, told you.
[00:24:47.967 --> 00:24:54.752]  They said rape, arson, armed robbery, and it said they're hiring them.
[00:24:54.752 --> 00:24:57.455]  Large numbers of them.
[00:24:57.455 --> 00:25:04.661]  Now, if that's not enough, what they really seek out is aggravated felons who are illegal aliens on top of it.
[00:25:04.661 --> 00:25:06.022]  Foreigners who are criminals.
[00:25:06.022 --> 00:25:10.566]  Now, Stalin only hired criminals out of jails to carry out his operations.
[00:25:10.868 --> 00:25:14.130]  Because he knew they were criminals and would rape and rob and steal.
[00:25:14.130 --> 00:25:17.652]  He didn't hire foreigners who were criminals.
[00:25:17.652 --> 00:25:23.035]  Now, other countries, the Soviets, would use foreigners from one satellite country to go into another.
[00:25:23.035 --> 00:25:24.575]  So they also did that, but separately.
[00:25:24.575 --> 00:25:26.477]  Not felons who were foreigners.
[00:25:26.477 --> 00:25:28.438]  It was felons and foreigners.
[00:25:28.438 --> 00:25:34.541]  Well, here in America, we use felon, aggravated felon, foreigners.
[00:25:37.280 --> 00:25:43.266]  And this needs to be discussed, this needs to be addressed, this needs to be talked about on other talk shows and in the newspaper.
[00:25:43.266 --> 00:25:44.447]  But it isn't.
[00:25:44.447 --> 00:25:48.891]  You'll just see an occasional blurb saying, oh, it's a wonderful thing, it's good.
[00:25:48.891 --> 00:25:51.814]  Now, I don't want you to think Barack Obama started this.
[00:25:51.814 --> 00:25:55.898]  I don't want us to obsess too much on Barack Obama, who runs absolutely nothing.
[00:25:56.877 --> 00:25:57.977]  Who's a total puppet.
[00:25:57.977 --> 00:26:00.138]  Doesn't matter if it's John McCain or Barack Obama.
[00:26:00.138 --> 00:26:08.842]  These Republican and Democratic National Conventions, this is all just theater for you to think they run something, okay?
[00:26:08.842 --> 00:26:10.463]  That's all it is.
[00:26:10.463 --> 00:26:15.845]  And something for pollsters and advertisement agencies to make money.
[00:26:15.845 --> 00:26:17.325]  It is a complete spectacle.
[00:26:17.325 --> 00:26:22.307]  It's like a vestigial claw on the elbow of a dog, okay?
[00:26:22.307 --> 00:26:25.429]  It isn't in use anymore.
[00:26:25.429 --> 00:26:25.889]  You got me?
