[00:00:01.000 --> 00:00:16.000]  Intro
[00:08:58.000 --> 00:09:03.000]  the first to sign up for like $7 a month to build this next-level infrastructure
[00:09:03.000 --> 00:09:06.000]  with Rumble that's not censoring.
[00:09:06.000 --> 00:09:08.000]  We're already having incredible success.
[00:09:08.000 --> 00:09:09.000]  I'm Steven Crowder.
[00:09:09.000 --> 00:09:10.000]  Here's part of the press conference today,
[00:09:10.000 --> 00:09:13.000]  and we'll be back with Steven Crowder and some of his other crew in studio.
[00:09:13.000 --> 00:09:23.000]  Stay with us.
[00:09:23.000 --> 00:09:32.000]  Have you been compromising day in and day out when no compromise is necessary?
[00:09:32.000 --> 00:09:33.000]  And I'll go one further.
[00:09:33.000 --> 00:09:39.000]  When no compromise should ever be expected from you,
[00:09:39.000 --> 00:09:46.000]  it is time to match intensity.
[00:09:46.000 --> 00:09:52.000]  Every single one of you watching or listening right now needs to flip a switch in your head
[00:09:52.000 --> 00:09:56.000]  where you will make those sons of bitches embarrassed
[00:09:56.000 --> 00:10:02.000]  that they ever even thought of asking that compromise.
[00:10:02.000 --> 00:10:04.000]  Imagine the founding fathers looking down and going,
[00:10:04.000 --> 00:10:06.000]  what the fuck are you people doing?
[00:10:06.000 --> 00:10:09.000]  You're talking about the same people that rail against misinformation,
[00:10:09.000 --> 00:10:12.000]  who platform Adam Schiff.
[00:10:12.000 --> 00:10:15.000]  This case needs to be blown up, and the ATF needs to be held accountable.
[00:10:15.000 --> 00:10:18.000]  Why can't we not condemn evil behavior?
[00:10:32.000 --> 00:10:45.000]  Of comedy specials, we have new shows, the investigative unit, which we've discussed.
[00:10:45.000 --> 00:10:47.000]  And again, you get a free shirt at ladoscrowder.com.
[00:10:47.000 --> 00:10:52.000]  But we have another announcement to make regarding a new acquisition here.
[00:10:52.000 --> 00:10:54.000]  And by the way, I'll be taking your chats here after this.
[00:10:54.000 --> 00:10:56.000]  We'll be taking some questions from the press,
[00:10:56.000 --> 00:10:59.000]  so you can send your chats in right now on Mug Club.
[00:10:59.000 --> 00:11:02.000]  And we'll be releasing more information regarding some of the developments.
[00:11:02.000 --> 00:11:06.000]  But this is one that we're all pretty excited about.
[00:11:06.000 --> 00:11:10.000]  And again, if it was just business, it wouldn't make sense.
[00:11:14.000 --> 00:11:20.000]  This is a man who was removed from the platforms of Apple, Spotify, Google, Facebook,
[00:11:20.000 --> 00:11:24.000]  Meta, X, whatever the hell it is, all on the same day.
[00:11:24.000 --> 00:11:26.000]  But there's no coordination.
[00:11:26.000 --> 00:11:28.000]  It's just coincidence.
[00:11:29.000 --> 00:11:31.000]  And there were, by the way, many people back then who said,
[00:11:31.000 --> 00:11:34.000]  well, that's just him. He's too extreme.
[00:11:34.000 --> 00:11:36.000]  That's just an isolated case. It won't happen to me.
[00:11:36.000 --> 00:11:39.000]  Well, are you paying attention now?
[00:11:41.000 --> 00:11:45.000]  And so people who we all expect to stand in the line of fire,
[00:11:45.000 --> 00:11:49.000]  who are supposed to be brothers in arms, tucked tail and ran.
[00:11:49.000 --> 00:11:51.000]  They struck plea bargains with the platforms,
[00:11:51.000 --> 00:11:57.000]  who for a period of time would punish anyone who even hosted him as a guest.
[00:11:57.000 --> 00:11:59.000]  This is the canary in the coal mine.
[00:11:59.000 --> 00:12:02.000]  These people at these big tech platforms,
[00:12:02.000 --> 00:12:04.000]  they tell you that they'll never come for you,
[00:12:04.000 --> 00:12:06.000]  that you can keep your tens of millions in revenue
[00:12:06.000 --> 00:12:08.000]  or millions that you make from their platforms.
[00:12:08.000 --> 00:12:11.000]  And really all that means is that if you're lucky,
[00:12:11.000 --> 00:12:14.000]  really lucky, they'll kill you last.
[00:12:14.000 --> 00:12:18.000]  Well, they tried to kill this next man first.
[00:12:18.000 --> 00:12:22.000]  And if he's honest, he'll tell you they almost did.
[00:12:22.000 --> 00:12:24.000]  They did a lot of damage.
[00:12:24.000 --> 00:12:26.000]  But if there's one thing you can say about this man,
[00:12:26.000 --> 00:12:27.000]  love him or hate him,
[00:12:27.000 --> 00:12:31.000]  is that he will fight for this country with every last breath in his body,
[00:12:31.000 --> 00:12:34.000]  and he just won't die.
[00:12:34.000 --> 00:12:37.000]  So it's with as much pride that I can convey,
[00:12:37.000 --> 00:12:39.000]  and as much surprise, by the way, as you,
[00:12:39.000 --> 00:12:42.000]  in landing this white whale, the number one draft pick,
[00:12:42.000 --> 00:12:43.000]  without a doubt out there,
[00:12:43.000 --> 00:12:46.000]  that for the first time he will launch his subscription network
[00:12:46.000 --> 00:12:49.000]  exclusively under the Mug Club umbrella,
[00:12:49.000 --> 00:12:53.000]  starting with his new Friday show on August 18th.
[00:12:53.000 --> 00:12:55.000]  Ladies and gentlemen...
[00:13:01.000 --> 00:13:03.000]  I don't like them putting chemicals in the water
[00:13:03.000 --> 00:13:05.000]  that turn the friggin' frogs gay!
[00:13:07.000 --> 00:13:08.000]  Hitler took the guns.
[00:13:08.000 --> 00:13:09.000]  Stalin took the guns.
[00:13:09.000 --> 00:13:10.000]  Mao took the guns.
[00:13:10.000 --> 00:13:12.000]  Manel Castro took the guns.
[00:13:12.000 --> 00:13:13.000]  Hugo Chavez took the guns.
[00:13:15.000 --> 00:13:19.000]  And if you try to take our guns, 1776 will commence again!
[00:13:20.000 --> 00:13:23.000]  Sticking with Facebook, it is one of several companies today
[00:13:23.000 --> 00:13:26.000]  that are limiting the content of far-right podcasts.
[00:13:26.000 --> 00:13:27.000]  InfoWars...
[00:13:27.000 --> 00:13:30.000]  Facebook, Apple, and YouTube have all taken down content from Jones
[00:13:30.000 --> 00:13:32.000]  and his InfoWars channel.
[00:13:32.000 --> 00:13:33.000]  Whenever I talk about Alex Jones,
[00:13:33.000 --> 00:13:36.000]  my wife will not let me into the house until I've been deloused.
[00:13:36.000 --> 00:13:39.000]  Anyone who believes in Alex Jones and believes these theories,
[00:13:39.000 --> 00:13:41.000]  you really gotta go get help.
[00:13:41.000 --> 00:13:46.000]  Alex Jones has been ordered to pay $965 million.
[00:13:46.000 --> 00:13:48.000]  Look how there's a move to control information.
[00:13:48.000 --> 00:13:49.000]  There's always been.
[00:13:49.000 --> 00:13:50.000]  And it ought to scare people,
[00:13:50.000 --> 00:13:53.000]  but you've got a move to indoctrinate the children of America.
[00:13:53.000 --> 00:13:55.000]  If they can get you to be part of a group,
[00:13:55.000 --> 00:13:57.000]  an environmentalist or part of your minority group...
[00:13:57.000 --> 00:14:00.000]  Black, Latino, and indigenous people
[00:14:00.000 --> 00:14:02.000]  are suffering and dying disproportionately.
[00:14:02.000 --> 00:14:04.000]  The most dangerous terrorist threat to our homeland
[00:14:04.000 --> 00:14:05.000]  is white supremacy.
[00:14:05.000 --> 00:14:07.000]  They'll have their little tailor-made people up there
[00:14:07.000 --> 00:14:08.000]  that are bought and paid for
[00:14:08.000 --> 00:14:09.000]  to claim to be your leaders.
[00:14:09.000 --> 00:14:11.000]  They'll have their little tailor-made people up there
[00:14:11.000 --> 00:14:12.000]  that are bought and paid for
[00:14:12.000 --> 00:14:13.000]  to claim to be your leaders.
[00:14:13.000 --> 00:14:15.000]  They'll have their little tailor-made people up there
[00:14:15.000 --> 00:14:16.000]  to claim to be your leaders.
[00:14:16.000 --> 00:14:19.000]  We're looking at a giant war in February right now.
[00:14:19.000 --> 00:14:21.000]  Currently, that's the projection.
[00:14:26.000 --> 00:14:28.000]  There's an entire agenda afoot
[00:14:28.000 --> 00:14:31.000]  to force the population to undergo
[00:14:31.000 --> 00:14:33.000]  different type of medical treatments,
[00:14:33.000 --> 00:14:35.000]  namely vaccines.
[00:14:35.000 --> 00:14:38.000]  In 2002, there was a tyrannical organization
[00:14:38.000 --> 00:14:41.000]  calling itself the New World Order,
[00:14:41.000 --> 00:14:44.000]  pushing for worldwide government,
[00:14:44.000 --> 00:14:46.000]  a cashless society.
[00:14:46.000 --> 00:14:48.000]  If any terrorism comes, it's from this government.
[00:14:48.000 --> 00:14:51.000]  And if there was an outside threat like Bin Laden,
[00:14:51.000 --> 00:14:53.000]  who was a known CIS in the 80s,
[00:14:53.000 --> 00:14:54.000]  running the Mujahideen War,
[00:14:54.000 --> 00:14:57.000]  whose family builds all the military bases
[00:14:57.000 --> 00:14:58.000]  over in Saudi Arabia right now,
[00:14:58.000 --> 00:15:00.000]  it's just from a board of Iridium Satellite.
[00:15:00.000 --> 00:15:02.000]  He's the boogeyman they need.
[00:15:02.000 --> 00:15:04.000]  I've been shadowbanned.
[00:15:04.000 --> 00:15:06.000]  I've been called a liar.
[00:15:06.000 --> 00:15:09.000]  I've been silenced on virtually every platform
[00:15:09.000 --> 00:15:10.000]  created by man.
[00:15:10.000 --> 00:15:13.000]  My life has been threatened repeatedly.
[00:15:13.000 --> 00:15:15.000]  They've tried to destroy me,
[00:15:15.000 --> 00:15:17.000]  but I've survived.
[00:15:17.000 --> 00:15:20.000]  And that's why I'm joining Mug Club.
[00:15:24.000 --> 00:15:27.000]  Alex Jones, everybody!
[00:15:28.000 --> 00:15:30.000]  Thank you.
[00:15:40.000 --> 00:15:41.000]  Thank you.
[00:15:41.000 --> 00:15:43.000]  Listen, I want to thank everybody tuning in.
[00:15:43.000 --> 00:15:44.000]  I want to thank everybody tuning in right now,
[00:15:44.000 --> 00:15:46.000]  but I want to be deadly serious here.
[00:15:46.000 --> 00:15:49.000]  I've not been this excited ever!
[00:15:49.000 --> 00:15:52.000]  Yeah, Mug Club, baby, wow!
[00:15:52.000 --> 00:15:55.000]  So, I've known Stephen for more than 10 years.
[00:15:55.000 --> 00:15:57.000]  Used to, you know, beg him to come on my show.
[00:15:57.000 --> 00:15:58.000]  Always a really busy guy,
[00:15:58.000 --> 00:16:00.000]  and he's been a bit of a popper forever.
[00:16:00.000 --> 00:16:02.000]  But we kind of knew each other.
[00:16:02.000 --> 00:16:04.000]  But as soon as I got deplatformed,
[00:16:04.000 --> 00:16:05.000]  he saw as a threat and he said,
[00:16:05.000 --> 00:16:06.000]  I want you on immediately.
[00:16:06.000 --> 00:16:09.000]  The day after, when everybody else was running away,
[00:16:09.000 --> 00:16:10.000]  including my friends,
[00:16:10.000 --> 00:16:12.000]  he was like, no, this is a danger to everybody.
[00:16:12.000 --> 00:16:13.000]  I see what this is.
[00:16:13.000 --> 00:16:15.000]  And then again, everybody else was shutting down
[00:16:15.000 --> 00:16:16.000]  during the lockdown.
[00:16:16.000 --> 00:16:17.000]  I didn't.
[00:16:17.000 --> 00:16:18.000]  He didn't.
[00:16:18.000 --> 00:16:20.000]  And so it's that type of instinctive courage
[00:16:20.000 --> 00:16:21.000]  that I really respect.
[00:16:21.000 --> 00:16:22.000]  We've become good friends
[00:16:22.000 --> 00:16:23.000]  the last three or four years.
[00:16:23.000 --> 00:16:24.000]  Since then, I love coming up here.
[00:16:24.000 --> 00:16:25.000]  I love the energy.
[00:16:25.000 --> 00:16:26.000]  And let's be clear,
[00:16:26.000 --> 00:16:27.000]  InfoWars isn't going anywhere
[00:16:27.000 --> 00:16:28.000]  or Austin Operation,
[00:16:28.000 --> 00:16:30.000]  my regular show that's on talk radio everywhere.
[00:16:30.000 --> 00:16:33.000]  But we've been talking for years
[00:16:33.000 --> 00:16:34.000]  about some type of collaboration
[00:16:34.000 --> 00:16:36.000]  and he had to move from where he was
[00:16:36.000 --> 00:16:38.000]  to trailblaze and do this.
[00:16:38.000 --> 00:16:41.000]  And what's incredible is it's succeeding.
[00:16:41.000 --> 00:16:42.000]  But here's the key.
[00:16:42.000 --> 00:16:44.000]  We don't just have the left
[00:16:44.000 --> 00:16:46.000]  and the globalist and big tech
[00:16:46.000 --> 00:16:47.000]  and the intelligence agencies.
[00:16:47.000 --> 00:16:49.000]  We now know that we're censoring and controlling
[00:16:49.000 --> 00:16:51.000]  and suppressing election information
[00:16:51.000 --> 00:16:53.000]  and vaccine information and open border
[00:16:53.000 --> 00:16:55.000]  and human trafficking information,
[00:16:55.000 --> 00:16:57.000]  fentanyl info and Afghan withdrawal info.
[00:16:57.000 --> 00:16:59.000]  It's the big think tanks
[00:16:59.000 --> 00:17:02.000]  that Crowder alluded to earlier
[00:17:02.000 --> 00:17:03.000]  that are so-called conservative
[00:17:03.000 --> 00:17:05.000]  that have billions of dollars
[00:17:05.000 --> 00:17:06.000]  over the last decade
[00:17:06.000 --> 00:17:07.000]  to buy and control
[00:17:07.000 --> 00:17:09.000]  the populist nationalist
[00:17:09.000 --> 00:17:11.000]  common sense capitalist movement
[00:17:11.000 --> 00:17:13.000]  that this country was founded on
[00:17:13.000 --> 00:17:14.000]  that met at the apple of the world's eye.
[00:17:14.000 --> 00:17:16.000]  And so we're not just challenging the left
[00:17:16.000 --> 00:17:19.000]  and Hollywood and big tech.
[00:17:19.000 --> 00:17:21.000]  We're challenging conservative Inc.
[00:17:21.000 --> 00:17:22.000]  And they didn't make sense
[00:17:22.000 --> 00:17:24.000]  to some people that weren't, you know,
[00:17:24.000 --> 00:17:25.000]  clued in or on the inside
[00:17:25.000 --> 00:17:26.000]  of what really goes on.
[00:17:26.000 --> 00:17:27.000]  Six months ago,
[00:17:27.000 --> 00:17:28.000]  when Crowder was making a big deal
[00:17:28.000 --> 00:17:30.000]  about the other big conservative platforms
[00:17:30.000 --> 00:17:31.000]  that aren't conservative,
[00:17:31.000 --> 00:17:33.000]  they interface with YouTube and Facebook
[00:17:33.000 --> 00:17:36.000]  and before Twitter was sold to Musk
[00:17:36.000 --> 00:17:39.000]  and literally sit around in smoky rooms
[00:17:39.000 --> 00:17:41.000]  laughing at the conservatives.
[00:17:41.000 --> 00:17:42.000]  And I've been around it.
[00:17:42.000 --> 00:17:43.000]  It's disgusting to people
[00:17:43.000 --> 00:17:44.000]  that have authenticity
[00:17:44.000 --> 00:17:47.000]  like Steven Crowder and this incredible crew.
[00:17:47.000 --> 00:17:48.000]  These are real people.
[00:17:48.000 --> 00:17:51.000]  No, these are real people right here.
[00:17:51.000 --> 00:17:53.000]  Gerald Morgan, all of these comedians,
[00:17:53.000 --> 00:17:55.000]  all these people have turned down
[00:17:55.000 --> 00:17:57.000]  tens of millions of dollars
[00:17:57.000 --> 00:17:58.000]  to tell the truth.
[00:17:58.000 --> 00:18:01.000]  I mean, there's people out there like Ted Nugent
[00:18:01.000 --> 00:18:03.000]  lost probably $100 million
[00:18:03.000 --> 00:18:04.000]  the last six, seven years
[00:18:04.000 --> 00:18:05.000]  supporting Trump.
[00:18:05.000 --> 00:18:06.000]  It's been in the news.
[00:18:06.000 --> 00:18:07.000]  Just no more stadiums, no more nothing.
[00:18:07.000 --> 00:18:08.000]  It's over for him.
[00:18:08.000 --> 00:18:10.000]  So there's not many people like that.
[00:18:10.000 --> 00:18:12.000]  Probably should bring Ted Nugent over here.
[00:18:12.000 --> 00:18:15.000]  But what I'm getting down to is
[00:18:15.000 --> 00:18:17.000]  we need an independent network
[00:18:17.000 --> 00:18:18.000]  that isn't controlled.
[00:18:18.000 --> 00:18:20.000]  And I'm sorry, Twitter is better
[00:18:20.000 --> 00:18:22.000]  than some of the other so-called conservative
[00:18:22.000 --> 00:18:23.000]  or open platforms,
[00:18:23.000 --> 00:18:25.000]  but it's still not even halfway free.
[00:18:25.000 --> 00:18:27.000]  Yeah, halfway free feels better than no free.
[00:18:27.000 --> 00:18:29.000]  And I'm not even criticizing Twitter.
[00:18:29.000 --> 00:18:30.000]  It's just not free.
[00:18:30.000 --> 00:18:32.000]  So many really effective people
[00:18:32.000 --> 00:18:34.000]  that expose communist China
[00:18:34.000 --> 00:18:36.000]  and certain owners of Twitter's connection to it,
[00:18:36.000 --> 00:18:37.000]  they're all still censored,
[00:18:37.000 --> 00:18:39.000]  but not Mug Club.
[00:18:39.000 --> 00:18:41.000]  And I know the plan that Crowder has,
[00:18:41.000 --> 00:18:42.000]  he's told me about it,
[00:18:42.000 --> 00:18:43.000]  he's told you a lot about it,
