[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[10:46.000 --> 10:50.000]  You don't want to have open borders. You're a racist.
[10:50.000 --> 10:57.000]  Oh, Alex Jones, you know, criticizes the prior knowledge of 9-11. He must be a racist.
[10:57.000 --> 11:06.000]  In fact, I'm going to play a clip coming up in the next hour of television 12 interrogating Sheriff Paul Babu who we've interviewed
[11:06.000 --> 11:11.000]  and attacking me for saying Obama is guilty of treason, not securing our borders.
[11:11.000 --> 11:16.000]  I mean, that's what the Constitution states. It's one of the few things the federal government is charged with doing.
[11:16.000 --> 11:21.000]  The feds do everything that's outside their jurisdiction and nothing that's in their jurisdiction.
[11:21.000 --> 11:29.000]  So we're going to be discussing that. But for the first few segments today, I want to talk about this article.
[11:29.000 --> 11:33.000]  And I want to talk about Rush Limbaugh and Glenn Beck.
[11:33.000 --> 11:40.000]  And then I want to open the phones up. And, you know, this is not a radio show where we talk about other talk show hosts most of the time.
[11:40.000 --> 11:45.000]  This is certainly not MSNBC where it seems to be the Glenn Beck bashing channel.
[11:45.000 --> 11:51.000]  They have so few viewers and most of the shows have about a quarter million. Maybe their top shows have a half million.
[11:51.000 --> 12:03.000]  They are a joke. This radio show, conservatively, just with the stations that we're on that actually subscribed to Arbitron,
[12:03.000 --> 12:07.000]  has more than half a million listeners per hour conservatively.
[12:07.000 --> 12:10.000]  Well, that's what the top shows on MSNBC have.
[12:10.000 --> 12:16.000]  They are a paper tiger. They are hollow. They are a rotten barn filled with termites.
[12:16.000 --> 12:26.000]  They literally are a joke. I mean, a station like WABC in New York probably has half a million listeners every hour by itself.
[12:26.000 --> 12:29.000]  Rush Limbaugh has over 10 million a day.
[12:29.000 --> 12:31.000]  Coast to coast AM over 10 million a day.
[12:31.000 --> 12:33.000]  Sean Hannity over 10 million.
[12:33.000 --> 12:41.000]  Glenn Beck over 10 million. This radio show, conservatively, over a three hour weekday show has over two million listeners.
[12:41.000 --> 12:44.000]  Over a weekend show, it's about a million.
[12:44.000 --> 12:53.000]  Why do we then see advertising rates being charged by MSNBC during their prime time shows that are roughly,
[12:53.000 --> 12:59.000]  and I've looked at their rate card, roughly 40 to 50 times what this show cost.
[12:59.000 --> 13:04.000]  That are roughly 10 to 15 times what Limbaugh charges.
[13:04.000 --> 13:10.000]  Why? Because it's all about being part of the clique and they're good at being posers,
[13:10.000 --> 13:17.000]  at make believing that they're the establishment, at make believing that they have the moral authority
[13:17.000 --> 13:25.000]  and they've got fancy teleprompters they're reading off of and these fancy sets and they look authoritative.
[13:25.000 --> 13:32.000]  But the truth is they have collapsed. They're not collapsing. They have collapsed. CNN has collapsed.
[13:32.000 --> 13:38.000]  They've totally collapsed. Fox News, their top shows, three and a half million viewers.
[13:38.000 --> 13:45.000]  That has a lot of prestige. That is still a paper tiger compared to something like Rush Limbaugh.
[13:45.000 --> 13:51.000]  Or even say, I've looked at the numbers for a show like Beyond the Beltway on a couple hundred stations,
[13:51.000 --> 13:56.000]  only on Sunday nights. I've met the host of it. I've looked at their numbers.
[13:56.000 --> 13:59.000]  They've probably got over a million people in two hours tuning in.
[13:59.000 --> 14:05.000]  And you can buy advertising on there for peanuts. And I'm not getting into advertising here today.
[14:05.000 --> 14:15.000]  The issue is this all dovetails with complete congruency with what I heard driving in here.
[14:15.000 --> 14:22.000]  Driving in to the show today. I was listening to a station outside Austin.
[14:22.000 --> 14:29.000]  Our local affiliate 590 a.m. carries Limbaugh there in the week, but I was listening to a rebroadcast of Limbaugh
[14:29.000 --> 14:34.000]  for about 30 minutes in the car and on onto the way to work. It was actually on W-O-A-I.
[14:34.000 --> 14:42.000]  And I was driving in and I literally almost pulled over. And then once I got here, it was about an hour to showtime,
[14:42.000 --> 14:47.000]  but I couldn't get out of the car. And I was sitting there taking notes during this
[14:47.000 --> 14:54.000]  and I couldn't believe what I was hearing. It was as if he was channeling Alex Jones.
[14:54.000 --> 15:01.000]  And let me tell you something. If Rush Limbaugh sounds like Alex Jones, we are really starting to turn the corner.
[15:01.000 --> 15:07.000]  And of course, I've been critical of Rush defending Bush and his illegal wars and torture.
[15:07.000 --> 15:14.000]  I've said that Rush is a hypocrite saying that somebody who's caught with cocaine should serve the minimum 10-year sentence,
[15:14.000 --> 15:18.000]  but he's caught with Hillbilly heroin, oxycontin, and I don't think Rush should go to jail.
[15:18.000 --> 15:24.000]  I think he should get treatment. Rush hurt his back. And a lot of people get addicted to that stuff.
[15:24.000 --> 15:34.000]  Thank God I've never got anywhere near addicted. I had a broken leg, compound fracture, and I have an allergic response.
[15:34.000 --> 15:41.000]  I vomit when I take opiates, so I can't imagine people who like that stuff, but they shouldn't go to prison.
[15:41.000 --> 15:49.000]  I've known people who've been in car wrecks, old people, friends of mine, who are straight-laced, who get addicted when they're in a car wreck.
[15:49.000 --> 15:55.000]  I mean, you break your back or something, but the point is, he says put people in prison when they use drugs that are illegal,
[15:55.000 --> 16:00.000]  but then he's shopping doctors for drugs. But the point is, I got to salute Limbaugh. Stay with us.
[16:00.000 --> 16:05.000]  Hello, friends. This is Alex Jones. You've heard me talk about Calvin 5-star soaps for years.
[16:05.000 --> 16:10.000]  This is an American-made product of the highest quality and compares to nothing you will find in stores.
[16:10.000 --> 16:20.000]  You can buy factory direct shipped via UPS right to your door. Check them out on the web at 5starsoap.com or call 800-340-7091.
[16:20.000 --> 16:24.000]  Take my word for it. Once you've used pure soap, you won't buy anything else.
[16:24.000 --> 16:30.000]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[16:30.000 --> 16:38.000]  Buy American and stay clean. As well as support info wars, visit 5starsoap.com today or call 1-800-340-7091.
[16:38.000 --> 16:40.000]  Well, Marty, what do you have to say?
[16:40.000 --> 16:59.000]  As founder and owner for over 63 years, satisfaction is guaranteed on W-Dirtback. Call us at 1-800-340-7091 for free catalog or visit our website 5starsoap.com. Thank you.
[17:11.000 --> 17:15.000]  Remember the terrible conditions of those that didn't get out for Katrina.
[17:15.000 --> 17:25.000]  Go right now to eFoodsDirect.com slash Alex or call 800-409-5633 for information on the new evacuation pack.
[17:25.000 --> 17:30.000]  It contains two weeks of delicious, easy to fix food along with the equipment to prepare it.
[17:30.000 --> 17:34.000]  It's packed in a rugged heavy-duty tote for transport.
[17:34.000 --> 17:38.000]  Evacuations are looming with the storms and the Gulf Oil catastrophe.
[17:38.000 --> 17:43.000]  No matter where you live, wildfires, earthquakes, floods and storms must be escaped.
[17:43.000 --> 17:47.000]  Don't be like a deer frozen in the headlights of oncoming disaster.
[17:47.000 --> 17:52.000]  At least prepare yourself with this two-week evacuation pack from eFoodsDirect.com.
[17:52.000 --> 18:09.000]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[18:22.000 --> 18:28.000]  It allows you to anticipate change, recognize the implications, and take protective strategies.
[18:28.000 --> 18:36.000]  Individual readers from every walk of life can put the Trends Journal Trends forecast and Trends analysis to practical use.
[18:36.000 --> 18:39.000]  Extra information to keep you well informed throughout the year.
[18:39.000 --> 18:43.000]  When any current event of major social economic or political significance occurs,
[18:43.000 --> 18:46.000]  Trends Journal notifies its subscribers of their implications.
[18:46.000 --> 18:51.000]  When you subscribe to the Trends Journal, you'll also receive Trends alerts.
[18:51.000 --> 18:55.000]  Visit TrendsResearch.com today. That's TrendsResearch.com.
[18:55.000 --> 18:59.000]  Subscribe to the Trends Journal. This information is too important to wait.
[18:59.000 --> 19:04.000]  You may be arrested and or subject to other police action.
[19:04.000 --> 19:09.000]  Tyranny is here. The grim future foretold in 1984 has become reality.
[19:09.000 --> 19:11.000]  It really says that the state is God.
[19:11.000 --> 19:17.000]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[19:17.000 --> 19:23.000]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[19:23.000 --> 19:29.000]  This documentary exposes how the continuity of government program has established an old powerful shadow state.
[19:29.000 --> 19:33.000]  Police State 4 chronicles the sickening depths to which our republic has fallen.
[19:33.000 --> 19:38.000]  Prepare to enter the secretive world of emergency dictatorship.
[19:38.000 --> 19:44.000]  Body scanners, sound cameras, citizen spies, staged terror and cameras on every street corner.
[19:44.000 --> 19:49.000]  It's only the beginning of the New World Order's hellish plan. The police state isn't coming.
[19:49.000 --> 20:18.000]  It's here. Secure your copy today at infowars.com or see it online in the highest quality at prisonplanet.tv.
[20:20.000 --> 20:26.000]  Alright, we're back live. I want to get into our top story.
[20:26.000 --> 20:36.000]  And it's not just Limbaugh. This morning I saw a video clip nine minutes long of Glenn Beck saying everything goes back to Goldman Sachs.
[20:36.000 --> 20:47.000]  He admitted they're not free market, that they're criminal, that they're controlled by the private Federal Reserve and that they're imploding the economy by design.
[20:47.000 --> 20:56.000]  Then I'm driving in to do this radio show listening to Rush Limbaugh and he says there is a secret, and I have the transcript right here from rushlimbaugh.com.
[20:56.000 --> 21:07.000]  He says there is basically a secret robber baron class that is not free market, that hates the middle class and hates new money and who are a clique and who only promote each other.
[21:07.000 --> 21:19.000]  He zeroes in on Harvard, which I've noticed is where most of these elitists come from, and how they control the Republican Party as well as the Democratic Party.
[21:19.000 --> 21:34.000]  And then he quoted Trent Lott, the lobbyist, the former senator, talking about how they've got to co-op the Tea Party, how they've got to go in and destroy Rand Paul, how they've got to block the American people from getting control of Washington.
[21:34.000 --> 21:43.000]  And that's why no matter who gets into office, what president comes or goes, government gets bigger, taxes go up, we lose more of our freedoms.
[21:43.000 --> 21:56.000]  And so this is a big issue because Limbaugh has always basically acted like any big corporation is okay, the big mega banks are good, and the Democrats are just a bunch of communists when they're not.
[21:56.000 --> 22:05.000]  They're a bunch of social engineers seizing control of society.
[22:05.000 --> 22:12.000]  And he goes on to say these people got their money from the old money inherited from the robber barons of the past, the great wealth.
[22:12.000 --> 22:17.000]  The people who inherit it don't do anything for it, but it is the great lineage.
[22:17.000 --> 22:26.000]  People who have earned great wealth rather than having inherited are shunned by the old money people because it's working class to have earned money.
[22:26.000 --> 22:32.000]  It's just not done. It's considered bad. It's considered filthy, gauche.
[22:32.000 --> 22:37.000]  And it's much the same way with merit throughout the ruling class.
[22:37.000 --> 22:46.000]  You don't have to be the best. In fact, if you do the right things and say the right things, you can be an abject failure of mediocrity-wise and still be promoted.
[22:46.000 --> 22:54.000]  And he went on and on and on and on and said these people want to destroy America.
[22:54.000 --> 23:02.000]  They want to consolidate power. He said they're a tiny minority of just a few percentage points based in D.C. and New York.
[23:02.000 --> 23:08.000]  I mean, Rush Limbaugh was telling the truth.
[23:08.000 --> 23:13.000]  And sure, he tells the truth about the Second Amendment or property rights. He's good on a lot of things.
[23:13.000 --> 23:20.000]  But when Bush was ordering the torture of people, he was defending it.
[23:20.000 --> 23:23.000]  And so I've criticized Rush Limbaugh.
[23:23.000 --> 23:32.000]  But the fact that he's having to come out and tell the truth, the fact that Glenn Beck is admitting that Goldman Sachs is a criminal enterprise and the Federal Reserve is private,
[23:32.000 --> 23:36.000]  that shows how mainstream this information has become.
[23:36.000 --> 23:47.000]  I have forced Glenn Beck and you, the listeners, have forced Glenn Beck to tell the truth, to have any pertinence, to be relevant in any way.
[23:47.000 --> 23:53.000]  And they have pushed people like Rush Limbaugh to come out and tell the truth.
[23:53.000 --> 24:05.000]  And of course, Limbaugh is quoting an article out of the American Spectator magazine this month, America's ruling class and the perils of revolution.
[24:05.000 --> 24:11.000]  And the way Limbaugh describes it is the ruling class versus the country class, the people of the country.
[24:11.000 --> 24:17.000]  And he says, this ruling class doesn't like America. It hates America. It wants to end the United States.
[24:17.000 --> 24:22.000]  It wants to end the free market. What did the founder of the Rockefeller dynasty say?
[24:22.000 --> 24:28.000]  John D. I, he said, competition is a sin. They make their money through monopolies.
[24:28.000 --> 24:37.000]  They make their money through control of society. And folks, 15 years ago, I'd get on talk radio and talk about the Federal Reserve being private
[24:37.000 --> 24:43.000]  and how central banks were issuing derivatives. And people looked at me like I had 10 heads.
[24:43.000 --> 24:48.000]  Now, in the last 10 years, that started changing. And now, that is not the case.
[24:48.000 --> 24:53.000]  Now, this radio show is listened to by millions of people a day.
[24:53.000 --> 25:00.000]  I have eight different YouTube channels. One channel alone has 56 million views.
[25:00.000 --> 25:03.000]  56 million people have watched the videos.
[25:03.000 --> 25:12.000]  If you count all the other channels up and my other films online just on YouTube, just on YouTube, it is over 150 million.
[25:12.000 --> 25:18.000]  150 million people have watched my videos. And that's all in the last two years.
[25:18.000 --> 25:23.000]  That's why last week you saw the Obama deception taken down by YouTube.
[25:23.000 --> 25:28.000]  And they've never done this before. They took the video down and then they restored it.
[25:28.000 --> 25:37.000]  When I went absolutely ape Sunday, you went absolutely ape and you made the Obama deception censored the number one search term.
[25:37.000 --> 25:44.000]  And then on Monday, we made another term, Google censors because they were caught censoring that the number one term.
[25:44.000 --> 25:49.000]  We made Google spies the number one term. Then we made Google cover up the number one term.
[25:49.000 --> 25:57.000]  Then we made another term, the number one term dominating the Internet, not just on Google, but on Yahoo.
[25:57.000 --> 26:02.000]  And guess what happened by Thursday? Google stopped censoring us when we were the number one search term.
[26:02.000 --> 26:06.000]  They just left it alone. And then we were the number one term throughout the weekend.
[26:06.000 --> 26:10.000]  So what does that tell you?
[26:10.000 --> 26:15.000]  We are the mainstream media. We are the American people.
[26:15.000 --> 26:20.000]  And it's a tiny click through intimidation and through posing.
[26:20.000 --> 26:22.000]  They just get up there and pose like they're officials.
[26:22.000 --> 26:27.000]  They just put a crown on their head and say, everybody's got to bow down to us.
[26:27.000 --> 26:32.000]  We're the ruling class. And if you don't want government health care, if you don't want open borders,
[26:32.000 --> 26:38.000]  if you don't want your life run by Washington itself run by offshore banks, you're a racist.
[26:38.000 --> 26:42.000]  But that political correctness doesn't work anymore.
[26:42.000 --> 26:46.000]  And so the system is in free fall, but I warn you.
[26:46.000 --> 26:49.000]  In fact, guys, reprint me the Financial Times of London.
[26:49.000 --> 26:53.000]  Clinton official says Obama needs New Oklahoma City or 9-11.
[26:53.000 --> 26:56.000]  I want to read that exact quote when we come back from the break.
[26:56.000 --> 27:01.000]  Because now you have all these White House officials and former Clinton people saying,
[27:01.000 --> 27:04.000]  if Obama doesn't have a massive terror attack, he's politically finished.
[27:04.000 --> 27:08.000]  That's not Alex Jones saying that. Of course, I've been saying the last year.
[27:08.000 --> 27:12.000]  Obama's approval rating would drop to the lowest in history. It's now done that.
[27:12.000 --> 27:17.000]  Bigger they are, the harder they fall. As soon as he didn't deliver free houses, free cars, milk and honey,
[27:17.000 --> 27:22.000]  it's now come out that his health care bill written by the insurance companies owned by the big central banks
[27:22.000 --> 27:28.000]  raises your taxes, cuts the Medicare and Medicaid, doesn't cover pre-existing conditions.
[27:28.000 --> 27:31.000]  All these people are saying, where's my free goodies?
[27:31.000 --> 27:35.000]  It was a tax increase. Obama's now admitted last week in the Washington Post.
[27:35.000 --> 27:38.000]  It is a tax increase.
[27:38.000 --> 27:43.000]  The bill creates a federal index of how much you weigh and tracks everything you're doing.
[27:43.000 --> 27:46.000]  It has nothing to do with giving you a free lunch.
[27:46.000 --> 27:52.000]  You think these big, ruthless central banks that have bankrupted hundreds of third world and old world nations
[27:52.000 --> 27:56.000]  in the last 100 years, do you think they want to give you something for free?
[27:56.000 --> 28:00.000]  No, they want to run your life. But I go back to the main issue.
[28:00.000 --> 28:04.000]  It is unprecedented.
[28:04.000 --> 28:09.000]  Unprecedented to see Glenn Beck getting more and more hardcore.
[28:09.000 --> 28:14.000]  And I've been a critic when he was attacking Ron Paul and saying there's no FEMA camps, things like that.
[28:14.000 --> 28:19.000]  The point is I've been analyzing and watching him and I got to say he's really getting good.
[28:19.000 --> 28:23.000]  I'm just here to tell the truth. He's not perfect and I don't trust him.
[28:23.000 --> 28:25.000]  I know he's a political hack.
[28:25.000 --> 28:32.000]  Limbaugh is something entirely different. Limbaugh has even been linked into prisonplanet.com stories, folks.
[28:32.000 --> 28:34.000]  So is the Drudge Report. Things are changing.
[28:34.000 --> 28:40.000]  And Limbaugh spelled it out why he's going all the way now and telling the truth.
[28:40.000 --> 28:43.000]  And I'll tell you what he said when we come back.
[28:43.000 --> 28:48.000]  And I've got the transcript again. It's linked up on infowars.com and prisonplanet.com.
[28:48.000 --> 28:55.000]  Limbaugh's got a big boil-down story that's up on infowars.com right now that breaks all this down and links to it.
[28:55.000 --> 29:00.000]  We'll tell you about it when we come back. This is really good news.
[29:00.000 --> 29:04.000]  Hi, folks. This is Alex Jones asking you for a minute of your time to tell you about soap.
[29:04.000 --> 29:08.000]  Not detergents, but good old-fashioned pure soap made by the Calvin Soap Company,
[29:08.000 --> 29:11.000]  a family-owned and operated American company.
[29:11.000 --> 29:16.000]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products
[29:16.000 --> 29:18.000]  for bath, air, laundry, and dishes.
[29:18.000 --> 29:23.000]  There is nothing like these factory-direct, big-money-saving, triple-concentrated subs anywhere.
[29:23.000 --> 29:28.000]  Get a free, detailed catalog by calling 800-340-7091,
[29:28.000 --> 29:32.000]  or see them online at 5starsoap.com or infowars.com.
[29:32.000 --> 29:36.000]  Let's talk to the owner of 5-star soap, Marty Schachter, and see what he has to say.
[29:36.000 --> 29:41.000]  As founder and owner for over 63 years, people keep asking me,
[29:41.000 --> 29:46.000]  How's business? I'm happy to say our business is going down the drain.
[29:46.000 --> 29:52.000]  Call us at 1-800-340-7091.
[29:52.000 --> 30:00.000]  Visit our website, 5starsoap.com, for buying a one to two-month soap sampler. Thank you.
[30:02.000 --> 30:06.000]  Hi, folks. This is Alex Jones, and I want to tell you about the Silver Lungs Generator.
[30:06.000 --> 30:12.000]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream
[30:12.000 --> 30:15.000]  by breathing the solution through the lungs.
[30:15.000 --> 30:19.000]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[30:19.000 --> 30:26.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions
[30:26.000 --> 30:31.000]  and also delivers the silver nanoparticles instantly into the bloodstream
[30:31.000 --> 30:35.000]  with continued legislation threatening the sale of nano-silver products.
[30:35.000 --> 30:40.000]  You can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[30:40.000 --> 30:45.000]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
