[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[05:00.000 --> 05:11.000]  We need to fund this operation, ladies and gentlemen, and I make it really easy. We went out and looked at what the top new tropics or brain pills are that are healthy for energy, stamina, mental clarity, you name it.
[05:11.000 --> 05:21.000]  And we created a stronger formula than some of the best-selling formulas out there. It's very simple. We went out and looked at what is the top, what is the best, we'll just put even more product in, we'll make it better.
[05:21.000 --> 05:30.000]  Leading competitors put $2 a product in it, sell it for $60, we put $10 in it, and sell it for $30. It's $19.95 right now.
[05:30.000 --> 05:41.000]  So you get an incredible top of the line new tropic for $19.95. Believe me, we're selling it for $35 on average. We need that $15, $20 we make to fund this operation in the face of the global threat of it.
[05:41.000 --> 05:52.000]  But I'm doing this because we got a ton of it coming in in two weeks. I want to shell it all out before the big supply comes in, and I want people that haven't tried BrainForce to try it and find out why.
[05:52.000 --> 06:19.000]  That's $6,000 plus five-star reviews. It's amazing. InfowarsStore.com, InfowarsLive.com, or AAA-2533-139.
[06:19.000 --> 06:36.000]  We're here. And the President has canceled his South American trip, and they're saying they have military options on the table to strike 24 targets inside Syria, including some targets where the Russian military is based.
[06:36.000 --> 06:45.000]  The Russians announced three weeks ago they're going to pull out. Trump announced two weeks ago that we were going to pull out, and it was a successful defeat of ISIS and al-Qaeda.
[06:45.000 --> 06:55.000]  But a lot of different parties, especially the EU and the globalist and the former Obama-era people in the White House and some of the neocons, they want to keep the U.S. there.
[06:55.000 --> 07:09.000]  They want a wider war. McMaster wanted that as well. The Russians have warned this could trigger, in fact, may trigger, will trigger a huge new world war, because if the U.S. bombs Russian forces for the second time, we've already had Russian forces killed last year,
[07:09.000 --> 07:16.000]  they're saying they're going to respond militarily to the ships and the aircraft that fire the cruise missiles and drop the bombs.
[07:16.000 --> 07:29.000]  So you've got British attack ships, missile cruisers, destroyers, and U.S. destroyers in the area with cruise missiles and aircraft saying that they're going to strike for the next 48 hours.
[07:29.000 --> 07:43.000]  That was 24 hours ago. They said they're looking at striking the next 48 hours. Trump says all options are on the table. From a chemical attack, there's no evidence that the Russians or Assad launched, and we've caught the rebels three times doing it.
[07:43.000 --> 07:57.000]  That's come out, even the UN has admitted that. So it's incredible that the U.S. and Russia are pulling out. It's a big victory against al-Qaeda, and that doesn't seem to matter, because right on time this new attack takes place.
[07:57.000 --> 08:10.000]  So this is very, very critical time to be alive. It's very, very dangerous time to be alive, obviously. For all these nice folks here, they're visiting the White House today and seeing the cherry blossoms that are coming into bloom.
[08:10.000 --> 08:23.000]  As a father of four children, it really upsets me because I've really been happy with what Trump's done with the economy, with the border, with national security, with standing up to political correctness, standing up to Hollywood, getting us out of the TPP,
[08:23.000 --> 08:37.000]  returning sovereignty back to our own country. But to now have Trump basically manipulated by Mueller and the whole fake Russia investigation to all these new sanctions and moving troops up to the Russian border in Eastern Europe,
[08:37.000 --> 08:45.000]  and all this talk of war and all these sanctions, and when Russia has not done anything to us. It's Hillary in bed with the Russians and the Communist Chinese.
[08:45.000 --> 08:53.000]  It's Mueller that's on the Russian boards and delivered the uranium on the tarmac to Russia a decade ago. It's incredible now that they're on the stormy Daniels.
[08:53.000 --> 09:06.000]  That has nothing to do with Russia, because that's all they've got trying to push Trump into firing Mueller because he has nothing. So they want to make it look like Trump is scared of him and hiding something because Mueller came up empty
[09:06.000 --> 09:18.000]  and has now moved on to basically a high-priced hooker 11 years ago. And we didn't elect Trump to be a saint. We elected him to get the job done as a CEO and turn the country around and make America great again.
[09:18.000 --> 09:26.000]  So let me be clear, our military is on maximum alert right now. They're moving forces into the area. Trump said we're pulling out, saying no to the deep state,
[09:26.000 --> 09:34.000]  and then there's a chemical attack in a rebel-held area where the rebels repeat have been caught not once, not twice, but three times staging these. Everybody can put two together.
[09:34.000 --> 09:43.000]  So everybody needs to call Congress and the neocons. Call the left. Call them all that have been calling for war. And say, are you people insane? This is not Iraq. This is not Libya.
[09:43.000 --> 09:52.000]  This is not some, you know, tinhorn dictator. This is Russia who's got a bunch of nuclear weapons and who's not done anything to us and who's helped us take on radical Islam.
[09:52.000 --> 10:02.000]  So that's the reality of what's going on here, ladies and gentlemen. And I'm here letting the president know that we stand with him and are against a strike.
[10:02.000 --> 10:09.000]  He's already bombed that Russian base with no evidence of the chemical weapons attack coming from there. And the Russians stood down that time.
[10:09.000 --> 10:14.000]  They stood down again when a bunch of Russian contractors got blown up a few months ago. And so this tension is very, very high.
[10:14.000 --> 10:20.000]  And the rhetoric out of Russia is we're prepared to counter-strike. If you strike us, we're going to strike you back.
[10:20.000 --> 10:30.000]  The Kremlin has said that. Putin has said that. If you strike our forces that are trying to pull out, why in the hell would you not want the Russians to pull out of Syria?
[10:30.000 --> 10:38.000]  That's everything the media claims they want is to get out of Syria. So the Russians are trying to pull out, and the leftists and the neocons and the globalists don't want that to happen.
[10:38.000 --> 10:54.000]  The EU also funded the collapse of the Middle East and the Arab Spring to destabilize the border regions of Syria, Turkey, so that 10 million, quote, refugees, most of military-age men could come in to the country, into Europe, into the EU.
[10:54.000 --> 11:01.000]  And so this is all part of a larger global destabilization program. And I'll assure you, if you see all these young people here, they're not being told about this at school.
[11:01.000 --> 11:10.000]  They don't even probably know how close we are right now. How's it going, guys? Look at these guys right here. They don't know how close we are to war.
[11:10.000 --> 11:16.000]  They don't understand how much danger we're all in and the things that are going on. But the president does.
[11:16.000 --> 11:25.000]  So the president has canceled his trips. He's in there right now with his advisors, and they're telling him, you've got to look strong. You've got to strike these 24 targets.
[11:25.000 --> 11:31.000]  You've got to kill these Russians because we can't let them get out of the country, sir. We've got to expand this war and endanger the whole planet.
[11:31.000 --> 11:37.000]  Because after all, Obama and Hillary founded the Arab Spring in ISIS and sent al-Qaeda in with the Benghazi weapons.
[11:37.000 --> 11:43.000]  And our whole global strategy is failing and America is coming back. So we've got to trick you as fast as possible into a new giant war.
[11:43.000 --> 11:49.000]  And after all, sir, Mueller's on your heels, all this made-up stuff. If you look tough and bomb the Russians, well, that will really show them.
[11:49.000 --> 11:55.000]  There's no amount of sanctions, no amount of troops on the Russian border, no amount of that will ever prove anything to Mueller unless you have a nuclear war.
[11:55.000 --> 12:01.000]  If you have a big nuclear war, then Mueller, the real president of America, even though he's unelected, he will then be your buddy and love you.
[12:01.000 --> 12:05.000]  And he can go back to meeting the Russians on tarmacs and giving them uranium.
[12:05.000 --> 12:15.000]  So that's the insanity going on. And it's the deep state, it's the swamp, it's the bureaucracy manipulating the president. It's like they did John F. Kennedy into the Bay of Pigs, the Cuban Missile Crisis, you name it.
[12:15.000 --> 12:20.000]  This is as bad as the Cuban Missile Crisis, but the Russians aren't in our hemisphere. They're not in Cuba. That had to be done.
[12:20.000 --> 12:27.000]  They are here on our doorstep, that is the globalist, manipulating our president against Russia, and we are on their doorstep.
[12:27.000 --> 12:34.000]  We are on the Russian doorstep being manipulated by the globalists. So I've come to the president, and I'm asking all our viewers and all our listeners,
[12:34.000 --> 12:40.000]  and all of you that's going to be watching and listening on the radio today, to call Congress, to call talk radio, to call C-SPAN, to get a big buzz going and to call the White House,
[12:40.000 --> 12:49.000]  switchboard, and to call Trump towers around the country, because those messages get to the president as well, and say, listen, we don't want nuclear war with Russia.
[12:49.000 --> 12:53.000]  We want peace with Russia. Russia's Christian now. They're being free-market.
[12:53.000 --> 12:59.000]  Compared to the Communist Chinese, they're not involved in our business. It's the Communist Chinese that have a whole task force threatening us in the South China Sea right now
[12:59.000 --> 13:04.000]  and who are taking over islands and just engaged in very belligerent, blockade behavior. The Russians aren't doing any of that.
[13:04.000 --> 13:12.000]  They worked with our military the last five years to try to take out ISIS, and now when they're trying to pull out, the globalists don't want that vacuum there where there's a sovereign country.
[13:12.000 --> 13:19.000]  So they want to destabilize it. It's very, very dangerous. We've got to stop a potential nuclear war. We've got to stop a potential larger regional war,
[13:19.000 --> 13:24.000]  because if you strike the Russian forces, they're going to counter-strike. Then there'll be counter-strikes on those forces.
[13:24.000 --> 13:29.000]  If those forces start losing, then it goes to larger weapons, and we're off the races.
[13:29.000 --> 13:39.000]  The Russians do have those high-powered Mach 5, Mach 6 missiles, the anti-ship missiles, and submarines of the Mediterranean that will end up sinking our ships.
[13:39.000 --> 13:47.000]  And you end up getting sinking ships. Boom. It's World War 4. World War 3 was the Cold War. This is World War 4 information warfare.
[13:47.000 --> 13:54.000]  The globalist versus nation states. It's the EU allied with radical Islam, with communist China, and Hollywood, and the globalists and the Vatican,
[13:54.000 --> 14:01.000]  against America, against any sovereign nation, against Christians, against the Russians, against the Japanese and the South Koreans.
[14:01.000 --> 14:05.000]  That's the real alliance against the globalists that's dug into our government.
[14:05.000 --> 14:13.000]  So here they are in the White House, right now, counting down to potential World War 4, a new World War, and these people out here, I guarantee you, just watch Comedy Central,
[14:13.000 --> 14:18.000]  and you'll think this is all a big joke. This is all extremely serious, ladies and gentlemen.
[14:18.000 --> 14:27.000]  So now, let's zoom in on one of those windows. Now, inside there, right now, the President is sitting around his council table with the generals and others,
[14:27.000 --> 14:32.000]  and he's been bucking, expanding the war, he's been pushing to get us out of there the whole time, something our Pentagon recommended years ago,
[14:32.000 --> 14:39.000]  but Obama wanted to keep going on, and so now they're trying to use this crisis to push him in, right as peace was breaking out,
[14:39.000 --> 14:43.000]  and right as the economy was coming back, and right as all this was happening, this is now unfolding.
[14:43.000 --> 14:49.000]  So we also should be praying to God for peace, and for clear-headed thinking, and for support for the President,
[14:49.000 --> 14:54.000]  because this is a globalist attack on him, and even if he ends up attacking Russia, they're still going to say he's a Russian agent.
[14:54.000 --> 15:01.000]  He could nuke Russia and kill every person in the country with 1,000 hydrogen bombs, and I swear to God, they'll still say he's a Russian agent,
[15:01.000 --> 15:07.000]  because they're the outsiders, they're the globalists that have hijacked the country, they're the ones that have surrounded us, they're the ones that have the swamp,
[15:07.000 --> 15:13.000]  and so they're the outside enemy, they've got to continue to say that we're the enemy, the Patriots, restoring the country, restoring the military,
[15:13.000 --> 15:16.000]  restoring our energy systems, restoring it all.
[15:16.000 --> 15:23.000]  Alright folks, that's my last live transmission from DC, more coming today, Owen Shroyer and others will be hosting in studio,
[15:23.000 --> 15:30.000]  but there'll be more reports as this unfolds, can't let peace break out, the swamp is striking back, but the people are striking back,
[15:30.000 --> 15:39.000]  so folks, spread the word now, get this video out to everyone you know, we need a chain reaction to try to counter the globalists and this clear false flag chemical attack.
[15:39.000 --> 15:51.000]  The last three were confirmed false flags, this fourth one has the MO, the history, everything, so it's critical to get this false flag exposed and to stop the globalists from trying to trigger a larger war that could lead to World War 4.
[15:51.000 --> 15:59.000]  I'm Alex Jones, reporting from in front of the White House, here in Washington DC, for infowars.com and newswars.com.
[15:59.000 --> 16:09.000]  Fully cooked, ready to eat bacon, I'm talking thick meaty, center cut, presidential bacon, savory and delicious, I buy some, I use some, I store some, awesome.
[16:09.000 --> 16:20.000]  No refrigeration needed with a 10 year shelf life, NASA pack technology, bacon, fully cooked, fully hydrated, ready to eat right from the pack bacon, or warm and serve.
[16:20.000 --> 16:29.000]  Life saving, ready to eat bacon, 10 year shelf life bacon, ships free at fullycookedbacon.com, fullycookedbacon.com.
[16:29.000 --> 16:39.000]  Healthcare reform is confusing, but whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[16:39.000 --> 16:43.000]  Control your own healthcare costs and choices with Liberty Health Share.
[16:43.000 --> 16:53.000]  Liberty Health Share is not insurance, it is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs, neighbor helping neighbor.
[16:53.000 --> 17:22.000]  Learn more now by going to libertyoncall.org, that's libertyoncall.org.
[17:22.000 --> 17:26.000]  My blood pressure has normalized, my diabetes has totally improved.
[17:26.000 --> 17:33.000]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel, I recommend heart and body extract to everyone.
[17:33.000 --> 17:41.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[17:41.000 --> 18:00.000]  Share your two month supply today by calling 866-295-5305, that's 866-295-5305, or order online hbextract.com, heart and body extract 866-295-5305, or hbextract.com.
[18:00.000 --> 18:09.000]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[18:09.000 --> 18:17.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[18:17.000 --> 18:22.000]  We have now managed to secure the sought-after beans in a highly customized blend.
[18:22.000 --> 18:36.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at infowarslife.com. This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[18:36.000 --> 18:43.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[18:43.000 --> 18:57.000]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed. Available in original, or with our immune support infusion blend. You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[18:57.000 --> 19:00.000]  Available at infowarslife.com.
[19:03.000 --> 19:06.000]  Let's go to Devin and Florida. Devin and Florida, you're on the air.
[19:06.000 --> 19:22.000]  Great. Hey, thank you so much. Listen, I have bought your product, and I got to say they're amazing. Anyone who's on the fence, buy it, because I've got caveman, superman vitality, secret swell, vitamin interfusion. I've got the body armor.
[19:22.000 --> 19:27.000]  Wow, thank you. You're the type of listener that makes it all possible. Which pharmaceutical does you like best?
[19:27.000 --> 19:32.000]  I really like the vitamin mineral fusion, to be honest. That's really incredible.
[19:32.000 --> 19:48.000]  I drank it in the morning, and I swear to you, I felt incredible. I haven't felt sweet. My morning was fantastic, and I love the guys, I love the info wars through, and I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[19:48.000 --> 19:51.000]  You will love it. I'm telling you, I've never bought a bad product.
[19:51.000 --> 20:02.000]  What you find in our news is the same thing you find in our products at infowarslife.com. It's a win-win infowarslife.com.
[20:22.000 --> 20:34.000]  Welcome back to the Alex Jones Show. We are now in studio, filling in for Alex here. In the info wars world headquarters in Austin, Texas, I'm Owen Shroyer.
[20:34.000 --> 20:43.000]  And it's pretty incredible that we sit here on the verge of World War III or World War IV, whichever way you want to say it.
[20:43.000 --> 20:52.000]  What we were hoping to avoid by electing Donald Trump, we thought that would be Hillary Clinton that would have us in that situation.
[20:52.000 --> 20:58.000]  But the deep state is trying to get its way again and may get its way with Trump as president.
[20:58.000 --> 21:05.000]  But we got plenty of news to cover. So I'm going to cover all the news today, plenty of news to cover.
[21:05.000 --> 21:16.000]  We've got great guest today, Dr. Shiva Ayadu Ray. You won't believe what Elizabeth Warren is doing to Shiva Ayadu Ray.
[21:16.000 --> 21:24.000]  This is, in my opinion, racketeering at the highest levels of corruption.
[21:24.000 --> 21:30.000]  What is going on with Elizabeth Warren and Shiva Ayadu Ray in that race? It's really unbelievable.
[21:30.000 --> 21:35.000]  And then you've got Diamond and Silt coming on as well. So it's like the same angle.
[21:35.000 --> 21:40.000]  See, Facebook, the deep state, everything is so desperate right now. They're going full bore.
[21:40.000 --> 21:46.000]  They're using racketeering. They're using censorship. They're trying to take the guns. They're trying to start World War III.
[21:46.000 --> 21:54.000]  They're using false flags. They're using fake investigations. It's all the same purpose.
[21:54.000 --> 22:00.000]  And really, it's been to take Trump out of office. So they're doing everything they can.
[22:00.000 --> 22:04.000]  They're censoring Trump supporters. They're censoring conservatives.
[22:04.000 --> 22:10.000]  They're using the government to try to bring down their opponents. They're using the government for political purposes,
[22:10.000 --> 22:19.000]  whether it be the Mueller investigation, whether it be the unbelievable story coming out with Shiva Ayadu Ray.
[22:19.000 --> 22:27.000]  And as we sit here, I had the crew bring me all of Trump's most recent tweets,
[22:27.000 --> 22:32.000]  because there was a tweet that I wanted to recall from 2013 from Trump.
[22:32.000 --> 22:39.000]  So Trump tweets out early this morning, Russia vows to shoot down any and all missiles fired at Syria.
[22:39.000 --> 22:44.000]  Get ready, Russia, because they will be coming nice, new and smart. What a smart missile now.
[22:44.000 --> 22:50.000]  You shouldn't be partners with a gas-killing animal who kills his own people and enjoys it.
[22:50.000 --> 22:56.000]  Okay, so that's basically Trump indicating that he fully believes Assad is responsible for this.
[22:56.000 --> 22:59.000]  And now he's saying they're going to shoot missiles at Syria.
[22:59.000 --> 23:06.000]  But this is Donald Trump from September 9, 2013, and there's many tweets that are similar to this.
[23:06.000 --> 23:14.000]  Don't attack Syria and attack that will bring nothing but trouble for US. Focus on making our country strong and great again.
[23:14.000 --> 23:17.000]  That was 2013 from Donald Trump.
[23:17.000 --> 23:23.000]  And you can go back at Trump's list of old tweets about Syria and foreign intervention, and they're all the same.
[23:23.000 --> 23:26.000]  He's anti it. Now all of a sudden he's for it.
[23:26.000 --> 23:35.000]  Is this because he's being bullied by the Deep State fake investigation into Trump-Russia collusion that never exists?
[23:35.000 --> 23:39.000]  So he says, well, I'll prove it didn't exist. I'll go to war with Russia.
[23:39.000 --> 23:41.000]  How about that for Russian collusion? How about that?
[23:41.000 --> 23:49.000]  How about we go to the deadliest, bloodiest war of all time with Russia to prove that I didn't collude with Russia?
[23:49.000 --> 23:58.000]  Or does he actually believe the chemical weapons attack in Syria was Assad so he's being tricked into war with Russia?
[23:58.000 --> 24:06.000]  And if he was colluding with Russia the entire time, why wouldn't he have Syria's back in this matter being a Russian agent?
[24:06.000 --> 24:11.000]  None of it makes sense.
[24:11.000 --> 24:14.000]  But here's what you can do.
[24:14.000 --> 24:26.000]  Because the president is listening and he will take notice if his entire base is reaching out to him saying, don't start a war with Russia over Syria.
[24:26.000 --> 24:32.000]  You can contact the White House at WhiteHouse.gov.
[24:32.000 --> 24:36.000]  And I'm sitting here asking myself, who wants this war?
[24:36.000 --> 24:39.000]  I mean, really think about it. Who wants this? Who is calling for this?
[24:39.000 --> 24:44.000]  And it's actually a very short list that happens to include Donald Trump.
[24:44.000 --> 24:48.000]  Nikki Haley?
[24:48.000 --> 24:51.000]  Where's the Nikki Haley tweet I had here today?
[24:51.000 --> 24:53.000]  Here it is.
[24:53.000 --> 24:58.000]  Remember, this is from June 26, 2017 from Nikki Haley.
[24:58.000 --> 25:07.000]  Any further attacks done to the people of Syria will be blamed on Assad, but also on Russia and Iran who support him killing his own people.
[25:07.000 --> 25:16.000]  And then Trump tweets out, to Russia you shouldn't be partners with a gas-killing animal who kills people and enjoys it.
[25:16.000 --> 25:33.000]  So Nikki Haley, the US ambassador to the UN, shows the deep state's hand and says they're planning an attack to blame on Assad, which will be then in turn pointed at Russia and Iran for supporting Syria.
[25:33.000 --> 25:37.000]  So there's Nikki Haley showing the globalist hand to start World War III.
[25:37.000 --> 25:42.000]  Right there, Russia knew about the stage attack coming.
[25:42.000 --> 25:44.000]  They warned about the stage attack coming.
[25:44.000 --> 25:49.000]  The stage attack happens just as every other one.
[25:49.000 --> 25:52.000]  Media jumps to conclusion, White Hatcher there filming HD footage.
[25:52.000 --> 25:54.000]  Media runs with the narrative.
[25:54.000 --> 25:56.000]  President runs with the narrative.
[25:56.000 --> 26:03.000]  And just as Nikki Haley warned, they blamed Assad immediately and then turned it to Iran and Russia.
[26:03.000 --> 26:12.000]  And now Trump is playing World War III ping-pong with Russia and Syria as the ball.
[26:12.000 --> 26:18.000]  And so who really wants this war?
[26:18.000 --> 26:20.000]  John Bolton?
[26:20.000 --> 26:24.000]  Is this a John Bolton, Neo-Conn-Hawk war-hawk war?
[26:24.000 --> 26:27.000]  Is this a military industrial complex war?
[26:27.000 --> 26:37.000]  Is this the human population decrease war that we fought with biological weapons and chemical weapons?
[26:37.000 --> 26:41.000]  Or is it all a head fake?
[26:41.000 --> 26:55.000]  Because Trump wants to be able to say, how can you say I'm colluding with Russia when I'm about to go to the biggest war in the history of the world with Russia?
[26:55.000 --> 26:57.000]  So what are they going to say then?
[26:57.000 --> 27:00.000]  Well, you're colluding with Russia to start war.
[27:00.000 --> 27:05.000]  That's where they'll go.
[27:05.000 --> 27:11.000]  Calm before the storm.
[27:11.000 --> 27:22.000]  As Stormy Daniels is now the latest weapon they're using against President Trump.
[27:22.000 --> 27:24.000]  It's unbelievable.
[27:24.000 --> 27:31.000]  And again, there is no law for Robert Mueller.
[27:31.000 --> 27:33.000]  There are no boundaries.
[27:33.000 --> 27:35.000]  He doesn't answer to anyone.
[27:35.000 --> 27:41.000]  He's above the president even, unelected.
[27:41.000 --> 27:42.000]  There's the New York Times.
[27:42.000 --> 27:45.000]  What did the president mean by calm before the storm?
[27:45.000 --> 27:53.000]  Well, you're looking at it right now, New York Times, as we are entering the storm.
[27:53.000 --> 28:01.000]  So folks, you know, just like Alex was saying in the video in the last segment, people need to know how serious this is.
[28:01.000 --> 28:04.000]  You know, the average human doesn't even know what a false flag is.
[28:04.000 --> 28:05.000]  Maybe they do at this point.
[28:05.000 --> 28:09.000]  Maybe they do know what a globalist in the deep state and false flag is at this point in history.
[28:09.000 --> 28:15.000]  Maybe that's finally permeated the average household, but they don't really understand what's going on.
[28:15.000 --> 28:16.000]  You've seen it.
[28:16.000 --> 28:22.000]  You've seen the lemming Trump supporters jump on war with Russia over Syria immediately, just like that.
[28:22.000 --> 28:24.000]  Oh, they went right for it.
[28:24.000 --> 28:25.000]  That's not us.
[28:25.000 --> 28:26.000]  That's not who we are.
[28:26.000 --> 28:28.000]  That's not who put Trump in office.
[28:28.000 --> 28:31.000]  We don't want more foreign interventions.
[28:31.000 --> 28:47.000]  Tucker Carlson, another great show last night, talking about the false flag, talking about how there's no proof, talking about how it would be irresponsible to go to another foreign war over these reports that have been proven false in the past multiple times,
[28:47.000 --> 28:57.000]  even from John Bolton's people, even from Robert Mueller's people, the same people trying to do the same thing to start the same war to keep us in the same place.
[28:57.000 --> 29:01.000]  Hear that?
[29:01.000 --> 29:06.000]  That's the sound of a house being trashed while a gang of thieves ransacked the place.
[29:06.000 --> 29:09.000]  And what they don't steal will be destroyed.
[29:09.000 --> 29:13.000]  This year, resolve not to be the next victim of a break-in.
[29:13.000 --> 29:20.000]  Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[29:20.000 --> 29:27.000]  Security is a mindset, and fake TV should be part of your security solution. Be vigilant, but not fearful.
[29:27.000 --> 29:29.000]  Faketv.com
[29:29.000 --> 29:31.000]  You have been lied to.
[29:31.000 --> 29:33.000]  My name is Kevin Schipp.
[29:33.000 --> 29:36.000]  I'm a former decorated CIA officer.
[29:36.000 --> 29:41.000]  Finally, someone has come out and written what I think is the best ex-Mose on the shadow government ever.
[29:41.000 --> 29:47.000]  We're in a constitutional crisis, and our government is now being run and ruled by a shadow government.
[29:47.000 --> 29:50.000]  We've got to get this out, because just because you're awake, folks, doesn't mean other people are.
[29:50.000 --> 29:56.000]  This is critical to get, to read, to give them a library, to give them a church, and to get them right now at KillingUncleSamBook.com.
[29:56.000 --> 30:00.000]  KillingUncleSamBook.com
[30:00.000 --> 30:09.000]  I want to plow into all of this, that I'm going to spend a few minutes here first, just encouraging listeners to understand that
[30:09.000 --> 30:20.000]  when you buy t-shirts, or water filtration systems, or books, or videos, or other material from infowarstore.com, you are funding the revolution.
[30:20.000 --> 30:26.000]  I mean, I cannot say it any clearer, and so it is essential that you purchase the products at infowarstore.com.
[30:26.000 --> 30:33.000]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine.
[30:33.000 --> 30:41.000]  You cannot beat that for children and adults. We've got the best mouthwash, designed by Dr. Jones, that's my dad, with colloidal silver and iodine as well.
[30:41.000 --> 30:45.000]  infowarslife.com, or triple-A-253-3139.
[30:45.000 --> 30:53.000]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists, and there's satanic pedophile armies.
[30:53.000 --> 31:00.000]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[31:00.000 --> 31:07.000]  The reason infowarslife has five star ratings on major third-party sites is because I want products I'm going to use for my family.
[31:07.000 --> 31:13.000]  I take this, my family takes this, and then it funds the operation with the most hardcore, truthful information you're going to find anywhere.
[31:13.000 --> 31:18.000]  So what you find in our news is the same thing you find in our products at infowarslife.com.
[31:18.000 --> 31:23.000]  If I ever forget to take them, I have a noticeable difference. I don't feel good.
[31:23.000 --> 31:27.000]  The nascent iodine is one of the ones that was life-changing for me.
[31:27.000 --> 31:35.000]  Yeah, I actually have just run out of my Super Female. I had a few bottles at my house, and I've been taking it again, hitting the gym once again.
[31:35.000 --> 31:42.000]  Very exciting, feeling great, looking good, and I know my hair is so luxurious once again.
