[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[08:21.000 --> 08:27.000]  So people are now fighting over food. It's just an example of how civilization is so tenuous right now.
[08:27.000 --> 08:32.000]  And then we're also going to just get into so much more here today.
[08:32.000 --> 08:39.000]  Even mainstream news is reporting that more video of staged white helmets who are really ISIS and Al Qaeda.
[08:39.000 --> 08:46.000]  That's just how they, when they go in an area to fight, they wear white helmets and drive around with red crescents on their vehicles like the Red Cross.
[08:46.000 --> 08:51.000]  And then they get out, they take the weapons out of the back of the ambulance and start attacking and see it's on video.
[08:51.000 --> 09:00.000]  Well, the ISIS and Al Qaeda white helmets have now been caught staging more fake video productions about chemical attacks going on in a lib.
[09:00.000 --> 09:02.000]  I mean, these people don't even try to hide it.
[09:02.000 --> 09:10.000]  It's like they're saying action Arabic and they tell people that everybody falls over and starts flopping around like dying fish out of water.
[09:10.000 --> 09:14.000]  It's just so insulting. So we're going to get to all that too.
[09:14.000 --> 09:18.000]  But let me just make a big announcement here on there.
[09:18.000 --> 09:29.000]  Because this is the main reason that people don't understand how to take the country back and take the world back.
[09:29.000 --> 09:37.000]  I mean, this is what I'm about to say. This is the big enchilada.
[09:37.000 --> 09:43.000]  And it just shows where people come from, from their perspectives.
[09:43.000 --> 09:51.000]  The media always celebrates my thousands of defeats every day.
[09:51.000 --> 09:58.000]  Thousands of articles, thousands lying about me saying I'm in sincere total fiction.
[09:58.000 --> 10:05.000]  And then celebrating our defeat over and over again when I'm not being defeated.
[10:05.000 --> 10:09.000]  I'm winning. See, I'm not trying to be accepted by the world.
[10:09.000 --> 10:13.000]  I'm not trying to go to award ceremonies from the establishment.
[10:13.000 --> 10:15.000]  I wouldn't go. I wouldn't take part in it.
[10:15.000 --> 10:19.000]  Who was it that said I wouldn't be part of any club that would have me?
[10:19.000 --> 10:22.000]  I'm a family man and a loner.
[10:22.000 --> 10:30.000]  Anybody that knows me knows that. I would rather just live up the mountains on a farm.
[10:30.000 --> 10:35.000]  I'm not a person seeking to be public. I am an introvert.
[10:35.000 --> 10:41.000]  But I have to be extroverted to defeat the globalist because I will not be their slaves.
[10:41.000 --> 10:44.000]  And they have roused me from my slumber.
[10:44.000 --> 10:50.000]  And they've roused many, many other people from their slumber. I'm just a farmer.
[10:50.000 --> 10:56.000]  But you come after me and my family, I become a warrior.
[10:56.000 --> 11:03.000]  Now, everyone calls me lawyers and public figures and famous people.
[11:03.000 --> 11:08.000]  And you name it, and they say, Alex, you need to get back on Google and Twitter and all these other things.
[11:08.000 --> 11:13.000]  You need to say you're sorry. You need to, my God, how are you taking it? What's it like?
[11:13.000 --> 11:18.000]  And I'm like, I've never felt better. I've never felt stronger. I've never felt closer to God.
[11:18.000 --> 11:23.000]  I've never felt satisfied. It's not really a pride because I'm not a prideful person.
[11:23.000 --> 11:30.000]  It's a satisfaction that I'm honorable and I love God and I love justice.
[11:30.000 --> 11:36.000]  And that's why all the enemies get financed and paid and pushed and Google and YouTube promote people
[11:36.000 --> 11:42.000]  that demonize me and lie about me from the establishment angle and from the so-called grassroots angle.
[11:42.000 --> 11:48.000]  And people set up their self-righteously and claim that I'm not real or that I don't stand for what I stand
[11:48.000 --> 11:56.000]  when if you look at the doctrine of the tree, all it is, is good fruit and victory.
[11:56.000 --> 12:06.000]  And that's why I'm under attack. And yes, there's a Streisand effect of it making us for a time more popular.
[12:06.000 --> 12:12.000]  It's going to be like if you were out in the Arctic and your shelter caught on fire for an hour or so,
[12:12.000 --> 12:19.000]  you'd be pretty warm outside of it. But once it burned out, you'll freeze to death.
[12:19.000 --> 12:24.000]  So they're calculating that, okay, Streisand effect, we explode when they totally ban us,
[12:24.000 --> 12:30.000]  the first person in modern world, to be de-platformed, to be unpersoned.
[12:30.000 --> 12:36.000]  They know that long term, that will be detrimental to info wars.
[12:36.000 --> 12:42.000]  And that's only part of setting a precedent to shut other people down.
[12:42.000 --> 12:49.000]  And it's only part of a precedent to then move on me politically and then move on me criminally.
[12:49.000 --> 12:52.000]  I'm not at liberty. I'm not going to get into some of the things that have happened last week.
[12:52.000 --> 12:59.000]  But believe me, what you see on the surface, you think it's a storm on the surface beneath the water.
[12:59.000 --> 13:02.000]  That's where the real war is going on.
[13:02.000 --> 13:15.000]  And the only frustration I have is that people don't see how clear it is and understand that this is real authoritarianism, real tyranny.
[13:15.000 --> 13:24.000]  This is your birthright being stolen from you by really, really bad people who in authoritarian nations are cheerleaders
[13:24.000 --> 13:32.000]  for horrible political crimes, executions, Christians, Buddhists, you name it, being worked to death, having their organs taken.
[13:32.000 --> 13:37.000]  Those aren't words. Those aren't horror movies. That's real.
[13:37.000 --> 13:44.000]  And Google and Apple have moved to China. They've officially said they're not working with the Pentagon or the U.S. government.
[13:44.000 --> 13:51.000]  I mean, they deserve to be SWAT-teamed six months ago.
[13:51.000 --> 13:56.000]  All their executives should be arrested immediately. This is World War Four, folks.
[13:56.000 --> 14:00.000]  This is 21st century six-generational warfare.
[14:00.000 --> 14:05.000]  And we don't have time to get up to speed on this.
[14:05.000 --> 14:07.000]  Congress doesn't know what's going on.
[14:07.000 --> 14:09.000]  The media doesn't know what's going on.
[14:09.000 --> 14:16.000]  The idiots that even take money to attack me that work at the New York Times and Washington Post, if the globalists are successful,
[14:16.000 --> 14:22.000]  our entire way of life is over. You're going to be very, very poor.
[14:22.000 --> 14:26.000]  And they're going to use racial and cultural division to completely control everybody.
[14:26.000 --> 14:30.000]  It is going to be a horrible country to live in.
[14:30.000 --> 14:40.000]  This is like burning down your own house.
[14:40.000 --> 14:46.000]  And so somebody explained something. I do what I do from intellectual research,
[14:46.000 --> 14:50.000]  and then when I come to the conclusions, from emotion.
[14:50.000 --> 14:58.000]  I intellectually study things very coldly, and then I then emotionally power myself by emotionally caring about it deliberately
[14:58.000 --> 15:06.000]  and making myself fully feel the pain and fully feel the threat to activate my instincts and my will to fight it.
[15:06.000 --> 15:13.000]  Sociopaths attack me and psychopaths attack me because they're going at it from their thing of pressure and people after them
[15:13.000 --> 15:19.000]  and being attacked and losing things. They wouldn't want that.
[15:19.000 --> 15:24.000]  I am trying to destroy the globalist. They know that, and they don't know why I won't stop.
[15:24.000 --> 15:29.000]  And they just keep escalating the attacks because you're bad people.
[15:29.000 --> 15:40.000]  I instinctively cannot let you rule me and my family or any of these other people. I will go to the end and I am becoming stronger.
[15:40.000 --> 15:46.000]  God is opening the armories of understanding. Every day my discernment increases exponentially.
[15:46.000 --> 15:51.000]  So I thank you all for your prayers and everything else, but I want to encourage everyone, if you really want to live,
[15:51.000 --> 15:59.000]  start fighting evil. Start getting underneath before Jesus Christ and fight the anti-Christ world government beast system because it's almost here.
[16:21.000 --> 16:37.000]  Health Care Reform is confusing, but whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions,
[16:37.000 --> 16:44.000]  navigating the health care system has become a challenge. Control your own health care costs and choices with Liberty Health Share.
[16:44.000 --> 16:51.000]  Liberty Health Share is not insurance. It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[16:51.000 --> 17:17.000]  Neighbor Helping Neighbor. Learn more now by going to libertyoncall.org. That's libertyoncall.org.
[17:21.000 --> 17:29.000]  No price for your everyday use. Order today at ReadyToEatBacon.com.
[17:29.000 --> 17:39.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place. And what they don't steal will be destroyed.
[17:39.000 --> 17:48.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV,
[17:48.000 --> 17:54.000]  even when you're miles away. Security is a mindset, and fake TV should be part of your security solution.
[17:54.000 --> 18:19.000]  Be vigilant, but not fearful. FakeTV.com.
[18:19.000 --> 18:27.000]  Researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[18:27.000 --> 18:38.000]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:38.000 --> 18:52.000]  The pollen block is natural and effective. It is not an antihistamine. In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:52.000 --> 19:00.000]  Go outside and enjoy the air you breathe. Head to infoworthlife.com and grab a pack of our pollen block chewable tablets.
[19:00.000 --> 19:18.000]  Go outside and enjoy the air you breathe.
[19:18.000 --> 19:38.000]  Go outside and enjoy the air you breathe.
[19:38.000 --> 20:02.000]  Go outside and enjoy the air you breathe.
[20:02.000 --> 20:09.000]  You're listening to the Alex Jones Show.
[20:09.000 --> 20:26.000]  We are drugged out. We are following other people's opinions. We are controlled by the media. Today, it all changes. This reality has been forced upon us. It is a choice, just like when I said slavery is a choice.
[20:26.000 --> 20:36.000]  Einstein says the depth of insanity is doing the same thing, expecting a different result. So we keep on saying, I hate you, I hate you, fuck you, fuck you. How are we going to get a different result out of hate?
[20:36.000 --> 20:48.000]  Why don't we just try love? Why don't we just try love? We have the resources for a peaceful world. You know, sometimes you need some crazy motherfuckers to change something.
[20:48.000 --> 21:00.000]  Steve Jobs is crazy. Now we all know Steve Jobs phones. They say Trump's crazy. They say I'm crazy. But I'm here to show love. It's a bigger plan and I'm just doing what the universe told me.
[21:00.000 --> 21:13.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[21:13.000 --> 21:25.000]  We're going to get into all the news in the next segment and have a special guest who just had his book banned. None of his books banned by Amazon.
[21:25.000 --> 21:37.000]  But first, I want to just restate what I was saying earlier. This is some of the most important information all over here. So I hope that you'll listen to me very carefully.
[21:37.000 --> 21:45.000]  Everyone who's trying to go along with the system and who thinks it's stupid to fight the corrupt system.
[21:45.000 --> 22:12.000]  Isn't understanding historically the Renaissance and the West and everything good came out of individuals standing up to corrupt authoritarian power structures and demanding basic rights for humanity and basic rights for people to think and do as they personally want to do without a power structure telling them what to do.
[22:12.000 --> 22:30.000]  And classical tyranny with a high tech overlay is being foisted upon us right now. So if everyone else gets intimidated and everybody else gets threatened and bullied when they stand up to the system, they get taken off the air, they get censored, they get attacked.
[22:30.000 --> 22:44.000]  They run into that stimulus, that bad stimulus. You can look at an amoeba. There's lots of microscope videos of this on YouTube. Amoeba runs from heat source. And then they can put a little wire with some heat on it into a Petri dish with some amoebas.
[22:44.000 --> 22:58.000]  And the amoebas will all run. They're single cell organisms. They have a tail, but they feel the heat and they run. They run.
[22:58.000 --> 23:13.000]  Now, I'm not an amoeba. So when I see scientific psychology, which they admit the internet was set up for to track you and control you, manipulating people were, oh, you get more tweets, you get pushed if you slap Alex Jones upside the head or if you promote this corporate idea.
[23:13.000 --> 23:32.000]  So you think through the stimulus, you're getting the carrot because you're going along with it and because you're getting pushed out there because you hate Trump or you hate America or whatever. Or you push lies about info wars from above and below, from an establishment angle and from a conspiracy angle.
[23:32.000 --> 23:49.000]  But no, what you're doing is being given a poison. You're being given a carrot that is poison. So there's a carrot in the stick. There's the heat makes the amoeba run away.
[23:49.000 --> 23:56.000]  But there's also the food you can put in there that the amoeba doesn't know is poison and it comes over and eats it and dies.
[23:56.000 --> 24:09.000]  So see, I have to make the decision. These are globalists. They're going to demonize me. They're a foreign multinational power. They are a technotronic technocracy using psychological warfare in their own white papers.
[24:09.000 --> 24:20.000]  They admit this to control people and they want a docile, dumb down world population so that they're in full control and then now they want to phase out that population and they're replacing us with robots.
[24:20.000 --> 24:31.000]  Of course I'm going to fight that. Of course I'm going to fight Apple and Google going to communist China and then trying to bring that tyranny here.
[24:31.000 --> 24:39.000]  People call me and they go, man, why'd you go getting Marco Rubio's face? Why'd you go to that hearing? Why'd you do that? You know they're going to ban you.
[24:39.000 --> 24:52.000]  Exactly. I have to go up front and make an issue out of this so we don't just incrementally slide into a hot bath like a frog and boil to death.
[24:52.000 --> 25:01.000]  I jumped out of the pot and they're like, well, if you jump out of the pot, they'll try to grab you in the kitchen and put you back in the pot.
[25:01.000 --> 25:13.000]  Well, maybe that screen door is banging a little bit and maybe I jump on the floor and I hop outside and I get in the creek. All I know is I'm not staying in this hot water that's starting to boil.
[25:13.000 --> 25:29.000]  And you're like, well, you'll live five minutes longer politically if you just stay in the boiling water. No. I jumped out of the pot and the globalists just keep attacking me and threatening me and doing dirty tricks behind the scenes and doing things I won't say on air.
[25:29.000 --> 25:35.000]  Okay. And I have obvious reasons for that because then those things are used against me and it's used against my family.
[25:35.000 --> 25:45.000]  But the point is, is that they're trying to put me in prison right now. They are trying to do the finale.
[25:45.000 --> 25:52.000]  And at a spiritual level, I don't want to die, but at a spiritual level, I don't have any fear because I know I'll be with God.
[25:52.000 --> 26:00.000]  And it's also exhausting to have to be good and stand against this and give every bit of my will. I want to fight to the end.
[26:00.000 --> 26:06.000]  But at the same time, I don't have a death wish. I never commit suicide. At the same time, I'm free of these people.
[26:06.000 --> 26:13.000]  It's like V for Vendetta where they take her for the mock execution. She says, go ahead and kill me. And they go, okay, you're free now.
[26:13.000 --> 26:25.000]  And it was V getting her to that point of how powerful she was once she truly was ready to do whatever it took for the children
[26:25.000 --> 26:32.000]  and how they were putting bio weapons in the vaccines. So the Wachowski brothers are telling you what's really going on.
[26:32.000 --> 26:42.000]  And that's the gravitas of those art productions is because they have truth hidden in them and then you resonate because your subconscious is hundreds of times more powerful than your conscious.
[26:42.000 --> 26:50.000]  And you know the truth. And so it resonates with you. So we're facing a tyranny. It's not even left wing. It's just authoritarian.
[26:50.000 --> 26:58.000]  It's a virtue signaling tyranny that uses a bunch of political correctness as its camouflage, but it's very corporate, very fascistic in its own words.
[26:58.000 --> 27:06.000]  It's dictatorial by their own definition at Davos, a technocracy means a ruling group controlling you with technology, an oligarchy.
[27:06.000 --> 27:16.000]  And so Zuckerberg says, I think Alex Jones wanted to be banned. No, Zuckerberg. I didn't want to be banned. I was already shadow banned.
[27:16.000 --> 27:26.000]  A, your premise is wrong. B, I cannot stop what I'm doing. But I did accelerate my banning.
[27:26.000 --> 27:32.000]  I told my father a week before they're going to ban me. I just knew and see the enemy can't stand that that I've got my own supercomputer.
[27:32.000 --> 27:40.000]  We all do. Yeah, they're AI so smart. Okay, yeah, right. They're scared of real human potential, but see sociopaths and psychopaths.
[27:40.000 --> 27:49.000]  Zuckerberg is a genetic psychopath. He's been bred for that. That's what really pissed him off because he knows he is a genetic psychopath.
[27:49.000 --> 27:56.000]  Everybody that knows him knows that he is a just a soulless monster that wants pure power.
[27:56.000 --> 28:05.000]  And so is Tim Cook is a monster, a monster. The head of Google is a monster.
[28:05.000 --> 28:13.000]  They have no emotion but domination and power. And so they keep going. Why won't Jones stop? Is he crazy? Why won't he stop? We're going to destroy him.
[28:13.000 --> 28:23.000]  Because I have a soul and see I'm here just like my ancestors were to expend my energy for the larger goal of humanity in God's plan,
[28:23.000 --> 28:29.000]  which I'm only privy to a little bit, but I know way more than you'll ever know.
[28:29.000 --> 28:39.000]  You understand? So I'm jacked in to the big frequency, not your little fake frequency down here. And so I am absolutely blessed and I'm just celebrating this.
[28:39.000 --> 28:43.000]  And just it's all in God's hands. And when I pray, I don't ask God for things.
[28:43.000 --> 28:53.000]  I just try to just humble myself in the spirit and the strength and the power and then the understanding of the knowledge just pours in.
[28:53.000 --> 29:21.000]  It's unbelievable. It's unspeakably incredible.
[29:21.000 --> 29:46.000]  We're good old fashioned comfort. Get Diamond Gusset Genes. Every stitch guaranteed. And our Defender Motorcycle Gen comes cavilar reinforced.
[29:46.000 --> 30:00.000]  See them at gusset.com or call 888-848-7738. That's 888-848-7738. Diamond Gusset Genes got it. Others don't.
[30:00.000 --> 30:18.000]  I want to plow into all of this. I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts or water filtration systems or books or videos or other material from infowarstore.com,
[30:18.000 --> 30:33.000]  you are funding the revolution. I mean, I cannot say it any clearer. And so it is essential that you purchase the products at infowarstore.com. I want to thank everybody that has, but we've got the best fluoride free toothpaste with colloidal silver and with high quality atomic iodine.
[30:33.000 --> 30:50.000]  And you cannot beat that for children and adults. We've got the best mouthwash designed by Dr. Jones. That's my dad, the colloidal silver and iodine as well. infowarslife.com or triple A 253-3139. And your purchase of the products stands with us, stands with America, stands with Trump,
[30:50.000 --> 31:00.000]  stands against the globalists and their satanic pedophile armies. And that's who they are. And they know we know who they are. And they're coming back against us so we need your support.
[31:00.000 --> 31:18.000]  infowarslife is launching its newest product. We're really, really proud of it. It's a best source prebiotic fiber. And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for
[31:18.000 --> 31:35.000]  regularity and so much more. And it synergistically works with our 50 billion live, active culture, fluorolife, as well as MycoZX that targets the yeast, the mold, and the funguses and the gut. So this is the time to take advantage of getting this new incredible fiber product and these other products.
[31:35.000 --> 31:49.000]  You get them separately or together and make really, really big savings and get high quality products at the same time. And I'm doing this to introduce these products to you. Bodies sold out in a month. Strongest concentrated turmeric formula we could come up with.
[31:49.000 --> 32:07.000]  It's sold out for another month and a half. We sold it at 50% off till it's sold out. And I think it's going to be the same way with this fiber. Get yours today, infowarslife.com.
[32:19.000 --> 32:29.000]  Our store is completely off of dozens of major platforms where we were all in the top five or top 10 news feeds. Go to infowars.com.
[32:29.000 --> 32:50.000]  It's also critical to go to infowars.com.
[32:50.000 --> 33:00.000]  How they can download the free Android and iPhone apps. How they can then reach out to others with the information and point out this is the verboten info. This is what they don't want you to see.
[33:20.000 --> 33:37.000]  Live, Raw and Unfiltered by Globalist Propaganda. It's the Alex Jones show. Tomorrow's news today.
[33:37.000 --> 33:57.000]  55 days out. The most historic election in world history. Council on Foreign Relations, the Chai Coms, all of them admit that themselves. A referendum. Not just on Americanism versus Globalism, Nationalism, Free Market versus Crony Capitalism and Communism.
[33:57.000 --> 34:16.000]  But a referendum on Silicon Valley and the big corporate media and Hollywood crush the American populist insurgency. Because their sociopaths and psychopaths that don't have real emotion, only the emotion of domination and repine.
[34:16.000 --> 34:23.000]  They don't understand that when they oppress us, it only makes us fight harder. It's like Hitler.
[34:23.000 --> 34:30.000]  The British wouldn't give up. He was only targeting military facilities. If he had kept doing that, he would have won.
[34:30.000 --> 34:38.000]  But he began to target civilians. That hadn't been done up until that point. Chivalry went up the window.
[34:38.000 --> 34:57.000]  And they began to carpet bomb London and other major cities to the ground. And surprise, surprise, killing tens of thousands of children made the Brits shake off all that imperial conditioning to be little levy dives and they became psychotic killers.
[34:57.000 --> 35:07.000]  And then 20 million Germans died. Funny thing, thing happened in Russia. Killing millions of Russian peasants didn't make the Russians give up. It made them become killers.
[35:07.000 --> 35:13.000]  They already hated their own government. But once that happened, they were unified. So it's a crazy time. And he joins us for two segments.
[35:13.000 --> 35:23.000]  After he leaves, this will get into Wyoming GOP offices set on fire. Two days after it opens, Secret Service investigates actress Carol Cook over assassination comment.
[35:23.000 --> 35:37.000]  CNN refused to report on attempted stabbing attack on Republican candidate by Democrat screaming F Trump, F Trump. And then Congressman Scalise warns of the evil blue wave of violence that's coming and citing violence.
[35:37.000 --> 35:48.000]  There's so much more. Plans to mass attack the Trump Hotel in D.C. where I was just staying last week. But we are joined by bestselling author.
[35:48.000 --> 36:00.000]  He's written a whole bunch of books. Ninam got banned two days ago. And he goes by, well, his last name is Valizadev. But it's Roush V, if I'm pronounced that right.
[36:00.000 --> 36:06.000]  And I've actually read one of his books. It's been all the big craze. And also, I got to know Neil Strauss is kind of one of the big dogs in this.
[36:06.000 --> 36:13.000]  A few years ago, I said, well, how about I actually read a few of these books? And a lot of it just seems like normal mammal mating behavior.
[36:13.000 --> 36:23.000]  But the point is, we've still got people bomb building books are on there. You've got people on Amazon selling manuals on how to sexually mutilate people.
[36:23.000 --> 36:31.000]  You've got Nambla writing books that are sold on Amazon. And by the way, they have a right to write books saying they want to have sex with your kids.
[36:31.000 --> 36:40.000]  They don't have right to have sex with your kids. And I think it's terrible and horrible. But when you get to the point of banning books, when you claim you're this big global bookstore, because your books were bestsellers,
[36:40.000 --> 36:45.000]  and because you sold 2000 to one day, I think it's a clear and present danger. So thanks for joining us.
[36:45.000 --> 36:53.000]  I mean, you look at this whole constellation of censorship here. And it really shows they're making their move.
[36:53.000 --> 36:59.000]  And I think we're hitting a singularity of censorship that China's helped develop with Google and Apple coming here.
[36:59.000 --> 37:07.000]  And I think we're being tested. And I think we're, I think Congress and the Republicans and Trump on this issue, rhetoric isn't enough saying it's illegal.
[37:07.000 --> 37:16.000]  This needs to be dealt with now with emergency executive orders. But that's my point on that. Thanks for joining us.
[37:16.000 --> 37:27.000]  Thank you, Alex. You know, when I saw them going after you, I knew that authors and other people who have platforms like me were next.
[37:27.000 --> 37:39.000]  You yesterday, me today. And, you know, one thing is I've never seen such an un-American action the way they went after you. They took you off platform after platform.
[37:39.000 --> 37:53.000]  I mean, this is going against tort law restraint of trade. I mean, I think a lot of people are fortunate that you are still here because a lot of lesser men wouldn't have been able to withstand this onslaught.
[37:53.000 --> 38:01.000]  So, you know, I'm not feeling good right now. Once Amazon took nine of my books out, but I can't imagine what you had had to feel.
[38:01.000 --> 38:12.000]  One thing that I can say is that when my book was doing well, when it cracked the top 1000 on the Amazon list, that's when the bad emails started started coming in.
[38:12.000 --> 38:26.000]  You know, I could have a book that's ranked 50,000 and they don't say anything. But once you start to red pill the masses, once you're effective, then that's when they start to come after you.
[38:26.000 --> 38:42.000]  Roosh V best-selling authors are guests and that's exactly right when our app that we just launched a week before we got banned. So we launched it in late July. It was already the top 50 of news apps when they banned us on 20 plus platforms.
[38:42.000 --> 38:55.000]  It went to number one in a week on both platforms, Apple and on Android. And then they just delisted it where you couldn't see it in the charts. And then somehow it was climbing back up the charts.
[38:55.000 --> 39:06.000]  So I guess they must have removed not all the subscriptions, but at least the total numbers that was going back towards number one again. And it was like number 24 last Friday when they killed it out of the app store.
[39:06.000 --> 39:16.000]  Now, 2 million downloads of the Apple app. People can still get the Android app for now in infowars.com forward slash app. And if you have it on your phone will still be there for a few years until it's obsolescent.
[39:16.000 --> 39:29.000]  But the point is, is that, yes, they have algorithms at Amazon that were out three years ago where they know what prime customers are going to order with 99% accuracy before you order it days.
[39:29.000 --> 39:41.000]  And they have computers and robots that go package it ready before you order it. Now, that's that's what they admit they've got. So exactly they knew you were going to number one. They knew I was already at number one.
[39:41.000 --> 39:51.000]  And so that's what they do with this NSA technology. These private companies have is they stop the fact that we are the dominant culture. The women men, they want what we say. They know it's true.
[39:51.000 --> 40:06.000]  They want success. They want Americana. They want, as Robert DeVall says in that work, a big, you know what hit. Okay. I mean, this freedom is the luscious Marilyn Monroe laid out with her, you know, her feet behind her ears.
