[00:00.000 --> 00:28.000]  Info wars. Tomorrow's news. Today.
[15:38.000 --> 15:45.000]  And why would you want to serve these people? Why would you want to sign on to this?
[15:45.000 --> 15:51.000]  Elon Musk has come out and said the WEF is unelected world government, the people never asked for and don't want.
[15:51.000 --> 15:59.000]  Woohoo. Not supposed to talk about that. It's all coming out. Praise Jesus. So be right back. Stay with us.
[16:21.000 --> 16:35.000]  I thank you for your past support, but I'm encouraging you now to get one of the very last coins in a four coin series, the Teddy Roosevelt Manly Arena coin, exclusively at 1776coin.com.
[16:35.000 --> 16:46.000]  And you can get $30 off this historic pure silver coin with promo code 1776 at 1776coin.com. No more of these will be made.
[16:46.000 --> 16:53.000]  If you want the coin, it's exclusively available right now for limited time at 1776coin.com.
[16:53.000 --> 17:19.000]  $30 off. We use promo code 1776. Thank you for your support.
[17:19.000 --> 17:27.000]  You know our body's ultimate tumor formula is amazing? Well, guess what? We now have Tumoring 95 that's basically the same formula for a lower price.
[17:27.000 --> 17:37.000]  CBD oil of the highest quality. Up to 50% less than major competitors selling the exact high quality full spectrum CBD.
[17:37.000 --> 17:52.000]  And it goes on for all the new M4 Wars MD products at M4WarsStore.com. The highest quality directly from the manufacturer to your door at prices up to 50% in some cases 100% lower than what they're sold for in stores.
[17:52.000 --> 17:59.000]  M4 Wars MD at M4WarsStore.com.
[17:59.000 --> 18:07.000]  M4 Wars is winning. M4 Wars is reaching more people than ever. We were supposed to be off the air months and months and months ago.
[18:07.000 --> 18:13.000]  Mainstream media told you, but it's not true. They told you we were going to be shut down. They told you we owed a billion and a half dollars.
[18:13.000 --> 18:17.000]  None of that's true. It's all being appealed. They want you to think M4 Wars is dead.
[18:17.000 --> 18:24.000]  But if you simply stand up and support M4 Wars, we've got years and years of appeals and we will not be taken off the air.
[18:24.000 --> 18:30.000]  But if they can convince you that we've been shut down, they're going to win. Don't let the globalists sigh up you and your family.
[18:30.000 --> 18:35.000]  Go to M4WarsStore.com and get incredible products, supplements, books, films, t-shirts. You name it.
[18:35.000 --> 18:40.000]  Then fund the M4 War and empower your life and let the globalists know their sigh up has not worked.
[18:40.000 --> 18:46.000]  Thanks for keeping us on air. Take action at infowarstore.com today.
[18:46.000 --> 18:50.000]  Because the only people that can take us off the air is you, the viewers and listeners.
[18:50.000 --> 18:55.000]  The majority of you have not been silent, but some of you have. Do not let the globalist brainwash you.
[18:55.000 --> 19:21.000]  Go to M4WarsStore.com and keep us on the air.
[19:26.000 --> 19:34.000]  I also need you to wear masks and I also need you to only shop at mega corporations.
[19:34.000 --> 19:40.000]  That way we can consolidate control and bankrupt the world economy.
[19:40.000 --> 19:47.000]  Leaving companies that only I own profitable. You will then be my slaves.
[19:47.000 --> 19:55.000]  Oh, and then you get that special shot and get him from Cobra. It will remove your immune system.
[19:55.000 --> 20:21.000]  You will be depended on me for the rest of your miserable lives.
[20:26.000 --> 20:35.000]  Crying on the corner, waiting in the rain, I swear I'll never ever wait again.
[20:35.000 --> 20:42.000]  You gave me a word, words for your lies.
[20:42.000 --> 20:48.000]  Darling in my wildest dreams, I never know.
[20:48.000 --> 20:55.000]  It's Thursday, January 19th, 2023. I'm your host, Alex Jones.
[20:55.000 --> 21:01.000]  Like the globalists have launched a bio attack on us. We're setting up classical authoritarian tyranny with a high-tech overlay.
[21:01.000 --> 21:06.000]  We're in a lot of trouble, but at least we're waking up and we're getting in a fighting stance.
[21:06.000 --> 21:11.000]  And our enemies are scared and they understand they are surrounded by people.
[21:11.000 --> 21:22.000]  The police and the military and the maids that clean their beds and the people that cook their food and the people that pump their gas and the people that fly their jets, who hate them.
[21:22.000 --> 21:31.000]  If I'm getting 99% love, and I don't mean just a few people on the street, it's like, I walk down the street, it's Alex Jones, let me love you, Alex Jones, let me love you, Alex Jones, let me love you.
[21:31.000 --> 21:36.000]  You've seen me just try to shoot a video anywhere and people just start walking over. High fine.
[21:36.000 --> 21:41.000]  Everywhere the globalists go, they're getting hate.
[21:41.000 --> 21:45.000]  They wanted to be the big corporate leaders. They wanted to be the world government controllers.
[21:45.000 --> 21:50.000]  They wanted to sell us how we'd own nothing and have nothing and love it.
[21:50.000 --> 21:57.000]  But what they thought was going to happen isn't happening now because we know they're evil.
[21:57.000 --> 22:11.000]  I'm getting some of the latest videos from Davos today and yesterday and Borla being confronted masterfully tag-teamed by two rebel media reporters who admire so much both men's work.
[22:11.000 --> 22:20.000]  But let's go back to Klaus Schwab about a year and a half ago where he said COVID will be looked at like nothing compared to the cyber attack.
[22:20.000 --> 22:27.000]  He is basically having an orgasm while he says it because they love telling you what they're going to do to you.
[22:27.000 --> 22:32.000]  Just like when Fauci, right when Trump had been elected said, Trump will be faced with a new pandemic.
[22:32.000 --> 22:36.000]  We'll see how he handles it.
[22:36.000 --> 22:43.000]  These criminals love to brag and the trajectory we're on is criminal investigations have already begun.
[22:43.000 --> 22:52.000]  They are in deep trouble and they know as the minions of the actual owners above them, which are only a few hundred people, they are the top echelon of managers.
[22:52.000 --> 22:57.000]  They know they're going to get flushed now. They know they're in danger now.
[22:57.000 --> 23:06.000]  So they're circling the wagons with CIA chiefs and FBI directors and EU intelligence directors saying, don't worry, we're going to censor the American people.
[23:06.000 --> 23:12.000]  Don't worry, we're going to stop them. We're going to pass hate speech laws. We're going to arrest them.
[23:12.000 --> 23:19.000]  Well, that's what tyrants do and that historically backfires 90 plus percent of the time and it will in the West more than other countries.
[23:19.000 --> 23:24.000]  That's why Greta Thunberg staged her own arrest in Germany. It's totally fake.
[23:24.000 --> 23:32.000]  Real police with cameras and with the whole cameras action. We have all that footage.
[23:32.000 --> 23:37.000]  They want to look like they're being arrested and they're fighting the man when they are the man.
[23:37.000 --> 23:52.000]  Kind of like that ridiculous footage of AOC a few months ago where she put her hands behind her back with the Capitol police and they acted like they arrested her.
[23:52.000 --> 24:00.000]  The police working with them to stage the event and they're ordered to do it.
[24:00.000 --> 24:09.000]  How did the cops feel after they do that and then they see it on the news that it was real?
[24:09.000 --> 24:16.000]  And they've got their political police that are happy to be part of this line.
[24:16.000 --> 24:24.000]  They're running out of options and they know we're watching everything they do and the more they try to censor us, the more they try to intimidate us,
[24:24.000 --> 24:30.000]  the more the people of the world say we are not your slaves scumbags. Get off of our lawn.
[24:30.000 --> 24:41.000]  Leave us alone. Go back to hell where you came from. Get away from our children. You pedophiles. You sick, evil, degenerate freaks.
[24:41.000 --> 24:49.000]  Here's Claes Schwab a year and a half ago. Then we'll play some of the latest clips from Davos where they're then echoing his talking point.
[24:49.000 --> 25:02.000]  Pay insufficient attention to the frightening scenario of a comprehensive cyber attack which would bring to a complete halt to the power supply,
[25:02.000 --> 25:09.000]  transportation, hospital services, our society as a whole.
[25:09.000 --> 25:24.000]  The COVID-19 crisis would be seen in this respect as a small disturbance in comparison to a major cyber attack.
[25:24.000 --> 25:32.000]  I can talk for 20 hours just on that 40 second, 30 second clip.
[25:32.000 --> 25:37.000]  Who's trying to cut the power off? Who's trying to cut the energy off? Who says they want to post industrial world?
[25:37.000 --> 25:42.000]  Who says COVID was good for shutting down society to save the earth? Claes Schwab.
[25:42.000 --> 25:48.000]  But then he shifts gears and, oh, the terrorists are going to launch the attack.
[25:48.000 --> 25:53.000]  It will be far worse. Oh, yes.
[25:53.000 --> 25:58.000]  And they control the intelligence agencies at the top. They control the industry, they control the grid,
[25:58.000 --> 26:05.000]  and they're shutting down all the different independents so they have total control to hold us hostage.
[26:05.000 --> 26:09.000]  They're breaking laws across Europe, banning domestic air travel, because that's bad for the earth.
[26:09.000 --> 26:13.000]  But the elites can fly. More headlines here today.
[26:13.000 --> 26:18.000]  Put down that cup of coffee. You're causing climate change.
[26:18.000 --> 26:23.000]  They're a mafia taking over every facet of the business and industry so only they can operate.
[26:23.000 --> 26:26.000]  So there's a bunch of these clips, but here's one of them.
[26:26.000 --> 26:44.000]  Here's another one here. Let's play clip 3 first. W.E.F. is now predicting catastrophic global cyber attacks in the next two years.
[26:44.000 --> 26:51.000]  Global catastrophic from the people we know brought you COVID and brought you the poison shots
[26:51.000 --> 26:58.000]  and brought you the unified lockdowns in the vaccine passport that is to be the foundation in their own words
[26:58.000 --> 27:02.000]  of the new global digital currency that controls every facet of your life.
[27:02.000 --> 27:08.000]  Global digital currency, global social credit scores, universal basic income by bankrupting everybody for full control.
[27:08.000 --> 27:13.000]  That's their holy grails. That's what's got to be fought. Here's the clip.
[27:13.000 --> 27:22.000]  We're here today to share the findings of the World Economic Forum's Global Security Outlook Report 2023.
[27:22.000 --> 27:27.000]  This is a result of research in collaboration with the forum's communities and our partner Accenture,
[27:27.000 --> 27:32.000]  which we've interviewed and sought input from over 300 executives globally.
[27:32.000 --> 27:44.000]  The most striking finding that we found is that 93% of cyber leaders and 86% of cyber business leaders believe that the geopolitical instability
[27:44.000 --> 27:50.000]  makes a catastrophic cyber event likely in the next two years.
[27:50.000 --> 28:02.000]  And then when they and their partners at Chaos, at Spectre, launch the attacks that match their extinction rebellion post-industrial operation,
[28:02.000 --> 28:10.000]  they'll be the saviors, the media will go, oh my gosh, Klaus Schwab predicted a deadly virus that would never let us come back
[28:10.000 --> 28:14.000]  to normal, the new normal, you will eat the bugs.
[28:14.000 --> 28:21.000]  And then oh, Klaus Schwab predicted the cyber attack. How did he know such a sweet little old man?
[28:26.000 --> 28:30.000]  All right, I'm going to go to break. I'm going to come back and just run through all of this,
[28:30.000 --> 28:33.000]  because I got a bunch of clips we haven't gotten to.
[28:33.000 --> 28:36.000]  And then there's all these other big subjects that all tie into this together.
[28:36.000 --> 28:41.000]  But Jacinda Arden looks really scared up there when she resigned, didn't she?
[28:41.000 --> 28:46.000]  Because she knows she followed orders and now she knows everybody around her hates her.
[28:46.000 --> 28:49.000]  People are waking up fast that she did it, that she's a mass murderer.
[28:49.000 --> 28:53.000]  And what is she going to do now that she's sold her soul to Klaus Schwab?
[28:53.000 --> 28:57.000]  They now realize they wanted a war with us, they got one.
[29:00.000 --> 29:03.000]  It's your last chance to own a piece of real history.
[29:03.000 --> 29:06.000]  Your support of Info Wars has made history.
[29:06.000 --> 29:11.000]  We've had the most devastating effects against the globalist and their whole agenda is in deep trouble.
[29:11.000 --> 29:14.000]  But now it's more important for us to stay on air than ever.
[29:14.000 --> 29:17.000]  And if you don't support us, we will shut down.
[29:17.000 --> 29:23.000]  I am asking you from the bottom of my heart to commit even harder to the support you've given to this fight
[29:23.000 --> 29:29.000]  and to go to infowarstore.com right now and get one of the last signed copies of The Great Reset
[29:29.000 --> 29:33.000]  and The War for the World, my number one worldwide bestseller.
[29:33.000 --> 29:37.000]  You can buy the unsigned book at Info Wars, you can buy it at Amazon, buy it anywhere.
[29:37.000 --> 29:42.000]  But if you want to get the signed copy and be part of a fundraiser to keep us on air at this critical point,
[29:42.000 --> 29:46.000]  if you want to answer our bat signal, please go to infowarstore.com
[29:46.000 --> 29:49.000]  and get your signed copy of The Great Reset and The War for the World right now.
[29:49.000 --> 29:52.000]  I want to thank all of you that did get signed copies
[29:52.000 --> 29:56.000]  and I want to encourage those of you that didn't to take action now and please keep us on air.
[29:56.000 --> 29:59.000]  Thank you so much, please take action.
[29:59.000 --> 30:05.000]  Look, it's not hype when you've delivered and Info Wars has been the tip of spear against tyranny.
[30:05.000 --> 30:11.000]  And when it comes to the products we sell to fund our operation, they're just like our news and information,
[30:11.000 --> 30:14.000]  they are powerful and they change the world.
[30:14.000 --> 30:20.000]  The real Red Pill Plus is one of our top sellers, but for over two years it's been sold out because of supply chain breakdowns.
[30:20.000 --> 30:25.000]  It's finally back at stock for 50% off at infowarstore.com.
[30:25.000 --> 30:30.000]  Now, the limited time we have, I can't get into all the ingredients that are in it, but this sucker is amazing.
[30:30.000 --> 30:35.000]  Look for yourself at how loaded each bottle is, ladies and gentlemen.
[30:35.000 --> 30:40.000]  Every one of these will supercharge your day and everything you do.
[30:40.000 --> 30:43.000]  Just look at the preglinone that we've got that's in this product.
[30:43.000 --> 30:47.000]  Get your real Red Pill Plus, if a proprietary product nobody else has,
[30:47.000 --> 30:53.000]  exclusively back in stock for 50% off at infowarstore.com.
[30:53.000 --> 30:56.000]  This is as close as the Matrix Red Pill as you're going to get.
[30:56.000 --> 31:25.000]  Red Pill Plus, 50% off, infowarstore.com.
[31:27.000 --> 31:33.000]  Introducing InfoWars MD at infowarstore.com.
[31:33.000 --> 31:38.000]  InfoWars MD exclusively at infowarstore.com has 10 new products.
[31:38.000 --> 31:45.000]  Turmeric, 95, libido, RX, better mood, nitric boost, much room max, a new tropic,
[31:45.000 --> 31:49.000]  ankles fatality collagen, superfood greens and more.
[31:49.000 --> 31:51.000]  Just taking superfood greens.
[31:51.000 --> 31:56.000]  This is the highest quality greens out there and it's at a price way, way lower
[31:56.000 --> 31:59.000]  than the same product on store shelves for twice the cost.
[31:59.000 --> 32:01.000]  Find InfoWars MD at infowarstore.
[32:01.000 --> 32:06.000]  Mark Twain, one of America's greatest writers and satirist in Mines,
[32:06.000 --> 32:13.000]  famously said more than 150 years ago, rumors of his demise had been greatly exaggerated.
[32:13.000 --> 32:17.000]  Because the newspapers kept saying he died decades before he did die.
[32:17.000 --> 32:19.000]  And it's the same PSYOP today.
[32:19.000 --> 32:23.000]  InfoWars is more influential and more powerful than ever because of your support.
[32:23.000 --> 32:26.000]  Because of the facts of what we've covered is coming true.
[32:26.000 --> 32:31.000]  But if they can convince you we've been shut down, if they can convince you that we're going away,
[32:31.000 --> 32:35.000]  and you stop supporting, you stop spreading the word, then they do win.
[32:35.000 --> 32:39.000]  Ladies and gentlemen, there's only one group of people that can shut down InfoWars
[32:39.000 --> 32:41.000]  and that's you, the viewers and listeners.
[32:41.000 --> 32:43.000]  If you decide we're done, we're done.
[32:43.000 --> 32:47.000]  If you decide to go to infowarstore.com and get supplements and books and films
[32:47.000 --> 32:51.000]  and t-shirts and so much more, we will stay on the air indefinitely.
[32:51.000 --> 32:52.000]  It is all in your hands.
[32:52.000 --> 32:54.000]  So thanks for your support.
[32:54.000 --> 32:55.000]  Stand up against the globalists.
[32:55.000 --> 32:58.000]  Go to infowarstore.com right now and keep us on air.
[32:58.000 --> 33:26.000]  It's up to you.
[33:28.000 --> 33:38.000]  Well, Darren Beatty is joining us in the second hour with big news
[33:38.000 --> 33:42.000]  and then Mike Adams says he's got gigantic news and he never disappoints.
[33:42.000 --> 33:45.000]  In the third hour, then we're interviewing folks from New Zealand,
[33:45.000 --> 33:50.000]  journalists there about the resignation of one of the darlings of Klaus Schwab.
[33:50.000 --> 33:55.000]  She's been singled out and Trudeau's been singled out as an example of global government
[33:55.000 --> 33:58.000]  through the WEF and the UN.
[33:58.000 --> 34:00.000]  And the WF is very powerful, folks.
[34:00.000 --> 34:01.000]  They're not just high-level managers.
[34:01.000 --> 34:05.000]  Three months ago, they signed a treaty with the UN,
[34:05.000 --> 34:08.000]  basically merging with the UN leadership,
[34:08.000 --> 34:13.000]  not the General Assembly, but the actual UN corporate board of the Rockefeller setup
[34:13.000 --> 34:17.000]  in 1946 at Presidio, San Francisco,
[34:17.000 --> 34:19.000]  Presidio Naval Base there in San Francisco.
[34:19.000 --> 34:22.000]  Because you always have the original corporate charter that runs it,
[34:22.000 --> 34:26.000]  and then you'll have elected boards and bureaus that have no power.
[34:26.000 --> 34:34.000]  The EU is a steel treaty from 1956, the Treaty of Rome.
[34:34.000 --> 34:40.000]  And that's why you have an unelected EU bureaucracy that actually runs it,
[34:40.000 --> 34:44.000]  and then you have an elected EU parliament that is advisory.
[34:44.000 --> 34:47.000]  But that more and more is turning completely against them,
[34:47.000 --> 34:51.000]  and it's still a bully pulpit that's bringing down the unelected nature of it.
[34:51.000 --> 34:55.000]  And the vice president of the European Union,
[34:55.000 --> 34:59.000]  the unelected European Union board,
[34:59.000 --> 35:02.000]  saying, well, I have talked to you.
[35:02.000 --> 35:04.000]  I have talked to the American.
[35:04.000 --> 35:06.000]  She's looking at Republican congressmen.
[35:06.000 --> 35:09.000]  And I hear you're going to be banning the speech soon.
[35:09.000 --> 35:10.000]  That's the job.
[35:10.000 --> 35:12.000]  I played the clip twice yesterday.
[35:12.000 --> 35:15.000]  I mean, these are super villain moments.
[35:15.000 --> 35:18.000]  And I've got more here.
