[00:00.000 --> 00:16.000]  Music
[12:31.000 --> 12:41.000]  He signs up with Nike. He makes all this money, tens of millions of dollars. And remember, he said, oh, it's about police brutality. That's that's why I take a knee for the national anthem.
[12:41.000 --> 12:51.000]  But now he came out and he said the national anthem is white supremacy. The national anthem is bad. And I do not support America or the national anthem of the flag.
[12:51.000 --> 12:58.000]  He said that and pulled the quotes. So that's who Nike is. They don't support your country even existing because they've got slave factories that China controls.
[12:58.000 --> 13:09.000]  These are monsters. That's what it was always about. I'm the guy that exposed police when they're corrupt. I'm the guy that didn't want the globalists to get control of our police.
[13:09.000 --> 13:16.000]  Guess what? They tried to get control of them and the police woke up and now the police are enemy number one of the New World War because they got problems.
[13:16.000 --> 13:24.000]  We've all got problems, but our nation has problems. But the rule of law, ladies and gentlemen, and our Constitution Bill of Rights is what the police are.
[13:24.000 --> 13:30.000]  The rubber meets the road. They're the lowest level of that. We got laws that are wrong. Change the laws. Don't lend the police.
[13:30.000 --> 13:43.000]  When a cop's wrong, go after them. Great. Fine. Friam. There's bad people in every area. But we need to celebrate the good people in every area and stand up against globalists and authoritarians trying to make us fight with each other and sink the ship.
[13:43.000 --> 13:57.000]  So think about that. And I want to cope with a movement that's called July 4th year round or July 5th. In fact, this is it right now. The July 5th movement being founded right now means what do you do after July 4th every year?
[13:57.000 --> 14:07.000]  What do you do then just put out the talk to support America and the Republic and the flag and the veterans? But what does America symbolize? What does it stand for? Why do authoritarians want to destroy it?
[14:07.000 --> 14:17.000]  Why do they want to undermine it? That's the July 5th movement. So I literally just thought of this earlier, but now I'm decided to launch it here on air. It's the July 5th movement.
[14:17.000 --> 14:23.000]  I know you don't want to join me in this, and that's going to make every day July 4th and make every day the celebration of human history.
[14:23.000 --> 14:39.000]  Not just black history month, but human history month, where we celebrate all of our people, not to put one group down to the other, but to bring us all up together and to unify us. And that's the American dream, and that's the Renaissance, and that's what the tyrants fear.
[14:39.000 --> 14:53.000]  Now, Lewis Farrakhan, who's massively demonized, and I swear to some of the stuff he says, he's dead on about vaccines being poisoned and tainted. That's just a fact. And he's been banned because he's talking about it. That clip's coming up as well. Owen Schroeder takes over. Owen Schroeder takes over right now.
[14:53.000 --> 15:04.000]  But God bless you all, not to share in America, but around the world who love liberty. When I talk about 1776 worldwide, it's not about American supremacy. It's not about white supremacy. It's not about black supremacy. It's not about brown supremacy.
[15:04.000 --> 15:23.000]  It's about human supremacy. Humans standing up together and moving forward. July 4th worldwide, 1776 worldwide, humans worldwide and interplanetary. God bless you all.
[15:23.000 --> 15:36.000]  All right, ladies and gentlemen, when we come back, the anti, it's not even anti-vaccine, but it's anti-rig vaccine, anti-medical tyranny vaccine.
[15:36.000 --> 15:51.000]  Movement is spreading, and Lewis Farrakhan addresses his audience about this, and Alex Jones is going to explain why this is so important.
[15:51.000 --> 15:58.000]  Next, on the other side, don't forget about infowarstore.com. Ladies and gentlemen, infowarstore.com.
[16:21.000 --> 16:29.000]  This has been in contact with someone with COVID-19, is then added into the database as having a case that is counted as a case of COVID-19.
[16:29.000 --> 16:35.000]  It's in the NIH documents. It's at the state level. We confirmed it in Texas. We're now confirming. It's in other states.
[16:35.000 --> 16:44.000]  This is beyond the other smoking guns of them putting people to die of gunshot wounds and stuff in the COVID column and the false positive test. That's all huge.
[16:44.000 --> 16:54.000]  This is beyond that mega-criminal activity, and we've got these ever-county commission videos where they're just freaking out over it, saying, what in the world is this?
[16:54.000 --> 16:58.000]  The full video is posted at bandonvideo. Get it out, expose the hoax.
[16:58.000 --> 17:12.000]  2020 is a very special year to the globalists, to the occultists, to those that are into esoteric mysticism, and they believe this is the year they're going to totally overthrow America and the world and bring in their anti-God, anti-human tyranny.
[17:12.000 --> 17:22.000]  Well, we're here on air, and we just ask you all to realize that we're in opposition to this evil, and that only your word of mouth helps us reach new people, and I want to salute you all and thank you for your support.
[17:22.000 --> 17:33.000]  And I also want you to know that our 4th of July, once a year, mega sale is here, and we've got a bunch of stuff at 50% to 60% off right now, but bodies are ultimate turmeric formula.
[17:33.000 --> 17:39.000]  This is a turmeric extract. One of the strongest ones out there. It's so good for your body, so good for your joints, so good for your cells.
[17:39.000 --> 17:44.000]  It is now back in stock, sold out for over three months, and it is at 50% off.
[17:44.000 --> 17:50.000]  DNA Force Plus is back in stock. It's 50% off as well. Check it all out at infowarstore.com.
[17:50.000 --> 18:10.000]  And remember, your funding of our operation makes it all possible. Plus, these are great things that God designed for you and your family's bodies. Please take action.
[18:21.000 --> 18:35.000]  Our proprietary new aerodyne technology allows us to harness the full power of ancient iodine crystals from 7,000 feet below the Earth's surface into the ultimate spray formula.
[18:35.000 --> 18:52.000]  Iodine is an essential mineral that helps support thyroid health, healthy metabolism, and healthy cognitive function. Get the new survival shield X2 spray for 33% off intro pricing at infowarstore.com.
[18:52.000 --> 18:58.000]  That's survival shield X2 spray at infowarstore.com.
[18:58.000 --> 19:14.000]  You deserve a deep restful sleep with knockout by infowar's life. Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[19:14.000 --> 19:28.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[19:28.000 --> 19:38.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need. Wake up refreshed and take on the day.
[19:38.000 --> 19:50.000]  InfoWar's Life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price. Get the sleep you deserve and experience the power of knockout.
[19:50.000 --> 20:10.000]  Head on over to infowar'slife.com and say goodbye to fatigue. That's infowar'slife.com.
[20:10.000 --> 20:22.000]  We now take you live to the Central Texas Command Center and the heart of the Resistance. And now your host, Owen Troyer.
[20:22.000 --> 20:34.000]  I asked you about a court decision from last week. A federal court ruled that you and Governor Cuomo violated the Constitution by restricting religious services during the lockdown of the pandemic.
[20:34.000 --> 20:46.000]  The court said you openly discouraged religious gatherings and threatened religious worshipers and sent a clear message that mass protests are deserving of preferential treatment.
[20:46.000 --> 20:54.000]  Essentially saying that you treated the protesters who were on the streets differently than the religious gatherings that were on the streets. Your reaction?
[20:54.000 --> 21:12.000]  Just wrong. We worked with the religious leadership of this city for months. Cardinal Dolan in the Catholic Church and so many other religious leaders who were in full agreement that it was not time to bring back religious services because of the danger it would cause to their congregants.
[21:12.000 --> 21:27.000]  The protests were an entirely different reality. A national phenomenon that was not something that the government could just say, you know, go away is something that really came from the grassroots and obviously had profound meaning and we're all acting on the meaning of those protests.
[21:27.000 --> 21:37.000]  But it's really apples and oranges. Our religious leaders were the first to say it was not time to bring back services. Now we're doing it carefully, smartly.
[21:37.000 --> 21:43.000]  So I think that decision profoundly misses what the very religious institutions themselves were saying.
[21:43.000 --> 22:07.000]  Let's talk about where we are in that is a dirty coming mayor bill de Blasio. Never forget that he changed his name. Was his name originally Wilhelm something Wilhelm something. Yes, that bill de Blasio whose top staffer.
[22:07.000 --> 22:26.000]  Jacob Schwartz was caught with a large file of child pornography child rape. Yeah, that was bill de Blasio's guy. Yeah, Warren Wilhelm changed his name to bill de Blasio and then hired a top pedophile as one of his top staffers.
[22:26.000 --> 22:38.000]  He was up and coming in the Democrat Party. A lot of people considered him the next John Podesta. Yeah, that guy that dirty coming that you just heard from who who's lying by the way.
[22:38.000 --> 22:51.000]  Oh, it's apples and oranges to compare protests to church services and we were working with the church, the churches who are probably all dirty commies to those fake churches that put the gay flag up.
[22:51.000 --> 23:04.000]  Black lives matter on the side. If there was just a Muslim radical terrorist and they put, you know, a Muslim message up that says, oh, we're not anti Muslim.
[23:04.000 --> 23:13.000]  The one that brings in the illegal immigrants, which you know what, if that's all they did. Hmm, I guess maybe they wouldn't be so bad.
[23:13.000 --> 23:27.000]  But it's not. It's all political. They're bought and paid for by their local governments that are run by Democrats. That's why they have the drag queen story times and the like.
[23:27.000 --> 23:32.000]  But that's just a little framework around bill de Blasio.
[23:32.000 --> 23:48.000]  And so what you're seeing now is just the left protesting the 4th of July all day yesterday stomping on the flag, burning the flag, spitting on it, desecrating a venerable object.
[23:48.000 --> 23:50.000]  It's actually a felony.
[23:50.000 --> 24:05.000]  But I guess when you're a liberal court system, you don't consider the flag a venerable object. But it was a dichotomy.
[24:05.000 --> 24:22.000]  The two sides of America, one hates America, one hates freedom. One is fully indoctrinated by the mainstream media. One is completely an un sympathetically racist.
[24:22.000 --> 24:42.000]  And that is the side of the left wing in America, the Democrat Party, the liberal virtue signaling social justice warrior led by their mainstream media cohorts led by their
[24:42.000 --> 24:58.000]  scexy, decrepit, despicable, slime bag, rat, pus filled, sycophant Democrat Party leaders like Nancy Pelosi and Chuck Schumer.
[24:58.000 --> 25:15.000]  Then there's the other side of America that had their 4th of July is canceled, their freedom day canceled, their freedoms infringed upon, told to wear a mask, told they couldn't have family gatherings, couldn't have a barbecue.
[25:15.000 --> 25:24.000]  And that side of America said, no, you can't cancel my 4th of July. You can't cancel my freedom. You can't cancel my America.
[25:24.000 --> 25:39.000]  And they went out and they shot guns. And they went out and they lit off fireworks more than ever, I would say in my memory.
[25:39.000 --> 25:53.000]  I don't know about you, but seems like everybody last night, even though their, you know, city coordinated taxpayer funded normal 4th of July celebration was canceled.
[25:53.000 --> 26:06.000]  Fireworks stands were all sold out, completely sold out. You couldn't do a 360 turn without seeing a fireworks show.
[26:06.000 --> 26:12.000]  They went on through hours and hours through the night.
[26:12.000 --> 26:24.000]  Of course, that side of America is led by God led by passion led by liberty and love.
[26:24.000 --> 26:36.000]  And it's leader right now, as the president of the United States, Donald Trump, who gave two fantastic speeches.
[26:36.000 --> 26:42.000]  One at Mount Rushmore on July 3rd.
[26:42.000 --> 26:46.000]  The land of legends speech is what I call it.
[26:46.000 --> 26:55.000]  The land of legends speech, whoever deemed this country the land of legends.
[26:55.000 --> 27:04.000]  President Donald Trump did at Mount Rushmore on July 3rd, 2020.
[27:04.000 --> 27:08.000]  And so then there's that side of America right there.
[27:08.000 --> 27:21.000]  Decide that loves freedom and independence and self government and truth and justice and logic and reason and history.
[27:21.000 --> 27:25.000]  That's the dichotomy.
[27:25.000 --> 27:37.000]  And, you know, you see President Trump tweeting today upset at Fox News for showing the fake polls, saying that he's losing to Biden.
[27:37.000 --> 27:41.000]  And four words told you that was eventual.
[27:41.000 --> 27:43.000]  But here's what's even sicker.
[27:43.000 --> 27:52.000]  President Trump's Mount Rushmore speech was certainly one of the greatest.
[27:52.000 --> 27:56.000]  And yet there was almost no coverage.
[27:56.000 --> 28:04.000]  In fact, the only station that covered it live at all was Fox News and even they didn't give it full coverage.
[28:04.000 --> 28:13.000]  So you had to go seek it out for yourself if you wanted to find it, which by the way, YouTube live audiences, Facebook live audiences, Twitter live audiences were record for this one.
[28:13.000 --> 28:16.000]  But you couldn't even find it on television news.
[28:16.000 --> 28:29.000]  Now, if there was a COVID-19 press conference with Dr. Fauci, every network would have been there to let you know you need to live in fear and you need to wear a mask.
[28:29.000 --> 28:38.000]  But when President Trump is giving one of the greatest speeches in American history from one of the most iconic and timeless monuments in America.
[28:38.000 --> 28:48.000]  No, they don't cover it with the wind blowing the flags in the background with the fireworks exploding in the distance with the crowds chanting USA.
[28:48.000 --> 28:51.000]  They had no interest in airing that, but they'll interest.
[28:51.000 --> 28:55.000]  They'll show you the COVID-19 scares and they're bringing back their death graphs and everything.
[28:55.000 --> 28:58.000]  But no, they don't love America like we do.
[28:58.000 --> 29:05.000]  It just happened on Tuesday morning driving into work about to break the big Roger Stone news and the big COVID-19 hoax news.
[29:05.000 --> 29:15.000]  And I met a red light at the corner of Brody and 290 and an old Mercedes pulls up next to me and a Hispanic man and two white women start flipping me off.
[29:15.000 --> 29:17.000]  And I thought they recognized who I was.
[29:17.000 --> 29:20.000]  So I rolled down my window and I said, what COVID-19 some hoax.
[29:20.000 --> 29:28.000]  And they're going FU, FU, FU, FU, FU and I said, is that your IQ one finger? So they got put up two fingers.
[29:28.000 --> 29:29.000]  I said, oh, it's 11.
[29:29.000 --> 29:31.000]  And I was like, do you know who I am?
[29:31.000 --> 29:32.000]  They're like shaking their heads.
[29:32.000 --> 29:34.000]  They go, wear your mask, wear your mask.
[29:34.000 --> 29:36.000]  And they're pointing at the mask.
[29:36.000 --> 29:39.000]  So I guess Joy Behar, but she says she goes around and does this with her husband.
[29:39.000 --> 29:40.000]  This is a thing, man.
[29:40.000 --> 29:42.000]  Their cult is going crazy.
[29:42.000 --> 29:43.000]  They're control freaks.
[29:43.000 --> 29:49.000]  They're attacking language, borders, everything because they all bet on leftist garbage and hasn't delivered to them.
[29:49.000 --> 29:51.000]  So they're totally going completely insane.
[29:51.000 --> 29:54.000]  This is crazy.
[29:54.000 --> 29:58.000]  Infowars, tomorrow's news today.
[29:58.000 --> 30:03.000]  We need to get back to the land, back to self sufficiency and back to being prepared.
[30:03.000 --> 30:07.000]  And the way to start, ladies and gentlemen, is having friends and family with a bug out plan.
[30:07.000 --> 30:12.000]  If there is a total collapse and water filtration and food to last you at least a few months.
[30:12.000 --> 30:15.000]  And the food we have is very high quality.
[30:15.000 --> 30:17.000]  It's in great containers that are great to be mobile.
[30:17.000 --> 30:20.000]  They have wide selection, special diets, you name it.
[30:20.000 --> 30:25.000]  It's the best price you're going to find, but you need to get the orders in now in the lull before the storm.
[30:25.000 --> 30:27.000]  I told you lockdown two was coming.
[30:27.000 --> 30:29.000]  The new world order is making it smooth.
[30:29.000 --> 30:33.000]  Whether Trump loses or wins, things are just going to get more crazy.
[30:33.000 --> 30:36.000]  And this food lasts 25 years inside the containers.
[30:36.000 --> 30:43.000]  So it's something you can hide, something you can bury, something you know is the ace in the hole for you and your family in the future.
[30:43.000 --> 30:48.000]  And the little bit of profit that comes in funds the info war to continue to warn the people.
[30:48.000 --> 30:55.000]  So you're also funding info wars, the most powerful Paul Revere organization in the world, and it's powered by you.
[30:59.000 --> 31:01.000]  Let's go to Juan in Connecticut.
[31:01.000 --> 31:02.000]  You're on the air. Thanks for holding.
[31:02.000 --> 31:03.000]  Hello, can you hear me?
[31:03.000 --> 31:04.000]  I sure can, sir. Thank you.
[31:04.000 --> 31:08.000]  Hey Alex, before I start, man, I just wanted to talk to you, bro.
[31:08.000 --> 31:11.000]  And it's a pleasure to be talking right now with you, man.
[31:11.000 --> 31:12.000]  Sir, it's an honor to talk to you, brother.
[31:12.000 --> 31:16.000]  I'm from New Brink, Connecticut, and I just want to plug in.
[31:16.000 --> 31:20.000]  I'm a truck driver and two before us have changed the way I drive.
[31:20.000 --> 31:27.000]  Me and my brothers that drive with a couple of us, we are Hispanics, Cubans, Puerto Ricans.
[31:27.000 --> 31:34.000]  We used to be on Monster and Red Bull and Rolla, and I have lost weight because I stopped drinking all that sugar.
[31:34.000 --> 31:36.000]  And I just want to thank you for that, man.
[31:36.000 --> 31:42.000]  Well, brother, we put more in this than any other long-term high-quality energy powder there is.
[31:42.000 --> 31:44.000]  So this was designed on one of the top guys in the country.
[31:44.000 --> 31:46.000]  He didn't want his name on it because obviously the political issues,
[31:46.000 --> 31:49.000]  but we had to pay a lot of money for this formulation just for the design of it.
[31:49.000 --> 31:53.000]  And we believe it is the best, strongest, but healthiest energy out there,
[31:53.000 --> 31:56.000]  and you're saying that it's made your life better, so that means a lot to me. Thank you.
[31:56.000 --> 31:58.000]  To all your truck drivers, we love you.
[31:58.000 --> 32:02.000]  The 4th of July 2020 special has gone into high gear.
[32:02.000 --> 32:08.000]  We have 50% off. Body's really strong extractive tumor in formula.
[32:08.000 --> 32:10.000]  Sold out for months. That's back in stock.
[32:10.000 --> 32:14.000]  DNA Force Plus with the BQQ, the CoQ10. So good for your cells, so amazing.
[32:14.000 --> 32:16.000]  That's back in stock for yourself.
[32:16.000 --> 32:18.000]  Winter Sun's been sold out for over three months.
[32:18.000 --> 32:23.000]  It's back in stock. Pure, high-quality vitamin D3, taken out of the tongue, greater absorption.
[32:23.000 --> 32:25.000]  So good for your whole body, so essential.
[32:25.000 --> 32:30.000]  That's back in stock. Ultra 12, super high-quality B12, again, taken out of the tongue.
[32:30.000 --> 32:32.000]  That is back in stock. Survival Silt X2.
[32:32.000 --> 32:34.000]  They said I-9 spray 33% off.
[32:34.000 --> 32:36.000]  And so much more.
[32:36.000 --> 32:39.000]  So I want to thank you all this July 4th coming up for standing with us.
[32:39.000 --> 32:42.000]  I want to invite you to take advantage of these great deals and great products
[32:42.000 --> 32:47.000]  that enrich yourself and your family's lives, and also fund Hardcore Truth.
[32:47.000 --> 32:51.000]  Again, take action. Big 4th of July sales right now at FullWorksStore.com.
[32:51.000 --> 32:53.000]  We could not have done this without you.
[32:53.000 --> 32:57.000]  I thank you for your continued prayer, your focus, and your support.
[32:57.000 --> 33:01.000]  Again, I salute you all.
[33:01.000 --> 33:28.000]  You're listening to the Alex Jones Show.
[33:28.000 --> 33:33.000]  The year is 2020. The date is July 5th.
[33:33.000 --> 33:37.000]  We've just celebrated our nation's birthday in the American system.
[33:37.000 --> 33:41.000]  And now more than ever, we must defend the Republic.
[33:41.000 --> 33:44.000]  We must defend the ideals of the Republic.
[33:44.000 --> 33:51.000]  And we must help others discover or rediscover why these basic systems of freedom are under attack.
[33:51.000 --> 33:57.000]  Because if we allow the idea and the dream of America to be destroyed,
[33:57.000 --> 34:01.000]  then its place will be the nightmare of the New World Order in the post-human future.
[34:01.000 --> 34:04.000]  So I'm launching the July 5th movement.
[34:04.000 --> 34:06.000]  I thought about it this morning. I thought about it this afternoon.
[34:06.000 --> 34:10.000]  And it's just important to not just eat hot dogs and hamburgers if you're fireworks.
[34:10.000 --> 34:11.000]  I would say, yeah, we love America.
[34:11.000 --> 34:18.000]  But it's important to, again, talk about and discuss and rediscover what made America so great
[34:18.000 --> 34:22.000]  and how it's all of our birthrights to continue it and to promote it and be part of it.
[34:22.000 --> 34:29.000]  And that's why the New World Order and the globalists and the Chi-Coms hate it so much because they're promoting nothing but pure authoritarianism.
[34:29.000 --> 34:38.000]  And if America doesn't go by the wayside and that ideal continues on, they can't compete with it.
[34:38.000 --> 34:41.000]  If, say, the United States says, hey, it's wrong.
[34:41.000 --> 34:46.000]  There's three million Muslims in forced labor camps and death camps in China that Apple and Nike are involved in.
[34:46.000 --> 34:49.000]  You see, they need to get rid of that example.
[34:49.000 --> 34:56.000]  And so to do it, they demonize it and attack our failings, which we recognize and have fixed in many cases.
[34:56.000 --> 35:04.000]  It's so sick. We're the nation. We're the system that tried to empower humanity and have done in many cases such a great job.
[35:04.000 --> 35:10.000]  And in many cases, not a good job because with great power comes great corruption and great decadence.
[35:10.000 --> 35:14.000]  Yes, to quote Spider-Man, with great power comes great responsibility.
[35:14.000 --> 35:19.000]  So I want to play a clip here now of Lewis Farrakhan.
[35:19.000 --> 35:22.000]  Now I've interviewed Lewis Farrakhan. I agree with about 95% of what he says.
[35:22.000 --> 35:26.000]  5% I totally disagree with. He gets into race-based politics, all that.
[35:26.000 --> 35:28.000]  But that's the system we live in.
[35:28.000 --> 35:37.000]  But when he gets up there with his millions of followers and exposes the secret history that's now been declassified in part of medical testing.
