[00:00:11.617 --> 00:00:13.498]  Sorry folks, park's closed.
[00:04:02.917 --> 00:04:13.285]  The police admit that they've opened all the parks up because it's illegal for little contact tracers to set up at the entrance to parks and say you can't come into them until you give them your information.
[00:04:13.285 --> 00:04:16.207]  They're training you ahead of the forced inoculation.
[00:04:16.207 --> 00:04:22.352]  And the global Chinese credit score, which they now admit is official and that COVID-19 is the excuse for it.
[00:04:22.352 --> 00:04:24.094]  Of course, we told you all this six months ago.
[00:04:25.782 --> 00:04:27.123]  But now it's official.
[00:04:27.123 --> 00:04:31.306]  Yeah, it was the official Rockefeller and Carnegie and Bill and Melinda Gates documents.
[00:04:31.306 --> 00:04:34.589]  They were planning this, but now they're actually doing it.
[00:04:34.589 --> 00:04:38.551]  So it should be easier to defeat now that these criminals are out in the open.
[00:04:38.551 --> 00:04:39.312]  So much today.
[00:04:39.312 --> 00:04:44.156]  Roger Stone's got big exclusive political 2020 news at the bottom of the hour.
[00:04:44.156 --> 00:04:47.158]  And he also was really good friends with Robert Trump and
[00:04:48.604 --> 00:04:50.167]  Again, we'll have exclusive details of that.
[00:04:50.167 --> 00:04:52.912]  He, of course, passed just yesterday.
[00:04:52.912 --> 00:04:56.919]  And so much more is coming up on this live Sunday edition.
[00:04:59.687 --> 00:05:15.540]  The United Nations and the National Institutes of Health with the CDC are publicly conducting a 4,000 person study, spending tens of millions of dollars at Yale on 15 ways to brainwash the public into taking inoculations.
[00:05:15.540 --> 00:05:18.102]  Basically squeezing you and forcing you to take them.
[00:05:18.102 --> 00:05:23.807]  Through guilt, through fines, through not being able to go into stores, not being able to get on airplanes or have jobs.
[00:05:24.207 --> 00:05:26.771]  This is forced inoculations.
[00:05:26.771 --> 00:05:27.772]  It's public.
[00:05:27.772 --> 00:05:29.795]  Gateway Pundit wrote about it last week.
[00:05:29.795 --> 00:05:31.718]  David Knight wrote about it this week.
[00:05:31.718 --> 00:05:33.881]  Stories up on InfoWars.com.
[00:05:33.881 --> 00:05:35.403]  Some people say, oh, I'll just wear a mask.
[00:05:36.371 --> 00:05:37.911]  It's never gonna end.
[00:05:37.911 --> 00:05:40.612]  That's just the sign of submission.
[00:05:40.612 --> 00:05:41.612]  Fauci admits that.
[00:05:41.612 --> 00:05:46.353]  Next is the contact tracing of the apps on your phones and the inoculations.
[00:05:46.353 --> 00:05:49.734]  That is a DNA vaccine that changes your DNA.
[00:05:49.734 --> 00:05:51.654]  This isn't a science fiction movie.
[00:05:51.654 --> 00:05:53.555]  It's happening right now.
[00:05:53.555 --> 00:05:55.115]  Compliance is death.
[00:05:55.115 --> 00:05:56.936]  Compliance is annihilation.
[00:05:56.936 --> 00:05:57.876]  Wake up!
[00:05:57.876 --> 00:05:58.436]  Wake up!
[00:06:23.525 --> 00:06:30.630]  78 days, 78 days from the election that the Democrats and the globalists would not have.
[00:06:30.630 --> 00:06:38.215]  So they're trying to put the nation into civil war and financial collapse under the COVID smokescreen.
[00:06:38.215 --> 00:06:44.119]  Thank you again so much for joining us on this August 16th Sunday live transmission.
[00:06:44.119 --> 00:06:46.661]  Roger Stone is going to be joining us.
[00:06:46.661 --> 00:06:48.402]  He was really good friends with Trump's brother.
[00:06:49.349 --> 00:06:55.512]  Robert Trump, who passed just over the weekend, and the media has been saying it's an unknown cause of death.
[00:06:55.512 --> 00:06:59.494]  For those that know the family, the cause of death is very well known.
[00:06:59.494 --> 00:07:02.075]  And he had a heart condition for 40 years.
[00:07:02.075 --> 00:07:04.016]  They said he could die at any time from it.
[00:07:04.016 --> 00:07:05.757]  He was routinely hospitalized over it.
[00:07:05.757 --> 00:07:12.100]  It's why he did not choose to be in super competitive business like his brother, though he's much like him, because his heart could not take it.
[00:07:12.640 --> 00:07:16.261]  So the younger brother dead at 71 years of age.
[00:07:16.261 --> 00:07:18.942]  And Trump had just gone to see him in the hospital Friday.
[00:07:18.942 --> 00:07:24.223]  There were so many false alarms that he was not there when his brother passed.
[00:07:24.223 --> 00:07:26.884]  But that's exclusive information about the family.
[00:07:26.884 --> 00:07:27.805]  They're very, very private.
[00:07:27.805 --> 00:07:32.186]  There's of course been huge celebrations online saying the wrong Trump died.
[00:07:32.186 --> 00:07:35.667]  They've had so-called Christian leaders come out and say that
[00:07:36.943 --> 00:07:38.204]  God took the wrong Trump.
[00:07:38.204 --> 00:07:40.926]  This is just truly sickening evil behavior.
[00:07:40.926 --> 00:07:48.632]  But Roger Stone will have some details on his friend, Robert Trump, and eulogize him at the bottom of the hour, and then get into the big 2020 election news.
[00:07:48.632 --> 00:07:53.135]  We're glad to have Roger with Clemency.
[00:07:53.135 --> 00:07:58.640]  Still in the game for 2020 to give us his expert analysis on what's coming next on Counter the NWO.
[00:07:58.640 --> 00:08:02.563]  So that is coming up, ladies and gentlemen, at the bottom of the hour.
[00:08:04.235 --> 00:08:10.379]  I was starting the show on Friday, and I had been trying to get Millie Weaver on for a week.
[00:08:10.379 --> 00:08:14.402]  She kept saying, I'm going to have Shadowgate's documentary done.
[00:08:14.402 --> 00:08:15.323]  They're contractors.
[00:08:15.323 --> 00:08:16.183]  They do whatever they want.
[00:08:16.183 --> 00:08:16.984]  They produce whatever they want.
[00:08:16.984 --> 00:08:18.785]  So I didn't really know what the film was about.
[00:08:18.785 --> 00:08:19.525]  I'd seen the trailer.
[00:08:19.525 --> 00:08:20.846]  It sounded interesting.
[00:08:20.846 --> 00:08:27.231]  She wanted to come on last week and then this week, but kept saying, well, give me another day or so.
[00:08:27.231 --> 00:08:32.394]  And so Friday, I'm talking to about finally getting her on, and when is she going to upload it, and where is she going to put it out?
[00:08:35.302 --> 00:08:38.425]  I'm lifting weights because there's a little gym here in the office.
[00:08:38.425 --> 00:08:42.289]  At like 8.30 in the morning, I get done, come over and start doing the preparations for the show.
[00:08:42.289 --> 00:08:54.240]  Right before I go live, they go, Millie Weaver has been arrested with her husband and Gavin, her husband's brother, at their house in Ohio.
[00:08:54.240 --> 00:08:59.345]  And so I see the video, we air it, and immediately people start saying, oh, it's fake.
[00:09:00.145 --> 00:09:04.089]  Because the cops first say they're just there for Gavin, then they say they're there for Millie as well.
[00:09:04.089 --> 00:09:05.290]  Well, it wasn't fake, folks.
[00:09:05.290 --> 00:09:06.311]  It's now in the newspaper.
[00:09:06.311 --> 00:09:08.893]  It's now in the local Cincinnati newspaper.
[00:09:08.893 --> 00:09:15.198]  It's now National News, InfoWars reporter, InfoWars contractor, contributor arrested.
[00:09:15.198 --> 00:09:16.640]  So, that's real.
[00:09:18.280 --> 00:09:21.282]  And it was not being done as a stunt because her film was coming out.
[00:09:21.282 --> 00:09:22.303]  We're not selling it.
[00:09:22.303 --> 00:09:23.004]  It's hers.
[00:09:23.004 --> 00:09:23.965]  It's free.
[00:09:23.965 --> 00:09:24.745]  It's something they did.
[00:09:24.745 --> 00:09:26.807]  They put a lot of films out.
[00:09:26.807 --> 00:09:30.730]  And so now all the fake conspiracy theories are to the side.
[00:09:30.730 --> 00:09:32.171]  She was really arrested.
[00:09:32.171 --> 00:09:35.734]  And her crews had a chance to talk to her in jail.
[00:09:35.734 --> 00:09:37.535]  We've had the details of that relayed.
[00:09:37.535 --> 00:09:41.238]  And so we have one of the people that helped her make the film, one of her good friends.
[00:09:42.355 --> 00:09:47.978]  Joining us, coming up about 15 minutes into the next hour to talk about that.
[00:09:47.978 --> 00:09:52.240]  And the big question is, was she arrested in relation to the film?
[00:09:52.240 --> 00:10:01.225]  Well, her mother has put out a statement, I guess on Facebook, saying that she'd moved there during the COVID lockdown from California three months ago, and they had some kind of altercation.
[00:10:01.225 --> 00:10:06.748]  A cell phone got broken, but she doesn't want charges pressed.
[00:10:06.748 --> 00:10:11.531]  And she doesn't know why three months after she filed this police report, when they had a fracas,
[00:10:13.083 --> 00:10:17.009]  A family fracas, why they've now been charged with all these felonies and things.
[00:10:17.009 --> 00:10:22.737]  So, and it's her name on the arrest warrant and all the rest of it as the victim.
[00:10:22.737 --> 00:10:28.946]  So it's confirmed that this is over a broken cell phone and her mother being thrown out of the house.
[00:10:31.556 --> 00:10:35.279]  And I mean, who hadn't had, especially when you're growing up and older, your parents moved in with you.
[00:10:35.279 --> 00:10:37.441]  I can imagine there'd probably be some practices.
[00:10:37.441 --> 00:10:41.024]  And I get along with my mom and dad, but they would probably not want me living with them.
[00:10:41.024 --> 00:10:42.405]  So that's part of this COVID pressure.
[00:10:42.405 --> 00:10:46.689]  So how is this, how is she still in jail with a sealed indictment over all this?
[00:10:46.689 --> 00:10:49.852]  So we'll figure all that out in the days to come.
[00:10:49.852 --> 00:10:52.334]  Here's the bad news, ladies and gentlemen.
[00:10:54.665 --> 00:10:57.407]  Why wasn't I given anything in the mail?
[00:10:57.407 --> 00:10:59.208]  Guys, go ahead and turn that on and off for me, thanks.
[00:10:59.208 --> 00:11:00.229]  Appreciate that.
[00:11:00.229 --> 00:11:01.089]  I'm sorry, I was getting a feed.
[00:11:01.089 --> 00:11:03.591]  I don't know if the radio listeners could hear it, but I was getting a feed.
[00:11:03.591 --> 00:11:09.875]  So, here's the question.
[00:11:09.875 --> 00:11:17.120]  Was she arrested for anything to do with the film Shadowgate?
[00:11:17.120 --> 00:11:18.841]  And I think the answer is probably not.
[00:11:20.737 --> 00:11:26.227]  But that is what is going to end up always being thought about this because of the timing and the coincidence.
[00:11:26.227 --> 00:11:30.294]  And so if they were trying to suppress this film, it had the opposite effect.
[00:11:30.294 --> 00:11:33.940]  Last time I checked, it had 1.5 million views on one version on YouTube.
[00:11:36.058 --> 00:11:43.005]  Right at 600,000 views at Band.Video, where it's posted for free, and a bunch of other versions with hundreds of thousands of views.
[00:11:43.005 --> 00:11:50.553]  So, um, I finally had a chance to watch it, didn't have a chance to watch until Friday night, so there I was covering all this, not knowing really what was in the film.
[00:11:51.474 --> 00:11:52.995]  People thought I was distancing myself from it, too.
[00:11:52.995 --> 00:11:57.878]  They're like, well, Jones is saying he doesn't know what's in it because, you know, she's a contractor, does whatever she wants.
[00:11:57.878 --> 00:12:01.301]  Well, I literally didn't know the contents of the film because I've not seen it.
[00:12:01.301 --> 00:12:05.123]  I was waiting to see it to get her on and talk about it.
[00:12:05.123 --> 00:12:10.407]  And overall, I mean, I think it covers real government things that go on and some of the way the propaganda systems operate.
[00:12:11.347 --> 00:12:14.508]  But I know Roger Stone gave me a call this morning because he's in it.
[00:12:14.508 --> 00:12:19.129]  And he's like, I never met General Jones and Paul Manafort.
[00:12:19.129 --> 00:12:20.570]  I haven't worked with him in over 20 plus years.
[00:12:20.570 --> 00:12:22.630]  He's my friend.
[00:12:22.630 --> 00:12:25.931]  Roger Stone's not involved running the secret Internet Control Police.
[00:12:25.931 --> 00:12:28.172]  I can assure you he's a target of the Deep State.
[00:12:28.172 --> 00:12:32.493]  But that's what one of the people interviewed said.
[00:12:32.493 --> 00:12:36.254]  I had the fella in here because he came to town, I guess, for the release of this.
[00:12:36.254 --> 00:12:37.394]  I didn't know it would be released that day.
[00:12:37.394 --> 00:12:38.594]  I didn't know he'd come knocking on our door.
[00:12:38.594 --> 00:12:39.895]  A lot of weird stuff going on.
[00:12:40.695 --> 00:12:46.581]  And he's in here during the break and then on air saying, well, I think Roger runs everything.
[00:12:46.581 --> 00:12:47.161]  Wow.
[00:12:47.161 --> 00:12:48.202]  Roger runs everything.
[00:12:48.202 --> 00:12:50.564]  I sure wish he could make a Skype work.
[00:12:50.564 --> 00:12:51.765]  And I'm not even a computer person.
[00:12:51.765 --> 00:12:53.787]  I have to teach Roger how to use computers.
[00:12:53.787 --> 00:12:57.951]  So that's the weird thing about the liberal medium.
[00:12:59.602 --> 00:13:07.926]  They came out and they said, I ran the Trump campaign and Roger ran the Trump campaign and we're the reason he won and everything Trump did came out of my mouth or Roger's.
[00:13:07.926 --> 00:13:09.127]  It's not true.
[00:13:09.127 --> 00:13:12.328]  I would love to take that credit for that.
[00:13:12.328 --> 00:13:14.890]  I wish Trump listened to me as much as they said he did.
[00:13:14.890 --> 00:13:17.351]  We got a lot of ideas out there about rebooting America.
[00:13:17.351 --> 00:13:20.533]  We have a huge audience that helped get Trump over the top, getting elected.
[00:13:20.533 --> 00:13:22.654]  We promoted populism against globalism.
[00:13:22.654 --> 00:13:24.795]  We've been absolutely instrumental.
[00:13:25.788 --> 00:13:26.068]  In fact,
[00:13:50.209 --> 00:14:01.336]  It's bizarre, because the crew works here, and the crew sees me, they know, they watch it all being done, the research, the guest, the info, and we just bring guests in and say, hey, say whatever you want.
[00:14:01.336 --> 00:14:03.118]  Well, you run the New World Order, Alex.
[00:14:04.926 --> 00:14:06.287]  Okay, great.
[00:14:06.287 --> 00:14:07.288]  Thanks a lot.
[00:14:07.288 --> 00:14:08.528]  Oh, and I'm going to post the film.
[00:14:08.528 --> 00:14:09.529]  We're the bad guys.
[00:14:09.529 --> 00:14:13.192]  I mean, it's just next level.
[00:14:13.192 --> 00:14:18.135]  But that's what happens in this whole Q-verse is Trump can't be trusted.
[00:14:18.135 --> 00:14:19.376]  Roger Stone can't be trusted.
[00:14:19.376 --> 00:14:21.377]  Alex Jones can't be trusted.
[00:14:21.377 --> 00:14:27.221]  But anybody off the street wearing a Trump jacket, whoa, whoa, okay, all right.
[00:14:27.221 --> 00:14:28.362]  Trump's bad now too, right?
[00:14:29.246 --> 00:14:37.131]  I mean, Robert Mueller's good and all this other stuff's good, but oh, but the actual New World Order, the actual globalist operation, it's not a problem.
[00:14:37.131 --> 00:14:38.792]  But anyways, that is a distraction.
[00:14:38.792 --> 00:14:42.655]  Can't wait to get Millie out of jail.
[00:14:42.655 --> 00:14:48.319]  The problem is they're having a CPS hearing at 10 a.m.
[00:14:48.319 --> 00:14:51.141]  and they're not supposed to have their arraignment hearing in that county in Ohio.
[00:14:51.141 --> 00:14:55.804]  It's all listed on InfoWars.com until, until
[00:14:57.950 --> 00:15:01.533]  They are already had the CPS meeting.
[00:15:01.533 --> 00:15:04.014]  And so very, very serious situation.
[00:15:04.014 --> 00:15:07.357]  I've tried to figure out what's going on in that town.
[00:15:07.357 --> 00:15:09.038]  It's mainly a Democrat town.
[00:15:09.038 --> 00:15:20.607]  So, but again, why would the Democrats sit there and try to shut a film down that claims Roger Stone works with Barack Obama?
[00:15:21.465 --> 00:15:41.521]  Basically what it does because they're one expert in there says that and again I'm just getting this out there because it's it's always interesting to just wake up and you know I'm such a mastermind I don't even know what's in this film and that it's being talked about on my show and Roger has nothing to do with any of this as implicated as the big genius mastermind and I'm just supposed to sit here and take it so that's where I stand on that so there you go
[00:15:42.418 --> 00:15:53.285]  You know, the big secret conspiracy here is that there's no filter and that I am in charge of my own life and I built Infowars with the support of this broadcast and we are the American people and we're changing the whole planet together.
[00:15:53.285 --> 00:15:57.128]  I would be ashamed to ever be involved with the CIA or the FBI or any of these groups.
[00:15:58.191 --> 00:16:08.136]  Well, we're six months into the COVID-19 lockdown, and now Democrat leaders are calling for people to be charged with attempted murder if they don't wear the masks of the symbols of slavery.
[00:16:08.136 --> 00:16:13.760]  And they've triggered their race riots around the country, led by white, angry liberal academics and others.
[00:16:13.760 --> 00:16:19.343]  And now on top of the Democrats are officially saying, hey, Trump's going to try to steal the election and contest it.
[00:16:19.343 --> 00:16:25.106]  But then their internal war gaming documents come out, with John Podesta at the very top, with Kamala Harris, and of course,
[00:16:25.666 --> 00:16:26.327]  Joe Biden.
[00:16:26.327 --> 00:16:33.613]  And they're saying, oh, we think we're going to lose, but we're going to have the Democrat states secede, claiming that Joe Biden's won the popular vote.
[00:16:33.613 --> 00:16:38.097]  And we are then going to set up our own country and ask the military to remove Trump.
[00:16:38.097 --> 00:16:40.419]  This is officially in the New York Times.
[00:16:40.419 --> 00:16:42.001]  And I don't just believe the New York Times.
[00:16:42.001 --> 00:16:45.744]  I've been telling you for over a year, this is their plan from other statements they've made.
[00:16:45.744 --> 00:16:51.009]  And then Atlantic Monthly, the Washington Post, the Financial Times of London, the Council on Foreign Relations.
[00:16:51.249 --> 00:16:52.390]  This is their plan.
[00:16:52.390 --> 00:16:54.031]  We've got 80 days left to stop it.
[00:16:54.031 --> 00:16:55.152]  What are you gonna do?
[00:16:55.152 --> 00:16:56.053]  I'm serious, folks.
[00:16:56.053 --> 00:16:58.274]  This is the time to save the country.
[00:16:58.274 --> 00:17:02.417]  The social engineers bet on you not having a memory, more than anything.
[00:17:02.417 --> 00:17:10.944]  They also bet, as they constantly talk about it in their own words, that you will adapt to being a slave, that you will learn incrementally to submit.
[00:17:10.944 --> 00:17:14.566]  So think about and remember the phases of the Fauci fraud.
[00:17:14.566 --> 00:17:17.769]  Remember that everything he said has been a premeditated lie.
[00:17:18.089 --> 00:17:31.276]  They lied about where it came from, they lied about person-to-person, the UN covered it all up, then exaggerated the death rate at 4% when it's actually 0.032 now and dropping.
[00:17:31.276 --> 00:17:42.903]  Then they set the test up to count almost all false positives, they put the names of people that died of other diseases in the COVID column, they only said there'd be a 15-day lockdown, now we're six months later, now they say it's permanent.
[00:17:43.323 --> 00:17:54.359]  You gotta wear masks forever, and forced inoculations are coming, and they're gonna track everywhere you go and what you do, the global social credit score, and the UN is the boss, and anybody questioning it is censored off the internet, loses their job.
[00:17:54.359 --> 00:17:56.042]  That's called 21st century tyranny.
[00:17:56.042 --> 00:17:57.524]  That's called world government takeover.
[00:17:57.524 --> 00:17:59.226]  Incrementalism.
[00:18:00.117 --> 00:18:01.818]  The inchworm effect.
[00:18:01.818 --> 00:18:04.200]  Successive approximation.
[00:18:04.200 --> 00:18:09.083]  First they tell you only stay in your house for 15 days so the hospitals can stay empty.
[00:18:09.083 --> 00:18:10.243]  That was all a fraud.
[00:18:10.243 --> 00:18:12.045]  Then wear a mask for a month.
[00:18:12.045 --> 00:18:13.966]  Here we are six months later.
[00:18:13.966 --> 00:18:23.892]  Then they start making people at colleges and at big corporations wear wristbands showing that they've been, quote, contact traced and tested for COVID.
[00:18:23.892 --> 00:18:24.913]  Then comes the apps.
[00:18:25.373 --> 00:18:31.399]  On your phones and the global social credit score now being rolled out by Virginia, California, and others.
[00:18:31.399 --> 00:18:32.900]  It's not coming, it's here.
[00:18:32.900 --> 00:18:38.566]  And then the inoculations, if you ever want to leave your house, which amounts to forced inoculations.
[00:18:38.566 --> 00:18:41.209]  This is the medical tyranny takeover.
[00:18:41.209 --> 00:18:43.991]  These are not classic vaccines that have their own problems.
[00:18:43.991 --> 00:18:49.757]  These are DNA vaccines that change your DNA and are having massive, serious side effects.
[00:18:50.137 --> 00:18:50.798]  Guaranteed.
[00:18:50.798 --> 00:18:52.760]  This is about depopulation.
[00:18:52.760 --> 00:18:54.202]  Bill Gates admits that.
[00:18:54.202 --> 00:18:55.443]  This is an emergency.
[00:18:55.443 --> 00:18:56.825]  Resist or die.
[00:18:56.825 --> 00:18:58.326]  The New World Order is here.
[00:18:58.326 --> 00:19:04.974]  When the corrupt establishment began pushing Joe Biden two years ago, they knew he had serious cognitive problems.
[00:19:04.994 --> 00:19:05.274]  I don't
[00:19:22.381 --> 00:19:31.106]  Because she's part African, and now anyone that criticizes her will be called a racist and evil, and she is now above reproach.
[00:19:31.106 --> 00:19:35.988]  Ladies and gentlemen, we must expose this monster for who she is.
[00:19:35.988 --> 00:19:44.453]  We must expose the fact that she wanted minimum sentences for black people three times longer than white people, and that the woman is a monster.
[00:19:44.453 --> 00:19:49.015]  Kamala Harris will end up being our president if they're able to steal the election.
[00:19:49.395 --> 00:19:53.297]  And she is a 110% New World Order puppet.
[00:19:53.297 --> 00:19:56.018]  Now more than ever, we must expose this monster.
[00:19:56.018 --> 00:20:01.660]  We must expose the globalists.
[00:20:01.660 --> 00:20:04.281]  You're listening to the Alex Jones Show.
[00:20:30.305 --> 00:20:31.726]  78 days.
[00:20:31.726 --> 00:20:32.367]  78 days.
[00:20:32.367 --> 00:20:34.209]  What an incredible time to be alive.
[00:20:34.209 --> 00:20:39.014]  I'm your host, Alex Jones, coming to you from deep in the heart of Texas, Austin, broadcasting worldwide.
[00:20:39.014 --> 00:20:42.558]  All right, let's plow in to the really big news.
[00:20:42.558 --> 00:20:45.961]  When Roger Stone joins us next segment, I will get into all of his intel.
[00:20:46.522 --> 00:20:50.907]  And his sources that are excellent on whether or not we're about to see widespread indictments.
[00:20:50.907 --> 00:20:53.509]  We've seen the beginning of it starting.
[00:20:53.509 --> 00:20:59.476]  And Trump said this is only the beginning that we are all about to witness.
[00:20:59.476 --> 00:21:03.560]  But let's get in to the latest COVID developments.
[00:21:03.560 --> 00:21:07.004]  New saliva-based COVID-19 tests
[00:21:10.043 --> 00:21:13.067]  Could be fast, cheap, game changer, CNN.
[00:21:13.067 --> 00:21:20.636]  You read the type of test it is, it's the other basic test they've been using that give almost 90% false positives.
[00:21:20.636 --> 00:21:23.500]  So that'll create more hysteria, more fear.
[00:21:23.500 --> 00:21:24.782]  It's never about the death toll now.
[00:21:26.289 --> 00:21:29.213]  It's about the number of people that are infected.
[00:21:29.213 --> 00:21:37.283]  But once you get tens of millions that have been tested, then if they die in a car wreck, or if they die of a heart attack, you get to count them.
[00:21:37.283 --> 00:21:44.893]  They go, oh, 1,200 a day dying from COVID, when tens of thousands, hundreds of thousands some days die in the United States.
[00:21:47.290 --> 00:21:49.413]  Yeah, we're 350 million people.
[00:21:49.413 --> 00:21:50.214]  Continuing.
[00:21:50.214 --> 00:21:50.494]  U.S.
[00:21:50.494 --> 00:21:54.699]  developing coronavirus strain for human challenge trials.
[00:21:54.699 --> 00:22:01.608]  What do you think they were developing at Wuhan under Bill and Melinda Gates with 11 different programs?
[00:22:01.608 --> 00:22:04.291]  The strains for human tests in vaccines.
[00:22:04.291 --> 00:22:05.833]  It's patented.
[00:22:05.833 --> 00:22:06.174]  Look up!
[00:22:07.554 --> 00:22:13.637]  Bill Gates Foundation funded COVID Chimera viruses for vaccine trials.
[00:22:13.637 --> 00:22:17.419]  They've already done them on animals, and it says would work in humans.
[00:22:17.419 --> 00:22:22.062]  That's why they're skipping the animal trials, because they already did them.
[00:22:22.062 --> 00:22:24.743]  It's already been done.
[00:22:24.743 --> 00:22:29.286]  That's why Gates said, oh, there'll be a lot of illness with this new vaccine, because they already did it.
[00:22:29.286 --> 00:22:32.127]  They've already done it on animals and on humans in China.
[00:22:34.261 --> 00:22:40.103]  French and Japanese TV shows and Italian ones three years ago about, is it safe?
[00:22:40.103 --> 00:22:45.284]  They've got dangerous chimera viruses from bats at Wuhan under U.S.
[00:22:45.284 --> 00:22:46.245]  funding.
[00:22:46.245 --> 00:22:52.186]  In 2015, there were New Scientist articles about the scandal.
[00:22:52.186 --> 00:23:01.489]  And then we sit here and watch the guy over at Fauci telling us how to live our lives and telling us we can never leave our houses again when he told us all these millions would be dead, but they aren't.
[00:23:03.243 --> 00:23:06.204]  Tucker Carlson comes out and points that out.
[00:23:06.204 --> 00:23:08.604]  He says, oh, Tucker's the reason there's all this craziness.
[00:23:08.604 --> 00:23:12.165]  No, it isn't COVID causing the starvation and the depression.
[00:23:12.165 --> 00:23:12.965]  It isn't COVID.
[00:23:12.965 --> 00:23:15.565]  It's the lies about COVID that are doing it.
[00:23:15.565 --> 00:23:16.345]  So, U.S.
[00:23:16.345 --> 00:23:22.807]  developing coronavirus strain for human challenge trials.
[00:23:22.807 --> 00:23:25.367]  Think about that.
[00:23:25.367 --> 00:23:29.808]  More Americans go hungry amid coronavirus pandemic census shows.
[00:23:33.936 --> 00:23:37.979]  But it's not the coronavirus that's doing it.
[00:23:37.979 --> 00:23:40.681]  It is the hysteria and the lies and the lockdown.
[00:23:40.681 --> 00:23:47.226]  And people say, man, the left's collapsing their states, their cities, because they work for the new world order to collapse the whole country.
[00:23:47.226 --> 00:23:49.888]  You think they're just idiots that don't know how to run things.
[00:23:49.888 --> 00:23:51.669]  They know how to destroy things.
[00:23:51.669 --> 00:23:53.311]  It's a plan.
[00:23:53.311 --> 00:23:54.491]  They're like Terminators.
[00:23:54.491 --> 00:23:55.332]  They never give up.
[00:23:55.332 --> 00:23:56.033]  They never give in.
[00:23:57.162 --> 00:24:03.166]  Wall Street Journal reports that violent crime rises during pandemic as confidence in police takes hit.
[00:24:03.166 --> 00:24:04.627]  CNN.
[00:24:04.627 --> 00:24:12.252]  Violent crime explodes during the police getting defunded and the police being told not to respond and people being told to riot and kill and murder.
