[00:00:01.511 --> 00:00:02.312]  Welcome to everyone.
[00:16:01.264 --> 00:16:04.146]  Why are you telling the Pentagon to not stop this?
[00:16:04.146 --> 00:16:10.910]  And openly, it's in the Chicago Tribune, they have lobbyists, I didn't even know it was that bad, who represent the slave trade.
[00:16:10.910 --> 00:16:12.530]  This is actual white slavery.
[00:16:12.530 --> 00:16:14.111]  And they're now doing it to Arab kids.
[00:16:14.111 --> 00:16:18.794]  They also grab whole villages of men and take them to be used as slaves for the contractors.
[00:16:18.794 --> 00:16:21.135]  This is Chicago Tribune, folks.
[00:16:21.135 --> 00:16:23.837]  And people are like, Alex, you talked about this in the first hour.
[00:16:23.837 --> 00:16:25.297]  You talked about this on Monday.
[00:16:25.297 --> 00:16:28.199]  Well, Fox News will spend six months on one kidnapped woman.
[00:16:28.659 --> 00:16:41.219]  I mean, this shows what psychopathic criminals... I think it's the number one chink in their armor, Michael Rivero, is the fact that DynCorp and Halliburton subsidiaries and others have been caught red-handed defending these practices.
[00:16:42.029 --> 00:16:42.830]  Yeah, that is.
[00:16:42.830 --> 00:16:51.656]  I think, you know, when you have an occupation army occupying a country and you see this sort of abuses, it really illustrates what's going on.
[00:16:51.656 --> 00:16:54.478]  I am hoping that this story will develop some legs.
[00:16:54.478 --> 00:16:59.101]  I'm certainly going to give it some additional emphasis in the next few weeks.
[00:16:59.101 --> 00:17:05.625]  But there's an old saying that the fastest way to end a dictator is to get him to act like one where everybody can see it.
[00:17:05.625 --> 00:17:11.009]  And for this sort of abuses to be going on where you're talking about children being taken into coerced
[00:17:12.657 --> 00:17:15.398]  circumstances like this.
[00:17:15.398 --> 00:17:20.281]  I mean, that really shows exactly what the real character of the American occupation is all about.
[00:17:20.281 --> 00:17:22.982]  Did you see that as a good sign?
[00:17:22.982 --> 00:17:26.484]  When Bush had to say, I'm not a dictator?
[00:17:26.484 --> 00:17:35.089]  I think it was a good sign, especially because he's having to back off that joke that he was making during his first year in office about how easy it would be if he was a dictator.
[00:17:35.089 --> 00:17:39.411]  And, you know, nobody's laughing anymore because it's very plain that
[00:17:39.910 --> 00:17:46.358]  Bush has done more harm to our country, our freedoms, and our way of life than any terrorist could hope to.
[00:17:46.358 --> 00:17:53.607]  I'm sure that, you know, in whatever afterlife he's sitting in right now, Osama is looking at George Bush and saying, Thank you, George.
[00:17:53.607 --> 00:17:57.251]  You wrecked the country more than I could have ever thought possible.
[00:17:57.251 --> 00:17:59.053]  And, you know, well done there, buddy.
[00:18:00.424 --> 00:18:01.665]  And it is.
[00:18:01.665 --> 00:18:06.187]  It's really what Bush has done, I think for all intents and purposes, he is a dictator.
[00:18:06.187 --> 00:18:11.829]  You know, if he acts like a dictator and talks like a dictator and walks like a dictator, then he's a dictator.
[00:18:11.829 --> 00:18:16.991]  And having a Congress... Well, give us some examples of that, because his own Attorney General says he is the law.
[00:18:16.991 --> 00:18:24.994]  Judge Dredd, the executioner, I mean, they actually... He says, I'm the war president, I can use war powers, I can break any law I want domestically.
[00:18:24.994 --> 00:18:27.675]  That is, in its very essence, a dictatorship.
[00:18:28.135 --> 00:18:32.058]  Absolutely, and you know, just because he says it does not mean it is so.
[00:18:32.058 --> 00:18:33.879]  I mean, Nixon tried exactly the same thing.
[00:18:33.879 --> 00:18:36.521]  He used to say if the president does it, it's not a crime.
[00:18:36.521 --> 00:18:37.741]  That is not true.
[00:18:37.741 --> 00:18:49.949]  We are a constitutional republic, and the bottom line is that anybody who raises his hand and takes that oath to preserve, protect, and defend the Constitution is agreeing implicitly to abide by those rules.
[00:18:49.949 --> 00:18:51.430]  Well, it's simple.
[00:18:51.430 --> 00:18:53.832]  And I use this example because it's the best one out there.
[00:18:53.832 --> 00:18:57.454]  Just because the Supreme Court said black people weren't human beings doesn't mean it's true.
[00:18:58.034 --> 00:19:11.099]  That's absolutely true, and the bottom line is that George Bush is the President of the United States only when he is conforming himself to the limits imposed on the presidency by the Constitution.
[00:19:11.099 --> 00:19:14.401]  If he acts outside the Constitution, he's acting outside his office.
[00:19:14.401 --> 00:19:27.226]  He's just ordinary George Bush again, and maybe he's got a lot of people willing to go along with what he's saying, but he is not legally the President of the United States when he acts outside the Constitution, and Congress cannot vote him extra-constitutional
[00:19:27.686 --> 00:19:32.609]  Uh, powers, that takes a constitutional amendment, and the Attorney General can't say he's the law.
[00:19:32.609 --> 00:19:39.193]  All the Attorney General can, in effect, say is, I refuse to prosecute his crimes, which is really what it comes down to.
[00:19:39.193 --> 00:19:50.499]  Bush can do what he wants because he knows his buddies are sitting on the judicial benches and the Department of Justice, and they will give him a get-out-of-jail-free card is really what it amounts to.
[00:19:51.179 --> 00:19:51.559]  Absolutely.
[00:19:51.559 --> 00:19:57.261]  I think Bush was kind of a disposable ruler right from the beginning and certainly we see Dick Cheney as more of the capable
[00:20:13.269 --> 00:20:13.670]  I think?
[00:20:35.055 --> 00:20:45.018]  And unfortunately, most Americans, while they are aware of what's going on, they are still believing the government is going to play by the rules, and play nice, and obey the constitutional limits.
[00:20:45.018 --> 00:20:47.618]  And that's just not happening.
[00:20:47.618 --> 00:20:52.959]  It's not happening, and you give people unlimited power, unlimited funding, they're going to abuse it.
[00:20:52.959 --> 00:20:55.220]  And I mean, let's talk about some of the abuse.
[00:20:55.220 --> 00:20:58.881]  I mean, just the no-bid contracts, the scams, the financial
[00:21:00.205 --> 00:21:03.687]  Soaking that we're all taking when we get back and we'll take your calls.
[00:21:03.687 --> 00:21:04.207]  Stay with us.
[00:21:04.207 --> 00:21:08.249]  PrisonPlanet.tv.
[00:21:08.249 --> 00:21:09.650]  We're on the march.
[00:21:09.650 --> 00:21:12.171]  The Empire's on the run.
[00:21:12.171 --> 00:21:14.873]  Alex Jones and the GCN Radio Network.
[00:21:18.110 --> 00:21:21.993]  Update your kitchen with custom cabinet refacing from Sears.
[00:21:21.993 --> 00:21:29.259]  Your kitchen can look like new again in about four to six days without the cost, time, or mess of totally remodeling.
[00:21:29.259 --> 00:21:30.420]  See for yourself.
[00:21:30.420 --> 00:21:31.721]  Call 1-800-300-8069 for a free design consultation.
[00:21:31.721 --> 00:21:33.322]  Call right now and save $750 on select styles.
[00:21:40.007 --> 00:21:45.230]  Sears offers over 100 door and drawer combinations to suit any budget and style.
[00:21:45.230 --> 00:21:49.553]  And best of all, with Sears, your satisfaction is guaranteed.
[00:21:49.553 --> 00:21:52.814]  So don't replace your kitchen cabinets, reface them.
[00:21:52.814 --> 00:21:59.778]  Call Sears at 1-800-300-8069 and save $750 on select styles.
[00:21:59.778 --> 00:22:01.579]  Offer ends 2-2506.
[00:22:01.579 --> 00:22:04.541]  License number available upon request, not available in all areas.
[00:22:04.541 --> 00:22:07.683]  See associate or ask your consultant for written limited warranty details.
[00:22:08.324 --> 00:22:10.468]  Custom cabinet refacing from Sears.
[00:22:10.468 --> 00:22:10.628]  1-800-300-8069.
[00:22:10.628 --> 00:22:11.069]  Call now.
[00:22:11.069 --> 00:22:11.129]  1-800-300-8069.
[00:22:18.346 --> 00:22:22.468]  Black Berkey replacement elements are ideal for use in any gravity filter.
[00:22:22.468 --> 00:22:28.190]  These self-sterilizing filters can transform raw pond and lake water into delicious crystal clear drinking water.
[00:22:28.190 --> 00:22:38.715]  Ideal for travel or outdoor events and perfect in the event of hostile filtration environments such as local or national emergencies because they remove both harmful chemicals and pathogenic bacteria from water.
[00:22:38.715 --> 00:22:42.997]  So powerful they can remove pathogenic bacteria, cysts, parasites to non-detectable level.
[00:22:43.237 --> 00:22:44.038]  We're good to go!
[00:23:12.739 --> 00:23:12.959]  That's 888-803-4438.
[00:23:18.115 --> 00:23:26.840]  According to a recent report by the National Institute of Health, high blood pressure is a major risk factor for heart disease and the chief risk factor for stroke and heart failure.
[00:23:26.840 --> 00:23:28.882]  It affects about 50 million Americans.
[00:23:28.882 --> 00:23:30.402]  That's one in four adults.
[00:23:30.402 --> 00:23:36.766]  Because many people have high blood pressure for years without knowing it, the American Heart Association calls it the silent killer.
[00:23:36.766 --> 00:23:40.729]  At ResearchedHerbs.com, we recognize your concern for your well-being.
[00:23:40.729 --> 00:23:47.653]  As your online partner in health, we are committed to empowering you with the resources you need to make informed health decisions about high blood pressure.
[00:23:47.893 --> 00:23:57.861]  Visit us online at researchedherbs.com to learn more about HeartCare, the widely researched natural herbal supplement for regulating blood pressure and maintaining optimum heart health.
[00:23:57.861 --> 00:24:04.346]  Did you know that the safety and effectiveness of HeartCare is backed by over a hundred clinical trials and experimental studies?
[00:24:04.346 --> 00:24:04.907]  Act now!
[00:24:04.907 --> 00:24:11.432]  Visit us online at researchedherbs.com or call us at 1-800-845-3841 to start protecting yourself from the silent killer.
[00:24:11.432 --> 00:24:11.752]  That's 1-800-845-3841.
[00:24:24.235 --> 00:24:25.255]  Well, first live show of the year.
[00:24:25.255 --> 00:24:26.176]  It is the third day of January 2006.
[00:24:26.176 --> 00:24:27.897]  Michael Rivera is our guest.
[00:24:27.897 --> 00:24:29.477]  We're going to go back to him in just a few minutes.
[00:24:36.129 --> 00:24:37.630]  And we're going to talk about the spying.
[00:24:37.630 --> 00:24:42.152]  We're going to talk about the contractors and all of the war profiteering that's going on.
[00:24:42.152 --> 00:24:45.253]  And I promise we are going to get to all of your calls.
[00:24:45.253 --> 00:24:48.754]  Stan, and then Rick, and Francis, and Ruben, and Davey.
[00:24:48.754 --> 00:24:51.435]  I have time for those five calls.
[00:24:51.435 --> 00:24:54.757]  Sorry to everybody else, but we will get to those five calls at least.
[00:24:54.757 --> 00:24:58.858]  Before we go back to Michael Rivera of WhatReallyHappened.com, be sure and check that site out.
[00:24:58.858 --> 00:25:00.119]  Got a lot of great information there.
[00:25:00.979 --> 00:25:02.121]  Plus some great t-shirts.
