[00:00.000 --> 00:25.800]  We now take you live to the Central Texas Command Center in the heart of the resistance,
[06:19.800 --> 06:28.800]  We're going to be live here for the next few hours as we are every Sunday, 4 to 16 central. I'm Alex Jones, your host in the final countdown of this historic election.
[06:28.800 --> 06:44.800]  That is calling it lightly calling it historical this unprecedentedly important election. I was up here yesterday working for about eight hours with Rob do our news director who put in 14 hours yesterday on Saturday and he's up here right now working.
[06:44.800 --> 07:02.800]  And the reason we're working so hard and the reason I can't drag kid Daniels away who's been working seven days a week writing for info wars.com who's in the room next to me right now is because history is happening and anybody who's even half dialed in understands that everything we do right now echoes throughout history.
[07:02.800 --> 07:18.800]  Again, thank you so much for joining us on this Sunday transmission. We are going to be here for the next two hours and I'm going to be back tomorrow. 11am to 3pm with the four hour weekday transmission.
[07:18.800 --> 07:36.800]  Then I will return with the rest of our crew from seven central until 11 central or so or midnight Eastern with four plus hours of live coverage of this historic 90 minute debate to take place at a university in New York.
[07:36.800 --> 07:49.800]  Now, they're also putting this out as being hosted by NBC's Lester Holt, but it's being put out on a lot of platforms we've subscribed to the feed. So I'm not going to be talking over the feed.
[07:49.800 --> 08:05.800]  And be able to analyze corporate media feeds, corporate spin, you know, these different reporters that try to score brownie points and engage in dirty tricks. I'll only be commenting during brief applause or during brief breaks. We'll have an hour of live analysis before.
[08:05.800 --> 08:19.800]  Seven o'clock central eight o'clock. It kicks off at 9 31. It ends. We'll have analysis of the debate. All the clips. I'm going to have the full crew up here grabbing clips. They'll all be ready with highlights analysis. Leanne McAdoo, David at night.
[08:19.800 --> 08:29.800]  Rob do Mr. Shroyer and so many others that are part of the team. We will be here breaking it down live with our writers, our reporters, our crew.
[08:29.800 --> 08:41.800]  Also radio affiliates out there that want to pick up my weekday show. We're on the radio satellite at night, obviously with the TV show. I never thought the TV show would get picked up by almost more stations than my radio show.
[08:41.800 --> 08:56.800]  But you're welcome to pick that up as well. And also welcome to pick up the two hours of analysis afterwards. So a lot happening. We also have some UHF, VHF and cable stations picking up the transmission, which shows how the new independent media is growing.
[08:56.800 --> 09:04.800]  The old dinosaur media is dying. A very historic time to be alive. Okay, where to begin?
[09:04.800 --> 09:15.800]  Donald Trump showing what presidential material he is yesterday when Mark Cuban came out and said, I'm going to be trolling you in the first row. I'm a guest of hitlery.
[09:15.800 --> 09:26.800]  Trump said, well, that's fine. I'm going to bring Jennifer Flowers, who you settled a sex case with and who you admitted that you basically did things to an abuse.
[09:26.800 --> 09:33.800]  And Jennifer Flowers said, you bet with a little kissy mark, a little emoji back at Trump that she will be there tomorrow night.
[09:33.800 --> 09:45.800]  Now Paula Jones and Kathleen Willie and others. We've interviewed all these women over the last 20 plus years. They're all going to be there now in the front row. So see how Mark Cuban and others like it.
[09:45.800 --> 09:56.800]  See, they strike out at Trump and the populist. Trump doesn't lay there like a rhino or a neocon. He strikes back against the empire. So very, very exciting.
[09:56.800 --> 10:04.800]  But listen, here's the big issue. Do you really think that Hillary can show up when she can't even stand up for more than 10 or 15 minutes?
[10:04.800 --> 10:14.800]  She's canceled all of her live events the last week, only does brief Skype or satellite interviews. It looks like she's on drugs and behaves bizarrely in her eyes or pointing different directions.
[10:14.800 --> 10:24.800]  And by the way, when I first started hearing this a week ago, I thought it was the listeners who sometimes just like I used to, I've got a little jaded over the years, less conspiratorial, though most of the time we're right.
[10:24.800 --> 10:33.800]  They were saying it's a blue screen with her with a big plane behind her. It was just strong together or together strong. And it's fake. It's blue screen.
[10:33.800 --> 10:45.800]  But then I noticed day after day press conference after press conference, it's the same shot, a different outfit with the same lighting. And you can tell it's blue screen. She is blue screening.
[10:45.800 --> 10:56.800]  Because I went and looked at her record, she's admittedly not flying around the country on top of it, but keeps popping up with daily, not really news briefings, but just news statements to the press.
[10:56.800 --> 11:07.800]  So it's getting crazier and crazier and crazier. So all of that is coming up today. We got a big stack of polls showing Trump continuing to surge across the nation.
[11:07.800 --> 11:15.800]  That's why the Justice Department run by the UN publicly with the Strong Cities Initiative says they're openly going to come in and try to federalize this election.
[11:15.800 --> 11:30.800]  You know, to Soros gave hundreds of millions more the last month, Ford Foundation 100 plus million, billions total last few years to race baiting communist organizations like BLM to cause destabilization in the country.
[11:30.800 --> 11:41.800]  And everyone is seeing through it, ladies and gentlemen, but they are really doubling down and clearly their October surprise is a multi-faceted attack pattern.
[11:41.800 --> 11:49.800]  Racial division sees unquestionable police shootings and make them the number one issue. Also, start wars with Russia.
[11:49.800 --> 11:57.800]  Actions against Russia have massively intensified in Ukraine. We have the top U.S. general in a clip coming up after the break.
[11:57.800 --> 12:05.800]  This is amazing. No fly zone would require war with Syria and Russia. Top U.S. general says, General Dunford.
[12:05.800 --> 12:14.800]  But he goes on to follow the orders of Obama in a longer clip we have and say we should implement a no-fly zone against Russia but not against, quote, U.S.
[12:14.800 --> 12:20.800]  And the Russians have come out and detailed that Obama and Hillary have been aiding ISIS and al-Qaeda.
[12:20.800 --> 12:28.800]  The al-Nusra front, as it's known, is al-Qaeda slash ISIS in Syria. And Russia is asking that be declassified by the U.S. Congress.
[12:28.800 --> 12:33.800]  They say they've seen the documents that even Congress knows that they are running ISIS and al-Qaeda.
[12:33.800 --> 12:39.800]  Syhersha's come out. You name it. But this is massive. No-fly zone would require war with Syria and Russia. Top U.S. general.
[12:39.800 --> 12:44.800]  We have the video clip. It's on infowars.com. That is going to be coming up.
[12:44.800 --> 12:52.800]  Economic collapse. Escalated theater level war. Baby wars with Russia. Escalated crises in Ukraine.
[12:52.800 --> 13:02.800]  Economic collapse. As I mentioned, race war. They're trying to start. This is the incredible level that we have reached, ladies and gentlemen.
[13:02.800 --> 13:12.800]  Meanwhile, we have George W. Bush hugging Michelle and Obama on a vacation with the Clintons at the opening of a, quote, museum.
[13:12.800 --> 13:19.800]  I mean, this is so transparent that the elite are basically two wings on the same bird, same bird of prey.
[13:19.800 --> 13:25.800]  Michelle Obama gives George W. Bush a big hug. Nation goes wild.
[13:25.800 --> 13:32.800]  It's okay that Obama continues minimum sentencing for black people, that the Bushes continued and that the Clintons created it.
[13:32.800 --> 13:38.800]  It's okay. Because it's all about just hugging and kissing and saying, you love us, then it's okay if you actually target us.
[13:38.800 --> 13:44.800]  By the way, there was that mall shooting on Friday and I didn't know what happened.
[13:44.800 --> 13:49.800]  And some people were saying, I saw in the comments of infowars.com, why aren't you seizing on this?
[13:49.800 --> 13:56.800]  Because it's not a Muslim. And I'm like, listen, I'm the person that was against invading Iraq and all these countries and destabilizing the Middle East
[13:56.800 --> 14:02.800]  and putting radical Islam in charge. I'm not some Islamophobe. I'm against Wahhabism out of Saudi Arabia.
[14:02.800 --> 14:08.800]  There's now the dominant form of Islam. But I was waiting and seeing what happened because no one had any information.
[14:08.800 --> 14:11.800]  The guy shot four women and one man.
[14:11.800 --> 14:22.800]  Well, now we know. Burlington shooter ID'd as Arkan Sitten, immigrant from Turkey, not a citizen, but a legal permanent resident of the United States.
[14:22.800 --> 14:26.800]  That's from Breitbart.com. It's also on infowars.com.
[14:26.800 --> 14:35.800]  Here's another one, CBS, Seattle, gunman on run after killing five at Macy's, now confirmed to be a Muslim from Turkey.
[14:35.800 --> 14:44.800]  Turkish immigrant, Washington mall shooting suspect 20 is arrested 30 miles from crime scene in a zombie-like state as police refused to rule out terrorism.
[14:44.800 --> 14:50.800]  So, I didn't come out on Friday and say, hey, I bet it's a Muslim.
[14:50.800 --> 14:57.800]  But I noticed the Muslim groups and others attacked me saying, oh, they're not covering as it wasn't a Muslim.
[14:57.800 --> 15:03.800]  About 90% of the time there's a mass shooting now in this country. It's a Muslim or a bombing.
[15:03.800 --> 15:11.800]  And then Hillary comes out and tries to cover it up. The point is you're bringing people in from countries where they can't even get along with each other, much less us.
[15:11.800 --> 15:22.800]  And then we get George Soros' own emails a month ago from DC leaks and they're admitting right there that he wants to destabilize things and cause a collapse of civilization.
[15:22.800 --> 15:28.800]  And then have people so concerned about all the terrorism that we then capitulate to a central leftist government police state.
[15:28.800 --> 15:32.800]  Hitler did the same thing, firebombing his own government building.
[15:32.800 --> 15:43.800]  On February 27th, 1933, he went from being an elected El Presidente to becoming the chancellor and the president, that's known as the Fuhrer or the leader.
[15:43.800 --> 15:51.800]  Ladies and gentlemen, all this and a lot more straight ahead, MSNBC's pushing the narrative that police may have planted gun at Keith Lamont Scott shooting.
[15:51.800 --> 15:57.800]  We've got our reporters there on the ground. Ian North Carolina, Stay Weathers, I'm Alex Jones.
[15:57.800 --> 16:02.800]  Dr. Group, you developed Living Defense for us. It took you over a year to do it. Why is this so good?
[16:02.800 --> 16:13.800]  Because people are actually waking up to the problem that pretty much scares me the most. I mean, I try to make sure that I don't put toxins from food and water and beverages in my system.
[16:13.800 --> 16:21.800]  But right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[16:21.800 --> 16:29.800]  Right now with all the refugees spreading disease around, we have biological warfare going on everywhere. These are all parasites.
[16:29.800 --> 16:31.800]  Tell us about all the stuff that's said. There's so many things that are in it.
[16:31.800 --> 16:39.800]  You have the neem in there. You have the organic clove bud, the organic wormwood. I recommend doing a parasite cleanse at least twice a year.
[16:39.800 --> 16:43.800]  All right. Well, I'm glad we've got some back in because I'm going back on it today. It just came back in yesterday.
[16:43.800 --> 16:52.800]  Living Defense, infowarslife.com. And folks, you can't lose. It's full of stuff that's great for your body, period. And you support the broadcast, infowarslife.com.
[16:52.800 --> 17:17.800]  Thank you, Dr. Group, from the Global Healing Center. Thank you so much for all your work, sir, on this great product.
[17:23.800 --> 17:28.800]  As it still is worsening today, I was there telling you how to prepare yourself and your family.
[17:28.800 --> 17:41.800]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[17:41.800 --> 17:49.800]  You can pull these studies up for yourself. This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[17:49.800 --> 17:59.800]  You can stock up on Survival Shield X2 today at infowarslife.com, or by calling 888-253-3139.
[17:59.800 --> 18:04.800]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[18:04.800 --> 18:13.800]  Young Jevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[18:13.800 --> 18:20.800]  Young Jevity also offers you an ingenious way to augment your income, and the best part? You'll be helping your friends and family along the way.
[18:20.800 --> 18:28.800]  Visit infowarsteam.com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto-ship,
[18:28.800 --> 18:34.800]  and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[18:34.800 --> 18:40.800]  Another win-win. That's why I'm a member of the Young Jevity team at infowarsteam.com, and you can be too.
[18:40.800 --> 18:46.800]  It's simple. Just go to infowarsteam.com today. Complete a short sign-up, and you're part of the team.
[18:46.800 --> 18:49.800]  That's infowarsteam.com or infowarshealth.com.
[18:49.800 --> 18:55.800]  So many people call into my radio show and tell me how Young Jevity and the products at infowarsteam.com have changed their lives.
[18:55.800 --> 18:58.800]  Check it out for yourself today.
[18:58.800 --> 19:03.800]  Brainforce. It's completely different. Try a bottle of it. Rob Doe joins us.
[19:03.800 --> 19:07.800]  You worked, I guess, like 20 plus hours. Tell us what brainforce did.
[19:07.800 --> 19:14.800]  I've been working all day. I took a couple hours off coaching basketball. I get in here at 8.30. I was kind of run down.
[19:14.800 --> 19:18.800]  You know, I just didn't feel like I was going to make it, and I really wanted to do a good job on the interview.
[19:18.800 --> 19:25.800]  I got my bottle of brainforce right there. I popped two of them, and about 20 minutes later, it's like, everything just kind of clears up.
[19:25.800 --> 19:32.800]  Got four and a half stars. People really love it. Read about it. Find out why third-party nutraceutical sites give it such high praise,
[19:32.800 --> 19:38.800]  because it really does have the best organic-based systems that will blow your socks off.
[19:38.800 --> 19:42.800]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without brainforce.
[19:42.800 --> 19:48.800]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more brainforce, and came in.
[19:48.800 --> 20:02.800]  You will find brainforce and other game-changing products at infowarslife.com, or call 888-253-3139.
[20:02.800 --> 20:19.800]  You're listening to the Alex Jones Show.
[20:19.800 --> 20:30.800]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[20:30.800 --> 20:37.800]  We have a nuclear war with Russia or China, and we will all be radioactive.
[20:37.800 --> 20:42.800]  Coming up, Joe Biggs noticed this on the official Fox News website, and I found it in other places.
[20:42.800 --> 20:49.800]  Fox News lies, says, white cop killed Keith Lamont Scott in Charlotte, North Carolina.
[20:49.800 --> 20:56.800]  I kept hearing, you know, these white people killed this guy. It was a black cop, and now the media's claiming the police planted a gun.
[20:56.800 --> 21:00.800]  They talk about conspiracy theorists. They have no proof. They have four cops saying drop the gun.
[21:00.800 --> 21:07.800]  They have video of the guy with the gun on his hand, but they're saying that is staged.
[21:07.800 --> 21:15.800]  But then when Reuters adds 15% more Democrats to national polling for three months and admits that they're doing that, that's not a conspiracy.
[21:15.800 --> 21:21.800]  When they claim Hillary's at a dead heat, when they add 15% more Democrats to the demographic that they actually questioned.
[21:21.800 --> 21:26.800]  Next, next level BS. But let's get to this really, really serious issue.
[21:26.800 --> 21:37.800]  For those that don't remember about a week and a half ago, there was a big bombing that killed 80 Syrian regular military troops who were battling Al-Nusra in a key city.
[21:37.800 --> 21:43.800]  And Al-Nusra is the name of Al-Qaeda, or the Wahhabist slash ISIS. Al-Qaeda means base.
[21:43.800 --> 21:49.800]  IS means Islamic base, Islamic state. It's the same group out of Saudi Arabia that's who funds it.
[21:49.800 --> 21:55.800]  That's indisputed, by the way. The media thinks you're stupid and tries to confuse it. That's their entire program.
[21:55.800 --> 22:02.800]  And so they got all this unfolding, and then you've got the Syrian military winning all over the country.
[22:02.800 --> 22:13.800]  And the Russians, 90% pulled out for the last few years, but they've left some forward observers, some people there to identify targets in some aircraft, and advisors to the Syrians.
[22:13.800 --> 22:21.800]  And so every time they're about to defeat Al-Qaeda or ISIS, the US planes, or NATO planes, accidentally bomb the forces.
[22:21.800 --> 22:28.800]  And sometimes they bomb Russians. Last week it was the Syrians, Syrian military.
[22:28.800 --> 22:35.800]  And so now we have the headlines. Russia says US failing to deliver on Syrian ceasefire wants the tales classified. That's from RT.
[22:35.800 --> 22:44.800]  There's another report from Breitbart. This is all up on Infowars.com. Hillary Clinton sponsored Secret of Arab Spring program that destabilized the Middle East.
[22:44.800 --> 22:54.800]  Tomorrow we're going to break a major report. Paul Watson is with eyewitnesses, documents, you name it, that add to what is admitted.
[22:54.800 --> 23:01.800]  Gaddafi was trying to surrender for over a year. He didn't start the war. They wanted to direct the country and hand it over to ISIS and Al-Qaeda.
[23:01.800 --> 23:07.800]  That's why they did this. Because Hillary came, she saw, and Gaddafi died.
[23:07.800 --> 23:19.800]  Hillary Clinton sponsored Secret of Arab Spring program that destabilized the Middle East. I'm giving you credit for inspiring the peaceful protest with regard to Egypt with quotation marks around the word peaceful.
[23:19.800 --> 23:32.800]  Remember CNN with their different hosts, like Anderson Cooper, how great all this was, turning loose, Sunni, Wahhabist, Al-Qaeda, all over the region.
[23:32.800 --> 23:43.800]  Here's another article. West still arming al-Nusra in Syria's peace, almost impossible. Russia's UN envoy. We have the video clips of all of this.
[23:43.800 --> 23:51.800]  Russia says U.S. filling the liver on Syrian ceasefire. Here's another one. West still arming al-Nusra in Syria, peace almost impossible, on and on and on.
[23:51.800 --> 24:03.800]  Now, let's go to a chilling clip here. And the full clips, again, on infowars.com. It's like 30 minutes long of testimony.
[24:03.800 --> 24:15.800]  No fly zone would require war with Syria and Russia. Top U.S. General, General Dunford, says the U.S. to control all the airspace in Syria would require going to war against Syria and Russia.
[24:15.800 --> 24:31.800]  Syria is a sovereign nation invaded, basically, by Saudi Arabia with Wahhabists. They're mainly Shiite, Christian, and Alawite. They're minority groups. They're being invaded. They're peaceful. Then our government says we've got to invade Syria because Al-Qaeda and ISIS is there.
[24:31.800 --> 24:41.800]  Our criminal government is the one that financed them. The refugees they bring out of Syria are the Wahhabist, Al-Qaeda, ISIS people that get their butts kicked.
[24:41.800 --> 24:53.800]  So they evacuate to the U.S. and Europe. Then they attack us. General Dunford says that the U.S. to control all the airspace in Syria would require going to war against Syria and Russia.
[24:53.800 --> 25:06.800]  This is his response to the latest proposal by John Kerry, which involves grounding only Syrian and Russian airplanes, and that means shooting them down if they try to take off, even fly back to their country, speaking of the Russians.
[25:06.800 --> 25:17.800]  So that's the two minutes to midnight we've now come to. And the top Syrian general came out last week and said, we're already seeing World War III. It's biblical. It's starting in Syria. It's happening right now.
[25:17.800 --> 25:28.800]  And they go on and add, we're not even against Israel. Syria wants to work with Israel. Even Israeli newspapers are saying, why are we on the side of the people trying to overthrow Syria and Israel?
[25:28.800 --> 25:35.800]  Because it's globalism, folks. It's a giant double cross against humanity. So here's the chilling clip of General Dunford.
[25:35.800 --> 25:42.800]  What about the option of controlling the airspace so that that barrel bombs cannot be dropped?
[25:42.800 --> 25:46.800]  What do you think of that option, sir?
[25:46.800 --> 25:55.800]  Right now, Senator, for us to control all of the airspace in Syria, it would require us to go to war against Syria and Russia.
[25:55.800 --> 26:01.800]  That's a pretty fundamental decision that certainly I'm not going to make.
[26:01.800 --> 26:09.800]  Let's back that point again. That's the chairman of the Joint Chiefs of Staff, just like General Dempsey was the chairman a few, four years ago.
[26:09.800 --> 26:20.800]  And they went to Obama and Hillary, and they said, listen, if we go in there, Russia's got a deal to defend them. There was Russian troops. This is sovereign nation. They're going to fight us.
[26:20.800 --> 26:27.800]  And at that point, they said the military is not going to do this. And there was a stand down. There was a soft coup. We should get Dr. Pchenek on the mar to talk about this is so big.
[26:27.800 --> 26:35.800]  Now it's got to the point where they go, oh, barrel bombs like babies out of incubators. They've always got some red, you know, shirt to wave.
[26:35.800 --> 26:41.800]  Oh, my gosh, they're dropping big bombs on Al-Qaeda. They're dropping big bombs on the Wahhabist.
[26:41.800 --> 26:51.800]  Oh, my gosh, their country got invaded. They got attacked. They were working with the West. Syria was a good guy compared to Saudi Arabia.
[26:51.800 --> 26:58.800]  Saudi Arabia attacked us on 9-11, folks. We attacked Iraq, their arch enemy, that was secular and sold playboys on store shelves.
[26:58.800 --> 27:04.800]  And women didn't have to wear hijabs. And 60% of their college graduates were women.
[27:04.800 --> 27:09.800]  The government of Iraq had more women in it than any other government in the Middle East, next to Libya.
[27:09.800 --> 27:15.800]  And again, what you see is truly more progressive states that want to work with the West getting set up.
[27:15.800 --> 27:23.800]  Don was trained by the CIA. It's declassified. He was set up and told to attack Kuwait. Look it up.
[27:23.800 --> 27:27.800]  We've been attacking the guys that don't have the beards, the guys that play rock and roll music.
[27:27.800 --> 27:33.800]  I'm not saying that's the sound of freedom. I'm just pointing out, for Saudi Arabia, this is the bait and switch. Let's play this clip one more time.
[27:33.800 --> 27:41.800]  What about the option of controlling the airspace so that that barrel bombs cannot be dropped?
[27:41.800 --> 27:45.800]  What do you think of that option, sir?
[27:45.800 --> 27:55.800]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[27:55.800 --> 28:00.800]  That's a pretty fundamental decision that certainly I'm not going to make.
[28:00.800 --> 28:06.800]  World War III. And then if you watch, which I've been watching hours of, the Russian Ministry of Defense briefings,
[28:06.800 --> 28:11.800]  and then they've got brave people in the field as generals that look like they're about to die, completely freaked out going,
[28:11.800 --> 28:15.800]  and they're moving in their forces and they're getting ready to attack us and we're getting our weapons ready.
[28:15.800 --> 28:19.800]  And I just, we hope, and it's like doomsday, folks.
[28:19.800 --> 28:24.800]  I mean, these shots are like Russians with big, like red globes behind them and like satellite tracking,
[28:24.800 --> 28:27.800]  and they're just sitting there like they're in a doomsday bunker.
[28:27.800 --> 28:34.800]  And the average American has no idea what's going on. No idea.
[28:34.800 --> 28:36.800]  So, yeah, the debate tomorrow is big.
[28:36.800 --> 28:39.800]  And I was really anticipating it. We're going to be covering it live.
[28:39.800 --> 28:42.800]  infowars.com, port slash show for the free feed.
[28:42.800 --> 28:48.800]  An hour before live coverage, live uneripped debate and then two hours of analysis after at least.
[28:48.800 --> 28:52.800]  Your phone calls and more infowars.com, port slash show and some of these same stations carrying it.
[28:52.800 --> 29:05.800]  But meanwhile, World War Three in their own words is being prepared.
[29:23.800 --> 29:24.800]  with our modern diets.
[29:24.800 --> 29:32.800]  Secret 12 by infowars life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[29:32.800 --> 29:37.800]  It pairs two forms of vitamin B12 into one explosive formula.
[29:37.800 --> 29:43.800]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[29:43.800 --> 29:46.800]  But it also assists with many other functions of the body.
[29:46.800 --> 29:49.800]  Electrify your mind and body and take your health to the next level.
[29:49.800 --> 29:53.800]  Experience the power of Secret 12 at infowarslife.com.
[29:53.800 --> 30:20.800]  That's infowarslife.com.
[30:24.800 --> 30:26.800]  Deep cleanse doesn't hold back.
[30:26.800 --> 30:30.800]  Instead of buying five, six or even seven different cleansing products,
[30:30.800 --> 30:35.800]  we use decades old scientific research that puts together the Rolls Royce of all-in-one cleansing.
[30:35.800 --> 30:42.800]  Look, there's a reason deep cleanse is the only product on the market that uses our proprietary spike-GRX herbal processing technique.
[30:42.800 --> 30:46.800]  We use only the highest quality organic herbs backed by serious research.
[30:46.800 --> 30:49.800]  And we still bring it to you at the best price out there.
[30:49.800 --> 30:53.800]  To find deep cleanse and experience the all-in-one cleansing, visit infowarslife.com.
[30:53.800 --> 31:20.800]  At infowarslife.com or call 888-253-3139.
[31:23.800 --> 31:52.800]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[31:52.800 --> 31:58.800]  Go to infowarsstore.com or call 888-253-3139.
[32:23.800 --> 32:28.800]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity,
[32:28.800 --> 32:34.800]  and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives
[32:34.800 --> 32:41.800]  to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats and amino acids it needs to do its healing work,
[32:41.800 --> 32:45.800]  you need to check out infowarsteam.com.
[32:45.800 --> 32:47.800]  Give your body the gift of good nutrition.
[32:47.800 --> 32:49.800]  Head over to infowarsteam.com.
[32:49.800 --> 32:52.800]  Your body will be very grateful.
[32:52.800 --> 32:55.800]  On the web at infowarsteam.com.
[32:55.800 --> 33:02.800]  That's infowarsteam.com.
[33:02.800 --> 33:10.800]  You're listening to the Alex Jones Show.
[33:10.800 --> 33:19.800]  The answer to 1984 is 1776.
[33:19.800 --> 33:22.800]  You're listening to the Alex Jones Show.
[33:22.800 --> 33:27.800]  Now to be clear, I'm going to be going to bed very early at night.
[33:27.800 --> 33:29.800]  I'm going to go home right after this show.
[33:29.800 --> 33:31.800]  It's six o'clock central.
[33:31.800 --> 33:34.800]  I'm going to hang out with my family and have a little dinner.
[33:34.800 --> 33:41.800]  At six o'clock I'm going to put on my little nightcap and climb into bed and get to bed by about 9.30.
[33:41.800 --> 33:45.800]  Because tomorrow I'm going to be hosting four hours of the worldwide broadcast.
[33:45.800 --> 33:47.800]  It's been around for 19 years.
[33:47.800 --> 33:50.800]  I've been on radio for 21, but 19 years syndicated.
[33:50.800 --> 33:52.800]  11 a.m. to 3 p.m.
[33:52.800 --> 33:57.800]  And then I am going to go in my office and I'm going to take a nap for a couple hours.
[33:57.800 --> 33:59.800]  A four snap to recharge.
[33:59.800 --> 34:02.800]  Not that I even need it, but I'm not as on if I don't.
[34:02.800 --> 34:04.800]  I'm going to go take a nap for a couple hours.
[34:04.800 --> 34:05.800]  I'm going to take a shower.
[34:05.800 --> 34:06.800]  Got a shower in my office here.
[34:06.800 --> 34:09.800]  And then I'm going to get dressed and suited up and researched for an hour or so.
[34:09.800 --> 34:14.800]  And I'm going to go for an hour with a round table discussion before the big debate tomorrow.
