[00:00.000 --> 00:28.000]  this Wednesday.
[04:55.640 --> 04:58.640]  on and on, it's all coming upstairs.
[04:58.640 --> 05:05.920]  Well, it's here, the year 2020, world governments out in the open, we've got the predicted mass
[05:05.920 --> 05:10.800]  pandemics and they're calling for global government as the answer, and we've got massive, huge
[05:10.800 --> 05:16.480]  censorship taking place, it's coordinated by big tech and banks against people that promote
[05:16.480 --> 05:21.880]  America, and guns, and freedom, and Jesus, and the family, and the protection of the
[05:21.880 --> 05:27.280]  unborn, wow, yes, now we know we're right, the new world order's real, Satanism's real,
[05:27.280 --> 05:31.120]  the pedophile, the leader real, but we're real as well, and we love God, and we're standing
[05:31.120 --> 05:35.880]  up and saying no, but I just want to make the point here, one month into 2020, that we have
[05:35.880 --> 05:41.040]  never been in Kansas, we have never been in some small, little place that didn't matter,
[05:41.040 --> 05:46.160]  everything we do, every decision we make governs the future of our species, and everything
[05:46.160 --> 05:48.640]  we've gone through, and everything we're going to go through, so it's an incredible town
[05:48.640 --> 05:53.400]  to be alive, and I want to thank you all for being aware and being involved, but just remember,
[05:53.400 --> 05:58.080]  your action now, be a prayer, word of mouth, and financial support at www.mplorestore.com
[05:58.080 --> 06:25.700]  is critical, so please take action.
[06:25.700 --> 06:39.280]  And yes it is, the only way InfoWars has any power, the only way we break through the globalist
[06:39.280 --> 06:46.120]  propaganda Berlin Wall, that electronic iron curtain is you, your will, your human intelligence,
[06:46.120 --> 06:55.560]  your action, spreading the live links at man.video, infowars.com, newswars.com, and yes, the site
[06:55.560 --> 07:04.840]  Band Up video is exploding, but it's not enough, we need to be reaching hundreds of millions
[07:04.840 --> 07:11.480]  of people a day, not tens of millions, we need to absolutely blow through the enemy,
[07:11.480 --> 07:17.680]  blockade their attempt to shadow ban us the Phantom Zone, because this transmission is
[07:17.680 --> 07:25.160]  critical, is vital to the future of humanity, we are fighting for the pro-human future,
[07:25.160 --> 07:30.360]  we've cracked the globalist code, we know who runs it, we know how to stop them, and
[07:30.360 --> 07:37.640]  the enemy's fear of this operation has been there undoing, I can tell you what's the
[07:37.640 --> 07:42.240]  positive news, we're getting the really serious bad news, but knowing the bad news is half
[07:42.240 --> 07:48.280]  the battle, so we can deal with it, I got a lot of phone calls in the last 24 hours
[07:48.280 --> 07:54.120]  by a lot of high powered people, and I'll just leave it at that, let's just say folks
[07:54.120 --> 07:59.720]  up at the top of the food chain, in media and in government, literally asking me my
[07:59.720 --> 08:05.160]  opinion on the world, and what I thought, and I said the same thing to at least three
[08:05.160 --> 08:12.360]  of them, I said well you can turn to the show any day, and see what I'm saying, and they
[08:12.360 --> 08:19.400]  said Alex, the strangest thing was several of them said Alex, we need you to condense
[08:19.400 --> 08:25.960]  it down, because you just go for hours and hours, and no one can digest that, can you
[08:25.960 --> 08:32.320]  put out a daily briefing, can you put out like a two minute report, it was crazy, it's
[08:32.320 --> 08:38.840]  weird how the ether works, how six cents works, how everybody's psyching to a certain extent,
[08:38.840 --> 08:43.080]  because I've got all these phone calls by high powered people this weekend, Friday and
[08:43.080 --> 08:49.720]  Saturday, and they were all basically asking what I think is about to happen, and I was
[08:49.720 --> 08:59.800]  saying to them well, I'll be honest with you, I don't know, because I don't think anybody
[08:59.800 --> 09:04.920]  knows what's about to happen, you can see out into the future, if you've done the research
[09:04.920 --> 09:11.840]  and you've done the work and you are focused on it and you are lined up with God, but you
[09:11.840 --> 09:19.200]  see God gives us free will, so the decisions we make and what we do is what is going to
[09:19.200 --> 09:25.920]  have a large effect on the steerage and the direction we go as a culture and as a species,
[09:25.920 --> 09:30.720]  and that's really what it's all about, is the globalists tell us humans suck and we're
[09:30.720 --> 09:36.640]  bad and we're ugly and we need to be gotten rid of, and that's just not the case, and
[09:36.640 --> 09:40.200]  anything the New World Order is pushing you know is pure death, so let me just say it
[09:40.200 --> 09:47.280]  this way, we've got of all the guests I could get on, the guest you've been hearing more
[09:47.280 --> 09:50.520]  and more frequently on the show because he's so smart, so aware of what's happening, Mike
[09:50.520 --> 09:58.320]  Adams, and he's married to a lady from China, Hong Kong, Taiwan, whole region, and he's
[09:58.320 --> 10:02.720]  got business over there, and he's an engineer and he's a scientist and he has a lot of context,
[10:02.720 --> 10:06.440]  and I don't just believe Mike Adams, I've been reading stuff, he's been writing about
[10:06.440 --> 10:13.080]  a naturalnews.com and noticing three or four days later with this whole coronavirus Wuhan
[10:13.080 --> 10:18.000]  situation, it's exactly what he said but three or four days later, so we've got his story
[10:18.000 --> 10:26.520]  posted as well up on infowars.com and newswars.com, and at the bottom of the hour he's going to
[10:26.520 --> 10:38.160]  join us and we're going to lay out how serious this is on so many fronts, but before that
[10:38.160 --> 10:41.640]  I'm going to hit a bunch of other news and then after he leaves us I'll get into the
[10:41.640 --> 10:49.280]  other pieces to this, but 2020 is already shaping up, only 26 days into it to be one
[10:49.280 --> 10:54.680]  hell of a year like so many people at a gut level thought it would be, China warns that
[10:54.680 --> 11:00.800]  coronavirus can spread before symptoms show as death toll rises CNN, well we told you
[11:00.800 --> 11:07.120]  back on Monday that it's going through the eyes, it's a 10 day incubation period and
[11:07.120 --> 11:10.680]  that it's already spread across the world and now that's all confirmed exactly as our
[11:10.680 --> 11:16.920]  source has said, not just Mike Adams but others, coronavirus victim rides around and shakes
[11:16.920 --> 11:20.840]  uncontrollably on hospital trolley, I mean we've just got hundreds of these horrifying
[11:20.840 --> 11:25.480]  videos of armored vehicles and people dropping dead and roads being blocked, people panicking,
[11:25.480 --> 11:33.320]  I mean it's like World War Z stuff but it's real, continuing, nobody can leave trapped
[11:33.320 --> 11:46.360]  in Wuhan residents stock up, but you see millions did already flee and already got on airplanes,
[11:46.360 --> 11:51.640]  they're an awesome one of the richest cities in the world, it's confirmed there's a large
[11:51.640 --> 11:59.280]  Chinese influx right now, so Wuhan's here folks, 56 million quarantine in China as evidence
[11:59.280 --> 12:05.960]  mounts communist government cover up true death toll and scale of pandemic, we put that out
[12:05.960 --> 12:12.520]  three days ago on the show, two days ago in articles and now I can show you AP Reuters
[12:12.520 --> 12:20.440]  with the exact same headline, because I've been holding back on the intel we have just
[12:20.440 --> 12:29.600]  because I don't want to be wrong, but in a situation like this you've got to speculate,
[12:29.600 --> 12:37.640]  breaking coronavirus hits 15% fatality rate, 83% infection rate for those exposed, that's
[12:37.640 --> 12:43.960]  an informer's dot com article and it's thought my cat has researched others in it, but it's
[12:43.960 --> 12:51.440]  a lands it, lands it is the big respected medical journal and off of the sample rate
[12:51.440 --> 12:56.440]  they did that's what they found, now the good news is it was very low sample rate of people,
[12:56.440 --> 13:01.360]  so hopefully this study is skewed massively and not normally the three to five percent
[13:01.360 --> 13:09.080]  or so, but regardless, this is not your normal SARS which is also coronavirus, it's way
[13:09.080 --> 13:14.600]  worse than SARS, here's another one, G says China faces a great situation as virus toll
[13:14.600 --> 13:22.160]  climbs, new research cast out on coronavirus epidemic started at Wuhan food market, oh
[13:22.160 --> 13:28.920]  yeah people eating bats, as fun as it is to talk about folks this didn't come out of somebody
[13:28.920 --> 13:34.960]  eating a bat, the fact that the Chinese are so run down and so starving on average and
[13:34.960 --> 13:42.560]  Mount nourished is the big takeaway, so yes the kill rate of what's happening to Chinese
[13:42.560 --> 13:46.760]  won't be as bad, but it's still terrible and we feel for everybody, and again the Chinese
[13:46.760 --> 13:54.440]  are great people, they just are the most homogeneous people whose genetic bloodline other than
[13:54.440 --> 14:03.360]  Korean's is the most close to itself, and so when you have a genetic bloodline that
[14:03.360 --> 14:10.440]  is so similar it makes it very easy to, well let's just say this, in plants they know that
[14:10.440 --> 14:16.800]  hybrid vigor makes a plant much stronger to disease and things like that, I mean it's
[14:16.800 --> 14:23.880]  true anybody will tell you a mutt dog is tougher, lives longer, has less health problems, I
[14:23.880 --> 14:27.680]  mean everybody knows that, some hybrid super dog, you know, yeah it's supposedly super
[14:27.680 --> 14:33.600]  dog but you know it's got some problems to say the least, like royal families or the
[14:33.600 --> 14:39.760]  Egyptian royals or any of that, I mean inbreeding is not a good thing, okay, and it's not that
[14:39.760 --> 14:49.880]  Chinese are inbred it's that their genetic system is so, their genome is very similar,
[14:49.880 --> 14:59.360]  so they're in for a lot of trouble, China is the time bomb, and they've got a bunch
[14:59.360 --> 15:02.560]  of nuclear weapons and the whole thing's a giant stinking mass, but like I said when
[15:02.560 --> 15:07.520]  Mike Adams joins us, here's the bottom line, and maybe we should put the headline up that's
[15:07.520 --> 15:12.600]  the live feed on Info Wars and News Wars today, I mean I wrote the headline 30 minutes
[15:12.600 --> 15:18.000]  ago, I forget the exact headline, maybe we can just pull it up, but it's Xi admits
[15:18.000 --> 15:29.960]  that China is in a major crisis as fears mount that this is a man made bio weapon, I mean
[15:29.960 --> 15:37.240]  that's really, there it is, Sunday live, Xi admits China in grave situation, fears
[15:37.240 --> 15:42.560]  mount virus is man made, bio weapon, U.S. orders evacuation, I mean that's all from
[15:42.560 --> 15:48.120]  stuff being announced, I didn't just pull that out of the ether, lands that confirms
[15:48.120 --> 15:54.920]  Chinese labs release coronavirus strains four times, fifth case in the U.S. confirmed, and
[15:54.920 --> 15:59.960]  there's a high death rate of this, so they're always hopping the flu, this is way more deadly.
[15:59.960 --> 16:05.520]  We've got three big sales going right now, and one of them has to end within a week,
[16:05.520 --> 16:13.640]  and that's ultimate fish oil for 33% off, it's amazing, go check it out for yourself.
[16:13.640 --> 16:19.120]  Then we've got back in stock X2, our best selling deep earth crystals iodine, the good
[16:19.120 --> 16:23.000]  halogen that is the building block to everything in the body, and I just can't tell you enough
[16:23.000 --> 16:27.800]  how important it is, the UN admits two billion people have low IQ or mental disability because
[16:27.800 --> 16:33.160]  they never got enough iodine, so just check it out for yourself, 40% off infowarstore.com
[16:33.160 --> 16:39.200]  and it funds the M4 and then vitamin D3 with vitamin K that fuses it together, super high
[16:39.200 --> 16:44.160]  quality, winter sun, you don't have sun during the winter, sun helps your body produce the
[16:44.160 --> 16:48.800]  vitamin D3, that's why people get so sick, that's the main reason, well you can supplement
[16:48.800 --> 16:53.040]  with this under the tongue, get higher absorption, it's amazing, all three of these are on sale
[16:53.040 --> 17:03.600]  but only for a limited time at infowarstore.com, protect yourself and fund the M4, 360 win.
[17:03.600 --> 17:33.440]  Thank you so much for watching this video, I hope you enjoyed it, I'll see you next time.
[17:33.600 --> 18:02.440]  Thank you so much for watching this video, I hope you enjoyed it, I'll see you next time.
[18:02.440 --> 18:19.800]  Thank you for watching this video, I hope you enjoyed it, I hope you enjoyed it, I hope
[18:19.800 --> 18:42.880]  you enjoyed it, I hope to see you next time.
[18:42.880 --> 18:45.600]  Thanks to your support and God's grace and our action.
[18:45.600 --> 18:47.360]  But you need these products.
[18:47.360 --> 18:50.280]  That's the real reason you want to get them is because they're amazing.
[18:50.280 --> 18:54.440]  And then when you get great results, please tell others about it word of mouth.
[18:54.440 --> 18:58.120]  That's how we expand in the face of the NWO instead of imploding.
[18:58.120 --> 19:00.000]  We're fighting to win and we are winning.
[19:00.000 --> 19:02.280]  Thanks to you.
[19:02.280 --> 19:05.440]  This should really be easier than it is.
[19:05.440 --> 19:07.520]  I'm not here giving you a sales pitch.
[19:07.520 --> 19:10.280]  I'm pointing out the way forward.
[19:10.280 --> 19:15.720]  Things that I've discovered that I absolutely know work that if you listen to me and try
[19:15.720 --> 19:19.200]  them out for yourself, you will see how amazing it is.
[19:19.200 --> 19:25.640]  And then your support of the product we're selling will help you and will help us.
[19:25.640 --> 19:26.800]  And it's symbiotic.
[19:26.800 --> 19:32.200]  My friends, I harp and harp and harp about iodine because it's the good halogen, fluoride
[19:32.200 --> 19:33.560]  is the bad halogen.
[19:33.560 --> 19:38.440]  And people told me about it for years and I didn't listen and I'm so thankful that finally
[19:38.440 --> 19:45.720]  I listened to Dr. Grip like eight years ago and started taking true iodine, atomic iodine.
[19:45.720 --> 19:51.520]  We've got it back in stock X2, 40% off right now at infowarstore.com and I'm telling you
[19:51.520 --> 19:53.400]  folks, get it.
[19:53.400 --> 19:54.920]  It's amazing.
[19:54.920 --> 19:58.120]  Discover the benefits and it funds the info war a 360 win.
[19:58.120 --> 20:07.120]  You can't lose unless you don't take action.
[20:07.120 --> 20:33.160]  If you are receiving this transmission, you are the resistance live from the info wars
[20:33.160 --> 20:44.120]  dot com studios, it's Alex Jones.
[20:44.120 --> 20:51.160]  Next segment, we're going to lay out very best thinking and the best research on what's
[20:51.160 --> 20:57.600]  really going to happen with this situation over in China, that's now spread to the United
[20:57.600 --> 21:02.240]  States, the fifth case of this very high mortality rate.
[21:02.240 --> 21:06.600]  Now back when SARS and other events happened and we saw the World Health Organization involved
[21:06.600 --> 21:12.480]  the UM and what the virus is actually doing, it was clear that they were hyping it to promote
[21:12.480 --> 21:18.720]  world government and to get political power for this multinational scientific body to establish
[21:18.720 --> 21:25.360]  planetary government using the crisis of the bio weapon threat or the pathogen outbreak
[21:25.360 --> 21:26.360]  threat.
[21:26.360 --> 21:29.760]  But that was 20 years ago and then 10 years ago.
[21:29.760 --> 21:41.920]  This is now and this has a much higher confirmed kill rate and the word is from sources I have
[21:41.920 --> 21:42.920]  that are really smart.
[21:42.920 --> 21:52.640]  I'll just leave it at that, that there's people dying of other things in Wuhan and other areas.
[21:52.640 --> 21:58.360]  But this is like the beginning of a science fiction horror movie.
[21:58.360 --> 22:06.600]  The virus is strengthening, it's mutating and we know that the UN Bill of Malinigates
[22:06.600 --> 22:13.160]  and others have been developing weaponized versions of this.
[22:13.160 --> 22:19.000]  But that's how the US, Russia and China get around these UN conventions barring bio weapons
[22:19.000 --> 22:23.320]  as you call it research labs.
[22:23.320 --> 22:35.720]  So the big question is why did China go to war with the United States?
[22:35.720 --> 22:38.720]  There I just said it, didn't I?
[22:38.720 --> 22:45.680]  Did President Trump order this released?
[22:45.680 --> 22:49.280]  The reason I say that is because that's what the Chinese are being told.
[22:49.280 --> 22:56.720]  Have you ever seen James Bond movies?
[22:56.720 --> 22:59.080]  In fact, we should always just have this in the computer.
[22:59.080 --> 23:05.000]  I think it's from Russia with love, the Siamese or Chinese fighting fish video.
[23:05.000 --> 23:11.320]  You guys grab that, it's on YouTube and you've got the head of specter and you've got two
[23:11.320 --> 23:16.320]  fish in a container and one goes over and attacks the other but he gets tired and hurt,
[23:16.320 --> 23:17.320]  the other one dies.
[23:17.320 --> 23:23.800]  And the third fish waits and comes in and kills, the other one wins.
[23:23.800 --> 23:27.000]  And so I was having discussions with some of my colleagues today like who's behind this
[23:27.000 --> 23:31.160]  bio weapon release, clearly a bio weapon, whole history of it all and it's the multinational
[23:31.160 --> 23:33.560]  corporations which are specter.
[23:33.560 --> 23:39.760]  You know, Ian Fleming was high level, highest level of MI6, OSS and World War II and he
[23:39.760 --> 23:43.800]  wrote all these books about shadowy evil groups that want to depopulate the earth and
[23:43.800 --> 23:47.560]  bring in a world government and how they'll play the U.S. and Russia off against each
[23:47.560 --> 23:50.560]  other to do it.
[23:50.560 --> 23:54.840]  And oh my gosh, that's exactly what really goes on.
[23:54.840 --> 24:03.880]  And then the modern movies, based off stuff he wrote 30, 40, 50, 60 years ago.
[24:03.880 --> 24:07.280]  There's world government bodies that come in and take over areas.
[24:07.280 --> 24:12.160]  They claim for the environment but really it's about blocking water so they can take
[24:12.160 --> 24:16.160]  control.
[24:16.160 --> 24:18.640]  So as soon as you guys have the audio from that scene, we're going to play it.
[24:18.640 --> 24:19.640]  Just let me know what you do.
[24:19.640 --> 24:23.720]  I know I just sprung that on you.
[24:23.720 --> 24:28.400]  But I could sit here and do entertaining radio about all the stuff that's going on
[24:28.400 --> 24:29.400]  here.
[24:29.400 --> 24:32.120]  Rockets said to hit U.S. embassies and Iraq capital.
[24:32.120 --> 24:36.120]  That's pretty big news.
[24:36.120 --> 24:42.760]  And we've also got Bernie Sanders in the lead in all these different polls.
[24:42.760 --> 24:43.760]  I think he is in the lead.
[24:43.760 --> 24:49.400]  I mean, he beat Hillary Clinton four years ago and they stole the nomination from him.
[24:49.400 --> 24:53.480]  I don't like Bernie Sanders, but he's actually who got the Democrat nomination.
[24:53.480 --> 24:55.840]  They admitted that.
[24:55.840 --> 24:59.680]  We had superdelegates on video talk to our cameras and say, yes, Sanders won all these
[24:59.680 --> 25:00.680]  states.
[25:00.680 --> 25:01.680]  It doesn't matter.
[25:01.680 --> 25:03.560]  Hillary will be giving them.
[25:03.560 --> 25:09.600]  She's a woman.
[25:09.600 --> 25:15.800]  And now Obama's back trying to put down Sanders, all the rest of it, and CNN says Joe Rogan's
[25:15.800 --> 25:24.880]  an evil white supremacist and it's gay people because he endorsed Sanders, which is an attempt
[25:24.880 --> 25:31.960]  to make Sanders decried Rogan, but Sanders knows where the power is.
[25:31.960 --> 25:36.120]  This with grassroots is not with old networks.
[25:36.120 --> 25:40.560]  Smartest thing Sanders did was going on Joe Rogan's show, had a nice talk with Joe yesterday
[25:40.560 --> 25:45.760]  and nobody will ever know the details of it, but Joe's figuring stuff out and Joe never
[25:45.760 --> 25:46.760]  sold out.
[25:46.760 --> 25:48.360]  I figured this out.
[25:48.360 --> 25:50.480]  He's just trying to stay neutral like Switzerland.
[25:50.480 --> 25:52.520]  He's a smart guy.
[25:52.520 --> 26:01.800]  But see, sometimes you just can't stay neutral.
[26:01.800 --> 26:08.320]  And so I think, well, I know advice I've given Joe is certainly coming home to lose for him
[26:08.320 --> 26:13.680]  because, man, he just tried to stay out of their way and just try to be himself and they're
[26:13.680 --> 26:18.160]  not going to let you do that, Joe, because they're jealous of the people of anything
[26:18.160 --> 26:19.160]  popular.
[26:19.160 --> 26:21.720]  It's like Ford versus Ferrari.
[26:21.720 --> 26:22.720]  It's true story.
[26:22.720 --> 26:24.320]  The guy could outrun any of those cars.
[26:24.320 --> 26:27.720]  They made him lose some of the matches because it made it more entertaining.
[26:27.720 --> 26:32.240]  Well, they don't even want your car on the racetrack, buddy, because it's been done to
[26:32.240 --> 26:33.240]  me and I know.
[26:33.240 --> 26:37.960]  And see, I want to be on the real racetrack and not be in competition with all the other
[26:37.960 --> 26:42.920]  talk show hosts, but see what we can do to empower humanity and tell everybody how great
[26:42.920 --> 26:49.680]  they are, which really works, encourage people, give them knowledge, teach them all the secrets
[26:49.680 --> 26:53.320]  so they can learn more secrets and teach us those.
[26:53.320 --> 26:58.240]  But I told Joe, I said, this is how they're going to come at you.
[26:58.240 --> 27:02.440]  And I even told them the ways they do it.
[27:02.440 --> 27:05.160]  And they exactly what I told them has happened.
[27:05.160 --> 27:09.560]  And I told him, I said, I'm not laying this blueprint out to give them a blueprint.
[27:09.560 --> 27:11.440]  They've already got a blueprint on you.
[27:11.440 --> 27:13.840]  But just think about that.
[27:13.840 --> 27:22.360]  They're already starting to talk about canceling him, de-platforming him because he endorsed
[27:22.360 --> 27:23.360]  Bernie.
[27:23.360 --> 27:26.200]  So now you endorse the communist.
[27:26.200 --> 27:29.440]  You're an evil white male homophobe.
[27:29.440 --> 27:30.440]  You've got to be taking it.
[27:30.440 --> 27:31.720]  It's just the establishment, folks.
[27:31.720 --> 27:32.720]  That's all it is.
[27:32.720 --> 27:36.880]  They don't want Bernie Sanders because they don't control Bernie Sanders.
[27:36.880 --> 27:38.840]  Bernie Sanders is an ideologue.
[27:38.840 --> 27:43.600]  Bernie Sanders is a classic communist that can't find his ass with both hands.
[27:43.600 --> 27:49.720]  He mismanages everything into a gutter, but Bernie Sanders really believes his BS.
[27:49.720 --> 27:54.760]  There's an authentic-ness to his stink.
[27:54.760 --> 28:02.000]  The globalists didn't own him from day one, just like they don't own Trump, so they don't
[28:02.000 --> 28:03.000]  like him.
[28:03.000 --> 28:04.000]  Does Trump have problems?
[28:04.000 --> 28:05.000]  Yeah, oh, he bet he does.
[28:05.000 --> 28:06.000]  We all do.
[28:06.000 --> 28:07.760]  But Trump didn't come out of the loins of the New World Order.
[28:07.760 --> 28:08.760]  That's why they can't stand him.
[28:08.760 --> 28:15.560]  And isn't it Bernie Sanders, but you see, the people want what's from the people.
[28:15.560 --> 28:19.600]  Even if it's a horrible thing like Bernie Sanders, bad stuff comes out of the people.
[28:19.600 --> 28:22.520]  That's still, that's an organic tumor.
[28:22.520 --> 28:24.160]  That's a real thing right there.
[28:24.160 --> 28:25.160]  So is Trump.
[28:25.160 --> 28:26.160]  So am I.
[28:26.160 --> 28:27.160]  So are you.
[28:27.160 --> 28:28.160]  And everybody can smell it.
[28:28.160 --> 28:30.360]  Everybody knows who's real.
[28:30.360 --> 28:34.080]  Everybody knows the real thing from the fake thing.
[28:34.080 --> 28:37.040]  The real thing's got an electricity about it.
[28:37.040 --> 28:38.040]  Authentic-ness.
[28:38.040 --> 28:41.760]  Even if it's wrong, it's still true.
[28:41.760 --> 28:45.160]  Like Dave Chappelle said, super deep what he said of that speech when he got that award
[28:45.160 --> 28:46.160]  three weeks ago.
[28:46.160 --> 28:47.520]  He said, there's truth to comedy.
[28:47.520 --> 28:48.520]  It's all truth.
[28:48.520 --> 28:52.040]  Even to what the person's saying is wrong, the fact that they're allowed to say it in
[28:52.040 --> 28:54.640]  that platform of openness is the truth.
[28:54.640 --> 29:00.000]  Oh, hallelujah to that, Dave Chappelle.
[29:00.000 --> 29:05.280]  If you understand why the globalist, why the servants of Satan hate info wars, it's because
[29:05.280 --> 29:11.800]  we're awake, we're alive, we're passionate, and we're not giving up.
[29:11.800 --> 29:16.520]  That's why it's critical for those of us that are aware of the New World Order's plans
[29:16.520 --> 29:21.360]  to not get down when they attack us, and they persecute us, and they lie about us.
[29:21.360 --> 29:25.760]  That's what we should expect because we are hurting these scumbags.
[29:25.760 --> 29:29.760]  The globalists have literally sold their souls to the dark side, and they do what they do
[29:29.760 --> 29:35.720]  because they're slaves, because they are eternally driven to try to suppress and dominate and
[29:35.720 --> 29:37.240]  destroy the innocent.
[29:37.240 --> 29:43.720]  It is up to us who are awake, not the sheep and not the wolves, but the sheep dogs to stand
[29:43.720 --> 29:47.160]  firm and resist these wicked tyrants.
[29:47.160 --> 29:52.800]  They fear the fact that we are awake, they fear the fact that we are alive, they fear
[29:52.800 --> 30:00.360]  the fact that we love God, and that's all we ever have to know is that God is in charge.
[30:00.360 --> 30:04.080]  Since the beginning, Secret 12 has been one of our most popular formulas.
[30:04.080 --> 30:07.640]  Now we're bringing you an all new version of your favorite formula to help you reach
[30:07.640 --> 30:08.880]  your energy peak.
[30:08.880 --> 30:33.040]  It's no secret that our daily lives are becoming more stressful.
[30:33.040 --> 30:36.600]  No matter what side of the political spectrum you're on, we're all feeling a strain from
[30:36.600 --> 30:37.600]  rising pressure.
[30:37.600 --> 30:41.360]  That's why we worked hard to create a new formula to support your fight against stress
[30:41.360 --> 30:42.840]  in your hectic day.
[30:42.840 --> 30:47.200]  Chill Force is our solution for a true, healthy, relaxation support formula.
[30:47.200 --> 30:51.360]  As the long-awaited sister formula to Brain Force Plus, this formula includes powerful
[30:51.360 --> 30:55.200]  ingredients and time-tested practices to help fight your stress levels.
[30:55.200 --> 30:56.640]  It's time to take a breather.
[30:56.640 --> 31:00.360]  Get Chill Force today at infowarstore.com.
[31:00.360 --> 31:08.000]  This time of year, I'm always promoting Winter Sun, our high-quality, organic vitamin D3,
[31:08.000 --> 31:09.840]  vitamin K combo.
[31:09.840 --> 31:14.560]  Because it's in the fall, it's in the winter, it's in the spring, that people aren't getting
[31:14.560 --> 31:20.360]  sunlight so your body can't produce the vitamin D it needs, and then that's the main reason
[31:20.360 --> 31:25.880]  people succumb to things like influenza and other deadly viruses that are wreaking havoc
[31:25.880 --> 31:26.880]  out there.
[31:26.880 --> 31:31.400]  It's a record that you've got to have this to live, not just to defend against these
[31:31.400 --> 31:32.400]  viruses.
[31:32.400 --> 31:37.160]  So right now, we have Winter Sun still available, even though we always order only so much for
[31:37.160 --> 31:38.840]  sale during the fall, winter, and spring.
[31:38.840 --> 31:46.400]  I'm going to let it sell out at the sales price of 40% off $23, despite the fact that
[31:46.400 --> 31:50.840]  I could sell it at full price because I want you to get it and I want to incentivize you
[31:50.840 --> 31:52.880]  protecting yourself and your family.
[31:52.880 --> 32:01.120]  So Winter Sun, taken out of the tongue, super high-quality, 40% off, available now at infowarstore.com.
[32:01.120 --> 32:05.800]  You deserve a deep restful sleep with knockout by InfoWarsLife.
