[00:00:17.441 --> 00:00:18.583]  Things are bad.
[00:02:51.599 --> 00:03:04.682]  Using deceptive headlines and cropped photos, just as they had done at the 2016 inauguration, mainstream media attempted to deceive the American people and hide the massive magnitude of this historic march.
[00:03:04.682 --> 00:03:13.765]  Most of the establishment media refused to show the amazing rooftop shots of the beginning of the rally at Freedom Plaza, where police estimated over 100,000 people met.
[00:03:16.380 --> 00:03:22.546]  This shot was taken from the middle of Freedom Plaza at 11.30 before the event even began.
[00:03:22.546 --> 00:03:33.418]  Alex Jones, greetings from the people of the Republic of Michigan!
[00:03:33.418 --> 00:03:36.321]  Thank you for all that you do!
[00:03:37.856 --> 00:03:48.780]  Over the next three hours, marchers continue to congregate, march down Pennsylvania Avenue, down Constitution Avenue, to the Supreme Court, where the final protest was held.
[00:03:48.780 --> 00:03:54.883]  We are unified by our spirit that God made and our connection to the Creator and the universe and our children.
[00:03:54.883 --> 00:03:56.443]  And we are unified.
[00:03:56.443 --> 00:04:01.045]  And this is the genesis point of the new revolution of information!
[00:04:03.413 --> 00:04:12.938]  Our crew walked all the way back to Freedom Plaza, where people were still congregating en masse and marching towards the Supreme Court building.
[00:04:12.938 --> 00:04:14.539]  Our contacts inside the D.C.
[00:04:14.539 --> 00:04:22.243]  police, who he had contracted for security, estimated that this march was bigger than Louis Farrakhan's Million Man March, and could have easily topped over one million.
[00:04:23.877 --> 00:04:29.761]  This information is vital to the future of the Republic and the establishment corporate media is fighting to suppress it.
[00:04:29.761 --> 00:04:37.767]  Only you can take this video and re-upload it everywhere you know and spread it to your friends, your family, your neighbors to get the truth out and save the Republic.
[00:04:37.767 --> 00:04:41.350]  I declare that Donald J. Trump won re-election in 2014!
[00:04:41.350 --> 00:04:45.293]  Four more years!
[00:04:45.293 --> 00:04:46.554]  Four more years!
[00:04:46.554 --> 00:04:47.655]  Four more years!
[00:04:58.576 --> 00:05:01.037]  America is in crisis.
[00:05:01.037 --> 00:05:05.878]  Emergency Lockdown 2 is coming under Biden.
[00:05:05.878 --> 00:05:12.159]  Support InfoWars for fighting its total economic collapse and Biden's martial law disguised as Lockdown 2.
[00:05:12.159 --> 00:05:20.721]  Up to 60% off, plus free shipping and triple Patriot points and more at InfoWarsStore.com, DNA Force, plus Alpha Power back in stock.
[00:05:21.081 --> 00:05:29.947]  Body's Ultimate Turmeric Formula, Ultra 12, Vitamin Mineral Fusion, Cava Chill, Super Metal Vitality, Super Female, and so many other amazing products.
[00:05:29.947 --> 00:05:34.250]  These are game-changing things that the globalists don't need to have.
[00:05:34.250 --> 00:05:39.294]  These are things that are absolutely elemental to what you and your body have to have to live.
[00:05:39.294 --> 00:05:43.297]  But regardless, buying these products from us funds the Info Wars, which is a 360 win.
[00:05:43.877 --> 00:05:45.139]  I want to thank you all for your support.
[00:05:45.139 --> 00:05:47.041]  I want to ask you to redouble your efforts to spread the word.
[00:05:47.041 --> 00:05:51.747]  I want to ask you to buy the products at InfoWareStore.com today, because without you, we won't be on the air.
[00:05:51.747 --> 00:05:52.928]  Again, I salute you and thank you all.
[00:05:52.928 --> 00:05:53.889]  The toll-free number is 888-253-3139.
[00:05:53.889 --> 00:05:56.933]  Please take action today at our emergency center.
[00:06:15.462 --> 00:06:17.643]  It is Monday, November 16th.
[00:06:17.643 --> 00:06:19.184]  The year is 2020.
[00:06:19.184 --> 00:06:30.890]  We are 65 days out from the inauguration of the war criminal, the globalist crime boss, the child trafficking shycom agent, Joe Biden, the puppet.
[00:06:32.100 --> 00:06:34.783]  And we have massive breaking news.
[00:06:34.783 --> 00:06:46.557]  I actually have to go off air for a few minutes and talk to some insiders, I'll leave it at that, on how the Clintons are now stealing Georgia, preparing to criminally certify it and how serious the situation is.
[00:06:46.557 --> 00:06:47.718]  But we have a path forward.
[00:06:48.579 --> 00:06:50.300]  First, I want to play a little bit of my speech.
[00:06:50.300 --> 00:06:52.540]  Yesterday, again, I'm your host, Alex Jones.
[00:06:52.540 --> 00:06:58.823]  My speech from Saturday at the Million Trump March that now they're estimating may have had close to a million people at it.
[00:06:58.823 --> 00:06:59.423]  It was historic.
[00:06:59.423 --> 00:07:01.464]  And then we will start the full transmission.
[00:07:01.464 --> 00:07:04.865]  But I've got big things unfolding right up to the minute I went on air.
[00:07:04.865 --> 00:07:06.165]  And I've got to make two more phone calls.
[00:07:06.165 --> 00:07:10.767]  I'll be ready to give you the inside information and where the Paul Revere's need to go.
[00:07:10.767 --> 00:07:12.287]  But let's go ahead and go to the special report.
[00:07:12.287 --> 00:07:15.408]  I want to salute you all here.
[00:07:21.372 --> 00:07:26.836]  The globalists are trying to steal our election.
[00:07:26.836 --> 00:07:32.480]  I want to tell you that this marks the start of the second American revolution.
[00:07:36.187 --> 00:07:39.088]  This is just as important as July 4th, 1776.
[00:07:39.088 --> 00:07:47.732]  The corrupt foreign media, run by the tycoons of the EU, openly said three years ago with G.G.P.
[00:07:47.732 --> 00:07:51.113]  at Davos that they would crush America and destroy Trump.
[00:07:51.753 --> 00:07:57.014]  And now the Davos group brags they've used the coronavirus against us, but China's open for business.
[00:07:57.014 --> 00:08:00.035]  America is going under leftist martial law.
[00:08:00.035 --> 00:08:09.337]  And if the communist Chinese agent, Joe Biden, is able to get in there, he will put America under permanent lockdown, siege, until we're brought to our knees!
[00:08:09.337 --> 00:08:11.798]  Tell it!
[00:08:11.798 --> 00:08:13.658]  Tell it, Alex!
[00:08:13.658 --> 00:08:18.099]  Ladies and gentlemen, President Trump, by every metric, won this election.
[00:08:21.537 --> 00:08:38.184]  That's why the corporate media, including Fox News, will not let anybody on to show the proven fraud in Pennsylvania, in Michigan, in Arizona, in Georgia, in Nevada, and in Minnesota.
[00:08:41.563 --> 00:08:48.872]  President Trump won by an even bigger margin, and the evidence of fraud is flooding out.
[00:08:48.872 --> 00:08:57.143]  And now Big Tech, that's allied with Communist China, is even suppressing people's text messages because the criminals are scared of you!
[00:09:00.816 --> 00:09:09.828]  The truest thing President Trump ever said was, they're not coming after me, they're coming after you.
[00:09:09.828 --> 00:09:13.553]  And the globalists know there's been a populist revolution worldwide.
[00:09:14.414 --> 00:09:18.218]  They know from Brazil to the UK there's a huge awakening.
[00:09:18.218 --> 00:09:32.512]  And they know from Africa to Canada, from Russia to Japan, there's an amazing awakening all over the world as free humanity dreams of a better future, not under Bill Gates and the New World Order!
[00:09:37.250 --> 00:09:42.773]  So I want to salute, and I want to thank, and I want to tell you all, you're incredible.
[00:09:42.773 --> 00:09:43.393]  The D.C.
[00:09:43.393 --> 00:09:52.278]  police are believing there's upwards of 100,000 people flying all the way back from where we came from.
[00:09:52.278 --> 00:09:56.920]  And more are coming, and this is just the beginning.
[00:09:56.920 --> 00:09:59.742]  Because no matter what happens with Trump, it's 1776 time! 1776!
[00:10:08.160 --> 00:10:08.180]  1776!
[00:10:08.180 --> 00:10:08.200]  1776!
[00:10:08.200 --> 00:10:08.481]  1776!
[00:10:08.481 --> 00:10:08.641]  1776!
[00:10:08.641 --> 00:10:08.661]  1776!
[00:10:08.661 --> 00:10:08.701]  1776!
[00:10:08.701 --> 00:10:28.653]  Death to the new world order, death to tyranny, and life to America and our unborn children!
[00:10:36.616 --> 00:10:50.366]  The pedophile globalists and their attempted election steal and the Clinton blackmail raves have only summoned the sweeping giant that is America!
[00:10:50.366 --> 00:10:59.994]  And you, and you, you are the tip of the spear!
[00:10:59.994 --> 00:11:01.435]  From all over this great land.
[00:11:02.700 --> 00:11:06.743]  Old, young, male, female, black, white, gay, straight.
[00:11:06.743 --> 00:11:08.344]  You want the American dream?
[00:11:08.344 --> 00:11:10.066]  You're not letting the globalists take it!
[00:11:10.066 --> 00:11:18.592]  And we're unified in our love of America, our love of God, our love of President Trump, and our love of our shared vision and our red blood!
[00:11:21.559 --> 00:11:27.643]  We are unified by our spirit that God made and our connection to the Creator and the universe and our children.
[00:11:27.643 --> 00:11:29.204]  And we are unified.
[00:11:29.204 --> 00:11:37.090]  And this is the genesis point of the new revolution of information!
[00:11:37.090 --> 00:11:42.653]  The Satanist pedophiles the Democrats represent knew the World Awakening was here.
[00:11:42.653 --> 00:11:47.817]  And so you're seeing right now their desperate operation against humanity.
[00:11:47.817 --> 00:11:50.179]  And make no mistake, they control the corporations.
[00:11:51.246 --> 00:11:56.311]  They control Hollywood, they control the blue cities and blue states and other governments.
[00:11:56.311 --> 00:12:07.263]  And they're going to stay locked down until you all go on welfare, until you all get a guaranteed universal income so they can force you to waive your rights to be forcibly inoculated.
[00:12:10.465 --> 00:12:18.408]  Biden's head of his new COVID task force, Biden the fake president, says kill old people at 75.
[00:12:18.408 --> 00:12:22.689]  That's Ezekiel Emanuel.
[00:12:22.689 --> 00:12:30.732]  And Ezekiel Emanuel says make people that give food stamps take Bill Gates's deadly vaccine.
[00:12:33.018 --> 00:12:50.672]  That violates the Geneva Convention, that violates the Nuremberg Code, and when you do it, you're coming at the American people with violence, and the American people have a right and a duty to resist by any means necessary!
[00:12:50.672 --> 00:13:00.961]  So like I told them in Dallas in a speech I gave 12 years ago, I don't know how all this fight's gonna end, but if the New World Order wants a fight, you better believe they've got one!
[00:13:04.591 --> 00:13:22.915]  Despite all their censorship, despite all their intimidation, despite all their attacks, despite all their lies trying to divide us, we are together and we are strong and we are unified and we are going to win!
[00:13:22.915 --> 00:13:24.776]  Trump is our president.
[00:13:24.776 --> 00:13:26.196]  Trump is our president.
[00:13:43.647 --> 00:13:49.072]  Ladies and gentlemen, these are the times that try men and women's souls.
[00:13:49.072 --> 00:13:50.272]  I'm your host, Alex Jones.
[00:13:50.272 --> 00:13:54.015]  Very honored to be here on air during this historic period.
[00:13:54.015 --> 00:13:58.039]  Very thankful that you tuned in to this live November 16, 2020 transmission.
[00:13:58.039 --> 00:14:01.041]  I have been on the phone with people in the Trump campaign.
[00:14:01.041 --> 00:14:11.950]  I've been on the phone with a lot of different top political strategists and for all intents and purposes, this election could be over for President Trump Thursday.
[00:14:13.831 --> 00:14:29.341]  He'll still hold on, he'll still not leave office because the fraud is real, but it will give the perception that the election has been certified and it'll make the road towards the White House for the second Trump term and us taking our country back.
[00:14:30.854 --> 00:14:32.115]  Very, very hard.
[00:14:32.115 --> 00:14:37.600]  But still, we have other recourses, obviously, because this is an illegal election backed by a foreign government.
[00:14:37.600 --> 00:14:40.382]  The evidence of fraud is now complete.
[00:14:40.382 --> 00:14:41.103]  It's absolute.
[00:14:41.103 --> 00:14:48.289]  They know the algorithms that were used by Dominion and by other companies to carry out the fraud.
[00:14:48.289 --> 00:14:54.154]  We have the witnesses at the ground level that saw the fraud that worked for Dominion and, again, other companies.
[00:14:54.154 --> 00:14:58.738]  So we have the systematic criminal formulae that was used to do this.
[00:14:59.977 --> 00:15:12.786]  But they think that by the time we get into next year and they crown Biden, they'll just keep the COVID lockdown going and use that as a distraction and use the Justice Department against people that resist this tyrannical takeover.
[00:15:12.786 --> 00:15:26.296]  There will then definitely be false flags that are staged once the globalists have complete control of the Justice Department again, to then blame the opposition to the New World Order takeover and to the Great Reset.
[00:15:26.296 --> 00:15:27.177]  The good news is,
[00:15:29.161 --> 00:15:37.228]  Klaus Schwab and Justin Trudeau and all these New World Order people have come out and admitted that they're using COVID-19 to bring in world government and world financial collapse.
[00:15:37.228 --> 00:15:40.391]  And one of the top trending terms is Great Reset.
[00:15:40.391 --> 00:15:48.097]  And so I've talked to a lot of high-level folks, even in government, that didn't get what this really was, a military, corporate, 21st century attack.
[00:15:48.097 --> 00:15:49.178]  Now they do.
[00:15:49.178 --> 00:15:54.743]  So the learning curve is just going straight up right now because the times are so dangerous.
[00:15:54.743 --> 00:15:56.885]  So there's a big sleeping giant waking up right now.
[00:16:08.171 --> 00:16:12.475]  Now it's easier than ever to have Band.Video on your iPhone.
[00:16:12.475 --> 00:16:15.978]  Simply go to Band.Video with your Safari browser.
[00:16:15.978 --> 00:16:19.241]  Then you click the Share button at the bottom of the screen.
[00:16:19.241 --> 00:16:22.784]  When the menu comes up, you simply click Add to Home Screen.
[00:16:22.784 --> 00:16:25.046]  It will then ask you to name the app.
[00:16:25.046 --> 00:16:26.448]  I suggest Band.Video.
[00:16:27.108 --> 00:16:32.570]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[00:16:32.570 --> 00:16:41.053]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[00:16:41.053 --> 00:16:48.895]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube, however you want.
[00:16:48.895 --> 00:16:50.576]  Be sure and share BAN.VIDEO.
[00:16:56.952 --> 00:16:58.873]  You know, something very sad is happening.
[00:16:58.873 --> 00:17:05.658]  It's very sad because it was all avoidable two and a half years ago when Infowars got banned off of more than 60 major platforms.
[00:17:05.658 --> 00:17:21.128]  I warned everybody there was a precedent for the upcoming presidential election and that they would continue to ratchet down and tighten down the censorship until effectively there was a total internet kill switch in place against conservatives, nationalists and populists.
[00:17:21.128 --> 00:17:21.829]  And now that's happened.
[00:17:22.429 --> 00:17:36.517]  And then I told everybody that they would then start moving to arrest individuals that demonstrate and protest using a second COVID-19 lockdown, and that Trump needed to get out front and fully repudiate COVID-19 as basically an overblown hoax.
[00:17:36.517 --> 00:17:43.540]  He started to do that in the last few months of the campaign, but we have to understand that that's the pincer attack they're going to use.
[00:17:43.540 --> 00:17:51.405]  They're going to use Black Lives Matter and race war to stir up the American people and divide us, and they're going to use economic warfare, shutting down the economy, to try to control us.
[00:17:52.305 --> 00:18:00.071]  I hope people will listen now to my warnings because I'm on air telling people what's coming next.
[00:18:00.071 --> 00:18:14.441]  You're listening to the Alex Jones Show.
[00:18:14.441 --> 00:18:19.145]  The President's head of the COVID-19 Task Force, Dr. Atlas,
[00:18:20.816 --> 00:18:41.657]  came out last night and tweeted with the governor of Michigan declared a total lockdown part two he said you're going to have to rise up or this isn't going to stop now why did he say that because it's the truth it's now official it is a global government corporate leftist move
[00:18:43.598 --> 00:18:50.763]  To lock us down permanently, and this is a literal mind control cult trying to scare everyone to submission.
[00:18:50.763 --> 00:18:54.045]  It's new numbers have come out that almost no one died of COVID.
[00:18:54.045 --> 00:18:59.909]  They add all the heart attacks, all the car wrecks, all the gunshot wounds, all the cancers, not just some.
[00:18:59.909 --> 00:19:01.530]  That's in the stack today.
[00:19:01.530 --> 00:19:04.592]  I'll be covering last segment of this hour.
[00:19:04.592 --> 00:19:10.837]  So we have that huge area to cover, and the huge awakening with the lockdown too,
[00:19:12.056 --> 00:19:27.579]  With the Davos Group, and the Democratic Party, and the Communist Party, and the EU, run by the UN, admitting this is about cutting the carbon footprint and ending our industrial consumer society.
[00:19:27.579 --> 00:19:30.400]  And they say, oh, in Agenda 2030, though, there'll be no more hunger.
[00:19:30.400 --> 00:19:34.581]  Yeah, because they're going to starve everybody to death in the next 10 years in the third world.
[00:19:34.581 --> 00:19:36.261]  The policies actually kill people.
[00:19:39.022 --> 00:19:43.683]  This is modern warfare, all packaged in a liberal, lisping NPR voice.
[00:19:43.683 --> 00:19:45.624]  It's devastatingly dangerous.
[00:19:45.624 --> 00:19:54.806]  And the good news is, it's so authoritarian, it's so evil, it's so over the top, people are going to resist this and it's going to probably end up blowing up in the globalist's face.
[00:19:54.806 --> 00:19:59.107]  But see, their whole plan is already under major siege.
[00:19:59.107 --> 00:20:00.167]  People have already exposed it.
[00:20:00.167 --> 00:20:03.348]  We fought it early on, knowing that this part of the agenda was coming.
[00:20:04.150 --> 00:20:11.256]  And so, they're trying to accelerate what they were planning to do in the next decade, all into the next year.
[00:20:11.256 --> 00:20:16.381]  While they manage it as your savior, telling you, stay in your house, so the world economy breaks down.
[00:20:16.381 --> 00:20:20.945]  This is unbelievable times we're living in.
[00:20:20.945 --> 00:20:24.689]  And the very group doing it, the UN says, oh, we need billions to feed the poor.
[00:20:24.689 --> 00:20:29.253]  They're all starving to death, and oh, the top
[00:20:30.247 --> 00:20:34.449]  The head of the UK military says, oh, this is going to cause wars and the breakdown of society.
[00:20:34.449 --> 00:20:36.229]  COVID is.
[00:20:36.229 --> 00:20:38.650]  No, it's the lockdown from COVID that's causing all the deaths.
[00:20:38.650 --> 00:20:40.851]  So that's all coming up.
[00:20:40.851 --> 00:20:52.876]  But next segment, I'm going to hit the true election fraud, 100% proven, absolutely documented, and what you need to do to stop it.
[00:20:52.876 --> 00:20:58.178]  And yes, I'm going to get on an airplane today or tomorrow.
[00:20:58.178 --> 00:20:58.898]  I'm going to Georgia.
[00:21:00.196 --> 00:21:03.860]  They're going to try to illegally certify it on Thursday.
[00:21:03.860 --> 00:21:07.684]  We're going to show you who the criminals are, who's running it.
[00:21:07.684 --> 00:21:10.067]  Hillary Clinton's consigliere.
[00:21:10.067 --> 00:21:12.770]  Her main lawyer is running the whole show illegally.
[00:21:12.770 --> 00:21:16.153]  Courts have ruled what they're doing is illegal.
[00:21:16.153 --> 00:21:20.078]  But if the legislature does not go into emergency session and stop it,
[00:21:21.220 --> 00:21:29.125]  There'll be no recount, no real investigation, and they're going to certify the election fraudulently, and that president will be used like dominoes in the rest of the country.
[00:21:29.125 --> 00:21:30.847]  And that's a fact.
[00:21:30.847 --> 00:21:35.910]  I'll break it all down next segment if you want to win.
[00:21:35.910 --> 00:21:43.275]  You better start getting on the plane or in the car and heading to the capital of Georgia.
[00:21:43.275 --> 00:21:45.737]  That is all unfolding right now, Paul Reveres.
[00:21:46.701 --> 00:21:52.324]  Because we can force the legislature to force the governor to order an emergency session and not certify it.
[00:21:52.324 --> 00:21:54.426]  The legislature must stand up now.
[00:21:54.426 --> 00:21:59.549]  But the governor, who works for the Clintons, not just his chief of staff, is the problem.
[00:21:59.549 --> 00:22:00.949]  That's coming up next segment.
[00:22:00.949 --> 00:22:02.390]  I gotta refuel though here.
[00:22:02.390 --> 00:22:03.451]  We need funding.
[00:22:03.451 --> 00:22:04.832]  And I make it easy for you to fund us.
[00:22:05.492 --> 00:22:17.377]  With the best high quality storable food, the best water filtration, the best air filtration, great t-shirts, great books, great films, great shortwave radios, non-gmo heirloom seeds, and some of the best nutraceutical grade supplements you're going to find.
[00:22:17.377 --> 00:22:23.440]  Our turmeric formula, 95% curcuminoid, leading competitors 3-5%, folks still get a great response.
[00:22:23.440 --> 00:22:29.763]  Your immune system, your stamina, your energy, your libido, inflammation, you name it, it goes after it.
[00:22:31.331 --> 00:22:41.857]  Also back in stock, sold out for months, Vazzo Beats, that again, cleans out your arteries, cleans out your heart, produces nitrous oxide in the blood.
[00:22:41.857 --> 00:22:49.061]  Look into why this incredibly strong beet extract is powerful and why folks are buying up all these different beet extracts.
[00:22:49.061 --> 00:22:52.242]  And this is one of the best out there because it really, really does amazing things.
[00:22:52.242 --> 00:22:58.046]  It's back in stock, 50% off, infowarestore.com, free shipping, triple patriot points, but that sale,
[00:22:58.726 --> 00:23:00.128]  I said it was going to end Wednesday.
[00:23:00.128 --> 00:23:01.429]  I haven't come up with a new sale yet.
[00:23:01.429 --> 00:23:02.851]  A lot of stuff is selling out.
[00:23:02.851 --> 00:23:04.252]  I may not even be in town again.
[00:23:04.252 --> 00:23:06.895]  This sale is ending very, very soon.
[00:23:06.895 --> 00:23:08.937]  The triple patron points, the free shipping, and all this.
[00:23:08.937 --> 00:23:11.740]  We'll still have some sales, but limited because this stuff is selling out.
[00:23:11.740 --> 00:23:14.663]  What is back in stock after a year?
[00:23:14.663 --> 00:23:15.785]  We hadn't ordered enough of it.
[00:23:15.785 --> 00:23:17.186]  It's sold out.
[00:23:17.186 --> 00:23:18.548]  Some of the ingredients are patented in it.
[00:23:19.568 --> 00:23:25.370]  Couldn't get them for 8 months, then suddenly it was available, but it was going to take them 3 months to get it to us.
[00:23:25.370 --> 00:23:29.832]  It just came in last week, and people are buying it all up because they got such great responses out of it.
[00:23:29.832 --> 00:23:32.913]  It's basically the dry version of super metal vitality.
[00:23:32.913 --> 00:23:37.714]  It's technically even stronger, but it's not cold pressed, so it's a different formula.
[00:23:39.881 --> 00:23:41.882]  LJ-100 in it.
[00:23:41.882 --> 00:23:43.082]  Look into what that is.
[00:23:43.082 --> 00:23:52.266]  Niacin, Zinc, Organic Maca Root, Horny Goatweed, Leaf and Stem, Tribulus, Tristerus, and so much more.
[00:23:52.266 --> 00:23:56.407]  And you can read what the Niacin, what the Zinc do, what the LJ-100 does.
[00:23:56.407 --> 00:24:04.130]  A patented extract from the Tiger Crit, Ali, that is the most concentrated and potent extract on the market.
[00:24:05.196 --> 00:24:11.041]  It's an ancient Malaysian herb that has been used for thousands of years traditionally for fertility and libido in men.
[00:24:11.041 --> 00:24:12.282]  Just come and leave it at that.
[00:24:12.282 --> 00:24:14.083]  Organic maca root concentrate.
[00:24:14.083 --> 00:24:15.004]  Horny goat weed.
[00:24:15.004 --> 00:24:16.345]  The name tells you everything.
[00:24:16.345 --> 00:24:17.787]  It works on women too, folks.
[00:24:17.787 --> 00:24:20.509]  Tribulus.
[00:24:20.509 --> 00:24:22.290]  And so much more.
[00:24:22.290 --> 00:24:22.971]  You need to get it.
[00:24:22.971 --> 00:24:24.372]  It's at Infowarstore.com.
[00:24:24.372 --> 00:24:24.872]  Out of the gates.
[00:24:24.872 --> 00:24:25.473]  50% off.
[00:24:25.473 --> 00:24:25.973]  Infowarstore.com.
[00:24:30.527 --> 00:24:32.988]  What else is back in stock and massively discounted?
[00:24:32.988 --> 00:24:34.969]  DNA Force Plus.
[00:24:34.969 --> 00:24:46.316]  Listen, with all the things in the environment and all the stressors on your immune system, you always need essential things like Vitamin Mineral Fusion that has all the vitamins, all the minerals that are essential and amino acids for better upload.
[00:24:46.316 --> 00:24:50.678]  It's still in stock selling out fast for adults and children.
[00:24:50.678 --> 00:24:54.200]  If you don't have your essential vitamins and minerals, anything will kill you.
[00:24:54.200 --> 00:24:54.921]  You'll just die.
[00:24:56.138 --> 00:24:58.019]  The system doesn't want you to know that.
[00:24:58.019 --> 00:25:01.242]  They want you living in fear, totally scared of everything.
[00:25:01.242 --> 00:25:05.485]  But now even Fauci says you need D3, you need zinc, you need C, or you die.
[00:25:05.485 --> 00:25:06.426]  It's a fact.
[00:25:06.426 --> 00:25:10.149]  Like water or air, it just takes longer to die.
[00:25:10.149 --> 00:25:11.230]  So I would take X2.
[00:25:11.230 --> 00:25:11.770]  It's essential.
[00:25:11.770 --> 00:25:16.214]  Nobody talks about iodine and what it does for your body and immunity and libido and everything else.
[00:25:16.214 --> 00:25:17.435]  All these things are synergistic.
[00:25:18.373 --> 00:25:19.354]  Get them, try them out.
[00:25:19.354 --> 00:25:20.515]  Some people like this better than that.
[00:25:20.515 --> 00:25:21.256]  Some people love this.
[00:25:21.256 --> 00:25:22.818]  Some people don't like that.
[00:25:22.818 --> 00:25:24.140]  You know, I like Knockout.
[00:25:24.140 --> 00:25:24.460]  It's great.
[00:25:24.460 --> 00:25:27.303]  It's got eight different known healthy ways to help you sleep.
[00:25:27.303 --> 00:25:29.225]  After a while, you might get a little bit tolerant to that.
[00:25:29.225 --> 00:25:32.129]  Now we have Rocket Rest at InfoWarsTore.com.
[00:25:32.129 --> 00:25:34.131]  It's got a different formulation.
[00:25:34.131 --> 00:25:35.953]  Wild dreams, you name it.
[00:25:35.953 --> 00:25:38.015]  But take KavaChill.
[00:25:38.015 --> 00:25:39.177]  It has been
[00:25:40.600 --> 00:25:43.022]  A best-selling product, even though it's relatively new.
[00:25:43.022 --> 00:25:44.704]  My dad developed it with a chemist.
[00:25:44.704 --> 00:25:46.365]  My dad's a retired doctor.
[00:25:46.365 --> 00:25:50.730]  And it's got a really strong kava extract in it.
[00:25:50.730 --> 00:25:52.811]  And last night I was having an anxiety attack.
[00:25:52.811 --> 00:25:54.753]  I mean, you know, like just really stressed out about things.
[00:25:54.753 --> 00:25:55.414]  Couldn't go to sleep.
[00:25:55.414 --> 00:25:57.376]  I was very upset about the New World Order.
[00:25:57.376 --> 00:25:58.597]  Couldn't stop reading information.
[00:25:58.597 --> 00:26:00.539]  My wife said, take one of the kava chills.
[00:26:00.539 --> 00:26:01.460]  I have great dreams on it.
[00:26:02.040 --> 00:26:04.323]  I took a 500 milligram one for a bigger guy.
[00:26:04.323 --> 00:26:06.625]  We have two different sizes, 250 and 500.
[00:26:06.625 --> 00:26:10.009]  Within 45 minutes, I was like, whoa, amazing dreams.
[00:26:10.009 --> 00:26:13.172]  Good, deep, hard sleep.
[00:26:13.172 --> 00:26:21.121]  I usually get up at like 5 a.m., kept hitting snooze, turned off the alarm clock, turned off the deal, and slept till 7.30 a.m.
[00:26:21.121 --> 00:26:22.142]  Never do that.
[00:26:24.264 --> 00:26:24.944]  Top of the show.
[00:26:54.383 --> 00:27:05.192]  The problem with social Darwinism is the so-called elites, the most cunning, smart, inventive people, believe that chivalry doesn't exist anymore.
[00:27:05.192 --> 00:27:10.076]  They don't believe in being aristocrats, trying to hold up civilization and empower the people.
[00:27:10.076 --> 00:27:14.700]  And once the establishment has that predatory idea, civilization collapses very, very quickly.
[00:27:14.700 --> 00:27:19.925]  You can't treat the least of us like garbage and not treat your own family like that.
[00:27:19.925 --> 00:27:22.387]  And so it is this lack of empathy that's going to destroy us.
