[00:00:13.112 --> 00:00:19.157]  Ladies and gentlemen,
[00:03:46.670 --> 00:03:52.633]  The president has already issued an ultimatum to himself.
[00:03:52.633 --> 00:03:58.836]  And so there's that line from a rock song, I forget who said it, but how can we sleep while our beds are burning?
[00:03:58.836 --> 00:04:00.757]  I mean, that's really what's going on here.
[00:04:00.757 --> 00:04:06.400]  So let me direct all TV viewers and radio listeners and the simulcast to DrudgeReport.com.
[00:04:06.400 --> 00:04:08.321]  We'll put that on screen, please.
[00:04:08.321 --> 00:04:11.643]  And right in the middle column,
[00:04:16.277 --> 00:04:27.570]  Right there in the middle column, third article down, fourth article down, new FCC bid to get drudge.
[00:04:27.570 --> 00:04:29.172]  They actually say get drudge.
[00:04:29.172 --> 00:04:35.539]  And that ties to the article linked below it from InfoWars.com, update Pentagon to fight
[00:04:40.727 --> 00:04:42.369]  Go back to stretch, please.
[00:04:42.369 --> 00:04:47.315]  Pentagon to fight.
[00:04:47.315 --> 00:04:49.858]  Viral internet content, close quote.
[00:04:49.858 --> 00:04:53.103]  So, I'm going to explain exactly why this is so huge when we come back.
[00:04:53.103 --> 00:04:53.743]  Please stay with us.
[00:05:00.007 --> 00:05:05.172]  It's been a year since InfoWars and our other channels were completely banned off of YouTube.
[00:05:05.172 --> 00:05:13.099]  We had over 5 billion views when we got banned, and we're credited with getting Donald Trump elected because we were able to punch through and reach the grassroots.
[00:05:13.099 --> 00:05:21.067]  Now as we enter the 2020 election cycle, it's more important than ever that there be a place where the censors are unable to block the signal.
[00:05:21.067 --> 00:05:22.108]  And it's now here.
[00:05:22.108 --> 00:05:22.868]  Banned.video.
[00:05:23.849 --> 00:05:38.432]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[00:05:38.432 --> 00:05:42.272]  Watch your favorite content from media personalities banned by big tech.
[00:05:42.272 --> 00:05:43.432]  Works on every device.
[00:05:43.432 --> 00:05:46.633]  Take your shows on the go with banned.video.
[00:05:46.633 --> 00:05:52.414]  Watch live shows, on-demand content, and join in on the conversation from anywhere with banned.video.
[00:05:52.814 --> 00:05:56.816]  Share videos with your friends via Facebook, Twitter, SMS, email, and more.
[00:05:56.816 --> 00:05:57.236]  Banned.
[00:05:57.236 --> 00:06:05.599]  Video.
[00:06:05.599 --> 00:06:08.220]  Devastating globalist lies.
[00:06:08.220 --> 00:06:12.562]  Exposing the mainstream media's propaganda machine.
[00:06:12.562 --> 00:06:16.223]  Tirelessly waging war on corruption from deep
[00:06:17.739 --> 00:06:18.480]  Are we seeing the earth?
[00:06:18.480 --> 00:06:19.140]  You good?
[00:06:19.140 --> 00:06:21.342]  Are we seeing the earth now?
[00:06:43.627 --> 00:06:53.166]  I'm your host Alex Jones, and this will be a very important broadcast like they all are, but this one I'm particularly prepared for.
[00:06:54.326 --> 00:07:03.254]  And all of this news and information before me, before you, ties together to a very clear picture of where the planet and our species is right now.
[00:07:03.254 --> 00:07:19.609]  And it's my main goal to have a discussion about our species, about our past, about our present, about our future, and to try to get you involved in caring about your own destiny and wanting to affect the larger battle space of the future human destiny or the great mission.
[00:07:20.566 --> 00:07:34.292]  Now, let me begin up front that if we don't have free speech, if we don't have First Amendment, if we can be penalized and persecuted for what we say, then we are living in a true authoritarian regime.
[00:07:34.292 --> 00:07:49.359]  And if you look at reports from Discovery Channel, CNN, MSNBC, from even five, six years ago, they were critical of things in China and North Korea and other areas, calling it authoritarianism, calling it oppression, calling it lies.
[00:07:49.359 --> 00:07:49.739]  But now,
[00:07:51.007 --> 00:07:58.969]  You tune in, and they're promoting persecution, violence against nationalists, against conservatives, against Christians, and others.
[00:07:58.969 --> 00:08:04.251]  They have converted to pure authoritarianism, and we know that.
[00:08:04.251 --> 00:08:05.011]  And we know why.
[00:08:05.011 --> 00:08:20.296]  They're working for a large international cartel of large corporations and banks, allied with the Communist Chinese and the EU, along with Hollywood that they own, dominating and controlling the Western world, sucking out our treasure, our energy.
[00:08:21.624 --> 00:08:30.331]  And transferring it to their globalist breakaway civilization, a new feudalist system separate from the general population.
[00:08:30.331 --> 00:08:32.492]  Now that basic statement complete.
[00:08:32.492 --> 00:08:42.020]  I am now going to address the President directly and I have no doubt this will end up getting in front of the President or he will be briefed on it because I know he's requested that.
[00:08:42.020 --> 00:08:50.186]  Let me also direct all TV and radio listeners to DrudgeReport.com, four stories down in the middle column.
[00:08:51.107 --> 00:08:56.048]  But just as important as the fourth story down in the middle column is the story above it.
[00:08:56.048 --> 00:08:59.729]  The FCC is holding a symposium.
[00:08:59.729 --> 00:09:17.313]  The goal of it is directly to censor the internet and to put artificial intelligence in charge of it and to end free speech as we know it.
[00:09:17.313 --> 00:09:18.553]  They specifically say
[00:09:20.387 --> 00:09:26.650]  That drudge is the target.
[00:09:26.650 --> 00:09:27.731]  Now, think about that.
[00:09:27.731 --> 00:09:36.756]  They are specifically saying that there is a new bid to quote, get drudge.
[00:09:36.756 --> 00:09:39.857]  They don't even hide it.
[00:09:39.857 --> 00:09:43.639]  Of course, I'm mentioned as well.
[00:09:43.639 --> 00:09:45.560]  Why is that?
[00:09:45.560 --> 00:09:48.562]  Because if what we're saying gets out, it's over for them.
[00:09:49.827 --> 00:09:51.947]  That's why they've got to misrepresent us.
[00:09:51.947 --> 00:09:53.248]  It's why they've got to lie about us.
[00:09:53.248 --> 00:09:54.728]  We're just loyal Americans.
[00:09:54.728 --> 00:09:58.629]  This broadcast, our listeners, it's what we do.
[00:09:58.629 --> 00:10:00.989]  Now, DrudgeReport.com is linked.
[00:10:00.989 --> 00:10:02.830]  This is a participation sport.
[00:10:02.830 --> 00:10:04.170]  We're not spectators here.
[00:10:04.170 --> 00:10:06.571]  You're in the arena, ladies and gentlemen.
[00:10:06.571 --> 00:10:11.472]  In the article, Pentagon launches new program to fight viral internet content.
[00:10:11.472 --> 00:10:14.072]  They say viral.
[00:10:14.072 --> 00:10:17.433]  See, the establishment's just mad at anything they don't control.
[00:10:19.522 --> 00:10:27.768]  It's not Russian, it's not racist, it's dangerous to the establishment and they want it shut down.
[00:10:27.768 --> 00:10:31.291]  And the two articles go together like a horse and carriage.
[00:10:31.291 --> 00:10:34.833]  That's why they're right next to each other on DrugsReport.com.
[00:10:34.833 --> 00:10:39.537]  And so what I'm going to do is, I'm going to start at next segment.
[00:10:39.537 --> 00:10:40.658]  My direct message
[00:10:42.469 --> 00:10:53.756]  To the President and everybody else, but just let me make this announcement before I plunge into all the admissions, all the quotes, all the statements from them in press releases.
[00:10:53.756 --> 00:11:10.725]  The neocons and the Democrats openly have a foundation that takes money from 20 foreign countries that then is given CIA and Defense Department money, $2 billion, when Obama left.
[00:11:10.725 --> 00:11:11.646]  Most of it's already run out.
[00:11:13.305 --> 00:11:18.087]  To pay journalists to lie about yours truly and President Trump.
[00:11:18.087 --> 00:11:19.928]  Now, by the way, this is all admitted.
[00:11:19.928 --> 00:11:25.030]  I'm going to show you when their own statements in congressional hearings.
[00:11:25.030 --> 00:11:26.491]  Like, this is incredible.
[00:11:26.491 --> 00:11:35.054]  Yeah, out of one side of their mouth, they go on the national news and say, no one's censoring any nationalists or conservatives or Christians or gun owners or veterans groups.
[00:11:35.054 --> 00:11:37.815]  Then out of the other side of their mouth, they have dozens of hearings.
[00:11:37.815 --> 00:11:38.716]  We've played you the clips here.
[00:11:40.211 --> 00:11:47.774]  And the head of YouTube, you know, on a stage saying, yeah, everybody wanted us to ban Alex Jones, so we banned him.
[00:11:47.774 --> 00:11:54.838]  But they go before Congress in one hearing and say to the Republicans, we've never censored anybody, we've never fixed a search result, we've never done anything.
[00:11:54.838 --> 00:11:57.879]  We've never breathed oxygen.
[00:11:57.879 --> 00:12:06.163]  Then they go into the intelligence and the armed services committees and they openly talk about how with foreign governments,
[00:12:07.739 --> 00:12:11.683]  20 governments at least have ganged up on the American people.
[00:12:11.683 --> 00:12:13.624]  The Germans.
[00:12:13.624 --> 00:12:15.166]  The British.
[00:12:15.166 --> 00:12:17.167]  The Swedish government.
[00:12:17.167 --> 00:12:18.668]  The Saudi Arabian government.
[00:12:18.668 --> 00:12:22.411]  I'm gonna read you from their own documents.
[00:12:22.411 --> 00:12:32.960]  So you talk about foreign collusion, you talk about election meddling, and so there's President Trump talking about Google censorship and Facebook censorship?
[00:12:32.960 --> 00:12:33.961]  It's beyond that.
[00:12:35.669 --> 00:12:55.741]  And they say in the quotes in congressional testimony that we're going to read to you, and find the videos as well, we've played them, that anything that is not establishment talking points, these are quotes, or anything not approved by these committees will not be allowed on air.
[00:12:55.741 --> 00:13:04.647]  And then they've got other quotes here that are just so astounding, they make my head spin, but we're going to go over.
[00:13:06.582 --> 00:13:20.412]  All of this, where they have quotes in here, where they say the CIA and the Atlantic Council's main mission is to prevent the foment of discord.
[00:13:20.412 --> 00:13:23.294]  That's Rolling Stone, by the way.
[00:13:23.294 --> 00:13:27.216]  Quoting that from the congressional testimony.
[00:13:27.216 --> 00:13:30.739]  Now, you understand, that's saying anything they think can upset somebody.
[00:13:30.739 --> 00:13:34.801]  Like, hey, that's who O'Rourke said he's coming for your guns, he will confiscate all semi-autos.
[00:13:34.801 --> 00:13:35.522]  Oh, that's fomenting.
[00:13:36.960 --> 00:13:39.803]  Hey, Hillary fell down in New York City, had a convulsion.
[00:13:39.803 --> 00:13:40.724]  Alex Jones is right.
[00:13:40.724 --> 00:13:43.066]  Oh, that's fomenting!
[00:13:43.066 --> 00:13:53.117]  Telling somebody, hey, we got delicious cheeseburgers and ice-cold Coca-Colas on sale for $2 over here at the local restaurant, that's fomenting.
[00:13:53.117 --> 00:13:55.559]  And you read it, and who do they say?
[00:13:55.559 --> 00:13:57.581]  Matt Grudge, Alex Jones.
[00:13:57.581 --> 00:13:59.823]  So cryptic, so evil, so disgusting.
[00:14:01.079 --> 00:14:10.107]  And that's because Drudge is the biggest thing out there other than any other news outlet directing raw traffic and then in full force talks to the grassroots of the nation.
[00:14:10.107 --> 00:14:23.798]  And because we're loyal Americans that are also loyal to our own common sense and free market and want to live in a quasi-free country, we must be silenced because you can't buy me and you can obviously see you can't buy Drudge.
[00:14:23.798 --> 00:14:25.440]  You can't buy Tucker Carlson.
[00:14:25.440 --> 00:14:26.561]  I know the inside baseball on that.
[00:14:26.561 --> 00:14:28.002]  They threatened to fire him, you name it.
[00:14:28.002 --> 00:14:29.043]  He won't shut up or back down.
[00:14:29.926 --> 00:14:31.927]  Her name was Sean Hannity.
[00:14:31.927 --> 00:14:35.749]  You may disagree with this on a point or two, but we're not backing down.
[00:14:35.749 --> 00:14:38.410]  We're not selling out.
[00:14:38.410 --> 00:14:39.891]  But I gotta ask the President something.
[00:14:39.891 --> 00:14:55.858]  Do you know that there's $2 billion in government right now and 20 foreign governments funding to make sure you lose the election and Google's on record admitting it and they're meeting with the FCC to do it and threatening the families of the conservative members of the FCC?
[00:14:55.858 --> 00:14:57.739]  I know people on the FCC.
[00:14:59.557 --> 00:15:03.399]  Oh yeah, I know FCC board members.
[00:15:03.399 --> 00:15:06.580]  Yeah, I've had hour-long discussions.
[00:15:06.580 --> 00:15:07.560]  Oh, you didn't know that, did you?
[00:15:07.560 --> 00:15:10.422]  Yeah, the last two years.
[00:15:10.422 --> 00:15:11.802]  Yeah.
[00:15:11.802 --> 00:15:14.864]  Their children get death-threatened at work.
[00:15:14.864 --> 00:15:16.864]  At school.
[00:15:16.864 --> 00:15:17.965]  Yeah, it's serious.
[00:15:19.505 --> 00:15:21.127]  Oh, you saw what happened to Scalise.
[00:15:21.127 --> 00:15:24.570]  Gotta happen to your kids, you don't get in line and help us get rid of Trump.
[00:15:24.570 --> 00:15:31.797]  So you wonder why Trump's doing so much good and proving he's the real deal, but he can't get Washington to do one-tenth of what he wants.
[00:15:31.797 --> 00:15:34.379]  It's because they're threatening to kill everybody.
[00:15:34.379 --> 00:15:37.862]  You understand now?
[00:15:37.862 --> 00:15:42.587]  Now, if you want to live under something like that, you want to buckle and get bullied, it's only going to get worse.
[00:15:43.968 --> 00:15:45.749]  I know what to do to a bully!
[00:15:45.749 --> 00:15:49.392]  I'm gonna jump on top of them politically and I'm gonna grab them by the ears.
[00:15:49.392 --> 00:15:53.015]  And I'm gonna ram their head in the concrete until blood comes out of their eyes.
[00:15:53.015 --> 00:15:55.637]  Politically, non-violently.
[00:15:55.637 --> 00:15:56.858]  They wanna try to intimidate me?
[00:15:57.907 --> 00:16:09.092]  Attention GCN self-reliance listeners, if you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[00:16:09.092 --> 00:16:15.975]  Bill Hyde here and I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an
[00:16:16.035 --> 00:16:16.435]  I think so.
[00:16:39.286 --> 00:16:41.407]  Go to myownpowergrid.com.
[00:16:41.407 --> 00:16:43.647]  That's myownpowergrid.com.
[00:16:43.647 --> 00:16:47.789]  Over $1,000 in great off-the-grid gear and a ton of bonuses too.
[00:16:47.789 --> 00:16:48.449]  And the best part?
[00:16:48.449 --> 00:16:49.569]  You're not going to pay $750 or $500, $300 or even $200.
[00:16:49.569 --> 00:16:51.050]  Go to myownpowergrid.com to learn more.
[00:16:51.050 --> 00:16:51.550]  That's myownpowergrid.com.
[00:16:57.637 --> 00:16:59.598]  Heart disease is on the rise.
[00:16:59.598 --> 00:17:04.901]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:17:04.901 --> 00:17:06.502]  But the symptoms are there.
[00:17:06.502 --> 00:17:14.847]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:17:14.847 --> 00:17:20.531]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:17:20.711 --> 00:17:22.532]  My blood pressure has normalized.
[00:17:22.532 --> 00:17:24.693]  My diabetes has totally improved.
[00:17:24.693 --> 00:17:29.196]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:29.196 --> 00:17:31.397]  I recommend Heart and Body Extract to everyone.
[00:17:31.397 --> 00:17:39.201]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:39.281 --> 00:17:43.445]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[00:17:43.445 --> 00:17:47.328]  That's 8 6 6 2 9 5 5 3 0 5.
[00:17:47.328 --> 00:17:56.236]  Or order online HB extract dot com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract dot com.
[00:17:58.743 --> 00:18:00.864]  Josh in Washington, you're on the air, go ahead.
[00:18:00.864 --> 00:18:02.024]  Alex, God bless you.
[00:18:02.024 --> 00:18:04.605]  I have an idea for a new InfoWars t-shirt.
[00:18:04.605 --> 00:18:10.567]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[00:18:10.567 --> 00:18:11.227]  Ooh, yeah.
[00:18:11.227 --> 00:18:12.647]  Showing your brain getting fracked.
[00:18:12.647 --> 00:18:14.448]  And I have some comments on your supplements, man.
[00:18:14.448 --> 00:18:15.488]  Totally changed my life.
[00:18:15.488 --> 00:18:18.549]  I use TurboForce, BodyEase, AlphaPower, BrainForce.
[00:18:18.749 --> 00:18:19.670]  Well, you're right.
[00:18:34.026 --> 00:18:36.388]  All of these things are known to be incredible.
[00:18:36.388 --> 00:18:43.153]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[00:18:43.153 --> 00:18:45.695]  All of these are things that are like rocket fuel in the body.
[00:18:45.695 --> 00:18:48.817]  You take these bases together, then you have your foundation.
[00:18:48.817 --> 00:18:50.619]  Now you can build the big strong temple.
[00:18:50.619 --> 00:18:54.582]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[00:18:54.582 --> 00:18:57.404]  And then it funds the information war, which is so critical.
[00:18:57.404 --> 00:18:58.164]  Thank you so much.
[00:18:58.164 --> 00:18:58.625]  God bless you.
[00:18:59.185 --> 00:19:05.327]  Super Mel Vitality is already in the top three of our best sellers for the six years we've had it.
[00:19:05.327 --> 00:19:13.490]  It is a award-winning formula produced in Utah by one of the top herbal companies in the nation that we've been private labeling.
[00:19:13.490 --> 00:19:14.750]  It is cold pressed.
[00:19:14.750 --> 00:19:21.192]  It takes at least three times the herbs that are wild crafted and organic to be able to produce this.
[00:19:21.192 --> 00:19:22.373]  It's not boiled.
[00:19:22.373 --> 00:19:23.153]  It's not heated.
[00:19:23.153 --> 00:19:24.334]  It's never been dried.
[00:19:24.334 --> 00:19:25.494]  It's taken from fresh
[00:19:26.034 --> 00:19:26.834]  Herbs.
[00:19:26.834 --> 00:19:29.536]  That's why it's so strong.
[00:19:29.536 --> 00:19:33.297]  That's why it's so effective for libido, stamina, and energy.
[00:19:33.297 --> 00:19:47.283]  And I'm so excited about Supramel Vitality and Carnivore 30 that I'm offering you with every order of Supramel Vitality a 25% off a free bottle of Carnivore Digestive Enzyme.
[00:19:47.283 --> 00:19:48.724]  We're going to sell out of this very quickly.
[00:19:49.204 --> 00:19:53.527]  But it's an offer so that you experience how amazing both these products are.
[00:19:53.527 --> 00:20:01.772]  Secure yours at InfoWarsStore.com today or InfoWarsLife.com.
[00:20:01.772 --> 00:20:04.473]  You're listening to the Alex Jones Show!
[00:20:24.719 --> 00:20:32.144]  Welcome back to the most censored, demonized, lied-about show in the world, for good reason.
[00:20:32.144 --> 00:20:39.229]  We do our research, we take action, we mobilize humanity, and we win, ladies and gentlemen.
[00:20:39.229 --> 00:20:47.115]  We know that we can defeat tyranny if good men and women get informed and take action.
[00:20:47.115 --> 00:20:50.638]  And we're doing it now.
[00:20:50.638 --> 00:20:52.479]  Alright, let's get right into it, ladies and gentlemen.
[00:20:53.888 --> 00:21:06.478]  Sure, we all know that there's massive censorship against conservatives and against nationalists and against patriots and against people that just want to be sovereign and run their own lives and that love America.
[00:21:06.478 --> 00:21:14.425]  And we know that the American system threatens the globalist system that has been manifest in communist China.
[00:21:14.425 --> 00:21:19.228]  That's what they'd like to do here and it's what they are setting up here, the global social score system where
[00:21:20.433 --> 00:21:36.164]  Now they're in Yahoo and Bloomberg Finance going, well it's true all the big tech heads for a decade have been in a race to listen and record everything you do and they've all got big databanks of what you said so you better watch your mouth.
[00:21:36.164 --> 00:21:46.212]  And Facebook came out three months ago and they said don't use Alex Jones's name and they said we'll ban you off Facebook for anything you said in the past and watch out
[00:21:47.130 --> 00:21:48.930]  We've got blackmail on all of America.
[00:21:48.930 --> 00:21:50.031]  They actually said that.
[00:21:50.031 --> 00:21:52.851]  Go look it up.
[00:21:52.851 --> 00:21:55.712]  And Facebook came out today and said what YouTube said.
[00:21:55.712 --> 00:21:59.492]  We're experimenting with getting rid of the likes.
[00:21:59.492 --> 00:22:10.474]  Because, you know, when Obama gives a speech now, maybe a thousand people watch it on YouTube, even though they put it on the front, and it'll get thousands of dislikes to maybe five likes.
[00:22:10.474 --> 00:22:14.955]  Same thing when they put up all this anti-American, anti-God, anti-family stuff on Netflix.
[00:22:16.195 --> 00:22:21.477]  They'll get half a star out of five stars for all these sick shows.
[00:22:21.477 --> 00:22:25.098]  And so they go, oh, we're just getting rid of stars on those shows.
[00:22:25.098 --> 00:22:40.764]  So see, they're censoring it down to the level of consumer groups now are being shut down on Facebook and Twitter because they have, they allow people to vote on whether they like to deodorant or a hairdryer or a drug they took.
[00:22:41.954 --> 00:22:51.723]  Well, we can't have you say your daughter took a Gardasil shot and died, or took a Gardasil shot and got cancer, or had a convulsion.
[00:22:51.723 --> 00:22:54.145]  They're silencing everyone.
[00:22:54.145 --> 00:23:03.273]  They brought the web in, made it all where we could vote on things, share what we liked, it was open, it was free to a great extent, and now they're pulling the rug out from under us.
[00:23:03.273 --> 00:23:05.154]  They got us addicted.
[00:23:05.154 --> 00:23:06.876]  When they invented the concept of the internet in 1962,
[00:23:11.681 --> 00:23:14.463]  It's called the Intergalactic Communications System.
[00:23:14.463 --> 00:23:18.305]  It wasn't built by DARPA to survive a nuclear war.
[00:23:18.305 --> 00:23:20.366]  That was propaganda later put out.
[00:23:20.366 --> 00:23:32.633]  The mainline history is it was designed, the idea, by a psychiatrist working with DARPA who wanted to track propaganda and how it affected you to then try to harness mass movements
[00:23:33.604 --> 00:23:42.129]  And be able to predict the future once everyone had a handheld computer that they believed you would then go interface with terminals for downloads and uploads.
[00:23:42.129 --> 00:23:44.671]  Now they just do it wireless.
[00:23:44.671 --> 00:23:49.614]  I can show you 1970s and 80s TV shows about it.
[00:23:49.614 --> 00:23:53.357]  PBS programs with futurists about how they planned it in the 60s.
[00:23:53.357 --> 00:23:58.220]  It's designed to enslave you from the beginning.
[00:23:58.220 --> 00:23:58.340]  Now,
[00:23:59.779 --> 00:24:06.441]  We took it away from them to a great extent, so now they're accelerating their original plan that wasn't supposed to be here for another 10 years.
[00:24:06.441 --> 00:24:07.841]  But they're going for it all now.
[00:24:07.841 --> 00:24:10.222]  It's all over the news.
[00:24:10.222 --> 00:24:11.822]  Oh!
[00:24:11.822 --> 00:24:20.945]  Samsung, and Apple, and Sharp, and Google, and Twitter, and Amazon, and every major company!
[00:24:20.945 --> 00:24:21.305]  More than 50!
[00:24:23.607 --> 00:24:34.029]  Are competing to listen and watch you and sell the data to big data crunching firms and the National Security Agency.
[00:24:34.029 --> 00:24:36.310]  They could never get away with that.
[00:24:36.310 --> 00:24:46.392]  But if they got you to opt in to YouTube and Google and Alphabet and Facebook and Twitter and all the rest, then you don't read the 20, 30 pages.
[00:24:46.392 --> 00:24:50.613]  When it gives you a software update, it tells you they're watching and listening.
[00:24:51.969 --> 00:24:58.414]  But now, you see, they get you addicted first, and now Google and Amazon use smart speakers for surveillance.
[00:24:58.414 --> 00:25:05.679]  Top tech investor says, Yahoo, Bloomberg, all over the place.
[00:25:05.679 --> 00:25:08.841]  This weekend, it was the top story starting Friday.
[00:25:08.841 --> 00:25:10.082]  It's time to tell you now.
[00:25:10.082 --> 00:25:17.507]  Remember, InfoWars telling you 20 years ago?
[00:25:17.507 --> 00:25:20.189]  It was decided at that point that I was endangering infrastructure.
[00:25:21.980 --> 00:25:28.023]  And the Pentagon was sent to have a meeting with the local radio station, despite the fact they had the number one ratings.
[00:25:28.023 --> 00:25:30.004]  And I was getting national news attention.
[00:25:30.004 --> 00:25:32.345]  They fired me.
[00:25:32.345 --> 00:25:33.185]  They gave me a few months.
[00:25:33.185 --> 00:25:38.628]  They said, no more talk about all these things.
[00:25:38.628 --> 00:25:49.773]  Like the microphone in the scientific Atlantic cable box that the engineer came and broke open for me and showed me.
[00:25:49.773 --> 00:25:51.774]  With the blueprints saying microphone.
[00:25:55.407 --> 00:25:58.869]  Long before you're using voice print, you see.
[00:25:58.869 --> 00:26:00.590]  But see, that was back then, you weren't supposed to know.
[00:26:00.590 --> 00:26:06.613]  Oh, there'd never be a microphone or camera back then, but now, you've been slowly conditioned to accept it.
[00:26:06.613 --> 00:26:20.340]  So I've got hundreds of articles here I'm gonna go over, but first, when we come back, I'm already starting to get into it, my direct message to the President himself, because just Google and Facebook are where 70%
[00:26:23.558 --> 00:26:26.960]  I got the numbers, I'll show you, of where people in the United States get their news.
[00:26:26.960 --> 00:26:34.804]  70% get their news solely from Google and Facebook.
[00:26:34.804 --> 00:26:48.611]  Now Trump, who watches TV, still thinks the Internet's like some junior Bush league, you know, lowest level minor league.
[00:26:48.611 --> 00:26:49.351]  It's not.
[00:26:49.351 --> 00:26:50.072]  It's the big leagues.
[00:26:51.773 --> 00:26:55.976]  And it controls everything that the people can see and do.
[00:26:55.976 --> 00:26:58.318]  And then the fact that Trump hasn't acted.
[00:26:58.318 --> 00:27:05.484]  They're so arrogant now, they're blocking all these political people's Twitters and Facebooks, including the leader of the Senate.
[00:27:05.484 --> 00:27:11.649]  And Democrats that aren't establishment.
[00:27:11.649 --> 00:27:16.673]  Like the good Congresswoman from Hawaii.
[00:27:16.673 --> 00:27:18.314]  And still nothing's done.
[00:27:18.314 --> 00:27:19.815]  And so now the FCC
[00:27:21.952 --> 00:27:29.358]  Announces that they're having a symposium to, quote, shut down anything viral and Matt Drudge.
[00:27:29.358 --> 00:27:31.360]  These are quotes.
[00:27:31.360 --> 00:27:32.241]  I'm sorry.
[00:27:32.241 --> 00:27:33.682]  Get Drudge.
[00:27:33.682 --> 00:27:37.265]  We gonna get ya.
[00:27:37.265 --> 00:27:38.866]  And why shouldn't they be?
[00:27:38.866 --> 00:27:41.028]  They chastise people in Congress every month.
[00:27:41.028 --> 00:27:44.170]  I see a video going, Alex Jones is still online.
[00:27:44.170 --> 00:27:45.071]  We want him shut down.
[00:27:45.071 --> 00:27:47.433]  We're working on it, sir.
