[00:00.000 --> 00:25.000]  This is our land, these are our people, the workers, the strivers, the builders, these
[03:04.000 --> 03:10.000]  Imagine if they actually tuned into this program for a couple hours instead of watching the Super Bowl as a whole.
[03:10.000 --> 03:15.000]  We've got a lot of special reports and information on the Super Bowl, including how many hundreds of millions of pounds
[03:15.000 --> 03:20.000]  of processed food are eaten every single time the Super Bowl goes on. So you can visualize that.
[03:20.000 --> 03:28.000]  But also we've got a lot more news such as Democratic donor contacts Biden just begging about a possible run
[03:28.000 --> 03:34.000]  because Hillary is losing so bad. Is this the end for Jeb Bush? New Hampshire may be now or never for Jeb Bush
[03:34.000 --> 03:41.000]  and a bunch of other special reports and especially the debates. If you watched it all and if you didn't,
[03:41.000 --> 03:46.000]  that's fine because we're going to play you the highlights. The biggest thing for me was Marco Rubio being called out
[03:46.000 --> 03:52.000]  by Chris Christie for having the most canned fake speeches ever. And then he did it. He did it over and over again.
[03:52.000 --> 03:58.000]  We have an awesome highlight the guys put together. It's awesome. That shows just how fake he is because he repeats
[03:58.000 --> 04:03.000]  the same 20 second liners over and over again. And when he was called out on repeating the same liner,
[04:03.000 --> 04:08.000]  he repeated it again because he didn't know what to say. He wasn't authorized to respond in any other way.
[04:08.000 --> 04:12.000]  He's a teleprompter reading puppet. He really is, but the teleprompter is in his head.
[04:12.000 --> 04:16.000]  It's almost like he goes into brainwashing and he comes out and he's like, yes, the orders will be followed
[04:16.000 --> 04:20.000]  and he comes out and says the same thing over and over. It's totally ridiculous. It's totally totally absurd.
[04:20.000 --> 04:26.000]  So we've got those clips and more. We've also got some Barbara Bush. I'm sick of Donald Trump.
[04:26.000 --> 04:30.000]  Cruz apologizes to Carson. I'm sick of the Bushes, Barbara. Did you see that? The apology?
[04:30.000 --> 04:34.000]  Oh, well, we're sorry, but not really. We didn't do anything wrong. CNN did it.
[04:34.000 --> 04:38.000]  And then it turns out CNN a minute later said that it wasn't the case when they said it was hours later.
[04:38.000 --> 04:43.000]  It was totally absurd. We've got all of this coming up. This is the Sunday edition of the Alex Jones show.
[04:43.000 --> 04:47.000]  Anthony Gucciardi here with Rob Dew. Alex will be calling in with his take on the elections.
[04:47.000 --> 05:05.000]  We'll be back right after this break.
[05:17.000 --> 05:19.000]  We now have the synergistic solution.
[05:47.000 --> 05:57.000]  And free shipping at infowarstore.com or call 888-253-3139 to order your Pro Max shower filter from Pro Pure today.
[06:17.000 --> 06:34.000]  It's Super Bowl Sunday. This is the Alex Jones show and you better turn your television off because this is way more important.
[06:34.000 --> 06:38.000]  The real battle for this country and the battle for this planet is right here and you're in it.
[06:38.000 --> 06:42.000]  I'm Anthony Gucciardi and I'm getting co-hostings day with Rob Dew.
[06:42.000 --> 06:47.000]  Again, this is the Alex Jones show, the Sunday edition and man.
[06:47.000 --> 06:52.000]  Let's dispel this fiction that Barack Obama does not know what he's doing. He knows exactly what he was doing.
[06:52.000 --> 06:56.000]  Is that Marco Rubio over there? If you watched the debates, if you did not, it doesn't matter.
[06:56.000 --> 07:02.000]  We've got the best highlights for you and some of them just blow my mind and we're going to play several up here in a second for you.
[07:02.000 --> 07:12.000]  But if you watched, Marco Rubio I think really is a robot with human skin that has some type of a teleprompter in his head that he just memorizes things and just spits them out.
[07:12.000 --> 07:14.000]  And when confronted, he does the same thing.
[07:14.000 --> 07:18.000]  We've also got a ton of news about Trump's lead in New Hampshire, what's going on there.
[07:18.000 --> 07:26.000]  Some special figure recently just said that there's a special place in hell for women who don't support Hillary and Biden being begged to join the race.
[07:26.000 --> 07:28.000]  We've got a lot, a lot of news.
[07:28.000 --> 07:35.000]  But first we're going to go ahead and bring you up to speed with some of these clips and some of these are just tremendously mind blowing to me.
[07:35.000 --> 07:41.000]  We've also got Alex calling in later in the show to give his take on the debates and what's going on with the election.
[07:41.000 --> 07:48.000]  And Info Wars reporter Richard Reeves is on the ground. We're going to go to him at the bottom of the hour and he's actually on the ground with a report.
[07:48.000 --> 07:53.000]  He says that Trump, there was some dirty tricks against Trump that he's going to break on the show today.
[07:53.000 --> 07:58.000]  Now first to start it off, bring you guys up to speed or give you a flashback.
[07:58.000 --> 08:07.000]  You know, Rubio was accused of repeating the same line over and over again by Chris Christie, which is I think one of the most amazing things Chris Christie has ever done in the debates.
[08:07.000 --> 08:14.000]  And it was majestically pointed out when Rubio responded with pretty much the same thing after the accusation.
[08:14.000 --> 08:18.000]  Let's go to this clip where Rubio repeats the same rehearsed line five times.
[08:18.000 --> 08:23.000]  Well, this fiction that Barack Obama doesn't know what he's doing. He knows exactly what he's doing.
[08:23.000 --> 08:26.000]  This notion that Barack Obama doesn't know what he's doing is just not true.
[08:26.000 --> 08:31.000]  Let's dispel with this fiction that Barack Obama doesn't know what he's doing. He knows exactly what he's doing.
[08:31.000 --> 08:36.000]  He is trying to change this country. He wants America to become more like the rest of the world.
[08:36.000 --> 08:41.000]  Anyone who believes that Barack Obama isn't doing what he's doing on purpose doesn't understand what we're dealing with here.
[08:41.000 --> 08:48.000]  Well, there it is. And I watched this live myself and I was thinking throughout. I was like, wow, he's repeating the same thing over and over again.
[08:48.000 --> 08:52.000]  And then Chris Christie says, hey, all you do is run scripted lines.
[08:52.000 --> 08:59.000]  And he goes, well, no, no, let's talk about what Barack Obama is doing here. It was over the top. It was truly over the top.
[08:59.000 --> 09:05.000]  And this links in with a report that Alex actually just shared with me earlier.
[09:05.000 --> 09:14.000]  Look, this is on Infowars.com. This is really important where Infowars asks Rubio about the TPP, which of course the Trans-Pacific Trade Partnership,
[09:14.000 --> 09:20.000]  which in many ways destroys a lot of trade. He was asked about the TPP and he has a very interesting response.
[09:20.000 --> 09:29.000]  Well, and also before that, they show in the video what he said at the Council on Foreign Relations about a year before where he's like,
[09:29.000 --> 09:34.000]  we need to get TPP into the head so we can get it voted on and get it moving. He was all about getting it moving.
[09:34.000 --> 09:35.000]  So he's all about it.
[09:35.000 --> 09:40.000]  Big supporter of it. But now on the campaign trail, now that he knows that people actually understand, they're not just robots.
[09:40.000 --> 09:45.000]  People aren't just regurgitating what he's saying. They're actually looking and going, wait a minute, why has this thing been in secret?
[09:45.000 --> 09:49.000]  Why is it still in secret? And he wants to go, well, we're going to wait till May.
[09:49.000 --> 09:53.000]  But anyway, you can see it from him, from the robot himself.
[09:53.000 --> 09:57.000]  Well, let's go to this video where Marco Rubio responds to questions on the TPP.
[09:57.000 --> 10:05.000]  It is more important than ever that Congress give the President Trade Promotion Authority so that he can finalize the Trans-Pacific Partnership
[10:05.000 --> 10:08.000]  and the Transatlantic Trade and Investment Partnership.
[10:08.000 --> 10:09.000]  Thank you for being here.
[10:09.000 --> 10:15.000]  Senator Rubio, last year you spoke at a Council on Foreign Relations meeting and you were a big proponent of the TPP.
[10:15.000 --> 10:22.000]  And I was just wondering, the TPP diminishes our U.S. sovereignty and also potentially destroys our bonds.
[10:22.000 --> 10:28.000]  No, I'm a supporter of free trade. I have to see if this deal is a good deal. It's being reviewed now by the International Trade Commission.
[10:28.000 --> 10:31.000]  So if it's a good deal, I'll support it. If it's not, it has to be renegotiated.
[10:31.000 --> 10:34.000]  Well, at what point does it get seen because it's been kept secret?
[10:34.000 --> 10:38.000]  No, it's out there. The International Trade Commission is reviewing it. They'll issue their report in May.
[10:38.000 --> 10:40.000]  So until then, I'm not even going to take a position on it.
[10:40.000 --> 10:43.000]  I've got to see what the... I've got to see all... It's 5,000 pages.
[10:43.000 --> 10:45.000]  Right, it's 5,000 pages.
[10:45.000 --> 10:47.000]  So have you been able to read all 5,000 pages?
[10:47.000 --> 10:54.000]  And I'm not going to even try until the IT... because the International Trade Commission comes back and finds that it's not good for America or that I won't...
[10:54.000 --> 10:56.000]  I'll have to go back and renegotiate.
[10:56.000 --> 10:58.000]  So basically, you would promise the American...
[10:58.000 --> 11:00.000]  Okay, thank you. Thank you. Appreciate it.
[11:00.000 --> 11:07.000]  What about his past support of the TPP, which could endanger U.S. sovereignty and open up the floodgates of immigration? What about that?
[11:07.000 --> 11:15.000]  Well, I don't think he's voted on TPP. He voted on TPA, which allows us to consider TPP, but we haven't voted on TPP yet.
[11:15.000 --> 11:19.000]  I spoke at the Council on Foreign Relations. It was a big proponent over there.
[11:19.000 --> 11:23.000]  Well, I can't speak to that because I wasn't there.
[11:23.000 --> 11:29.000]  Okay, so if you can find a candidate that's perfect, let me know because there's only been one and he ain't run it.
[11:29.000 --> 11:31.000]  Thank you.
[11:31.000 --> 11:32.000]  Yes, sir.
[11:32.000 --> 11:36.000]  Well, there you go. That's Richard Reeves asking about the TPP and...
[11:36.000 --> 11:37.000]  Who's the perfect candidate?
[11:37.000 --> 11:42.000]  Yeah, I was going to wonder who the perfect candidate is also. I mean, and he's not running?
[11:42.000 --> 11:50.000]  No, maybe he meant Obama. I'm not really sure. Anyway, these are some highlights from the debate last night and also some inforced exclusives.
[11:50.000 --> 11:58.000]  Another one we're going to play is you're all probably familiar with how Ted Cruz tweeted out and called voters in Iowa and said,
[11:58.000 --> 12:03.000]  well, Ben Carson is dropping out. So vote for me. He's out of the race, guys.
[12:03.000 --> 12:11.000]  And some background on that is CNN apparently reported that Carson had considered dropping out of the race or was taking a retirement or something.
[12:11.000 --> 12:16.000]  But a minute later, according to Carson and CNN said, oh, that's actually not true.
[12:16.000 --> 12:24.000]  But Cruz's campaign ran with it and it wasn't until about hours and hours later when it was too late, they said, oh, actually, he's still in the race.
[12:24.000 --> 12:29.000]  So here's his very insincere apology to Carson and here's what Carson says.
[12:29.000 --> 12:34.000]  Ben is a good and honorable man and Ben and Candy have become friends.
[12:34.000 --> 12:39.000]  He has an amazing life story that has inspired millions, including me.
[12:39.000 --> 12:43.000]  When this transpired, I apologize to him then and I do so now.
[12:43.000 --> 12:45.000]  Ben, I'm sorry.
[12:45.000 --> 12:49.000]  Let me tell you the facts of what occurred for those who are interested in knowing.
[12:49.000 --> 12:58.000]  On Monday night, about 6 30 p.m. CNN reported that Ben was not going from Iowa to New Hampshire or South Carolina.
[12:58.000 --> 13:02.000]  Rather, he was, quote, taking a break from campaigning.
[13:02.000 --> 13:14.000]  They reported that on television. CNN's political anchors Jake Tapper and Dana Bash and Wolf Blitzer said it was highly unusual and highly significant.
[13:14.000 --> 13:20.000]  My political team saw CNN's report breaking news and they forwarded that news to our volunteers.
[13:20.000 --> 13:23.000]  It was being covered on live television.
[13:23.000 --> 13:25.000]  Now at the time I was at the caucuses.
[13:25.000 --> 13:29.000]  I was getting ready to speak at the caucuses just like Ben was just like everyone else was.
[13:29.000 --> 13:33.000]  I knew nothing about this. A couple hours later I found out about it.
[13:33.000 --> 13:35.000]  I was told that Ben was unhappy.
[13:35.000 --> 13:38.000]  I called him that evening because I respect him very, very highly.
[13:38.000 --> 13:42.000]  I didn't reach him that evening. I reached him the next day and apologized.
[13:42.000 --> 13:46.000]  He asked me then, he said, Ted, would you make this apology in public?
[13:46.000 --> 13:49.000]  I said, yes, I will. And I did so.
[13:49.000 --> 13:55.000]  I regret that subsequently CNN reported on that they didn't correct that story until 9 15 that night.
[13:55.000 --> 13:59.000]  So from 6 30 p.m. to 9 15 that's what CNN was reporting.
[13:59.000 --> 14:06.000]  Subsequent to that initial report, Ben's campaign put out a statement saying that he was not suspending his campaign.
[14:06.000 --> 14:11.000]  I wish that our campaign staff had forwarded that statement.
[14:11.000 --> 14:15.000]  They were unaware of it. I wish that they had. That's why I apologized.
[14:15.000 --> 14:17.000]  Senator Cruz, thank you.
[14:17.000 --> 14:19.000]  We're going to move on here back to the issues.
[14:19.000 --> 14:20.000]  Since I was mentioned.
[14:20.000 --> 14:21.000]  Dr. Carson, please.
[14:21.000 --> 14:24.000]  This is great. You guys, I want you to all mention me when you say something.
[14:24.000 --> 14:40.000]  In fact, the timeline indicates that that initial tweet from CNN was followed by another one within one
[14:40.000 --> 14:43.000]  minute that clarified that I was not dropping out.
[14:43.000 --> 14:46.000]  So what happened to that one? It is unclear.
[14:46.000 --> 14:50.000]  But the bottom line is we can see what happened.
[14:50.000 --> 14:53.000]  Everybody can see what happened and you can make your own judgment.
[14:53.000 --> 14:54.000]  Thank you.
[14:54.000 --> 14:55.000]  Thank you.
[14:55.000 --> 14:56.000]  Yeah, you can make your own judgment.
[14:56.000 --> 15:00.000]  And as he goes on to say, I believe it was, he said it was an example of Washington politics.
[15:00.000 --> 15:03.000]  Rob, you know, we were talking a little bit during the video.
[15:03.000 --> 15:10.000]  It's so wild to me that people like Ted Cruz, they just seem like they're they're so fake.
[15:10.000 --> 15:13.000]  And don't people want real people want reality.
[15:13.000 --> 15:20.000]  They want they want people that seem at least somewhat personable, you know, just somewhat normal, speak like a regular human being.
[15:20.000 --> 15:27.000]  Which is why I think you see people like Donald Trump and Bernie Sanders, who even though Sanders is a raving socialist and I would never vote for him.
[15:27.000 --> 15:29.000]  He's a lot more real than Hillary Clinton.
[15:29.000 --> 15:36.000]  If out of those two choices, he's more real, even though, you know, he's going to tax the daylights out of you and Trump's real.
[15:36.000 --> 15:40.000]  Tim or Ted Cruz, I'm sorry I just stabbed you in the back.
[15:40.000 --> 15:43.000]  I'm going to pull this bloody knife out and stab it in again one more time.
[15:43.000 --> 15:44.000]  I'm sorry.
[15:44.000 --> 15:45.000]  I'm sorry.
[15:45.000 --> 15:50.000]  There's some more highlights coming up and we'll be back after this break with more news and special reports.
[16:15.000 --> 16:22.000]  Concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others.
[16:22.000 --> 16:24.000]  Deep cleanse doesn't hold back.
[16:24.000 --> 16:33.000]  Instead of buying five, six or even seven different cleansing products, we use decades old scientific research to put together the Rolls Royce of all in one cleansing.
[16:33.000 --> 16:40.000]  Look, there's a reason deep cleanse is the only product on the market that uses our proprietaries by Jirex herbal processing technique.
[16:40.000 --> 16:46.000]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[16:46.000 --> 16:51.000]  If you wish to find deep cleanse and experience the all in one cleansing, visit infowarslife.com.
[16:51.000 --> 16:56.000]  That's infowarslife.com or call 888-253-3139.
[16:56.000 --> 17:11.000]  My fellow info warriors, I am very excited to be able to announce to you the introduction at infowarslife.com of a new way to save time and money when you stock up on info wars life formulations like survival shield x2 and supermail vitality.
[17:11.000 --> 17:13.000]  Just go to infowarslife.com today.
[17:13.000 --> 17:21.000]  Select your favorite product, click on auto ship before adding to cart and choose how often you want us to send you another order.
[17:21.000 --> 17:30.000]  Every time you choose auto ship and infowarslife.com you get 10% off and you won't have to worry about running out and having to reorder next time.
[17:30.000 --> 17:33.000]  And of course you can cancel with one click anytime.
[17:33.000 --> 17:41.000]  As you know, I'm all about the idea of a 360 win and the new auto ship feature in infowarslife.com is a sure win for everybody.
[17:41.000 --> 17:45.000]  A win for liberty, a win for health and a win when it comes to big savings.
[17:45.000 --> 17:51.000]  Visit infowarslife.com today and save 10% on your next infowarslife order by selecting auto ship a checkout.
[17:51.000 --> 18:16.000]  That's infowarslife.com or call 888-253-3139.
[18:22.000 --> 18:27.000]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity,
[18:27.000 --> 18:36.000]  and you're looking for a convenient easy way to incorporate nutritional raw materials into your day to day lives to guarantee that your body is getting the fundamental nutrients,
[18:36.000 --> 18:44.000]  the 90 essential vitamins, minerals, fats and amino acids it needs to do its healing work, you need to checkout infowarsteam.com.
[18:44.000 --> 18:51.000]  To give your body the gift of good nutrition, head over to infowarsteam.com. Your body will be very grateful.
[18:51.000 --> 19:15.000]  At infowarsteam.com, that's infowarsteam.com.
[19:15.000 --> 19:21.000]  Even if you don't believe in supplements, take the challenge, get a bottle of super male, a bottle of super female,
[19:21.000 --> 19:46.000]  check it out for yourself, consult your physician, visit infowarslife.com today, this is life changing.
[19:46.000 --> 20:01.000]  Find more details on this amazing new filter and free shipping at infowarsteam.com or call 888-253-3139 to order your ProMax shower filter from ProPure today.
[20:01.000 --> 20:18.000]  You're listening to the Alex Jones show.
[20:18.000 --> 20:28.000]  He aligns himself with the truth and it's time for you to choose a side. You're listening to Alex Jones.
[20:28.000 --> 20:35.000]  That's right, it's the Alex Jones show. I'm Anthony Gutiarty here with Rob Dew for the remainder of the program.
[20:35.000 --> 20:42.000]  Alex is supposed to call in and give us his opinion on the debate last night and what he sees going on with the elections.
[20:42.000 --> 20:51.000]  But first and foremost, we want to cover some news including a very particular headline that caught my attention when I came in today.
[20:51.000 --> 20:59.000]  And that is, Madeleine Albright saying there's a special place in hell for women who don't support Hillary. And this is no joke.
[20:59.000 --> 21:08.000]  This is from the American Mirror. Democratic women are issuing every threat imaginable in their effort to save Hillary Clinton's candidacy in New Hampshire.
[21:08.000 --> 21:22.000]  During an appearance with a candidate Saturday afternoon, former Secretary of State Madeleine Albright warned women of dire consequences if they don't support her preferred candidate.
[21:22.000 --> 21:25.000]  We've actually got the video here for you. So there's a special place in hell if you don't support Hillary Clinton. Let's go to this video.
[21:25.000 --> 21:38.000]  I'm going to tell our story about how we climbed the ladder. And a lot of you younger women don't think you have to. It's been done. It's not done. And you have to help. Hillary Clinton will always be there for you.
[21:38.000 --> 21:46.000]  And just remember, there's a special place in hell for women who don't help each other.
[21:46.000 --> 21:51.000]  Wow, that's really funny. If you don't vote for Hillary Clinton just because she's a female, then you're going to go to hell.
[21:51.000 --> 22:00.000]  Well, by that logic, I think if you're a male and you don't vote for one of the male Republican candidates, you're going to hell.
[22:00.000 --> 22:03.000]  Could you imagine if someone said that? That would be pretty offensive.
[22:03.000 --> 22:13.000]  Back in 2012, Anthony, Madeleine Albright said it was worth the 500,000 dead Iraqi children. It was worth that we went in there into Iraq. She said it was worth it.
[22:13.000 --> 22:22.000]  So she believes that killing 500,000 kids in the name of securing an oil empire and taking out a sovereign nation is worth it.
[22:22.000 --> 22:29.000]  So if you're getting your advice from Madeleine Albright, that's you're getting your advice from someone who thinks killing 500,000 children is worth it.
[22:29.000 --> 22:34.000]  Yeah, look at that headline. Madeleine Albright says 500,000 dead Iraqi children were worth it.
[22:34.000 --> 22:36.000]  And she won the Medal of Freedom.
[22:36.000 --> 22:37.000]  It's like a Nobel Prize Prize.
[22:37.000 --> 22:47.000]  Won the Medal of Freedom. Yeah, well, 500,000 dead children of any kind are not worth it to me or 1,001 dead child, especially considering that obviously we all know about the Iraq war.
[22:47.000 --> 22:52.000]  And talking about that, we're talking the break. I want to cover that before we get to this headline story.
[22:52.000 --> 22:55.000]  Trump's lead in New Hampshire grows while Sanders edge shrinks.
[22:55.000 --> 22:58.000]  Let's talk about Bernie Sanders for a second, right? The war on Iraq.
[22:58.000 --> 23:01.000]  I understand. I'm going to say something that's going to get me lynched right now.
[23:01.000 --> 23:07.000]  Okay, Grob, you're actually going to hate me too. I understand why people like Bernie Sanders.
[23:07.000 --> 23:14.000]  I really do, because if you look at his policy, besides the wealth free, Bush and part of the most people don't understand.
[23:14.000 --> 23:17.000]  There's that angle, right? There's the angle. Oh, he'll give us everything free.
[23:17.000 --> 23:20.000]  But if there is an angle where he is against the wars.
[23:20.000 --> 23:23.000]  He is against the NSA spying. He is against the Patriot Act.
[23:23.000 --> 23:30.000]  He is against many things that he pushes out there because I've spoken to Bernie supporters and they say, well, it sounds like Anthony.
[23:30.000 --> 23:35.000]  He's actually in line with what you believe because he's against the spying and some of the big government, big brother things.
[23:35.000 --> 23:39.000]  But then they just don't understand the rest of it is the key part. You see what I'm saying?
[23:39.000 --> 23:41.000]  Exactly. Your free health care is not free.
[23:41.000 --> 23:42.000]  Right.
[23:42.000 --> 23:45.000]  Your free college is not free. Somebody's got to pay for it.
[23:45.000 --> 23:53.000]  Now, if they were to lower our taxes to like 3% and cut the military spending, you know, bring home some of the people.
[23:53.000 --> 23:57.000]  Let's cut half the bases in the world. Just say half.
[23:57.000 --> 24:02.000]  All right, we'll start there. We'll start with half and then take that money that's being saved.
[24:02.000 --> 24:06.000]  Let's spend it on infrastructure. Let's spend it on lowering college tuition for people who need it.
[24:06.000 --> 24:14.000]  Let's spend it on health care for those who need it because I've been able to get along with my own health care system without going to Obamacare.
[24:14.000 --> 24:16.000]  I've been able to get along without it.
[24:16.000 --> 24:19.000]  Not to mention a ballot. I mean, we know, like we know, you could abolish the IRS.
[24:19.000 --> 24:20.000]  Oh, yeah.
[24:20.000 --> 24:22.000]  You could abolish the bloat of government system. You could lower to a flat tax.
[24:22.000 --> 24:25.000]  It would pretty much be solved, right? We know all that.
[24:25.000 --> 24:30.000]  But it's just, I understand why people think, oh, well, Bernie actually stands for some good things. They're just buying.
[24:30.000 --> 24:31.000]  They think he's a populist.
[24:31.000 --> 24:33.000]  They think he's a populist. Exactly.
[24:33.000 --> 24:39.000]  Meanwhile, Trump's lead in New Hampshire grows while Sanders' edge shrinks. This is from CNN.
[24:39.000 --> 24:46.000]  Overall, 33% of likely Republican primary voters say they backed Donald Trump, giving him a 17-point edge.
[24:46.000 --> 24:53.000]  On the Democratic side, Bernie Sanders holds 58% among likely Democratic primary voters, well ahead of Hillary Clinton's 35%.
[24:53.000 --> 24:58.000]  It says Donald Trump holds a growing lead in New Hampshire according to the latest CNN tracking poll.
[24:58.000 --> 25:02.000]  While on the Democratic side, Bernie Sanders' still-wide lead is a bit smaller.
[25:02.000 --> 25:09.000]  So Donald Trump is still leading, even with all the attacks on him, even with the media.
[25:09.000 --> 25:11.000]  And last night, actually, was driving in an Uber.
[25:11.000 --> 25:18.000]  And there was no mention of Donald Trump in the so-called Fox News debate coverage or whatever.
[25:18.000 --> 25:21.000]  They had this little thing on the radio that came on. It was like, the debate news.
[25:21.000 --> 25:26.000]  And they mentioned every single candidate besides Trump, obviously, because they don't have the best of relationships.
[25:26.000 --> 25:29.000]  But even with all the attacks and everything, Trump is still surging in the polls.
[25:29.000 --> 25:32.000]  He's still winning by a 17-point margin.
[25:32.000 --> 25:39.000]  It just goes to show that if you're actually a real human being and speak and are a populist, a real populist,
[25:39.000 --> 25:42.000]  and want to get rid of the IRS, you're getting the points ahead.
[25:42.000 --> 25:46.000]  And speaking of that, we've actually got Richard Reeves in New Hampshire right now on the ground.
[25:46.000 --> 25:48.000]  He's going to join us in the next segment.
[25:48.000 --> 25:54.000]  And he's got a special report that we're going to play for you as well about what he says the GOP has rigged the debate crowd
[25:54.000 --> 25:56.000]  despite Donald Trump.
[25:56.000 --> 26:19.000]  Let's go to that video before he joins us.
[26:26.000 --> 26:31.000]  What we did at the event is that they were hardcore GOP establishment folks.
[26:31.000 --> 26:36.000]  They were all basically repeating the rhetoric that the governors won tonight.
[26:36.000 --> 26:43.000]  The governors won tonight. Christy, Kasich, and Bush basically worked together to win the event.
[26:43.000 --> 26:47.000]  And so we will find out more as time goes on.
[26:47.000 --> 26:53.000]  But it was an event designed to bolster up the governors.
[26:53.000 --> 26:58.000]  And the audience was controlled and managed to that effect.
[26:58.000 --> 27:02.000]  Okay, so about how many people were in the audience? Because we weren't really able to see.
[27:02.000 --> 27:07.000]  Oh my goodness, there must have been 300, 400.
[27:07.000 --> 27:11.000]  It was different, I guess, than the other ones. I haven't been, didn't go to the other ones.
[27:11.000 --> 27:13.000]  But it was in a gym, so it was kind of flat.
[27:13.000 --> 27:16.000]  So it was a little bit harder to see for the people in the back.
[27:16.000 --> 27:21.000]  But it was, as you heard, I don't know if you did hear, but it's a fiery crowd.
[27:21.000 --> 27:23.000]  It was a lot different than the first debates.
[27:23.000 --> 27:28.000]  So do you know anything about how the folks that got tickets for the event, do you know anything about that?
[27:28.000 --> 27:34.000]  Yes, I do. Many went to the NHGOP and many went to the campaigns.
[27:34.000 --> 27:37.000]  The different campaigns were able to distribute them.
[27:37.000 --> 27:42.000]  So they had a certain amount that went to the different campaigns and they were able to distribute them.
[27:42.000 --> 27:46.000]  So what do you think is going to happen? What do you think the results might look like?
[27:46.000 --> 27:48.000]  Well, I can't say that either.
[27:48.000 --> 27:51.000]  I'm a county chair, so I have to be neutral.
[27:51.000 --> 27:56.000]  Okay, county chair. Do you have any insight as to how the audience was selected that attended?
[27:56.000 --> 27:58.000]  Were they mainly folks from New Hampshire or can you tell?
[27:58.000 --> 28:03.000]  Well, I saw some foreign diplomats there, so I went off from New Hampshire.
[28:03.000 --> 28:08.000]  There's a few people from out of state and dignitaries, but there was a lot of people I saw that I knew from inside the state.
[28:08.000 --> 28:15.000]  Also, quite a bit of the audience was volunteers that were like myself who were helping with the debate setup.
[28:15.000 --> 28:21.000]  And there were some extra spots at the end, probably from people who didn't make it in because of the snowstorm last night.
[28:21.000 --> 28:27.000]  We support the political institute, so we got tickets, but I don't know how they gave the rest.
[28:27.000 --> 28:32.000]  I think there were a lot of political activists here.
[28:32.000 --> 28:37.000]  There are definitely some political activists there. It sounded a lot like some establishment GOP.
[28:37.000 --> 28:38.000]  For really?
[28:38.000 --> 28:45.000]  Yeah, robots, Trump as well. Anyway, be right back with Richard Reeves, who is on the ground right now in New Hampshire.
[28:45.000 --> 28:47.000]  He is live. We'll be with him next segment, beginning of the segment.
[28:47.000 --> 29:09.000]  We'll be right back.
[29:17.000 --> 29:46.000]  We'll be right back.
[29:47.000 --> 29:50.000]  So order your unit today and receive free shipping and $20 off.
