[00:00.000 --> 00:14.000]  Waging War on Corruption. It's Alex Jones.
[21:17.000 --> 21:22.000]  And the Russians responded by bringing tanks and armor in and mobile ICBMs.
[21:22.000 --> 21:26.000]  And I've talked a lot about this is just to understand what's happening currently you've got to know what's going on now.
[21:26.000 --> 21:32.000]  So in my book when you attack Russia that's a criminal act.
[21:32.000 --> 21:35.000]  It's not America doing it it's the globalist controlling our country.
[21:35.000 --> 21:44.000]  Now they have overthrown the Ukrainian elected government calling them freedom fighters on our news.
[21:44.000 --> 21:50.000]  The new nationalistic government that's in charge is very anti-Russian.
[21:50.000 --> 21:56.000]  And I don't blame the Ukrainians a large portion of them not liking the country of Russia.
[21:56.000 --> 22:07.000]  Russia's occupied them off and on scores of times and did a lot of horrible things under Lenin and Stalin to them killed more than 10 million Ukrainian Kulaks or Christians.
[22:07.000 --> 22:15.000]  But the globalist sociologists are accentuating all these differences and all this animus just like they have racial divide here in the U.S.
[22:15.000 --> 22:21.000]  The Democrats stir up MSNBC engaging in divide and conquer.
[22:21.000 --> 22:25.000]  So it's the same story here yet again.
[22:25.000 --> 22:33.000]  And so there's no discussion in the media the controlled press in the U.S. or England or even Europe about how we got here.
[22:33.000 --> 22:43.000]  The West spent $5 billion well the State Department did alone others spent a lot more money to NGOs and George Soros groups separate from that spend hundreds of millions conservatively.
[22:43.000 --> 22:54.000]  To overthrow the government violently call them freedom fighters and then Russians in Russian cities where they're 75 85 or more percent Russian.
[22:54.000 --> 23:10.000]  They don't want to have their mayors and people that are elected beat up and overthrown and their TV stations taken over so their police have not been standing down and letting the Ukrainian military come in.
[23:10.000 --> 23:15.000]  And so now the Ukrainian military is invading all these different cities.
[23:15.000 --> 23:26.000]  And I mean smoke on the horizon burning buildings dead bodies checkpoints and the Russians are starting to mass troops on the board saying we will protect Russian interest if this continues.
[23:26.000 --> 23:30.000]  And we've now gotten the point where Fox News in England sky televisions what it's called.
[23:30.000 --> 23:41.000]  But some of our Murdoch is talking about imminent Russian invasion and so was the news here in the U.S. and they're talking about partitioning the country in two parts.
[23:41.000 --> 23:44.000]  Now here's the good news in all of this.
[23:44.000 --> 23:51.000]  There is a low probability chance that this is a stage deal set up months ago at Davos and this has happened before.
[23:51.000 --> 23:59.000]  Just like Hitler took one part of Poland and Stalin took the other they actually like they were fighting each other but really before World War Two it was a deal to divide the country.
[23:59.000 --> 24:01.000]  That's later been admitted.
[24:01.000 --> 24:11.000]  This could be a deal like that where Russia just takes one part of the country up to the river and up to Kiev.
[24:11.000 --> 24:15.000]  Just like that with East Germany at the end of World War Two.
[24:15.000 --> 24:16.000]  That's what empires do.
[24:16.000 --> 24:18.000]  They'll act like they're fighting but actually just divide things.
[24:18.000 --> 24:20.000]  I don't see that.
[24:20.000 --> 24:22.000]  This looks like this is real.
[24:22.000 --> 24:24.000]  The less has been trying to overthrow the Russian government.
[24:24.000 --> 24:29.000]  And again people are like what you like Putin it's not our business he's not attacking us.
[24:29.000 --> 24:31.000]  Putin isn't lobbying to take my guns.
[24:31.000 --> 24:32.000]  George Soros is.
[24:32.000 --> 24:38.000]  George Soros is lobbying to overthrow Russia.
[24:38.000 --> 24:45.000]  So that's what all of this comes down to.
[24:45.000 --> 24:48.000]  So I want to hear what you have to say coming up in the next segment.
[24:48.000 --> 24:55.000]  If you live in Ukraine you live in Poland where US troops are massing with NATO troops last week.
[24:55.000 --> 25:03.000]  If you live in Russia you'll have to dial your regular you know computer phone number and then call our toll free number.
[25:03.000 --> 25:05.000]  That is the weekend phone number.
[25:05.000 --> 25:08.000]  It's 877-789-2539.
[25:08.000 --> 25:12.000]  877-789-2539.
[25:12.000 --> 25:15.000]  And I do this every few weeks on this topic specifically.
[25:15.000 --> 25:21.000]  I want to hear from active duty military or military retired or contractors people that have been in Ukraine.
[25:21.000 --> 25:23.000]  Do you disagree with my take on this?
[25:23.000 --> 25:24.000]  I'd like to hear from you.
[25:24.000 --> 25:29.000]  800-25 at 99-231 is the weekday number.
[25:29.000 --> 25:31.000]  That number doesn't work on the Sunday show.
[25:31.000 --> 25:34.000]  We produce this all out of house here in Austin, Texas.
[25:34.000 --> 25:38.000]  So it's 877-789-Alex.
[25:38.000 --> 25:42.000]  And just dial your country code and all that and call us then at that number.
[25:42.000 --> 25:45.000]  I'd like to hear from 877-789-Alex.
[25:45.000 --> 25:50.000]  Or you can call us international 512-646-1776.
[25:50.000 --> 25:54.000]  512-646-1776.
[25:54.000 --> 25:58.000]  And I want to hear from folks in Russia, people in Eastern Europe.
[25:58.000 --> 26:04.000]  But this affects everybody worldwide but I want to hear from people that are informed.
[26:04.000 --> 26:09.000]  Another big question is how does the West think the interest that run the West they're going to get away with this.
[26:09.000 --> 26:11.000]  This is a big deal.
[26:11.000 --> 26:25.000]  Because our government and the NATO and EU government, when they couldn't economically and politically conquer Ukraine and suck it dry, they voted to not join.
[26:25.000 --> 26:29.000]  And so their elected government was overthrown with quote, US money.
[26:29.000 --> 26:30.000]  This is not US money.
[26:30.000 --> 26:34.000]  This is the US taxpayer money being used to do this by the globalists.
[26:34.000 --> 26:40.000]  But nevertheless, to start this whole process with Russia in a new Cold War.
[26:40.000 --> 26:49.000]  When Russia isn't communist anymore, they're certainly autocratic and attacking Russia like this politically and economically and now militarily.
[26:49.000 --> 26:54.000]  And trying to cut off their gas to Europe, their main funding mechanism, will only make them more authoritarian.
[26:54.000 --> 27:00.000]  So again, the globalist interest playing all the sides off against each other, they stand to gain out of crisis.
[27:00.000 --> 27:03.000]  Russia suffers, the US suffers, Ukraine suffers.
[27:03.000 --> 27:05.000]  I want Ukraine for Ukrainians.
[27:05.000 --> 27:09.000]  They should be kicking the Russian government out and the Western government out.
[27:09.000 --> 27:11.000]  And there was a movement to do that.
[27:11.000 --> 27:16.000]  Let's go to this Sky Television piece where they talk about war with Russia and an imminent Russian invasion.
[27:16.000 --> 27:18.000]  That's a quote, imminent Russian invasion.
[27:18.000 --> 27:21.000]  If NATO counters, it could turn into World War 3.
[27:21.000 --> 27:22.000]  Here it is.
[27:22.000 --> 27:28.000]  There is only one reason for these Russian aircraft to be violating Ukrainian airspace.
[27:28.000 --> 27:31.000]  And that's to conduct reconnaissance missions.
[27:31.000 --> 27:41.000]  There is an added urgency to Ukraine's Prime Minister's trip to drum up support for sanctions against Russia in Europe.
[27:41.000 --> 27:56.000]  We urge Russia to pull back its security forces, not to provoke and not to support Russian-lead terrorists that are located and deployed in eastern and southern Ukraine.
[27:56.000 --> 28:04.000]  Eight foreign OSCE military observers and five Ukrainian officers have been captured by pro-Russian separatists.
[28:04.000 --> 28:07.000]  They stand accused of spying.
[28:09.000 --> 28:12.000]  They have no relation to any OSCE mission.
[28:12.000 --> 28:17.000]  As we found mats on them containing information about the location of our checkpoints,
[28:17.000 --> 28:21.000]  we get the impression that they are officers carrying out a certain spying mission.
[28:21.000 --> 28:31.000]  The OSCE has sent negotiators to secure their release from detention somewhere here in Sloviansk, and the Russians have promised to help.
[28:31.000 --> 28:41.000]  This is the latest relatively small local incident that has had international reverberations in the Ukrainian crisis.
[28:41.000 --> 28:43.000]  But the stakes are high.
[28:43.000 --> 28:52.000]  Nothing less than the division of Ukraine with the East renamed New Russia on this map posted by the former separatist leader.
[28:52.000 --> 29:17.000]  We'll come back and talk about what they're calling the imminent invasion by Russia of Ukraine. Stay with us.
[29:22.000 --> 29:29.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at infowarslife.com.
[29:29.000 --> 29:36.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[29:36.000 --> 29:43.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[29:43.000 --> 29:47.000]  Dropped by the site today, order a bag or two, and I don't think you're going to be disappointed.
[29:47.000 --> 29:57.000]  Available in original or with our immune support infusion blend. You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[29:57.000 --> 29:59.000]  Available at infowarslife.com.
[29:59.000 --> 30:05.000]  The globalist social engineers are not just targeting us with propaganda. They are manipulating our genetics.
[30:05.000 --> 30:14.000]  We are being targeted at every level by estrogen mimicers that lower our testosterone and other hormones and natural compounds that the body needs.
[30:14.000 --> 30:24.000]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula,
[30:24.000 --> 30:30.000]  sourced from powerful organic herbs, and then concentrated for maximum potency.
[30:30.000 --> 30:38.000]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[30:38.000 --> 30:45.000]  Super male vitality by infowarslife is so powerful that I only take half the recommended dose.
[30:45.000 --> 30:54.000]  For a limited time, we are offering 15% off super male vitality at infowarslife.com to introduce you to this powerful supplement.
[30:54.000 --> 31:00.000]  Visit infowarslife.com today to secure your super male vitality at infowarslife.com.
[31:00.000 --> 31:04.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[31:04.000 --> 31:08.000]  This year alone, over 300,000 people in West Virginia had their drinking water contaminate.
[31:08.000 --> 31:12.000]  What are the health effects of having these drugs in our drinking water?
[31:12.000 --> 31:15.000]  It's forced medical treatment without the consent of residents.
[31:15.000 --> 31:22.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[31:22.000 --> 31:26.000]  On average, the county says it sprays with glyphosate at least once a week.
