[00:00.000 --> 00:21.240]  these
[04:49.880 --> 04:50.880]  and misdemeanors.
[04:50.880 --> 04:59.120]  I don't know where they're from.
[04:59.120 --> 05:03.720]  Well, the president came out this last Wednesday and said, there is an ongoing coup against
[05:03.720 --> 05:13.920]  me by the people to understand what's happening and to spread the word and to call Congress
[05:13.920 --> 05:16.240]  and to financially support me into this election.
[05:16.240 --> 05:17.320]  That's all totally true.
[05:17.320 --> 05:18.320]  Please do it.
[05:18.320 --> 05:19.720]  Also in full force, easier support.
[05:19.720 --> 05:20.720]  I make it easy.
[05:20.720 --> 05:23.440]  It's one of the very best supplements that make your life so much better than made mine
[05:23.440 --> 05:24.440]  amazing.
[05:24.440 --> 05:27.960]  We've got so much great patriot apparel to spread the word and meet like-minded people.
[05:27.960 --> 05:32.680]  We've got such amazing water filtration, air filtration, all the best systems, the lowest
[05:32.680 --> 05:33.680]  prices.
[05:33.680 --> 05:36.200]  And right now, the sales got to end the next few days.
[05:36.200 --> 05:39.800]  Storewide free shipping, double patriot points to your next order, 50% off all of the high
[05:39.800 --> 05:42.120]  quality supplements and so much more.
[05:42.120 --> 05:43.560]  So get your great coffee.
[05:43.560 --> 05:45.080]  Get your great fluoride free drink base.
[05:45.080 --> 05:48.840]  Get it all at infowarstore.com, sign up for auto shipping, the additional 10% off, whatever
[05:48.840 --> 05:49.840]  you do.
[05:49.840 --> 05:52.600]  That's all for now because history is taking place.
[05:52.600 --> 06:11.760]  Black Friday comes two months early, mega sale is about to end.
[06:11.760 --> 06:18.240]  Look at what happened in Tiananmen Square back in 1989, thousands were shot dead and
[06:18.240 --> 06:23.800]  run over by army tanks there in the college area when they simply came out and said, we
[06:23.800 --> 06:25.760]  want to be able to vote.
[06:25.760 --> 06:28.760]  We want to be able to have representative government.
[06:28.760 --> 06:37.960]  In 1986, the chairman of the Communist Party by the name of Hu Yaobang, who was a sympathetic
[06:37.960 --> 06:46.600]  to the student's debate and democracy movement at that level, was stripped of his position
[06:46.600 --> 06:50.400]  and put him under house arrest.
[06:50.400 --> 06:57.360]  When that happened, China came into a relatively repressive period when all the debate had
[06:57.360 --> 07:07.000]  to go underground, which caused a lot of tension and that built up till the spring of 1989 when
[07:07.000 --> 07:11.240]  Hu Yaobang unexpectedly died of a heart attack.
[07:11.240 --> 07:17.520]  And that, as you all remember, was the event that triggered Tiananmen Square demonstrations.
[07:17.520 --> 07:23.440]  Those days, as a 21-year-old student leader marching on the streets of Beijing and occupying
[07:23.440 --> 07:28.640]  Tiananmen Square, we not only had the support of the Chinese people, we had the support
[07:28.640 --> 07:33.240]  from all over the world, particularly in the democratic countries.
[07:33.240 --> 07:39.440]  Clearly, you felt we were fighting for the same as you had fought for and lived by.
[07:39.440 --> 07:45.280]  It felt like history was on our side and victory would be ours soon.
[07:45.280 --> 07:53.000]  On June 4, 1989, the Chinese Communist Party sent troops to massacre the people it claimed
[07:53.000 --> 07:54.520]  to represent.
[07:54.520 --> 08:00.480]  In order to save its own skin, the Communist Party brutally suppressed freedom of expression
[08:00.480 --> 08:02.640]  and crushed all dissents.
[08:02.640 --> 08:10.600]  It has continued to rule since then at the barrel of guns using fear and lies.
[08:10.600 --> 08:16.000]  The People's Republic of China is not a republic, neither is North Korea.
[08:16.000 --> 08:23.960]  It is a Politburo, Central Committee, dictatorship of the grandchildren and the children of the
[08:23.960 --> 08:29.400]  people who overthrew and took over China in its weakened position from the Japanese at
[08:29.400 --> 08:36.280]  the end of World War II and leftist in America and major foundations, backed that so the
[08:36.280 --> 08:41.880]  robber barons would have a country with hundreds of millions of slaves to be able to leverage
[08:41.880 --> 08:43.920]  out the rest of the world economy.
[08:43.920 --> 08:48.760]  And now it is the China Century, according to the anti-American globalist at the Council
[08:48.760 --> 08:49.760]  on Foreign Relations.
[08:49.760 --> 08:55.400]  Will the 21st century be the American Century or will it be the Chinese Century?
[08:55.400 --> 08:57.080]  The Chinese are moving up fast.
[08:57.080 --> 08:58.400]  There's no doubt about that.
[08:58.400 --> 09:04.600]  When I was there just about a month ago and the change in 25 years because it was 25 years
[09:04.600 --> 09:07.880]  ago that I was first there, it is extraordinary.
[09:07.880 --> 09:13.080]  What would be the consequence, in your opinion, if Trump were to confront China on trade?
[09:13.080 --> 09:24.960]  One can expect that people like myself and those leading Americans who for eight administrations
[09:24.960 --> 09:32.600]  have pursued a common policy will continue to believe in those principles and will continue
[09:32.600 --> 09:34.120]  to advocate them.
[09:34.120 --> 09:39.360]  But we're beginning to see signs that the fabric of how we finessed it is beginning
[09:39.360 --> 09:40.360]  to fray.
[09:40.360 --> 09:44.560]  So I actually think it's possible not just an economic confrontation with China but also
[09:44.560 --> 09:49.520]  a political and strategic confrontation in ways that if you had had me on the show one
[09:49.520 --> 09:51.640]  or two years ago I would not have predicted.
[09:51.640 --> 09:55.360]  This relationship is deteriorated significantly in a short amount of time.
[09:55.360 --> 09:58.560]  The folks in Hong Kong said when they build this bridge that took five years, the biggest
[09:58.560 --> 10:03.720]  bridge in the world, from the mainland here, it will be used to bring in tanks and troops.
[10:03.720 --> 10:10.240]  The bridge hadn't even been completed two months when tanks and armored vehicles and
[10:10.240 --> 10:15.640]  hundreds and hundreds of thousands of troops per week began pouring in a few months ago.
[10:15.640 --> 10:18.240]  Again, it got completed what six months ago.
[10:18.240 --> 10:21.600]  They began pouring in right after that and they've been pouring in hundreds of thousands
[10:21.600 --> 10:23.880]  every week since then.
[10:23.880 --> 10:30.640]  No one knows the full number but it's reportedly over a million because very few leave back
[10:30.640 --> 10:34.680]  to the mainland they've been massing troops there.
[10:34.680 --> 10:36.320]  Look around us.
[10:36.320 --> 10:41.440]  The societies that have made the most spectacular progress in the shortest period of time are
[10:41.440 --> 10:46.880]  not the most rigidly organized nor even the richest in natural resources.
[10:46.880 --> 10:53.240]  No, it's where people have been allowed to create, compete, and build.
[10:53.240 --> 10:57.680]  Where they've been permitted to think for themselves, make economic decisions, and benefit
[10:57.680 --> 11:04.360]  from their own risks, that societies have become the most prosperous, progressive, dynamic,
[11:04.360 --> 11:05.360]  and free.
[11:05.360 --> 11:13.880]  If you are receiving this transmission, you are the resistance.
[11:13.880 --> 11:23.120]  Ladies and gentlemen, we are live, broadcasting worldwide on this Sunday, October 6, 2019,
[11:23.120 --> 11:29.200]  and I'm going to cover the news we're going to hit on the other side of this break.
[11:29.200 --> 11:36.640]  I just want to say that the news we're going to be covering here tonight is about as concerning
[11:36.640 --> 11:41.680]  and serious as it can get and I don't know what's going to happen to this country in
[11:41.680 --> 11:49.880]  the future because we are a very domesticated, very soft, entertained to death delusional
[11:49.880 --> 11:57.920]  nation now that is extremely disconnected from the land and disconnected from history
[11:57.920 --> 12:02.720]  and disconnected from our families and disconnected from ourselves.
[12:02.720 --> 12:10.920]  Now I say all of that not to be mean and not to be on some proverbial high horse like I'm
[12:10.920 --> 12:12.200]  perfect myself.
[12:12.200 --> 12:21.960]  I say that because knowing the problems that we have as a civilization and as a society
[12:21.960 --> 12:29.080]  are what are going to let us know how to fix these problems.
[12:29.080 --> 12:34.200]  Now we have a lot of big news, obviously, to cover here today.
[12:34.200 --> 12:40.000]  In fact, so much big news that I went to rebroadcast for the first seven, eight minutes of the
[12:40.000 --> 12:47.880]  show so that I could work on what I'm about to break down here on air.
[12:47.880 --> 12:52.360]  And so, again, when we come back from break, I'm going to reset as best I can.
[12:52.360 --> 13:02.240]  I'm going to restart the show and I'm going to really try to lay out exactly what's unfolding.
[13:02.240 --> 13:09.960]  But there is no doubt that there is an attempted coup taking place not just against the president
[13:09.960 --> 13:14.280]  but against this country's very existence.
[13:14.280 --> 13:20.440]  No one can deny that we've become a very corrupt nation, a very drugged up nation, a very ignorant
[13:20.440 --> 13:23.800]  nation, a very unhealthy nation on average.
[13:23.800 --> 13:30.520]  But still we have a lot of attributes that powerful countries and corporate systems want
[13:30.520 --> 13:40.400]  to take control of.
[13:40.400 --> 13:41.960]  And that is what's going on.
[13:41.960 --> 13:49.880]  We are in the middle of a coup against this country.
[13:49.880 --> 13:57.840]  And we see all the trappings, the censorship, the social unrest, the collapsing borders,
[13:57.840 --> 14:08.120]  the economic warfare, the physical warfare, the crises happening all around the planet.
[14:08.120 --> 14:15.000]  And the Democrats bought and paid for by multinational interest are openly for the team that wants
[14:15.000 --> 14:17.320]  to bring this country down.
[14:17.320 --> 14:25.480]  That's really what it comes down to.
[14:25.480 --> 14:36.400]  And so we need to look at what that coup comprises itself of and the information that a lot of
[14:36.400 --> 14:46.240]  organizations and groups are pushing for a classical physical coup.
[14:46.240 --> 14:54.280]  And they're trying to hype the intelligence agencies that are a bunch of spoiled, rotten
[14:54.280 --> 15:06.640]  Ivy League snot noses at the top into making a move on the president outside of Congress.
[15:06.640 --> 15:20.160]  Now if you remember, back in 2017, six months into the year at the Aspen Institute being
[15:20.160 --> 15:33.920]  hosted by Wolf Blitzer of CNN, several of Obama's former operatives, Peyton, Brennan,
[15:33.920 --> 15:39.960]  all of them got up on the stage and said, the president will be gone by December.
[15:39.960 --> 15:41.720]  And Blitzer said, you mean impeachment?
[15:41.720 --> 15:44.480]  They said, no, we mean another way.
[15:44.480 --> 15:47.320]  Well, they're now making that move right now.
[15:47.320 --> 15:52.640]  And Trump has called the Marine Corps reserves up to deal with the breakdown of civilization
[15:52.640 --> 15:54.360]  and to aid civil authorities.
[15:54.360 --> 15:55.360]  Break it down.
[15:55.360 --> 15:57.120]  We come back.
[15:57.120 --> 16:02.960]  I'm up here with the crew, just late at night, but I can't leave the office because history
[16:02.960 --> 16:04.640]  is happening right now.
[16:04.640 --> 16:09.760]  This is a battle of wills between those that want a free world and those that want tyranny,
[16:09.760 --> 16:13.760]  those who've bet against humanity and those who've bet on humanity.
[16:13.760 --> 16:15.440]  So I'm so thankful to you, the listeners.
[16:15.440 --> 16:19.160]  You are the salt of the earth, you're the people that understand what's happening and
[16:19.160 --> 16:22.360]  who have helped launch a worldwide revolution against tyranny.
[16:22.360 --> 16:25.640]  So I thank you again, but please understand how important you are and understand that
[16:25.640 --> 16:29.920]  your word of mouth and your prayer and your financial support is absolutely more critical
[16:29.920 --> 16:30.920]  than ever.
[16:30.920 --> 16:34.800]  Not just for President Trump, but for M. Full Wars, who is President Trump's bullhorn
[16:34.800 --> 16:36.520]  of nationalism and patriotism.
[16:36.520 --> 16:40.920]  Please spread the word about M.FullWars.com, port slash show, band dot video and all the
[16:40.920 --> 16:46.000]  powerful transmissions and reports, support yourselves with great products at M.FullWars.com.
[16:46.000 --> 16:49.760]  This big mega sale that I call Black Friday comes early, is about to end, store-wide free
[16:49.760 --> 16:54.360]  shipping, double-patriot points, 50% off all the amazing supplements and all the emergency
[16:54.360 --> 16:57.800]  goods at M.FullWars.com.
[16:57.800 --> 17:02.560]  Globalism was doomed to fail if we just exposed it and then resisted it.
[17:02.560 --> 17:07.000]  Didn't I say a thousand times that there's no way you're going to have an authoritarian
[17:07.000 --> 17:11.520]  corporate rule government above the law that doesn't pay taxes, that has diplomatic immunity,
[17:11.520 --> 17:16.120]  that runs around saying it's communist and socialist power to the people, but then meanwhile
[17:16.120 --> 17:17.680]  is tax exempt again offshore.
[17:17.680 --> 17:21.280]  Well, Trump got that and all these other populace get it.
[17:21.280 --> 17:25.520]  Why would you throw away wealthy, successful countries and cultures just so you can say
[17:25.520 --> 17:30.400]  the communist Chinese, the David Rockefeller, Putin power are better than everybody?
[17:30.400 --> 17:36.240]  That is a sick, freakish joke and I will not stand by and watch humanity turned over to
[17:36.240 --> 17:41.440]  these people and I beg God for the strength and the will to have the discernment to help
[17:41.440 --> 17:47.120]  me part of their defeat and I've been saying that prayer for 20-plus years and God is delivering
[17:47.120 --> 17:52.960]  because God is great, thank God for his son Jesus Christ and now let's move forward against
[17:52.960 --> 17:57.960]  the NW.
[17:57.960 --> 18:02.000]  There are few things in this universe that are a sure bet, but I'm here to tell you the
[18:02.000 --> 18:05.320]  products at M.FullWars.com are.
[18:05.320 --> 18:12.880]  We go out, we find out what is the best rated, best tested, most loved, most documented substances
[18:12.880 --> 18:17.640]  that God gave us through Mother Nature and then we make it even stronger, even better
[18:17.640 --> 18:19.120]  and lower the price.
[18:19.120 --> 18:23.480]  Now turmeric has been known for thousands of years to help with inflammation, headaches,
[18:23.480 --> 18:29.240]  it's good for the immune system, so many things, it sells itself, but normal turmeric
[18:29.240 --> 18:37.040]  only has 3-5% curcuminoid, the active enzyme or system in the plant, originally obviously
[18:37.040 --> 18:38.040]  from India.
[18:38.040 --> 18:44.600]  Well, body's ultimate turmeric formula has a 95% curcuminoid level, but it's got other
[18:44.600 --> 18:49.240]  natural things that help boost it, help your body absorb it and that's why people absolutely
[18:49.240 --> 18:50.240]  love it.
[18:50.240 --> 18:56.640]  I'm doing this offer for people that haven't tried it yet, 50% off on bodies at M.FullWars.com.
[18:56.640 --> 19:03.000]  The globalist and their democrat minions are on the verge of taking this cold civil war
[19:03.000 --> 19:04.000]  hot.
[19:04.000 --> 19:09.240]  They have pushed and pushed and pushed and engaged in hoaxes and crimes and censorship
[19:09.240 --> 19:14.840]  and sabotage of the economy and attacks run by the UN on the border that are nothing short
[19:14.840 --> 19:15.840]  of war.
[19:15.840 --> 19:20.720]  And that's because it is a war by multinational corporations, ally with the chai comms and
[19:20.720 --> 19:26.000]  others with the Hollywood, America hating, God hating filth to try to capture the United
[19:26.000 --> 19:27.000]  States.
[19:27.000 --> 19:33.240]  This is 21st century war and wars need money to be prosecuted and we're actually winning
[19:33.240 --> 19:36.000]  the war, but the enemy's throwing their full weight at us right now.
[19:36.000 --> 19:40.720]  That's why we need financial support, it's a total 360 win, double patriot points, 50%
[19:40.720 --> 19:43.840]  off, store-wide free shipping, it's about to end with a running out of a lot of these
[19:43.840 --> 19:48.640]  products at M.FullWars.com, but I need you to get in there, step to the plate, get high
[19:48.640 --> 19:53.120]  quality products you already need and fund the information war at M.FullWars.com.
[19:53.120 --> 20:03.320]  You're listening to the Alex Jones show.
[03:41.120 --> 20:47.280]  stories are up on M.FullWars.com, NewsWars.com and the main article originates
[20:47.280 --> 20:54.120]  from NaturalNews.com, I've been talking to Mike Adams today, he's gonna be with us tomorrow
[20:54.120 --> 20:59.120]  in studio hopefully if not Skype and he's been talking to his sources, I've been talking
[20:59.120 --> 21:09.640]  to my sources and this is a public document from October 3rd, ladies and gentlemen, 2019
[21:09.640 --> 21:16.760]  memorandum 55019, already the left is trying to spin this to a previous order from years
[21:16.760 --> 21:21.840]  ago, planning this order is not accurate, that is not the case, ladies and gentlemen,
[21:21.840 --> 21:27.760]  U.S. Marine Reserves units activated for an emergency within the United States, which
[21:27.760 --> 21:33.560]  will come with little warning sites threats to the homeland.
[21:33.560 --> 21:37.920]  Now we have the Democrats running around saying they want the 25th Amendment, they want Trump
[21:37.920 --> 21:43.360]  removed out of office, 22nd Amendment saying that they want to say that he's basically
[21:43.360 --> 21:49.680]  mentally ill, you also have them classically running around on CNN saying it's time to
[21:49.680 --> 21:54.280]  kill him, it's time to remove him, you've got Maxine Waters saying that impeachment
[21:54.280 --> 21:58.520]  is too good for him, he needs to be in prison in solitary confinement, you've got Phil Mudd
[21:58.520 --> 22:03.360]  of the CIA who famously said the intelligence agencies are gonna kill this guy, he now said
[22:03.360 --> 22:09.640]  last Friday that someone's gonna stab him in the back with a shank, we have Trump saying
[22:09.640 --> 22:15.920]  this is a coup to remove an elected president, so these are epic unprecedented times, and
[22:15.920 --> 22:27.160]  you've got the Attorney General lined up and getting ready and reportedly about to release
[22:27.160 --> 22:40.400]  these men in the Associated Press, the AG report dealing with all of the illegal spying on the Trump campaign
[22:40.400 --> 22:46.520]  by the Obamas and the Clintons, and the reported indictment of Andy McCabe, who will be the
[22:46.520 --> 22:51.480]  first FBI Director in history to be indicted, of course it came out three weeks ago that
[22:51.480 --> 22:55.400]  he's been indicted, but that they brought it up to the Deputy Director of the Justice
[22:55.400 --> 22:59.880]  Department that's over those things to hopefully have it quashed or squashed and that did not
[22:59.880 --> 23:06.600]  happen, so the deep state is scared and they've launched this new Russia hoax 2.0, the Ukraine
[23:06.600 --> 23:12.640]  hoax, and the first quote whistleblower was third hand, probably just shift making it
[23:12.640 --> 23:18.840]  up, we know he reads fake transcripts from the House Intelligence Committee Chairman's
[23:18.840 --> 23:26.800]  Dias, so now someone who had second hand knowledge reportedly is filing, and so that's all this
[23:26.800 --> 23:31.680]  is, it's just like Velazie Ford and all these other fake women coming out with fake stories,
[23:31.680 --> 23:37.520]  they just want to have this drip, drip, drip, drip, drip, where this all builds up, that
[23:37.520 --> 23:41.320]  oh we've got him talking to foreign leaders, he's a traitor again, just like he's getting
[23:41.320 --> 23:46.000]  peed on by Russian hookers, none of it's true, he releases the real transcript, not there,
[23:46.000 --> 23:50.160]  but then Trump goes of course, I'm bringing up all the corrupt deals, the Obamas and the
[23:50.160 --> 23:55.720]  Clinton signed with China and everybody else, we're ending those deals where they would
[23:55.720 --> 23:59.480]  get pay, they would get money, they would get on the board of directors of these different
[23:59.480 --> 24:05.360]  companies and then they would sell out US interest, of course I'm stopping all that, that's my
[24:05.360 --> 24:11.920]  job is to go through all these deals and make better deals, I'm doing it to stop corruption,
[24:11.920 --> 24:16.520]  so they're trying to turn this around and say oh no, that's corruption to try to stop
[24:16.520 --> 24:21.840]  the ongoing deals with all these companies that Republican and Democrats, but mainly
[24:21.840 --> 24:28.160]  Democrats, but some Republicans are involved, the neocons, in setting up, Ukraine has been
[24:28.160 --> 24:32.760]  a giant cash machine, it's been a civil war for a long time and the West has been funding
[24:32.760 --> 24:37.120]  up to $5 billion a year into it trying to kick Russian interest out before the civil
[24:37.120 --> 24:42.520]  war started five years ago.
[24:42.520 --> 24:50.040]  So we're on the precipice here of a real coup, a hot coup against the president and the take-away
[24:50.040 --> 24:55.880]  is the fact that he's called up Marines, that you don't call up for hurricanes or tornadoes
[24:55.880 --> 25:01.320]  or earthquakes, call up the Marines for an emergency within the United States which will
[25:01.320 --> 25:09.800]  come with little warning, cites threats in the homeland.
[25:09.800 --> 25:14.560]  Incredible article at naturalnews.com, we have the article mirrored at infowars.com with
[25:14.560 --> 25:20.880]  our live feed so we can show you more and so you can share that link.
[25:20.880 --> 25:26.560]  Trump activates US Marines reserves for quote, emergency within the United States to stop
[25:26.560 --> 25:32.360]  illegal coup, order says emergency will come with little warning, cites threats within
[25:32.360 --> 25:37.480]  the homeland, click below for live coverage, I suggest you share that.
[25:37.480 --> 25:42.440]  Now the reason I added the part about clearly this is for a coup is that's what our sources
[25:42.440 --> 25:47.160]  are saying, the president says there's an ongoing coup and President Trump has told
[25:47.160 --> 25:52.520]  confidants in the past that if they ever try any legal coup on him outside of Congress,
[25:52.520 --> 26:00.280]  outside of law, which they're now saying they'll do, that he will use the Marines to encircle
[26:00.280 --> 26:06.960]  the White House and then send the Army and Marines in to round up the coup plotters.
[26:06.960 --> 26:12.240]  So this is what you see in Turkey, it's what you see in Guatemala, it's what you see in
[26:12.240 --> 26:17.640]  Venezuela, it's the type of crap you see in countries whose intelligence services battle
[26:17.640 --> 26:20.240]  over who controls the nation, not the voters.
[26:20.240 --> 26:25.800]  I've said it, Tucker Carlson said it, President Trump has said it, this is about intelligence
[26:25.800 --> 26:31.880]  agencies wanting to take over the government fully and wanting to nullify an election.
[26:31.880 --> 26:36.060]  And so they say we're in a civil war, they say they're going to remove the president,
[26:36.060 --> 26:40.480]  they say they're going to trigger riots, Trump goes that's wrong, you're putting us into
[26:40.480 --> 26:45.200]  a civil war, they go oh my God, you want a civil war, that's impeachable.
[26:45.200 --> 26:49.920]  So we see them agitating, we see them pushing, we see them preparing, we see them getting
[26:49.920 --> 26:59.840]  everybody upset.
[26:59.840 --> 27:03.840]  And then sitting back when they create the crisis and Pelosi goes I'm so sad, we're
[27:03.840 --> 27:08.280]  going to have to have an impeachment, oh it's going to tear our country apart, can't believe
[27:08.280 --> 27:12.120]  Trump's brought us to this place, it's so horrible when they've been trying to impeach
[27:12.120 --> 27:15.560]  him before he ever got in office.
[27:15.560 --> 27:16.560]  That's right.
[27:16.560 --> 27:21.120]  Oh, he's criminal, the Russians stole it, so don't seat the delegates, he'll be gone
[27:21.120 --> 27:27.240]  before January 20th, 2017, then once he got in, remember all the reports we filed, all
[27:27.240 --> 27:33.120]  the shows we covered, where they had the Aspen Institute on CNN with both Blitzer, and he
[27:33.120 --> 27:47.320]  had Brennan, and he had Clapper on the stage, and they said oh, he'll be gone by December,
[27:47.320 --> 27:50.200]  by the fiscal year, that's when they want to get him done by so they can get a hold of
[27:50.200 --> 27:55.040]  the budget again and give themselves all that money again, the Swiss bank accounts aren't
[27:55.040 --> 28:00.480]  big enough, remember that, got to play that clip again, where they said he'll be gone by
[28:00.480 --> 28:09.240]  December, okay, well that was two years ago now, and then oh, it's the 22nd amendment,
[28:09.240 --> 28:13.400]  he's mentally ill, we've got to get rid of him, we've got to get members of his cabinet
[28:13.400 --> 28:16.720]  to do it, so they're threatening members of his cabinet, and so they came up with a plan
[28:16.720 --> 28:22.480]  since Russiagate had zero truth in it, well at least if we have him on real phone calls
[28:22.480 --> 28:27.640]  with world leaders, we'll claim those are inappropriate, and claim that there's quid
[28:27.640 --> 28:32.720]  pro quo going on, and we'll have enough people just say it, at least the phone calls are
[28:32.720 --> 28:36.200]  real even though the contents aren't real, maybe that'll work, and we'll have enough
[28:36.200 --> 28:39.840]  of a smoke screen there to scare enough people and claim they're going to jail that they'll
[28:39.840 --> 28:45.240]  agree to a 22nd amendment, but Trump won't go quietly, so they'll have to incapacitate
[28:45.240 --> 28:49.200]  him or kill him, and they shot Ronald Reagan one year into office, Trump's way overdue
[28:49.200 --> 28:53.720]  for it folks, this nation is in total crisis right now, there is a coup going into hot
[28:53.720 --> 29:03.080]  food right now, the gauntlet has been thrown down, every major democrat candidate has come
[29:03.080 --> 29:08.680]  out and said they want to confiscate all semi auto firearms, and now buddha judge has come
[29:08.680 --> 29:14.480]  out and said that it's about political power, that's why they want the guns, well finally
[29:14.480 --> 29:19.480]  they're being honest, because all their lies haven't got them to the point they want, so
[29:19.480 --> 29:24.080]  now they're just trying to normalize all this tyranny, it shows what incredible followers
[29:24.080 --> 29:28.440]  these people are, the globalists know they're not going to get this without a civil war,
[29:28.440 --> 29:32.680]  and they know that the minions trying to carry this out are not going to be in a good position
[29:32.680 --> 29:37.560]  in that civil war, but it's up to us to understand the big picture, to carry the fight to the
[29:37.560 --> 29:42.760]  enemy in the information war, before they can kick off a hot civil war, that's our mission,
[29:42.760 --> 29:47.720]  if you choose to accept it, so please spread the word about infowars.com, board slash show,
[29:47.720 --> 29:51.880]  and dot video, and all the powerful transmissions and reports, and take advantage of store-wide
[29:51.880 --> 29:58.880]  free shipping, double patriot points, 50% off it's about to end, at infowarsstore.com.
[29:58.880 --> 30:02.800]  You know I'm angry, because I'm not just going to sit here and take this scientific
