[00:00:17.922 --> 00:00:20.244]  It's Tuesday, July 6th.
[00:03:02.910 --> 00:03:04.930]  I'm not saying Brian Stelter is a pedophile.
[00:03:04.930 --> 00:03:19.014]  I'm saying if I was a Hollywood director casting someone that kidnaps children off the streets, takes them into a dungeon and eats them, or grabs them out of gutters and manhole covers, hit the clown, it would be this individual.
[00:03:19.014 --> 00:03:24.535]  In fact, putting the hit-the-clown regalia on him only makes him look likable.
[00:03:24.535 --> 00:03:25.575]  Take it off!
[00:03:25.575 --> 00:03:26.515]  Back it up!
[00:03:26.515 --> 00:03:28.616]  That's scary as hell!
[00:03:30.865 --> 00:03:34.388]  I mean, that's like a monster creature out of nightmares.
[00:03:34.388 --> 00:03:40.353]  But he is the mouth, the puppet, of Jeff Zucker.
[00:03:40.353 --> 00:03:43.456]  Who I will say looks almost as creepy, but not as creepy.
[00:03:43.456 --> 00:03:47.660]  I mean, Brian Stelter's gonna be the creepiest man in the galaxy.
[00:03:47.660 --> 00:03:54.105]  And that's the best they can get, is Brian Williams lying about being shot down in helicopters over at MSNBC as their fact checker.
[00:03:54.105 --> 00:03:58.529]  And you got this little liar who says, quote, ratings don't matter to Ted Koppel.
[00:03:59.329 --> 00:04:01.410]  Of course, Ted Koppel's sitting back with all his gravitas.
[00:04:01.410 --> 00:04:02.031]  Say what you want about him.
[00:04:02.031 --> 00:04:04.593]  The guy's very smart and very suave.
[00:04:04.593 --> 00:04:10.577]  In that famous interview, and there's Carlson trying to act all suave, looking like a $3 bill.
[00:04:10.577 --> 00:04:12.078]  As phony as you can get.
[00:04:12.078 --> 00:04:13.659]  It's like, oh, ratings don't matter.
[00:04:13.659 --> 00:04:17.321]  These people gaslight us, but you know, it's not working.
[00:04:17.321 --> 00:04:20.683]  The only people it's working on is them.
[00:04:20.683 --> 00:04:27.388]  They still believe that they're in charge and they're controlling the culture, and all the poison they're spewing, all the anti-family garbage is just that.
[00:04:28.832 --> 00:04:29.673]  Anti-family garbage.
[00:04:29.673 --> 00:04:32.475]  So I'll talk about it at the bottom of the hour, because it's illustrative of everything we face.
[00:04:32.475 --> 00:04:35.717]  But first, wow.
[00:04:35.717 --> 00:04:36.578]  Biden's not done.
[00:04:36.578 --> 00:04:39.661]  He's announced more pipelines to be shut down, more infrastructure to be shut down.
[00:04:39.661 --> 00:04:40.221]  And it's true.
[00:04:40.221 --> 00:04:41.562]  I thought it was a hoax.
[00:04:41.562 --> 00:04:42.643]  It's in the Israeli papers.
[00:04:42.643 --> 00:04:44.364]  They're praising it.
[00:04:44.364 --> 00:04:48.568]  Biden got on his knees to the Israeli Prime Minister and bowed to him on his knees.
[00:04:48.568 --> 00:04:53.251]  We thought Obama was bad, bowing to the Saudis and the Japanese emperor.
[00:04:53.251 --> 00:04:55.013]  This is a new level of disgusting behavior.
[00:04:55.013 --> 00:04:56.534]  My God, next he'll be on his belly.
[00:04:58.345 --> 00:04:59.931]  When the first world collapses...
[00:05:01.732 --> 00:05:09.274]  And we're seeing tens of millions of extra people in the third world now, starved to death, thanks to Klaus Schwab and Bill Gates and the Great Reset.
[00:05:09.274 --> 00:05:11.235]  They need to go to prison for what they've done.
[00:05:11.235 --> 00:05:14.756]  And here in the U.S., we've seen more than half of small businesses go out of business.
[00:05:14.756 --> 00:05:24.879]  And every major supplement supplier we've got is either closing or operating at minimum capacity because they can't even get product in for the raw material.
[00:05:24.879 --> 00:05:31.201]  Ladies and gentlemen, that's why it's more important than ever to realize that the products we do have available at InfoWareStore.com
[00:05:32.101 --> 00:05:34.502]  Are the product sales that are keeping us on air.
[00:05:34.502 --> 00:05:37.144]  And I know you're always used to big sales.
[00:05:37.144 --> 00:05:39.325]  And so you don't buy the products until they're on sale.
[00:05:39.325 --> 00:05:40.525]  So it's a catch-22.
[00:05:40.525 --> 00:05:44.247]  We have less of the product, and we're still selling it at a huge discount.
[00:05:44.247 --> 00:05:47.169]  I don't know how long I can keep doing this, but for now it's a catch-22.
[00:05:47.169 --> 00:05:48.749]  I've got to have the money come in.
[00:05:48.749 --> 00:05:49.810]  So please get X2.
[00:05:49.810 --> 00:05:50.450]  Please get X3.
[00:05:50.450 --> 00:05:56.373]  Get 50 and 60% off with free shipping, double-paid reappoints, and a bunch of other sales right now that are about to end.
[00:05:56.373 --> 00:05:57.794]  Because we've got to sell this product and stay on air.
[00:06:00.510 --> 00:06:07.092]  From the front lines of the Information War, it's Alex Jones.
[00:06:07.092 --> 00:06:12.474]  There is a mystery that I will address.
[00:06:28.340 --> 00:06:53.165]  Coming up here in just a few minutes, whether it's Japan, whether it's India, whether it's Nigeria, whether it is the United States of America or Canada or Mexico, everywhere, they're finding that major pharmacies and major government institutions that are pushing the so-called COVID-19 vaccines are actually giving people saline solutions.
[00:06:54.170 --> 00:07:05.894]  It's been a big story since it started six months ago in the UK, eight months ago, I guess in the UK, six months here in the US, the inoculations began, the so-called inoculations, the genetic engineering.
[00:07:05.894 --> 00:07:16.518]  But now I've got the answer to this because I've talked to enough of the medical workers, so I'm going to be breaking that down for you coming up.
[00:07:17.572 --> 00:07:19.493]  Next segment, report U.S.
[00:07:19.493 --> 00:07:23.536]  Army directs commands to prep for mandatory COVID shots for troops.
[00:07:23.536 --> 00:07:30.981]  That ties in with that we have just massive globalist takeover of COVID-19 news because that's why this is bigger than just the inoculations.
[00:07:30.981 --> 00:07:33.703]  It's bigger than just the World ID and medical passports.
[00:07:33.703 --> 00:07:35.965]  It is their total complete push.
[00:07:35.965 --> 00:07:36.685]  It is everything.
[00:07:36.685 --> 00:07:42.289]  If you want to understand what we're up against as a society and as a culture.
[00:07:45.006 --> 00:07:50.648]  But before I do that, let me just tell you some of the news that is coming up today.
[00:07:50.648 --> 00:08:00.272]  I have so many videos every day of black people viciously attacking white people that I couldn't air them if I had 20 hours.
[00:08:00.272 --> 00:08:04.254]  Plus, I'm not here trying to demonize black people.
[00:08:04.254 --> 00:08:14.538]  The majority of black folks are doing that, but there is a vehement, aggressive minority of racist black folks that are shooting and stabbing and killing whites and Asians and some Hispanics
[00:08:15.174 --> 00:08:16.955]  When they get arrested, they say, well, they deserve it.
[00:08:16.955 --> 00:08:18.676]  They're evil, and they're racist, and they're bad.
[00:08:18.676 --> 00:08:38.230]  And this is all directly due to mainstream media and the corporate news, the same ones that are hiding all of these good treatments that are 99% effective, like hydroxychloroquine, Randesivir, and others.
[00:08:38.230 --> 00:08:44.154]  And so, again, it just shows how whatever the default evil, destructive, ruling class
[00:08:44.781 --> 00:08:48.205]  Position of oppressing the people they're doing.
[00:08:48.205 --> 00:08:57.457]  And that ties into taxpayers could be on the hook for billions in damages to Canadian firm over Biden's cancellation of Keystone.
[00:08:57.457 --> 00:08:59.659]  Cost more than $15 billion to build it.
[00:09:02.009 --> 00:09:21.002]  And now there's another 60-something-year-old pipeline agreement with a whole bunch of old and new pipelines with the safest safety record the world's ever seen, by the way, I was reading deep into it a few weeks ago, coming out of Canada into Michigan with natural gas, gasoline, and oil pipelines that supply most of the Midwest.
[00:09:21.002 --> 00:09:24.385]  And the governor, quote, ordered them shut
[00:09:25.054 --> 00:09:26.615]  Because Biden wants the heat off him.
[00:09:26.615 --> 00:09:35.819]  He said governors are allowed to now shut down pipelines, even that border Mexico and Canada, which under international law, governor can't do that.
[00:09:35.819 --> 00:09:37.500]  So.
[00:09:37.500 --> 00:09:41.882]  This is just beyond criminal, just like the open border and saying immediately surge the border.
[00:09:43.323 --> 00:09:48.066]  It's all part of the attack on our stability and our families and our society.
[00:09:48.066 --> 00:09:50.667]  And that's why the police have now set out in L.A.
[00:09:50.667 --> 00:09:55.250]  the woman calling the police on a man showing his penis to her six-year-old daughter.
[00:09:55.250 --> 00:09:56.991]  They've checked the surveillance footage.
[00:09:56.991 --> 00:09:58.011]  It's not denied.
[00:09:58.011 --> 00:10:01.353]  He went in the women's bathroom and pulled his pants down and said, I've had sex with lots of women.
[00:10:01.353 --> 00:10:02.814]  Do you like my penis?
[00:10:02.814 --> 00:10:04.735]  I mean, this is what happened to the six-year-old, folks.
[00:10:04.735 --> 00:10:05.656]  Sorry I have to talk about it on air.
[00:10:06.483 --> 00:10:21.859]  The police said it's bad, just like Cuomo said four years ago, if your daughter doesn't like seeing a woman's penis, because women have penises now, according to the left, and up is down, down is up, then you're a horrible person, and if your parents taught you that that's bad, you're a horrible person.
[00:10:21.859 --> 00:10:26.864]  Because if you'll put up with men in the shower with your six-year-old daughter, brother, you'll put up with anything!
[00:10:26.864 --> 00:10:29.547]  And then Antifa came out and beat up
[00:10:30.248 --> 00:10:30.949]  A bunch of people.
[00:10:30.949 --> 00:10:34.012]  There's hours of footage of them beating up women and men.
[00:10:34.012 --> 00:10:39.557]  By the way, most of which were like reasonable hippies just out there saying, hey, stop it.
[00:10:39.557 --> 00:10:49.066]  And they start beating them up because so you've got Antifa beating people up because they dare not want a full grown man exposing himself to a little girl in the shower.
[00:10:50.271 --> 00:10:53.973]  And the police have now said on the news that it's a good thing to show your generals little girls.
[00:10:53.973 --> 00:11:03.478]  So that's, uh, they passed a law two years ago in California, you can give someone HIV or hepatitis knowingly trying to kill them and it's not a crime.
[00:11:03.478 --> 00:11:06.700]  So it's just total madness, total psychotic behavior.
[00:11:06.700 --> 00:11:13.664]  But let's go to an incredibly important report that John Bowne just posted to Band.Video last night in the John Bowne section.
[00:11:13.664 --> 00:11:18.466]  Click the left-hand corner, you'll see all the menus there for the great pages like Gregg Reese and so many others.
[00:11:18.466 --> 00:11:19.547]  And click on the John Bowne one
[00:11:20.314 --> 00:11:22.856]  SJWs, your Marxist revolution is over.
[00:11:22.856 --> 00:11:34.342]  Listen very carefully to this report, because it's right out of the Communist Manifesto, right out of Das Kapital, where they say, the elite wage war on you, the ultra-rich crush the middle class.
[00:11:34.342 --> 00:11:38.064]  Well, under a corrupt globalist system they do, under a corrupt mercantile system they do.
[00:11:38.064 --> 00:11:39.345]  Not under the American system!
[00:11:39.901 --> 00:11:45.369]  So you see, when they do all these horrible things, they're following a blueprint because they are the ruling class.
[00:11:45.369 --> 00:11:48.774]  Of course they live in $10 million houses and wear $5,000 outfits.
[00:11:48.774 --> 00:11:49.855]  They're AOC.
[00:11:49.855 --> 00:11:51.117]  You go bankrupt.
[00:11:51.117 --> 00:11:52.318]  You starve to death.
[00:11:52.318 --> 00:11:53.981]  Here is Jon Bowne's incredibly important report.
[00:11:55.436 --> 00:12:05.246]  Karl Marx's conflict theory proclaims that society is in a state of perpetual conflict due to the competition for limited resources.
[00:12:05.246 --> 00:12:13.335]  And that glue holding that social order together is domination and power, rather than relegated by consensus and conformity.
[00:12:13.335 --> 00:12:18.660]  Those with wealth and power hold on to that power by suppressing the poor and the powerless.
[00:12:18.880 --> 00:12:39.126]  This theory fuels the Marxist revolution that has exploded itself upon every facet of our lives, given a free pass on violating the social norms of race, gender, crime, and just about anything the movement deems necessary to alter in order to dominate the average American's life.
[00:12:39.586 --> 00:12:53.187]  I also want to make sure that this hysteria, you know, that this doesn't drive a hysteria and that we look at these numbers in context so that we can make responsible decisions about what to allocate in that context.
[00:12:53.187 --> 00:12:55.090]  You don't prefer to say that it's just hysteria?
[00:12:55.885 --> 00:12:56.766]  As if it's all in our heads.
[00:12:56.766 --> 00:12:59.067]  It makes us cold and callous about people losing their lives.
[00:12:59.067 --> 00:13:02.910]  I mean, as Cuomo was when he downplayed the COVID-19 nursing home deaths.
[00:13:02.910 --> 00:13:04.110]  A new conspiracy theory.
[00:13:04.110 --> 00:13:07.612]  A new Trump-inspired, Trump-incited kind of rage.
[00:13:07.612 --> 00:13:10.054]  White rage, to use the words of General Milley yesterday.
[00:13:10.054 --> 00:13:13.516]  Okay, Bill Maher has been whack for a long time.
[00:13:13.516 --> 00:13:22.542]  I did see the clip segment of him complaining about Lin-Manuel Miranda apologizing for the lack of Afro-Latino representation in his movie, In the Heights.
[00:13:23.002 --> 00:13:27.466]  You're the guy who made the Founding Fathers black and Hispanic!
[00:13:27.466 --> 00:13:31.950]  I don't think you have to apologize to Twitter!
[00:13:31.950 --> 00:13:35.433]  He's a Latino making a Latino movie with a Latino cast?
[00:13:35.433 --> 00:13:36.594]  Not good enough!
[00:13:37.433 --> 00:13:39.696]  Nothing is ever good enough for these people.
[00:13:39.696 --> 00:13:41.097]  They're like children.
[00:13:41.097 --> 00:13:49.406]  Okay, so I don't know if the applause from the audience was sincere, or if they were responding to the applause sign in the studio, but either way, how disappointing.
[00:13:49.406 --> 00:13:54.952]  So, perhaps it's time for you to take a step back and blow a quarter ounce of that green that you love so much.
[00:13:54.952 --> 00:13:58.936]  Because clearly, your thoughts have been lost in a white fog for far too long.
[00:13:59.176 --> 00:14:05.819]  Why would they attempt to dominate the once independent lives of the middle class they claim they are protecting?
[00:14:05.819 --> 00:14:08.040]  Because the theory is flawed.
[00:14:08.040 --> 00:14:13.563]  Those with wealth and power still continue to dominate the poor and the powerless.
[00:14:13.563 --> 00:14:20.086]  They're just using hordes of mindless social justice warriors to gain access to that control.
[00:14:20.806 --> 00:14:27.874]  The left-wing billionaire transferring 18 billion dollars to his Open Society Foundation.
[00:14:27.874 --> 00:14:34.041]  That makes it the second largest foundation in the country and it's all about politics.
[00:14:34.041 --> 00:14:37.986]  New at 10, a nearly overlooked consideration in the Milwaukee public school budget now.
[00:14:38.246 --> 00:14:41.148]  That's the main reason most of these people showed up tonight.
[00:14:41.148 --> 00:14:42.470]  To speak up or hold up a sign.
[00:14:42.470 --> 00:14:45.612]  Letting board members know they want them to spend around $470,000 on Black Lives Matter.
[00:14:59.864 --> 00:15:04.986]  Marxists steal money from other people and they enrich themselves and tell the people that they stole from are poor.
[00:15:04.986 --> 00:15:09.528]  And so she has stolen money from other people on the pretext of a lie that is Black Lives Matter.
[00:15:09.528 --> 00:15:11.789]  And she's enriched herself and she's brought four homes.
[00:15:11.789 --> 00:15:13.790]  I mean, you have to kind of appreciate the honesty.
[00:15:13.790 --> 00:15:15.810]  She's not hiding by any means, you know.
[00:15:15.810 --> 00:15:17.971]  And so, yeah, I tend to agree with you here.
[00:15:17.971 --> 00:15:21.833]  She's a communist through and through and she's been unbelievably unapologetic in her approach.
[00:15:22.672 --> 00:15:29.359]  Useful idiots doing the bidding of their masters against a free people dominated by our own media.
[00:15:29.359 --> 00:15:36.206]  There's no excuse for being a reporter today who doesn't understand the basic science of COVID-19.
[00:15:36.206 --> 00:15:39.429]  Why is it not the same for climate change?
[00:15:39.429 --> 00:15:42.212]  Right now, everyone should be a climate reporter.
[00:15:42.212 --> 00:15:45.255]  And if you're not a climate reporter right now, you will be.
[00:15:45.555 --> 00:15:48.718]  But we are gradually learning the final lesson.
[00:15:48.718 --> 00:15:50.760]  The real revolution is obvious.
[00:15:50.760 --> 00:16:00.269]  Populism will inevitably rise against the foul stench of hypocrisy in one form or another.
[00:16:00.269 --> 00:16:02.331]  Your voice counts.
[00:16:02.331 --> 00:16:07.396]  When you share information, be it over the internet or in person, it changes the world.
[00:16:07.396 --> 00:16:09.978]  The globalists know their agenda is unpopular.
[00:16:09.978 --> 00:16:10.799]  They know you're angry.
[00:16:11.468 --> 00:16:16.875]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[00:16:16.875 --> 00:16:26.188]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows, the special reports, and
[00:16:26.288 --> 00:16:27.608]  And share them with everyone you know.
[00:16:27.608 --> 00:16:34.549]  Take action now by texting the word NEWS to 833-470-0438.
[00:16:34.549 --> 00:16:39.830]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[00:16:39.830 --> 00:16:46.952]  Or text the word SHOW to 833-470-0438 and receive live show notifications.
[00:16:46.952 --> 00:16:51.412]  Take action now, create the chain reaction, and tell others to share those texts.
[00:16:51.412 --> 00:16:52.333]  Get news alerts at 833-470-0438.
[00:17:00.242 --> 00:17:05.626]  The globalists are having their revolution, but free humanity has to have its revolution.
[00:17:05.626 --> 00:17:22.980]  We have to first recognize this anti-human takeovers trying to enslave the entire biological processes of humans and turn us into these artificial, corporate, controlled slaves.
[00:17:22.980 --> 00:17:26.603]  Worse than slaves, just property from cradle to grave of the system.
[00:17:27.779 --> 00:17:35.301]  rendered down to be servile minions of the system in a ritual of dominance and satanic control.
[00:17:35.301 --> 00:17:45.323]  We have to recognize their great reset post-industrial world, which realizes a nightmare dystopia, and we have to promote liberty and freedom that is the opposite of their dystopia.
[00:17:45.323 --> 00:17:49.503]  It's that choice, it's that realization that's going to change the world.
[00:17:49.503 --> 00:17:51.684]  And it's the only choice we've got.
[00:17:51.684 --> 00:17:53.964]  Freedom or slavery, good or evil.
[00:17:53.964 --> 00:17:56.945]  It is a spiritual battle, and M4 is at the tip of the spear fighting it.
[00:17:59.867 --> 00:18:04.690]  There's a lot of things that we can't do to stop the globalists, but there's a lot of things we can do.
[00:18:04.690 --> 00:18:06.831]  And one of them is taking care of our bodies and our health.
[00:18:06.831 --> 00:18:09.113]  And listen, I'm lecturing myself at the same time.
[00:18:09.113 --> 00:18:10.493]  I put myself through too much stress.
[00:18:10.493 --> 00:18:11.094]  I don't eat right.
[00:18:11.094 --> 00:18:16.137]  But one thing I do remember to do is to take my deep earth crystal high quality iodine.
[00:18:16.597 --> 00:18:19.238]  And that, of course, is the original X2.
[00:18:19.238 --> 00:18:19.878]  Incredible.
[00:18:19.878 --> 00:18:22.619]  It is essential in your body.
[00:18:22.619 --> 00:18:24.279]  It is a building block of everything that goes on.
[00:18:24.279 --> 00:18:32.821]  The globals work around the clock to make sure that we are deficient in iodine and have way too much of all the garbage halogens like chlorine, fluoride, bromine, and others.
[00:18:32.821 --> 00:18:34.101]  We also have X3.
[00:18:34.101 --> 00:18:40.903]  And that's because some research scientists pointed out to me, and I saw the research and it was true, that some people can't absorb pure atomic iodine.
[00:18:41.503 --> 00:18:47.446]  So, it's pure atomic iodine and the two other types that are also good for your body that some people get better benefits from.
[00:18:47.446 --> 00:18:48.707]  So, it's apples and oranges.
[00:18:48.707 --> 00:19:01.112]  Both products are pre-shipping, double patriot points, 50% off for Survival Shield X2 and 60% off for X3, even though it's selling out right now.
[00:19:01.112 --> 00:19:03.754]  You're listening to the Alex Jones Show!
[00:19:26.152 --> 00:19:28.232]  Bill Gates is on record.
[00:19:28.232 --> 00:19:31.493]  Warren Buffett is on record.
[00:19:31.493 --> 00:19:41.215]  We got some new clips from these guys today that are really frightening, as they and their cohorts praise the Communist Party of China.
[00:19:41.215 --> 00:19:42.755]  That's coming up last second of the show.
[00:19:42.755 --> 00:19:45.816]  I'm going to open the phones up for the balance of the transmission.
[00:19:45.816 --> 00:19:47.696]  Welcome back to the Alex Jones Show.
[00:19:47.696 --> 00:19:52.417]  But here's our COVID-19 stack of news just from today.
[00:19:53.849 --> 00:19:56.611]  Thousands thought they were getting the COVID vaccine.
[00:19:56.611 --> 00:20:00.014]  They were injected with salt water instead.
[00:20:00.014 --> 00:20:01.455]  Now, why does this happen?
[00:20:01.455 --> 00:20:02.216]  What's going on?
[00:20:02.216 --> 00:20:04.257]  Well, I figured out what's happening.
[00:20:04.257 --> 00:20:09.081]  Why are so many people being accidentally injected with saline instead of COVID vaccines?
[00:20:09.081 --> 00:20:10.863]  We asked last week.
[00:20:10.863 --> 00:20:12.804]  But here's the latest articles out today.
[00:20:12.804 --> 00:20:15.406]  July 5th, July 6th, CNN.
[00:20:15.406 --> 00:20:17.588]  Thousands thought they were getting COVID vaccine.
[00:20:17.588 --> 00:20:19.610]  This was in India, New Delhi.
[00:20:20.836 --> 00:20:29.661]  Well, I've talked to a lot of nurses and a lot of doctors and a lot of other people that work in the medical field, and they said, listen, we know this stuff's so deadly.
[00:20:29.661 --> 00:20:30.781]  We know it's experimental.
[00:20:30.781 --> 00:20:33.903]  We know it was never authorized.
[00:20:33.903 --> 00:20:35.344]  And there was no real testing.
[00:20:35.344 --> 00:20:36.304]  And we see what's happening.
[00:20:36.304 --> 00:20:46.770]  We have so many patients and so many people that are getting sick and dying that when the people come asking for it, we'll lose our job if we don't give it.
[00:20:46.770 --> 00:20:48.111]  So we're giving them saline.
[00:20:49.873 --> 00:20:51.913]  And they can't prosecute everybody.
[00:20:51.913 --> 00:20:55.294]  And what do you have that's not tracked in a pharmacy?
[00:20:55.294 --> 00:20:56.414]  It's the saline bottles.
[00:20:56.414 --> 00:20:58.415]  They're a few dollars a bottle.
[00:20:58.415 --> 00:21:00.895]  They've got hundreds and hundreds of bottles of them.
[00:21:00.895 --> 00:21:04.356]  At any one time at a facility, the bottles look very similar.
[00:21:04.356 --> 00:21:08.036]  And they go, here, you want your COVID shot, sweetheart?
[00:21:08.036 --> 00:21:10.457]  I'm told particularly with children.
[00:21:10.457 --> 00:21:15.878]  And you've seen a bunch of pharmacists lose their jobs when the woman comes in wanting their 12-year-old and the lady goes, hey,
[00:21:16.809 --> 00:21:19.570]  You know, they put an insert on there saying it caused a heart attack.
[00:21:19.570 --> 00:21:21.571]  I really think you should think about this.
[00:21:21.571 --> 00:21:22.612]  How dare you!
[00:21:22.612 --> 00:21:23.512]  Get me the manager!
[00:21:23.512 --> 00:21:43.442]  Because they're a leftist, and the leftist sacrament is getting conned, getting ripped off, getting hurt, because they're already so Stockholm Syndrome into two or three fake degrees that don't work, not having a man in the home, whatever the case is, that they are just going deeper into the psychosis, deeper into the delusion.
[00:21:45.814 --> 00:21:52.476]  On military bases, they're already giving the officers saline, and the word spread to the rest of the troops.
[00:21:52.476 --> 00:21:58.337]  They've been refusing, and the officers have been agreeing and just saying, OK, saline.
[00:21:58.337 --> 00:22:08.680]  And anybody listening to the military knows this has been going on for a long time, especially with the anthrax shots in 1990, 1991, and 2000.
[00:22:08.680 --> 00:22:14.061]  They were so deadly until Congress finally acted, and they outlawed giving it to people, because you can't attenuate
[00:22:16.258 --> 00:22:17.539]  Anthrax.
[00:22:17.539 --> 00:22:22.061]  You can't kill it, basically, unless you burn it up in a furnace at 1,000 degrees.
[00:22:22.061 --> 00:22:24.302]  It'll survive 400 degrees.
[00:22:24.302 --> 00:22:27.383]  It's a plant spore that grows in your lungs.
[00:22:27.383 --> 00:22:28.764]  And so you can chop it up in pieces.
[00:22:28.764 --> 00:22:31.385]  It's like a starfish.
[00:22:31.385 --> 00:22:35.707]  And that's why they think that life may have come here from another planet.
[00:22:35.707 --> 00:22:38.949]  Scientists hypothesize, I'm not saying I agree with that, from anthrax.
[00:22:40.342 --> 00:22:42.843]  But they believe it can live millions of years in the dirt.
[00:22:42.843 --> 00:22:45.784]  They found samples they know are hundreds of thousands of years old.
[00:22:45.784 --> 00:22:50.946]  So they injected that in people in experimental operations.
[00:22:50.946 --> 00:22:54.888]  So that's why the military wouldn't do it this time because it wasn't authorized.
[00:22:54.888 --> 00:22:57.269]  The anthrax wasn't authorized by the FDA.
[00:22:57.269 --> 00:23:02.891]  So what did the military announce in their announcement of starting
[00:23:03.934 --> 00:23:11.316]  Forced inoculations of the military as early as a month from now, they said as soon as FDA approval is done.
[00:23:11.316 --> 00:23:18.198]  See, it never got FDA approval, but I've seen on Facebook and Instagram and Twitter and on the street.
[00:23:18.198 --> 00:23:28.121]  I had a woman when I was in New York, just walk by me and say, the vaccine is approved, it is safe, and then she just kind of ran off.
[00:23:28.121 --> 00:23:29.722]  They believe that.
[00:23:29.722 --> 00:23:32.783]  They believe I'm lying when I say
[00:23:33.641 --> 00:23:36.882]  That it was never approved and got emergency authorization.
[00:23:36.882 --> 00:23:50.746]  If there's no drug that is a viable treatment for any deadly pathogen under federal and international law, they can waive the normal testing process if there is no drug.
[00:23:50.746 --> 00:24:00.249]  That's why they said ivermectin and hydroxychloroquine and rendezivir and all the rest of it couldn't be used was because it was all basically 100% treatable.
[00:24:02.414 --> 00:24:06.257]  Hundreds of different brands of aerosolized, inhalable steroids.
[00:24:06.257 --> 00:24:06.937]  You get it early?
[00:24:06.937 --> 00:24:06.957]  100%.
[00:24:06.957 --> 00:24:12.341]  Because it knocks out the autoimmune response that's killing you.
[00:24:12.341 --> 00:24:22.368]  Now, as top scientists warn, people that have been inoculated are the ones dying at record numbers because their body, when it comes in contact with the coronavirus, has an autoimmune response and attacks your own body.
[00:24:22.368 --> 00:24:24.929]  It liquefies your lungs.
[00:24:24.929 --> 00:24:26.070]  They knew.
[00:24:26.070 --> 00:24:27.411]  They tested it all before.
[00:24:28.595 --> 00:24:30.336]  You go, wait a minute, you just said it wasn't tested.
[00:24:30.336 --> 00:24:37.418]  This particular virus, this particular vaccine, but they tested similar vaccines on animals, and we've shown you those studies.
[00:24:37.418 --> 00:24:38.159]  We've gone over them.
[00:24:38.159 --> 00:24:50.643]  University of Texas, 2012, under Fauci, did three different vaccine tests that would attack not the RNA of the virus inside, but its spike protein casing.
[00:24:50.643 --> 00:24:57.126]  And now that's why you see so many illnesses and problems of the inoculated with this, because it makes the body attack the casing.
[00:24:59.409 --> 00:25:03.613]  The casing, not the RNA.
[00:25:03.613 --> 00:25:16.204]  So, thousands thought they were getting the COVID vaccine, they were injected with salt water, and that's because the medical workers have a soul, and instead of losing their jobs, they're just doing what the military does, and they are injecting people.
