[00:00.000 --> 00:13.360]  That's 928-308-0408, or you can order online at GetTheT.com.
[10:51.800 --> 10:58.680]  It is simply a Defense Department directive, 1404.10 Defense Department directive.
[10:58.680 --> 11:02.920]  So we'll go over that a little bit for you today.
[11:02.920 --> 11:06.920]  Here's another one with the Pentagon taking over the entire country.
[11:06.920 --> 11:14.680]  Bomb plants could shift to control a Pentagon. This is the New York Times, the Obama administration, considering whether to shift the management of nuclear weapons production,
[11:14.680 --> 11:19.320]  because the Pentagon got caught trying to steal six cruise missiles a year and a half ago. Remember that?
[11:19.320 --> 11:23.720]  They wanted to claim I ran at them and then they had to kill.
[11:23.720 --> 11:29.400]  It was about 14 people involved in loading them. So they shut everybody up. It was blowing the whistle.
[11:29.400 --> 11:35.800]  But they got to have one agency doing it so they can have black ops get in there easier and claim they were stolen.
[11:35.800 --> 11:40.760]  Bomb plants could shift the control of Pentagon under James L. Jones.
[11:40.760 --> 11:44.600]  So have that there for you in the stack as well.
[11:44.600 --> 11:49.880]  One of the New York Times. Yeah, we're not in Kansas anymore, ladies and gentlemen.
[11:49.880 --> 11:55.880]  That's right. Alex Jones was right. It was all real. It's true. It's happening.
[11:55.880 --> 12:04.360]  And they're so secure in their power, they have come out in the last month with hundreds and hundreds and hundreds of mainstream articles.
[12:04.360 --> 12:11.160]  The latest was last week. I'm still just spinning from it in the Wall Street Journal saying,
[12:11.160 --> 12:16.200]  yes, we're setting up a North American Union. Yes, we kept it secret from you for your own good.
[12:16.200 --> 12:18.440]  Yes, we're going to get rid of the dollar for a new Amaro.
[12:19.240 --> 12:23.960]  And it said the New World Order is your savior. The New World Order is good.
[12:24.920 --> 12:30.520]  Just Google Wall Street Journal, North American Union or Amaro and click news and you can read it.
[12:30.520 --> 12:40.520]  I mean, don't believe me. Just go read. I'm telling you, that's exactly what the Sunday Times of London said a month ago in an article titled and now for world government.
[12:40.520 --> 12:46.520]  By the way, it's published by Mr. Wolf, one of the Bilderberg group members openly calling for world government.
[12:46.520 --> 12:51.480]  And they said, yeah, we kept it secret for your own good. It is real and we're setting it up.
[12:51.480 --> 12:58.520]  And by the way, they use the word undemocratic, dictatorial. But they said that is good.
[12:58.520 --> 13:02.520]  See, when they enter the final phase and go ahead and move forward with all of this,
[13:02.520 --> 13:08.520]  they have to create all these crises and say, well, we've got to be dictatorial to save you.
[13:10.520 --> 13:16.520]  And who do we always tell you the top of the new order was the private central banks that control the printing presses of the western world.
[13:16.520 --> 13:22.520]  We always said they would implode the markets and have a credit crisis like they did in 1929 by design.
[13:22.520 --> 13:28.520]  They would then cut off liquidity to the public. This time they claim they've turned on the money,
[13:28.520 --> 13:32.520]  but they're only giving it to themselves while everything else is cash-starved to buy up all the infrastructure.
[13:32.520 --> 13:38.520]  And again, if you don't like it, Northcom standing by. Now, the military doesn't like their new Obama oath,
[13:38.520 --> 13:43.520]  and we've confirmed this. They don't swear an oath to the Constitution now. They swear it to Obama.
[13:43.520 --> 13:50.520]  Now, Bush tested this, but withdrew it. Well, Obama's doing it. And the troops are finally starting to have the wheels turn and go,
[13:50.520 --> 13:58.520]  didn't that happen in 1933 when Adolf Hitler got elected? They had to no longer swear allegiance to the Republic to Deutschland.
[13:58.520 --> 14:07.520]  They had to swear it to Adolf Alois Hitler. Oh, boy, we are in serious waters here.
[14:07.520 --> 14:12.520]  Oh, by the way, Obama has gone back on everything he said he'd do.
[14:12.520 --> 14:22.520]  Bloomberg, AP & Reuters all report that all the big banks in the executive order signed this week are exempt from salary caps and CEO caps.
[14:22.520 --> 14:30.520]  Totally exempt. It's only if the government chooses on smaller institutions they can do it. That's going to end up being your business.
[14:30.520 --> 14:36.520]  See, you're going to get a salary cap. The international bankers aren't. The same guys that don't pay their taxes.
[14:36.520 --> 14:41.520]  I found all these quotes in news articles that David Rockefeller bragging he doesn't pay $1 in tax. None of them do.
[14:41.520 --> 14:46.520]  It's a big joke to them. It's for us schmucks to pay because the income tax doesn't go to run the country.
[14:46.520 --> 14:52.520]  It goes right into the bankers' pocket. You know, you write your check to the private Federal Reserve when you write an income tax check.
[14:52.520 --> 14:55.520]  You know that, right? It's all the other taxes that run the country.
[14:55.520 --> 15:01.520]  So I thought I'd go over that a little bit later. We have those mainstream articles. I'll be covering them.
[15:01.520 --> 15:05.520]  Of course, I could read the bills and tell you that it did that.
[15:05.520 --> 15:11.520]  Obama preserves renditions as counterterrorism tool under executive orders issued by Obama recently.
[15:11.520 --> 15:17.520]  The CIA still has authority to carry out what are known as renditions, secret abductions and transfers of prisoners.
[15:17.520 --> 15:20.520]  And then the LA Times goes on to admit they're keeping all the camps open.
[15:20.520 --> 15:24.520]  And the ACLU has now sent a letter to them saying, you promised not to do this.
[15:24.520 --> 15:27.520]  And then the British were about to release documents about torture.
[15:27.520 --> 15:33.520]  And Obama threatened to withdraw national security data transfers.
[15:33.520 --> 15:38.520]  And so, again, total betrayal. He promised to get rid of NAFTA and GATT.
[15:38.520 --> 15:43.520]  But then speaking to a business council in Canada, his top advisor said, oh, that's just rhetoric.
[15:43.520 --> 15:49.520]  And now Obama is saying he's going to expand NAFTA and GATT and the SPP, known as the North American Union.
[15:49.520 --> 15:52.520]  So another betrayal right there. He promised not to appoint any lobbyist.
[15:52.520 --> 15:56.520]  Everyone he is appointing is a top lobbyist. Everyone in a cabinet position.
[15:56.520 --> 16:03.520]  Secretary of Defense Lobbyist, Deputy Secretary of Defense Lobbyist, Blair over National Security Lobbyist,
[16:03.520 --> 16:10.520]  Panetta, Leon Panetta for CIA Lobbyist, George Mitchell Lobbyist, just all lobbyist.
[16:10.520 --> 16:15.520]  Total lies. And the lies will continue when we get back here.
[16:15.520 --> 16:20.520]  See, foreign banks have hijacked the government in a corporate takeover.
[16:20.520 --> 16:25.520]  They now run the military. They run the states. They're building FEMA camps.
[16:25.520 --> 16:30.520]  They're going to make us so poor and so desperate they want us to revolt.
[16:30.520 --> 16:33.520]  Oh, yeah, it's serious. We'll be right back.
[16:33.520 --> 16:37.520]  Time is more precious than money. You could be running out of time.
[16:37.520 --> 16:40.520]  I want to share something with you about your body.
[16:40.520 --> 16:45.520]  Quote, make no mistake about it. Parasites are the most toxic agents in the human body.
[16:45.520 --> 16:51.520]  They are one of the primary underlying causes of diseases and are the most basic cause of a compromised immune system.
[16:51.520 --> 16:57.520]  Dr. Hazel Parsley's PhD. Quote, we have a tremendous parasite problem right here in the U.S.
[16:57.520 --> 17:01.520]  It is just not being addressed. Dr. Peter Weina, quote,
[17:01.520 --> 17:06.520]  in terms of numbers, there are more parasitic infections acquired in this country than in Africa.
[17:06.520 --> 17:11.520]  Dr. Frank Nova, Chief of the Laboratory for Parasitic Diseases of the National Institute of Health.
[17:11.520 --> 17:14.520]  As you can see, parasites are more dangerous than you think.
[17:14.520 --> 17:17.520]  For about a buck a day, you can read yourself of all parasites.
[17:17.520 --> 17:24.520]  GettheT.com. That's GettheT.com. Call us 928-308-0408.
[17:24.520 --> 17:30.520]  That's 928-308-0408. Life change T. Make an investment in your life.
[17:30.520 --> 17:59.520]  And PS, I really like it.
[18:00.520 --> 18:03.520]  For free introductory copy to Robert Chapman's International Forecaster,
[18:03.520 --> 18:10.520]  subscribe now at theinternationalforecaster.com or call 877-479-8178.
[18:10.520 --> 18:17.520]  Experience the difference. When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[18:17.520 --> 18:25.520]  Don't wait another minute. Subscribe today at theinternationalforecaster.com or call 877-479-8178.
[18:25.520 --> 18:32.520]  That's 877-479-8178.
[18:56.520 --> 19:04.520]  And a 5-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[19:04.520 --> 19:08.520]  Finally, drinking water that you control, I use one every day.
[19:08.520 --> 19:14.520]  Say goodbye to expensive water delivery services and storing 5-gallon bottles of water in your home.
[19:14.520 --> 19:20.520]  The Acola Blue 28 is shipped right to your home, ready to make close to 7 gallons a day right out of the box.
[19:20.520 --> 19:26.520]  They have a 30-day money back guarantee. Call Acola Blue right now at 866-585-4044.
[19:26.520 --> 19:34.520]  That's 866-585-4044. Or visit Acola Blue at ECOLOBLUE.com today.
[19:34.520 --> 19:40.520]  What will happen when the grocery stores are empty? What are you going to do once your food is gone?
[19:40.520 --> 19:44.520]  What will you do when the dollar is worthless and your family needs to eat?
[19:44.520 --> 19:50.520]  Growing your own food is the only way to have real self-sufficiency and peace of mind.
[19:50.520 --> 19:58.520]  GetSeeds.net is offering an amazing special on 100 different varieties of heirloom vegetable seeds with a complete range of crops.
[19:58.520 --> 20:04.520]  That's 100 packets of non-hybrid seeds for only $49 with free shipping.
[20:04.520 --> 20:07.520]  You will have the comfort of knowing that you are truly prepared.
[20:07.520 --> 20:15.520]  These affordable prices are our way to pay it forward. So in turn, GetSeeds.net asks you to share these seeds of life with a less fortunate.
[20:15.520 --> 20:22.520]  Go to GetSeeds.net and get 100 seed packets for only $49 with free shipping.
[20:22.520 --> 20:44.520]  Or call 877-394-6657. That's 877-394-6657. Or go to GetSeeds.net.
[20:44.520 --> 20:56.520]  All right, we are back live. I'm going to go into your phone calls and I'll get into the National Security Council and open dictatorship.
[20:56.520 --> 21:00.520]  Meet the new boss, worse than the last boss.
[21:00.520 --> 21:13.520]  And then Democratic senators, House members, Obama administration officials on tape are saying yes, they are going to re-institute the fairness doctrine with Orwellian Doublespeak restricting free speech on talk radio.
[21:13.520 --> 21:17.520]  That is indeed happening right now.
[21:17.520 --> 21:24.520]  They will limit the debate to only Republican and Democratic voices, which are all part of the controlled paradigm.
[21:24.520 --> 21:27.520]  Obama is fear mongering, saying, where did all the hope and change go?
[21:27.520 --> 21:31.520]  Pass the economic stimulus, all the pork barrel to buy off more people.
[21:31.520 --> 21:36.520]  Or there will be a catastrophe.
[21:36.520 --> 21:55.520]  Meanwhile, the trillion dollar stimulus is a distraction itself from the 8.5 trillion so far stolen by offshore banks from the U.S. Treasury in the last four months, three and a half months since the October 3rd Banker Takeover Bill was passed.
[21:55.520 --> 21:57.520]  So we'll get into that as well.
[21:57.520 --> 22:13.520]  And a story by Kurt Nemo up on infowars.com, increasing numbers of states declaring sovereignty, eight separate states, Washington, New Hampshire, Arizona, Montana, Michigan, Missouri, Oklahoma, California, Georgia, either pass laws declaring sovereignty or in the process of it.
[22:13.520 --> 22:18.520]  And when you read the bills like the new New Hampshire legislation, it looks like it's got a good chance of passing.
[22:18.520 --> 22:27.520]  It says because FEMA camps are being built, because offshore banks have seized the government, because gun confiscations being prepared, and that's right.
[22:27.520 --> 22:31.520]  The legislatures are now actually reading the new laws that have been passed.
[22:31.520 --> 22:40.520]  Statesmen, lawyers, people that know how to research these bills like we've done are looking at them and they're finding out that it's really happening.
[22:40.520 --> 22:42.520]  All of this tyranny is really being brought in.
[22:42.520 --> 22:48.520]  And there are more than 10 bills introduced with co-sponsors.
[22:48.520 --> 22:57.520]  Some of them introduced right before he left the house to go to the White House, be Chief of Staff, by Rahm Emanuel, to ban all semi-automatic rifles and handguns.
[22:57.520 --> 23:02.520]  I mean, you have to hand them in, not just ban their future sale.
[23:02.520 --> 23:12.520]  They also are announcing that they may just put people on a no-fly list, a black list, no judge, no jury, no nothing. You just can't own guns if you're on a no-fly list.
[23:12.520 --> 23:18.520]  We played during the weekday show, Rahm Emanuel is saying that in the speech, to the Brady campaign, Sarah Brady and the gun grabbers.
[23:18.520 --> 23:20.520]  And they've got other bills in there.
[23:20.520 --> 23:24.520]  We'll have to be federally registered to own a gun, go through federal psychological testing.
[23:24.520 --> 23:27.520]  I mean, it's all happening, ladies and gentlemen.
[23:27.520 --> 23:47.520]  They've got the Obama noids out there stumbling around, just thinking he's some wonderful new liberal come to save the day when he is totally bought and paid for by the very same military industrial complex that has been setting up the takeover of this nation.
[23:47.520 --> 23:48.520]  So get past Obama.
[23:48.520 --> 23:53.520]  He may be the most wonderful person since sliced bread, since milk and cookies.
[23:53.520 --> 24:02.520]  But the guy is bought and paid for by the new rule order and now three weeks into his presidency, we have all his policies and it's worse than we had even said.
[24:02.520 --> 24:08.520]  It is bold how much lying has gone on and how much corruption and how much tyranny has been brought into place.
[24:08.520 --> 24:11.520]  So that's all coming up.
[24:11.520 --> 24:14.520]  But first off, let's go to Roger in Kansas.
[24:14.520 --> 24:16.520]  You're on the air, Roger.
[24:16.520 --> 24:24.520]  Hey, Alex, 100,000 vaticanglo via Nazi, sons of Lucifer run the world.
[24:24.520 --> 24:29.520]  And that's the simplest way I can describe the new world order after all the research I've done.
[24:29.520 --> 24:31.520]  Now, does that make any sense to you?
[24:31.520 --> 24:32.520]  Well, I know this.
[24:32.520 --> 24:34.520]  Evil corrupt people throughout history have run.
[24:34.520 --> 24:38.520]  Normally nations and empires are run by corrupt tyrants.
[24:38.520 --> 24:40.520]  Liberty is the exception.
[24:40.520 --> 24:46.520]  And every major nation in the world, even countries that are part of the new world order are most of them are run by thugs.
[24:46.520 --> 24:47.520]  That's the nature of things.
[24:47.520 --> 24:52.520]  But we have a particularly virulent group of thugs in control of the United States and Europe.
[24:52.520 --> 24:53.520]  Okay.
[24:53.520 --> 24:54.520]  Now, I have a question.
[24:54.520 --> 24:55.520]  I have an idea.
[24:55.520 --> 25:01.520]  And if this is a bad idea, then you tell me why this won't work because you need to get paid just to do what you do.
[25:01.520 --> 25:08.520]  And we know there's all these people in Hollywood that are on your side, but they're scared of repercussions because they don't, you know, they don't want to be harassed.
[25:08.520 --> 25:10.520]  So here's the deal.
[25:10.520 --> 25:20.520]  They can hire their assistants to purchase untraceable, legal, ethical, $1,000 money orders with your name on it, save the receipt, send it to you.
[25:20.520 --> 25:22.520]  Nobody knows about anything.
[25:22.520 --> 25:25.520]  And they could find the whole thing anonymously legally.
[25:25.520 --> 25:26.520]  Well, listen, here's the deal.
[25:26.520 --> 25:30.520]  You know, we're funding my radio show.
[25:30.520 --> 25:31.520]  We're funding filmmaking.
[25:31.520 --> 25:32.520]  We're funding the websites.
[25:32.520 --> 25:35.520]  We are not the only game in town fighting tyranny.
[25:35.520 --> 25:41.520]  We're here to get people to go out and take action in their own way.
[25:41.520 --> 25:43.520]  I don't call up people I know in Hollywood.
[25:43.520 --> 25:49.520]  And just as I know, quite a few folks in Hollywood that have contacted me over the years.
[25:49.520 --> 25:52.520]  I mean, what does that mean?
[25:52.520 --> 25:59.520]  So again, we're doing as much as we can here and we're growing and people need to support us.
[25:59.520 --> 26:08.520]  But to just say it's not the people's job to support or spread the word and it's just time for people in Hollywood to give you money or people, you know, and music to give you money.
[26:08.520 --> 26:11.520]  Again, it's about news and information here.
[26:11.520 --> 26:13.520]  We can't make it all about Alex Jones, folks.
[26:13.520 --> 26:17.520]  Plus, let's say I became the big giant leader and really grew in size.
[26:17.520 --> 26:19.520]  They just kill me or set me up.
[26:19.520 --> 26:24.520]  It needs to be a movement, an idea, a manifesto, a constitution, a bill of rights.
[26:24.520 --> 26:26.520]  An idea is bulletproof.
[26:26.520 --> 26:27.520]  I am not.
[26:27.520 --> 26:30.520]  George in Texas, you're on the air.
[26:30.520 --> 26:31.520]  How are you doing, Alex?
[26:31.520 --> 26:32.520]  Good.
[26:32.520 --> 26:33.520]  Yes.
[26:33.520 --> 26:39.520]  I mean, you heard about in a world that they revamped, I think, what back up the UN Treaty on the Rights of the Child.
[26:39.520 --> 26:42.520]  Yes, and it says that you can't teach your children your religion.
[26:42.520 --> 26:44.520]  You can't spank them.
[26:44.520 --> 26:51.520]  You have to put them in government training camps and that the right of the child is to be put on Prozac and Redland.
[26:51.520 --> 26:57.520]  It's to totally destroy the family and Hillary Clinton says they're going to try to reintroduce it and get Obama to ratify it.
[26:57.520 --> 27:01.520]  And that means it's a CPS on steroids.
[27:01.520 --> 27:05.520]  Oh, it talks about that every child will be assessed by the state and they'll take a lot of people's children.
[27:05.520 --> 27:06.520]  Yes.
[27:06.520 --> 27:08.520]  Well, because I was in a reading on parentalrights.org.
[27:08.520 --> 27:16.520]  If I don't want my son to go to a vocal rapper concert, he can go call CPS and review my decision.
[27:16.520 --> 27:20.520]  Absolutely, but the children will find out real fast how hellish it is if they do do that.
[27:20.520 --> 27:23.520]  Let me expand on a section in there.
[27:23.520 --> 27:33.520]  It says that even if your 11-year-old wants to have an abortion, that it is to be secret from you and that if you try to intervene in any way, you will be arrested.
[27:33.520 --> 27:35.520]  So, I mean, just goes on and on.
[27:35.520 --> 27:38.520]  Just Google UN Treaty on the Rights of the Child.
[27:38.520 --> 27:43.520]  Go read the articles in the section and just see it for yourself.
[27:43.520 --> 27:45.520]  It's just unbelievable.
[27:45.520 --> 27:47.520]  Let's go to another caller.
[27:47.520 --> 27:52.520]  Gary NPA, you're on the air.
[27:52.520 --> 27:53.520]  Hello, Alex.
[27:53.520 --> 27:54.520]  Hi.
[27:54.520 --> 27:56.520]  You're my hero, man.
[27:56.520 --> 27:57.520]  You're incredible.
[27:57.520 --> 28:00.520]  Hey, I just wanted to bring to your attention.
[28:00.520 --> 28:02.520]  I'm not sure if you know about it.
[28:02.520 --> 28:07.520]  I'm sure you know of Catherine Albrecht.
[28:07.520 --> 28:09.520]  She's been on Coast to Coast.
[28:09.520 --> 28:10.520]  Yeah, I know.
[28:10.520 --> 28:11.520]  No, I know.
[28:11.520 --> 28:16.520]  I mean, the guy that broke all that was Tex Mars in 1994 with his book, Project Lucent.
[28:16.520 --> 28:19.520]  That one book, by the way, we sell it at infowars.com.
[28:19.520 --> 28:25.520]  You'll know the entire agenda because that book was written 14 years ago, 15 years ago,
[28:25.520 --> 28:28.520]  and when you read it, it's exactly everything that happened.
[28:28.520 --> 28:32.520]  Tracker chips and everything, RFID, absolutely.
[28:32.520 --> 28:33.520]  Right.
[28:33.520 --> 28:40.520]  Well, the reason I'm bringing her up is she was on the 28th, Wednesday the 20th, January,
[28:40.520 --> 28:50.520]  and she brought up a private secure search engine, IX Quick, and it looks good to me.
[28:50.520 --> 28:52.520]  Maybe you should check it out.
[28:52.520 --> 28:53.520]  No, yeah.
[28:53.520 --> 28:58.520]  It sends, it puts you into a virtual browser and then it does the searching for you and
[28:58.520 --> 29:02.520]  then delivers the info through its conduit to you.
[29:02.520 --> 29:06.520]  Yeah, I hadn't heard you mention it since then, so I didn't know if you know.
[29:06.520 --> 29:10.520]  We use secure, supposedly, search engines.
[29:10.520 --> 29:15.520]  Yeah, the other thing I was going to ask you about was, you know, I tried to call in to
