[00:00:02.927 --> 00:00:03.608]  Is the U.S.
[00:20:51.069 --> 00:20:52.510]  Or warm and served.
[00:20:52.510 --> 00:20:54.551]  Life-saving, ready-to-eat bacon.
[00:20:54.551 --> 00:20:56.512]  10-year shelf life bacon.
[00:20:56.512 --> 00:20:59.294]  Ships free at FullyCookedBacon.com.
[00:20:59.294 --> 00:21:00.515]  FullyCookedBacon.com.
[00:21:01.423 --> 00:21:02.824]  Hi, this is Ted Anderson.
[00:21:02.824 --> 00:21:07.527]  Investment Rarities, a 43-year-old company, has created the best silver offer ever.
[00:21:07.527 --> 00:21:08.227]  Get a U.S.
[00:21:08.227 --> 00:21:13.591]  Silver Eagle, Canadian Maple Leaf, Austrian Philharmonic, OPM Pure Bar, and Silver Round.
[00:21:13.591 --> 00:21:16.413]  Have all five for $99 postpaid.
[00:21:16.413 --> 00:21:17.213]  You heard me right.
[00:21:17.213 --> 00:21:19.395]  Five ounces of silver below cost.
[00:21:19.395 --> 00:21:20.695]  No credit card fees.
[00:21:20.695 --> 00:21:21.316]  Free shipping.
[00:21:21.676 --> 00:21:27.161]  Just $99 and you'll have a great start on what it takes to survive even the worst economic storm.
[00:21:27.161 --> 00:21:32.966]  Act now and receive Jim Cook's exclusive paper explaining how it's possible to make a fortune in silver today.
[00:21:32.966 --> 00:21:34.568]  Don't miss this opportunity.
[00:21:34.568 --> 00:21:34.828]  Call 800-328-1860.
[00:21:37.190 --> 00:21:40.993]  Read how the above-ground supply of silver has dropped below even gold.
[00:21:40.993 --> 00:21:42.534]  The secret is being suppressed.
[00:21:42.534 --> 00:21:44.736]  The price could explode at any time.
[00:21:44.736 --> 00:21:45.456]  Call today at 800-328-1860.
[00:21:45.456 --> 00:21:46.557]  Get 5 ounces of silver for only $99.
[00:21:46.557 --> 00:21:48.819]  Find them on the web at InvestmentRarities.com or call 800-328-1860.
[00:21:48.819 --> 00:21:49.840]  Call now before it's too late.
[00:21:49.840 --> 00:21:49.880]  800-328-1860.
[00:22:00.768 --> 00:22:01.869]  Think about this.
[00:22:01.869 --> 00:22:14.457]  Your community's aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine, and chloramines, and pharmaceuticals like statins, pain meds, and antidepressants.
[00:22:14.457 --> 00:22:18.480]  And no, water treatment plants are not equipped to filter these pharmaceutical toxins out.
[00:22:18.700 --> 00:22:22.541]  Protect your family's water supply with the trusted Big Berkey Water Filter.
[00:22:22.541 --> 00:22:33.605]  New NSF EPA certified lab tests show Big Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:22:33.605 --> 00:22:37.127]  Big Berkey Water Filters are the original and most trusted on the market.
[00:22:37.127 --> 00:22:42.869]  The gold standard in water purification and our filters last for years at less than two cents per gallon.
[00:22:42.869 --> 00:22:46.530]  Big Berkey, the one powerful enough to purify stagnant pond water.
[00:22:46.690 --> 00:22:48.333]  Get your Big Berkey today!
[00:22:48.333 --> 00:22:50.436]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:22:50.436 --> 00:22:50.957]  That's 1-877-99-BERKEY.
[00:22:50.957 --> 00:22:52.960]  Big Berkey Water Filters, for the love of clean water!
[00:23:00.600 --> 00:23:08.706]  There is an affordable alternative to the high cost of health care that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[00:23:08.706 --> 00:23:14.970]  Imagine having access to quality, affordable health care that allows you the freedom to choose your doctor and hospital.
[00:23:14.970 --> 00:23:20.574]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[00:23:20.574 --> 00:23:25.538]  Find out how you and your family can contain health care costs without giving up your freedom.
[00:23:25.538 --> 00:23:27.759]  Go to LibertyOnCall.org.
[00:23:27.759 --> 00:23:29.260]  That's LibertyOnCall.org.
[00:23:30.481 --> 00:23:33.122]  Do you ever wonder what happened?
[00:23:33.122 --> 00:23:34.422]  Change has come to America!
[00:23:34.422 --> 00:23:40.884]  When I was a boy, it was okay to be proud of the flag, heritage, and beef.
[00:23:40.884 --> 00:23:42.684]  What's for supper?
[00:23:42.684 --> 00:23:43.445]  Revelation.
[00:23:43.445 --> 00:23:45.485]  Dawn of global government.
[00:23:45.485 --> 00:23:49.606]  Starring Alex Jones, Charlie Daniels, General Jerry Boykin.
[00:23:49.606 --> 00:23:51.427]  Theatrical screenings on demand.
[00:23:51.427 --> 00:23:52.827]  DVDs now available.
[00:23:52.827 --> 00:23:56.368]  Wanna shed some tears over the red, white, and blue?
[00:23:56.368 --> 00:23:57.248]  Revelation.
[00:23:57.248 --> 00:23:58.249]  The movie.
[00:23:58.249 --> 00:23:58.889]  .info.
[00:23:58.889 --> 00:23:59.729]  Let's fix it.
[00:24:29.397 --> 00:24:32.519]  Bottom line, they are getting ready to steal this election big time.
[00:24:32.519 --> 00:24:33.780]  We're 13 days out.
[00:24:33.780 --> 00:24:37.701]  14, if you go by Fox's numbers, they count the day of the election.
[00:24:37.701 --> 00:24:41.523]  November 8th is another day, so... I mean, I guess in a way they're right.
[00:24:41.523 --> 00:24:43.404]  It's like 14 days.
[00:24:43.404 --> 00:24:48.687]  It'll be 14 days until we're really knowing how the voting's going.
[00:24:49.912 --> 00:24:57.762]  They tried to put out this big hoax in every major publication out there in the last month that, well, when early voting comes in, it's going to show Hillary clearly dominating.
[00:24:57.762 --> 00:25:04.169]  And that hasn't happened yet, despite all their ballot stuffing and busting people around to vote over and over again that's on record.
[00:25:04.966 --> 00:25:21.072]  We have it from the top election officials, the head of the New York elections, we have it from the people actually stealing the election, then we have the emails about stealing the election, and then we have the emails about faking the polls, and we have the emails about keeping the public dumb, and making us poor, and bankrupting the healthcare system to screw us even more.
[00:25:21.072 --> 00:25:22.732]  See, that's the thing.
[00:25:22.732 --> 00:25:28.634]  It's always get you in a worse position, then preside over the crisis and get more power.
[00:25:28.634 --> 00:25:33.156]  That's what's so frustrating, and they have all these pseudo-intellectuals and followers and cowards.
