[00:00:01.000 --> 00:00:02.000]  It's too...
[00:03:41.000 --> 00:03:45.000]  Those are real, but that somehow doesn't have an impact.
[00:03:45.000 --> 00:03:48.000]  That somehow doesn't make a mark.
[00:03:48.000 --> 00:03:52.000]  But yesterday, there was a fake image.
[00:03:52.000 --> 00:03:55.000]  It was an AI-generated image of an explosion at the Pentagon.
[00:03:55.000 --> 00:03:59.000]  And I saw it, and I looked it up, and there was no report, so I knew it was fake.
[00:03:59.000 --> 00:04:02.000]  But it went viral on the Internet.
[00:04:02.000 --> 00:04:05.000]  People kept sharing it on Twitter.
[00:04:05.000 --> 00:04:08.000]  And now the headline today,
[00:04:08.000 --> 00:04:12.000]  Stock Market Takes a Brief Tumble After Fake AI-Generated Photo
[00:04:12.000 --> 00:04:15.000]  on Fake Bloomberg Twitter Account
[00:04:15.000 --> 00:04:17.000]  Shows Explosion at Pentagon This Morning.
[00:04:17.000 --> 00:04:19.000]  Now, that was yesterday.
[00:04:19.000 --> 00:04:21.000]  But see, there's a lesson in this.
[00:04:21.000 --> 00:04:24.000]  Oh, okay, this isn't just about a fake AI image
[00:04:24.000 --> 00:04:27.000]  that people thought was real and got tricked
[00:04:27.000 --> 00:04:29.000]  and then maybe affected the stock market.
[00:04:29.000 --> 00:04:31.000]  No, think about it like this.
[00:04:31.000 --> 00:04:36.000]  Think about this as like a key,
[00:04:36.000 --> 00:04:39.000]  a map key into how the propaganda works,
[00:04:39.000 --> 00:04:41.000]  how the globalist propaganda works.
[00:04:41.000 --> 00:04:44.000]  They run fake stuff all the time
[00:04:44.000 --> 00:04:49.000]  that then has a real-world impact.
[00:04:49.000 --> 00:04:52.000]  So this is just probably some person
[00:04:52.000 --> 00:04:55.000]  that makes the fake AI Pentagon thing, it goes viral, has a little impact.
[00:04:55.000 --> 00:04:58.000]  No, the globalists do this stuff intentionally,
[00:04:58.000 --> 00:05:00.000]  and it makes permanent impact.
[00:05:00.000 --> 00:05:03.000]  Ladies and gentlemen, the truth, the solution
[00:05:03.000 --> 00:05:06.000]  is laying right there in front of you, hidden in plain view.
[00:05:06.000 --> 00:05:09.000]  Please listen to me in the next 60 seconds.
[00:05:09.000 --> 00:05:13.000]  If you go to Wikipedia, it has links to the UN's own website
[00:05:13.000 --> 00:05:16.000]  where they admit the number one cause of cognitive disability
[00:05:16.000 --> 00:05:19.000]  in the world is iodine deficiency.
[00:05:19.000 --> 00:05:23.000]  The number one preventable cause of intellectual disability
[00:05:23.000 --> 00:05:27.000]  is lack of real, pure iodine in the body
[00:05:27.000 --> 00:05:32.000]  as they bomb us with the bad halogens, bromine, bromide, chlorine, and so much more.
[00:05:32.000 --> 00:05:36.000]  Upwards of 2 billion people in a Lancet medical journal study
[00:05:36.000 --> 00:05:39.000]  in 2007 worldwide have cognitive disabilities
[00:05:39.000 --> 00:05:42.000]  because they don't have high-quality iodine.
[00:05:42.000 --> 00:05:45.000]  Most iodine is bound to other elements, you don't absorb it.
[00:05:45.000 --> 00:05:48.000]  We have X3, all three types of good iodine together,
[00:05:48.000 --> 00:05:50.000]  that supercharges your body.
[00:05:50.000 --> 00:05:53.000]  X3 is now back in stock at InfoWarsTour.com.
[00:05:53.000 --> 00:05:56.000]  It's been sold out for over six months for 25% off.
[00:05:56.000 --> 00:06:00.000]  X3, back in stock. Take action now. InfoWarsTour.com.
[00:06:04.000 --> 00:06:08.000]  Defending the republic from enemies foreign and domestic.
[00:06:09.000 --> 00:06:11.000]  It's Alex Jones.
[00:06:15.000 --> 00:06:19.000]  It's Tuesday, May 23rd, 2023.
[00:06:19.000 --> 00:06:21.000]  I'm your host, Alex Jones, reporter for The Road.
[00:06:21.000 --> 00:06:25.000]  Owen Schroer with a raft of very informative guest information.
[00:06:25.000 --> 00:06:28.000]  It's going to be taking over here in just a few minutes.
[00:06:28.000 --> 00:06:31.000]  Now, later in the hour, I'm going to air a speech
[00:06:31.000 --> 00:06:35.000]  that was just given at the European Union Parliament
[00:06:35.000 --> 00:06:40.000]  dealing with the fact that leftist, woke, transgenderism culture
[00:06:40.000 --> 00:06:45.000]  is part of a globalist, communist takeover of the means of production
[00:06:45.000 --> 00:06:48.000]  right down to the human beings themselves.
[00:06:48.000 --> 00:06:54.000]  This is an absolutely key speech that is 100% dead on.
[00:06:54.000 --> 00:06:56.000]  That is coming up.
[00:06:56.000 --> 00:07:00.000]  Also, the former deputy national security advisor
[00:07:00.000 --> 00:07:04.000]  really did a great job over the weekend on Fox News,
[00:07:04.000 --> 00:07:06.000]  the videos on InfoWars.com,
[00:07:06.000 --> 00:07:10.000]  laying out exactly what all these new documents
[00:07:10.000 --> 00:07:12.000]  and the Durham report confirms.
[00:07:12.000 --> 00:07:14.000]  That we've had a coup in America
[00:07:14.000 --> 00:07:18.000]  and the deep state is planning to steal the next election.
[00:07:18.000 --> 00:07:20.000]  They've even said they are.
[00:07:20.000 --> 00:07:22.000]  So we're in a coup, but America's waking up to the fact
[00:07:22.000 --> 00:07:24.000]  that we're under a coup.
[00:07:24.000 --> 00:07:26.000]  That's coming up.
[00:07:26.000 --> 00:07:28.000]  But first off, everybody's asking,
[00:07:28.000 --> 00:07:32.000]  will the U.S. default on the national debt?
[00:07:32.000 --> 00:07:34.000]  Will the bond market crash?
[00:07:34.000 --> 00:07:36.000]  Will Moody's downgrade the United States?
[00:07:36.000 --> 00:07:40.000]  Will we officially become Mexico or Venezuela or worse?
[00:07:40.000 --> 00:07:43.000]  And the answer is no.
[00:07:43.000 --> 00:07:45.000]  That's not going to happen next week.
[00:07:45.000 --> 00:07:47.000]  I do not believe they're going to default the national debt.
[00:07:47.000 --> 00:07:49.000]  They're going to jack it back up.
[00:07:49.000 --> 00:07:51.000]  The Democrats are asking for a huge number.
[00:07:51.000 --> 00:07:53.000]  The Republicans are asking for another giant number,
[00:07:53.000 --> 00:07:55.000]  but not as big.
[00:07:55.000 --> 00:07:58.000]  But make no mistake, both parties have gone along
[00:07:58.000 --> 00:08:01.000]  with increasing the national debt massively.
[00:08:01.000 --> 00:08:04.000]  In fact, Trump, one of the things he did that was wrong
[00:08:04.000 --> 00:08:06.000]  was basically go along with this.
[00:08:06.000 --> 00:08:09.000]  But in the last two and a half years of Biden,
[00:08:09.000 --> 00:08:14.000]  they have printed more than half the money ever printed
[00:08:14.000 --> 00:08:16.000]  or ever issued in the history of the United States.
[00:08:16.000 --> 00:08:19.000]  So it accelerated, obviously, the last 30 years,
[00:08:19.000 --> 00:08:23.000]  got incredibly bad under Obama,
[00:08:23.000 --> 00:08:26.000]  got bad under Trump, continued the acceleration,
[00:08:26.000 --> 00:08:28.000]  and it's just gone off the deep end since then.
[00:08:28.000 --> 00:08:31.000]  And all around the world, coordinated central banks
[00:08:31.000 --> 00:08:33.000]  are all devaluing their currencies.
[00:08:33.000 --> 00:08:37.000]  And in the short term, using it to buy up all the infrastructure,
[00:08:37.000 --> 00:08:40.000]  all the intellectual property, the media,
[00:08:40.000 --> 00:08:45.000]  and basically give unlimited funding to their woke cult.
[00:08:45.000 --> 00:08:48.000]  But I do not believe that they will default now.
[00:08:48.000 --> 00:08:51.000]  They are just training us and getting us ready
[00:08:51.000 --> 00:08:54.000]  for this into the future, but they're not quite ready
[00:08:54.000 --> 00:08:56.000]  to roll out their central bank digital currencies.
[00:08:56.000 --> 00:08:58.000]  They're still testing them in China.
[00:08:58.000 --> 00:09:00.000]  They're still testing them in places like Italy.
[00:09:00.000 --> 00:09:02.000]  They're starting to roll them out.
[00:09:02.000 --> 00:09:04.000]  It's all part of the universal basic income,
[00:09:04.000 --> 00:09:06.000]  social credit score control grid.
[00:09:06.000 --> 00:09:08.000]  But, yes, we're very, very close.
[00:09:08.000 --> 00:09:12.000]  If you go to basically most restaurants, most shops,
[00:09:12.000 --> 00:09:15.000]  particularly in large cities or even mid-sized towns,
[00:09:15.000 --> 00:09:19.000]  they'll tell you, sorry, credit card only,
[00:09:19.000 --> 00:09:22.000]  and all the regular checkout lanes will be shut down
[00:09:22.000 --> 00:09:25.000]  that are human checkout lanes, and it's all self-serve.
[00:09:25.000 --> 00:09:29.000]  And they'll have signs up saying, hey, sorry, you can't use cash.
[00:09:29.000 --> 00:09:31.000]  I was in two different drugstores yesterday
[00:09:31.000 --> 00:09:33.000]  because I was trying to use cash.
[00:09:34.000 --> 00:09:36.000]  It's a means of fighting the globalists,
[00:09:36.000 --> 00:09:39.000]  just at the micro level, and both of them,
[00:09:39.000 --> 00:09:45.000]  both a Vons and a CVS, would not take cash.
[00:09:45.000 --> 00:09:48.000]  And I had to call a manager over, make them open up a lane,
[00:09:48.000 --> 00:09:52.000]  and make them take the cash, and he said in the future
[00:09:52.000 --> 00:09:55.000]  they will not be doing that, so I better get used to it.
[00:09:55.000 --> 00:09:57.000]  So this is all about control.
[00:09:57.000 --> 00:09:59.000]  Everybody knows it.
[00:09:59.000 --> 00:10:02.000]  It's completely and totally predatory.
[00:10:02.000 --> 00:10:07.000]  This is the designed, managed decline of civilization.
[00:10:07.000 --> 00:10:09.000]  And I know as listeners you know that,
[00:10:09.000 --> 00:10:12.000]  but the general public still doesn't understand
[00:10:12.000 --> 00:10:16.000]  that the globalists believe a major crash and major war is coming.
[00:10:16.000 --> 00:10:20.000]  Showing their methodology, they want to trigger smaller wars
[00:10:20.000 --> 00:10:23.000]  and controlled crashes, that's their argument for tyranny,
[00:10:23.000 --> 00:10:27.000]  so that they control the booms and busts,
[00:10:27.000 --> 00:10:30.000]  and of course consolidate power and make themselves fabulously rich.
[00:10:30.000 --> 00:10:33.000]  But in the final equation, it's about cutting off resources for humans
[00:10:33.000 --> 00:10:34.000]  to starve us to death.
[00:10:34.000 --> 00:10:36.000]  All over the western world, they're shutting down
[00:10:36.000 --> 00:10:39.000]  10, 20, 30 percent of the farms each year.
[00:10:39.000 --> 00:10:42.000]  Within five or six years, there'll basically be no farms.
[00:10:42.000 --> 00:10:45.000]  But don't worry, they've got the bug factories,
[00:10:45.000 --> 00:10:49.000]  the big bug warehouses where they raise the bug protein, coming online.
[00:10:49.000 --> 00:10:51.000]  So it won't matter if you want beef,
[00:10:51.000 --> 00:10:53.000]  it won't matter if you refuse the bugs,
[00:10:53.000 --> 00:10:55.000]  in their system you'll have to eat the bugs,
[00:10:55.000 --> 00:10:57.000]  because that's all that's going to be available.
[00:10:57.000 --> 00:10:58.000]  Total dystopia.
[00:10:58.000 --> 00:11:00.000]  And remember, that's what the lockdowns were about.
[00:11:00.000 --> 00:11:01.000]  Getting you used to dystopia,
[00:11:01.000 --> 00:11:03.000]  getting you used to not being able to leave your house,
[00:11:03.000 --> 00:11:05.000]  getting you used to doing things that are classical tyranny.
[00:11:05.000 --> 00:11:09.000]  That's why they're building all the emergency COVID camps around the world.
[00:11:09.000 --> 00:11:10.000]  They're expanding them as we speak,
[00:11:10.000 --> 00:11:13.000]  getting ready for the next disease they're going to release,
[00:11:13.000 --> 00:11:15.000]  and the UN's been openly bragging about that.
[00:11:15.000 --> 00:11:17.000]  So there's many angles to this,
[00:11:17.000 --> 00:11:22.000]  but it's all part of the larger shutting down of industrial society
[00:11:22.000 --> 00:11:24.000]  to carry out depopulation.
[00:11:24.000 --> 00:11:25.000]  The globalists will be exempt,
[00:11:25.000 --> 00:11:27.000]  we the people will be total slaves.
[00:11:27.000 --> 00:11:28.000]  Look at Ireland.
[00:11:28.000 --> 00:11:33.000]  They've now introduced legislation to outright ban all private air travel,
[00:11:33.000 --> 00:11:34.000]  saying it's bad for the earth.
[00:11:34.000 --> 00:11:36.000]  And that only commercial planes will be able to operate,
[00:11:36.000 --> 00:11:38.000]  we'll pay a large carbon tax.
[00:11:38.000 --> 00:11:40.000]  They're taking everything away.
[00:11:40.000 --> 00:11:43.000]  And until people realize it's being done by increments,
[00:11:43.000 --> 00:11:44.000]  we cannot stop it.
[00:11:44.000 --> 00:11:47.000]  But once people realize it's being done by successive approximation,
[00:11:47.000 --> 00:11:48.000]  we can become aware of it,
[00:11:48.000 --> 00:11:52.000]  and struggle to fight the thousands of different ways they're attacking us,
[00:11:52.000 --> 00:11:55.000]  but each one of those little attacks combines into a larger attack.
[00:11:55.000 --> 00:11:57.000]  Only full awareness of this can set us free.
[00:11:57.000 --> 00:12:00.000]  More special reports I'll introduce coming up,
[00:12:00.000 --> 00:12:02.000]  but first, Owen Schroer is here with the latest breaking news.
[00:12:02.000 --> 00:12:03.000]  Thank you, Alex.
[00:12:03.000 --> 00:12:04.000]  Now, ladies and gentlemen,
[00:12:04.000 --> 00:12:07.000]  let me tell you what we have in the news.
[00:12:07.000 --> 00:12:11.000]  How do you, I mean, this is so out of control.
[00:12:11.000 --> 00:12:14.000]  Like I said at the opening,
[00:12:14.000 --> 00:12:16.000]  bags abound.
[00:12:16.000 --> 00:12:21.000]  And I mean, the stuff we see is so ludicrous now
[00:12:22.000 --> 00:12:26.000]  that nobody is really buying it at all.
[00:12:26.000 --> 00:12:32.000]  But who's ever running these operations is obviously still in operational mode.
[00:12:32.000 --> 00:12:36.000]  I mean, even with this patriot front group
[00:12:36.000 --> 00:12:41.000]  that seems to have no clear identity or leader,
[00:12:41.000 --> 00:12:44.000]  and they show up and it's a bunch of fit dudes
[00:12:44.000 --> 00:12:49.000]  in khaki matching outfits with their face masks
[00:12:49.000 --> 00:12:52.000]  covering their faces.
[00:12:52.000 --> 00:12:55.000]  And it's like, well, what part of the movement is this?
[00:12:55.000 --> 00:12:58.000]  Where do these guys come from?
[00:12:58.000 --> 00:13:00.000]  But see, it's the same propaganda.
[00:13:00.000 --> 00:13:03.000]  These are white supremacists.
[00:13:03.000 --> 00:13:05.000]  These are Trump supporters.
[00:13:05.000 --> 00:13:06.000]  These are Republicans.
[00:13:06.000 --> 00:13:08.000]  These are conservatives.
[00:13:08.000 --> 00:13:11.000]  These are your enemies.
[00:13:11.000 --> 00:13:16.000]  And then you've got all these instances now
[00:13:16.000 --> 00:13:21.000]  where they try to tie it to Nazism,
[00:13:21.000 --> 00:13:26.000]  which, again, gets down to this problem we have now in our society
[00:13:26.000 --> 00:13:30.000]  that words have no meaning.
[00:13:30.000 --> 00:13:34.000]  When they call somebody a Nazi, as they're saying,
[00:13:34.000 --> 00:13:37.000]  this individual that crashed a U-Haul
[00:13:37.000 --> 00:13:40.000]  was a white supremacist neo-Nazi.
[00:13:40.000 --> 00:13:44.000]  Oh, yeah, people love renting U-Hauls from Missouri
[00:13:44.000 --> 00:13:46.000]  and then crashing them in D.C.
[00:13:46.000 --> 00:13:49.000]  and then leaving a Nazi flag on the ground outside.
[00:13:49.000 --> 00:13:50.000]  That's what they do.
[00:13:50.000 --> 00:13:52.000]  That makes sense.
[00:13:52.000 --> 00:13:53.000]  But, again, it's the same propaganda.
[00:13:53.000 --> 00:13:55.000]  They want you to think that these Nazis are everywhere
[00:13:55.000 --> 00:13:58.000]  and that's your average Trump voter, Republican voter,
[00:13:58.000 --> 00:14:00.000]  which is obviously just absurd.
[00:14:00.000 --> 00:14:01.000]  That's propaganda.
[00:14:01.000 --> 00:14:03.000]  But words have no meaning anymore.
[00:14:03.000 --> 00:14:06.000]  What do they mean when they say Nazi?
[00:14:06.000 --> 00:14:09.000]  Do they mean that it's a German soldier
[00:14:09.000 --> 00:14:13.000]  with loyalties to Adolf Hitler and the motherland?
[00:14:13.000 --> 00:14:17.000]  Is he fighting for the motherland, the Deutschland?
[00:14:17.000 --> 00:14:19.000]  No.
[00:14:19.000 --> 00:14:24.000]  No, his name was Sai Varshith Kandula
[00:14:24.000 --> 00:14:26.000]  from Chesterfield, Missouri,
[00:14:26.000 --> 00:14:29.000]  where there actually is a large Indian American population.
[00:14:29.000 --> 00:14:30.000]  They do well out there.
[00:14:30.000 --> 00:14:33.000]  They make good money.
[00:14:33.000 --> 00:14:35.000]  Oh, that's a Nazi.
[00:14:35.000 --> 00:14:39.000]  Oh, maybe he's a national socialist then
[00:14:39.000 --> 00:14:44.000]  because I don't think 19-year-old Sai Varshith Kandula
[00:14:44.000 --> 00:14:49.000]  is working in Hitler's army.
[00:14:49.000 --> 00:14:51.000]  We can all agree on that, right?
[00:14:51.000 --> 00:14:56.000]  I mean, he's not actually in the SS.
[00:14:56.000 --> 00:14:59.000]  He's not actually a Nazi.
[00:14:59.000 --> 00:15:03.000]  So is he a national socialist then?
[00:15:03.000 --> 00:15:04.000]  You call him a Nazi.
[00:15:04.000 --> 00:15:07.000]  So then, I mean, he's not from Germany.
[00:15:07.000 --> 00:15:10.000]  He's not wearing a Hugo Boss SS uniform.
[00:15:10.000 --> 00:15:14.000]  He's not heiling Hitler with Adolf Hitler giving a speech.
[00:15:14.000 --> 00:15:15.000]  So what do you mean when you call him a Nazi?
[00:15:15.000 --> 00:15:17.000]  So is he a national socialist?
[00:15:17.000 --> 00:15:18.000]  Oh, so he's a socialist.
[00:15:18.000 --> 00:15:19.000]  So he's a leftist.
[00:15:19.000 --> 00:15:20.000]  Oh, okay.
[00:15:20.000 --> 00:15:22.000]  Is that what you're saying?
[00:15:22.000 --> 00:15:23.000]  No.
[00:15:23.000 --> 00:15:27.000]  Words have no meaning anymore.
[00:15:27.000 --> 00:15:30.000]  And so now they've taken this word Nazi
[00:15:30.000 --> 00:15:33.000]  and all it really means now,
[00:15:33.000 --> 00:15:34.000]  well, it really doesn't mean anything.
[00:15:34.000 --> 00:15:37.000]  It's a projection.
[00:15:37.000 --> 00:15:38.000]  It's a projection.
[00:15:38.000 --> 00:15:41.000]  You know a Nazi is bad.
[00:15:41.000 --> 00:15:46.000]  So it's a projection onto their political opposition,
[00:15:46.000 --> 00:15:49.000]  which at this point is anything to the right
[00:15:49.000 --> 00:15:53.000]  of trans kids surgeries, abortions for all,
[00:15:53.000 --> 00:15:55.000]  and you name the rest.
[00:15:55.000 --> 00:15:57.000]  So I didn't even get into the rest of the news,
[00:15:57.000 --> 00:16:00.000]  but this is a big story today too.
[00:16:00.000 --> 00:16:02.000]  Please give me one minute of your time.
[00:16:02.000 --> 00:16:04.000]  Please write this down and please go look this up.
[00:16:04.000 --> 00:16:06.000]  It will change your life.
[00:16:06.000 --> 00:16:09.000]  The UN admits and the Lansink Medical Journal admits
[00:16:09.000 --> 00:16:13.000]  that upwards of 2 billion people have mental disabilities
[00:16:13.000 --> 00:16:15.000]  and declining cognitive abilities.
[00:16:15.000 --> 00:16:18.000]  The term they use is intellectual disability
[00:16:18.000 --> 00:16:20.000]  because of lack of iodine.
[00:16:20.000 --> 00:16:24.000]  Most iodine in the environment is bound to other elements
[00:16:24.000 --> 00:16:26.000]  so your body can't absorb it.
[00:16:26.000 --> 00:16:30.000]  Only pure iodine can really be absorbed right into the cells.
[00:16:30.000 --> 00:16:34.000]  And Infowarsstore.com has the only iodine out there
[00:16:34.000 --> 00:16:37.000]  that actually has this type of full effect.
[00:16:37.000 --> 00:16:40.000]  Ladies and gentlemen, X3's been sold out for six months.
[00:16:40.000 --> 00:16:44.000]  It's very hard to produce, and it's finally back in stock.
[00:16:44.000 --> 00:16:46.000]  In fact, I was just taking some before I shot this ad.
[00:16:46.000 --> 00:16:48.000]  This, ladies and gentlemen, is powerful.
[00:16:48.000 --> 00:16:50.000]  You and your family need it.
[00:16:50.000 --> 00:16:52.000]  It's 25% off back in stock.
[00:16:52.000 --> 00:16:56.000]  X3, triiodine, exclusively at Infowarsstore.com.
[00:16:56.000 --> 00:16:59.000]  Take action now, but regardless, research is info.
[00:17:00.000 --> 00:17:03.000]  Just weeks ago, I warned the world
[00:17:03.000 --> 00:17:05.000]  that the globalists were going to move against Tucker Carlson
[00:17:05.000 --> 00:17:06.000]  and take him off the air.
[00:17:06.000 --> 00:17:09.000]  People said, no way, he's the most powerful thing that ever happened.
[00:17:09.000 --> 00:17:11.000]  They've got quadrillions of stolen money.
[00:17:11.000 --> 00:17:14.000]  They only had Tucker Carlson on the air because they believed they could control him.
[00:17:14.000 --> 00:17:17.000]  But as soon as they figured out they couldn't, he was taken off the air.
[00:17:17.000 --> 00:17:19.000]  It's the same thing with Infowars.
[00:17:19.000 --> 00:17:23.000]  But Infowars is not owned by Fox or controlled by George Soros
[00:17:23.000 --> 00:17:25.000]  or owned by Spotify like Joe Rogan.
[00:17:25.000 --> 00:17:29.000]  We are only beholden to our viewers and our listeners.
[00:17:29.000 --> 00:17:31.000]  And when you support us, we're unstoppable.
[00:17:31.000 --> 00:17:36.000]  I'm not underwritten by Rupert Murdoch or by George Soros.
[00:17:36.000 --> 00:17:39.000]  I'm underwritten by you, which is we the people.
[00:17:39.000 --> 00:17:42.000]  So I want to thank you for your support and encourage viewers and listeners to understand.
[00:17:42.000 --> 00:17:45.000]  Please don't take Infowars for granted.
[00:17:45.000 --> 00:17:47.000]  We're barely hanging on.
[00:17:47.000 --> 00:17:49.000]  We need your word of mouth, your prayer, your financial support,
[00:17:49.000 --> 00:17:52.000]  while getting great products at the same time at Infowarsstore.com.
[00:17:52.000 --> 00:17:53.000]  So don't procrastinate.
[00:17:53.000 --> 00:17:55.000]  Go to Infowarsstore.com.
[00:17:55.000 --> 00:17:57.000]  Get amazing products that keep us on the air
[00:17:57.000 --> 00:17:59.000]  and never submit to these tyrants.
[00:17:59.000 --> 00:18:07.000]  In the early 1900s, certain companies were off-gassing highly toxic fluoride gases into the atmosphere.
[00:18:07.000 --> 00:18:10.000]  The surrounding communities began to get sick.
[00:18:10.000 --> 00:18:15.000]  Laws were enacted to compel these corporations to install scrubbers
[00:18:15.000 --> 00:18:18.000]  to convert these gases into fluorosilicic acid,
[00:18:18.000 --> 00:18:21.000]  still highly toxic but containable.
[00:18:21.000 --> 00:18:24.000]  Now these companies had a stockpile of this poison
[00:18:24.000 --> 00:18:26.000]  and there was no affordable way to dispose of it.
[00:18:26.000 --> 00:18:31.000]  Lucky for them, one of their major stockholders was also the secretary of the treasury,
[00:18:31.000 --> 00:18:34.000]  who was responsible for the public health service at the time.
[00:18:34.000 --> 00:18:41.000]  And by 1950, the U.S. government began buying this toxic, untreated industrial waste product
[00:18:41.000 --> 00:18:43.000]  and dumping it into our drinking water.
[00:18:43.000 --> 00:18:48.000]  Reputable studies show that it's causing various cancers and other disease.
[00:18:48.000 --> 00:18:52.000]  With the Alexa Pure Pro, you can have clean drinking water
[00:18:52.000 --> 00:18:54.000]  and a remedy to this madness.
[00:18:54.000 --> 00:18:58.000]  Available now at Infowarsstore.com
[00:18:59.000 --> 00:19:03.000]  Thousands of former Nazis went to work for the United States government.
[00:19:03.000 --> 00:19:07.000]  A flying disk has been found and is now in the possession of the army.
[00:19:07.000 --> 00:19:09.000]  Here is a bulletin from CBS News.
[00:19:09.000 --> 00:19:11.000]  President Kennedy has been shot.
[00:19:11.000 --> 00:19:15.000]  This is a different kind of war.
[00:19:15.000 --> 00:19:19.000]  The USS Liberty had just been attacked by Israeli jets and torpedo boats.
[00:19:19.000 --> 00:19:23.000]  The CIA could manipulate the news in the United States.
[00:19:23.000 --> 00:19:27.000]  They took the babies out of incubators and left the children to die on the cold floor.
[00:19:27.000 --> 00:19:30.000]  It was almost as if it were a plan in motion.
[00:19:30.000 --> 00:19:31.000]  It just can't happen.
[00:19:31.000 --> 00:19:33.000]  We need to go into the capital.
[00:19:33.000 --> 00:19:35.000]  Stop! Stop! Stop!
[00:19:35.000 --> 00:19:37.000]  You will always have conspiracy theories.
[00:19:37.000 --> 00:19:39.000]  They are nothing but distractions.
[00:19:39.000 --> 00:19:41.000]  You guys censored Harvard educated doctors.
[00:19:41.000 --> 00:19:43.000]  You silenced those voices.
[00:19:43.000 --> 00:19:47.000]  What we want to do in Davos is push the reset button.
[00:19:48.000 --> 00:19:51.000]  Soon as we start exposing the Great Reset,
[00:19:51.000 --> 00:19:55.000]  the sooner these globalists start going to prison.
[00:20:08.500 --> 00:20:37.100]  Alright, let me do a proper layout of the news waterfront today and what is going to
[00:20:37.100 --> 00:20:44.260]  be coming up on the Alex Jones show, including Alex Jones himself.
