[00:00:00.000 --> 00:00:02.000]  Big John!
[00:09:38.000 --> 00:09:46.000]  Well, you know, the way things are, that's the way it's supposed to be.
[00:09:46.000 --> 00:09:50.000]  The civilians are supposed to control the military.
[00:09:50.000 --> 00:09:52.000]  Everybody wants free rein, Randy.
[00:09:52.000 --> 00:09:54.000]  Yes.
[00:09:54.000 --> 00:09:55.000]  Well, they've got it.
[00:09:55.000 --> 00:09:58.000]  Government's got free rein, and they literally...
[00:09:58.000 --> 00:10:00.000]  Folks, when I say this, I mean it.
[00:10:00.000 --> 00:10:02.000]  They literally have already destroyed the country, okay?
[00:10:02.000 --> 00:10:04.000]  I mean, I just want to give people a news flash.
[00:10:04.000 --> 00:10:05.000]  It's already gone.
[00:10:05.000 --> 00:10:06.000]  It is.
[00:10:06.000 --> 00:10:07.000]  It is, yeah.
[00:10:07.000 --> 00:10:09.000]  Yeah, I don't know if we can get it back.
[00:10:09.000 --> 00:10:12.000]  You know, the court system is just so corrupt.
[00:10:12.000 --> 00:10:15.000]  I know exactly what the Browns are talking about.
[00:10:15.000 --> 00:10:17.000]  They don't have to convince me of what I...
[00:10:17.000 --> 00:10:23.000]  I can see it in my own mind, visualize what happened, and it's...
[00:10:23.000 --> 00:10:24.000]  These people...
[00:10:24.000 --> 00:10:29.000]  And that's why they're passing all these Patriot Acts, supposedly Patriot Act, and all this other stuff,
[00:10:29.000 --> 00:10:34.000]  because it gives them more money, more police and law enforcement, they call it, officers.
[00:10:34.000 --> 00:10:37.000]  I call them more terrorist groups.
[00:10:37.000 --> 00:10:39.000]  They talk about the homegrown terrorists.
[00:10:39.000 --> 00:10:42.000]  Well, they are them themselves.
[00:10:42.000 --> 00:10:43.000]  Yes, they are.
[00:10:43.000 --> 00:10:46.000]  That's because they're scared.
[00:10:46.000 --> 00:10:50.000]  They're afraid that we don't want to go along with their program, and that's why they're doing this.
[00:10:50.000 --> 00:10:54.000]  They're going to try to scare us into bowing down and doing everything they say.
[00:10:54.000 --> 00:10:58.000]  Well, there's some of us out here that are just, you know...
[00:10:58.000 --> 00:11:06.000]  When they say when you're 18, you're an adult, you get away, and now your parents aren't in control of you anymore.
[00:11:06.000 --> 00:11:09.000]  And that's when people are supposed to start thinking for ourselves.
[00:11:09.000 --> 00:11:16.000]  And if you have any common sense and use any reasoning at all, you can see that this country...
[00:11:16.000 --> 00:11:19.000]  Like, you're right, it's gone.
[00:11:19.000 --> 00:11:22.000]  We have no constitutional republic anymore.
[00:11:22.000 --> 00:11:23.000]  No.
[00:11:23.000 --> 00:11:28.000]  Well, we've got members of Homeland Security admitting that to police, saying the country's really going to be gone soon.
[00:11:28.000 --> 00:11:31.000]  And they've been convinced somehow that's good.
[00:11:31.000 --> 00:11:34.000]  Randy, you should be there by Sunday.
[00:11:34.000 --> 00:11:37.000]  I'm on from 4 to 6 p.m. Sunday with a syndicated show I do.
[00:11:37.000 --> 00:11:42.000]  I'd like to get a 10, 15-minute report Sunday, somewhere between 4 to 6.
[00:11:42.000 --> 00:11:45.000]  Central, that'd be 5 to 7.
[00:11:45.000 --> 00:11:49.000]  Eastern, when you're there at the Brown property.
[00:11:49.000 --> 00:11:51.000]  So let's be sure and line that up.
[00:11:51.000 --> 00:11:55.000]  Bottom line, what are you hoping to do by traveling there?
[00:11:55.000 --> 00:12:05.000]  Just hopefully to prevent any bloodshed on either side and get national attention on this whole situation.
[00:12:05.000 --> 00:12:07.000]  Yeah, that's what we need.
[00:12:07.000 --> 00:12:12.000]  Well, let's just say that you're going to have a press conference at 2 o'clock.
[00:12:12.000 --> 00:12:14.000]  That's perfect for news time at 5.
[00:12:14.000 --> 00:12:18.000]  Let's say you're going to have a press conference at 2 o'clock on Monday.
[00:12:18.000 --> 00:12:23.000]  There, in front of the House, and invite national media there.
[00:12:23.000 --> 00:12:25.000]  We should all call the media.
[00:12:25.000 --> 00:12:27.000]  Randy, I'm sure you can get there by 2 o'clock on Monday.
[00:12:27.000 --> 00:12:35.000]  How about we just put out the announcement that you're going to have a press conference at 2 p.m. out front of the Brown House coming up this Monday?
[00:12:35.000 --> 00:12:37.000]  That's fine with me.
[00:12:37.000 --> 00:12:39.000]  Okay, well there you have it.
[00:12:39.000 --> 00:12:45.000]  Randy, we were reporting for Genesis Communications, Infowars.com, We the People Radio Network, Republic Radio Network.
[00:12:45.000 --> 00:12:47.000]  They've got that free speech network.
[00:12:47.000 --> 00:12:55.000]  All of them, just Randy there reporting for the American people, reporting for duty, a great patriot, going above and beyond the call in the fight for this republic.
[00:12:55.000 --> 00:13:04.000]  Now, when I say the country's gone, it's kind of like if somebody was throwing a baby out the window and you dropped him for a second and you might have a second to still grab him.
[00:13:04.000 --> 00:13:15.000]  It's kind of like the cartoon where Yosemite Sam or Wiley Coate walks out off the cliff and he figures out he's walked out over the cliff and as soon as he realizes that he falls.
[00:13:15.000 --> 00:13:22.000]  Now, that isn't how reality works with gravity, but that is how it works with the economy and politics and the new world order.
[00:13:22.000 --> 00:13:28.000]  If we realize we're out over the edge of the cliff and jump back, we can still do that for a very limited time.
[00:13:28.000 --> 00:13:32.000]  Randy, Mrs. Brown, do you agree with that?
[00:13:32.000 --> 00:13:34.000]  Yeah, absolutely.
[00:13:34.000 --> 00:13:37.000]  People are going to have to move.
[00:13:37.000 --> 00:13:43.000]  Alex, I'm not a religious man, but I believe that people do evil things and they do good things.
[00:13:43.000 --> 00:13:48.000]  I believe that miracles can happen and people have to make it happen.
[00:13:48.000 --> 00:13:50.000]  People have to do it.
[00:13:50.000 --> 00:13:52.000]  Well, Randy, you always say I'm not a religious man.
[00:13:52.000 --> 00:13:55.000]  I know you were a very deeply religious man.
[00:13:55.000 --> 00:13:57.000]  Growing up, yes.
[00:13:57.000 --> 00:14:08.000]  I come through the whole gamut, but at the time Ruby Ridge came down, Vicki and I, we had given up our fundamentalist type Christian beliefs by the time that happened.
[00:14:08.000 --> 00:14:13.000]  We were pretty much what you might call Yawa Separatist beliefs back then.
[00:14:13.000 --> 00:14:19.000]  If Vicki was here today, we studied together and we would learn things together and we changed.
[00:14:19.000 --> 00:14:27.000]  There was never more than two weeks apart where we'd have to discuss something until we'd come to an agreement on it and we could see the truth in it.
[00:14:27.000 --> 00:14:34.000]  We were studying and learning and we were working our way right out of religion, Alex.
[00:14:34.000 --> 00:14:38.000]  It was more spiritual than a religious thing, Randy.
[00:14:38.000 --> 00:14:40.000]  I understand.
[00:14:40.000 --> 00:14:43.000]  I don't know if there's an afterlife.
[00:14:43.000 --> 00:14:50.000]  I haven't had any proof of it, but I know one thing, Elaine.
[00:14:50.000 --> 00:15:01.000]  If there is a creator and he loves his children more than I loved my little boy when I picked him up and laid him in my arms when he was dead on the road down there in the woods,
[00:15:01.000 --> 00:15:11.000]  if he loves me more than that, I can pull a lot more stinkies yet and still be in good stead with the old boy or woman, whatever he is or she is or whatever.
[00:15:11.000 --> 00:15:16.000]  You see, I don't know, but I know one thing.
[00:15:16.000 --> 00:15:28.000]  He gave us, or we are given, I should say, and our parents and DNA, we're born with brains and we're supposed to use them and reasoning and education.
[00:15:29.000 --> 00:15:36.000]  And we have to, you know, even the scripture, I know the scriptures are pretty good, and even scripture says studies show yourself approved.
[00:15:36.000 --> 00:15:44.000]  And I have found out why you should study, for sure, because it helps you with your reasoning.
[00:15:44.000 --> 00:15:47.000]  Now when you study, you just get smarter.
[00:15:47.000 --> 00:15:49.000]  Well, better educated.
[00:15:49.000 --> 00:15:52.000]  Well, I mean, it makes the brain work better the more you use it.
[00:15:52.000 --> 00:15:54.000]  Well, that's right, sure.
[00:15:54.000 --> 00:15:56.000]  Use it or lose it, like anything.
[00:15:57.000 --> 00:16:03.000]  Ed and I do stand with the Lord and do believe that there is an afterlife.
[00:16:03.000 --> 00:16:15.000]  And these criminals who are coming here, you know, one day we all stand before those gates, before that ultimate judge, and they had best be prepared.
[00:16:15.000 --> 00:16:17.000]  Well, I want to tell Randy this.
[00:16:17.000 --> 00:16:22.000]  Randy, I wasn't looking for it my whole life, but I have had experiences and things I don't talk about on air.
[00:16:22.000 --> 00:16:24.000]  Believe me, it's real.
[00:16:25.000 --> 00:16:31.000]  Well, that's fine, but I guess I'm going to have to be forgiven then, you know.
[00:16:31.000 --> 00:16:37.000]  And personally, I believe that that's real possible if it's going to go that route.
[00:16:37.000 --> 00:16:40.000]  Well, we know you're a good man, and we know you've got a good heart, and we love you, Randy.
[00:16:40.000 --> 00:16:41.000]  Absolutely.
[00:16:41.000 --> 00:16:43.000]  Absolutely, thank you.
[00:16:43.000 --> 00:16:47.000]  And, you know, we really respect you, and we just appreciate you for going out there.
[00:16:47.000 --> 00:16:58.000]  I mean, I think this is really going to freak the feds out that you're putting yourself in the way of the fist, and they are insane if they decide to go in there while you're in there, Randy.
[00:16:58.000 --> 00:17:03.000]  Well, you know what, I'm not one lick worried about it.
[00:17:03.000 --> 00:17:06.000]  I'm not afraid to death anymore, Alex.
[00:17:06.000 --> 00:17:07.000]  I understand.
[00:17:07.000 --> 00:17:09.000]  Not one bit.
[00:17:09.000 --> 00:17:10.000]  I'm not either.
[00:17:10.000 --> 00:17:12.000]  I'm only afraid of not being able to continue my work.
[00:17:12.000 --> 00:17:20.000]  I just hope that if they shoot me, that they can prove later in the autopsy that it was from the back again.
[00:17:20.000 --> 00:17:22.000]  Why do they like to shoot people in the back?
[00:17:22.000 --> 00:17:32.000]  Well, it's easier, and that way if they miss, there's less possibility you're going to see where the shot comes from, I guess.
[00:17:32.000 --> 00:17:33.000]  Who knows?
[00:17:33.000 --> 00:17:35.000]  One final segment with both of you.
[00:17:35.000 --> 00:17:36.000]  This is historic.
[00:17:36.000 --> 00:17:37.000]  This is historic.
[00:17:37.000 --> 00:17:48.000]  Randy Weaver, one of the survivors of the Ruby Ridge Massacre, is getting ready to get in his truck and getting ready to point it northeast.
[00:17:48.000 --> 00:17:49.000]  Unbelievable.
[00:17:49.000 --> 00:18:01.000]  We'll be right back.
[00:18:01.000 --> 00:18:06.000]  This year, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:18:06.000 --> 00:18:15.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:18:15.000 --> 00:18:22.000]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:18:22.000 --> 00:18:34.000]  Terror Storm chronicles the lies that took us to war in Iraq, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:18:34.000 --> 00:18:38.000]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:18:38.000 --> 00:18:40.000]  It's an anthology of government crimes.
[00:18:40.000 --> 00:18:44.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:18:44.000 --> 00:18:57.000]  Get your copy today at Infowars.com or PrisonPlanet.com, or by calling toll-free 1-888-253-3139, or watch it right now online at PrisonPlanet.tv.
[00:18:57.000 --> 00:19:06.000]  Hello, folks. Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:19:06.000 --> 00:19:16.000]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:19:16.000 --> 00:19:23.000]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:19:23.000 --> 00:19:27.000]  Find out everything from where to get water in an emergency to geographic income levels.
[00:19:27.000 --> 00:19:34.000]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000-plus counties in the U.S.
[00:19:34.000 --> 00:19:40.000]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[00:19:40.000 --> 00:19:49.000]  Order Prudent Places USA now for only $29, plus shipping, by calling New Millennium at 888-803-4438.
[00:19:49.000 --> 00:19:57.000]  And tell them Alex Jones sent you. That's 888-803-4438, or order online at BerkeyWater.com.
[00:19:57.000 --> 00:19:59.000]  Hello, friends. Alex Jones here.
[00:19:59.000 --> 00:20:03.000]  I want you to imagine waking up one morning to find out you've been burglarized.
[00:20:03.000 --> 00:20:12.000]  An intruder has taken your personal possessions, credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[00:20:12.000 --> 00:20:17.000]  What's worse is you realize he got it through your front door because you left it unlocked.
[00:20:17.000 --> 00:20:27.000]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[00:20:27.000 --> 00:20:33.000]  Put a stop to this right now with the NET7 Network Security Switch from NET7 Technologies.
[00:20:33.000 --> 00:20:36.000]  Turn your internet on and off with one simple switch.
[00:20:36.000 --> 00:20:40.000]  There's no software to load, and it's so easy to install.
[00:20:40.000 --> 00:20:46.000]  Right now, you can order your NET7 Security Switch from NET7 Technologies for only $39.95.
[00:20:46.000 --> 00:20:49.000]  For a limited time, receive free shipping with your order.
[00:20:49.000 --> 00:20:57.000]  Visit NET7Tech.com. That's NET, the number 7, Tech.com, and start protecting yourself today.
[00:21:06.000 --> 00:21:10.000]  I was talking to Randy during the break, and I talked to him a few days ago.
[00:21:12.000 --> 00:21:17.000]  And we're sending him in there as an Infowars.com reporter.
[00:21:17.000 --> 00:21:22.000]  That way, the Feds can't trump something up and try to say he's aiding and abetting or something.
[00:21:22.000 --> 00:21:24.000]  Of course, the Browns haven't done anything either.
[00:21:24.000 --> 00:21:29.000]  We just want to defuse this. We want to leave him alone. We don't want bloodshed on either side.
[00:21:29.000 --> 00:21:31.000]  And Randy, again, I can only commend your courage.
[00:21:31.000 --> 00:21:35.000]  You're going to be leaving tomorrow or the next morning, and we'll have a press conference.
[00:21:35.000 --> 00:21:41.000]  We'll announce that, well, let's shoot for 1 o'clock more, I think, about it Monday,
[00:21:41.000 --> 00:21:46.000]  because that way we can carry the press conference live via cell phone in the last hour of this show.
[00:21:46.000 --> 00:21:50.000]  And on any other shows, that's when Ed and Elaine normally do their call-in to a show as well.
[00:21:50.000 --> 00:21:55.000]  So we can do it all Monday at 1 o'clock, as long as it's in the afternoon. That's perfect for the media.
[00:21:55.000 --> 00:22:01.000]  Next Monday, 1 o'clock Central, 2 o'clock Eastern, so it'll still be 2 o'clock for you, Randy.
[00:22:01.000 --> 00:22:02.000]  Okay.
[00:22:02.000 --> 00:22:08.000]  Mrs. Brown, Elaine Brown, anything else you want to add, or is Anne Brown there?
[00:22:08.000 --> 00:22:12.000]  Well, we're just anxiously awaiting Randy's arrival.
[00:22:12.000 --> 00:22:16.000]  We're looking forward to meeting you, Randy, having you with us.
[00:22:16.000 --> 00:22:22.000]  My oldest daughter, Sarah, I talked to her yesterday on the phone, and she wanted to come out there, too,
[00:22:22.000 --> 00:22:28.000]  if she could get off work, but she's had to take a lot of time off recently for some other business,
