[00:00.000 --> 00:02.000]  it
[04:31.420 --> 04:37.300]  Butch or being a warm-up a steeply if lived meanwhile in Europe
[04:37.980 --> 04:45.180]  You have Germany deliberately ignoring and concealing migrant crimes while avoid stirring up prejudice
[04:45.780 --> 04:49.140]  highlighted this issue or perhaps they're actually now
[04:50.180 --> 04:56.860]  Concealing covering up crimes committed by migrants to prevent some kind of civil unrest in Germany
[04:56.860 --> 05:01.740]  So we're gonna talk about and a whole post more on the Alex Jones show today
[05:02.060 --> 05:07.940]  Also, Norwegian writer slams dishonest media for hiding got some really good news for all the viewers and all the listeners
[05:07.940 --> 05:12.140]  This was gonna be a big loss because we couldn't get the deep earth crystals anymore for a year and a half
[05:12.140 --> 05:16.140]  Fight, but we have the original producer the original crystal source the best
[05:16.660 --> 05:22.980]  Atomic Ida in the world x2 is back. Got it. This deal just happened about a month ago. We rush it into production
[05:22.980 --> 05:27.620]  It's been bottled the labels are being put on today, and then it's gonna be on an 18-wheeler
[05:28.060 --> 05:33.180]  Right here to Austin from the plant in the Rockies and it's gonna be shipped out to you
[05:33.180 --> 05:37.820]  Be sure to sign up for auto ship in an additional 10% off the 25% off
[05:38.300 --> 05:40.500]  Celebration of the fact that we got it back and we're relaunching
[05:41.100 --> 05:46.660]  Research the iodine conspiracy find out why it's so important find out what the globalists don't want you to have
[05:47.020 --> 05:50.620]  The good halogen what you have the bad halogens at infowarstore.com
[05:50.620 --> 05:56.900]  That's the umbrella site in force life.com if you write the supplements, and this is the king daddy
[05:57.660 --> 06:03.260]  Ladies and gentlemen it is x2 original now back at infowarstore.com
[06:03.260 --> 06:33.220]  We're live and we're talking about better announcing that he will run a
[06:33.380 --> 06:39.380]  No surprise at this point obviously he came out in a TV interview last night and basically all but said that now
[06:39.380 --> 06:48.380]  It's being confirmed right bar reports left mox bettos messiah-esque born to run remarks peak white male privilege
[06:48.860 --> 06:54.580]  Now they're already eating their own. This is absolutely hilarious and this goes to the point if
[06:55.300 --> 06:59.220]  Betto is gonna have to spend half of his time up on the debate platform
[06:59.220 --> 07:08.780]  Excusing himself for being a white male for having white male privilege and denying the presidency to a woman or to a minority
[07:09.700 --> 07:11.700]  How's he gonna win that race?
[07:11.700 --> 07:15.780]  How's he gonna get through that field of women of minorities?
[07:16.460 --> 07:21.820]  With them already feasting upon him for the crime of being a white male
[07:21.820 --> 07:28.860]  Left-wing activists and liberal journalists were quick to mock former rep Robert Francis Betto awoke on Wednesday evening
[07:29.340 --> 07:33.300]  After he told vanity fair that he was born to run for president
[07:33.700 --> 07:37.980]  He told vanity fair quote. You can probably tell I want to run. I do. I think I'd be good at it
[07:38.500 --> 07:43.540]  I'm just born to be in it and want to do everything I humanly can for this country at the moment
[07:43.980 --> 07:48.780]  But hours after they published that forming story awoke confirmed to KTSM in Texas
[07:48.780 --> 07:54.100]  He would announce on Thursday that he is running for president. That's now happened for his critics
[07:54.940 --> 07:58.180]  immediately played the identity politics card
[07:59.460 --> 08:02.900]  Alex Segura on Twitter at some verified liberal or other
[08:04.020 --> 08:11.940]  Said quote. I'm just born to be in it is peak white male privilege and I say this as someone who general generally likes Betto
[08:12.780 --> 08:17.100]  The car he sellers said vote Betto. He was born to do it. That's weird as hell
[08:17.100 --> 08:21.740]  Jennifer Granholm says not sure this vanity fair piece will help Betto's campaign
[08:22.060 --> 08:25.780]  so he's coming across as overbearing as overprivileged and
[08:26.780 --> 08:31.220]  He's a white male. How is he going to come back from being a white male again?
[08:31.220 --> 08:38.380]  The whole debate around this democratic field is at what point will the center will the moderates will the likes of Betto and
[08:38.740 --> 08:46.500]  Biden be forced to move left with the overton window as the overton window has shifted left in terms of the democratic party
[08:46.500 --> 08:52.180]  becoming more extreme more left-wing more socialist more progressive and
[08:52.900 --> 08:57.820]  That question's pretty much been answered straight away. This is the headline out of the Daily Mail
[08:58.380 --> 09:03.380]  Where doomed better oil rock starts presidential campaign by claiming the world faces catastrophe
[09:03.580 --> 09:06.860]  More than hundreds of millions of climate refugees will overwhelm borders
[09:07.380 --> 09:11.260]  Humanity could go extinct unless we fix the planet in 12 years
[09:11.260 --> 09:19.380]  So he's jumped on board immediately with the doomsday rhetoric of Alexandria, Acadio Cortez and others already
[09:19.980 --> 09:25.020]  In a video in which he warned his first presidential campaign that parts of the planet will soon become
[09:25.620 --> 09:33.020]  uninhabitable driving a massive wave of climate refugees across the border if America's government doesn't adopt emergency measures within the next 12 years
[09:33.740 --> 09:35.740]  now this is a bizarre
[09:35.900 --> 09:37.420]  statement because
[09:37.420 --> 09:39.420]  he talks about quote
[09:39.420 --> 09:42.940]  300,000 immigrants and asylum seekers apprehended on the southern border
[09:43.860 --> 09:51.500]  Being a problem, but then he goes on to say I don't necessarily think that it is. Oh, but by the way if you don't pass this green deal
[09:51.660 --> 09:53.140]  this
[09:53.140 --> 09:56.940]  industry stripping jobs killing ridiculous absurd
[09:58.060 --> 10:01.460]  Parts is an hysterical package of measures that AOC introduced
[10:02.300 --> 10:08.900]  But this kind of migration this is a quote that the kind of migration and refugee flows that we will see from entire bands of this world
[10:08.900 --> 10:12.620]  Are no longer habitable will be a crisis of a different magnitude all together
[10:13.140 --> 10:17.660]  So he's saying that 300,000 immigrants on the border isn't a problem
[10:17.660 --> 10:24.620]  But then he's saying oh it will become a problem when there are millions more because we don't pass this green deal
[10:24.820 --> 10:31.460]  So he's already shifting left in a bid to capture this fringe extremist progressive mantra
[10:31.660 --> 10:36.980]  That will come to characterize the campaign of you know people like Bernie Sanders
[10:36.980 --> 10:39.300]  But then Slate makes the point that
[10:39.940 --> 10:47.380]  Beto or Rourke would enter the race as a man without clear political ideology. He's got no signature legislative achievement
[10:47.380 --> 10:51.940]  I think the the only achievement he's got so far is naming a courthouse
[10:53.380 --> 10:58.500]  The slate goes article goes on to say he has no major policy issue or a concrete agenda for the country
[10:58.740 --> 11:04.900]  Those in the know tell the Atlantic that Beto is planning to run as a candidate quote offering hope that America can be better
[11:04.900 --> 11:10.660]  Can be better than its current partisan and hate build politics that the country can come together
[11:11.460 --> 11:17.660]  So he's trying to keep two plates spinning in the air at the same time on the one hand with this rhetoric already
[11:17.660 --> 11:19.780]  He's moving left and on the other hand
[11:19.780 --> 11:23.580]  He's trying to move away from that kind of unhinged hysteria
[11:23.780 --> 11:30.660]  The hate Trump resistance movement that will come to characterize most of the other Democratic candidates in that field
[11:30.820 --> 11:33.500]  By actually trying to have a unifying message
[11:33.500 --> 11:41.100]  That's not going to go across well on the debate stage when these others are tearing into him because he's not going to go anti-Trump
[11:41.100 --> 11:44.860]  He's not going to go far enough with his anti-Trump rhetoric
[11:45.660 --> 11:52.300]  But then again, this is why even many in the mainstream media and on the left. There was the USA today headline today
[11:53.260 --> 11:58.300]  Democrats civil war between progressives and moderates mean Trump will win in 2020
[11:58.700 --> 12:00.700]  So they're going to rip each other apart
[12:00.700 --> 12:06.460]  Either they're too far left-wing or they're not anti-Trump enough and that's going to basically
[12:07.100 --> 12:13.100]  Make them rip chunks out of each other during the campaign and that is only going to benefit Donald Trump
[12:14.540 --> 12:21.020]  Meanwhile, Rosie O'Donnell says Biden is too old to run. She's not the only liberal saying no to Joe
[12:22.380 --> 12:27.580]  What nobody's talking about and it's mentioned in some of these articles in this me too era
[12:27.580 --> 12:32.780]  Is the documented problem that creepy uncle Joe has with women and
[12:33.820 --> 12:35.820]  Let's face it children
[12:36.220 --> 12:42.860]  Most of these articles mention his behavior around women, which is notorious. In fact, we had a secret service source
[12:42.860 --> 12:47.580]  I did an article about this last year. I believe it was that said it was basically impossible
[12:48.060 --> 12:54.260]  To bring wives and girlfriends to the White House for events with Joe Biden because he couldn't keep his hands off them
[12:54.260 --> 12:58.260]  Now they're admitting in some of these articles, but it's buried down the bottom
[12:58.980 --> 13:00.980]  Joe Biden's behavior around women
[13:01.860 --> 13:03.860]  And his behavior around young girls
[13:04.500 --> 13:07.060]  If he runs and that's almost certain at this point
[13:07.700 --> 13:11.860]  Will become the Hillary's health of 2020
[13:13.300 --> 13:15.300]  That will be Joe Biden's
[13:15.380 --> 13:19.460]  Um platform that he's going to fight against just as Hillary's health was was the
[13:19.460 --> 13:25.700]  Uh narrative that she had to fight against and it blew up in her face. Obviously she ended up collapsing on many occasions
[13:26.340 --> 13:30.900]  They don't realize how big this scandal is going to be when more information comes out about it
[13:31.380 --> 13:36.500]  And when this really takes hold in the public eye in the political narrative going forward
[13:36.900 --> 13:41.060]  The only thing they're saying about Joe Biden right now the thing that's prominent is that he's too old
[13:42.100 --> 13:45.860]  Now trump was 70 at the time of his inauguration
[13:45.860 --> 13:49.300]  Joe Biden if he won would be 78
[13:50.340 --> 13:54.180]  So even by the end of his first term he would be 82 years old
[13:54.980 --> 13:57.380]  Rosie O'Donnell has come out and said he's too old
[13:57.380 --> 14:00.260]  So they're already trying to throw Joe Biden under a boss. Remember
[14:00.820 --> 14:05.940]  What was it last week? He had to he had to come out and apologize for calling Mike Pence a nice guy
[14:06.500 --> 14:08.500]  That's how unhinged the left is
[14:08.980 --> 14:14.420]  So any kind of reasonable rhetoric they tamp down on it in a hurry
[14:14.420 --> 14:16.420]  Now they're saying that he's too young
[14:17.220 --> 14:20.980]  Uh, Rosie O'Donnell's come out. She's not the only celebrity expressing concern
[14:21.540 --> 14:27.220]  Ken Owl and the executive producer of this is us said in a tweet last week the wild biden's charisma is infectious
[14:27.700 --> 14:29.700]  He comes across as authentic
[14:29.860 --> 14:31.860]  But he's too old
[14:31.860 --> 14:34.900]  He's not the same man. He was 10 years ago Owl and tweeted
[14:35.460 --> 14:40.740]  So they're trying to attack him on his age and they're trying to attack him on the fact that god forbid he said
[14:40.740 --> 14:44.580]  Mike Pence was a nice guy, but the article continues
[14:45.940 --> 14:48.500]  This is Rosie O'Donnell says Biden is too old to run
[14:49.060 --> 14:50.740]  In the me too era
[14:50.740 --> 14:57.940]  Biden is also likely to face criticism for his handling of the sexual harassment allegations leveled against supreme court justice clowns thomas
[14:58.900 --> 15:01.780]  by Anita hill during the thomas 91 confirmation
[15:02.420 --> 15:08.580]  Last year, biden was who was the chairman of house judiciary committee during those hearings said he wished he could have done more to protect hill
[15:08.580 --> 15:11.460]  If he said got victimized again during the process
[15:12.180 --> 15:15.940]  So even as they acknowledge that biden's got problems
[15:16.340 --> 15:21.780]  From an optics standpoint in the me too era. They completely fail to mention the fact
[15:23.140 --> 15:29.300]  The videos are out there. I did one called creepy uncle joe. It's got I think he's got like 1.3 million views at this point
[15:29.780 --> 15:34.180]  Those videos are only going to recirculate again and again and again
[15:34.180 --> 15:38.900]  Biden is currently the frontrunner, but again, that's mainly because of his name recognition
[15:39.380 --> 15:41.780]  Bernie Sanders is in a second position
[15:42.340 --> 15:44.340]  Again because of name recognition
[15:44.580 --> 15:50.180]  Those two are going to be torn down the more extreme fringe candidates are going to be pushed to the floor
[15:50.980 --> 15:52.980]  And bait betto is going to be
[15:53.380 --> 15:58.580]  Stuck in the middle with nowhere really to go. We're going to get into that and more on the other side of the break
[15:58.580 --> 16:02.660]  This is the Alex Jones show live breaking news at info wars.com. We'll be back
[16:02.660 --> 16:03.860]  All right
[16:03.860 --> 16:10.900]  Pain in my neck back and shoulders has really gotten worse relief for body pain is here with sunny bay heating pads
[16:10.980 --> 16:14.900]  Well, the last thing I want is to take another pill. So what's so good about sunny bay heating pads?
[16:15.140 --> 16:20.580]  Sunny bay heating pads made by bio med db designed right here in the usa come in all sizes
[16:20.820 --> 16:27.220]  Our extra large microwavable heating pad for back pain is designed to be large enough to cover your entire back
[16:27.220 --> 16:32.660]  It's also perfect to wrap around your legs knees or shoulder and neck, but I need to know their good quality
[16:32.900 --> 16:36.740]  Of course, sunny bay heating pads and pillows are often an amazon choice
[16:36.980 --> 16:41.620]  And it's easy and most affordable when you purchase your sunny bay heating pads right from our website
[16:41.860 --> 16:47.700]  sunshinepillows.com or call us 253 678 1361
[16:47.860 --> 16:55.060]  Hey, a sunny bay heating pad would make a great gift, right? Yes, and they started just 1999 and free shipping is available
[16:55.060 --> 17:03.060]  So call 253 678 1361 or a shop for your sunny bay heating pad at sunshine pillows dot com
[17:03.620 --> 17:07.220]  Hunters anglers campers and survivalists get back to nature
[17:07.460 --> 17:14.500]  Expand your horizons with the highest quality most versatile unique sling shots and sling bows on the market at sling bow dot com
[17:14.660 --> 17:18.420]  Sling bow products are compact and models start from just 1798
[17:18.580 --> 17:21.460]  They're perfect for your bug out bag or storing in your vehicle
[17:21.460 --> 17:27.220]  Give yourself and your loved ones the excitement and tradition of sling bow a new frontier in archery
[17:27.380 --> 17:33.060]  And truly modern twist on this primitive survival tool feel the thrill only at sling bow dot com
[17:33.380 --> 17:39.380]  The united states of empire is a book that claims the united states is the empire of the world
[17:39.780 --> 17:42.500]  George washington had warned us against foreign wars
[17:42.740 --> 17:48.420]  The united states of empire shows that world wars one and two left england broken
[17:48.420 --> 17:52.180]  Its former colony the us had to save the empire
[17:52.420 --> 17:57.540]  Was there ever a vote? Who do we fight for the deep state began with world war one?
[17:57.940 --> 18:02.820]  The united states of empire by james dunne available at amazon books
[18:04.740 --> 18:08.900]  This bar at its regular price is a little over three dollars
[18:09.700 --> 18:13.620]  When we have it discounted it's about two dollars and fifty cents a piece
[18:13.620 --> 18:20.500]  Comfortable bars between five and seven dollars a piece to add whole foods. This is high end when you get
[18:21.060 --> 18:23.380]  One box you get them at basically three dollars
[18:23.540 --> 18:27.460]  You get them for two fifty or so when you get it at the current launch discount
[18:27.940 --> 18:33.300]  This took over a year to get the top manufacturer developer in the country to get it all ready
[18:33.460 --> 18:39.140]  And to have the manufacturing line prepared and to make this it's available exclusively in fourslife.com
[18:39.140 --> 18:45.300]  And it's simple you get the highest quality protein bars in two different flavors and you fund the war against the globalist
[18:45.780 --> 18:48.660]  And the attempt that we're engaging to take the country back. It's simple
[18:49.060 --> 18:54.820]  Go shop with the good guys at infowarstore.com and break the back of the globalist and get high quality super discounts
[18:54.980 --> 19:00.420]  Or keep shopping with jeff bezos and amazon and keep going to whole foods that are actually funding the washington post
[19:00.580 --> 19:02.980]  And the globalists attempt to destroy this country. It's that simple
[19:02.980 --> 19:10.100]  In fourslife.com it's time to show them what a real alpha male looks like with one of our most powerful products ever made
[19:10.420 --> 19:12.420]  alpha power at 50 on
[19:13.060 --> 19:18.660]  As you age your body can lose testosterone over time with the incredible ingredients in this formula
[19:18.820 --> 19:25.060]  We can help you repeat the test of time and assist in restoring that lost energy and moves that comes with time and age
[19:25.540 --> 19:31.860]  Alpha powers incredible ingredients can help you boost your sports performance or enhance your day to day life with ease
[19:31.860 --> 19:33.860]  While encouraging hormonal balance
[19:34.420 --> 19:41.780]  Perfect by itself or with super male vitality in the true alpha male pack alpha power can help boost performance
[19:41.940 --> 19:46.580]  Help maintain normal testosterone levels support healthy cholesterol and more
[19:47.060 --> 19:50.420]  Let alpha power help bring you to the peak of your optimal health
[19:50.740 --> 19:57.620]  Don't fall short on energy in the fight against tyranny show the world what a true alpha male looks like today with alpha power
[19:57.620 --> 20:01.780]  At 50% off only at the info war store
[20:07.940 --> 20:10.580]  You're listening to the alex jones show
[20:10.580 --> 20:38.740]  So we have this amazing civil war within the democratic party, which has gotten so
[20:38.740 --> 20:44.660]  But none of the candidates have even been able to admit or acknowledge that they're
[20:44.660 --> 20:45.660]  capitalist.
[20:45.660 --> 20:51.100]  In fact, CNN did a good job for a change that Broken Clock is right twice a day, putting
[20:51.100 --> 20:56.540]  together this montage of democratic candidates, which we'll play in a second, absolutely
[20:56.540 --> 21:00.120]  terrified of admitting that they're capitalist again.
[21:00.120 --> 21:07.220]  It shows how far left the Democratic Party has moved that they're so beset with terror
[21:07.220 --> 21:12.900]  at being called out for being capitalist that they didn't even say it when asked directly.
[21:12.900 --> 21:19.100]  Nancy Pelosi came out in the past hour and said she can't basically name a single accomplishment
[21:19.100 --> 21:23.580]  that Beto O'Rourke had had while he was in the House of Representatives.
[21:23.580 --> 21:27.060]  I think he got one courthouse named and that was about it.
[21:27.060 --> 21:32.900]  And then President Trump came out in the past hour as well, headline, Trump mocks Beto
[21:32.900 --> 21:36.820]  O'Rourke's hand movements, is he crazy or is that the way he acts?
[21:36.820 --> 21:39.860]  So Trump's already way ahead of the curve here.
[21:39.860 --> 21:45.820]  You remember that throughout the 2016 campaign, he identified characteristics from each of
[21:45.820 --> 21:49.300]  his opponents and absolutely railed them on it.
[21:49.300 --> 21:55.020]  You know, lying Ted, low energy Jeb Bush, stuck that target on their back and throughout
[21:55.020 --> 22:00.260]  the whole of their campaign, they were obviously perturbed by it, trying to shift away from
[22:00.260 --> 22:02.060]  being framed in such a way.
[22:02.060 --> 22:07.020]  Now he's done the same for Beto O'Rourke by invoking O'Rourke's hand gestures and apparently
[22:07.020 --> 22:10.180]  questioning his mental condition.
[22:10.180 --> 22:14.860]  This was in the Oval Office about an hour ago, Trump said, quote, he has a lot of hand movement.
[22:14.860 --> 22:17.540]  Is he crazy or is that just the way he acts?
[22:17.540 --> 22:18.980]  I've never seen hand movement.
[22:18.980 --> 22:22.860]  I watched him a little while this morning doing, I seem some kind of news conference.
[22:22.860 --> 22:26.100]  I've actually never seen anything quite like it study it.
[22:26.100 --> 22:28.100]  I'm sure you'll agree.
[22:28.100 --> 22:35.180]  So now Beto O'Rourke is going to be hyper-conscious about his hand movements for the next 18 months
[22:35.180 --> 22:39.580]  if he successfully makes his way through this democratic field without getting knocked
[22:39.580 --> 22:40.860]  out early.
[22:40.860 --> 22:43.780]  And Trump has painted that characteristic on him.
[22:43.780 --> 22:47.900]  Now he's always going to be hyper-aware of his hand movements and that's going to put
[22:47.900 --> 22:48.900]  him off, isn't it?
[22:48.900 --> 22:54.500]  Trump is an expert at doing this kind of thing, at giving people nicknames and ascribing them
[22:54.500 --> 23:00.700]  certain negative or shifty behaviors, certainly Creepy Uncle Joe is going to make a comeback
[23:00.700 --> 23:06.260]  if he announces his run, but now Trump is calling out Beto O'Rourke for his crazy hand
[23:06.260 --> 23:07.260]  movements.
[23:07.260 --> 23:12.900]  That is not only interesting in terms of ascribing him some kind of characteristic to put him
[23:12.900 --> 23:16.980]  off, but also again questioning Beto's sanity.
[23:16.980 --> 23:23.460]  And I mentioned just a second ago, all the democratic candidates are absolutely terrified
[23:23.460 --> 23:25.540]  about admitting to being capitalists.
[23:25.540 --> 23:33.460]  At least Beto O'Rourke has the balls to do so, he told CNBC, quote, I'm a capitalist,
[23:33.460 --> 23:36.580]  I don't see how we're able to meet any of the fundamental challenges that we have as
[23:36.580 --> 23:40.540]  a country without in part harnessing the power of the market.
[23:40.540 --> 23:46.300]  That's the same can't be said for the other democratic candidates who have failed to announce
[23:46.300 --> 23:52.700]  that they're capitalists again in absolute blind panic about being savaged by the left-wing
[23:52.700 --> 23:56.140]  fringe of the democratic candidacy field.
[23:56.140 --> 24:01.500]  We have a CNN clip on that subject, clip seven right now, here it is.
[24:01.500 --> 24:06.980]  So why does the question, are you a capitalist, have so many people running for the exits?
[24:06.980 --> 24:10.700]  John Ablon has our answer in our reality check, hi John.
[24:10.700 --> 24:13.940]  You know what shouldn't be a tough question for someone running for president?
[24:13.940 --> 24:14.940]  It's this.
[24:14.940 --> 24:15.940]  Are you a capitalist?
[24:15.940 --> 24:19.820]  It's a layup, basic stuff rooted in American history and culture.
[24:19.820 --> 24:23.540]  And yet, democratic candidates seem to get in a spot around the axle on this one.
[24:23.540 --> 24:27.180]  And in the process, only helping Donald Trump's re-election.
[24:27.180 --> 24:31.780]  Exhibit A's John Hickenlooper, entrepreneur who bounced back from a layup to a pioneering
[24:31.780 --> 24:36.660]  brew pub, going on to become mayor of Denver and eventually two-term governor of Colorado.
[24:36.660 --> 24:41.500]  And yet, when Joe Scarborough gave him three chances to answer the question, he whiffed
[24:41.500 --> 24:42.500]  three times.
[24:42.500 --> 24:48.700]  When you call yourself a proud capitalist, oh I don't know, you know again the labels
[24:48.700 --> 24:53.820]  I'm not sure any of them fit, you consider yourself a capitalist.
[24:53.820 --> 24:59.020]  Well again, the labels, you know I have a small business person, do you consider yourself
[24:59.020 --> 25:01.860]  a capitalist and does capitalism work?
[25:01.860 --> 25:07.380]  Well I think, I don't look at myself with a label.
[25:07.380 --> 25:12.700]  Look, I co-founded a group called No Labels a while ago, but that's ridiculous.
[25:12.700 --> 25:16.660]  Hickenlooper seemed afraid of angering Bernie bros and social media mobs, but the man was
[25:16.660 --> 25:18.540]  a centrist democratic governor.
[25:18.540 --> 25:22.300]  He helped flip a red state blue, it's the basis of his campaign, and it's nothing to
[25:22.300 --> 25:23.300]  apologize for.
[25:23.300 --> 25:25.380]  But Hickenlooper's not the only one.
[25:25.380 --> 25:27.220]  So what about capitalism?
[25:27.220 --> 25:28.220]  Are you a capitalist?
[25:28.220 --> 25:32.780]  See, here's the thing with all these labels and as you said, how they're used to define
[25:32.780 --> 25:34.860]  people and where they're coming from.
[25:34.860 --> 25:40.540]  But as you see, so many of these labels are misused, misunderstood to the point where
[25:40.540 --> 25:45.460]  people don't have any idea what they even mean anymore.
[25:45.460 --> 25:49.860]  Many tells you Gabbard may have a point there, according to Gallup, only 17% of Americans
[25:49.860 --> 25:53.820]  define socialism correctly, the government ownership of the means of production.
[25:53.820 --> 25:56.940]  That's half the number who could define it properly at the start of the Cold War.
[25:56.940 --> 26:02.820]  And get this, today 6% of Americans believe socialism means being social and getting
[26:02.820 --> 26:03.820]  along with people.
[26:03.820 --> 26:06.780]  About a quarter can't say what it means at all.
[26:06.780 --> 26:10.900]  But Americans know what capitalism is, after America's basically been a liberal capitalist
[26:10.900 --> 26:12.860]  democracy since our founding.
[26:12.860 --> 26:16.780]  We've had presidents who expanded the social safety net and others who expanded free markets.
[26:16.780 --> 26:20.820]  But it all exists within the framework of capitalism and for all its flaws, it's been
[26:20.820 --> 26:27.020]  far more successful at expanding freedom and prosperity than any of the alternatives.
[26:27.020 --> 26:31.980]  They have, again, democratic candidates failing to acknowledge that they're capitalists in
[26:31.980 --> 26:36.740]  absolute abject terror that they get called out by the left wing of their own party.
[26:36.740 --> 26:42.620]  Another issue that's going to crop up during these primaries is the huge problem of opioid
[26:42.620 --> 26:43.620]  addiction in America.
[26:43.620 --> 26:47.060]  You have a headline here out of CNBC.
[26:47.060 --> 26:52.260]  This chart shows there could be a real link between opioid use and people not working.
[26:52.260 --> 26:56.860]  Again, we have Trump announcing during the State of the Union that he wants the largest
[26:56.860 --> 27:01.740]  number of legal immigrants ever to take American jobs.
[27:01.740 --> 27:06.020]  Much of his base was up in arms about that and rightly so.
[27:06.020 --> 27:09.740]  Many of the people who are out of work in America, there's a massive overlap with those
[27:09.740 --> 27:14.060]  who are basically hooked on opioids.
[27:14.060 --> 27:17.340]  Article reads, the US opioid crisis is hitting the country on many fronts, including the
[27:17.340 --> 27:19.300]  labor market.
[27:19.300 --> 27:23.660]  States that prescribe more opioids for 100 people tend to have fewer people in their
[27:23.660 --> 27:25.380]  labor force.
[27:25.380 --> 27:29.620]  West Virginia, a state with one of the highest opioid prescription rates in the country in
[27:29.620 --> 27:35.980]  2015, had the lowest labor force participation rate in 2018 at 54%.
[27:35.980 --> 27:42.260]  Alabama, the state with the highest prescription rate, has a participation rate of 57%, which
[27:42.260 --> 27:45.900]  is also one of the lowest.
[27:45.900 --> 27:50.700]  They found a direct correlation between people hooked on opioids and not being in the labor
[27:50.700 --> 27:51.700]  force.
[27:51.700 --> 27:53.100]  Will anyone address this issue?
[27:53.100 --> 27:59.300]  I know that Andrew Yang, who is running as a Democrat, basically on small donations,
[27:59.300 --> 28:03.540]  he's got no real chance of getting on the big debate stage because he's not part of
[28:03.540 --> 28:08.380]  the Democratic Party establishment, is bringing up this issue time and time again and rightly
[28:08.380 --> 28:09.380]  so.
[28:09.380 --> 28:14.500]  Trump covered it at the start of his presidential term in office, but he hasn't really spoken
[28:14.500 --> 28:17.060]  about it much since.
[28:17.060 --> 28:23.060]  Article continues, in turn states like Minnesota and Colorado have two of the highest labor
[28:23.060 --> 28:28.860]  force participation rates, along with low opioid prescription levels.
