[00:00.000 --> 00:11.800]  Waging war on corruption.
[13:19.440 --> 13:21.600]  That's why it's been such a formidable weapon against the globalists.
[13:21.600 --> 13:30.080]  I'm just giving you a status report here, but the establishment, the social engineers
[13:30.080 --> 13:36.000]  know when they hear this show and know when they study it, they know within the compendium,
[13:36.000 --> 13:46.480]  within the body of work, within the volumes, the voluminous volumes of datum is the real
[13:46.480 --> 13:50.800]  essence of what's being constructed and what's being built by them.
[13:50.800 --> 13:54.720]  And the show itself is a think tank because they're constantly in think tank meetings
[13:54.720 --> 13:57.400]  trying to gauge and control and dominate.
[13:57.400 --> 14:02.960]  They're not in full control, so it's hard for even their greater minds to study the
[14:02.960 --> 14:12.720]  larger cut and weave of this garment because it is a patchwork but built from a position
[14:12.720 --> 14:19.960]  of dominance and corruption and selfishness built by many generations of evil.
[14:19.960 --> 14:25.560]  With good over many generations struggling against it, the world is not just full of
[14:25.560 --> 14:26.560]  evil, it's full of good.
[14:26.560 --> 14:32.440]  If there's more good than evil, the frustration is that good, people are like children, not
[14:32.440 --> 14:39.800]  even so much stupid as they are innocent and childlike, laughing and giggling and running
[14:39.800 --> 14:42.880]  through the world.
[14:42.880 --> 14:46.700]  And that's where my real frustration comes because I don't just know the enemy's program
[14:46.700 --> 14:49.880]  from studying them, they brag about what they're doing.
[14:49.880 --> 14:54.480]  Their great downfall is that they operate as if everyone is completely lobotomized when
[14:54.480 --> 14:58.760]  in truth the public is in a near transmedical state.
[14:58.760 --> 15:04.400]  You can look this up, brainwaves have lowered, IQs have lowered in the Western world, sperm
[15:04.400 --> 15:06.760]  counts have lowered, genetics have plunged.
[15:06.760 --> 15:12.080]  I've got a stack of news today about diabetes, cancer, everything else just shooting straight
[15:12.080 --> 15:13.080]  up.
[15:13.080 --> 15:17.480]  But there's no discussion of why is it shooting up, that's the great taboo.
[15:17.480 --> 15:24.360]  The discussion is how to give centralized groups involved in the eugenics depopulation
[15:24.360 --> 15:32.320]  program to give them all of the funding.
[15:32.320 --> 15:38.060]  To never speak why is it increasing, be like if doctors had hundreds of people coming into
[15:38.060 --> 15:41.080]  a city every day with gunshot wounds, never asking who shot them.
[15:41.080 --> 15:45.640]  So I'm gonna try to cover news, we come back into some clips.
[15:45.640 --> 15:52.200]  It's just that that's why we're still here, because there is good and evil in the world.
[15:52.200 --> 15:57.280]  Evil is not all powerful, they're just men and women as well, and there are even more
[15:57.280 --> 16:00.680]  important great truths.
[16:00.680 --> 16:05.560]  You prepare by purchasing gold, food, and firearms, but if you don't have a home security
[16:05.560 --> 16:10.160]  system, then you're missing a critical weapon in your arsenal for home protection.
[16:10.160 --> 16:13.880]  When you're sleeping or away from home, who's watching out for intruders?
[16:13.880 --> 16:20.000]  Check out SimpliSafe, it's a new do-it-yourself home security system that is completely wireless.
[16:20.000 --> 16:23.280]  Go to getsimplisafe.com.
[16:23.280 --> 16:25.440]  SimpliSafe is independent and off the grid.
[16:25.440 --> 16:29.860]  It runs on battery power, so even if the grid goes down, you're protected.
[16:29.860 --> 16:34.640]  It's completely customizable, so you can use it in your home, business, boat, trailer,
[16:34.640 --> 16:36.600]  storage unit, or shed.
[16:36.600 --> 16:39.360]  Getsimplisafe.com.
[16:39.360 --> 16:43.800]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes, so there's
[16:43.800 --> 16:46.200]  no need to let a stranger into your home.
[16:46.200 --> 16:49.920]  If you move or need to relocate, you can take the system with you wherever you go.
[16:49.920 --> 16:54.240]  You aren't always at home, but SimpliSafe will stand guard, protecting your property
[16:54.240 --> 16:57.120]  24 hours a day, seven days a week.
[16:57.120 --> 17:01.000]  Again, that's getsimplisafe.com.
[17:01.000 --> 17:05.300]  There's been a disaster, and most of you don't even realize the terrible danger we're in.
[17:05.300 --> 17:09.020]  Alex Jones has warned you for years to get a good food storage.
[17:09.020 --> 17:14.100]  We thought the danger was drought, or food delivered to our gas tanks, or our food sold
[17:14.100 --> 17:19.200]  to other countries, or food so expensive that only those on food stamps and welfare could
[17:19.200 --> 17:20.200]  afford it.
[17:20.200 --> 17:25.180]  But we have just experienced the most effective way to lose your freedom, liberty, and security
[17:25.180 --> 17:27.000]  without even a fight.
[17:27.000 --> 17:28.200]  Government regulation.
[17:28.200 --> 17:34.440]  After a 160-year tradition of self-reliance, the do-it-yourself uncharitable Mormon food
[17:34.440 --> 17:39.840]  storage canneries in half the country are forced to shut down due to excessive government
[17:39.840 --> 17:41.160]  regulations.
[17:41.160 --> 17:43.680]  Grow your own food, more regulations.
[17:43.680 --> 17:47.320]  If you've ever been warned to get food while you can, this is it.
[17:47.320 --> 17:53.360]  Call 800-409-5633, or on the web, efoodsdirect.com slash Alex.
[17:53.360 --> 17:59.800]  That's 800-409-5633, or on the web, efoodsdirect.com slash Alex.
[17:59.800 --> 18:05.000]  Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned
[18:05.000 --> 18:10.120]  real soap that is triple concentrated and made from the highest quality vegetable and
[18:10.120 --> 18:11.640]  coconut oils.
[18:11.640 --> 18:21.160]  See them on the web, www.5starsoap.com, or call 1-800-340-7091 for a free catalog and
[18:21.160 --> 18:23.040]  buy American-made products.
[18:23.040 --> 18:28.160]  Order the sampler, a one to two-month supply, or get a one to two-year supply of soaps for
[18:28.160 --> 18:29.760]  all your cleaning needs.
[18:29.760 --> 18:33.300]  You're getting soap products twice as good as what you're using now.
[18:33.300 --> 18:38.000]  This is an amazing deal, and you will love the way real soap makes your skin feel.
[18:38.000 --> 18:45.120]  Call 1-800-340-7091, or visit www.5starsoap.com.
[18:45.120 --> 18:49.960]  Alex and his staff have used these earth-friendly pure soaps for years.
[18:49.960 --> 19:00.360]  See them on the web, www.5starsoap.com, or call 1-800-340-7091 for a catalog.
[19:00.360 --> 19:05.960]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird
[19:05.960 --> 19:10.560]  flu recently discovered in China, there has never been a more crucial time to support
[19:10.560 --> 19:11.960]  your immune system.
[19:11.960 --> 19:17.080]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to
[19:17.080 --> 19:22.560]  be several hundred times more effective than colloidal or ionic silver and is powerful
[19:22.560 --> 19:25.960]  enough to help protect you and your family.
[19:25.960 --> 19:30.440]  Supernatural Silver is scientifically supported, highly effective, and perfect for everyday
[19:30.440 --> 19:32.840]  use inside the body as well as out.
[19:32.840 --> 19:37.280]  The Science Digest Journal says silver is our mightiest germ fighter.
[19:37.280 --> 19:42.680]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[19:42.680 --> 19:47.200]  Supernatural Silver is the number one choice of thousands for improved health and immune
[19:47.200 --> 19:48.200]  system support.
[19:48.200 --> 19:53.560]  To find out how Supernatural Silver can change your life, go to www.supernaturalsilver.com
[19:53.560 --> 20:01.440]  and use the promo code SPRING2013 for 20% off and like us on Facebook.
[20:01.440 --> 20:04.920]  Coast to Coast, direct from Austin.
[20:04.920 --> 20:15.880]  You're listening to the Alex Jones Broadcasting Network.
[20:15.880 --> 20:37.360]  I'm Alex Jones, and I'll see you in the next video.
[20:37.360 --> 20:54.600]  Thanks for watching, and I'll see you in the next video.
[21:07.360 --> 21:13.960]  The answer to 1984 is 1776.
[21:13.960 --> 21:19.360]  You're listening to the Alex Jones Show.
[21:19.360 --> 21:21.640]  Ladies and gentlemen, we are live.
[21:21.640 --> 21:23.520]  Thank you so much for joining us.
[21:23.520 --> 21:24.520]  We are alive.
[21:24.520 --> 21:25.520]  We are conscious.
[21:25.520 --> 21:30.160]  We're not sleeping as the globalists just go about their business taking over the planet
[21:30.160 --> 21:33.860]  and trying to dumb everyone down so it's more easily managed.
[21:33.860 --> 21:37.440]  We believe that is a crime against humanity.
[21:37.440 --> 21:44.240]  Both of us that love freedom and human dignity and who are not so weirdly competitive that
[21:44.240 --> 21:46.980]  we seek to destroy our fellow humans.
[21:46.980 --> 21:55.520]  We wish to see humans empowered to the greatest level possible in our destiny, not destroyed.
[21:55.520 --> 22:00.100]  And just to finish up, the reason I was getting into the awakening that's happening is that
[22:00.100 --> 22:05.960]  there is hope and if you will face the tyranny, then we have a chance to recognize what is
[22:05.960 --> 22:10.160]  bad and we have a chance to reverse it.
[22:10.160 --> 22:12.060]  But here's what blows me away.
[22:12.060 --> 22:21.680]  If you think the IRS harassing and persecuting pro-life groups, Tea Party groups, libertarian
[22:21.680 --> 22:26.420]  groups, Christian groups, we're gonna cover this in detail in the next segment with one
[22:26.420 --> 22:29.280]  of our reporters in studio.
[22:29.280 --> 22:37.560]  If you think that's bad, that's nothing compared to what is really going on and what is in
[22:37.560 --> 22:42.320]  the back of the newspaper because so much of this stuff is actually available and even
[22:42.320 --> 22:51.100]  admitted in mainstream media, but they put it in the paper or online just buried in headlines.
[22:51.100 --> 22:55.980]  Three years ago when the attack on Libya started covertly, it was in foreign press that our
[22:55.980 --> 23:00.780]  government in NATO was funding Al-Qaeda, bringing him into Benghazi and that that's why Hosni
[23:00.780 --> 23:02.780]  Mubarak was taken out of office.
[23:02.780 --> 23:06.860]  Because even though he'd been a Western dictator, he said, I'm not gonna put Al-Qaeda in charge
[23:06.860 --> 23:09.980]  of Libya, my neighbor, I'm not gonna help you.
[23:09.980 --> 23:13.820]  Well bye-bye Hosni Mubarak.
[23:13.820 --> 23:18.160]  Well look at the, again, London Telegraph today, it's also in Reuters.
[23:18.160 --> 23:23.540]  Al-Qaeda's Syrian wing takes over the oil fields once belonging to Assad and the article
[23:23.540 --> 23:32.220]  goes on to say Al-Qaeda is now the main force in Syria run by NATO and that Israel is now
[23:32.220 --> 23:36.900]  saying that if there's any more resistance against them, they'll basically intensify
[23:36.900 --> 23:39.580]  bombing.
[23:39.580 --> 23:43.880]  Syria has done nothing, that is Twilight Zone.
[23:43.880 --> 23:48.260]  But notice it's now mainstream news, they even had one of the deputy Mossad chiefs go
[23:48.260 --> 23:55.720]  public a few days ago and say it's a horrible idea to put Al-Qaeda in charge of Syria.
[23:55.720 --> 23:58.640]  Now remember, when you go to the airport, folks, they're gonna wanna go in your wife's
[23:58.640 --> 24:02.860]  underwear to find bin Laden while they run it.
[24:02.860 --> 24:07.200]  And again, this isn't our whole government, when I say 9-11's an inside job or Benghazi's
[24:07.200 --> 24:12.180]  an inside job, it means criminal elements are working with the most hardcore radical
[24:12.180 --> 24:14.400]  Muslim extremists out there.
[24:14.400 --> 24:17.640]  And that's why they're so scared of this show, they go, you say that George Bush had the
[24:17.640 --> 24:22.520]  plunger like Wile E. Coyote, no, that's not what I'm saying, George Bush couldn't even
[24:22.520 --> 24:24.920]  read off a teleprompter.
[24:24.920 --> 24:29.360]  But criminal globalist multinational elements that have taken over our government, that's
[24:29.360 --> 24:33.100]  what's happened, we're under a globalist soft coup.
[24:33.100 --> 24:39.940]  And now it's gotten to the point where they told Congress three times last year that NATO
[24:39.940 --> 24:43.100]  is what gives them orders and the President orders, not Congress.
[24:43.100 --> 24:47.820]  And if you know the Constitution, Bill of Rights history, folks, that's treason, that's
[24:47.820 --> 24:49.460]  real treason.
[24:49.460 --> 24:54.000]  And so it's so frustrating to hear people going, they were auditing tea parties?
[24:54.000 --> 24:58.440]  That's horrible, impeach them, I guess Alex Jones has been right.
[24:58.440 --> 25:00.920]  Folks, that is nothing, we're gonna cover this.
[25:00.920 --> 25:07.080]  Look, Obama scoffs at Libya outcry, but vows to act on IRS audit, New York Times, yeah.
[25:07.080 --> 25:12.360]  He wants you to go after that, as bad as it is, because folks, Libya, there were hundreds
[25:12.360 --> 25:16.580]  of US military in those NATO situation rooms and on those aircraft carriers that saw the
[25:16.580 --> 25:21.880]  two drones and the other aircraft and saw the whole six to eight hour event go on there
[25:21.880 --> 25:23.640]  and saw the stand down.
[25:23.640 --> 25:26.580]  Now they're saying, what does it matter where Obama was that night?
[25:26.580 --> 25:27.580]  What does it matter?
[25:27.580 --> 25:32.080]  I've got White House spokesman on ABC, we're gonna play the clip coming up going, show
[25:32.080 --> 25:35.880]  one of the law was broken with IRS, that doesn't matter.
[25:35.880 --> 25:39.840]  Hillary Clinton, but why does it matter who killed the ambassador?
[25:39.840 --> 25:41.200]  Why does it matter?
[25:41.200 --> 25:43.120]  What difference does it make?
[25:43.120 --> 25:46.400]  What difference at this point does it make?
[25:46.400 --> 25:51.520]  Absolutely, what difference at this point does it make?
[25:51.520 --> 25:55.300]  I mean, next time a cop pulls me over for going 80 miles an hour, I'll go, what difference
[25:55.300 --> 25:56.680]  does it make that I'm speeding?
[25:56.680 --> 26:02.120]  Get about your business, or let's say you kill your wife, folks.
[26:02.120 --> 26:05.480]  You beat her over the head with a baseball bat, cops show up, there's blood everywhere,
[26:05.480 --> 26:06.480]  and they go, who killed her?
[26:06.480 --> 26:09.320]  What difference does it make?
[26:09.320 --> 26:12.840]  Whoever of a cop shoots some innocent person, how about the cop just says, hey, whatever
[26:12.840 --> 26:13.840]  does it make?
[26:13.840 --> 26:20.400]  I mean, this is ridiculous, and this is their new comeback.
[26:20.400 --> 26:22.460]  What difference does it make if the law was broken?
[26:22.460 --> 26:26.520]  What difference does it make if we got caught shipping guns into Mexico in Fast and Furious?
[26:26.520 --> 26:27.540]  What difference does it make?
[26:27.540 --> 26:30.920]  What difference does it make?
[26:30.920 --> 26:35.000]  And the only thing holding back justice is the Republicans know that if they bring real
[26:35.000 --> 26:38.860]  justice, the Democrats will fire back with all the skeletons they know about.
[26:38.860 --> 26:42.920]  And there'll be a full-on war within the two wings of the corrupt system.
[26:42.920 --> 26:49.840]  So they have a lot of reasons in the Republican leadership to not let this go where it should.
[26:49.840 --> 26:53.560]  But let me tell you something, this could get pushed out all the way, and it won't matter
[26:53.560 --> 26:55.320]  what the Republican leadership tries.
[26:55.320 --> 26:58.560]  Because of the good Tea Party people that are taking over the Republican Party that
[26:58.560 --> 27:02.460]  both the Democratic Party and Republican leadership has been demonizing and attacking, there's
[27:02.460 --> 27:04.200]  some really good people in there, folks.
[27:04.200 --> 27:05.200]  I know a lot of them.
[27:05.200 --> 27:09.920]  In fact, a lot of them behind the scenes, I talk to, who are scared to come on this
[27:09.920 --> 27:10.920]  show.
[27:10.920 --> 27:12.400]  And I don't even really need them on my show, so why do I care?
[27:12.400 --> 27:13.520]  They listen to my show.
[27:13.520 --> 27:18.460]  They get my talking points from research, not made-up garbage.
[27:18.460 --> 27:21.520]  And so I don't even try to get a lot of these congressmen and senators on, but I know they're
[27:21.520 --> 27:22.520]  listening.
[27:22.520 --> 27:26.200]  I know they're listening right now, because I talk to them.
[27:26.200 --> 27:28.580]  And they care about their grandkids and their children.
[27:28.580 --> 27:32.480]  And they know I'm telling the truth, and they're smart enough to know history.
[27:32.480 --> 27:35.880]  This thing will destroy all the prosperity and will destroy this country.
