[00:00.000 --> 00:02.000]  Oh
[04:28.000 --> 04:33.000]  White, black, Hispanic, Latino, Mexican, whatever. United, we stay.
[04:33.000 --> 04:37.000]  Are you willing to lay down your life to protect the Second Amendment and your right to carry?
[04:37.000 --> 04:43.000]  Definitely. Why wouldn't I be? I mean, that'd be the perfect thing to give my life up for. Something my family would be honored about.
[04:43.000 --> 04:44.000]  I'd love to, Doc. I'm for you.
[04:44.000 --> 04:49.000]  Would you be willing to lay down your life to protect the Second Amendment and your right to carry?
[04:49.000 --> 04:50.000]  Absolutely.
[04:50.000 --> 04:52.000]  That's what I'm of you.
[05:21.000 --> 05:25.000]  This groundbreaking, gravity-fed water filtration system is like no other.
[05:25.000 --> 05:50.000]  Make sure your water is up to your standards today with the Alexa Pure Pro.
[05:55.000 --> 05:59.000]  All part of the fight. Info Wars. Brought to you by you.
[06:25.000 --> 06:40.000]  The Weimar government passed a government registration law in the name of public safety.
[06:40.000 --> 06:49.000]  After Adolf Hitler seized power, the registration list was used to disarm the Jews and political opponents of the Nazi Party.
[06:49.000 --> 06:58.000]  The Communist Party decreed that the people surrender all their weapons and later surrender their knives.
[06:58.000 --> 07:03.000]  20 million people were killed.
[07:03.000 --> 07:13.000]  Mao Tse Tung said that the government must command all the guns so that no guns can ever be used to command the party.
[07:13.000 --> 07:26.000]  65 million were killed.
[07:26.000 --> 07:34.000]  After America gained independence, the people were bestowed with the Second Amendment to defend their freedoms from tyranny.
[07:34.000 --> 07:46.000]  The founders would have likely found the Federal Reserve Bank alone to be despotic, let alone the deep-rooted corruption and tyranny we are steeped in today.
[07:46.000 --> 07:50.000]  Today, there is open talk of gun confiscation.
[07:50.000 --> 07:52.000]  Hell yes, we're going to take your AR-15.
[07:52.000 --> 08:00.000]  When the governor of Virginia threatened to strip his people of their constitutional right, over 22,000 people showed up to protest.
[08:00.000 --> 08:04.000]  16,000 were armed to the teeth.
[08:04.000 --> 08:08.000]  The spirit of the Second Amendment has nothing to do with sport.
[08:08.000 --> 08:15.000]  It is an equalizing force for the individual soul which thrives only in a free society.
[08:15.000 --> 08:20.000]  And the only people who want to take it away are tyrants and fools.
[08:20.000 --> 08:27.000]  Virginia was a victory, but the swamp runs deep and the danger is real.
[08:27.000 --> 08:35.000]  A pivotal year like 2020 comes only once in a lifetime, and we all need to give it everything we have.
[08:35.000 --> 08:42.000]  The leading Democratic candidate has been staffing violent radicals, calling for a communist revolution in America.
[08:42.000 --> 08:45.000]  Whether or not their candidate wins.
[08:45.000 --> 08:47.000]  Trump gets reelected what?
[08:47.000 --> 08:49.000]  The city's burned.
[08:49.000 --> 08:51.000]  The time to act is now.
[08:51.000 --> 08:54.000]  Help yourself and help your family.
[08:54.000 --> 08:58.000]  Support the InfoWar at infowarstore.com.
[08:58.000 --> 09:04.000]  And we will continue to fight for individual freedom and the spirit of 1776.
[09:04.000 --> 09:12.000]  1776 will commence again if you don't back down.
[09:12.000 --> 09:16.000]  You will not take away our firearms and you will not silence us.
[09:16.000 --> 09:20.000]  Resistance to tyrants is obedience to God.
[09:20.000 --> 09:26.000]  Infowars.com is tomorrow's news today.
[09:26.000 --> 09:32.000]  This program contains language and sequences some viewers may find disturbing.
[09:32.000 --> 09:36.000]  The nation and all of our freedoms hang by a thread.
[09:36.000 --> 09:40.000]  And the military apparatus of this country is about to be handed over to SCUM.
[09:40.000 --> 09:50.000]  And the Russian SCUM.
[09:50.000 --> 09:52.000]  Listen, please listen.
[09:52.000 --> 10:00.000]  If you don't, if you won't, if you fail to understand, then the same incredible terror that's menacing me will strike at you.
[10:00.000 --> 10:04.000]  The function of all life is survival.
[10:04.000 --> 10:10.000]  Sleep, sleep, sleep.
[10:10.000 --> 10:12.000]  Oh my God, oh my God.
[10:12.000 --> 10:14.000]  Lock the door.
[10:14.000 --> 10:16.000]  We're coming.
[10:16.000 --> 10:18.000]  Help, help. They're coming.
[10:18.000 --> 10:20.000]  They're coming. Listen to me.
[10:20.000 --> 10:22.000]  Listen.
[10:22.000 --> 10:24.000]  Please, you're next.
[10:24.000 --> 10:26.000]  They're in danger. Please listen to me.
[10:26.000 --> 10:28.000]  Something terrible.
[10:28.000 --> 10:30.000]  You're next.
[10:30.000 --> 10:34.000]  You're next. We're coming. We're coming.
[10:34.000 --> 10:36.000]  Sleep. The seed is planted.
[10:36.000 --> 10:38.000]  Sleep.
[10:38.000 --> 10:40.000]  Terror grows.
[10:40.000 --> 10:42.000]  Elizabeth, wake up.
[10:42.000 --> 10:44.000]  Get you when you sleep.
[10:44.000 --> 10:46.000]  Sit up.
[10:46.000 --> 10:48.000]  Invasion of the body snatchers.
[10:48.000 --> 10:50.000]  All of a sudden, they're growing like parasites.
[10:50.000 --> 10:52.000]  Is it contagious?
[10:52.000 --> 10:54.000]  It's a real homies.
[10:54.000 --> 10:56.000]  It looked right after you.
[10:56.000 --> 10:58.000]  You need to get out.
[10:58.000 --> 11:00.000]  I'm not human.
[11:00.000 --> 11:04.000]  Now, the classic fear begins to grow.
[11:04.000 --> 11:06.000]  We're being cornered.
[11:06.000 --> 11:10.000]  In a modern masterpiece of science fiction.
[11:10.000 --> 11:12.000]  The barricading streak.
[11:12.000 --> 11:16.000]  Invasion of the body snatchers.
[11:16.000 --> 11:20.000]  No land also wants me dead.
[11:20.000 --> 11:30.000]  No land also wants me dead.
[11:30.000 --> 11:36.000]  No land also wants me dead.
[11:36.000 --> 11:40.000]  If you are receiving this transmission, you are the resistance.
[11:40.000 --> 11:50.000]  It's Alex Jones.
[11:58.000 --> 12:04.000]  Therapists in the U.S. say they are seeing increasing numbers of patients with what they call
[12:04.000 --> 12:06.000]  Donald Trump anxiety disorder.
[12:06.000 --> 12:08.000]  Trump anxiety disorder.
[12:08.000 --> 12:12.000]  Trump derangement syndrome.
[12:12.000 --> 12:16.000]  Trump derangement syndrome is clinically real.
[12:16.000 --> 12:18.000]  It doesn't merely affect individuals,
[12:18.000 --> 12:22.000]  but entire political parties rendering them unrecognizable.
[12:22.000 --> 12:24.000]  One minute, they're perfectly normal.
[12:24.000 --> 12:30.000]  The next, rapid.
[12:30.000 --> 12:34.000]  The veneer of civilization is evaporating quickly.
[12:34.000 --> 12:36.000]  Families and culture are collapsing.
[12:36.000 --> 12:44.000]  And godless leftists are behaving just like zombies of modern law.
[12:44.000 --> 12:46.000]  You can't trust your mother.
[12:46.000 --> 12:48.000]  Get the hell out of here.
[12:48.000 --> 12:50.000]  Get the fuck out of here.
[12:50.000 --> 12:52.000]  Your best friend.
[12:52.000 --> 12:54.000]  The neighbor next door.
[12:54.000 --> 13:00.000]  Psychologist Dr. Stuart Bassman says for his clients, it started the morning after the election.
[13:00.000 --> 13:04.000]  Doctors are seeing patients suffering from Trump anxiety disorder.
[13:04.000 --> 13:10.000]  A number of people are manifesting what I would call post-Trumpmatic stress disorder.
[13:10.000 --> 13:20.000]  An overpowering fear that President Trump represents the end of the world.
[13:20.000 --> 13:24.000]  Pray, it doesn't happen to you.
[13:24.000 --> 13:26.000]  Let's not get dead.
[13:26.000 --> 13:34.000]  Rev it.
[13:34.000 --> 14:00.000]  White males.
[14:00.000 --> 14:12.000]  You think you're going to assassinate Trump.
[14:12.000 --> 14:15.840]  Now, it's time for me to be willing to have a fight, one at one, at this point.
[14:15.840 --> 14:21.340]  And only the dumbest morons buying to your SJW Globalist George Soros' droppings.
[14:21.340 --> 14:21.840]  Stabilize it.
[14:21.840 --> 14:26.000]  So George Soros, Hillary Clinton, and the new world order of Michael Moore,
[14:26.000 --> 14:28.240]  go back to Hades, where you came from.
[14:29.240 --> 14:32.800]  We're awake, and you're not putting us back in the coma.
[14:32.800 --> 14:34.240]  You got that, Jack?
[14:34.240 --> 14:36.000]  You're done! It's over!
[14:36.000 --> 14:36.840]  Worldwide!
[14:36.840 --> 14:41.840]  Get him back! Get him back!
[14:44.840 --> 14:49.840]  If you are receiving this transmission, you are the Resistance.
[14:59.840 --> 15:01.840]  I don't want to interrupt, but I'm leaving.
[15:01.840 --> 15:09.840]  You've been doing great, Owen. You're going to finish up with these calls within Gregory's and, of course, Harrison Smith are going to take another hour of calls.
[15:09.840 --> 15:14.840]  The crews volunteered to do it, so we're here live covering this, hoping everything de-escalates.
[15:14.840 --> 15:16.840]  So the live coverage continues. Everybody spread those links.
[15:16.840 --> 15:20.840]  The Globals are hacking us, trying to shut this down. Don't let them win. No BS.
[15:20.840 --> 15:22.840]  I'm going to tell you, everything's straight shooting here.
[15:22.840 --> 15:24.840]  See, I don't have some Mackie Valley manipulative view.
[15:24.840 --> 15:28.840]  With me, it's all straightforward attack. That's the real power!
[15:28.840 --> 15:32.840]  Don't act so surprised, globalist.
[15:32.840 --> 15:36.840]  You didn't think you could silence the American people, did you?
[15:36.840 --> 15:40.840]  Join Band-Aught Video, and I will complete your training.
[15:40.840 --> 15:44.840]  Together, we can overthrow the Emperor and restore the Republic.
[15:44.840 --> 16:05.840]  I'm here with Scott Yousseam, founder of OMG Tax. Tell us how your company helps our listeners out there who have a problem with the IRS.
[16:05.840 --> 16:12.840]  My team of lawyers enrolled agents and licensed tax experts remove wage garishments, sometimes in the same day.
[16:12.840 --> 16:17.840]  We even have reduced the total debt some of our clients were required to pay through what is known as an offer in compromise.
[16:17.840 --> 16:20.840]  Can you give us an example of somebody you help?
[16:20.840 --> 16:27.840]  Oh, can I ever? We have taken a $500,000 liability with the IRS. Guess what?
[16:27.840 --> 16:32.840]  The client didn't pay a dime through the representation known as non-collectible status with the government.
[16:32.840 --> 16:42.840]  If you owe the IRS more than $10,000 and you want to see if it's possible to pay a lot less, call OMG Tax right now for a free tax-saving consultation.
[16:42.840 --> 16:56.840]  Call 800-486-8112-800-486-8112-800-486-8112. That's 800-486-8112.
[16:56.840 --> 17:02.840]  If you are trying to quit drinking or doing too many drugs, listen to me. You don't know me and will never meet.
[17:02.840 --> 17:12.840]  I had a problem like you once. I drank and used to party a little too much till it got out of control and almost ruined my life.
[17:12.840 --> 17:17.840]  I realized I needed help to fix my problem before it totally destroyed me.
[17:17.840 --> 17:25.840]  If you've tried to fix your drinking and drug problem and you know you can't do it alone, you need to call the National Treatment Advisors.
[17:25.840 --> 17:32.840]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[17:32.840 --> 17:37.840]  And if you have PPO, Private Health Insurance, the entire program may be covered.
[17:37.840 --> 17:58.840]  Fix your problem right now before it gets any worse. Get clean. Call now and learn more.
[17:58.840 --> 18:07.840]  I spend a lot of time reminding the M4s, the family of listeners and viewers that without you we won't be on the air.
[18:07.840 --> 18:17.840]  And I spend a lot of time thanking you. But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern Paul reveres.
[18:17.840 --> 18:24.840]  But something I should spend more time on is just reminding you that these products are really amazing.
[18:24.840 --> 18:29.840]  You've got that pledge from me, but you've seen the third-party test out there, the air filtration, the water filtration.
[18:29.840 --> 18:33.840]  The supplements are all the very best you're going to find out there.
[18:33.840 --> 18:39.840]  And you can't fund an operation anywhere else that's fighting the globalist this hard.
[18:39.840 --> 18:43.840]  So it's not a burden to support InfoWars.
[18:43.840 --> 18:54.840]  It really is something that is good for everybody that stands for justice and freedom and makes your life and your family's life and your children's life so much better.
[18:54.840 --> 18:58.840]  So visit infowarsstore.com today.
[18:58.840 --> 19:06.840]  We have been fighting so hard in the last two weeks that I've not even had time to cut new audio ads for this huge syndicated radio audience.
[19:06.840 --> 19:14.840]  And I apologize to the radio listeners, I apologize to the fact I'm cutting this on a phone as I drive down the road, but this is a war and we're getting it done anyway we can.
[19:14.840 --> 19:21.840]  But we had huge sales in the new year, around Christmas end of the new year.
[19:21.840 --> 19:28.840]  But we sold the products at such low prices that it didn't bring in a lot of actual capital to fund our operations.
[19:28.840 --> 19:38.840]  We're spending massive amounts of money to put more than 15 people in Virginia, more than 10 people in B.C. all next week for the trial of Trump.
[19:38.840 --> 19:43.840]  It's so critical we're there to confront the globalist and put out the counter narrative of the truth to what they're doing.
[19:43.840 --> 19:45.840]  This is a real fight.
[19:45.840 --> 19:50.840]  So please step to the plate and take care of yourself and your family and get great products while you do it.
[19:50.840 --> 20:00.840]  Get them forward store.com. These are products you need, like the ultimate fish oil, and if funds the operation, please take action. Get them forward store.com.
[20:20.840 --> 20:47.840]  All right, ladies and gentlemen, I went ahead and aired some special reports and some old pieces we put together,
[20:47.840 --> 20:58.840]  likening the left to a court of zombies, because I thought it would really set the tone for the rot that we have spreading across the planet.
[20:58.840 --> 21:16.840]  The rot of aimlessness, the rot of people living hypnotized, watching entertainment all day, the rot of IQs dropping and brainwaves dropping and every indicator being that humanity is in the process of dying right now.
[21:16.840 --> 21:28.840]  Now, humanity is in the process of waking up to the fact that we're being sucked into a spiritual, physical, cultural, environmental woodchipper.
[21:28.840 --> 21:41.840]  But reading all the news and all the information, this is probably one of the first times that I just physically could not go on air at the start of the broadcast.
[21:41.840 --> 21:50.840]  And, you know, there really just comes a time when the world's just going to have to be judged.
[21:50.840 --> 21:57.840]  And if I tell you what I really think about things, it's because I respect you.
[21:57.840 --> 22:25.840]  We're not going to get away with aborting billions of babies and not valuing human life and watching China, the model of where people don't value human life, and watch that become the global standard for multinational corporations who are beyond solace and not have a total collapse of civilization.
[22:25.840 --> 22:31.840]  And so that's where all this is going.
[22:31.840 --> 22:46.840]  Just a few weeks ago, we had an image up on screen, maybe later we'll put it up, but it was of an astronaut standing in the middle of a U.S. forest.
[22:46.840 --> 23:01.840]  People said, oh, what a pretty photo, but they missed the point. It was a world made uninhabitable for humans.
[23:01.840 --> 23:29.840]  A 12-monkeys scenario, because if you look at that image we put together, it shows particular in the air, alien particular that was created artificially that made the world uninhabitable for humans.
[23:29.840 --> 23:48.840]  And now they're driving around in China with giant fumigators pumping out chemicals, hoping to kill the virus, and the government is using it for a police state authoritarian enforcement drill.
[23:48.840 --> 24:14.840]  And, you know, really the big takeaway from this is info wars, analyzing the globalist program, has absolutely with films and articles and guest and PowerPoint presentations, thousands of times detailed exactly what you see beginning to unfold in China with the coronavirus.
[24:14.840 --> 24:25.840]  And the fact that Billa Melinda Gates a few months ago had a big drill for something similar to this that would kill 65 million people starting in China.
[24:25.840 --> 24:38.840]  And people being put in these containment pods and being wheeled away, and that this would be used in Billa Melinda Gates Foundation's own words.
[24:38.840 --> 24:51.840]  Here's the article right here by Kelly McBrain to bring in world government.
[24:51.840 --> 25:20.840]  And, you know, I made a film a long time ago. Time sure flies. I guess 13 years ago called in game blueprint for global enslavement.
[25:20.840 --> 25:30.840]  And what's it say on the back, they want you dead.
[25:30.840 --> 25:35.840]  And I explain everything in the film and it's a three hour film.
[25:35.840 --> 25:50.840]  And we sold a couple hundred thousand copies of it. I put it out for free on Google video. And it got over 50 million views on there before Google got rid of Google video.
[25:50.840 --> 26:10.840]  And it's got about 10 million views on different platforms on YouTube. But the point is, is that if you watch this 13 year old film, it lays out how they would use contrived bio crises, epidemics to bring in world government.
[26:10.840 --> 26:20.840]  Now I didn't need a crystal ball to see that. They said they'd do that.
[26:20.840 --> 26:36.840]  And just remember the same Bill Gates secretly meeting with none other than Jeffrey Epstein running a quote secret alternative world government project.
[26:36.840 --> 26:45.840]  That's the Wall Street Journal. And what's interesting is there's a big article out today. I got a lot of calls on it because it's in the physical paper.
[26:45.840 --> 26:50.840]  I guess on the front page of the business section.
[26:50.840 --> 27:03.840]  And it says Amazon Prime video gives amateur how to conspiracy theories a stage.
[27:03.840 --> 27:14.840]  And it goes on to say, Oh, questionable films. You can't have a book or a film. It's questionable in the marketplace. Just not allowed somebody up there says no.
[27:14.840 --> 27:23.840]  So it says Amazon took down the Alex Jones film in game for violating community standards.
[27:23.840 --> 27:28.840]  Now when you watch in game, it's all their words. They're playing.
[27:28.840 --> 27:40.840]  They're smart cities, their control grids. And then the bio crises will trigger each one bigger than the last as the news titans around your throat for world government.
[27:40.840 --> 27:43.840]  And how they say they'll use it for world government.
[27:43.840 --> 27:46.840]  Pretty important information.
[27:46.840 --> 27:50.840]  And the film starts out exposing Hitler and eugenics.
[27:50.840 --> 27:59.840]  And those organizations sterilizing poor white people and blacks in America. And that's a ski experiment.
[27:59.840 --> 28:06.840]  And so that's what violates community standards. Now you see, because the film's too powerful.
[28:06.840 --> 28:12.840]  Even the Wall Street Journal says yes, it convinced the people that watched it who didn't even know what it was.
[28:12.840 --> 28:15.840]  They thought they were looking for the Avengers in game.
[28:15.840 --> 28:18.840]  But why is this so important?
[28:18.840 --> 28:20.840]  Why was it taken down?
[28:20.840 --> 28:28.840]  Well, it was taken down for a lot of reasons, but you see, this film inspired the Avengers in game.
[28:28.840 --> 28:33.840]  I mean, I talked to the people involved. They contacted me.
[28:33.840 --> 28:38.840]  They said, oh, you're gonna really like this movie. It's about exterminating everybody.
[28:38.840 --> 28:41.840]  That's about killing everyone. Genocide.
[28:41.840 --> 28:48.840]  So see, you make a film, it inspires a movie by the same name, and it inspires Dave Mustaine albums, everything else.
[28:48.840 --> 28:55.840]  And then it gets taken down for a thought crime.
[28:55.840 --> 29:15.840]  We'll be right back.
[29:26.840 --> 29:30.840]  Hunters, anglers, campers and survivalists, get back to nature.
[29:30.840 --> 29:37.840]  Expand your horizons with the highest quality, most versatile, unique slingshots and slingbos on the market at slingbow.com.
[29:37.840 --> 29:41.840]  Slingbow products are compact and models start from just 1798.
[29:41.840 --> 29:44.840]  They're perfect for your bug out bag or storing in your vehicle.
[29:44.840 --> 29:48.840]  Give yourself and your loved ones the excitement and tradition of slingbow.
[29:48.840 --> 29:53.840]  A new frontier in archery and truly modern twist on this primitive survival tool.
[29:53.840 --> 29:57.840]  Feel the thrill only at slingbow.com.
[30:23.840 --> 30:28.840]  Support your energy levels and take advantage of the superior form of B12 today with Ultra 12.
[30:28.840 --> 30:31.840]  It's no secret that our daily lives are becoming more stressful.
[30:31.840 --> 30:35.840]  No matter what side of the political spectrum you're on, we're all feeling a strain from rising pressure.
[30:35.840 --> 30:40.840]  That's why we worked hard to create a new formula to support your fight against stress in your hectic day.
[30:40.840 --> 30:45.840]  Chill Force is our solution for a true, healthy, relaxation support formula.
[30:45.840 --> 30:52.840]  As the long-awaited sister formula to Brain Force Plus, this formula includes powerful ingredients and time-tested practices to help fight your stress levels.
[30:52.840 --> 30:57.840]  It's time to take a breather. Get Chill Force today at infoorstore.com.
[30:57.840 --> 31:01.840]  Knock on wood. I am not tempting fate.
[31:01.840 --> 31:09.840]  But everybody around the office, especially folks that have worked there a long time, have noticed that I really don't ever get sick.
[31:09.840 --> 31:13.840]  Now, again, I might get sick tomorrow because I just made that statement.
[31:13.840 --> 31:18.840]  I'm not tempting fate. I'll say that again because I am superstitious when it comes down to that.
[31:18.840 --> 31:22.840]  I'm very thankful for the good Lord, for the Constitution I've been given.
[31:22.840 --> 31:32.840]  But up until about eight, nine years ago when I started taking X2 and the products in Force Life, I still got sick every couple of years.
[31:32.840 --> 31:36.840]  And, you know, I still get sore throats from allergies and pollen and things like that.
[31:36.840 --> 31:44.840]  But now that I religiously take the products at InfoWars Life, one of the highest quality supplements you're going to find out there,
[31:44.840 --> 31:48.840]  I just never get a fever anymore.
[31:48.840 --> 31:54.840]  It's probably been three, four years since I've had a fever. It's just crazy.
[31:54.840 --> 31:57.840]  So I chalk it up to genetics and the great products.
[31:57.840 --> 32:07.840]  It is I, the leader of Cobra here for a message to President Trump, the American people and Alex Jones of InfoWars.
[32:07.840 --> 32:14.840]  Our operations with our partners, the Communist Chinese, have bought control of your media.
[32:14.840 --> 32:19.840]  But it's true, your people are beginning to awaken.
[32:19.840 --> 32:30.840]  That's why Cobra is launching operations to trigger race war, mass shootings and bombings which will be blamed on those loyal to America.
[32:30.840 --> 32:40.840]  Anyone once we stage these attacks that does not blame it on Trump will also be targeted by Cobra in the future.
[32:40.840 --> 32:49.840]  You see, when you expose our false flags and fake media, I will carry out attacks and then blame you
[32:49.840 --> 32:55.840]  like we've done with Alex Jones blaming him for mass shootings we committed.
[32:55.840 --> 33:05.840]  You're listening to the Alex Jones show.
[33:25.840 --> 33:41.840]  You're listening to the Alex Jones show.
[33:41.840 --> 33:52.840]  So the Corona virus that's been patented by the Bill and Melinda Gates Foundation sub directive and the real life umbrella corporation
[33:52.840 --> 34:01.840]  had a drill three months ago where 60 plus million people died when a Corona like virus hits out and spreads destruction around the world.
[34:01.840 --> 34:15.840]  But don't worry, in the drill, out of it comes the understanding of planetary government and world forced inoculation programs.
[34:15.840 --> 34:41.840]  Now, we've been reporting this since last week and we've been having experts on like Mike Adams and many others and playing you historical clips of the co inventor of the polio vaccine admitting that they knew it had SV 40 in it that causes cancer and leukemia cancer virus.
[34:41.840 --> 34:47.840]  Did you know chickens come from eggs fertilized eggs.
[34:47.840 --> 34:51.840]  Raindrops come from clouds.
[34:51.840 --> 34:57.840]  But did you know that almost all cancer comes from viruses.
[34:57.840 --> 35:06.840]  And that that's well known in the scientific field of urology for about 80 years.
[35:06.840 --> 35:11.840]  They were injecting rats.
[35:11.840 --> 35:14.840]  That's 100 years.
[35:14.840 --> 35:27.840]  Back in the 1920s they had certified studies of injecting viruses from rats that had tumors into other rats and growing the same tumor and they had discovered that it was viral.
[35:27.840 --> 35:35.840]  And I could play you the top scientists admitting that late yesterday.
[35:35.840 --> 35:42.840]  But you see, that's too real, isn't it.
[35:42.840 --> 35:50.840]  When I tell people there's cancer viruses in those vaccines they go cancer doesn't come from viruses.
[35:50.840 --> 35:56.840]  It's like saying dying from bullet wounds doesn't come from bullets.
[35:56.840 --> 36:05.840]  Again, this little spike I have here stuff spike they'd use the old days when a horseman in armor fell down.
[36:05.840 --> 36:10.840]  They had lots of ground troops running around with a with a hammer and a spike.
[36:10.840 --> 36:16.840]  And you hammer this through the armor into their heart.
[36:16.840 --> 36:24.840]  Now see, if I walked up and I stabbed you in the heart with this.
[36:24.840 --> 36:31.840]  They'd say how did the person die well a big spike got driven through their heart.
[36:31.840 --> 36:40.840]  But when you die of cancer or your mommy dies of cancer or your daddy dies of cancer or your son or daughter while we don't know all the kids are getting all this cancer.
[36:40.840 --> 36:48.840]  When that happens, no one's ever going to say oh it was viral cancer.
[36:48.840 --> 36:55.840]  You can get it from radiation to breaking up the DNA chains and causing mutations.
[36:55.840 --> 37:01.840]  And you can get it because you've gotten old and they've divided so many times the telomeres start having malfunctions.
[37:01.840 --> 37:06.840]  But the main cause of cancer it's not disputed in just mainline textbooks.
[37:06.840 --> 37:11.840]  Everyone that goes to school for medicine knows that.
[37:11.840 --> 37:14.840]  But see, you're not supposed to know that.
[37:14.840 --> 37:18.840]  You're just supposed to be told oh our genetics are all breaking down.
[37:18.840 --> 37:25.840]  That's why cancers tens of thousands of times more common in children, thousands and thousands of times more common in adults.
[37:25.840 --> 37:30.840]  It's all a fact because we're being murdered with it.
[37:30.840 --> 37:46.840]  And I played the co developer of the sock vaccine saying they knew they were injecting Americans and Russians as part of a Carnegie endowment for medicine and the Rockefeller Foundation.
[37:46.840 --> 37:59.840]  And the UN and good little Russians and good little Americans rolled their sleeves up and all took the same one and died later down the road.
[37:59.840 --> 38:03.840]  And now China is part of the World Health Organization, this whole thing.
[38:03.840 --> 38:08.840]  You know, we played this few weeks ago, the head of the UN Science Board saying we're giving people death.
[38:08.840 --> 38:13.840]  We're killing people. We're covering it up.
[38:13.840 --> 38:24.840]  But then you try to post that video on YouTube of them at their official conference in Switzerland, Geneva, Switzerland.
[38:24.840 --> 38:30.840]  For the World Health Organization's based in their official chambers.
[38:30.840 --> 38:33.840]  And YouTube says it violates community standards.
[38:33.840 --> 38:46.840]  Just like my film exposing the eugenicist and Hitler, my anti Nazi film, a real anti Nazi film, want to know where they came from, who they work for, what their plan is, what their end game is.
[38:46.840 --> 38:56.840]  Jeff Bezos's Amazon says you don't get to stream that and watch it even though it had been on there six, seven years. This is a 13 year old film.
[38:56.840 --> 39:02.840]  Because it's too powerful. It's too accurate. It's too real.
[39:02.840 --> 39:09.840]  So we can open the phones up. We can take calls. We've got Mike Adams coming on.
[39:09.840 --> 39:17.840]  Owen's court hearing is in about 20 minutes if it's on time in DC. So I would guess the next hour we'll have Norm Pattis, my lawyer that's there with him.
[39:17.840 --> 39:25.840]  And Owen on the broadcast arrested for wearing tape across his mouth inside the Senate foyer.
[39:25.840 --> 39:30.840]  Not in any of the Senate buildings. Everybody else was allowed to hold up signs and do stuff and yell and scream.
[39:30.840 --> 39:38.840]  But he can't because, well, they ordered the police to arrest him and they follow orders.
[39:38.840 --> 39:47.840]  It's like sock says to the scientists and they had the interview to PBS in Boston. That's what we heard yesterday.
[39:47.840 --> 39:51.840]  He asked sock. He said, well, this is terrible.
[39:51.840 --> 40:02.840]  He said, well, we're not going to stop the efficacy of vaccines. This is all just obfuscation. Besides, there's too many Russians.
