[00:00.000 --> 00:29.000]  Music
[02:49.000 --> 02:53.000]  This is a total contradiction of what a free society is all about.
[02:53.000 --> 02:56.000]  The purpose of government is to protect the secrecy and the privacy
[02:56.000 --> 02:59.000]  of all individuals, not the secrecy of government.
[02:59.000 --> 03:01.000]  We don't need a national ID card.
[03:01.000 --> 03:04.000]  The freedom message brings us together. It doesn't divide us.
[03:04.000 --> 03:09.000]  No, no, no. Run, Paul is here.
[03:09.000 --> 03:13.000]  Happy people everywhere. Run, Paul is here.
[03:13.000 --> 03:17.000]  Making people be aware. Run, Paul is here.
[03:17.000 --> 03:18.000]  Bending liberty.
[03:18.000 --> 03:22.000]  I'll make a vote for you my next year. Run, Paul is here.
[03:22.000 --> 03:23.000]  The freedom message.
[03:23.000 --> 03:25.000]  Making people be aware.
[03:25.000 --> 03:30.000]  I'm suggesting very strongly that we should have a foreign policy of non-intervention.
[03:30.000 --> 03:33.000]  I tried very hard to solve this problem before we went to war
[03:33.000 --> 03:37.000]  by saying declare war if you want to go to war, go to war, fight it and win it.
[03:37.000 --> 03:41.000]  But don't get into it for political reasons or to enforce UN resolutions
[03:41.000 --> 03:44.000]  or pretend the Eurekis were a national threat to us.
[03:44.000 --> 03:46.000]  Houston, we have a problem.
[03:46.000 --> 03:48.000]  We need run, Paul, to come, come, solve them.
[03:48.000 --> 03:50.000]  These days are not in the house.
[03:50.000 --> 03:52.000]  These days are not in the house.
[03:52.000 --> 03:54.000]  How am I supposed to do?
[03:54.000 --> 03:56.000]  There's a patient in ICU.
[03:56.000 --> 03:58.000]  Man, the Constitution, where they're ripping through.
[03:58.000 --> 04:00.000]  We need run, Paul, to fix it back.
[04:00.000 --> 04:01.000]  That's true.
[04:01.000 --> 04:03.000]  With the resuscitation of the Constitution.
[04:03.000 --> 04:07.000]  The principle, the moral principle is that of defending liberty
[04:07.000 --> 04:09.000]  and minimizing the scope of government.
[04:09.000 --> 04:13.000]  In the past school, we run, Paul, about run for the presidency.
[04:13.000 --> 04:15.000]  In the future, man, we have a call here.
[04:15.000 --> 04:18.000]  Mr. President, run, Paul, for the country.
[04:18.000 --> 04:20.000]  Make sure you vote for the man in a hobby.
[04:20.000 --> 04:22.000]  We talked about a humble foreign policy.
[04:22.000 --> 04:23.000]  No nation building.
[04:23.000 --> 04:24.000]  Don't police the world.
[04:24.000 --> 04:25.000]  That is a conservative.
[04:25.000 --> 04:26.000]  It's a pro-American.
[04:26.000 --> 04:28.000]  It follows the founding fathers.
[04:28.000 --> 04:30.000]  And besides, it follows the Constitution.
[04:30.000 --> 04:34.000]  I would work very hard to protect the privacy of American citizens,
[04:34.000 --> 04:36.000]  being very, very cautious about warrantless searches.
[04:36.000 --> 04:39.000]  Run, Paul, is here.
[04:39.000 --> 04:41.000]  Making people be aware.
[04:41.000 --> 04:43.000]  Run, Paul, is here.
[04:43.000 --> 04:45.000]  Make sure you vote for the man next year.
[04:45.000 --> 04:48.000]  Run, Paul, is here.
[04:48.000 --> 04:50.000]  Helping people everywhere.
[04:50.000 --> 04:52.000]  Run, Paul, is here.
[04:52.000 --> 04:55.000]  Making people be aware.
[04:55.000 --> 04:57.000]  There's every reason to believe that we have enough freedom
[04:57.000 --> 04:59.000]  in this country to have freedom of expression.
[04:59.000 --> 05:01.000]  And that's what's important.
[05:01.000 --> 05:03.000]  We should never interfere with the Internet.
[05:03.000 --> 05:06.000]  That's why I've never voted to regulate the Internet,
[05:06.000 --> 05:09.000]  even when there's the temptation to put bad things on the Internet.
[05:09.000 --> 05:13.000]  Regulation of bad and good on the Internet should be done differently.
[05:13.000 --> 05:16.000]  Run, Paul, get up and run for us all.
[05:16.000 --> 05:18.000]  Mr. President, Mr. Rampal, Paul.
[05:18.000 --> 05:19.000]  Three shoes per se.
[05:19.000 --> 05:20.000]  We are the Indoe Sea.
[05:20.000 --> 05:23.000]  Man that we force the motion that we secondee.
[05:23.000 --> 05:24.000]  No, run, Paul.
[05:24.000 --> 05:25.000]  I run for presidency.
[05:25.000 --> 05:26.000]  A real patriot.
[05:26.000 --> 05:28.000]  Man who way to help we.
[05:28.000 --> 05:29.000]  Make it by confusion.
[05:29.000 --> 05:30.000]  A wedding, reaping tree.
[05:30.000 --> 05:32.000]  You know we's reputation could help we.
[05:32.000 --> 05:33.000]  And run, Paul.
[05:33.000 --> 05:35.000]  Make the government all you see.
[05:35.000 --> 05:37.000]  Even federal government to fix them quickly.
[05:37.000 --> 05:38.000]  And make them know a lot.
[05:38.000 --> 05:39.000]  Man, they can't rabwee.
[05:39.000 --> 05:42.000]  You know, see all them are rabwee with them damn tax money.
[05:42.000 --> 05:44.000]  And then the kind of thing Rampal now stand for.
[05:44.000 --> 05:47.000]  Man, the federal government, federal reserve is free.
[05:47.000 --> 05:49.000]  The federal reserve, man, he a go fixie.
[05:49.000 --> 05:51.000]  And make them know them can't miss a rabwee money.
[05:51.000 --> 05:52.000]  They can't pay to ocean.
[05:52.000 --> 05:54.000]  They say them put it back in hurry.
[05:54.000 --> 05:56.000]  Make a president run, Paul is ready.
[05:56.000 --> 05:58.000]  God, we chose to run, Paul, help we.
[05:58.000 --> 06:01.000]  We are fitting them and people come help we.
[06:01.000 --> 06:03.000]  Vote for the man as a presidency.
[06:03.000 --> 06:04.000]  Vote for him, Lord.
[06:04.000 --> 06:06.000]  Me say do we quickly.
[06:06.000 --> 06:08.000]  Put the pen, paper, ballot and your county.
[06:08.000 --> 06:10.000]  You get some college kids, volunteer the time you see.
[06:10.000 --> 06:13.000]  And put the paper, vote me say in front of we.
[06:13.000 --> 06:15.000]  In public view, man, we want our county.
[06:15.000 --> 06:17.000]  Not trust them, machine, run, Paul, they're crazy.
[06:17.000 --> 06:21.000]  Then we rip off election for Malawi cause Rampal is here.
[06:21.000 --> 06:22.000]  Depending liberty.
[06:22.000 --> 06:25.000]  Make your vote for him, Lord, next year.
[06:25.000 --> 06:29.000]  I'm Ron Paul and you're listening to We The People Radio Network.
[06:29.000 --> 06:32.000]  Trishewspassie with a brand new release.
[06:32.000 --> 06:34.000]  Trishewspassie.com, check us out.
[06:34.000 --> 07:02.000]  People keep on listening.
[07:02.000 --> 07:05.000]  Now live from Austin, Texas.
[07:05.000 --> 07:10.000]  Here's Alex Jones.
[07:10.000 --> 07:11.000]  Hello, my friends.
[07:11.000 --> 07:15.000]  Thank you for joining us on this June 22nd, 2008 live edition.
[07:15.000 --> 07:18.000]  We'll be here for the next two hours.
[07:18.000 --> 07:23.000]  I do syndicated radio six days a week, Monday through Friday for four hours.
[07:23.000 --> 07:25.000]  From 11 to 3 p.m. Central.
[07:25.000 --> 07:30.000]  Then back with this abbreviated final edition where we cover the week past
[07:30.000 --> 07:34.000]  and what's coming up in the week ahead here on the first day of the week,
[07:34.000 --> 07:37.000]  kicking off every Sunday.
[07:37.000 --> 07:39.000]  A lot of news and information I want to cover.
[07:39.000 --> 07:42.000]  I was out of town four days this week.
[07:42.000 --> 07:44.000]  Had Jason Burmans sitting in for me, doing a great job.
[07:44.000 --> 07:47.000]  Appreciate him doing that.
[07:47.000 --> 07:54.000]  Just a program note, big breaking news either late tonight or tomorrow on my news websites.
[07:54.000 --> 07:56.000]  Big 9-11 truth news.
[07:56.000 --> 08:00.000]  I'm just going to put that little hint out to everybody.
[08:00.000 --> 08:01.000]  It'll be very, very important.
[08:01.000 --> 08:07.000]  You do not want to miss this information, so watch those news websites.
[08:07.000 --> 08:10.000]  Okay, here is the news I have in front of me.
[08:10.000 --> 08:15.000]  Gold may rise to $5,000 an ounce on inflation, says Bloomberg.
[08:15.000 --> 08:20.000]  Bush will seek to in offshore drilling ban.
[08:20.000 --> 08:25.000]  More consumers, workers, shoplift as economy slows.
[08:25.000 --> 08:29.000]  Two billion may suffer from mobile phone brain cancer.
[08:29.000 --> 08:31.000]  Australian government report.
[08:31.000 --> 08:34.000]  Yeah, two billion of you may die soon.
[08:34.000 --> 08:37.000]  Well, Kennedy's got the cell phone cancer.
[08:37.000 --> 08:40.000]  EU maps out future amid setbacks.
[08:40.000 --> 08:45.000]  BBC, they say it doesn't matter if three nations have rejected its expansion and votes.
[08:45.000 --> 08:46.000]  They don't care.
[08:46.000 --> 08:47.000]  They're going ahead.
[08:47.000 --> 08:48.000]  Kind of like here.
[08:48.000 --> 08:51.000]  We don't want Centra taking over our roads and putting tall roads on it.
[08:51.000 --> 08:52.000]  And they just say, we're doing it.
[08:52.000 --> 08:54.000]  We own your politicians.
[08:54.000 --> 08:58.000]  If you don't like it, a SWAT team will drop by and splatter you up against the wall.
[08:58.000 --> 09:00.000]  We rule slaves, shut up.
[09:00.000 --> 09:04.000]  One currency for South American Union Reuters reports.
[09:04.000 --> 09:09.000]  Meanwhile, the average American's been conditioned that there's no EU, no South American Union,
[09:09.000 --> 09:12.000]  and that we are not officially in the NAU.
[09:12.000 --> 09:15.000]  You got a bunch of people invested in their egos, that they're on top of things,
[09:15.000 --> 09:18.000]  and it doesn't exist, and they haven't been lied to,
[09:18.000 --> 09:23.000]  so none of this exists as the dollar implodes and gas prices explode.
[09:23.000 --> 09:27.000]  Oklahoma gets their head screwed on straight, passes a resolution,
[09:27.000 --> 09:30.000]  92 to 3 in their state legislature,
[09:30.000 --> 09:36.000]  saying that they are going to basically secede from the Union because of the North American Union.
[09:36.000 --> 09:40.000]  What will fake conservatives do and mainline fake liberals?
[09:40.000 --> 09:44.000]  They will say Oklahoma doesn't exist, and I'm not joking.
[09:44.000 --> 09:48.000]  We got big-time neocon hosts that say the CFR doesn't exist, so.
[09:48.000 --> 09:52.000]  I thought I'd read some famous quotes by socialists.
[09:52.000 --> 09:56.000]  George Bernard Shum, H.G. Wells, Margaret Sanger,
[09:56.000 --> 10:04.000]  and, of course, David Rockefeller's father about how they wanted to kill all of the blacks and Hispanics.
[10:04.000 --> 10:09.000]  And, by the way, they run things today, and that's why they're setting up oral government
[10:09.000 --> 10:13.000]  and their own state of documents, so they can then kill the majority of us.
[10:13.000 --> 10:18.000]  And I thought I'd actually read a few quotes today for you and give you sources for that.
[10:18.000 --> 10:23.000]  Yeah, the ball games don't matter as much when you read official government textbooks and documents
[10:23.000 --> 10:25.000]  about how they're killing us right now.
[10:25.000 --> 10:30.000]  Don't believe me, though. It doesn't exist. Just drink some fluoride. Everything's okay.
[10:30.000 --> 10:34.000]  Also, UK to begin microchipping their prisoners and parolees.
[10:34.000 --> 10:37.000]  That's right, implantable chips now happening.
[10:37.000 --> 10:40.000]  And so that is one little stack of the news.
[10:40.000 --> 10:45.000]  Another stack, Haditha massacre victims can outraged as Marines go free.
[10:45.000 --> 10:51.000]  McClatchy newspapers. The Marines admit they went in and just killed the 20-plus people, the entire innocent family.
[10:51.000 --> 10:56.000]  Other Marines have been found not guilty for raping 12-year-old girls and then killing their families.
[10:56.000 --> 11:00.000]  Sitting on the side of the road shooting families for fun and sport.
[11:00.000 --> 11:05.000]  They've been acquitted of that, acquitted of torturing people to death, so why not?
[11:05.000 --> 11:09.000]  And, I mean, I got the Austin American statesman today with the New York Times article
[11:09.000 --> 11:13.000]  basically apologizing for torture and saying it's a great thing.
[11:13.000 --> 11:19.000]  I mean, why not? Why not? I mean, we'll just say we're torturing them, but the torture doesn't exist.
[11:19.000 --> 11:24.000]  We're a nation of people in denial.
[11:24.000 --> 11:30.000]  By the way, do any of you think you're safe when you've got a government that tortures small children with pliers sexually?
[11:30.000 --> 11:39.000]  I mean, do you sleep well at night knowing that they're quadrupling the amount of CIA humat every year?
[11:39.000 --> 11:45.000]  They've got them domestically in every city. They've got fusion threat centers under FEMA command in every city.
[11:45.000 --> 11:49.000]  They've built the FEMA camps and announced it to you.
[11:49.000 --> 11:57.000]  Criminals have taken over the country, and this police state is their rearguard action to make sure they never get prosecuted for it.
[11:57.000 --> 12:04.000]  Also, the head of the Army investigation into torture says after years of disclosures by government investigators,
[12:04.000 --> 12:11.000]  media accounts and reports from human rights organizations, there is no longer any doubt as to whether the current administration has committed war crimes.
[12:11.000 --> 12:19.000]  The only question that remains to be answered is whether those who ordered the use of torture will be held accountable.
[12:19.000 --> 12:22.000]  And the answer is no.
[12:22.000 --> 12:30.000]  I mean, they can even torture people and get fake 9-11 confessions. That's all that's about when the people running the government carried out the attacks.
[12:30.000 --> 12:37.000]  But there's no debating that 12-year-old girls don't deserve to be raped and then have their heads blown off.
[12:37.000 --> 12:44.000]  I mean, I have the Army report right here, and after the Army report's been out for three years, it's much worse since then.
[12:44.000 --> 12:56.000]  But since then, the physicians for human rights, who now the Major General, U.S. Major General, who was, who did the investigation, admitted it.
[12:56.000 --> 13:04.000]  But he said, well, they were ordered. General Rick Baucus, the head of Camp X-ray, quit and said, I can't torture people and commit war crimes.
[13:04.000 --> 13:13.000]  And then he added, by the way, these people aren't even al-Qaeda. He's now on frontline admitting it.
[13:13.000 --> 13:18.000]  It doesn't matter. Do you know that police in the U.S. since the 80s have been trained to torture U.S. citizens?
[13:18.000 --> 13:21.000]  They just call it paying compliance.
[13:21.000 --> 13:28.000]  Do you know in hundreds of federal prisons, if you don't work, and then dumb idiots out there say, good, make the prisoners work, they're taking your jobs,
[13:28.000 --> 13:36.000]  they work for 20 cents an hour on average, or 21 cents. The average federal rate's 18, but the average would state in federal is about 21.
[13:36.000 --> 13:43.000]  Go look it up for yourself. Do you understand that's taking your job? You think illegal aliens are taking your jobs, and they are?
[13:43.000 --> 13:51.000]  They're dumping down wages, bankrupting the welfare net, the social services net, which is really the eugenics net. They call it a safety net.
[13:51.000 --> 13:57.000]  It's an extermination net, a control net to dumb down families, vaccinate you, brain damage, you carry out the eugenics operations, declassified.
[13:57.000 --> 14:03.000]  But let's say you think it's a good thing. Well, they're burning and blowing all that out.
[14:03.000 --> 14:12.000]  You don't think 4.5 million prisoners and millions more in and out of the system aren't devaluing your...
[14:12.000 --> 14:17.360]  the wages but but side issue the point is is that you know what they do in a
[14:17.360 --> 14:22.160]  federal prison if you refuse to work they strap you in a quote
[14:22.160 --> 14:28.880]  restrainment chair for weeks hardcore torture within hours you know your back
[14:28.880 --> 14:32.240]  starts hurting you start flipping out mentally they put a bag over your head
[14:32.240 --> 14:38.240]  and you sit there for days urinating on yourself defecating on yourself with a
[14:38.240 --> 14:43.640]  bag over your head I have video on my film martial law of police saying yes we
[14:43.640 --> 14:48.200]  do this where you have activists environmental activists abortion
[14:48.200 --> 14:51.560]  activists matter they are and the cops walk up and they wrap num chucks around
[14:51.560 --> 14:53.760]  the arms the person sitting on the side of the street and unauthorized
[14:53.760 --> 14:57.680]  protest and they just break your arm the bone sticks out you know blood comes out
[14:57.680 --> 15:02.360]  and the cops do high-fives yeah yeah room room kill America down with it got
[15:02.360 --> 15:06.920]  got video of you got video of you but it's out of the open you don't urinate in
[15:06.920 --> 15:10.440]  a cup when you're at the hospital they taser you in Canada the police said yeah
[15:10.440 --> 15:14.240]  you get on the bus and we you don't have a ticket or the train we taser you as
[15:14.240 --> 15:20.120]  punishment this is literally you are slaves do you understand that you
[15:20.120 --> 15:23.680]  understand to bring you this info I'm getting death threats I've got Hugh met
[15:23.680 --> 15:28.240]  all over me I've got I've got I'm looking for anything to try to set me up
[15:28.240 --> 15:33.920]  I'm here risking my entire life to let you know the gates of hell have been open
[15:33.920 --> 15:37.440]  evil has been released do you understand what's happened in every other
[15:37.440 --> 15:41.360]  country where the people that tyranny take over the criminals go nuts and the
[15:41.360 --> 15:46.240]  institutionalized it and codified and dress it up in a nice uniform but no
[15:46.240 --> 15:50.240]  one in modern history has ever written manuals about how to rip children's
[15:50.240 --> 15:55.880]  privates off with pliers in front of mommy only the criminals running this
[15:55.880 --> 16:00.120]  country I'm gonna get into torture first when we get back then I'm gonna tell
[16:00.120 --> 16:03.680]  you what's happening with energy that no one will tell you then I'm gonna get
[16:03.680 --> 16:07.200]  into a bunch of other news and I am fired up and how two billion of you're
[16:07.200 --> 16:11.120]  gonna get brain cancer all right we'll be right back keep enjoying your cell
[16:11.120 --> 16:15.160]  phones hail the new world order don't listen to me the government loves you
[16:15.160 --> 16:19.720]  you know when you're gut everything's fine we'll be right back
[16:19.720 --> 16:34.720]  our beloved republic is on her knees the forces of globalism are destroying
[16:34.720 --> 16:38.440]  national sovereignty worldwide but in liberty's darkest hour there is hope
[16:38.440 --> 16:42.280]  the first time in modern history the people are beginning to wake up it is
[16:42.280 --> 16:45.480]  essential that patriots worldwide accelerate their fellow man's
[16:45.480 --> 16:49.040]  understanding of the new world order master plan we have a short time frame
[16:49.040 --> 16:53.000]  to fully awaken and energize the people to meet this threat in the info war
[16:53.000 --> 16:57.120]  prisonplanet.tv is a powerful weapon in the battle to regain our freedom
[16:57.120 --> 17:01.280]  prisonplanet.tv is a vault of forbidden information all 18 of my
[17:01.280 --> 17:05.120]  documentary films can be downloaded or streamed in super high quality directly
[17:05.120 --> 17:08.840]  to your computer or iPhone and shared with others thousands of special video
[17:08.840 --> 17:13.040]  reports from tainted vaccines to martial law can be found in this online video
[17:13.040 --> 17:16.800]  library by weekly news television broadcast thousands of exclusive audio
[17:16.800 --> 17:21.080]  interviews and so much more the info war is waiting for you to set it free
[17:21.080 --> 17:26.280]  join prisonplanet.tv burn the info bombs to disk put them on the file
[17:26.280 --> 17:32.040]  sharing networks bring down the new world order prisonplanet.tv
[17:32.040 --> 17:36.800]  hi this is Ted Anderson have you ever wondered why banks stockbrokers
[17:36.800 --> 17:41.680]  investment advisors won't talk about gold for your IRA that's right gold has
[17:41.680 --> 17:46.560]  been available to be placed in IRAs since 1986 yet still the financial
[17:46.560 --> 17:50.560]  industry refuses to recognize the value of real hard assets for your
[17:50.560 --> 17:55.240]  retirement the truth be told gold and silver is outperform paper investments
[17:55.240 --> 18:00.840]  like stocks bonds and CDs yet no word about IRAs perhaps the financial
[18:00.840 --> 18:05.360]  institutions want to maintain control of your assets by keeping you in paper if
[18:05.360 --> 18:11.280]  you'd like to take a look at gold for your retirement call 800 686 2237 don't
[18:11.280 --> 18:15.280]  get left behind by rising inflation and low return on your paper investments
[18:15.280 --> 18:24.080]  call 800 686 2237 make sure that you secure your future call 800 686 2237
[18:24.080 --> 18:30.400]  that's 1-800-686-2237
[18:33.120 --> 18:37.760]  now you and your friends and family can enjoy the sweetest cleanest drinking
[18:37.760 --> 18:42.240]  water anytime even while traveling camping at sporting events or in
[18:42.240 --> 18:47.680]  emergency situations the Berkey light removes bacteria sys parasites and
[18:47.680 --> 18:52.440]  harmful chemicals to below detectable levels it reduces nitrates and unhealthy
[18:52.440 --> 18:56.120]  minerals like lead and mercury yet leaves in the nutritional minerals your
[18:56.120 --> 19:00.820]  body needs the Berkey light is so powerful it can purify raw untreated
[19:00.820 --> 19:05.960]  water from remote sources the optional pf2 filter even removes fluoride the
[19:05.960 --> 19:09.840]  Berkey light has a rechargeable LED lighting system and an elevated base
[19:09.840 --> 19:14.000]  for use in places other than a countertop to get your Berkey system
[19:14.000 --> 19:19.800]  please visit we the people radio network at WTPRN.com and click the
[19:19.800 --> 19:31.560]  Berkey banner or call 512-646-6444 that's WTPRN.com or call 512-646-6444
[19:31.560 --> 19:36.200]  collectors outdoor enthusiasts survivalists the Army Navy store from
[19:36.200 --> 19:39.800]  your memory as a child is just that a memory but there is still one place to
[19:39.800 --> 19:43.760]  find everything from gas masks to ammo cans and find it cheap main military
[19:43.760 --> 19:47.200]  dot com get hard to find objects like real-world blankets from your 20 bucks
[19:47.200 --> 19:52.400]  canteens for just $2 or tri-oxane fuel for just a dollar a box MAINEMILITARY.com
[19:52.400 --> 19:57.360]  with free shipping on items over $150 not including heavy items fines or
[19:57.360 --> 20:01.040]  plus items for cheap now like 30 caliber cleaning kits for just $2.99 a
[20:01.040 --> 20:05.720]  piece or a dozen for $30 flare pistols are only $25 one ad brand new Israeli
[20:05.720 --> 20:10.080]  gas mask to your collection kids and adult sizes are just $20 get G3 mags for
[20:10.080 --> 20:14.040]  just two bucks or a military fuel can for only $16 at the siphon hose for
[20:14.040 --> 20:18.520]  another $7.99 find it all online at main military dot com their website is
[20:18.520 --> 20:22.040]  adding wholesale items all the time like Uzi mag pouches get a dozen for just
[20:22.040 --> 20:27.000]  $36 or Swiss rain ponchos now for only $42 a dozen and survival saws are just
[20:27.000 --> 20:33.040]  $60 a dozen with shipping throughout the world check out main military.com
[20:33.040 --> 20:38.400]  the freedom message waking up people everywhere I'm Ron Paul and you're
[20:38.400 --> 20:42.160]  listening to we the people radio network
[20:45.920 --> 20:53.920]  most people are invested their egos are invested in the Democratic Party or
[20:53.920 --> 20:58.160]  they're invested in the Republican Party I remember back under Clinton all the
[20:58.160 --> 21:02.680]  murders the corruption the evil and Democrats couldn't wake up they wouldn't
[21:02.680 --> 21:07.040]  listen they wouldn't understand because they had invested in him they had
[21:07.040 --> 21:09.920]  invested that he was a good guy that he cared about him and that he wanted to
[21:09.920 --> 21:14.840]  help him and that he was wonderful now after he was depoliticized a certain
[21:14.840 --> 21:17.920]  extent now most Democrats who talk to don't like the Clintons and know they're
[21:17.920 --> 21:21.960]  corrupt but back when he was under attack by the Republicans they couldn't
[21:21.960 --> 21:28.240]  admit he was bad and it's the same thing with the Republicans today and if you
[21:28.240 --> 21:31.120]  look at Bush on issues how is he conservative tripling the size of
[21:31.120 --> 21:35.880]  government gun control open borders wars you know all of this stuff he's not
[21:35.880 --> 21:39.720]  conservative gay porn stars visiting the White House constantly for whatever
[21:39.720 --> 21:47.000]  reason in the middle of the night yeah you forgot about that but it didn't
[21:47.000 --> 21:52.640]  matter because the Democrats attack oh I've got to support mindlessly like I'm
[21:52.640 --> 21:55.960]  you know supporting my football team my favorite football team whatever he does
[21:55.960 --> 22:03.520]  meanwhile that's a diversion not just that people won't see the corruption in
[22:03.520 --> 22:08.640]  the party they support or quote their party but that you won't even see that's
[22:08.640 --> 22:12.360]  not even your party special interest on it and they say one thing and then do
[22:12.360 --> 22:15.680]  another if you look at the voting records of Republicans and Democrats
[22:15.680 --> 22:20.760]  they're very close to each other and if you look at the special interests that
[22:20.760 --> 22:25.440]  own them and control them I mean there's no conspiracy theory about it
[22:25.440 --> 22:34.480]  multinational fortune 100 own almost every federal politician much less state
[22:36.480 --> 22:41.120]  and they have a global agenda and our national sovereignty in our country is
[22:41.120 --> 22:44.360]  in the way in our bill of rights and constitutions in the way and people say
[22:44.360 --> 22:48.160]  well it's natural for us to go from agrarians as well from hunter-gatherers
[22:48.160 --> 22:52.280]  to agrarian to city-states to nation-states and then the global
[22:52.280 --> 22:57.600]  government well Europe doesn't want to be part of the European Union but their
[22:57.600 --> 23:03.200]  government say no you're gonna be part of it and then you can argue that global
[23:03.200 --> 23:07.160]  government's the next step in in in humanity because Star Trek is imprinted
[23:07.160 --> 23:12.080]  in your mind and other Hollywood you know type of memes but look at who's
[23:12.080 --> 23:16.000]  setting up world government have we had a debate about who's setting it up very
[23:16.000 --> 23:19.520]  corrupt very bad people and in their own documents they say you're not gonna
[23:19.520 --> 23:22.680]  have any liberties or freedoms or private property only the elite is gonna
[23:22.680 --> 23:26.440]  have that and you're gonna have an ordered controlled life those of you
[23:26.440 --> 23:31.160]  they're allowed to live that won't be euthanized under the bioethics rules
[23:31.160 --> 23:36.800]  those of you who are allowed to have children and it's all stated it's all
[23:36.800 --> 23:39.880]  in the government textbooks it's all in the documents it's all in my film in
[23:39.880 --> 23:45.200]  game and in the extras of in game you know what it's like to really know what's
[23:45.200 --> 23:48.520]  happening in the world and to not be caught up in this diversion this
[23:48.520 --> 23:56.520]  distraction that is mainline politics in news to know I mean I was reading the
[23:56.520 --> 24:01.080]  last OPEC emergency conference a few weeks ago and and I was watching it
[24:01.080 --> 24:04.920]  today at the office and I was watching it here at the at the at the local
[24:04.920 --> 24:09.360]  station I broadcast out of across the country and the world I got c-span on
[24:09.360 --> 24:14.040]  right now Bill Clinton's on but earlier I was reading the closed captioning and
[24:14.040 --> 24:16.960]  they were talking about it's not our fault we're not making higher profits
[24:16.960 --> 24:20.480]  the dollar's been devalued you say you don't want us to move away from dollar
[24:20.480 --> 24:28.200]  denominated oil you don't want us to move away from dollar denominated oil but
[24:28.200 --> 24:34.360]  you but you're devaluing the dollar and so there it is in the OPEC summit
[24:34.360 --> 24:38.520]  emergency summit but you'll never hear that on our news never never never and I
[24:38.520 --> 24:42.520]  have to hear people you know I went on vacation a few days the Texas beach I
[24:42.520 --> 24:46.680]  had to hear people next to me on a fishing boat talking about why oil was so
[24:46.680 --> 24:51.520]  expensive and I had to all for the wrong reasons and I had to hear people at
[24:51.520 --> 24:55.080]  about by the pool at the at the hotel talking about it and I had to just hear
[24:55.080 --> 24:59.600]  the idiocy and I would try to tell them well no the dollar's been devalued
[24:59.600 --> 25:04.080]  that's why and then they would oh my dollar isn't devalued I'm a millionaire
[25:04.080 --> 25:08.760]  I got a million dollars my mom a millionaire my mom my money isn't
