[00:00:03.863 --> 00:00:06.544]  First, congratulations.
[00:11:22.860 --> 00:11:28.003]  And the nurses beg and say, can we please resuscitate them?
[00:11:28.003 --> 00:11:30.365]  Then the board sometimes can't convene.
[00:11:30.365 --> 00:11:34.907]  And so they just order the baby to die and baby die.
[00:11:34.907 --> 00:11:38.810]  And they don't keep baby comfortable while they do it.
[00:11:40.287 --> 00:11:58.909]  So when we talk about Trump and the New World Order and the Communist Chinese and all that's going on, just remember a million two hundred thousand Americans have taken one of two mRNA vaccines that up front are causing more bad reactions and more deaths than vaccines we've seen ever.
[00:12:01.724 --> 00:12:04.806]  And it's funny, suddenly flu shots are killing a lot more people.
[00:12:04.806 --> 00:12:05.686]  Hundreds are dead.
[00:12:05.686 --> 00:12:07.407]  It was 59, first report.
[00:12:07.407 --> 00:12:09.588]  Now it's a couple hundred are dead.
[00:12:09.588 --> 00:12:11.949]  Now they're saying it's a state secret in South Korea.
[00:12:11.949 --> 00:12:12.989]  Don't want to create a panic.
[00:12:12.989 --> 00:12:16.351]  So now they're telling media, don't report on it.
[00:12:16.351 --> 00:12:19.573]  And I've got articles here about people being arrested around the world.
[00:12:19.573 --> 00:12:24.235]  Journalists that are critical of the vaccines and the rollout.
[00:12:24.235 --> 00:12:27.517]  And activists that try to organize protesting, like in Australia.
[00:12:27.517 --> 00:12:30.198]  They come to their house and they arrest you in your home.
[00:12:34.488 --> 00:12:36.609]  No, the New World Order's not coming.
[00:12:36.609 --> 00:12:37.469]  The New World Order's here.
[00:12:37.469 --> 00:12:42.252]  So, in the New Year, we're going to take a lot more calls on this broadcast.
[00:12:42.252 --> 00:12:43.772]  We've been taking a lot more calls as of late.
[00:12:43.772 --> 00:12:46.834]  I've delivered on that.
[00:12:46.834 --> 00:12:51.036]  And we have the New American Journal, hosted by Harrison Smith, doing a splendid job.
[00:12:51.036 --> 00:12:52.317]  Weekday mornings, 8 a.m.
[00:12:52.317 --> 00:12:52.697]  Central.
[00:12:52.697 --> 00:12:54.658]  I also pop in, so does Owen Schroer.
[00:12:54.658 --> 00:12:57.019]  That is a total call-in show.
[00:12:57.019 --> 00:13:01.281]  But the final transmission of the Alex Jones Show
[00:13:02.648 --> 00:13:04.368]  Of the year 2020.
[00:13:04.368 --> 00:13:05.309]  What a year.
[00:13:05.309 --> 00:13:15.771]  I'd like to get your take on what you think is coming in the new year and what your resolutions are in the new year and what you think our focus should be in the new year.
[00:13:15.771 --> 00:13:18.311]  So that's all coming up.
[00:13:18.311 --> 00:13:19.492]  Let me give you the toll free number.
[00:13:19.492 --> 00:13:20.032]  It's 877-789-ALEX.
[00:13:20.032 --> 00:13:20.212]  877-789-ALEX.
[00:13:20.212 --> 00:13:20.272]  877-789-2539.
[00:13:20.272 --> 00:13:21.832]  And let's give first time callers
[00:13:33.086 --> 00:13:40.310]  The first round of calls, the first 20 calls or so, then it's a free-for-all after that.
[00:13:40.310 --> 00:13:41.651]  877-789-2539.
[00:13:41.651 --> 00:13:42.631]  877-789-2539.
[00:13:42.631 --> 00:13:50.216]  And let's put nurses and doctors, if you can get through, to the head of the line.
[00:13:50.216 --> 00:13:53.558]  I'd like to hear from doctors and nurses about what you think about this carnage.
[00:13:53.558 --> 00:13:55.619]  And oh, it doesn't even protect you from COVID.
[00:13:57.455 --> 00:13:59.117]  And oh, it doesn't even stop you from spreading it.
[00:13:59.117 --> 00:14:04.142]  And oh, and people that took the shot two weeks ago, why, they are test positive for COVID now.
[00:14:04.142 --> 00:14:09.147]  And yeah, more people are testing positive for HIV when you take the shot.
[00:14:09.147 --> 00:14:14.692]  Because you see, the COVID virus is part HIV.
[00:14:19.517 --> 00:14:21.498]  There's a big video up on Bandot Video.
[00:14:21.498 --> 00:14:23.138]  Doctors around the world issue dire warning.
[00:14:23.138 --> 00:14:24.439]  Do not take the COVID vaccine.
[00:14:24.439 --> 00:14:30.821]  Medical doctors, scientists, epidemiologists, virologists, endocrinologists.
[00:14:30.821 --> 00:14:34.982]  And guess what happens to their videos when they go on YouTube or Twitter or Facebook?
[00:14:34.982 --> 00:14:40.624]  They get millions of views in just a few hours and then they get taken down.
[00:14:40.624 --> 00:14:44.026]  Because we don't get to hear from real medical doctors or scientists.
[00:14:44.026 --> 00:14:47.327]  We get to hear from Dr. Bill Gates.
[00:14:49.059 --> 00:15:02.222]  Who does say he wants to depopulate you and whose father ran the World Eugenics Society and whose mother was on the IBM board under the man that ran Nazi Germany.
[00:15:02.222 --> 00:15:06.103]  Thomas Watson.
[00:15:06.103 --> 00:15:07.343]  IBM and the Holocaust.
[00:15:07.343 --> 00:15:10.904]  Just search engine it for yourself.
[00:15:10.904 --> 00:15:13.984]  And don't hold your breath for the ADL to say a word.
[00:15:13.984 --> 00:15:15.605]  The ADL works for these guys.
[00:15:16.826 --> 00:15:22.189]  See, when you're really the globalist and you're really the anti-humanist, you gotta own the whole show.
[00:15:22.189 --> 00:15:32.814]  That's what they set Hitler up for, was to create the paradigm paradox of alien separation so people would know the real grip when it hit them.
[00:15:32.814 --> 00:15:36.415]  If Hitler just would have worn a pink sweater, he would have won.
[00:15:36.415 --> 00:15:38.576]  Like Bill?
[00:15:38.576 --> 00:15:40.657]  Bill's got something for ya.
[00:15:40.657 --> 00:15:41.438]  Wants you to take it.
[00:15:42.984 --> 00:15:46.167]  He says it's gonna hurt you real bad, but it's okay.
[00:15:46.167 --> 00:15:47.909]  We know you're tough.
[00:15:47.909 --> 00:15:49.270]  Infowars.com.
[00:15:49.270 --> 00:15:50.571]  Newswars.com.
[00:15:50.571 --> 00:15:51.853]  Banned.
[00:15:51.853 --> 00:15:52.874]  As in banned.
[00:15:52.874 --> 00:15:54.115]  Banned.video.
[00:15:54.115 --> 00:15:54.555]  Stay with us.
[00:15:57.345 --> 00:16:06.128]  Our Activated Charcoal Toothpaste became a best-seller overnight because Activated Charcoal is already one of the top-selling, fastest-growing toothpaste out there.
[00:16:06.128 --> 00:16:12.891]  The problem is, a lot of the other over-the-counter ones have aspartame as their flavoring, very, very toxic, and also they have fluoride in it.
[00:16:13.311 --> 00:16:14.532]  This does not have the fluoride.
[00:16:14.532 --> 00:16:15.952]  It doesn't have the additives.
[00:16:15.952 --> 00:16:17.173]  This is a concentrate.
[00:16:17.173 --> 00:16:18.633]  It really is high quality.
[00:16:18.633 --> 00:16:23.775]  It's been sold out for months because of supply chain breakdowns with the whole COVID martial law garbage.
[00:16:23.775 --> 00:16:25.556]  But now it's back in stock.
[00:16:25.556 --> 00:16:29.998]  InfoWars Dr. Jones Naturals Activated Charcoal Toothpaste.
[00:16:29.998 --> 00:16:36.401]  Now back in stock at InfoWarsStore.com or call toll free 888-253-3139.
[00:16:36.401 --> 00:16:42.203]  It also makes a great gift for your family, for your grandkids, for your mother, your father, for everybody.
[00:16:42.523 --> 00:16:43.985]  And it supports the Infowar.
[00:16:43.985 --> 00:16:46.288]  Activated charcoal from Dr. Jones Naturals.
[00:16:46.288 --> 00:16:49.733]  Available again at Infowarsstore.com.
[00:16:49.733 --> 00:16:54.280]  And a lot of other products that have been sold out have just now come back in as well, like Pollen Block.
[00:16:54.280 --> 00:16:55.542]  So check that out when you're in the store.
[00:16:57.162 --> 00:17:04.507]  The year 2021 is almost here, and so we're launching our New Year's specials right now.
[00:17:04.507 --> 00:17:05.948]  We've got two different big sales.
[00:17:05.948 --> 00:17:13.173]  We've got Super Metal Vitality, Turbo Force, and Ultra 12, part of the New Year's Resolution Energize Pack, 40% off.
[00:17:13.173 --> 00:17:15.295]  We've got Bodies, Vazo Beats, and Knockout.
[00:17:15.575 --> 00:17:18.657]  Part of the New Year's Resolution Revitalize Pack at 40% off.
[00:17:18.657 --> 00:17:26.483]  But if you get both of these packs together, they are 60% off with free shipping and double Patriot Points.
[00:17:26.483 --> 00:17:27.743]  The best deal ever.
[00:17:27.743 --> 00:17:33.187]  I want to thank you all for your support and encourage you to go to InfoWarsTore.com today and take advantage of this.
[00:17:33.187 --> 00:17:35.929]  And you can't lose because it funds the InfoWar.
[00:17:35.929 --> 00:17:42.854]  Again, get the great products at InfoWarsTore.com and fund the Second American Revolution worldwide at a time that's more critical than ever.
[00:17:43.374 --> 00:17:52.476]  Again, the year 2021 is here, and I am committed to you to fight against the globalists harder than ever, so thank you so much for keeping InfoWars in the fight.
[00:17:52.476 --> 00:18:00.278]  Without your support, we couldn't do any of it.
[00:18:00.278 --> 00:18:02.939]  You're listening to the Alex Jones Show.
[00:18:14.807 --> 00:18:36.300]  Well, Luke Letlow just got elected to Congress, and then they said he died of COVID.
[00:18:36.300 --> 00:18:42.684]  But what happened is he went in, he tested positive for COVID, they did a, quote, surgery on him, and he had a heart attack and died.
[00:18:45.572 --> 00:18:50.073]  You gotta read the fine print, but they say he died of a heart attack.
[00:18:50.073 --> 00:18:56.335]  Well, 80-something-year-old Don Wells of Mary Ann fame of Gilligan's Island, one of my favorite silly shows.
[00:18:56.335 --> 00:19:01.677]  Some of my earliest memories are watching Gilligan's Island.
[00:19:01.677 --> 00:19:02.557]  Dies of COVID-19 at 82.
[00:19:02.557 --> 00:19:02.937]  Complications.
[00:19:06.069 --> 00:19:10.391]  That's right, you have a heart attack, you die of cancer, you die of pneumonia, it's complications.
[00:19:10.391 --> 00:19:12.172]  You know who else just died?
[00:19:12.172 --> 00:19:19.055]  It was the cellmate, up until the last day he was moved out, of Jeffrey Epstein.
[00:19:19.055 --> 00:19:23.258]  He was found dead in his apartment, and Lord have mercies, guess what?
[00:19:23.258 --> 00:19:26.999]  He died of COVID.
[00:19:26.999 --> 00:19:34.103]  You know, if I was to die in a plane crash, or if you were, they'll say you died of COVID, or a motorcycle accident, and this is all part of the formulaic fraud.
[00:19:35.947 --> 00:19:38.008]  They're running.
[00:19:38.008 --> 00:19:45.513]  They're also saying hospitals are full in Texas and New York and Hawaii and all over.
[00:19:45.513 --> 00:19:50.736]  And they're even arresting people now that go into the empty hospitals.
[00:19:50.736 --> 00:19:52.237]  So I want to be very, very clear.
[00:19:52.237 --> 00:19:54.518]  You need to go show the parking lot empty.
[00:19:54.518 --> 00:19:56.699]  You need to show the receiving area empty.
[00:19:56.699 --> 00:19:57.840]  You can shoot a time-lapse.
[00:19:59.187 --> 00:20:01.088]  They tell you to leave, leave.
[00:20:01.088 --> 00:20:06.072]  But we've got multiple videos of people being arrested in the U.S.
[00:20:06.072 --> 00:20:08.593]  and the U.K.
[00:20:08.593 --> 00:20:10.795]  when they go into the hospitals.
[00:20:10.795 --> 00:20:13.416]  I don't think it violates, Seth, I don't think it violates privacy.
[00:20:13.416 --> 00:20:14.677]  This is a need to know.
[00:20:14.677 --> 00:20:15.718]  The public has a right to know.
[00:20:15.718 --> 00:20:17.359]  That's covered by whistleblowing.
[00:20:17.359 --> 00:20:19.440]  It's covered by investigative journalism.
[00:20:19.440 --> 00:20:21.902]  But you just had a $10 million plus judgment
[00:20:23.626 --> 00:20:24.426]  I forget the exact number.
[00:20:24.426 --> 00:20:25.147]  Look it up.
[00:20:25.147 --> 00:20:38.694]  With this federal judge in San Francisco on the folks that went undercover in restaurants, had the meetings with the Planned Parenthood groups that said, we've got live babies for you.
[00:20:38.694 --> 00:20:42.316]  And the judge gave them some, I think it was 16 million of memory serves.
[00:20:42.316 --> 00:20:43.196]  I saw that last week.
[00:20:43.196 --> 00:20:45.478]  I meant to cover it, but I was off.
[00:20:45.478 --> 00:20:49.900]  The headline was the exact headline.
[00:20:53.151 --> 00:21:04.614]  Federal judge issues huge ruling against group that documented Planned Parenthood selling fetuses.
[00:21:04.614 --> 00:21:06.414]  They'll pull it up in a minute, or I will during the break.
[00:21:06.414 --> 00:21:07.314]  I'll find it.
[00:21:07.314 --> 00:21:12.015]  But the point is, is that that's what's going on here.
[00:21:12.015 --> 00:21:14.156]  They're trying to make it a crime.
[00:21:15.145 --> 00:21:21.391]  They're trying to make it a massive crime to expose their criminal activities.
[00:21:21.391 --> 00:21:23.473]  But listen, I don't need to go into the hospitals.
[00:21:23.473 --> 00:21:27.576]  No, we're going to be doing this this week and next week.
[00:21:27.576 --> 00:21:36.264]  I showed you the link two days ago to the CDC website where you can go look at every hospital in every town and every city.
[00:21:36.264 --> 00:21:36.625]  There it is.
[00:21:37.850 --> 00:21:43.774]  California judge orders video journals to pay $13.6 million to Planned Parenthood.
[00:21:43.774 --> 00:21:46.095]  I don't know why I thought $16 million.
[00:21:46.095 --> 00:21:47.436]  There you go.
[00:21:47.436 --> 00:21:48.036]  $13.6 million.
[00:21:48.036 --> 00:21:54.940]  I guess my mind remembered the $1.6, but it's $1.3.6.
[00:21:54.940 --> 00:22:04.286]  $13.6 million to Planned Parenthood and they got undercover meetings at restaurants?
[00:22:04.286 --> 00:22:06.988]  Where Planned Parenthood's talking about buying themselves Ferraris?
[00:22:07.847 --> 00:22:10.928]  For all the babies they sell?
[00:22:10.928 --> 00:22:29.117]  And now the mRNA vaccines don't just have part of babies in them, they have the entire genome, the Pfizer one does, of a dead boy that they've been cloning since 1966.
[00:22:29.117 --> 00:22:35.760]  You know, I remember I got on air 27 years ago and I'd be reading BBC articles about
[00:22:36.499 --> 00:22:40.400]  Human animal cloning began 20 plus years ago and they would list where it began.
[00:22:40.400 --> 00:22:44.381]  And I remember even back then it was in the news.
[00:22:44.381 --> 00:22:46.882]  So I'd go, well, wait a minute, that's 20 something years ago and it's 1995 or 1994, 1996.
[00:22:46.882 --> 00:22:50.143]  And you know, we're talking, this has been going on now 50 years.
[00:23:01.186 --> 00:23:05.850]  But they know because of the church and people's morals and common sense that people would want that outlawed.
[00:23:05.850 --> 00:23:13.956]  But it's all been going on right beneath the surface.
[00:23:13.956 --> 00:23:15.618]  I'm going to go to break.
[00:23:15.618 --> 00:23:18.020]  Two long segments coming up.
[00:23:18.020 --> 00:23:20.742]  And I'm going to go right to your phone calls.
[00:23:20.742 --> 00:23:23.384]  Rick and Danny and Scott and Austin and Brian and many others.
[00:23:23.384 --> 00:23:24.545]  877-789-2539.
[00:23:24.545 --> 00:23:30.209]  I want to hear from you about what President Trump needs to do, what you're going to be doing, what you expect next year.
[00:23:31.107 --> 00:23:32.768]  What happens if they do force Biden in?
[00:23:32.768 --> 00:23:37.610]  Let me tell you, there's a lot more election fraud coming out and big movements.
[00:23:37.610 --> 00:23:39.791]  Here's two of them we'll cover right now.
[00:23:39.791 --> 00:23:43.313]  Vice President Pence cancels planned January 6 trip to Israel.
[00:23:43.313 --> 00:23:45.694]  I've been harping on this for two days.
[00:23:45.694 --> 00:23:47.034]  Just now getting attention.
[00:23:47.034 --> 00:23:50.296]  He was going to be gone on vacation.
[00:23:50.296 --> 00:23:57.279]  But now he's going to be back to oversee the debate in the Senate that could go on potentially not just for two hours, but for days.
[00:24:00.461 --> 00:24:05.146]  Somebody seize control of the Walmart account and attack Senator Josh Hawley.
[00:24:07.210 --> 00:24:08.571]  I don't think so.
[00:24:30.768 --> 00:24:46.152]  But Hawley is defending his decision to launch the contestant and to contest the election of Joe Biden by contesting the electoral college results and blast Dems over their hypocrisy.
[00:24:46.152 --> 00:24:47.553]  So this all ties together.
[00:24:47.553 --> 00:24:51.774]  All right, we are going to go to break.
[00:24:51.774 --> 00:24:53.154]  We're going to come back and hit all this.
[00:24:53.154 --> 00:24:56.795]  But let me tell you about some very, very exciting things that are happening.
[00:24:56.795 --> 00:24:59.876]  We have four big products, really five big products that are back in stock.
[00:25:01.325 --> 00:25:07.287]  We have the Fluoride Free High Quality Concentrated Activated Charcoal Toothpaste.
[00:25:07.287 --> 00:25:09.248]  Activated Charcoal Toothpaste is super popular.
[00:25:09.248 --> 00:25:09.868]  It's exploding.
[00:25:09.868 --> 00:25:16.810]  It's the fastest growing toothpaste because it really, really works great and we believe we've got one of the best ones out there.
[00:25:16.810 --> 00:25:19.531]  Doesn't have the fillers, doesn't have the garbage, doesn't have the chemicals.
[00:25:19.531 --> 00:25:20.452]  It's amazing.
[00:25:20.452 --> 00:25:21.392]  It's super strong.
[00:25:22.478 --> 00:25:24.079]  And super concentrated.
[00:25:24.079 --> 00:25:28.241]  It's Dr. Jones Naturals Activated Charcoal Toothpaste.
[00:25:28.241 --> 00:25:28.842]  25% off.
[00:25:28.842 --> 00:25:30.482]  Infowarstore.com.
[00:25:30.482 --> 00:25:32.864]  Also back in stock for the New Year, Pollen Block!
[00:25:33.757 --> 00:25:37.880]  Specially fed quail in France, proprietary.
[00:25:37.880 --> 00:25:43.643]  Their eggs then produce some type of natural antihistamine, they believe, that works really, really good for most people.
[00:25:43.643 --> 00:25:45.204]  Works a little for everybody.
[00:25:45.204 --> 00:25:46.405]  Works amazingly for me.
[00:25:46.405 --> 00:25:49.387]  It knocks out my seasonal discomfort, my allergies by about 80%.
[00:25:49.387 --> 00:25:54.750]  You chew up the pills, they're naturally sweetened, and that's it.
[00:25:54.750 --> 00:25:58.432]  Take two of them in the morning, if your allergies are really bad, go two of them in the evening.
[00:25:58.432 --> 00:25:59.213]  It is amazing.
[00:25:59.213 --> 00:26:00.333]  PollenBlock.
[00:26:00.333 --> 00:26:01.654]  Infowarsstore.com.
[00:26:03.055 --> 00:26:05.037]  It's got rave reviews as well.
[00:26:05.037 --> 00:26:07.400]  25% off.
[00:26:07.400 --> 00:26:10.423]  Then, Super Mill Vitality.
[00:26:10.423 --> 00:26:14.247]  Cold-pressed, known herbs and compounds.
