[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[10:40.480 --> 10:44.480]  So look at DrudgeReport.com. We'll play a clip of this in a moment from CBS News.
[10:44.480 --> 10:53.480]  California's sanctuary state dims move to block Trump's picks. We're going to get to all that, and it's being announced as well.
[10:53.480 --> 11:02.480]  You're hurting California's trade because you're keeping out a few thousand people here and there and following the same law that most countries follow and the same law that Mexico follows.
[11:02.480 --> 11:11.480]  This is so egregious and so horrible. We are deciding to just ignore your laws and basically begin the process of breaking away
[11:11.480 --> 11:18.480]  and accelerate the process of a referendum for secession from the Union.
[11:18.480 --> 11:26.480]  The only problem is there's only two state constitutions I know of that authorize that, and that's the Texas Constitution and the New Hampshire Constitution.
[11:26.480 --> 11:38.480]  Several others have similar right to revolt clauses, but Texas is called the lone star state because it entered by treaty as a nation to the Union.
[11:38.480 --> 11:42.480]  And then shortly thereafter pulled out for the Civil War that was forced back in.
[11:42.480 --> 11:48.480]  But the point is still under treaty, Texas could succeed. That's what's called the Republic of Texas.
[11:48.480 --> 11:53.480]  By the way, I'm not calling for that because that could be used by the globalists as well to break the country up.
[11:53.480 --> 12:00.480]  But if the country was already totally dominated by globalists, then we'd have to revert to secession just to reconstitute the Republic.
[12:00.480 --> 12:10.480]  I'm a Sam Houston type of guy. The whole Civil War was a sucker job by British intelligence to destroy the south and the north so the British could control western expansion.
[12:10.480 --> 12:18.480]  That failed. And I'm not an exercise bashing the British. This is just what they were doing. What you're hearing here is the real historical fact, not what's taught in schools.
[12:18.480 --> 12:24.480]  Now, let's just continue here with the news. There is a lot to get to. Obviously, Trump is making right on his Supreme Court pick.
[12:24.480 --> 12:35.480]  The top three all have very conservative, strict constructionist backgrounds or literal interpretations of the Constitution, light years better, worlds better than what we would get with Obama.
[12:35.480 --> 12:44.480]  And we also have a lot of economic news we're going to be getting to today as well. We're going to get the latest hoaxes on the travel ban and a lot more.
[12:44.480 --> 12:58.480]  But first off, it really is frightening the ignorance of a lot of the supporters out there of mainstream media lies, a.k.a. the Democratic Party minions.
[12:58.480 --> 13:04.480]  They'll believe anything. Trump has enforced a law that Obama put on the books in 2013.
[13:04.480 --> 13:15.480]  He has followed the Constitution. Even the Attorney General that had been appointed just as an interim until sessions is approved or not approved.
[13:15.480 --> 13:23.480]  That should be happening today as well. She came out. We have clips of that coming up and said, I had to do this for conscience, basically.
[13:23.480 --> 13:33.480]  Another thing, she's a big rock star. When her own lawyers and in her own statement, she admits what Trump is doing is constitutional. He's not barring people on their religion.
[13:33.480 --> 13:41.480]  Does Congress shall make no religion or Congress shall make no law respecting an establishment of religion or prohibit the free exercise thereof?
[13:41.480 --> 13:47.480]  Glad the Democrats are suddenly discovering the First Amendment that they've been waging war against when it's religious in nature.
[13:47.480 --> 13:58.480]  The First Amendment begins with a religious rights, not being given, but simply being pointed out that government had no jurisdiction over those.
[13:58.480 --> 14:12.480]  And if you look at what Trump's doing, it is literally word for word what was passed in 2013 and in 2008 by Obama, Obama has bombed five of the six countries that Trump's talking about.
[14:12.480 --> 14:20.480]  They're all basically, except for Iran, failed states who don't even have regular flights to Western countries.
[14:20.480 --> 14:33.480]  I mean, they are literal Somalia folks is a hellhole. Sudan is a hellhole. They don't have functioning real airports unless that's a military base in Sudan to bomb Christians in the south.
[14:33.480 --> 14:43.480]  These are people sworn to kill us who still have slave blocks at which horses and women are sold weekly.
[14:43.480 --> 14:52.480]  Women are sold as sex slaves in Sudan and in Somalia.
[14:52.480 --> 15:02.480]  We're bringing people to the United States, your TV viewer will show you this image that literally where outfits out of the Arabian nights and are on another planet.
[15:02.480 --> 15:20.480]  Okay, I mean, it's just like setting grizzly bears loose in your neighborhood, completely whacked out, running around beating, torturing, murdering, you get caught saying you're gay, you're dead.
[15:20.480 --> 15:37.480]  But in upside down world, we all get lectured about how we're not tolerant and how we're bad and get to see weirdo feminists chanting Allah Akbar and putting on hajjibs to certify their full conversion to Stockholm syndrome.
[15:37.480 --> 15:52.480]  So it is simply incredible. And then Trump just goes, oh, if you don't have a vetted passport and you can't prove who you are and you're in a database that you're probably a terrorist or connected to him, you don't get in.
[15:52.480 --> 16:01.480]  I mean, you show up in some of these airports and you see people are bringing in. Again, they don't know what planet they're on.
[16:01.480 --> 16:14.480]  I saw people trying to get yaks for David have some photos of it. Don't believe it. And what appeared to be pygmy.
[16:14.480 --> 16:23.480]  Camels into the parade route of the president and they were turned away. I mean, it's, it's crazy. It's like there's chickens flying around the airport or something.
[16:23.480 --> 16:33.480]  And that's all fine and dandy, but you can't take people from caveman world where women are, you know, chained up in the basement and then bring them here and then bitch it us.
[16:33.480 --> 16:41.480]  Because, you know, where these evil Westerners, according to them, have women sitting up on pink pillows compared to their cultures and then complain all day.
[16:41.480 --> 16:47.480]  It just doesn't match up with reality. It's not congruent. It is essentially mental illness.
[16:47.480 --> 16:56.480]  There's a video up on info wars.com I shot last night where I break down the fact that Trump is signaling the awakening of liberals.
[16:56.480 --> 17:05.480]  And by that, I mean true liberals that want freedom, lower taxes, private property and to be left alone to lead our lives as we see fit as long as we don't hurt somebody else.
[17:05.480 --> 17:16.480]  That's the true definition of liberal. And even the mainline kind of establishment fascistic liberals are waking up because finally their God, the state, has been toppled or captured.
[17:16.480 --> 17:21.480]  By the evil golden toad, Donald Trump.
[17:21.480 --> 17:32.480]  And so because the golden toad, as I call him, has gotten back in the office of America and they see that spirit rising, they're all panicking because they're God.
[17:32.480 --> 17:41.480]  That they worshiped. That's what atheists worship. They admit it in many cases. The state had failed them.
[17:41.480 --> 17:54.480]  And so now they admit they're out buying guns and masks. They're going out and getting shooting classes and waiting for the civil war against the evil, the evil patriots who were buying guns because we wanted to protect ourselves from an oppressive government.
[17:54.480 --> 18:10.480]  See, you've now become an American. You finally understand that you need to individually protect yourself and your family. You finally get it. You finally clicked one step into a wider world and are now beginning to ascend the stairs and join us on our long march.
[18:10.480 --> 18:13.480]  On our long march of human destiny.
[18:13.480 --> 18:26.480]  Meanwhile, the super rich are preparing for the end of the world because of Trump. They're accelerating all that. Why? Why not just promote prosperity and not use division to control people and try to unify humanity around basic tenants?
[18:26.480 --> 18:34.480]  We're still going to have disagreements. We're still going to have problems, but they're not going to be manufactured. You're not going to be adding oxygen to the fire.
[18:34.480 --> 18:42.480]  But now you're learning the state is not God. It's dangerous. It could do things that scare you. Even if it's a fantasy, your fear is about Trump.
[18:42.480 --> 19:00.480]  Still, you're now coming a few more clicks into the realm of reality. And I don't say that in a patronizing way, but if you look at the dumbed down gruel that is extruded out against the American people daily and that is taken up like its mother's milk by acolytes of MSNBC and CNN.
[19:00.480 --> 19:10.480]  And if you go and look at these throngs of people at their own demonstrations, they look like a psychic intergalactic spider sucked about 95% of their soul out.
[19:10.480 --> 19:26.480]  I don't care what color they are. They have weird translucent skin, growths all over their faces, big jowls hanging even at young age, just kind of stumbling forward like Gollum with their hands extended like they're groping in the dark, even though it's high noon.
[19:26.480 --> 19:41.480]  I mean, I looked at them and I was like, my God, this is a fallen, ugly, stupid group of people with the only light in their eyes is like some murderous greed and envy of anything better than them.
[19:41.480 --> 20:00.480]  Now that said, we're going to break down the latest on the immigrants, the latest on the Supreme Court, the latest on so many fronts and the latest on the move to begin the cultural breakaway of the Southwest into its own squalorous Northern Mexico like fallen state.
[20:00.480 --> 20:12.480]  We use cell phones against our heads every day, but now a landmark US government study confirms increased health risks from exposure to EMF radiation emitted from these devices. The time to protect yourself is now.
[20:12.480 --> 20:25.480]  The solution is Defender Shield. Proudly made in the USA, Defender Shield blocks virtually 100% of EMF radiation emitted from cell phones, tablets and laptops. Buy now at Defender Shield.com. Use discount code Defender for 10% off.
[20:25.480 --> 20:30.480]  Defender Shield.com, the worldwide leader in EMF radiation protection.
[20:55.480 --> 20:58.480]  Spell PIX, PIXWIRELESS.COM
[21:26.480 --> 21:36.480]  Have you ever wanted a shortcut to getting the underground secrets to making money online and seriously grow your business?
[21:36.480 --> 21:47.480]  Whether it's a new business, a part-time income or an existing business, you have this incredible limited offer to get a copy of this Amazon bestselling book on dot com success for free.
[21:47.480 --> 21:58.480]  Uncover the success factors to make your business ignite. Go to secretsignite.com. That's secretsignite.com. Get your free copy now. Go to secretsignite.com.
[22:17.480 --> 22:32.480]  Get your family's water supply with a trusted Big Berkey water filter. New NSF EPA certified lab tests show Big Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[22:32.480 --> 22:41.480]  Big Berkey water filters are the original and most trusted on the market. The gold standard in water purification and our filters last for years at less than 2 cents per gallon.
[22:41.480 --> 22:57.480]  Big Berkey, the one powerful enough to purify stagnant pond water. Get your Big Berkey today. Call 1-877-99 Berkey or click bigberkeywaterfilters.com. That's 1-877-99 BERKEY. Big Berkey water filters for the love of clean water.
[23:11.480 --> 23:38.480]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you? I've defended people from the IRS for over 30 years. I've helped thousands and I can help you too.
[23:38.480 --> 23:50.480]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case. Call 800-34-NO-TAX to finally get free of IRS debt. With the IRS's new programs, there's never been a better time to solve your problem.
[23:50.480 --> 24:08.480]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[24:20.480 --> 24:38.480]  Coming up a little bit later in the hour of your TV viewers, you'll be able to see this. I'm going to flip through the book and show you some of the big photo and graph sections. It really is a doozy of a book. It is an amazing book and it breaks down the real history of what happened in this election and where we're going in the future.
[24:38.480 --> 24:53.480]  It's available right now at infowarsstore.com. Now, Roger says he's going to sign a name plate for every person that buys the book from InfoWars. But we've already sold 3,000 of these when it was on presale.
[24:53.480 --> 25:13.480]  And I imagine we're going to sell out of 10,000 in the next few weeks. That sounds like a lot, folks, when you're making like six, seven bucks on a book like we do that. It's a drop in the bucket to fund the operation. But everything comes together to make it possible whether you buy a t-shirt that says Trump is my president or whether you get the making of the president 2016.
[25:13.480 --> 25:25.480]  This is the definitive inside book that's got information in it when I was reading it two nights ago when 10,000 of them arrived and I first read the book that I didn't even know. He has left a lot of stuff.
[25:25.480 --> 25:43.480]  Never before seen photos of Trump. Never before seen, I'm not even sure if I can show all the stuff in the book. I didn't ask Roger. He's on to Mara. But I'm going to flip to the book for everybody coming up.
[25:43.480 --> 25:58.480]  That said, this short segment is kind of a no man's lands. Let me just tell you some of the other stuff coming up. Oprah Winfrey makes me sick. Oprah Winfrey, because I know all about her, is bad news. She's a super manipulator.
[25:58.480 --> 26:27.480]  She is the richest person in an entertainment history, which is fine with me. But she's been engaging class warfare all along. And she funds the United Nations, a massive tax exempt foundation that's tied into Bill of Melinda Gates and population control, one world religion, and convincing Africans to basically roll over and die.
[26:27.480 --> 26:44.480]  She is a New World Order Aluminist of the worst seconding order, and she's been caught in secret meetings with Warren Buffett and Dr. Evil himself, Bill Gates.
[26:44.480 --> 26:59.480]  And I mentioned this this morning to some of the crew that she's now getting a 60 minute slot. And I said, you know, she's been in secret world government population control meetings. And they're like, really? And I said, yeah, go look it up.
[26:59.480 --> 27:13.480]  And they pulled up a whole bunch of mainstream news from the last decade. But again, before that was ever even in the news, I was told about Winfrey and her activity. She is uber bad.
[27:13.480 --> 27:28.480]  And the people think that Obama was the blackface to sell death to Africa. No, he was just the he was just the delivery man.
[27:28.480 --> 27:44.480]  The black widow pun not intended, but someone that destroys her own culture, her own people, a woman that is a vicious predator is called a black widow. And she is a black widow in every shape and form.
[27:44.480 --> 27:53.480]  And the politically correct world people be like, don't call someone a black widow that happens to have chestnut skin, even though she acts like a black widow.
[27:53.480 --> 28:11.480]  And despite the fact that I would call a white woman doing these types of things, a black widow, Bill Gates is a big fat black widow. In fact, that's my most common allegory or analogy or comparison to the globalist is psychic and but also cultural spiders.
[28:11.480 --> 28:31.480]  I liken it to whatever the creatures are and under the skin with Scarlett Johansson, they interdimensionally is saying we ate your innards and only leave your skin floating in a vat in a underwater portal to another dimension.
[28:31.480 --> 28:44.480]  Oh, that's in the science tech today. A bunch of top scientists are out saying we're in an alternate dimension, artificially constructed, that they can pick up the computer code projecting it. Boy, they really want to tell you that God isn't real.
[28:44.480 --> 28:54.480]  But creations been manufactured and they know how to give you a real creation, a real reality. You just got to tune out of this one and come into their matrix.
[28:54.480 --> 29:05.480]  So they're now assaulting reality itself and thus God's mind. God's dream. Because all of this is just God's dream.
[29:05.480 --> 29:16.480]  Row, row, row your boat, gently downstream, merrily, merrily, merrily, merrily life is but a dream. Sometimes I guess in God's dreams, they're nightmares.
[29:16.480 --> 29:26.480]  God has a conscious dream that creates free will and new creatures. All in the great continuum of the consciousness of God.
[29:26.480 --> 29:37.480]  Now when we come back, we're going to start burrowing in piece by piece of the news and the clips now that I have pontificated in a cogitory way.
[29:37.480 --> 29:48.480]  I'm Alex Jones. This is the InfoWare. Get the making of the present in 2016. Signed exclusively at InfoWareStore.com or by calling 888-2533-139.
[29:48.480 --> 29:59.480]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[29:59.480 --> 30:09.480]  We've seen politicians from across the world like whining, sniffling babies over Trump's immigration ban. We've seen city con declare actual war on President Trump
[30:09.480 --> 30:14.480]  because he has the nerve to point out that some people come from terrorist places and we should have a temporary travel ban.
[30:14.480 --> 30:23.480]  We've seen Chuck Schumer, Senator from New York, actually cry stating that the Statue of Liberty is shedding tears because Liberty has taken such a hit this week because of Trump's ban.
[30:23.480 --> 30:29.480]  I've got news for you people. The countries that are on Trump's ban were actually identified by President Obama.
[30:29.480 --> 30:34.480]  At least 20 alleged terrorists since 2014 have come from countries affected by Trump's immigration ban.
[30:34.480 --> 30:39.480]  There's an article up today on the Daily Caller and identifies these 20 alleged terrorists.
[30:39.480 --> 30:44.480]  In the past three years, they were actually immigrants or refugees from seven majority Muslim nations.
[30:44.480 --> 30:49.480]  That President Trump has temporarily banned in his migration ban on Friday.
[30:49.480 --> 30:54.480]  These countries include Iraq, Iran, Libya, Somalia, Sudan, Syria and Yemen.
[30:54.480 --> 31:20.480]  We'll be allowed to immigrate to the U.S. for the next three months. I'm Margaret Howe reporting for Infowars.com.
[31:24.480 --> 31:35.480]  Remember, it discounts on the amazing products and free shipping when you sign up for auto-ship and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[31:35.480 --> 31:41.480]  Another win-win. That's why I'm a member of the young Jebedy team at InfowarsTeam.com and you can be too.
[31:41.480 --> 31:47.480]  It's simple. Just go to InfowarsTeam.com today. Complete a short sign up and you're part of the team.
[31:47.480 --> 31:56.480]  Go to InfowarsTeam.com or InfowarsHealth.com. So many people call into my radio show and tell me how young Jebedy and the products at InfowarsTeam.com have changed their lives.
[31:56.480 --> 32:18.480]  Check it out for yourself today.
[32:27.480 --> 32:37.480]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[32:37.480 --> 32:42.480]  Perfect for cabins, remote locations, any time you need to get off the grid for a while.
[32:42.480 --> 32:47.480]  Go to privatepowergrid.com to watch this thing in action. That's privatepowergrid.com.
[32:47.480 --> 32:55.480]  Even better, use coupon code private at checkout and get a second PPX Energy Unit for free. Check it out at privatepowergrid.com.
[32:55.480 --> 33:00.480]  That's privatepowergrid.com.
[33:25.480 --> 33:35.480]  It's Alex Jones.
[33:35.480 --> 33:47.480]  What's California up to? Hmm, might have heard of this before. Now it's official. They want us to cede. MSHIM's reporting it like it's completely normal.
[33:47.480 --> 33:54.480]  What the fact is, there could be retaliation by others. Same, we're going to cut you off if you cut us off.
[33:54.480 --> 34:02.480]  The World Trade Center in downtown Los Angeles alone has helped attract more than a billion dollars of foreign investments into LA County businesses.
[34:02.480 --> 34:14.480]  But President Trump's executive order imposing travel bans on seven majority Muslim countries that have sparked nationwide protests and outrage may have unintended consequences on our local economy.
[34:14.480 --> 34:30.480]  NAFTA negotiator and former U.S. Trade Representative and Secretary of Commerce Mickey Canner says he is deeply troubled by the ripple effect and anxiety the travel ban may cause to our local businesses that extends beyond the seven banned countries.
[34:30.480 --> 34:43.480]  We are a global city in Los Angeles and our international trade really drives this economy. If we can't travel freely and if there are restrictions that are limited on our travelers and our businesses, this again can have dire consequences.
[34:43.480 --> 34:57.480]  Stephen Chung, president of the World Trade Center in Los Angeles, also worries the money that freely flows from international investors could slow and we could be subject to increased tariffs and immigration and travel bans as well.
[34:57.480 --> 35:05.480]  He says if there's fear of travel restrictions, many investors won't be willing to take the risk to invest here.
[35:05.480 --> 35:15.480]  And the report is up on drudgereport.com. You can read the full report where they talk about basically becoming a sanctuary state. Let's talk facts.
[35:15.480 --> 35:30.480]  Globalism was sold as free open trade and free movement of people that aren't criminals or terrorists. Instead they've been bringing in criminals, terrorists, you name it, but more importantly, bringing people in and then declaring culture war with people that aren't white.
[35:30.480 --> 35:40.480]  So flipping it, getting white people to go along with the idea of being a multicultural civilization and not being race based as every other group is race based.
[35:40.480 --> 35:49.480]  Chinese don't let big groups of outsiders come in. Japanese don't let you do that. Nigerians in Africa don't let you do that. You try to go to Muslim countries, they don't let you do that.
[35:49.480 --> 36:00.480]  Even if you're a Muslim, a bunch of you move in from another country, they'll kill you. They'll blow you up. They'll throw you out. That's tribalism. That's territorialism. Try to stick your hand in the beehive. They're going to sting you.
[36:00.480 --> 36:15.480]  But we were taught, get rid of your territorialism because we're Christians. That's what unifies us. So that's our ethos. Never fully realized, but in the West, creating the greatest open free societies ever because of that operating system.
[36:15.480 --> 36:24.480]  And the globalists have been using that against us. Oh, sure. Let's build up the third world. Yeah, let's develop them. Let's share the world's wealth and come together. And let's do all this.
[36:24.480 --> 36:34.480]  And then meanwhile, they teach in the high schools and colleges, all whites are bad or inherently evil, must be gotten rid of. Whites must be suppressed. They must be disenfranchised.
[36:34.480 --> 36:41.480]  They must have everything they have taken away. Give us your houses. Give us your cars. Give us your children.
[36:41.480 --> 36:50.480]  There's a new clip that I forgot to tell the crew about. It's up on infowars.com in a Paul Watson video where Black Lives Matter says it's time to start killing whites.
[36:50.480 --> 37:00.480]  And says, quote, give us your cars. Give us your houses. This is a person with a bullhorn leading the group.
[37:00.480 --> 37:12.480]  Give us your house, your property. We need it. We need it. Reparate Black and Indigenous people right now.
[37:12.480 --> 37:19.480]  I'm going to go back to this in a minute. Where have I heard this from? The Vikings pulling up? You know, give us everything? Or an African tribe raiding the next tribe?
[37:19.480 --> 37:26.480]  Give us all your stuff for Hitler invading countries in Europe? Or the communists taking over countries? I mean, I've heard this before.
[37:26.480 --> 37:38.480]  A real genius, arrogant, full of herself, totally racist, but believing only white people can be bad. So she's like, give us your cars. Give us your homes. Give us everything.
[37:38.480 --> 37:52.480]  And by the way, it's time you start dying. I mean, this is one of the stupidest, dumbest, just racist idiots.
[37:52.480 --> 37:59.480]  But it's, oh, how beautiful, how sweet. Here, here's some Apple funding. Here's some Facebook funding.
[37:59.480 --> 38:09.480]  Here's some more globalist funding so we can just bring people in and then mix them all together in a big confused mess, a tower of babble, which the globalists can then control.
[38:09.480 --> 38:18.480]  So there's your problem. And teach total dependency. I saw three articles yesterday in mainstream news about, don't use the word mother and father.
[38:18.480 --> 38:25.480]  So it's gone from three years ago, four years ago, being recommended at universities and being laughed at as academic kookiness. No, it's not academic kookiness.
[38:25.480 --> 38:31.480]  It's a plan to officially, in medical facilities, do not say expectant mothers in paperwork.
[38:31.480 --> 38:41.480]  A tranny might come in to your gynecology department, even though she has a penis and might be hurt. Hey, here's the deal. You can be a tranny. I don't hate you.
[38:41.480 --> 38:50.480]  The point is, don't hate women. Let them have what they have. They're uterus. They're ovaries. No, but see, this is a dominance. This is a takeover. This is a exploitation.
[38:50.480 --> 39:00.480]  Now, the Alberta schools are saying, don't use it. It is really, really expanding. Don't say mother and father.
[39:00.480 --> 39:09.480]  And they're doing it and they're teaching your kids and they're coming in and telling your five-year-old or six-year-old daughter or son about all these other sexual ideas
[39:09.480 --> 39:14.480]  and all these other sexual systems.
[39:14.480 --> 39:21.480]  Imagine if, like, the scientists are trying to teach the male puppy at seven weeks how to not be a male.
[39:21.480 --> 39:26.480]  You'd be like, they're trying to screw up its life force. They're trying to kill that species.
[39:26.480 --> 39:33.480]  That's what you do with fire ants or screw worms or whatever group you're trying to eradicate as you target their reproduction.
