[00:00:09.150 --> 00:00:13.339]  All right.
[00:05:52.373 --> 00:05:54.414]  Continue to fund the second American revolution.
[00:05:54.574 --> 00:05:57.555]  We're getting great products at the same time at InfoWareStore.com.
[00:05:57.555 --> 00:06:00.275]  Thank you.
[00:06:00.275 --> 00:06:06.237]  If you are receiving this transmission, you are the resistance.
[00:06:21.684 --> 00:06:30.609]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:30.609 --> 00:06:40.815]  My friends, my fellow Americans, my fellow humans watching me on this December 11th global transmission.
[00:06:40.815 --> 00:06:47.098]  I am here, literally, just a tenth of a mile from the Capitol.
[00:06:47.098 --> 00:06:49.700]  And later, when the sun pans around,
[00:06:51.355 --> 00:06:57.058]  Let's see the Capitol and the stage where they're building the second inaugural platform.
[00:06:57.058 --> 00:07:14.128]  We're going to have Owen Schroer give you a tour of that live on air, start in the next hour, and talk about how serious this is as they try to ensconce and install as Nancy Pelosi, install and ensconce their operative, Nancy Pelosi.
[00:07:14.128 --> 00:07:17.610]  And so that's coming up next hour.
[00:07:18.916 --> 00:07:25.557]  But I have some extremely important news and information for you guys.
[00:07:25.557 --> 00:07:33.559]  That is the biggest news I have ever reported in the history of this transmission.
[00:07:33.559 --> 00:07:37.980]  And there's a lot going on out here where I'm at.
[00:07:37.980 --> 00:07:42.580]  And I'm going to air something here in a moment that Tucker Carlson had to say.
[00:07:42.580 --> 00:07:45.761]  And then when I come back, I'm going to deliver
[00:07:46.940 --> 00:07:59.049]  This information to you, but I want you to call all your friends, all your family, all your neighbors, and tell them, tune into that local radio station you're able to listen to us on, or tune into that local TV station or cable station.
[00:07:59.049 --> 00:08:02.632]  This is life and frickin' death, and folks have figured out now.
[00:08:03.817 --> 00:08:05.217]  We do our research.
[00:08:05.217 --> 00:08:06.438]  We know what we're talking about.
[00:08:06.438 --> 00:08:08.618]  That's why we are the enemy of the globalists.
[00:08:08.618 --> 00:08:09.679]  That's why they hate us.
[00:08:09.679 --> 00:08:16.941]  That's why I'm number two on the hit list after Trump, according to Trump's lawyers that have told me that directly.
[00:08:16.941 --> 00:08:19.621]  This is Trump's personal lawyer.
[00:08:19.621 --> 00:08:20.382]  Personal lawyer.
[00:08:20.382 --> 00:08:21.582]  I'm not going to say names.
[00:08:21.582 --> 00:08:22.882]  People know who they are.
[00:08:22.882 --> 00:08:24.443]  Only three of them.
[00:08:24.443 --> 00:08:27.624]  You have to understand, this is a communist globalist takeover.
[00:08:27.624 --> 00:08:31.805]  So when I tell you this information, when we come back at the start of the next segment,
[00:08:33.234 --> 00:08:37.918]  This is life and death to every single one of you out there.
[00:08:37.918 --> 00:08:39.199]  And yes, I'm building this up.
[00:08:39.199 --> 00:08:40.160]  I never build stuff up.
[00:08:40.160 --> 00:08:41.280]  I just go right to the news.
[00:08:41.280 --> 00:08:46.665]  But I want everyone, out of all the important stuff we cover, those are just pieces of the jigsaw puzzle.
[00:08:46.665 --> 00:08:57.293]  The jigsaw puzzle is now completely confirmed from every angle, and the PSYOP, and why they did it, and what's unfolding.
[00:08:57.293 --> 00:09:00.456]  But I will explain the big picture and all of it on the other side.
[00:09:01.715 --> 00:09:03.416]  But I want you to understand something.
[00:09:03.416 --> 00:09:07.679]  The globalists are doing this out of desperation.
[00:09:07.679 --> 00:09:10.882]  Imagine if Hitler was losing World War II, but he had nuclear weapons.
[00:09:10.882 --> 00:09:18.027]  He would have used those, obviously, on himself or others, even though he knew it wouldn't save him, just to be destructive.
[00:09:18.027 --> 00:09:21.289]  The globalists are doing that with COVID-19.
[00:09:21.289 --> 00:09:25.512]  And now I've had a chance to read, because they finally published what's in the vaccines.
[00:09:25.512 --> 00:09:29.555]  They kept it secret until they finally approved three of the vaccines.
[00:09:31.331 --> 00:09:34.293]  In the UK and one in Australia.
[00:09:34.293 --> 00:09:36.915]  And ladies and gentlemen, these are not vaccines.
[00:09:36.915 --> 00:09:38.236]  I just call them vaccines.
[00:09:38.236 --> 00:09:40.117]  Okay?
[00:09:40.117 --> 00:09:46.302]  It'd be like if I came up shot in the head with a 12-gauge shotgun and I said that I'd, you know, give you a kiss on the cheek.
[00:09:46.302 --> 00:09:58.710]  In a regular... In a regular... Situation... Like just getting a regular vaccine is a kiss on the cheek.
[00:09:58.710 --> 00:10:00.672]  You know, it's got all those myriad problems and things.
[00:10:01.684 --> 00:10:12.793]  This new vaccine is the equivalent of calling a kiss on the cheek, then shot in the head with a 12-gauge shotgun at point blank range, blowing your head completely off, splattering your brains all over the wall.
[00:10:12.793 --> 00:10:13.994]  This is not a vaccine.
[00:10:13.994 --> 00:10:15.236]  They finally had to make their move.
[00:10:15.236 --> 00:10:21.080]  They're making their move with mass death, and they confirmed
[00:10:21.960 --> 00:10:34.009]  What we already knew and what the media sat there and basically tried to spin and ignore and what they call conspiracy theories the whole time.
[00:10:34.009 --> 00:10:43.676]  So we're going to air a few minutes of what Tucker Carlson said last night where he says, you know, are these globalists, these Biden's Chinese agents, are they criminals?
[00:10:43.676 --> 00:10:45.957]  There's evidence of perhaps they're being crimed.
[00:10:45.957 --> 00:10:49.140]  That's like saying there's evidence that maybe I'm wearing a black vest.
[00:10:49.600 --> 00:10:51.762]  Or maybe there's evidence I'm on the radio and TV right now.
[00:10:51.762 --> 00:10:55.286]  Or maybe there's evidence this is a dark grey table.
[00:10:55.286 --> 00:10:57.188]  I mean, no, it's a fact.
[00:10:57.188 --> 00:11:00.351]  And that's why the globalists want Biden in, because he's so compromised.
[00:11:00.351 --> 00:11:03.334]  So the good news is the criminal investigations are now out in the open.
[00:11:03.334 --> 00:11:04.355]  We told you about them months ago.
[00:11:04.355 --> 00:11:05.576]  The media blacked it out.
[00:11:05.576 --> 00:11:06.577]  Twitter called it fake news.
[00:11:06.577 --> 00:11:11.042]  We talked about the laptop and the Southern District of New York criminal investigations into the Bidens.
[00:11:11.042 --> 00:11:12.263]  But the Bidens, the brother,
[00:11:13.084 --> 00:11:15.186]  All of them are a bunch of criminals, not just the son.
[00:11:15.186 --> 00:11:25.337]  Biden, his brother, his disgusting pedophile son, who's naked, posing in like victory trophy shots with his 12-year-old niece with his penis hanging out.
[00:11:25.337 --> 00:11:27.480]  I mean, you know, that's who these people are.
[00:11:27.480 --> 00:11:28.581]  That's all confirmed.
[00:11:28.581 --> 00:11:32.004]  The Bidens are a family of perverts and pedophiles, ladies and gentlemen.
[00:11:32.705 --> 00:11:35.086]  And my God, we even got his sister's diary.
[00:11:35.086 --> 00:11:36.387]  That's confirmed to be real.
[00:11:36.387 --> 00:11:39.149]  About, you know, her dad raping the hell out of her.
[00:11:39.149 --> 00:11:42.571]  So, that's who these are, is pervert devil worshipers.
[00:11:42.571 --> 00:11:43.472]  Okay?
[00:11:43.472 --> 00:11:45.673]  Now, what would pervert devil worshipers want to do?
[00:11:45.673 --> 00:11:47.294]  They like to kill people for their God.
[00:11:48.305 --> 00:11:51.526]  That's why every culture gets taken over by the same cult, the same spirit.
[00:11:51.526 --> 00:11:54.387]  Happened to the ancient Europeans, the ancient Mesoamericans.
[00:11:54.387 --> 00:11:56.087]  It happened all over the world.
[00:11:56.087 --> 00:11:58.768]  These evil cults take over and start sacrificing humans.
[00:11:58.768 --> 00:11:59.788]  Children, namely.
[00:11:59.788 --> 00:12:02.449]  Read the Bible about giving out your children to the fires of Bullock.
[00:12:02.449 --> 00:12:07.691]  But now they're going to publicly give you a vaccine, and I'll tell you what's in it.
[00:12:08.749 --> 00:12:11.171]  Now confirmed, now admitted when we come back.
[00:12:11.171 --> 00:12:13.032]  Here's a few minutes with Tucker Carlson.
[00:12:13.032 --> 00:12:17.975]  The full interview is up at InfoWars.com and NewsWars.com at Bandai Video.
[00:12:17.975 --> 00:12:20.137]  We're live from D.C., Owen Troyer next hour.
[00:12:20.137 --> 00:12:21.698]  Again, it's going to be right down there.
[00:12:21.698 --> 00:12:22.558]  We'll show you.
[00:12:22.558 --> 00:12:28.623]  He's going to be Skyping in in front of the stage to try to put their, you know, coronate their new Lordship Biden.
[00:12:28.623 --> 00:12:31.364]  But that's going to get stopped because we're going to get the word out.
[00:12:31.364 --> 00:12:32.465]  We're going to stop these criminals.
[00:12:32.465 --> 00:12:33.566]  But they're going for broke.
[00:12:33.566 --> 00:12:35.007]  We'll go to break with Tucker Carlson.
[00:12:35.618 --> 00:12:36.718]  October surprise!
[00:12:36.718 --> 00:12:38.039]  You've heard that term.
[00:12:38.039 --> 00:12:43.761]  It's political slang for a damaging news story that appears in the final days of a campaign.
[00:12:43.761 --> 00:12:44.881]  This year we had one.
[00:12:44.881 --> 00:12:47.922]  One of the biggest October surprises ever.
[00:12:47.922 --> 00:13:02.307]  The New York Post, that's the oldest daily newspaper in this country, published a trove of documents showing that members of Joe Biden's family have been selling access to the former Vice President to a number of foreign governments, including the Communist government of China.
[00:13:02.307 --> 00:13:03.628]  Now that's a blockbuster.
[00:13:04.855 --> 00:13:08.319]  But the rest of the media decided to kill it before you could read it.
[00:13:08.319 --> 00:13:13.123]  Social media companies banned their users from sharing the New York Post's reporting.
[00:13:13.123 --> 00:13:16.006]  Other news organizations simply ignored it.
[00:13:16.006 --> 00:13:26.817]  On October 22nd, that was 11 days before the presidential election, National Public Radio, an organization that is literally state media, funded against your will by your tax dollars,
[00:13:27.578 --> 00:13:30.260]  issued the following statement through its public editor.
[00:13:30.260 --> 00:13:34.924]  NPR explained that they would not say anything negative about the Bidens, and here's why.
[00:13:34.924 --> 00:13:35.364]  Quote, End quote.
[00:13:35.364 --> 00:13:39.927]  Now you're probably thinking, that is the single dumbest, most dishonest, high-handed, infuriatingly arrogant thing I have ever heard.
[00:13:55.933 --> 00:13:59.715]  But if you feel that way, obviously you don't watch CNN.
[00:13:59.715 --> 00:14:09.041]  On that same day, October 22nd, an RNC spokeswoman called Liz Harrington made the mistake of submitting to an interview with Christiane Amanpour.
[00:14:09.041 --> 00:14:12.203]  Harrington had hoped to talk about the Biden's business deals.
[00:14:12.203 --> 00:14:17.587]  Amanpour is, and we're quoting here, CNN's chief international anchor.
[00:14:17.587 --> 00:14:18.187]  Here's how it went.
[00:14:19.850 --> 00:14:24.473]  As you know perfectly well, I'm a journalist and a reporter and I follow the facts.
[00:14:24.473 --> 00:14:27.756]  And there has never been any issues in terms of corruption.
[00:14:27.756 --> 00:14:29.277]  Now let me ask you this.
[00:14:29.277 --> 00:14:31.358]  Yesterday, the FBI... Wait, wait, wait!
[00:14:31.358 --> 00:14:33.360]  How do you know that?
[00:14:34.212 --> 00:14:37.736]  I'm talking about reporting and any evidence.
[00:14:37.736 --> 00:14:38.697]  I'm talking to you now.
[00:14:38.697 --> 00:14:43.223]  Okay, I would love if you guys would start doing that digging and start doing that verification.
[00:14:43.223 --> 00:14:45.285]  No, we're not going to do your work for you.
[00:14:45.285 --> 00:14:47.087]  I want to ask you a question.
[00:14:47.087 --> 00:14:49.791]  It's a journalist's job.
[00:14:49.791 --> 00:14:53.155]  It's a journalist's job to find out if this is verified.
[00:14:54.764 --> 00:15:03.548]  As you know perfectly well, I am a journalist and a reporter, says Christiane Amanpour, who of course is neither of those things, and never has been.
[00:15:03.548 --> 00:15:10.091]  Christiane Amanpour is a celebrity script reader, a half-wit, whose self-esteem far outpaces her accomplishments.
[00:15:10.811 --> 00:15:16.233]  She is also, it turns out, the personal flack for the Biden Family International Finance Corporation.
[00:15:16.233 --> 00:15:19.014]  That's not in her Twitter bio, but it's pretty obvious.
[00:15:19.014 --> 00:15:27.458]  There have never been any issues of corruption with the Bidens, Amanpour announced, as if she hadn't just been confronted with some.
[00:15:27.458 --> 00:15:32.960]  And so it went, just like that, across the entire American news media until the presidential election.
[00:15:32.960 --> 00:15:38.022]  Now, six weeks later, it is finally safe to speak freely, and so the truth is coming out.
[00:15:39.286 --> 00:15:44.973]  We now know the New York Post was right all along, and so was poor Liz Harrington of the RNC.
[00:15:44.973 --> 00:15:56.868]  Yesterday, millions of Americans learned, some for the very first time, that the Biden family has indeed been deeply enmeshed in a series of sleazy international business deals that undercut America's core interests.
[00:15:57.328 --> 00:16:01.010]  Three months ago we sold out of our privacy pouches.
[00:16:01.010 --> 00:16:11.994]  The reason we sold out is they are super high quality and it's all over the news that the UN and the Clintons and Microsoft and others of contact tracers are tracking everywhere you go and everything you do.
[00:16:11.994 --> 00:16:16.976]  They admit it's a cover for bringing in their cashless society AI system of total control.
[00:16:16.976 --> 00:16:22.118]  So to block the UN, to block the globals, to get in the habit of realizing what a surveillance system phones are,
[00:16:22.598 --> 00:16:24.399]  Everybody needs a privacy pocket.
[00:16:24.399 --> 00:16:28.082]  They've got almost all sizes of droids and iPhones, from small to big.
[00:16:28.082 --> 00:16:32.525]  They also make a great gift to educate friends and family about what's going on.
[00:16:32.525 --> 00:16:35.507]  Now again, there's lots of privacy pocket type systems out there.
[00:16:35.507 --> 00:16:37.189]  Most of them are about 90% effective.
[00:16:37.189 --> 00:16:42.312]  We found a model that's actually pretty inexpensive and has around 99% effectiveness.
[00:16:42.312 --> 00:16:45.555]  If you're right under a cell tower, it'll still blast through the Faraday cage.
[00:16:46.155 --> 00:16:48.196]  They're at Infowarsstore.com at $19.95.
[00:16:48.196 --> 00:16:51.658]  This exact same system is sold everywhere else for $29.
[00:16:51.658 --> 00:16:52.838]  It's still a great deal.
[00:16:52.838 --> 00:16:53.639]  We sell a lot of these.
[00:16:53.639 --> 00:16:54.459]  We have the best price.
[00:16:54.459 --> 00:16:56.540]  It is a great Christmas gift at Infowarsstore.com.
[00:16:57.918 --> 00:16:58.339]  The U.S.
[00:16:58.339 --> 00:17:08.690]  Postal Service tells InfoWars that as long as you get your order in by December 18th and we're able to ship it out by that date, you will get it to anywhere in the United States before Christmas.
[00:17:08.690 --> 00:17:09.831]  But listen, don't wait.
[00:17:09.831 --> 00:17:12.173]  Do your shopping at InfoWarsStore.com.
[00:17:12.173 --> 00:17:15.217]  Get great products and fund the InfoWars.
[00:17:15.217 --> 00:17:18.981]  Now at the most critical time, not just in InfoWars history, but this country's history.
[00:17:19.381 --> 00:17:21.223]  You have invested in InfoWars.
[00:17:21.223 --> 00:17:29.990]  You've prayed for us, you've spread the word, you've bought the products, and you've gotten the benefits of the information warfare, of the truth, in the fight against the globalists.
[00:17:29.990 --> 00:17:38.496]  But now is the time to redouble all our efforts in praying for a Great Awakening, which is starting to happen, in spreading the word about InfoWars.com, NewsWars.com,
[00:17:39.497 --> 00:17:41.238]  You're listening to the Alex Jones Show!
[00:18:18.018 --> 00:18:26.024]  No music from a famous 1980s horror film, Halloween, can illustrate the true nightmare danger we're facing.
[00:18:26.024 --> 00:18:34.710]  And the type of psychological attack this is, not just biological attack, it's a multi-pronged, multi-layered tensor attack.
[00:18:34.710 --> 00:18:41.395]  And I'm going to explain the mechanics of this, because no one else has done this research other than the globalists themselves.
[00:18:41.395 --> 00:18:43.336]  We reverse-engineered it next segment.
[00:18:43.336 --> 00:18:46.979]  But right now, I'm going to give you the big story, hiding in plain view.
[00:18:47.793 --> 00:18:53.357]  We're going to unpack this and walk through the history of it and confirm this, okay?
[00:18:53.357 --> 00:18:58.061]  Here is the Sydney Morning Herald.
[00:18:58.061 --> 00:19:05.027]  That is arguably the most respected newspaper in Australia.
[00:19:05.027 --> 00:19:05.687]  But that doesn't matter.
[00:19:05.687 --> 00:19:14.914]  The government just came out and halted their mRNA vaccine because when you take it,
[00:19:15.796 --> 00:19:18.699]  You then test positive for HIV.
[00:19:18.699 --> 00:19:20.780]  Did you hear what I just said?
[00:19:20.780 --> 00:19:26.886]  You test positive for HIV.
[00:19:26.886 --> 00:19:29.088]  Now I don't just believe the mainstream media.
[00:19:29.088 --> 00:19:38.436]  We have the CRISPR's gene editing electron microscopes from dozens of major universities that scan the virus
[00:19:39.668 --> 00:19:53.395]  in January and in February and said it's five viruses sliced into a standard coronavirus with an HIV delivery system.
[00:19:53.395 --> 00:19:56.456]  P-Shuttle genes welded in.
[00:19:56.456 --> 00:19:58.277]  It's sliced in.
[00:19:58.277 --> 00:19:59.478]  Microscopic surgery.
[00:19:59.478 --> 00:20:02.399]  It's blasted in with a gene gun.
[00:20:02.399 --> 00:20:03.580]  Okay?
[00:20:03.580 --> 00:20:05.721]  Got the scars like Frankenstein or your wife's got a
[00:20:07.349 --> 00:20:07.909]  Boob job.
[00:20:07.909 --> 00:20:09.509]  You know, she's got scars.
[00:20:09.509 --> 00:20:12.310]  It's got the gene insertion points on it.
[00:20:12.310 --> 00:20:13.010]  They know what it is.
[00:20:13.010 --> 00:20:14.070]  Like, oh, that's a 57 Chevy.
[00:20:14.070 --> 00:20:16.191]  It's got big red fins on it.
[00:20:16.191 --> 00:20:17.371]  Marilyn Monroe gets out of it.
[00:20:17.371 --> 00:20:18.371]  You know, her dress blows.
[00:20:18.371 --> 00:20:19.471]  That's Marilyn Monroe.
[00:20:19.471 --> 00:20:21.771]  This is HIV.
[00:20:21.771 --> 00:20:24.512]  And now they're unpacking the other four viruses in it.
[00:20:24.512 --> 00:20:26.512]  And oh, yeah.
[00:20:26.512 --> 00:20:35.134]  Lawsuits were filed in the EU by the European Advisory Commission itself, saying that this will attack your immune system and shut the thing off.
[00:20:35.134 --> 00:20:36.454]  What's age do, baby?
[00:20:38.072 --> 00:20:39.953]  It's when your immune system is shut off.
[00:20:39.953 --> 00:20:44.036]  I'm going to tell you, this is AIDS 2.0.
[00:20:44.036 --> 00:20:54.702]  Oh, and let me tell you another little secret about the HIV insertion delivery point.
[00:20:54.702 --> 00:21:00.266]  Dark skin in basic genetics and dark hair is the dominant gene.
[00:21:01.823 --> 00:21:04.764]  And it has a different type of receptor point.
[00:21:04.764 --> 00:21:09.585]  White people can die of HIV, but they've got to have already shut down immune systems.
[00:21:09.585 --> 00:21:20.468]  It's designed to target people with melanin in their skin, because the cells have different insertion points, and that's a known fact for 30 plus years about HIV.
[00:21:20.468 --> 00:21:28.911]  This is a 100% bioweapon to kill black people and brown people, and it is now completely confirmed.
[00:21:29.741 --> 00:21:37.766]  That's why you hear all day long from Michael Moore how cops are killing all the black people when it's the rarest way a black person dies.
[00:21:37.766 --> 00:21:41.628]  It's why you hear how much the Bill and Melinda Gates Foundation loves black people.
[00:21:41.628 --> 00:21:43.789]  And I'm going to say love Indians.
[00:21:43.789 --> 00:21:48.872]  And how they want to be your guardian and protect you and they want you to get the shot first.
[00:21:48.872 --> 00:21:53.555]  Because the real Nazis, ladies and gentlemen, don't dress up in stupid white
[00:21:54.375 --> 00:21:54.995]  Sheets.
[00:21:54.995 --> 00:22:00.757]  They're loving liberals that tell you about Black History Month and tell you how whites are all out to get you.
[00:22:00.757 --> 00:22:07.299]  So that they can make everybody racist and fight each other while the globalists come and get everybody.
[00:22:07.299 --> 00:22:10.521]  And by the way, they're coming after white people too.
[00:22:10.521 --> 00:22:22.745]  But it is a fact that the HIV delivery system is hundreds of times more effective penetrating people of color's cell membranes.
[00:22:23.683 --> 00:22:24.744]  And replicating.
[00:22:24.744 --> 00:22:27.165]  That's a scientific fact known since the 80s.
[00:22:27.165 --> 00:22:29.066]  Irrefutable.
[00:22:29.066 --> 00:22:30.586]  This is a virus.
[00:22:30.586 --> 00:22:32.287]  That is engineered at Wuhan.
[00:22:32.287 --> 00:22:34.648]  That has been released, probably on purpose.
[00:22:34.648 --> 00:22:36.790]  But we know Bill and Melinda Gates funded it with Fauci.
[00:22:36.790 --> 00:22:37.990]  They ran the damn program.
[00:22:37.990 --> 00:22:41.372]  That's Time, Newsweek, Reuters, AP, New Scientist.
[00:22:41.372 --> 00:22:42.552]  This is all facts!
[00:22:42.552 --> 00:22:45.374]  You're a lister and you're like, yeah, we've heard this a thousand times, Jones, but now!
[00:22:47.148 --> 00:22:50.071]  I never even, I remember actually I did bring this up like eight months ago.
[00:22:50.071 --> 00:22:55.837]  I said what's going to happen when people take this and they come up positive even in a regular vaccine?
[00:22:55.837 --> 00:23:00.102]  Because that would be an attenuated dead HIV virus.
[00:23:00.102 --> 00:23:01.563]  But it could still cause problems.
[00:23:01.563 --> 00:23:04.786]  This is a new live son of a bitch!
[00:23:05.646 --> 00:23:10.167]  That goes into your cells, and the scientists are on record in these lawsuits.
[00:23:10.167 --> 00:23:17.348]  Prestigious geneticist, former chief science officer of Pfizer came out, and he said, you're crazy if you take this.
[00:23:17.348 --> 00:23:18.689]  It will destroy you.
[00:23:18.689 --> 00:23:23.830]  It turns your immune system off, or jacks it way up in a cytokine storm and kills you.
[00:23:23.830 --> 00:23:24.990]  It's genetically engineered.
[00:23:24.990 --> 00:23:32.231]  And every time these universities would come out and say this, they go, oh, now, now, that's fake news.
[00:23:32.231 --> 00:23:33.232]  But never discredit it.
[00:23:33.232 --> 00:23:34.252]  Never say it wasn't true.
[00:23:34.252 --> 00:23:35.212]  They would just say fake news.
[00:23:36.673 --> 00:23:39.075]  And now the Australian government comes out.
[00:23:39.075 --> 00:23:41.157]  Oh, and what else just happened?
[00:23:41.157 --> 00:23:45.481]  The British government's advisory board, because this is actually real scientists are going, what the hell's going on here?
[00:23:45.481 --> 00:23:46.582]  This is all big pharma.
[00:23:46.582 --> 00:23:48.684]  Remember the UN scientists last year in December?
[00:23:49.653 --> 00:24:11.818]  The head UN scientist had an emergency meeting in Switzerland, and they said, we played hours of it here, they said, our doctors are wobbly, they know vaccines are killing people, causing autoimmune disorders, causing neurological disorders, these are not helping people, we're just told by these big pharma companies and by Bill Gates what to do, and it's not even really tested, and people are fighting us, and this is terrible.
[00:24:11.818 --> 00:24:14.539]  So then this new giant hysteria and attack comes in.
[00:24:15.626 --> 00:24:17.048]  And it's a way of failing forward.
[00:24:17.048 --> 00:24:19.791]  That'll make you forget about the tens of millions lost.
