[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[10:56.000 --> 11:07.000]  West Texas County, bordering Mexico in the last three weeks,
[11:07.000 --> 11:12.000]  Mexican troops under the security and prosperity partnership,
[11:12.000 --> 11:16.000]  and that's separately mainstream news confirmed that they're training with the U.S.,
[11:16.000 --> 11:28.000]  went in and set up an ambush with the U.S. Army and Border Patrol for a particular cartel bringing drugs in on the U.S. side over a half mile in.
[11:28.000 --> 11:31.000]  The U.S. forces waited on the other side of the hill.
[11:31.000 --> 11:38.000]  The Mexican drug dealers came in and the Mexican troops wiped them all out and killed them.
[11:38.000 --> 11:50.000]  And there have been a bunch of these events, and that's why I can't tell you the specific county because then that will identify the units.
[11:50.000 --> 11:57.000]  But you need to understand there is a full bore war going on.
[11:57.000 --> 11:59.000]  Now, let's go back many years ago.
[11:59.000 --> 12:02.000]  I've been telling you the last six years because I have the sheriff's on.
[12:02.000 --> 12:08.000]  South Texas, West Texas towns are collapsing. It is blood in the streets.
[12:08.000 --> 12:21.000]  Former high-level DEA agent, Selicastillo, four and a half years ago here said that Los Zetas was being trained by the U.S. military with Mexican troops and that it's a drug war.
[12:21.000 --> 12:31.000]  You've got the U.S. banks and the Mexican government knocking out cartels that aren't laundering their money through them and that are shipping cocaine, heroin, and marijuana in that aren't laundering it.
[12:31.000 --> 12:35.000]  It's just what Afghanistan is. We're there, and Reuters even reported.
[12:35.000 --> 12:39.000]  The Russians said, let's spray the poppy fields two weeks ago, and NATO in the U.S. said no.
[12:39.000 --> 12:43.000]  And there's more than 12 times what there was 10 years ago now coming in.
[12:43.000 --> 12:47.000]  Over 90% of world opium production is now in Afghanistan.
[12:47.000 --> 12:54.000]  It was down to less than 20% before 9-11.
[12:54.000 --> 13:03.000]  And so all this is, Mexico is collapsing because you have drug prohibition, and so that makes the price high.
[13:03.000 --> 13:15.000]  And you've got real drug dealers who aren't government run, who are in there together, working together, attacking Mexican forces, Mexican federal forces, and others.
[13:15.000 --> 13:24.000]  And we had a state senator actually on last year, Burgess.
[13:24.000 --> 13:28.000]  You can go pull up that Republican senator, just go to YouTube, Alex Jones, Burgess.
[13:28.000 --> 13:30.000]  What's his first name? Michael Burgess.
[13:30.000 --> 13:36.000]  And he said, yes, secretly martial law has been declared on the border.
[13:36.000 --> 13:40.000]  This was over a year ago now. This was in early 2009.
[13:40.000 --> 13:43.000]  And he said there's secret military operations.
[13:43.000 --> 13:49.000]  In December, that came out in the Dallas Morning News and San Antonio Express News in Houston Chronicle.
[13:49.000 --> 13:55.000]  It's a martial law situation in Arizona and Texas, not in New Mexico or California.
[13:55.000 --> 13:58.000]  Martial law has been declared on the border.
[13:58.000 --> 14:07.000]  And they are engaged in military operations down there, killing, allowing Mexican troops.
[14:07.000 --> 14:20.000]  Talk about a precedent. And I remember when Judicial Watch in 2007 sued to get the secret treaty between Vicente Fox, George Bush, and Martin of Canada.
[14:20.000 --> 14:25.000]  And this is in my film end game, but it's on JudicialWatch.org's website if you want to read it.
[14:25.000 --> 14:32.000]  And they said, we'll use security threats, flu threats, and financial threats as a way to merge Mexico, Canada, and the U.S.
[14:32.000 --> 14:38.000]  And I have right here in my hands NLE-09 FEMA exercise, national level exercise,
[14:38.000 --> 14:47.000]  saying this year the United States welcomes participation of Australia, Canada, and Mexico, the United Kingdom in, quote, taking on American terrorists.
[14:47.000 --> 14:58.000]  Now, I have a new secret FEMA document that they're threatening newspapers to remove of NLE-010 that deals with nukes going off in U.S. cities.
[14:58.000 --> 15:02.000]  Right as Obama says, the number one threat is nukes going off.
[15:02.000 --> 15:08.000]  See, the feds, the intel we've got, aren't planning to do another Oklahoma city.
[15:08.000 --> 15:16.000]  They are seriously considering to finish their revolution against the American people, the offshore banks, that want to collectivize our wealth and transfer it offshore.
[15:16.000 --> 15:23.000]  The commies of the bankers, boys, they are considering a nuke attack or two nuke attacks in the U.S.
[15:23.000 --> 15:30.000]  Now, I mean, I want you to understand something. Limbaugh is even talking about this now.
[15:30.000 --> 15:32.000]  We're going to be covering that coming up.
[15:32.000 --> 15:38.000]  So, and he represents a large echelon of the establishment, but not this offshore group.
[15:38.000 --> 15:42.000]  So you've got an internal fight inside the military, inside the media.
[15:42.000 --> 15:44.000]  I mean, look, America is about to die.
[15:44.000 --> 15:49.000]  If Obama's people can set off a nuke in the U.S., he'll be able to set up a dictatorship.
[15:49.000 --> 15:56.000]  Now, we've got Mexican troops operating inside the U.S., killing people under U.S. control.
[15:56.000 --> 16:20.000]  I mean, the treason is getting worse and worse. We'll be right back.
[16:20.000 --> 16:26.000]  The United Nations would take over America. The Tri-Lateral Commission would control the world.
[16:26.000 --> 16:34.000]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[16:34.000 --> 16:39.000]  I believe, first of all, that we now need nothing short of a world constitution for the global financial system.
[16:39.000 --> 16:42.000]  Global governance with the establishment of the G20.
[16:42.000 --> 16:48.000]  So it's going to be an inner ruling elite and then everyone else. And I got news for you. You're everyone else.
[16:48.000 --> 16:54.000]  Invisible Empire. Secure your copy today at infowars.com or prisonplanet.com.
[16:54.000 --> 17:00.000]  Or watch it online in the highest quality at prisonplanet.tv.
[17:00.000 --> 17:05.000]  Max, what did you do with the remote? Now what am I going to do?
[17:05.000 --> 17:11.000]  I guess I can go online to find a new one. Okay, here's a site, replacementremotes.com.
[17:11.000 --> 17:16.000]  Let us repair, replace any remote control. Well, I guess they can't repair this one.
[17:16.000 --> 17:23.000]  Thanks, Max. Well, they have my original remote and an exact replacement that doesn't need programming.
[17:23.000 --> 17:29.000]  Hey, Max, here's a deal. I can use the coupon code ALIX for a 5% discount.
[17:29.000 --> 17:34.000]  Replacementremotes.com has all my remotes for my TVs and accessories.
[17:34.000 --> 17:41.000]  I can order online at replacementremotes.com or call them at 336-377-2220.
[17:41.000 --> 17:50.000]  I wonder if they sell dog toys. For all your remote control needs, visit replacementremotes.com at 336-377-2220.
[17:50.000 --> 18:00.000]  Replacementremotes.com. Replacementremotes.com. If you need a remote control, replacementremotes.com.
[18:00.000 --> 18:06.000]  One major world crisis away from having a totalitarian type of system.
[18:06.000 --> 18:09.000]  The main event is the wholesale destruction of the world.
[18:09.000 --> 18:13.000]  Every nation on the globe to identify and number all of its citizens.
[18:13.000 --> 18:18.000]  Friends, I hope that you will order Shadow Government from infowars.com.
[18:18.000 --> 18:21.000]  We also have some specials when you get some of our other films.
[18:21.000 --> 18:23.000]  Half price when you order Shadow Government.
[18:23.000 --> 18:26.000]  A new level in production quality and in information.
[18:26.000 --> 18:34.000]  It exposes how a casual society surveillance beast grid of total control is being put into place.
[18:34.000 --> 18:43.000]  This film needs to be seen, everybody needs to get it, so order yours today, show it to your friends, your family, your church, your neighbors, your boss, your employees.
[18:43.000 --> 18:49.000]  Shadow Government, ladies and gentlemen, get your copy at infowars.com today. Shadow Government.
[18:49.000 --> 18:51.000]  It gives big brother a black eye.
[18:51.000 --> 19:00.000]  Available at infowars.com or by calling toll-free 888-253-3139.
[19:00.000 --> 19:03.000]  Hello, this is Alex Jones with some important questions.
[19:03.000 --> 19:09.000]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[19:09.000 --> 19:14.000]  My answer would be all I can get in the battle for freedom and the lives of your loved ones.
[19:14.000 --> 19:18.000]  Food is your only ammunition. How much do you want? When do you want it?
[19:18.000 --> 19:21.000]  Now or after the battle starts. When will you need it?
[19:21.000 --> 19:26.000]  Can you buy it without proper identification? Will there be any food? Will it make your children sick?
[19:26.000 --> 19:31.000]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[19:31.000 --> 19:35.000]  You wipe out all these problems if you have a good food supply.
[19:35.000 --> 19:39.000]  Food is your ammunition to fight for your freedom and your life.
[19:39.000 --> 19:43.000]  How much will you need? We don't know. How much do you want? All you can get.
[19:43.000 --> 19:47.000]  I'm Alex Jones. I want all of you good guys to live to fight another day.
[19:47.000 --> 19:55.000]  Call 1-800-409-5633 or check it out on the web at eFoodsDirect.com.
[19:55.000 --> 20:01.000]  Again that number, 1-800-409-5633.
[20:01.000 --> 20:09.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:17.000 --> 20:22.000]  We are back live. All this news ties together the FEMA exercises.
[20:22.000 --> 20:29.000]  U.S. and Mexican troops in the U.S. killing drug dealers in cold blood. Completely illegal.
[20:29.000 --> 20:33.000]  Because if they can set the precedent for them, they can do it to anybody.
[20:33.000 --> 20:41.000]  This is how the British brought down China. This is how they use drug wars to undermine, take over the criminal gangs, and take over society.
[20:41.000 --> 20:50.000]  It ties in with Bill Clinton saying, I sure hope we don't have to have a terror attack in America to stop these tea parties with Wolf Blitzer.
[20:50.000 --> 20:54.000]  And Limbaugh has come out and said it's an open threat to demonize the American people.
[20:54.000 --> 20:59.000]  Michael Savage is saying they may stage a terror attack, so it's not just Alex Jones saying it.
[20:59.000 --> 21:03.000]  Let's get that clear. People are finally starting to tell the truth.
[21:03.000 --> 21:09.000]  There's open calls to shut down talk radio coming out of the White House and coming out of the U.S. Senate.
[21:09.000 --> 21:14.000]  I mean, we're in danger. There's the Cyber Security Act openly saying they may shut off the web as we know it.
[21:14.000 --> 21:22.000]  This is real. This is happening. Now, let me just cover this piece by piece because I keep mixing it all together because I've got all this incredible intel here.
[21:22.000 --> 21:34.000]  I'm going to walk through each section of it. But let me just put this out now so everything I know minus the exact county that this has been going on,
[21:34.000 --> 21:42.000]  let me just right now get this information out so I'm safe because once this is out, I don't like having this type of information.
[21:42.000 --> 21:50.000]  This is from law enforcement and military. Okay.
[21:50.000 --> 22:03.000]  This is what happens. U.S. Army and other U.S. forces go into South and West Texas border towns.
[22:03.000 --> 22:13.000]  They drive in an SUVs in plain clothes, separately air forces, helicopters land. They land in civilian clothes.
[22:13.000 --> 22:19.000]  Local law enforcement guards the U.S. helicopters. They then go stay at hotels.
[22:19.000 --> 22:26.000]  They then meet up in the field in plain clothes but with combat gear but unmarked.
[22:26.000 --> 22:38.000]  And sometimes they wear police uniforms, police special weapons and tactics uniforms and they go out on hunter killer operations killing.
[22:38.000 --> 22:43.000]  And listen, I want the Austin American statesman and the Dallas Morning News and the Houston Chronicle and others.
[22:43.000 --> 22:49.000]  This is not a joke. If you get up off your fat butts and go research this, this is going to be in the news.
[22:49.000 --> 22:54.000]  And I'll be a lot safer once it's in the news. I have to cover the facts.
[22:54.000 --> 23:17.000]  And the U.S. forces run surveillance. They have trained the Mexican Navy with Mexican Marines with helicopters to go in and basically kill anybody they want on the Texas and Arizona side.
[23:17.000 --> 23:21.000]  But the intel I've got specifically on Texas, but I'm told it's in Arizona as well.
[23:21.000 --> 23:26.000]  Now remember, you heard this three, four months ago here on air, then a month ago it came out.
[23:26.000 --> 23:32.000]  Sheriff, Mexican helicopter crosses into U.S. airspace, Mexican Navy aircraft with Marines hanging out of the doors.
[23:32.000 --> 23:37.000]  That's the monitor. It's in the San Antonio Express News, Houston Chronicle.
[23:37.000 --> 23:41.000]  Here's another one, KRGV-TV, Mexican military helicopter spotted over Texas.
[23:41.000 --> 23:45.000]  So see, this is all out there. Here is the Boston Globe.
[23:45.000 --> 23:52.000]  As Gates met with top Colombian officials, the Pentagon hosted a meeting with top military leaders of Colombia and Mexico to help foster cooperation.
[23:52.000 --> 24:01.000]  Mexican helicopter pilots are being trained in Colombia as a U.S. finance training center while the United States is also facilitating training of Peruvian Marines in Colombia.
[24:01.000 --> 24:04.000]  So you can search and find pieces of this.
[24:04.000 --> 24:14.000]  But the issue is, it's illegal for an Iranian leader to pay an assassin to try to kill Obama or Bush or anybody else.
[24:14.000 --> 24:20.000]  It's also illegal when Pat Robertson calls for our government to kill Hugo Chavez.
[24:20.000 --> 24:23.000]  You can't do this. It's illegal.
[24:23.000 --> 24:25.000]  Okay, that's the law.
[24:25.000 --> 24:29.000]  And it's just as illegal for supposed people coming across the border.
[24:29.000 --> 24:34.000]  You know, I'm for shutting the border down and deporting people and prosecuting companies that hire illegals.
[24:34.000 --> 24:38.000]  Nobody's stronger on this than me, but this is separate.
[24:38.000 --> 24:51.000]  And again, when you then have the SPP, Security and Prosperity Partnership documents, you then know, just like at the Olympics in Canada a few months ago for the Winter Olympics, they had U.S. forces there.
[24:51.000 --> 24:56.000]  And you read NLE09 and NLEO10 documents from FEMA.
[24:56.000 --> 24:58.000]  This has been in the Christian Science Monitor and AP.
[24:58.000 --> 25:03.000]  I mean, I'm not just saying this. I'm going to go over these articles coming up in the next segment.
[25:03.000 --> 25:10.000]  They are saying they'll use, quote, Mexican and Canadian troops to, quote, fight American terrorists, foreign or domestic.
[25:10.000 --> 25:20.000]  So what they're doing is they're breaking the ice with the troops and the Border Patrol to work with Mexican troops and then be involved in serious felonies.
[25:20.000 --> 25:22.000]  I mean, it's illegal.
[25:22.000 --> 25:36.000]  You've got, just like we had 4,000-plus troops that died from 1959 to 1964 before we officially had combat operations in Vietnam with the Gulf of Tonkin, we lost 4,000-plus troops as, quote, advisors.
[25:36.000 --> 25:48.000]  There is a war going on in Mexico, 17,000 dead in the last year, just on the U.S.-Mexican border, 17,000-plus.
[25:48.000 --> 25:51.000]  There's a full-scale war going on.
[25:51.000 --> 25:57.000]  And I know the average person only cares about the Spurs, basketball, the Dallas Cowboys Stadium, getting demolished or whatever.
[25:57.000 --> 26:04.000]  But people, you better understand, especially living in Texas, this is dangerous for everybody.
[26:04.000 --> 26:10.000]  And the police are scared to death of the real drug cartels, and most of them work for our own government.
[26:10.000 --> 26:20.000]  And so you've got Mexican Marines, let's be clear, and Army, but in this particular case, Mexican Marines.
[26:20.000 --> 26:27.000]  Mexican Marines in the U.S. killing Mexicans coming across the border.
[26:27.000 --> 26:35.000]  Just wiping them out, killing them with U.S. helicopters and Mexican helicopters in the air, running the surveillance along with drones.
[26:35.000 --> 26:37.000]  We told you a year ago there were drones.
[26:37.000 --> 26:39.000]  Last month they admitted there's drones everywhere.
[26:39.000 --> 26:46.000]  There is a full-scale war going on now on the U.S.-Mexican border.
[26:46.000 --> 26:50.000]  And it's completely secret and illegal.
[26:50.000 --> 26:52.000]  And this is absolute.
[26:52.000 --> 26:58.000]  I mean, I got this from one source a few weeks ago, and I don't go with one source on something this big.
[26:58.000 --> 27:08.000]  And then in my lap, this falls directly from the U.S. military, directly from the U.S. military.
[27:08.000 --> 27:14.000]  Okay, this is going on, this is happening, this is illegal.
[27:14.000 --> 27:25.000]  And if it's Texas and Arizona today, it'll be Illinois, it'll be New York State tomorrow, it'll be Oregon tomorrow.
[27:25.000 --> 27:31.000]  And they've got agreements to use Mexican and U.S. troops in Canada, and Canadian and Mexican troops here,
[27:31.000 --> 27:34.000]  and U.S. and Canadian troops with Mexicans in Mexico.
[27:34.000 --> 27:36.000]  I mean, this is the North American Union.
[27:36.000 --> 27:48.000]  They said through crises, military crises, and biological crises, and economic crises, we're going to merge the security apparatus of these three nations.
[27:48.000 --> 27:54.000]  The three nations having over 430 million people in them.
[27:54.000 --> 28:01.000]  310 million in the U.S., what is it, 27 million in Canada, 25 million, and 100 million in Mexico, do the math.
[28:01.000 --> 28:04.000]  The issue here is so huge.
[28:04.000 --> 28:09.000]  And look, the big newspapers, they're getting this intel, their editors don't let them run with it.
[28:09.000 --> 28:14.000]  They're controlled.
[28:14.000 --> 28:18.000]  Remember, I told you there were thousands of deaths going on every year five, six years ago.
[28:18.000 --> 28:19.000]  I mean, how did I know that?
[28:19.000 --> 28:24.000]  There were State Department issuances, reports saying don't go to Mexico.
[28:24.000 --> 28:30.000]  I talked to one of my crew here, one of the sales guys, he went down there for his honeymoon to Cancun.
[28:30.000 --> 28:32.000]  He said it looked like an armed camp.
[28:32.000 --> 28:36.000]  He went down in the Yucatan Peninsula in southern Mexico, close to the border with Guatemala.
[28:36.000 --> 28:41.000]  Okay, okay, that's what's going on there.
[28:41.000 --> 28:50.000]  You heard it here first, when we come back, is the Pentagon and the foreign banks that run America going to stage a nuke attack in America?
[28:50.000 --> 28:52.000]  Are they going to do that?
[28:52.000 --> 28:54.000]  We will cover it on the other side.
[28:54.000 --> 28:57.000]  This information is vital to the future of this republic.
[28:57.000 --> 29:01.000]  Please stay with us, call your friends and family.
[29:01.000 --> 29:10.000]  With the implementation of Codex Alimentarius, it is clear that we must act quickly to avoid losing our freedom of choice where personal health preferences are concerned.
[29:10.000 --> 29:21.000]  As of January 1, 2010, Codex Alimentarius was implemented within the European Union, resulting in the restricted sale of many natural supplements, including colloidal silver.
[29:21.000 --> 29:27.000]  We must take immediate steps to assure a continuing supply of colloidal silver for ourselves and our families.
[29:27.000 --> 29:32.000]  Act now to acquire the means of producing this beneficial supplement in the privacy of your own home.
[29:32.000 --> 29:41.000]  Colloidal silver is a powerful antipathogenic used for more than 200 years as a natural alternative to costly drugs and their dangerous, unpredictable side effects.
[29:41.000 --> 29:51.000]  Go to www.silverlungs.com for more information on how to secure your freedom of choice by producing your own colloidal silver right from home.
[29:51.000 --> 29:57.000]  That's www.silverlungs.com.
[30:21.000 --> 30:30.000]  A perfect mix of non-hybrid seeds. They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[30:30.000 --> 30:38.000]  And here's the best part, these seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[30:38.000 --> 30:41.000]  So visit them today at www.survivalseedbank.com.
[30:41.000 --> 30:48.000]  That's www.survivalseedbank.com, or give them a call at 877-327-0365.
[30:48.000 --> 31:00.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item. This is Alex Jones for www.survivalseedbank.com.
[31:00.000 --> 31:07.000]  When you're out on the road, the last place you want to be is on the road.
[31:07.000 --> 31:12.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[31:12.000 --> 31:21.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[31:21.000 --> 31:29.000]  They're so bright in every stitch, guarantee you love the way they fit.
[31:29.000 --> 31:34.000]  They put a diamond gusset in the crotch where you need it most.
[31:34.000 --> 31:39.000]  Blue diamond gussets got it, others don't.
[31:39.000 --> 31:46.000]  We turn jeans inside out, diamond gusset jeans, made in the USA with unparalleled quality.
[31:46.000 --> 31:52.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you could ride all day with confidence.
[31:52.000 --> 31:55.000]  Order yours at www.gusset.com.
[31:55.000 --> 32:00.000]  Diamond gusset jeans got it, others don't.
[32:00.000 --> 32:04.000]  You may be arrested and or subjected to other police action.
[32:04.000 --> 32:09.000]  Tyranny is here. The grim future foretold in 1984 has become reality.
[32:09.000 --> 32:12.000]  It really says that the state is God.
[32:12.000 --> 32:17.000]  The United States is now recognized globally as one of the most oppressive police states on earth.
[32:17.000 --> 32:24.000]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[32:24.000 --> 32:30.000]  This documentary exposes how the continuity of government program has established an old powerful shadow state.
[32:30.000 --> 32:34.000]  Police state 4 chronicles the sickening depths to which our republic has fallen.
[32:34.000 --> 32:38.000]  Prepare to enter the secret of world of emergency dictatorship.
[32:38.000 --> 32:44.000]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[32:44.000 --> 32:48.000]  It's only the beginning of the New World Order's hellish plan.
[32:48.000 --> 32:51.000]  The police state isn't coming. It's here.
[32:51.000 --> 33:01.000]  Secure your copy today at infowars.com or see it online in the highest quality at prisonplanet.tv.
[33:01.000 --> 33:05.000]  Coast to coast, direct from Austin.
